ParentTaskId	TaskId	MinLevel	MaxLevel	Value	Text	Title	Desc
1001	1052	40	50	30	Quay l¹i gÆp Ng¹o V©n T«ng, biÕt ®­îc chuyÖn Nh¹c Phi bŞ giÕt cã liªn quan ®Õn tæ chøc s¸t thñ cña <color=red>L©m Uyªn Nhai<color>. §©y lµ mét tæ chøc s¸t thñ kh«ng mµng thŞ phi chØ biÕt tiÒn b¹c mµ th«i.		
1001	1052	40	50	40	NhiÖm vô hoµn thµnh! Ng¹o V©n T«ng b¶o b¹n ®Õn <color=red>D­¬ng Ch©u<color> t×m Hçn Hçn<color=red> (231,190)<color>,th«ng qua ng­êi nµy cã thÓ th©m nhËp néi bé tæ chøc L©m Uyªn Nhai.		
1001	1052	40	50	50	§Õn gÆp Hçn Hçn <color=red> (231,190)<color>, h¾n muèn biÕt thùc lùc cña b¹n.		
1001	1052	40	50	60	Vµo <color=red>Tû vâ tr­êng<color> ®Êu mét trËn chøng tá b¶n lÜnh!		
1001	1052	40	50	70	Ra khái vâ tr­êng gÆp Hçn Hçn <color=red> (231,190)<color>, h¾n ®¸nh c­îc víi b¹n b¹n sÏ kh«ng t×m ®­îc<color=red>Du S­¬ng T©n<color>, cho dï t×m ®­îc còng kh«ng cã c¸ch nµo ®¸nh th¾ng h¾n.		
1001	1052	40	50	80	NhiÖm vô hoµn thµnh! Tr­íc khi ®i, b¹n quyÕt ®Şnh quay l¹i <color=red>Ph­îng T­êng<color> t×m Ng¹o V©n T«ng<color=red> (198,206)<color>.		
1001	1052	40	50	90	Ng¹o V©n T«ng cho biÕt <color=red>Du S­¬ng T©n<color> ®ang ë <color=red>Thµnh §«<color>, h¾n kh«ng ph¶i lµ ng­êi xÊu, cã thÓ kh«ng giÕt h¾n.		
1001	1052	40	50	100	§Õn <color=red>Thµnh §«<color> t×m ®­îc Du S­¬ng T©n<color=red> (421,304)<color>.		
1001	1052	40	50	110	Sau mét trËn ¸c chiÕn, ®¸nh b¹i Du S­¬ng T©n. B¹n cã thÓ quay vÒ t×m Ng¹o V©n T«ng.		
1001	1052	40	50	120	VÒ <color=red>Ph­îng T­êng<color> gÆp Ng¹o V©n T«ng<color=red> (198,206)<color> phôc mÖnh.		
1001	1052	40	50	1000	NhiÖm vô hoµn thµnh! NhËn ®­îc phÇn th­ëng.		
1001	1053	50	60	10	<color=red>Hçn Hçn<color> ë D­¬ng Ch©u <color=red> (231,190)<color> cho b¹n biÕt, trong tæ chøc cã ng­êi tù x­ng ®· hµnh thİch Nh¹c Phi, nh­ng ng­êi nµy ®· tham gia ®¹i chiÕn Tèng Kim. B¹n ®Õn <color=red>ChiÕn tr­êng Tèng Kim<color> t×m tung tİch cña ng­êi nµy.	S¸t thñ Tøc Phong	Cuèi cïng ®· t×m ®­îc kÎ n¨m x­a ®· hµnh thİch Nh¹c Nguyªn So¸i, nh­ng ch¼ng lÏ mäi viÖc chØ ®¬n gi¶n nh­ vËy ­?
1001	1053	50	60	20	Vµo ChiÕn tr­êng Tèng Kim ®¹t 200 ®iÓm tİch lòy <color=red> <color>. Xem ra hiÓm nguy thËt sù ®ang chê b¹n phİa tr­íc!		
1001	1053	50	60	25	VÒ <color=red>D­¬ng Ch©u<color>gÆp Hçn Hçn<color=red> (231,190)<color> phôc mÖnh.		
1001	1053	50	60	27	NhiÖm vô hoµn thµnh! Hçn Hçn hái b¹n mét sè vÊn ®Ò vÒ Tèng Kim.		
1001	1053	50	60	30	B¹n chuÈn bŞ tr¶ lêi vÒ vÊn ®Ò Tèng Kim.		
1001	1053	50	60	40	Sau khi tr¶ lêi chİnh x¸c toµn bé vÊn ®Ò, tiÕp tôc ®èi tho¹i víi Hçn Hçn.		
1001	1053	50	60	50	Hçn Hçn rÊt thİch b¹n. H¾n b¶o b¹n thİch s¸t<color=red>Nguyªn So¸i<color> cña c¶ Tèng vµ Kim. Th× ra h¾n lµ kÎ ®ßn sãc 2 ®Çu.		
1001	1053	50	60	60	NhiÖm vô hoµn thµnh, Hçn Hçn cho b¹n biÕt kÎ n¨m x­a ®· chñ m­u giÕt Nh¹c Nguyªn So¸i lµ<color=red>TÒ Tøc Phong?208,160)<color>.		
1001	1053	50	60	70	§Õn <color=red>L©m An<color> t×m ®­îc s¸t thñ TÒ Tøc Phong<color=red> (208,160)<color> nh­ng sao l¹i h¹ thñ h¾n qu¸ dÔ dµng. Ch¼ng lÏ…		
1001	1053	50	60	80	Quay l¹i<color=red>Ph­îng T­êng<color> t×m Ng¹o V©n T«ng<color=red> (198,206)<color> xin chØ thŞ.		
1001	1053	50	60	1000	NhiÖm vô hoµn thµnh! Ng¹o V©n T«ng nãi muèn ®İch th©n ®iÒu tra.Hoµn thµnh nhiÖm vô! 		
1002	1054	20	30	10	<color=red>L©m An<color>LiÔu Nam V©n<color=red> (171,190)<color>nãi: Nghe nãi Ng­ d©n D­¬ng Ch©u trong 1 ®ªm m­a giã b·o bïng ph¸t hiÖn d­íi ®¸y biÓn xuÊt hiÖn c¶nh t­îng kú dŞ, cÇn ph¶i ®iÒu tra.	ThÇn Binh S¹ HiÖn	D­¬ng Ch©u phån hoa n¸o nhiÖt, ban ®ªm bèn bÒ rùc rì, thËt lµ mét n¬i an b×nh. Nh­ng... 
1002	1054	20	30	20	LiÔu Nam V©n b¶o b¹n ®i <color=red>D­¬ng Ch©u<color> t×m <color=red>Giang NhÊt Tiªu<color>. Tr­íc khi ®i h·y b¾t 50 con nhİm ë <color=red>TÇn L¨ng<color>.		
1002	1054	20	30	30	Sau khi giÕt Nhİm, ®Õn <color=red>D­¬ng Ch©u<color> t×m Giang NhÊt Tiªu<color=red> (204,192)<color> Giang NhÊt Tiªu l¹i b¶o b¹n h·y ®i t×m <color=red>L¹c Thanh Thu<color>, cã thÓ biÕt ®­îc chót tin tøc.		
1002	1054	20	30	40	§Õn <color=red>D­¬ng Ch©u<color> t×m L¹c Thanh Thu<color=red> (211,195)<color>.		
1002	1054	20	30	50	L¹c Thanh Thu kh«ng muèn gióp b¹n		
1002	1054	20	30	60	QuyÕt ®Şnh gióp L¹c Thanh Thu gi¶i quyÕt kho¶n nî. §Õn <color=red>D­¬ng Ch©u<color> t×m b¶o kª sßng b¹c <color=red> (218,197)<color>.		
1002	1054	20	30	70	§Õn <color=red>D­¬ng Ch©u<color> t×m b¶o kª sßng b¹c<color=red> (218,197)<color>. H¾n b¶o nÕu cã thÓ h¹ thñ Tr­êng Thiªn Bang chñ <color=red> <color>th× khái ph¶i tr¶ nî.		
1002	1054	20	30	80	§Õn <color=red>D­¬ng Ch©u<color> t×m Tr­êng Thiªn Bang chñ<color=red> (250,179)<color>.		
1002	1054	20	30	90	H¹ thñ Lé Tr­êng Thiªn, nhiÖm vô hoµn thµnh. Quay vÒ t×m b¶o kª sßng b¹c.		
1002	1054	20	30	100	VÒ <color=red>D­¬ng Ch©u<color> t×m b¶o kª sßng b¹c<color=red> (218,197)<color>.		
1002	1054	20	30	110	NhiÖm vô hoµn thµnh! L¹c Thanh Thu ®­îc xãa nî 		
1002	1054	20	30	120	B¶o kiÕm ë ngoµi thµnh, nh­ng ®ang bŞ tranh giµnh. Xem ra 1 trËn long tranh hæ ®Êu lµ khã tr¸nh khái		
1002	1054	20	30	130	B¶o kiÕm ë ngoµi thµnh, nh­ng ®ang bŞ tranh giµnh. Xem ra 1 trËn long tranh hæ ®Êu lµ khã tr¸nh khái		
1002	1054	20	30	140	Ra <color=red>D­¬ng Ch©u<color=red> th¾ng  3 nh©n vËt Vâ L©m, lÊy ®­îc b¶o kiÕm, quay vÒ t×m L¹c Thanh Thu<color=red> (211,195)<color>.		
1002	1054	20	30	150	VÒ <color=red>D­¬ng Ch©u<color> t×m L¹c Thanh Thu<color=red> (211,195)<color>. L¹c Thanh Thu thë dµi, nãi ®Êy kh«ng ph¶i lµ b¶o kiÕm. Nh­ng b¹n còng ®· hoµn thµnh nhiÖm vô 		
1002	1054	20	30	1000	NhiÖm vô hoµn thµnh! B¹n ®· chøng minh ®­îc r»ng: dòng c¶m míi chİnh lµ vò khİ tèt nhÊt.		
1002	1055	30	40	10	<color=red>L©m An<color>LiÔu Nam V©n<color=red> (171,190)<color> nãi gÇn ®©y Tiªu xa cña Tiªu côc T©y B¾c liªn tiÕp bŞ c­íp. C¶ 36 tiªu cô T©y B¾c bá ra mét kho¶n tiÒn lín nhê b¹n ®iÒu tra thñ ph¹m	§¹o Danh Hµ B¾c	Tiªu xa cña 36 Tiªu côc lín ë T©y B¾c liªn tiÕp bŞ c­íp, ®©y ®óng lµ sù thËt?
1002	1055	30	40	20	§Õn <color=red>Ph­îng T­êng<color>Chñ Song ¦ng Tiªu côc <color=red> (193,199)<color> hái th¨m t×nh h×nh.		
1002	1055	30	40	30	Chñ nh©n Song ¦ng Tiªu côc b¶o b¹n ®i t×m <color=red>A Ng­u<color>, «ng ta hi väng b¹n cã thÓ gióp ph¸ nghi ¸n nµy.		
1002	1055	30	40	40	§Õn <color=red>Ph­îng T­êng<color> t×m A Ng­u<color=red> (196,203)<color>		
1002	1055	30	40	50	A Ng­u cho biÕt kÎ c­êng ®¹o vâ c«ng cao c­êng kh«ng ®Ó ng­êi kh¸c thÊy mÆt		
1002	1055	30	40	60	NhiÖm vô hoµn thµnh! Trªn ¸o gi¸p nµy cã kh¾c 1 c©y Tr­êng th­¬ng, ®©y lµ Ên ch­¬ng cña <color=red>L·nh Th­¬ng Tiªu côc Thµnh §«<color>,b¹n quyÕt ®Şnh ®Õn ®ã 1 chuyÕn.		
1002	1055	30	40	70	§Õn <color=red>Thµnh §«<color> t×m L·nh S­¬ng tiªu côc <color=red> (376,316)<color>.Chñ tiªu côc nãi gÇn ®©y m¾c bÖnh nÆng, cÇn cã<color=red>50 bé ãc khØ<color>lµm thuèc, b¹n quyÕt ®Şnh gióp «ng ta.		
1002	1055	30	40	80	§i <color=red>Thôc C­¬ng S¬n<color> giÕt 50 con khØ x¸m, lÊy ãc khØ vÒ trŞ bÖnh. B¹n ®· giÕt ®­îc 1062 con khØ 		
1002	1055	30	40	90	¤ng chñ H¹<color=red> (376,316)<color> v« cïng c¶m kİch vµ cho biÕt: viÖc nµy cã thÓ lµ do bän ®¹o tÆc Hµ Hoa §¹o thùc hiÖn<color=red><color>.Chóng th­êng xuÊt hiÖn ë <color=red>C«n L«n ph¸i<color>.		
1002	1055	30	40	100	NhiÖm vô hoµn thµnh! ¤ng chñ H¹ khuyªn b¹n kh«ng nªn ®uæi cïng giÕt tËn Hµ Hoa §¹o		
1002	1055	30	40	110	§Õn <color=red>C«n L«n ph¸i<color> ®¸nh b¹i 3 thñ lÜnh cña Hµ Hoa §¹o: Bİch Ngäc<color=red> (234,212)<color>,  Nh­ Yªn<color=red> (237,214)<color>,  T¨ng Méng<color=red> (236,212)<color>		
1002	1055	30	40	120	VÒ  <color=red>Thµnh §«<color>, «ng chñ H¹ chñ tiªu côc <color=red> (376,316)<color>nãi bän hä thËt ra lµ con c¸i nhµ lµnh, chØ v× lóc ®i d¹o bŞ mét tªn Tiªu s­ lµm nhôc, sau ®ã bŞ kÎ kh¸c b¾t gi÷ míi trë nªn nh­ thÕ, tiÒn tµi ®· lÊy l¹i ®­îc råi,xin ng­¬i h		
1002	1055	30	40	130	BiÕt ®­îc lai lŞch thÊt sù cña Hµ Hoa §¹o, cã thÓ quay vÒ gÆp LiÔu Nam V©n phôc mÖnh.		
1002	1055	30	40	140	§Õn <color=red>L©m An<color> t×m LiÔu Nam V©n <color=red> (171,190)<color>,b¸o cho anh ta biÕt 1 chuyÖn cã liªn quan ®Õn Liªn Hoa §¹o.		
1002	1055	30	40	1000	NhiÖm vô hoµn thµnh!		
1002	1056	40	50	10	<color=red>L©m An<color> LiÔu Nam V©n <color=red> (171,190)<color> muèn b¹n thi ®Êu 1 trËn trong <color=red> Tû vâ tr­êng<color> ®Ó chøng minh b¶n lÜnh	B¸ Vâ Thiªn H¹ 	B¹n ch­a thÓ chøng minh m×nh lµ ng­êi m¹nh nhÊt. VËy b¹n sÏ lµm g×?
1002	1056	40	50	20	§i <color=red>Tû vâ tr­êng<color> (D­¬ng Ch©u/Thµnh §«/T­¬ng D­¬ng) ®Êu 1 trËn chøng minh b¶n lÜnh		
1002	1056	40	50	25	LiÔu Nam V©n m­în viÖc Tû vâ ®Ó d¹y b¹n ®¹o lı "Nh©n ngo¹i h÷u nh©n, Thiªn ngo¹i h÷u thiªn"		
1002	1056	40	50	27	NhiÖm vô hoµn thµnh! Hoµn thµnh thi ®Êu l«i ®µi.		
1002	1056	40	50	30	VÒ <color=red>L©m An<color> t×m LiÔu Nam V©n<color=red> (171,190)<color>.		
1002	1056	40	50	40	LÇn nµy LiÔu Nam V©n b¶o b¹n ®Õn Tû vâ tr­êng<color=red> ®¸nh th¾ng<color>mét trËn, xem ra cã chuyÖn quan träng s¾p x¶y ra.		
1002	1056	40	50	50	Sau khi nhiÖm vô hoµn thµnh, LiÔu Nam V©n l¹i sai b¹n ®i chinh phôc <color=red>Du S­¬ng T©n<color>ë Thµnh §«		
1002	1056	40	50	60	NhiÖm vô hoµn thµnh! B¹n quyÕt ®Şnh ®Õn <color=red>Thµnh §«<color> t×m Du S­¬ng T©n <color=red> (421,304)<color>. Th¾ng ®­îc h¾n qu¶ kh«ng ph¶i chuyÖn dÔ dµng!		
1002	1056	40	50	70	Sau mét trËn ¸c chiÕn, ®¸nh b¹i Du S­¬ng T©n. Quay vÒ  <color=red>L©m An<color> t×m LiÔu Nam V©n<color=red> (171,190)<color>.		
1002	1056	40	50	80	VÒ <color=red>L©m An<color>gÆp LiÔu Nam V©n<color=red> (171,190)<color> phôc mÖnh.		
1002	1056	40	50	1000	NhiÖm vô hoµn thµnh! NhËn ®­îc phÇn th­ëng.		
1002	1057	50	60	10	<color=red>L©m An<color>LiÔu Nam V©n<color=red> (171,190)<color> muèn  b¹n ®¸nh 1 trËn <color=red> ®¹i chiÕn Tèng Kim<color>, İt nhÊt ®­îc 200 ®iÓm tİch lòy<color=red><color> ®Ó kiÓm nghiÖm b¶n lÜnh.	Bİ mËt nhiÒu n¨m	LiÔu Nam V©n mÆc dï lµ ng­êi nh­ vËy?VËy mµ «ng ta tõng cã qu¸ khø ®au th­¬ng nh­ thÕ? Sai lÇm tuæi trÎ nªn gÆp ph¶i sù trõng ph¹t nh­ thÕ sao?Thñ ®o¹n qu¸ ®éc ¸c! §ao trong tay, lÇn nµy tuyÖt ta ®èi kh«ng ®­îc do dù.
1002	1057	50	60	20	Tham gia §¹i chiÕn Tèng Kim, ®¹t ®ñ ®iÓm tİch lòy, xem ra nhiÖm vô quan träng nhÊt ®ang ®îi b¹n!		
1002	1057	50	60	30	VÒ <color=red>L©m An<color>LiÔu Nam V©n <color=red> (171,190)<color> phôc mÖnh, lÊy ®­îc phÇn th­ëng.		
1002	1057	50	60	40	NhiÖm vô hoµn thµnh! Tr¶ lêi LiÔu Nam V©n c¸c vÊn ®Ò vÒ Tèng Kim.		
1002	1057	50	60	50	CÇn ph¶i tr¶ lêi 12 vÊn ®Ò vÒ §¹i chiÕn Tèng Kim 		
1002	1057	50	60	60	Trong qu¸ tr×nh tr¶ lêi nÕu ®¸p sai, ph¶i tr¶ lêi l¹i tõ ®Çu.		
1002	1057	50	60	70	LiÔu Nam V©n cho b¹n biÕt ®¹i s¸t thñ <color=red>Long Truy Vò<color> ®· t¸i xuÊt giang hå. Ng­êi nµy n¨m x­a ®· h¹i chÕt con cña LiÔu Nam V©n. Träng tr¸ch nµy b¹n g¸nh nçi kh«ng?		
1002	1057	50	60	80	NhiÖm vô hoµn thµnh! Long Truy Vò <color=red> (216,185)<color> tinh th«ng DŞ dung thuËt, th­êng gi¶ trang thµnh phô n÷. Cã thÓ h¾n ®ang ë <color=red> ®¹i Lı<color>		
1002	1057	50	60	90	 Long Truy Vò hÑn b¹n ngoµi <color=red> ®¹i Lı<color=red>. GiÕt Long Truy Vò<color=red> (216,185)<color>, b¸o thï cho LiÔu Nam V©n.		
1002	1057	50	60	100	Quay vÒ <color=red>L©m An<color> b¸o tin cho LiÔu Nam V©n <color=red> (171,190)<color>.		
1002	1057	50	60	1000	NhiÖm vô hoµn thµnh! LiÔu Nam V©n rÊt vui mõng.		
1003	1058	20	30	10	<color=red>BiÖn Kinh <color>Th¸c B¹t <color=red> (209,190)<color> rÊt tinh th«ng binh ph¸p. H·y t×m «ng ta ®Ó häc hái!	Th¸c B¹t Hoµi Xuyªn	GÆp Tiªu ®Çu thµnh BiÖn Kinh Th¸c B¹t Hoµi Xuyªn, b¹n b¾t ®Çu hoang mang vÒ tiÒn ®å cña m×nh
1003	1058	20	30	20	Th¸c B¹t nhê b¹n ®Õn <color=red> ®­êng M«n<color> b¾t 50 con H¾c DiÖp HÇu. B¹n ®· b¾t ®­îc1063 con H¾c DiÖp HÇu.		
1003	1058	20	30	30	B¾t ®ñ H¾c DiÖp HÇu, Th¸c B¹t Hoµi Xuyªn rÊt hµi lßng		
1003	1058	20	30	40	NhiÖm vô hoµn thµnh! Th¸c B¹t  nhê b¹n ®Õn <color=red>Thµnh §«<color> t×m Tr©u Tr­êng Cöu<color=red> (392,318)<color> ®Ó lÊy Bè Phßng ®å cña Nam Tèng<color=red><color>.		
1003	1058	20	30	50	Tr©u Tr­êng Cöu khuyªn b¹n mang <color=red>s¸ch da dª<color> lËp tøc rêi khái thµnh,  nÕu kh«ng sÏ kh«ng kŞp.		
1003	1058	20	30	60	NhiÖm vô hoµn thµnh! Tr©u Tr­êng Cöu sai b¹n mang mËt tŞch ®i <color=red>D­¬ng Ch©u<color> t×m ThÈm Phong<color=red> (210,192)<color>.		
1003	1058	20	30	70	§èi tho¹i víi ThÈm Phong, ph¸t hiÖn ng­êi nµy lµ binh sÜ Tèng triÒu gi¶ d¹ng.		
1003	1058	20	30	80	Tªn nµy m¾ng b¹n lµ Kim CÈu, kh«ng giÕt h¾n lµm sao h¶ giËn! 		
1003	1058	20	30	90	Quay vÒ b¸o cho Th¸c B¹t Hoµi Xuyªn, xem ra ©m m­u cña Kim Quèc ®· dÇn cã manh mèi		
1003	1058	20	30	100	VÒ <color=red>BiÖn Kinh<color> gÆp Th¸c B¹t <color=red> (209,190)<color>, ¤ng ta rÊt hµi lßng! NhiÖm vô hoµn thµnh.		
1003	1059	30	40	10	L¹i ®i t×m Th¸c B¹t Hoµi Xuyªn 	Ph¶n Quèc Chi ThÇn	Th¸c B¹t Hoµi Xuyªn ngµy cµng tİn nhiÖm b¹n, ®ång nghÜa víi viÖc hiÓm nguy cµng ngµy cµng cao
1003	1059	30	40	20	Th¸c B¹t b¶o b¹n ®Õn <color=red>Vò Di S¬n<color> giÕt 50 con Sãi vµng. B¹n giÕt xong 1063 con Sãi vµng		
1003	1059	30	40	30	Hoµn thµnh nhiÖm vô giÕt sãi, Th¸c B¹t Hoµi Xuyªn v« cïng hµi lßng!		
