sourcename	targetname
钝斧汉	钝斧汉
土匪头目	土匪头目
火炎虎	火炎虎
黑熊	黑熊
蝙蝠	蝙蝠
血蝠	血蝠
吸血蝙蝠	吸血蝙蝠
豹子头	豹子头
华北山贼2	华北山贼2
马猴	马猴
野牛	野牛
黑叶猴	黑叶猴
独孤雯	独孤雯
独孤剑	独孤剑
张琳心	张琳心
鹫神	鹫神
金雕	金雕
衡山弟子	衡山弟子
随军药医	随军药医
密道卫兵	密道卫兵
军营卫兵	军营卫兵
军需官	军需官
擂场门侍	擂场门侍
少林叛僧	少林叛僧
药贩	药贩
“妖刀”赵方	“妖刀”赵方
雪怪	雪怪
大雪怪	大雪怪
怪人	怪人
玉衡子	玉衡子
野猴	野猴
灰猴	灰猴
黑猴	黑猴
金丝猴王	金丝猴王
邵玉飞	邵玉飞
鱼素真	鱼素真
丘英	丘英
童夕颜	童夕颜
尘缘	尘缘
小寒	小寒
尘心	尘心
尘念	尘念
青樵叟	青樵叟
叹息老人	叹息老人
朱缺	朱缺
璇玑子	璇玑子
青莲子	青莲子
钝斧	钝斧
刀客	刀客
短戟	短戟
红月	红月
蓝云	蓝云
沙蝎	沙蝎
沙鹫	沙鹫
流风	流风
流光	流光
流云	流云
疾羽	疾羽
疾风	疾风
疾电	疾电
疾炎	疾炎
疾雨	疾雨
土匪	土匪
风鸣	风鸣
灵动	灵动
玉面	玉面
快腿	快腿
双斧	双斧
穿山	穿山
野猫	野猫
黄猕猴	黄猕猴
跛道人	跛道人
赤狐	赤狐
金钱豹	金钱豹
文豹	文豹
花斑豹	花斑豹
青盾	青盾
流浪	流浪
利斧	利斧
刺客	刺客
莽汉	莽汉
追魂	追魂
流星	流星
乘风	乘风
女刺客	女刺客
大象	大象
黄河象	黄河象
白虎	白虎
无名老道	无名老道
程大为	程大为
赵眉儿	赵眉儿
赵家婆婆	赵家婆婆
上官秋	上官秋
老板娘	老板娘
樨香	樨香
孙二郎	孙二郎
孙小小	孙小小
孙家嫂子	孙家嫂子
梅香	梅香
叫花子	叫花子
法门寺住持	法门寺住持
曾云英	曾云英
卖菜妇	卖菜妇
江婆婆	江婆婆
蔡大叔	蔡大叔
豆豆	豆豆
吕老汉	吕老汉
彭小弟	彭小弟
秦二哥	秦二哥
朱屠夫	朱屠夫
汤包子	汤包子
镖局老板	镖局老板
衙门差役	衙门差役
杨书生	杨书生
宠物老板	宠物老板
胡员外	胡员外
岑雄	岑雄
余武	余武
蔡婶婶	蔡婶婶
余嫂	余嫂
阿娇	阿娇
牡丹	牡丹
阿牛	阿牛
张子善	张子善
翠翠	翠翠
青狼	青狼
灵雕	灵雕
草寇甲	草寇甲
草寇乙	草寇乙
盗经人	盗经人
廖歧	廖歧
大刺猬	大刺猬
金山掌门	金山掌门
大野猪	大野猪
华山老叟	华山老叟
驿站车夫	驿站车夫
少林弟子常百里	少林弟子常百里
少林弟子季笛风	少林弟子季笛风
金兵	金兵
金国将领托尔汉	金国将领托尔汉
牛牛	牛牛
欧阳	欧阳
黄叔	黄叔
董大叔	董大叔
程无心	程无心
凤儿	凤儿
永乐当铺老板	永乐当铺老板
鲁爷	鲁爷
李豫	李豫
菊妞	菊妞
杂货老板	杂货老板
春香	春香
舒奶奶	舒奶奶
董大妈	董大妈
葛爷	葛爷
盗宝贼	盗宝贼
铜人	铜人
赤蛇	赤蛇
灰蝠	灰蝠
红蝠	红蝠
农夫	农夫
掌门唐仇	掌门唐仇
绝春叟唐野	绝春叟唐野
赤焰鳄	赤焰鳄
唐毒	唐毒
管家	管家
唐轻	唐轻
唐缺	唐缺
大黑叶猴	大黑叶猴
唐门庄丁	唐门庄丁
大野猴	大野猴
大马猴	大马猴
唐不染	唐不染
白袍叟唐鹤	白袍叟唐鹤
焦髯叟唐云	焦髯叟唐云
点睛虎	点睛虎
唐一尘	唐一尘
妙隐	妙隐
蜥蜴王	蜥蜴王
金丝猴	金丝猴
“映雪仙子”穆云慈	“映雪仙子”穆云慈
妙灵	妙灵
妙洁	妙洁
妙心	妙心
慧尼	慧尼
羽衣尼	羽衣尼
妙尘	妙尘
“移光仙子”谢云萝	“移光仙子”谢云萝
“横波仙子”何怜飘	“横波仙子”何怜飘
“拂云仙子”秦倚风	“拂云仙子”秦倚风
“折梅仙子”叶冰痕	“折梅仙子”叶冰痕
“拜月仙子”苏词馨	“拜月仙子”苏词馨
峨嵋掌门清晓师太	峨嵋掌门清晓师太
火云虎	火云虎
妙如	妙如
辛员外	辛员外
魏大爷	魏大爷
小混混	小混混
肖婆婆	肖婆婆
游人	游人
薛小妹	薛小妹
石喆	石喆
周舜武	周舜武
梅娘	梅娘
春姑	春姑
辛二婶	辛二婶
莫秀才	莫秀才
徐嫂	徐嫂
应采儿	应采儿
魏小明	魏小明
邹长久	邹长久
马贩跟班	马贩跟班
高老板	高老板
寺僧	寺僧
慈云法师	慈云法师
方适	方适
采药少女	采药少女
尹神算	尹神算
碧华	碧华
烟儿	烟儿
张四嫂	张四嫂
孙婉	孙婉
贺兰芝	贺兰芝
宋举人	宋举人
落魄子弟	落魄子弟
凶僧	凶僧
叛僧头目	叛僧头目
罗先生	罗先生
月下老人	月下老人
唐元舅舅	唐元舅舅
唐元	唐元
吴红梅	吴红梅
虎子娘	虎子娘
虎子	虎子
郭勇	郭勇
天天娘	天天娘
天天	天天
吴老爹	吴老爹
恶尼	恶尼
神秘杀手	神秘杀手
界无邪	界无邪
金枪	金枪
灵印	灵印
铁锤魔君	铁锤魔君
铁拳阎罗	铁拳阎罗
唐禾	唐禾
小头目厉拳	小头目厉拳
大头目狂沙	大头目狂沙
小头目独耳	小头目独耳
小头目鬼影	小头目鬼影
小头目铁臂	小头目铁臂
长刀	长刀
夜叉	夜叉
灵兽	灵兽
高人	高人
凶鹫	凶鹫
黑鹰	黑鹰
棕熊	棕熊
耿子奇	耿子奇
猛虎	猛虎
神秘人	神秘人
船家	船家
金猕猴	金猕猴
火蜥	火蜥
衙门卫兵	衙门卫兵
和尚	和尚
段思成	段思成
虚圆方丈	虚圆方丈
龙追舞	龙追舞
丁阿鹏	丁阿鹏
刀莲英	刀莲英
董克已	董克已
酒客	酒客
花农	花农
阿淇	阿淇
文文	文文
段老汉	段老汉
但杏花	但杏花
白老汉	白老汉
车老太	车老太
段玉凤	段玉凤
鱼虾摊	鱼虾摊
渔夫乙	渔夫乙
渔夫丁	渔夫丁
渔夫丙	渔夫丙
渔夫甲	渔夫甲
恶霸打手	恶霸打手
恶霸	恶霸
泼皮	泼皮
沧浪客	沧浪客
阿琼	阿琼
沈爷	沈爷
柳叶儿	柳叶儿
阿全	阿全
阿玛	阿玛
阿源	阿源
吴趼人	吴趼人
尹含烟	尹含烟
嫣晓倩	嫣晓倩
何暮雪	何暮雪
草寇	草寇
无名老者	无名老者
“海棠使者”郦秋水	“海棠使者”郦秋水
若兰	若兰
丰竹	丰竹
傲梅	傲梅
笑菊	笑菊
红狐	红狐
似玉	似玉
羞花	羞花
如花	如花
闭月	闭月
翠烟弟子	翠烟弟子
雪狼	雪狼
蛮人	蛮人
试功碑	试功碑
洛九天	洛九天
断戟	断戟
铁棘	铁棘
七杀洞死囚	七杀洞死囚
蝎子精	蝎子精
毒蛇	毒蛇
右护法耶律辟离	右护法耶律辟离
天忍教主完颜宏烈	天忍教主完颜宏烈
火堂堂主兀敖	火堂堂主兀敖
军师	军师
塔里罕	塔里罕
禹狄	禹狄
祁佑	祁佑
左护法端木睿	左护法端木睿
风堂堂主完颜雪衣	风堂堂主完颜雪衣
日月坛主乌合萨	日月坛主乌合萨
小男孩	小男孩
金国弓兵	金国弓兵
金国枪兵	金国枪兵
金国刀兵	金国刀兵
金国弓箭手	金国弓箭手
金兵甲	金兵甲
金国副将	金国副将
金国军医	金国军医
金国大将	金国大将
南宋弓兵	南宋弓兵
南宋枪兵	南宋枪兵
南宋刀兵	南宋刀兵
防御工事	防御工事
金国后方军医	金国后方军医
宋军后方军医	宋军后方军医
南宋将军	南宋将军
南宋副将	南宋副将
宋军军医	宋军军医
南宋弓箭手	南宋弓箭手
南宋统领	南宋统领
宋兵甲	宋兵甲
少林铜人	少林铜人
少林僧兵	少林僧兵
僧兵首领	僧兵首领
金刚人	金刚人
澄心	澄心
玄觉	玄觉
澄微	澄微
澄节	澄节
知客僧	知客僧
澄末	澄末
玄虚	玄虚
陌缨	陌缨
方丈玄因	方丈玄因
机关人	机关人
玄难	玄难
玄慈	玄慈
玄悲	玄悲
朱仙镇当铺老板	朱仙镇当铺老板
朱仙镇药店老板	朱仙镇药店老板
阿毛	阿毛
月月	月月
朱仙镇乞丐	朱仙镇乞丐
双双	双双
朱嫂	朱嫂
盈盈	盈盈
朱仙镇客栈老板	朱仙镇客栈老板
张大元	张大元
丽娟	丽娟
云儿	云儿
阿黑	阿黑
小熊	小熊
陈嫂	陈嫂
老马	老马
老朱	老朱
孙老头	孙老头
孟旭	孟旭
李祖德	李祖德
大渡禅师	大渡禅师
孙秀才	孙秀才
陈三宝	陈三宝
方老太	方老太
辛弃疾	辛弃疾
孔全	孔全
辛大姑	辛大姑
白公子	白公子
姬老板	姬老板
曲铁匠	曲铁匠
唐老爹	唐老爹
冬梅	冬梅
程大爷	程大爷
酒楼老板	酒楼老板
王铁匠	王铁匠
小海	小海
英子	英子
刘员外	刘员外
王夫人	王夫人
春花	春花
如玉	如玉
黄大少	黄大少
傅南冰	傅南冰
瘸子李	瘸子李
张寡妇	张寡妇
金国武士	金国武士
枪兵	枪兵
弓兵	弓兵
刀兵	刀兵
总兵	总兵
豺狗	豺狗
孟远才	孟远才
李伺	李伺
王梧	王梧
罗匡生	罗匡生
张散	张散
祁翁	祁翁
何人我	何人我
佘三丈	佘三丈
孟苍浪	孟苍浪
魏了翁	魏了翁
虎拳	虎拳
花豹	花豹
赤焰	赤焰
鹤行	鹤行
大青狼	大青狼
大雪狼	大雪狼
大火狐	大火狐
天忍高手雷决	天忍高手雷决
黄炎虎	黄炎虎
润娘家豹	润娘家豹
润娘家虎	润娘家虎
白玉虎	白玉虎
润娘	润娘
牢头	牢头
赵舵主	赵舵主
演武场护卫	演武场护卫
一苇法师	一苇法师
囡囡	囡囡
驿站驿官	驿站驿官
宋婆婆	宋婆婆
醉半仙	醉半仙
孙员外	孙员外
宋思文	宋思文
州州	州州
江一萧	江一萧
冼晓真	冼晓真
估价先生	估价先生
楚楚	楚楚
宋员外	宋员外
沈夫人	沈夫人
如意	如意
沈风	沈风
镖头	镖头
乐清秋	乐清秋
卖花女	卖花女
花灯郎	花灯郎
婉娘	婉娘
任天涯	任天涯
陈大力	陈大力
杜老板	杜老板
柳大爷	柳大爷
草蟒	草蟒
大鳄鱼	大鳄鱼
大蛤蟆	大蛤蟆
大草蟒	大草蟒
徐岱岳	徐岱岳
徐中原	徐中原
叶继美	叶继美
周云泉	周云泉
玉树	玉树
华衡	华衡
武当侍童明月	武当侍童明月
李天目	李天目
掌书	掌书
武当侍童清风	武当侍童清风
苍狼	苍狼
野狼	野狼
姚石门	姚石门
武当掌门道一真人	武当掌门道一真人
单思南	单思南
张三	张三
李四	李四
唐叔	唐叔
蒋丰	蒋丰
稻香村当铺老板	稻香村当铺老板
苏大妈	苏大妈
苏忠	苏忠
李秀才	李秀才
翠玉	翠玉
稻香村药店老板	稻香村药店老板
小龙	小龙
稻香村客栈老板	稻香村客栈老板
行脚商人	行脚商人
杨婆婆	杨婆婆
王二嫂	王二嫂
王虎	王虎
茶店老板	茶店老板
花花	花花
猎人	猎人
小兰	小兰
莫空月	莫空月
绝杀	绝杀
绝斩	绝斩
慈雨法师	慈雨法师
范爹爹	范爹爹
范二春	范二春
吴老太	吴老太
虎子爹	虎子爹
耿老头	耿老头
姚姚	姚姚
范大强	范大强
龚阿牛	龚阿牛
龚老太	龚老太
段秀才	段秀才
白芸	白芸
荷姑	荷姑
刘恒	刘恒
香儿	香儿
小邓子	小邓子
冯胖子	冯胖子
贾神算	贾神算
瓜贩	瓜贩
何老板	何老板
邓家嫂子	邓家嫂子
姚嘉	姚嘉
郭员外	郭员外
襄阳守将	襄阳守将
庞物店老板娘	庞物店老板娘
宠物老板娘	宠物老板娘
宠物店老板娘	宠物店老板娘
当铺老板女儿	当铺老板女儿
豆豆娘	豆豆娘
神秘商人柳乙	神秘商人柳乙
金国卫兵	金国卫兵
妙隐相公	妙隐相公
杂货店老板娘	杂货店老板娘
土匪甲	土匪甲
土匪乙	土匪乙
储物箱	储物箱
山贼甲	山贼甲
山贼乙	山贼乙
山贼头子	山贼头子
游戏推广员	游戏推广员
金军募兵官	金军募兵官
金军车夫	金军车夫
金军军需官	金军军需官
船夫丙	船夫丙
船夫甲	船夫甲
春香婆婆	春香婆婆
刀兵队长	刀兵队长
刀兵统领	刀兵统领
毒蛇精	毒蛇精
毒蝎王	毒蝎王
恶霸保镖	恶霸保镖
恶霸护院	恶霸护院
鳄鱼精	鳄鱼精
蛤蟆精	蛤蟆精
弓兵统领	弓兵统领
花豹子	花豹子
浣熊精	浣熊精
金猫王	金猫王
莽汉头领	莽汉头领
木人（30000生命）	木人（30000生命）
木桩（3000生命）	木桩（3000生命）
叛贼头目	叛贼头目
枪兵队长	枪兵队长
沙袋（10000生命）	沙袋（10000生命）
猞猁精	猞猁精
雪豹王	雪豹王
玉面判官	玉面判官
蜘蛛精	蜘蛛精
攻城冲车	攻城冲车
投石车	投石车
擂鼓士兵	擂鼓士兵
摇旗士兵	摇旗士兵
攻城攻方完整龙柱	攻城攻方完整龙柱
攻城攻方破损龙柱	攻城攻方破损龙柱
攻城守方完整龙柱	攻城守方完整龙柱
攻城守方破损龙柱	攻城守方破损龙柱
攻城战完整城门	攻城战完整城门
攻城战破损城门	攻城战破损城门
掠风	掠风
裂空	裂空
北岸船夫丙	北岸船夫丙
南岸船夫丙	南岸船夫丙
南岸船夫乙	南岸船夫乙
北岸船夫乙	北岸船夫乙
北岸船夫甲	北岸船夫甲
南岸船夫甲	南岸船夫甲
公平子	公平子
易容术士	易容术士
伏波	伏波
宋军车夫	宋军车夫
宋军募兵官	宋军募兵官
箭头	箭头
冷枪	冷枪
蒙古武士	蒙古武士
漠贼	漠贼
破浪	破浪
沙盗	沙盗
神臂	神臂
水贼	水贼
宋军军需官	宋军军需官
走石	走石
痴僧	痴僧
飞沙	飞沙
