?û³Æ	ItemGenre	DetailType	¶¯»­ÎÄ¼??û	¶ÔÓ¦Îï¼?Ë÷??	¿í¶È	¸ß¶È	Ëµ?÷ÎÄ×Ö	ParticularType	ÎïÆ·×î´óµ?·ÅÖµ
D¹ Minh Ch©u	4	111	\spr\item\questkey\taskobj098.spr	41	1	1	VËt phÈm nhiÖm vô  	0	0
Tö Môc Tóc 	4	112	\spr\item\questkey\taskobj099.spr	41	1	1	VËt phÈm nhiÖm vô  	1	0
§Şa CÈm Th¶o 	4	113	\spr\item\questkey\taskobj100.spr	41	1	1	VËt phÈm nhiÖm vô  	1	0
ThiÕn Th¶o 	4	114	\spr\item\questkey\taskobj101.spr	41	1	1	VËt phÈm nhiÖm vô  	1	0
Hæ NhÜ Th¶o 	4	115	\spr\item\questkey\taskobj102.spr	41	1	1	VËt phÈm nhiÖm vô  	1	0
Linh Chi	4	116	\spr\item\questkey\taskobj103.spr	41	1	1	"§©y lµ 1 lo¹i d­îc phÈm qu? hi?m rÊt c? ?ch cho ch? kh?, t¨ng tr? kh«n, uèng l©u ngµy th× sÏ trÎ m·i kh«ng giµ,  c? s½n c«ng n¨ng c¶i tö hoµn sinh, tªn lµ ""Tiªn Th¶o""."	1	0
S¬n L? Hång 	4	117	\spr\item\questkey\taskobj104.spr	41	1	1	VËt phÈm nhiÖm vô  	0	0
L­îng Ng©n Kho¸ng 	4	118	\spr\item\questkey\taskobj105.spr	41	1	1	Kho¸ng th¹ch dïng ®Ó v¸ g­¬ng ®ång	1	0
§ïi gµ 	4	119	\spr\item\questkey\taskobj106.spr	41	1	1	VËt phÈm ®Ó dô Háa hå.	0	0
Háa Hå 	4	120	\spr\item\questkey\taskobj107.spr	41	1	1	"Lo¹i c¸o th©n nhá vµ dµi, nhanh nhÑn ®¸ng yªu."	0	0
Xİch §ång kho¸ng 	4	121	\spr\item\questkey\taskobj108.spr	41	1	1	1 lo¹i kho¸ng th¹ch.	1	0
Qu¶ng Ho¾c H­¬ng 	4	122	\spr\item\questkey\taskobj109.spr	41	1	1	VËt phÈm nhiÖm vô  	0	0
Gµ n­íng 	4	123	\spr\item\questkey\taskobj110.spr	41	1	1	VËt phÈm nhiÖm vô  	0	0
§¸ 	4	124	\spr\item\questkey\taskobj111.spr	41	1	1	VËt phÈm nhiÖm vô  	0	0
TiÓu Hoµng cÈu 	4	125	\spr\item\questkey\taskobj112.spr	41	1	1	"Lo¹i ch? hoang nhá, l«ng mµu vµng"	0	0
TiÓu Kh«i l­ 	4	126	\spr\item\questkey\taskobj113.spr	41	1	1	Lo¹i La lóc nhá l«ng c? mµu x¸m tro	0	0
§o¹n KiÕm YÓm NhËt	4	127	\spr\item\questkey\taskobj114.spr	41	1	2	1 thanh ki?m cæ 	0	0
§o¹n KiÕm §o¹n Thñy	4	128	\spr\item\questkey\taskobj115.spr	41	1	2	1 thanh ki?m cæ 	0	0
§o¹n KiÕm ChuyÓn Ph¸ch	4	129	\spr\item\questkey\taskobj116.spr	41	1	2	1 thanh ki?m cæ.	0	0
§o¹n KiÕm Khø Tµ	4	130	\spr\item\questkey\taskobj117.spr	41	1	2	1 thanh ki?m cæ.	0	0
§o¹n KiÕm DiÖt Hån	4	131	\spr\item\questkey\taskobj118.spr	41	1	2	1 thanh ki?m cæ.	0	0
S¸ch da dª 	4	132	\spr\item\questkey\taskobj119.spr	41	1	1	Mét quyÓn mËt th­ giÊu trong th¸nh ®éng Thiªn NhÉn gi¸o.	0	0
Häa mi th¶o	4	133	\spr\item\questkey\taskobj120.spr	41	1	2	Lo¹i th¶o méc chØ sèng ë c¸c vïng s¬n  c­íc hoang d·.	0	0
Hîp hoan 	4	134	\spr\item\questkey\taskobj121.spr	41	1	1	Mét lo¹i d­îc liÖu trong §«ng Y.	0	0
HuyÒn S©m	4	135	\spr\item\questkey\taskobj122.spr	41	1	1	"Lo¹i d­îc liÖu, c? thÓ th¨ng ©m gi¸ng háa, gi¶i ®éc nhuËn tr­êng."	0	0
Phßng Kû 	4	136	\spr\item\questkey\taskobj123.spr	41	1	1	Mét lo¹i d­îc liÖu trong §«ng Y.	0	0
Chu Sa 	4	137	\spr\item\questkey\taskobj124.spr	41	1	1	Mét lo¹i d­îc liÖu trong §«ng Y.	0	0
T? ThiÕt Kho¸ng 	4	138	\spr\item\questkey\taskobj125.spr	41	1	1	1 lo¹i kho¸ng th¹ch.	1	0
LÖnh bµi th«ng hµnh	4	139	\spr\item\questkey\taskobj126.spr	41	1	1	VËt phÈm nhiÖm vô  	0	0
MËt gÊu 	4	140	\spr\item\questkey\taskobj127.spr	41	1	1	VËt phÈm nhiÖm vô  	0	0
Bao Tİn th¹ch 	4	141	\spr\item\questkey\taskobj128.spr	41	1	1	VËt phÈm nhiÖm vô  	0	0
X¹ H­¬ng 	4	142	\spr\item\questkey\taskobj129.spr	41	1	1	VËt phÈm nhiÖm vô  	0	0
Nh·n Kİnh V­¬ng M·ng Xµ 	4	143	\spr\item\questkey\taskobj130.spr	41	2	1	VËt phÈm nhiÖm vô  	0	0
Hµ Thñ ¤ 	4	144	\spr\item\questkey\taskobj131.spr	41	1	1	"Lo¹i d­îc liÖu, c? thÓ tr¸ng d­¬ng c­êng cèt, ®en t?c tr¾ng da.."	0	0
Thiªn V­¬ng lÖnh 	4	145	\spr\item\questkey\taskobj132.spr	41	1	1	"Trªn kh¾c 2 ch÷ ""Thiªn V­¬ng"", lµ t?n vËt vña bang ph¸i."	0	0
Thá 	4	146	\spr\item\questkey\taskobj133.spr	41	1	1	VËt phÈm nhiÖm vô  	0	0
B¹ch Hoa Xµ ThiÖt th¶o	4	147	\spr\item\questkey\taskobj134.spr	41	1	1	VËt phÈm nhiÖm vô  	0	0
H¹t sen  	4	148	\spr\item\questkey\taskobj135.spr	41	1	1	VËt phÈm nhiÖm vô  	0	0
3 qu¶ trøng gµ 	4	149	\spr\item\questkey\taskobj136.spr	41	1	1	Lo¹i trøng gµ th«ng th­êng.	0	0
5 con trïng ®á 	4	150	\spr\item\questkey\taskobj137.spr	41	1	1	Lo¹i Trïng ®á th­êng thÊy.	0	0
§¸ to	4	151	\spr\item\questkey\taskobj138.spr	41	2	2	VËt phÈm nhiÖm vô  	0	0
C«ng v¨n T­¬ng D­¬ng - Ph­îng T­êng 	4	152	\spr\item\questkey\taskobj075.spr	41	1	1	C«ng v¨n  t? T­¬ng D­¬ng ®­a ®?n Ph­îng T­êng  	0	0
C«ng v¨n Ph­îng T­êng - §¹i L?  	4	153	\spr\item\questkey\taskobj075.spr	41	1	1	C«ng v¨n t? Ph­îng T­êng ®­a ®?n §¹i L?  	0	0
C«ng v¨n Ph­îng T­êng - L©m An  	4	154	\spr\item\questkey\taskobj075.spr	41	1	1	C«ng v¨n t? Ph­îng T­êng ®­a ®?n L©m An  	0	0
C«ng v¨n Thµnh §« - BiÖn Kinh 	4	155	\spr\item\questkey\taskobj075.spr	41	1	1	C«ng v¨n t? Thµnh §« ®­a ®?n BiÖn Kinh  	0	0
C«ng v¨n §¹i L? - T­¬ng D­¬ng  	4	156	\spr\item\questkey\taskobj075.spr	41	1	1	C«ng v¨n t? §¹i L? ®­a ®?n T­¬ng D­¬ng  	0	0
C«ng v¨n §¹i L? - D­¬ng Ch©u  	4	157	\spr\item\questkey\taskobj075.spr	41	1	1	C«ng v¨n t? §¹i L? ®­a ®?n D­¬ng Ch©u  	0	0
C«ng v¨n T­¬ng D­¬ng - Thµnh §«  	4	158	\spr\item\questkey\taskobj075.spr	41	1	1	C«ng v¨n t? T­¬ng D­¬ng ®­a ®?n Thµnh §« 	0	0
Thiªn NhÉn MËt th­ 	4	159	\spr\item\questkey\taskobj091.spr	41	1	1	1 bøc mËt th­.	0	0
Ch×a khãa Thi?t Th¸p 1 	4	160	\spr\item\questkey\taskobj092-6.spr	41	1	1	Ch×a kh?a më  c¬ quan thø nhÊt	0	0
Ch×a khãa Thi?t Th¸p 2 	4	161	\spr\item\questkey\taskobj092-6.spr	41	1	1	Ch×a kh?a më  c¬ quan thø 2.	0	0
Ch×a khãa Thi?t Th¸p 3 	4	162	\spr\item\questkey\taskobj092-6.spr	41	1	1	Ch×a kh?a më  c¬ quan thø 3.	0	0
Th­ t?n cña ch­ëng m«n Vâ §ang	4	163	\spr\item\questkey\taskobj091.spr	41	1	1	VËt phÈm nhiÖm vô 	0	0
Th­ håi ©m cña NhuËn N­¬ng 	4	164	\spr\item\questkey\taskobj091.spr	41	1	1	VËt phÈm nhiÖm vô 	0	0
NhÉn M· n·o	4	165	\spr\item\equip\ring\obj-ring09.spr	41	1	1	Mét chi?c nhÉn M· N·o	0	0
Linh X¹ H­¬ng Nang	4	166	\spr\item\equip\waist\obj-waist08.spr	41	1	2	Mét tói Linh X¹ h­¬ng	0	0
¦ng T×nh Hé Th©n phï 	4	167	\spr\item\equip\nick\obj-neck14.spr	41	2	1	1 c¸i ¦ng T×nh Hé Th©n phï.	0	0
"B?ch Tû Giíi ChØ, "	4	168	\spr\item\equip\ring\obj-ring04.spr	41	1	1	"Mét chi?c B?ch Tû Giíi ChØ, "	0	0
C«ng v¨n D­¬ng Ch©u - Ph­îng T­êng  	4	169	\spr\item\questkey\taskobj075.spr	41	1	1	C«ng v¨n t? D­¬ng Ch©u ®­a ®?n Ph­îng T­êng 	0	0
C«ng v¨n BiÖn Kinh - §¹i L?  	4	170	\spr\item\questkey\taskobj075.spr	41	1	1	C«ng v¨n t? BiÖn Kinh ®­a ®?n §¹i L?  	0	0
C«ng v¨n Thµnh §« - L©m An  	4	171	\spr\item\questkey\taskobj075.spr	41	1	1	C«ng v¨n t? Thµnh §« ®­a ®?n L©m An  	0	0
C«ng v¨n L©m An - BiÖn Kinh  	4	172	\spr\item\questkey\taskobj075.spr	41	1	1	C«ng v¨n t? L©m An ®­a ®?n BiÖn Kinh  	0	0
C«ng v¨n L©m An - T­¬ng D­¬ng 	4	173	\spr\item\questkey\taskobj075.spr	41	1	1	C«ng v¨n t? L©m An ®­a ®?n T­¬ng D­¬ng  	0	0
C«ng v¨n BiÖn Kinh - D­¬ng Ch©u  	4	174	\spr\item\questkey\taskobj075.spr	41	1	1	C«ng v¨n t? BiÖn Kinh ®­a ®?n D­¬ng Ch©u  	0	0
C«ng v¨n D­¬ng Ch©u - Thµnh §«  	4	175	\spr\item\questkey\taskobj075.spr	41	1	1	C«ng v¨n t? D­¬ng Ch©u ®­a ®?n Thµnh §« 	0	0
Giµn n¸ 	4	176	\spr\item\questkey\taskobj139.spr	41	1	1	Mét c¸i giµn n¸ v?a lµm xong	0	0
Ch¹c c©y 	4	177	\spr\item\questkey\taskobj142.spr	41	1	1	Nh¸nh c©y c? h×nh ch÷ Y.	0	0
Da tr©u 	4	178	\spr\item\questkey\taskobj143.spr	41	1	1	Lo¹i da Tr©u thuéc theo c¸ch th«ng th­êng 	0	0
Xuyªn Bèi hoµn	4	179	\spr\item\questkey\taskobj144.spr	41	1	1	Lo¹i thuèc th­êng dïng ®Ó tr? ho	0	0
Tú Bµ hoµn	4	180	\spr\item\questkey\taskobj144.spr	41	1	1	Lo¹i thuèc th­êng dïng ®Ó tr? phong hµn.	0	0
Hoa tai 	4	181	\spr\item\questkey\taskobj145.spr	41	1	1	Mét ®«i khuyªn tai nhá b»ng vµng.	0	0
Tö Yªn Ngäc Béi 	4	182	\spr\item\questkey\taskobj140.spr	41	1	1	"Mét mi?ng Thóy Ngäc Ngäc Béi ®· c?, ®iªu kh¶m rÊt ®Ñp"	0	0
Tranh ch÷ 	4	183	\spr\item\questkey\taskobj141.spr	41	1	1	Mét bøc tranh ch÷ cæ x­a 	0	0
