Ç°ºó×ºÃû³Æ	ÊÇ·ñÇ°×º	ÎåÐÐÊôÐÔÒªÇó	µÈ¼¶ÒªÇó	ÊôÐÔµ÷ÕûÀà±ð	²ÎÊý1×îÐ¡Öµ	²ÎÊý1×î´óÖµ	²ÎÊý2×îÐ¡Öµ	²ÎÊý2×î´óÖµ	²ÎÊý3×îÐ¡Öµ	²ÎÊý3×î´óÖµ	Ð§¹ûËµÃ÷	½ü³ÌÎäÆ÷	°µÆ÷	¿ø¼×	½äÖ¸	ÏîÁ´	Ñ¥×Ó	Ñü´ø	Í·¿ø	»¤Íó	Ñü×¹	Âí
¸nh s¸ng	1		1	112	1	1	-1	-1	0	0	T¨ng ph¹m vi s¸t th­¬ng	0	0	0	0	0	0	0	0	0	0	0
MÆt tr¨ng	1		2	112	2	2	-1	-1	0	0	T¨ng ph¹m vi s¸t th­¬ng	0	0	0	0	0	0	0	0	0	0	0
Ph¸t s¸ng	1		3	112	3	3	-1	-1	0	0	T¨ng ph¹m vi s¸t th­¬ng	0	0	0	0	0	0	0	0	0	0	0
NhÊp nh¸y	1		4	112	4	4	-1	-1	0	0	T¨ng ph¹m vi s¸t th­¬ng	0	0	0	0	0	0	0	0	0	0	0
¸nh s¸ng chãi läi	1		5	112	5	5	-1	-1	0	0	T¨ng ph¹m vi s¸t th­¬ng	0	0	0	0	0	0	0	0	0	0	0
MÆt trêi	1		6	112	6	6	-1	-1	0	0	T¨ng ph¹m vi s¸t th­¬ng	0	0	0	0	0	0	0	0	0	0	0
Th¸i S­ 	1		5	139	1	1	-1	-1	0	0	T¨ng kü n¨ng	2	0	0	1	0	0	0	0	0	0	0
T«ng s­ 	1		10	139	2	2	-1	-1	0	0	T¨ng kü n¨ng	2	0	0	1	0	0	0	0	0	0	0
L¨ng kÝnh	1		1	114	1	2	-1	-1	0	0	t¨ng phßng thñ 	0	0	0	0	10000	0	0	0	0	0	0
CÇu vång	1		2	114	2	4	-1	-1	0	0	t¨ng phßng thñ 	0	0	0	0	9000	0	0	0	0	0	0
b¶y mµu	1		3	114	4	6	-1	-1	0	0	t¨ng phßng thñ 	0	0	0	0	8000	0	0	0	0	0	0
Hµo quang	1		4	114	6	8	-1	-1	0	0	t¨ng phßng thñ 	0	0	0	0	7000	0	0	0	0	0	0
¸nh chíp	1		5	114	8	10	-1	-1	0	0	t¨ng phßng thñ 	0	0	0	0	6000	0	0	0	0	0	0
CÇu vång	1		6	114	10	12	-1	-1	0	0	t¨ng phßng thñ 	0	0	0	0	5000	0	0	0	0	0	0
CÇu vång	1		7	114	12	14	-1	-1	0	0	t¨ng phßng thñ 	0	0	0	0	4000	0	0	0	0	0	0
CÇu vång	1		8	114	14	16	-1	-1	0	0	t¨ng phßng thñ 	0	0	0	0	3000	0	0	0	0	0	0
Toµn th¹ch 	1		9	114	16	18	-1	-1	0	0	t¨ng phßng thñ 	0	0	0	0	2000	0	0	0	0	0	0
CÇu vång	1		10	114	18	20	-1	-1	0	0	t¨ng phßng thñ 	0	0	0	0	1000	0	0	0	0	0	0
Hót m¸u	1		2	136	1	3	-1	-1	0	0	hót Sinh lùc	1200	1200	0	0	0	0	0	0	0	0	0
Con muçi	1		5	136	3	5	-1	-1	0	0	hót Sinh lùc	1200	1200	0	0	0	0	0	0	0	0	0
Con ®Øa	1		7	136	5	7	-1	-1	0	0	hót Sinh lùc	1200	1200	0	0	0	0	0	0	0	0	0
Hoa ¨n thÞt ng­êi	1		10	136	7	10	-1	-1	0	0	hót Sinh lùc	1200	1200	0	0	0	0	0	0	0	0	0
Con d¬i	1		2	137	1	3	-1	-1	0	0	hót Néi lùc	800	800	0	0	0	0	0	0	0	0	0
Quû hån	1		5	137	3	5	-1	-1	0	0	hót Néi lùc	700	700	0	0	0	0	0	0	0	0	0
Ch©u chÊu	1		7	137	5	7	-1	-1	0	0	hót Néi lùc	600	600	0	0	0	0	0	0	0	0	0
Ch©u chÊu	1		10	137	7	10	-1	-1	0	0	hót Néi lùc	600	600	0	0	0	0	0	0	0	0	0
Sinh lùc	1		1	85	5	20	-1	-1	0	0	T¨ng Sinh lùc 	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	0
Tr­êng thä 	1		2	85	20	40	-1	-1	0	0	T¨ng Sinh lùc 	300000	300000	300000	300000	300000	300000	300000	300000	300000	300000	0
Tr­êng thä 	1		3	85	40	60	-1	-1	0	0	T¨ng Sinh lùc 	200000	200000	200000	200000	200000	200000	200000	200000	200000	200000	0
Tr­êng sinh	1		4	85	60	80	-1	-1	0	0	T¨ng Sinh lùc 	200000	200000	200000	200000	200000	200000	200000	200000	200000	200000	0
Tr­êng sinh	1		5	85	80	100	-1	-1	0	0	T¨ng Sinh lùc 	150000	150000	150000	150000	150000	150000	150000	150000	150000	150000	0
Sinh ®éng	1		6	85	100	120	-1	-1	0	0	T¨ng Sinh lùc 	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	0
Sinh ®éng	1		7	85	120	140	-1	-1	0	0	T¨ng Sinh lùc 	75000	75000	75000	75000	75000	75000	75000	75000	75000	75000	0
Sinh linh	1		8	85	140	160	-1	-1	0	0	T¨ng Sinh lùc 	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000	0
Sinh linh	1		9	85	160	180	-1	-1	0	0	T¨ng Sinh lùc 	3000	3000	3000	3000	3000	3000	3000	3000	3000	3000	0
Tr­êng thä 	1		10	85	180	200	-1	-1	0	0	T¨ng Sinh lùc 	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	0
Néi lùc	1		1	89	5	20	-1	-1	0	0	T¨ng Néi lùc 	300000	300000	300000	300000	300000	300000	300000	300000	300000	300000	0
Søc sèng	1		2	89	20	40	-1	-1	0	0	T¨ng Néi lùc 	200000	200000	200000	200000	200000	200000	200000	200000	200000	200000	0
Søc sèng	1		3	89	40	60	-1	-1	0	0	T¨ng Néi lùc 	200000	200000	200000	200000	200000	200000	200000	200000	200000	200000	0
ThÞnh v­îng	1		4	89	60	80	-1	-1	0	0	T¨ng Néi lùc 	150000	150000	150000	150000	150000	150000	150000	150000	150000	150000	0
ThÞnh v­îng	1		5	89	80	100	-1	-1	0	0	T¨ng Néi lùc 	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	0
Th©m hËu	1		6	89	100	120	-1	-1	0	0	T¨ng Néi lùc 	75000	75000	75000	75000	75000	75000	75000	75000	75000	75000	0
Th©m hËu	1		7	89	120	140	-1	-1	0	0	T¨ng Néi lùc 	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000	0
V« cïng	1		8	89	140	160	-1	-1	0	0	T¨ng Néi lùc 	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	0
V« cïng	1		9	89	160	180	-1	-1	0	0	T¨ng Néi lùc 	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	0
V« tËn	1		10	89	180	200	-1	-1	0	0	T¨ng Néi lùc 	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	0
L©u dµi	1		1	93	5	20	-1	-1	0	0	T¨ng thÓ lùc 	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	0
L©u dµi	1		2	93	20	40	-1	-1	0	0	T¨ng thÓ lùc 	300000	300000	300000	300000	300000	300000	300000	300000	300000	300000	0
L©u dµi	1		3	93	40	60	-1	-1	0	0	T¨ng thÓ lùc 	200000	200000	200000	200000	200000	200000	200000	200000	200000	200000	0
L©u dµi	1		4	93	60	80	-1	-1	0	0	T¨ng thÓ lùc 	150000	150000	150000	150000	150000	150000	150000	150000	150000	150000	0
Kh«ng ngõng	1		5	93	80	100	-1	-1	0	0	T¨ng thÓ lùc 	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	0
Kh«ng ngõng	1		6	93	100	120	-1	-1	0	0	T¨ng thÓ lùc 	60000	60000	60000	60000	60000	60000	60000	60000	60000	60000	0
Kh«ng ngõng	1		7	93	120	140	-1	-1	0	0	T¨ng thÓ lùc 	40000	40000	40000	40000	40000	40000	40000	40000	40000	40000	0
Kh«ng ngõng	1		8	93	140	160	-1	-1	0	0	T¨ng thÓ lùc 	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000	0
S©u th¼m	1		9	93	160	180	-1	-1	0	0	T¨ng thÓ lùc 	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	0
S©u th¼m	1		10	93	180	200	-1	-1	0	0	T¨ng thÓ lùc 	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000	0
£m dÞu	1		1	88	1	1	-1	-1	0	0	T¨ng tèc ®é håi phôc Sinh lùc	0	0	2000	0	0	2000	2000	2000	2000	0	0
£m dÞu	1		3	88	2	2	-1	-1	0	0	T¨ng tèc ®é håi phôc Sinh lùc	0	0	1800	0	0	1800	1800	1800	1800	0	0
Nhu m× 	1		5	88	3	3	-1	-1	0	0	T¨ng tèc ®é håi phôc Sinh lùc	0	0	1500	0	0	1500	1500	1500	1500	0	0
Phôc sinh	1		6	88	4	4	-1	-1	0	0	T¨ng tèc ®é håi phôc Sinh lùc	0	0	1000	0	0	1000	1000	1000	1000	0	0
 tûnh l¹i	1		8	88	5	5	-1	-1	0	0	T¨ng tèc ®é håi phôc Sinh lùc	0	0	500	0	0	500	500	500	500	0	0
phôc sinh	1		10	88	6	6	-1	-1	0	0	T¨ng tèc ®é håi phôc Sinh lùc	0	0	100	0	0	100	100	100	100	0	0
BiÓn réng	1		2	92	1	1	-1	-1	0	0	T¨ng tèc ®é håi phôc Néi lùc	0	0	0	0	0	0	0	0	0	3500	0
Sãng giã 	1		5	92	2	2	-1	-1	0	0	T¨ng tèc ®é håi phôc Néi lùc	0	0	0	0	0	0	0	0	0	3000	0
M­a to	1		7	92	3	3	-1	-1	0	0	T¨ng tèc ®é håi phôc Néi lùc	0	0	0	0	0	0	0	0	0	2500	0
Lµn sãng	1		10	92	4	4	-1	-1	0	0	T¨ng tèc ®é håi phôc Néi lùc	0	0	0	0	0	0	0	0	0	2000	0
Dåi dµo	1		1	96	1	1	-1	-1	0	0	T¨ng tèc ®é håi phôc ThÓ lùc	0	0	0	30000	30000	0	0	0	0	0	0
MÒm dÎo	1		3	96	3	3	-1	-1	0	0	T¨ng tèc ®é håi phôc ThÓ lùc	0	0	0	30000	30000	0	0	0	0	0	0
Tranh thñ 	1		5	96	5	5	-1	-1	0	0	T¨ng tèc ®é håi phôc ThÓ lùc	0	0	0	30000	30000	0	0	0	0	0	0
Tranh thñ 	1		6	96	7	7	-1	-1	0	0	T¨ng tèc ®é håi phôc ThÓ lùc	0	0	0	30000	30000	0	0	0	0	0	0
Tranh thñ 	1		7	96	9	9	-1	-1	0	0	T¨ng tèc ®é håi phôc ThÓ lùc	0	0	0	30000	30000	0	0	0	0	0	0
Søc m¹nh	0	0	1	97	1	2	-1	-1	0	0	t¨ng søc m¹nh	0	0	0	100000	100000	0	0	0	0	100000	0
Søc m¹nh	0	0	2	97	3	4	-1	-1	0	0	t¨ng søc m¹nh	0	0	0	90000	90000	0	0	0	0	90000	0
Uy lùc	0	0	3	97	5	6	-1	-1	0	0	t¨ng søc m¹nh	0	0	0	80000	80000	0	0	0	0	80000	0
Uy lùc	0	0	4	97	7	8	-1	-1	0	0	t¨ng søc m¹nh	0	0	0	70000	70000	0	0	0	0	70000	0
Søc m¹nh	0	0	5	97	9	10	-1	-1	0	0	t¨ng søc m¹nh	0	0	0	60000	60000	0	0	0	0	60000	0
Søc m¹nh	0	0	6	97	11	12	-1	-1	0	0	t¨ng søc m¹nh	0	0	0	50000	50000	0	0	0	0	50000	0
Tr©u rõng	0	0	7	97	13	14	-1	-1	0	0	t¨ng søc m¹nh	0	0	0	40000	40000	0	0	0	0	40000	0
Ng­êi khæng lå 	0	0	8	97	15	16	-1	-1	0	0	t¨ng søc m¹nh	0	0	0	30000	30000	0	0	0	0	30000	0
S¬n ThÇn 	0	0	9	97	17	18	-1	-1	0	0	t¨ng søc m¹nh	0	0	0	20000	20000	0	0	0	0	20000	0
Céng C«ng	0	0	10	97	19	20	-1	-1	0	0	t¨ng søc m¹nh	0	0	0	10000	10000	0	0	0	0	10000	0
Dao nhän	0	0	1	121	1	5	-1	-1	0	0	t¨ng s¸t th­¬ng VËt lý 	100000	100000	0	0	0	0	0	0	0	0	0
Dao nhän	0	0	2	121	5	10	-1	-1	0	0	t¨ng s¸t th­¬ng VËt lý 	90000	90000	0	0	0	0	0	0	0	0	0
Dao nhän	0	0	3	121	10	15	-1	-1	0	0	t¨ng s¸t th­¬ng VËt lý 	90000	90000	0	0	0	0	0	0	0	0	0
Dao nhän	0	0	4	121	15	20	-1	-1	0	0	t¨ng s¸t th­¬ng VËt lý 	80000	80000	0	0	0	0	0	0	0	0	0
Dao nhän	0	0	5	121	20	25	-1	-1	0	0	t¨ng s¸t th­¬ng VËt lý 	70000	70000	0	0	0	0	0	0	0	0	0
Dao nhän	0	0	6	121	25	30	-1	-1	0	0	t¨ng s¸t th­¬ng VËt lý 	60000	60000	0	0	0	0	0	0	0	0	0
Dao nhän	0	0	7	121	30	35	-1	-1	0	0	t¨ng s¸t th­¬ng VËt lý 	40000	40000	0	0	0	0	0	0	0	0	0
Dao nhän	0	0	8	121	35	40	-1	-1	0	0	t¨ng s¸t th­¬ng VËt lý 	30000	30000	0	0	0	0	0	0	0	0	0
Dao nhän	0	0	9	121	40	45	-1	-1	0	0	t¨ng s¸t th­¬ng VËt lý 	10000	10000	0	0	0	0	0	0	0	0	0
Dao nhän	0	0	10	121	45	50	-1	-1	0	0	t¨ng s¸t th­¬ng VËt lý 	5000	5000	0	0	0	0	0	0	0	0	0
N­íc ®éc 	0	1	1	125	1	5	-1	-1	0	0	T¨ng s¸t §éc s¸t	100000	100000	0	0	0	0	0	0	0	0	0
§éc Xµ 	0	1	2	125	5	10	-1	-1	0	0	T¨ng s¸t §éc s¸t	90000	90000	0	0	0	0	0	0	0	0	0
Cá kh« 	0	1	3	125	10	15	-1	-1	0	0	T¨ng s¸t §éc s¸t	90000	90000	0	0	0	0	0	0	0	0	0
¤n dÞch	0	1	4	125	15	20	-1	-1	0	0	T¨ng s¸t §éc s¸t	80000	80000	0	0	0	0	0	0	0	0	0
O¸n hËn	0	1	5	125	20	25	-1	-1	0	0	T¨ng s¸t §éc s¸t	70000	70000	0	0	0	0	0	0	0	0	0
TruyÒn nhiÔm	0	1	6	125	25	30	-1	-1	0	0	T¨ng s¸t §éc s¸t	60000	60000	0	0	0	0	0	0	0	0	0
Thèi röa	0	1	7	125	30	35	-1	-1	0	0	T¨ng s¸t §éc s¸t	40000	40000	0	0	0	0	0	0	0	0	0
KÞch §éc	0	1	8	125	35	40	-1	-1	0	0	T¨ng s¸t §éc s¸t	30000	30000	0	0	0	0	0	0	0	0	0
ChÝ tö 	0	1	9	125	40	45	-1	-1	0	0	T¨ng s¸t §éc s¸t	10000	10000	0	0	0	0	0	0	0	0	0
§o¹n hån	0	1	10	125	45	50	-1	-1	0	0	T¨ng s¸t §éc s¸t	5000	5000	0	0	0	0	0	0	0	0	0
L¹nh gi¸ 	0	2	1	123	1	10	-1	-1	0	0	T¨ng s¸t B¨ng s¸t	100000	100000	0	0	0	0	0	0	0	0	0
L¹nh gi¸ 	0	2	2	123	10	20	-1	-1	0	0	T¨ng s¸t B¨ng s¸t	90000	90000	0	0	0	0	0	0	0	0	0
L¹nh gi¸ 	0	2	3	123	20	30	-1	-1	0	0	T¨ng s¸t B¨ng s¸t	90000	90000	0	0	0	0	0	0	0	0	0
®ãng b¨ng 	0	2	4	123	30	40	-1	-1	0	0	T¨ng s¸t B¨ng s¸t	80000	80000	0	0	0	0	0	0	0	0	0
B¨ng tuyÕt 	0	2	5	123	40	50	-1	-1	0	0	T¨ng s¸t B¨ng s¸t	70000	70000	0	0	0	0	0	0	0	0	0
Hµn §«ng	0	2	6	123	50	60	-1	-1	0	0	T¨ng s¸t B¨ng s¸t	60000	60000	0	0	0	0	0	0	0	0	0
L¹nh buèt	0	2	7	123	60	70	-1	-1	0	0	T¨ng s¸t B¨ng s¸t	40000	40000	0	0	0	0	0	0	0	0	0
L¹nh buèt 	0	2	8	123	70	80	-1	-1	0	0	T¨ng s¸t B¨ng s¸t	30000	30000	0	0	0	0	0	0	0	0	0
B¨ng cùc	0	2	9	123	80	90	-1	-1	0	0	T¨ng s¸t B¨ng s¸t	10000	10000	0	0	0	0	0	0	0	0	0
Chuyªn Hóc	0	2	10	123	90	100	-1	-1	0	0	T¨ng s¸t B¨ng s¸t	5000	5000	0	0	0	0	0	0	0	0	0
§Þa DiÖm háa	0	3	1	122	1	10	-1	-1	0	0	T¨ng Ho¶ s¸t	100000	100000	0	0	0	0	0	0	0	0	0
Hµo quang	0	3	2	122	10	20	-1	-1	0	0	T¨ng Ho¶ s¸t	90000	90000	0	0	0	0	0	0	0	0	0
NhiÖt t×nh	0	3	3	122	20	30	-1	-1	0	0	T¨ng Ho¶ s¸t	90000	90000	0	0	0	0	0	0	0	0	0
T×nh c¶m m·nh liÖt	0	3	4	122	30	40	-1	-1	0	0	T¨ng Ho¶ s¸t	80000	80000	0	0	0	0	0	0	0	0	0
®èt 	0	3	5	122	40	50	-1	-1	0	0	T¨ng Ho¶ s¸t	70000	70000	0	0	0	0	0	0	0	0	0
Thiªu ®èt	0	3	6	122	50	60	-1	-1	0	0	T¨ng Ho¶ s¸t	60000	60000	0	0	0	0	0	0	0	0	0
Löa ®á 	0	3	7	122	60	70	-1	-1	0	0	T¨ng Ho¶ s¸t	40000	40000	0	0	0	0	0	0	0	0	0
XÝch DiÖm	0	3	8	122	70	80	-1	-1	0	0	T¨ng Ho¶ s¸t	30000	30000	0	0	0	0	0	0	0	0	0
Löa ®á	0	3	9	122	80	90	-1	-1	0	0	T¨ng Ho¶ s¸t	10000	10000	0	0	0	0	0	0	0	0	0
Viªm ®Õ	0	3	10	122	90	100	-1	-1	0	0	T¨ng Ho¶ s¸t	5000	5000	0	0	0	0	0	0	0	0	0
TiÕng sÊm	0	4	1	124	1	10	-1	-1	0	0	T¨ng L«i s¸t	100000	100000	0	0	0	0	0	0	0	0	0
§iÖn kÝch	0	4	2	124	10	20	-1	-1	0	0	T¨ng L«i s¸t	90000	90000	0	0	0	0	0	0	0	0	0
¸nh chíp	0	4	3	124	20	30	-1	-1	0	0	T¨ng L«i s¸t	90000	90000	0	0	0	0	0	0	0	0	0
Trung hßa ®iÖn	0	4	4	124	30	40	-1	-1	0	0	T¨ng L«i s¸t	80000	80000	0	0	0	0	0	0	0	0	0
¸nh chíp	0	4	5	124	40	50	-1	-1	0	0	T¨ng L«i s¸t	70000	70000	0	0	0	0	0	0	0	0	0
¸nh chíp	0	4	6	124	50	60	-1	-1	0	0	T¨ng L«i s¸t	60000	60000	0	0	0	0	0	0	0	0	0
SÊm sÐt	0	4	7	124	60	70	-1	-1	0	0	T¨ng L«i s¸t	40000	40000	0	0	0	0	0	0	0	0	0
Thiªn L«i 	0	4	8	124	70	80	-1	-1	0	0	T¨ng L«i s¸t	30000	30000	0	0	0	0	0	0	0	0	0
L«i C«ng	0	4	9	124	80	90	-1	-1	0	0	T¨ng L«i s¸t	10000	10000	0	0	0	0	0	0	0	0	0
L«i ThÇn 	0	4	10	124	90	100	-1	-1	0	0	T¨ng L«i s¸t	5000	5000	0	0	0	0	0	0	0	0	0
Kim Tinh 	0	0	3	134	2	4	-1	-1	0	0	ChuyÓn hãa s¸t th­¬ng vËt lý thµnh Néi lùc	0	0	50000	0	0	50000	50000	50000	50000	0	0
Kim Ph¸ch	0	0	6	134	4	7	-1	-1	0	0	ChuyÓn hãa s¸t th­¬ng vËt lý thµnh Néi lùc	0	0	50000	0	0	50000	50000	50000	50000	0	0
Kim ThÇn 	0	0	10	134	7	10	-1	-1	0	0	ChuyÓn hãa s¸t th­¬ng vËt lý thµnh Néi lùc	0	0	50000	0	0	50000	50000	50000	50000	0	0
V« h×nh	0	3	2	104	1	5	-1	-1	0	0	Bá qua s¸t th­¬ng vËt lý 	0	0	10000	0	0	10000	10000	10000	10000	0	0
HuyÔn nhí 	0	3	4	104	5	10	-1	-1	0	0	Bá qua s¸t th­¬ng vËt lý 	0	0	9000	0	0	9000	9000	9000	9000	0	0
ThÊp tho¸ng	0	3	6	104	10	15	-1	-1	0	0	Bá qua s¸t th­¬ng vËt lý 	0	0	8000	0	0	8000	8000	8000	8000	0	0
H­ ¶o	0	3	8	104	15	20	-1	-1	0	0	Bá qua s¸t th­¬ng vËt lý 	0	0	7000	0	0	7000	7000	7000	7000	0	0
