key	value
G_PLAYER_3	Kü n¨ng %s cña b¹n ®· ®Õn cùc h¹n, kh«ng thÓ th¨ng cÊp thªm n÷a 
G_PLAYER_4	Kü n¨ng chiÕn ®Êu cña B¹n ph¶i ®¹t ®Õn cÊp %d míi cã thÓ th¨ng cÊp %s kü n¨ng. 
G_PLAYER_5	Kim Hoµn B¶o, chuyÓn nhËp ®iÓm sè thµnh c«ng! 
G_PLAYER_6	Kim Hoµn B¶o, lÇn sau sÏ chuyÓn nhËp ®iÓm sè 
G_PLAYER_7	Kim Hoµn B¶o, chuyÓn nhËp 28 ngµy thµnh c«ng! 
G_PLAYER_8	Kim Hoµn B¶o, lÇn sau sÏ chuyÓn nhËp 28 ngµy
G_PLAYER_9	Nguyªn b¶o chuyÓn thµnh c«ng 20 giê ch¬i!
G_PLAYER_10	Nguyªn b¶o sÏ chuyÓn thµnh 20 giê ch¬i vµo ®ît b¶o tr× tíi
G_PLAYER_11	Nguyªn b¶o chuyÓn thµnh c«ng 10 ngµy ch¬i!
G_PLAYER_12	Nguyªn b¶o sÏ chuyÓn thµnh 10 ngµy ch¬i vµo ®ît b¶o tr× tíi
G_PLAYER_13	HÖ thèng hñy bá 
G_PLAYER_14	TiÕp tôc
G_PLAYER_15	Hoµn thµnh
G_PLAYER_16	Chóc mõng b¹n! NhËn ®­îc %d Tö §èi, nhËn ®­îc phÇn th­ëng %d l­îng! 
G_PLAYER_17	Chóc mõng b¹n! NhËn ®­îc %d Tö Kh¾c; Chóc mõng b¹n ®­îc phÇn th­ëng lín, tæng céng %d l­îng! 
G_PLAYER_18	Chóc mõng b¹n! NhËn ®­îc %d %d %d phÇn th­ëng %d l­îng! 
G_PLAYER_19	Chóc mõng b¹n, b¹n nhËn ®­îc phÇn th­ëng! 
G_PLAYER_20	Ng©n phiÕu chuyÓn thµnh ®iÓm sè thµnh c«ng!
G_PLAYER_21	Ng©n phiÕu sÏ chuyÓn hãa thµnh ®iÓm sè sau lÇn b¶o tr× server lÇn sau!
G_PLAYER_22	Ng©n phiÕu chuyÓn thµnh sè ngµy thµnh c«ng!
G_PLAYER_23	Ng©n phiÕu sÏ chuyÓn hãa thµnh sè ngµy sau lÇn b¶o tr× server lÇn sau!

G_PLAYER_24	Giao dÞch bÞ hñy bá, xin h·y kiÓm tra tæng sè tiÒn trong hµnh trang vµ tiÒn nhËn ®­îc khi giao dÞch cã ph¶i v­ît giíi h¹n!
G_PLAYER_25	Giao dÞch bÞ hñy bá, ®èi ph­¬ng kh«ng phï hîp ®iÒu kiÖn giao dÞch!
G_PLAYER_26	B¹n ®· bÞ träng th­¬ng, sÏ tù ®éng håi sinh!
G_PLAYER_27	Thêi gian ngåi b¸n hiÖn t¹i cña b¹n lµ 0, kh«ng thÓ tiÕp tôc ngåi b¸n.
G_PLAYER_28	Nghe th«ng tin truyÒn miÖng: quan phñ sÏ träng th­ëng cho ai chØ chç b¹n lÈn trèn, xin h·y cÈn thËn!
G_PLAYER_29	ThÕ th©n phï trong hµnh trang cña bang gióp b¹n chèng ®ì ®­îc 1 lÇn tÊn c«ng chÝ m¹ng!
G_PLAYER_30	Ng­êi ch¬i [%s], ë [%s] täa ®é [%d, %d] nhÆt ®­îc '%s'
G_PLAYERSET_0	T«i<color=green>%s<color=restore> còng ®i. Huynh (tû) h·y chê t«i cïng ®i b¸i kiÕn
G_PLAYERSET_1	<color=green>%s<color=restore>thi triÓn L¨ng Ba Vi Bé, bång bÒnh mµ ®i. 
G_PLAYERSET_2	Mét tia sÊm chíp, <color=green>%s<color=restore> trªn trêi gi¸ng xuèng. 
G_PLAYERSET_3	Qu¶n gia ë Ng« phñ 

G_PlayerStall_0	Mua ®å ®¹c
G_PlayerStall_2 	H·y quay l¹i sau!

G_PARTNER_0	Tªn b¹n ®Æt kh«ng ®óng!

G_ITEM_0	<color=White> vËt phÈm t¹m thêi: 
G_ITEM_1	§¼ng cÊp: %d\n
G_ITEM_2	Gi¸ c¶: %d %s
G_ITEM_3	<color=White>Thuéc tÝnh Ngò hµnh: <color=Metal>Kim 
G_ITEM_4	<color=White>Thuéc tÝnh Ngò hµnh: <color=Wood>Méc 
G_ITEM_5	<color=White>Thuéc tÝnh Ngò hµnh: <color=Water>Thñy 
G_ITEM_6	<color=White>Thuéc tÝnh Ngò hµnh: <color=Fire>Háa 
G_ITEM_7	<color=White>Thuéc tÝnh Ngò hµnh: <color=Earth>Thæ 
G_ITEM_8	<color=Yellow>Kh«ng thÓ ph¸ hñy<color>
G_ITEM_9_1	§é bÒn: %3d / %3d
G_ITEM_9_2	<color=red>§é bÒn %3d / %3d<color>
G_ITEM_10	Nãn
G_ITEM_11	Y phôc
G_ITEM_12	Th¾t l­ng
G_ITEM_13	Vò khÝ 
G_ITEM_14	hµi
G_ITEM_15	Hé uyÓn
G_ITEM_16	D©y chuyÒn
G_ITEM_17	NhÉn ph¶i (trªn) 
G_ITEM_18	NhÉn tr¸i (d­íi) 
G_ITEM_19	Ngäc béi
G_ITEM_20	C­ìi ngùa
G_ITEM_21	CÇn %s cña %s vµ %s ®Ó kÝch thuéc tÝnh ©m 
G_ITEM_22	 [cÊp %d]
G_ITEM_23	<color=Yellow>Sè lÇn sö dông: kh«ng h¹n chÕ<color>
G_ITEM_24	<color=Yellow>Sè lÇn cßn sö dông ®­îc: %d / %d<color>
G_ITEM_25	<color=Yellow>Sau mçi lÇn sö dông, sè lÇn sÏ bÞ trõ ®i 1<color>
G_ITEM_26	<color=Red>Trang bÞ nµy chØ cã thÓ sö dông 1 lÇn cuèi cïng, sau ®ã sÏ tù ®éng biÕn mÊt<color>
G_ITEM_27	Ch­a kh¶m n¹m
G_ITEM_28	<trang bÞ tæn h¹i>
G_ITEM_29	<color=Fire>Thêi gian sö dông cßn: %02d giê %02d phót<color>
G_ITEM_30	\n<color=Fire>Thêi h¹n sö dông: %.2d:%.2d %.2d-%.2d-%d<color>\n
G_ITEM_31	Gi¸ c¶: %d tiÒn vµng
G_ITEM_32	Gi¸ c¶: %d tÝch lòy th­¬ng héi
G_ITEM_33	Thu thËp ®¹o cô
G_ITEM_BIND_STATE	<color=Green>VËt phÈm nµy ®· ®­îc khãa b¶o hiÓm<color>\n
G_ITEM_BIND_STATE2	<color=Green>VËt phÈm nµy ®· ®­îc khãa b¶o hiÓm vÜnh viÔn<color>\n
G_ITEM_UNBIND_STATE	<color=Green>Thêi gian chê më khãa: %d giê<color>\n

G_ItemList_0	Kh«ng thÓ sö dông Thæ §Þa Phï ë ®©y
G_ItemList_1	R­¬ng chøa ®å ®ang trong tr¹ng th¸i bÞ khãa, kh«ng thÓ lÊy tiÒn
G_ItemList_2	R­¬ng chøa ®å ®ang bÞ khãa, kh«ng thÓ ®iÒu chØnh trang bÞ! 
G_ItemList_3	R­¬ng chøa ®å ®ang bÞ khãa! 
G_ItemList_4	ThiÕt lËp mËt m· thµnh c«ng! 
G_ItemList_5	ThiÕt lËp mËt m· thÊt b¹i: mËt m· ®· ®­îc thiÕt lËp! 
G_ItemList_6	Hñy bá mËt m· thµnh c«ng! 
G_ItemList_7	Hñy bá mËt m· thÊt b¹i: ch­a tõng thiÕt lËp mËt m·! 
G_ItemList_8	Hñy bá mËt m· thÊt b¹i: mËt m· kiÓm chøng sai! 
G_ItemList_9	Thay ®æi mËt m· thµnh c«ng! 
G_ItemList_10	Thay ®æi mËt m· thÊt b¹i: ch­a tõng thiÕt lËp mËt m·, kh«ng thÓ thay ®æi! 
G_ItemList_11	Thay ®æi mËt m· thÊt b¹i: mËt m· kiÓm chøng sai! 
G_ItemList_12	M· khãa thµnh c«ng! 
G_ItemList_13	M· khãa thÊt b¹i: chøc n¨ng më réng r­¬ng vµ mËt m· b¶o hé vÉn ch­a khëi ®éng! H·y ®Õn huyÖn Ba L¨ng gÆp ThÈm Cöu (188, 198) ®Ó mua chøc n¨ng khëi ®éng nµy
G_ItemList_14	Gi¶i m· khãa thµnh c«ng! 
G_ItemList_15	Gi¶i m· khãa thÊt b¹i: chøc n¨ng më réng r­¬ng vµ mËt m· b¶o hé vÉn ch­a khëi ®éng! H·y ®Õn huyÖn Ba L¨ng gÆp ThÈm Cöu (188, 198) ®Ó mua chøc n¨ng khëi ®éng nµy
G_ItemList_16	Gi¶i m· khãa thÊt b¹i: mËt m· kiÓm chøng thÊt b¹i! 
G_ItemList_17	Ng­êi ch¬i cã PK>=5 kh«ng thÓ sö dông Thæ ®Þa phï!
G_ItemList_18	Ng­êi ch¬i cã PK>=9 sö dông vËt phÈm nµy sÏ kh«ng cã hiÖu qu¶!

G_SkillList_0	kü n¨ng cña b¹n %s th«ng qua rÌn luyÖn ®· ®­îc n©ng cÊp råi! 
G_SkillList_1	Vò khÝ mµ b¹n trang bÞ kh«ng phï hîp víi lo¹i vâ c«ng mµ b¹n hiÖn ®ang sö dông
G_SkillList_2	Vâ c«ng mµ b¹n sö dông hiÖn giê kh«ng thÓ cìi ngùa! 
G_SkillList_3	Vâ c«ng mµ b¹n hiÖn ®ang sö dông cÇn ph¶i cìi ngùa! 
G_SkillList_4	Sè l­îng lÝnh ®¸nh thuª tuy ®· ®¹t cùc h¹n, vÉn cã thÓ thuª thªm! 
G_SkillList_5	Kü n¨ng %s cña §ång hµnh ®· ®­îc th¨ng cÊp!
G_SkillList_6	§¼ng cÊp yªu cÇu: %d

G_Skills_0	kü thuËt b¾n \n
G_Skills_1	H×nh t­êng sè l­îng %d\n
G_Skills_2	H×nh sîi sè l­îng %d\n
G_Skills_3	H×nh dÑp sè l­îng %d\n
G_Skills_4	H×nh trßn ph¸t t¸n sè l­îng %d\n
G_Skills_5	Khu vùc h×nh trßn sè l­îng %d\n
G_Skills_6	Khu vùc h×nh vu«ng sè l­îng %d\n
G_Skills_7	ThiÕt ®Þnh khu vùc h×nh trßn sè l­îng %d\n
G_Skills_8	ThiÕt ®Þnh khu vùc h×nh vu«ng sè l­îng %d\n
G_Skills_11	kü thuËt ®¸nh nhau \n
G_Skills_12	Vâ c«ng hç trî chñ lùc \n
G_Skills_13	Tr¹ng th¸i kÐo dµi thêi gian: %d\n
G_Skills_14	§­îc hç trî vâ c«ng \n
G_Skills_15	Khu vùc s¸t th­¬ng
G_Skills_16	Nguyªn ®Þa
G_Skills_17	§i th¼ng trùc tiÕp
G_Skills_18	§i ®­êng vßng
G_Skills_20	VËt bÞ nÐm ®i 
G_Skills_21	Xuyªn qua
G_Skills_22	Ph¹m vi s¸t th­¬ng: %d 
G_Skills_23	Ph¹m vi chÊn ®éng: %d 
G_Skills_24	Tiªu vong - tù hñy
G_Skills_25	¸nh s¸ng
G_Skills_26	VËt lý 
G_Skills_27	ë gÇn
G_Skills_28	TËn trung
G_Skills_29	§èi víi b¹n
G_Skills_30	§èi víi kÎ ®Þch
G_Skills_31	§èi víi vËt phÈm
G_Skills_32	§èi víi chÝnh m×nh
G_Skills_33	Suy nghÜ vÒ sè mÖnh
G_Skills_34	Thuéc tÝnh kü n¨ng: 
G_Skills_35	 (C«ng kÝch gÇn ) \n
G_Skills_36	 (C«ng kÝch xa) \n
G_Skills_37	§¼ng cÊp hiÖn thêi: %d
G_Skills_38	§¼ng cÊp hiÖn thêi: %d (%d+%d) 
G_Skills_39	Hç trî tõ c¸c kü n¨ng kh¸c: %d%%\n
G_Skills_40	Møc ®é luyÖn: %d%%\n
G_Skills_41	H¹n chÕ vò khÝ:
G_Skills_42	Trong lóc cìi ngùa kh«ng thÓ thi triÓn \n
G_Skills_43	CÇn ph¶i cìi ngùa ®Ó thi triÓn \n
G_Skills_44	\n<color=Red> §¼ng cÊp tiÕp theo \n
G_Skills_45	Tiªu hao néi lùc: %d\n
G_Skills_46	Tiªu hao thÓ lùc: %d\n
G_Skills_47	Tiªu hao sinh mÖnh: %d\n
G_Skills_48	Ph¹m vi hiÖu qu¶: %d\n
G_Skills_49	Kü n¨ng %s: +%d%%\n
G_Skills_50	<color=Blue> TÇng thø nhÊt: <color>
G_Skills_51	<color=Blue> TÇng thø 2: <color>
G_Skills_52	<color=Blue> TÇng thø 3: <color>
G_Skills_53	<color=Blue> TÇng thø 4: <color>
G_Skills_54	<color=Blue> TÇng thø 5: <color>
G_Skills_55	<color=Blue> TÇng thø 6: <color>
G_Skills_56	<color=Blue> TÇng thø 7: <color>
G_Skills_57	<color=Blue> TÇng thø 8: <color>
G_Skills_58	<color=Blue> TÇng thø 9: <color>
G_Skills_59	<color=Blue> TÇng thø 10: <color>
G_Skills_60	<color=Blue> TÇng thø 11: <color>
G_Skills_61	<color=Blue> TÇng thø 12: <color>
G_Skills_62	<color=Blue> TÇng thø 13: <color>
G_Skills_63	<color=Blue> TÇng thø 14: <color>
G_Skills_64	<color=Blue> TÇng thø 15: <color>
G_Skills_65	<color=Blue> TÇng thø 16: <color>
G_Skills_66	<color=Blue> TÇng thø 17: <color>
G_Skills_67	<color=Blue> TÇng thø 18: <color>
G_Skills_68	<color=Blue> TÇng thø 19: <color>
G_Skills_69	<color=Blue> TÇng thø 20: <color>
G_Skills_70	Thuéc tÝnh: Kim %d\n
G_Skills_71	Thuéc tÝnh: Méc %d\n
G_Skills_72	Thuéc tÝnh: Thñy %d\n
G_Skills_73	Thuéc tÝnh: Háa %d\n
G_Skills_74	Thuéc tÝnh: Thæ %d\n
G_Skills_75	Ngò Hµnh t­¬ng kh¾c: %d%%\n
G_Skills_76	Trang bÞ gåm cã:

G_PlayerPK_0	§iÓm PK cña b¹n qu¸ nhiÒu, chØ cho phÐp luyÖn c«ng! 
G_PlayerPK_1	§iÓm PK cña b¹n qu¸ nhiÒu, kh«ng thÓ h¹ thñ ®­îc! 

G_STR_GOOD_EXPIREDTIME	\n<color=Fire>Thêi gian b¸n vËt phÈm: %d ngµy %02d giê %02d phót<color>\n

G_ProtocolProcess_0	 mét ng­êi 
G_ProtocolProcess_1	 l­îng
G_ProtocolProcess_2	Ng©n l­îng
G_ProtocolProcess_3	 cã ng­êi 
G_ProtocolProcess_4	Bang chñ ®· ph¸t tiÒn cho B¹n: %d! 
G_ProtocolProcess_5	VÉn ch­a khëi ®éng chøc n¨ng th«ng b¸o khi cã ng­êi rêi tuyÕn
G_ProtocolProcess_6	Môc tiªu ®Ó chuyÓn ph¸t c¸c tin tøc ngo¹i tuyÕn lµ %s! 
G_ProtocolProcess_7	Môc tiªu thiÕt lËp chuyÓn ph¸t c¸c tin tøc ngo¹i tuyÕn lµ %s. 
G_ProtocolProcess_8	B¹n hiÖn t¹i kh«ng thÓ nhËn ®­îc nh÷ng tin tøc t¸n gÉu! \ n ®¨ng nhËp / OfflineTrans cã thÓ hñy bá ThiÕt lËp. 
G_ProtocolProcess_9	S¸ng lËp bang héi thÊt b¹i! 
G_ProtocolProcess_10	%s xin phÐp gia nhËp bang héi! 
G_ProtocolProcess_11	Ho¹t ®éng cña bang héi ®· bÞ ®×nh chØ, kh«ng thÓ nhËn lÖnh! 
G_ProtocolProcess_12	ChuyÓn vÞ thÊt b¹i, ®èi ph­¬ng kh«ng trùc tuyÕn! 
G_ProtocolProcess_13	ChuyÓn vÞ thÊt b¹i, ®èi ph­¬ng n¨ng lùc kh«ng ®ñ! 
G_ProtocolProcess_14	ChuyÓn vÞ thÊt b¹i, trong bang kh«ng cã ng­êi nµy! 
G_ProtocolProcess_15	Ho¹t ®éng cña bang héi ®· bÞ khãa! 
G_ProtocolProcess_16	%s xin phÐp gia nhËp liªn minh! 
G_ProtocolProcess_17	%s cù tuyÖt tiÕp nhËn bæn bang gia nhËp liªn minh
G_ProtocolProcess_18	Bang héi kh«ng ®ñ tiÒn! 
G_ProtocolProcess_19	hiÖn giê PK cña b¹n >?3,  tr­íc khi PK xin h·y hñy bá tr¹ng th¸i khãa trang bÞ.
G_ProtocolProcess_20	Tr¹ng th¸i cña b¹n hiÖn nay kh«ng thÓ di chuyÓn hoÆc giao dÞch vËt phÈm!
G_ProtocolProcess_21	§ång hµnh vÉn cßn h«n mª, sau %d gi©y n÷a míi cã thÓ xuÊt hiÖn
G_ProtocolProcess_22	Kho¶ng c¸ch gi÷a 2 lÇn gäi §ång hµnh qu¸ ng¾n, xin h·y thö l¹i sau!
G_ProtocolProcess_23	Kh«ng thÓ gäi ®ång hµnh t¹i ®©y!
G_ProtocolProcess_24	Thanh trang bÞ cña b¹n ®ang trong tr¹ng th¸i khãa, kh«ng thÓ gi¶i t¸n §ång hµnh!
G_ProtocolProcess_25	Kh«ng cho phÐp gi¶i t¸n b¹n ®ång hµnh cuèi cïng!
G_ProtocolProcess_26	VËt phÈm nµy kh«ng ph¸t huy t¸c dông t¹i n¬i ®©y!
G_ProtocolProcess_27	V× b¹n liªn tôc nhËp vµo mËt m· sai, hÖ thèng sÏ ng­ng kiÓm chøng trong mét kho¶ng thêi gian. Thêi gian cßn l¹i lµ: %d giê.
G_ProtocolProcess_28	B¹n liªn tôc nhËp vµo mËt m· sai %d lÇn. NÕu nhËp sai 10 lÇn liªn tôc th× hÖ thèng sÏ ng­ng kh«ng kiÓm chøng trong mét kho¶ng thêi gian.
G_ProtocolProcess_29	Tr¹ng th¸i hiÖn t¹i cña ng­¬i bÞ cÊm giao dÞch vËt phÈm!

G_ScriptFuns_0	V« hÖ 
G_ScriptFuns_1	< khu vùc phi trùc thuéc >
G_ScriptFuns_2	L«i ®µi trong bæn thµnh hiÖn vÉn ch­a tiÕn hµnh thi ®Êu
G_ScriptFuns_3	Khu vùc trong bæn thµnh gÇn ®©y kh«ng cã trËn thi ®Êu L«i ®µi nµo
G_ScriptFuns_4	Tin tøc tæ ®éi
G_ScriptFuns_5	 [Script] sö dông AddItem sè l­îng tham sè kh«ng phï hîp! 
G_ScriptFuns_6	 [Script] sö dông AddGoldItem sè l­îng tham sè kh«ng phï hîp! 
G_ScriptFuns_7	 [Script]GoldItem-tr­íc m¾t chØ ñng hé trang bÞ b»ng vµng! 
G_ScriptFuns_8	GetItem ParameterNotEnough!
G_ScriptFuns_9	HaveItem ParameterNotEnough!
G_ScriptFuns_10	DelCommonItem ParameterNotEnough!
G_ScriptFuns_11	ExistCommonItem ParameterNotEnough!
G_ScriptFuns_12	GetItemLife ParameterNotEnough!
G_ScriptFuns_13	Thµnh v« danh
G_ScriptFuns_14	Ch­a ghi nhí 
G_ScriptFuns_15	Ch­a biÕt bÕn tµu 
G_ScriptFuns_16	Danh väng giang hå cña B¹n ®· gi¶m %d ®iÓm! 
G_ScriptFuns_17	Danh väng giang hå cña B¹n ®· t¨ng %d ®iÓm! 

G_MagicDesc_0	Néi lùc
G_MagicDesc_1	Sinh lùc
G_MagicDesc_2	ThÓ lùc
G_MagicDesc_3	TiÒn
G_MagicDesc_4	+
G_MagicDesc_5	-
G_MagicDesc_6	 N÷ 
G_MagicDesc_7	 Nam 
G_MagicDesc_8	KiÕm 
G_MagicDesc_9	§¬n §ao
G_MagicDesc_10	C«n bæng 
G_MagicDesc_11	th­¬ng 
G_MagicDesc_12	Chïy 
G_MagicDesc_13	Song ®ao
G_MagicDesc_14	 së h÷u 
G_MagicDesc_15	¸m khÝ 
G_MagicDesc_16	 cËn th©n 
G_MagicDesc_17	Tay kh«ng
G_MagicDesc_18	Ch­a biÕt

G_KDiceGame_0	B¹n kh«ng cã ®ñ ng©n l­îng ®Ó tiÕp tôc trß ch¬i n÷a
G_KDiceGame_1	trß ch¬i 
G_KDiceGame_2	AddGlobalNews ( [ [nhiÖt liÖt chóc mõng %s ®· giµnh ®­îc ®¹i th­ëng, nhËn ®­îc sè tiÒn tÝch lòy, tæng céng %d l­îng! ]]) 
G_KDiceGame_3	%d: %d m¸y ch¬i game: %s dß ra %d|%d|%d, tiÒn c­îc: %d tiÒn th­ëng: %d tiÒn th­ëng: %d\n

G_STRING_AUTOHANGMSG_1	C«ng lùc cña B¹n qu¸ kÐm, kh«ng thÓ hÊp thô ®­îc hiÖu qu¶ thÇn kú cña ch¸o L¹p B¸t. Khi ®¹t cÊp %d h·y quay l¹i
G_STRING_AUTOHANGMSG_2	ChØ cã ch¸o L¹p B¸t míi cã thÓ hÊp thu ®­îc ®Þa khÝ ë ®©y, gióp B¹n t¨ng c­êng c«ng lùc. Xin h·y ®i t×m §µo Hoa Èn sÜ ®Ó mua mét Ýt ch¸o L¹p B¸t
G_STRING_AUTOHANGMSG_3	HiÖu lùc cuèi cïng cña ch¸o L¹p B¸t ®· ®­îc B¹n hÊp thô toµn bé, B¹n cÇn ph¶i ®Õn chç cña §µo Hoa Èn sÜ ®Ó mua thªm mét Ýt th× míi cã thÓ tiÕp tôc t¨ng c­êng thªm c«ng lùc
G_STRING_AUTOHANGMSG_4	Kinh nghiÖm cña B¹n ®· t¨ng lªn %d ®iÓm. 
G_STRING_AUTOHANGMSG_5	HiÖu lùc cuèi cïng cña ch¸o L¹p B¸t ®· ®­îc B¹n hÊp thô toµn bé, B¹n cÇn ph¶i ®Õn chç cña §µo Hoa Èn sÜ ®Ó mua thªm mét Ýt th× míi cã thÓ tiÕp tôc t¨ng c­êng thªm c«ng lùc

G_TONG_FIGURE_CALL_MASTER	Bang chñ 
G_TONG_FIGURE_CALL_DIRECTOR	Tr­ëng L·o
G_TONG_FIGURE_CALL_MANAGER	§éi tr­ëng
G_TONG_FIGURE_CALL_MEMBER	§Ö tö 
G_TONG_FIGURE_CALL_RETIRE	Èn sü

G_CORESHELL_0	\n<color=White>Gi¸ niªm yÕt: <color=Yellow>
G_CORESHELL_1	Lóc cìi ngùa kh«ng thÓ thiÒn täa! 

G_CORESHELL_STALL_0	\n<color=White>Gi¸ niªm yÕt ( thu nhËp ) : <color=Green>
G_CORESHELL_STALL_1	\n<color=White>Gi¸ b¸n (gåm thuÕ ) : <color=Yellow>
G_CORESHELL_STALL_2	\n<color=White>Gi¸ b¸n: <color=Yellow>
G_CORESHELL_STALL_3	\n<color=Blue>ThuÕ suÊt: %d%%\n

G_STRING_ALLSKILLS	 Vâ c«ng vèn cã 
G_STRING_BRACKET_BEGIN	 [ 
G_STRING_BRACKET_END	 ]

G_CITYWAR_WARNING_SETTAXTIME	Tr­íc m¾t kh«ng cho phÐp thiÕt ®Þnh thuÕ suÊt. Mçi ngµy chØ thiÕt ®Þnh thuÕ suÊt trong thêi gian ng¾n: %d ®iÓm?%d ®iÓm
G_CITYWAR_WARNING_TAXALREADYSET1 	B¹n ®· ®Æt thuÕ suÊt cña ngµy h«m nay!!
G_CITYWAR_WARNING_TAXALREADYSET	B¹n ®· thiÕt ®Þnh thuÕ suÊt cña tuÇn nµy råi! 
G_CITYWAR_WARNING_NOTTONGLEADER	B¹n kh«ng ph¶i lµ Bang chñ cña bang héi! 

G_STRING_DISABLED_CHAT	N¬i B¹n ®ang ®øng lµ khu vùc ®Æt thï, kh«ng thÓ sö dông kªnh t¸n gÉu nµy
G_STRING_ENTER_CHANNEL	B¹n ®· gia nhËp kªnh %s
G_STRING_LEAVE_CHANNEL	B¹n rêi khái kªnh

G_STRING_ANTIBOT_AFTERMSG	B¹n vÉn cßn bÞ ¶nh h­ëng cña phÇn mÒm hack, trong thêi gian nhÊt ®Þnh hÖ thèng kh«ng b¶o ®¶m chÝnh x¸c sè ®iÓm b¹n nhËn ®­îc.
G_STRING_ANTIBOT_CLEARMSG	§· xãa hÕt ¶nh h­ëng cña phÇn mÒm hack, hiÖn ®iÓm kinh nghiÖm b¹n nhËn ®­îc lµ chÝnh x¸c.
G_STRING_ANTIBOT_STARTMSG	B¹n ®ang sö dông phÇn mÒm hack, hÖ thèng kh«ng ®¶m b¶o chÝnh x¸c ®iÓm kinh nghiÖm b¹n nhËn ®­îc.

G_STRING_SONG	Tèng
G_STRING_JIN	Kim

G_STRING_MONEY	 l­îng
G_STRING_FUYUAN	Phóc Duyªn
G_STRING_COIN	TiÒn ®ång
G_STRING_SCORE	TÝch lòy
