sourcename	targetname
Phßng l­¬ng tiªn sinh 	Phßng l­¬ng tiªn sinh

HiÖu cÇm ®å l·o b¶n 	HiÖu cÇm ®å l·o b¶n

HiÖu cÇm ®å háa kÕ 	HiÖu cÇm ®å háa kÕ

Xa phu 	Xa phu

Cöa thµnh vÖ binh 	Cöa thµnh vÖ binh

Thèi nh©m quan viªn 	Thèi nh©m quan viªn

ë kh¸ch 	ë kh¸ch

M¹i du hµng  	M¹i du hµng 

DŞch quan 	DŞch quan

Linh phiÕn 	Linh phiÕn

Cè tö b×nh 	Cè tö b×nh

May 	May

Thuèc ®iÕm l·o b¶n 	Thuèc ®iÕm l·o b¶n

Thuèc ®iÕm l·o b¶n 	Thuèc ®iÕm l·o b¶n

Tr­¬ng tiÓu tuyÒn 	Tr­¬ng tiÓu tuyÒn

TÇn nh­ h©n 	TÇn nh­ h©n

Thî rÌn 	Thî rÌn

Thî rÌn l·o b¶n 	Thî rÌn l·o b¶n

LÔ quan 	LÔ quan

Häc ®å 	Häc ®å

D· tÈu 	D· tÈu

Long giíi sinh 	Long giíi sinh

Sßng b¹c tay ch©n 	Sßng b¹c tay ch©n

D©n cê b¹c 	D©n cê b¹c

Sßng b¹c l·o b¶n 	Sßng b¹c l·o b¶n

M· bu«n lËu 	M· bu«n lËu

Vâ l©m minh truyÒn thô 	Vâ l©m minh truyÒn thô

Tªn khÊt c¸i 	Tªn khÊt c¸i

Töu kh¸ch gi¸p 	Töu kh¸ch gi¸p

Töu kh¸ch Êt 	Töu kh¸ch Êt

Töu quû 	Töu quû

TiÔn Trang l·o b¶n 	TiÔn Trang l·o b¶n

L¸ tiÓu ngäc 	L¸ tiÓu ngäc

Trµ kh¸ch 	Trµ kh¸ch

Qu¸n trµ l·o b¶n 	Qu¸n trµ l·o b¶n

Ng­êi hÇu trµ 	Ng­êi hÇu trµ

Qu¸n trµ tiÓu nhŞ 	Qu¸n trµ tiÓu nhŞ

T¹ ®¹i gia 	T¹ ®¹i gia

T« Tam N­¬ng 	T« Tam N­¬ng

Trµ than 	Trµ than

H¹t bµ bµ 	H¹t bµ bµ

TiÓu xuyªn 	TiÓu xuyªn

HØ mµ 	HØ mµ

Hoa viªn ngo¹i 	Hoa viªn ngo¹i

T¬ lôa than 	T¬ lôa than

TiÖm t¹p hãa l·o b¶n 	TiÖm t¹p hãa l·o b¶n

Thi häa than 	Thi häa than

Th­ sinh nghÌo 	Th­ sinh nghÌo

Kh¸ch s¹n b×nh d©n tiÓu nhŞ 	Kh¸ch s¹n b×nh d©n tiÓu nhŞ

Kh¸ch s¹n b×nh d©n l·o b¶n 	Kh¸ch s¹n b×nh d©n l·o b¶n

Cung n÷ gi¸p 	Cung n÷ gi¸p

Cung n÷ Êt 	Cung n÷ Êt

Hoµng cung vÖ binh 	Hoµng cung vÖ binh

TiÓu th¸i gi¸m 	TiÓu th¸i gi¸m

L©m an dung sai 	L©m an dung sai

§inh viªn ngo¹i 	§inh viªn ngo¹i

Thèng lÜnh cÊm vÖ 	Thèng lÜnh cÊm vÖ

Nha dŞch 	Nha dŞch

H¸i thuèc l·o gi¶ 	H¸i thuèc l·o gi¶

T¹ gia ng­êi vî 	T¹ gia ng­êi vî

Sñng vËt ®iÕm l·o b¶n 	Sñng vËt ®iÕm l·o b¶n

Tr­¬ng ®µo s©u 	Tr­¬ng ®µo s©u

Th­ sinh 	Th­ sinh

Tµo c«ng c«ng 	Tµo c«ng c«ng

CÊm vÖ ®éi tr­ëng 	CÊm vÖ ®éi tr­ëng

CÊm vÖ qu©n 	CÊm vÖ qu©n

Kİnh m¾t v­¬ng m·ng xµ 	Kİnh m¾t v­¬ng m·ng xµ

R¾n hæ mang 	R¾n hæ mang

Cãc 	Cãc

R¾n n­íc 	R¾n n­íc

§éc t©m 	§éc t©m

§Çu ®éc 	§Çu ®éc

Gai ®éc 	Gai ®éc

R¨ng näc 	R¨ng näc

Ngò §éc gi¸o ®Ö tö 	Ngò §éc gi¸o ®Ö tö

Con bß c¹p 	Con bß c¹p

RÕt 	RÕt

§éc con nhÖn 	§éc con nhÖn

Con nhÖn 	Con nhÖn

M¸u thiÒm thõ 	M¸u thiÒm thõ

§éc m·ng 	§éc m·ng

§éc r¾n mèi 	§éc r¾n mèi

Tang ch©u 	Tang ch©u

MÆt ®en lang qu©n 	MÆt ®en lang qu©n

Kim xµ H­¬ng chñ 	Kim xµ H­¬ng chñ

Tµn s¸t dŞ 	Tµn s¸t dŞ

V©n kh«ng tµ 	V©n kh«ng tµ

B¹ch o¸nh o¸nh 	B¹ch o¸nh o¸nh

Thang bËt 	Thang bËt

T¹ ¬n b¶o nghÜa 	T¹ ¬n b¶o nghÜa

Hoµn nhan trêi ban 	Hoµn nhan trêi ban

TrÇm ng¶ b¨ng 	TrÇm ng¶ b¨ng

TÜnh tõ 	TÜnh tõ 

Hoa ®µo Èn sÜ 	Hoa ®µo Èn sÜ

§­êng Tam ®ao 	§­êng Tam ®ao

Kho¶ng kh«ng huÖ 	Kho¶ng kh«ng huÖ

Phïng qu©n hµnh 	Phïng qu©n hµnh

M¹nh tinh dao 	M¹nh tinh dao

L¸ phi 	L¸ phi

H«i lang 	H«i lang

B¸o tuyÕt 	B¸o tuyÕt

Hoµng lang 	Hoµng lang

Ph¶n tÆc 	Ph¶n tÆc

Lam kh¨n 	Lam kh¨n

GiÆc cá 	GiÆc cá

Xuyªn s¬n b¸o 	Xuyªn s¬n b¸o

D· b¸o 	D· b¸o

Tr­êng th­¬ng 	Tr­êng th­¬ng

KÕ chñy 	KÕ chñy

Phi liªm 	Phi liªm

Kim quèc bİ sö 	Kim quèc bİ sö

§o¹t mÖnh liªm 	§o¹t mÖnh liªm

S¬n tÆc 	S¬n tÆc

¶nh c«n 	¶nh c«n

Lang ca tông 	Lang ca tông

B×nh th­¬ng 	B×nh th­¬ng

Kho¸i ®ao 	Kho¸i ®ao

C­êng ®¹o 	C­êng ®¹o

Löa lang 	Löa lang

La tiªu thÊt quû 	La tiªu thÊt quû

V©n bé s¬n ­ng 	V©n bé s¬n ­ng

V©n bé ­ng chóa 	V©n bé ­ng chóa

L«i bé cuång lang 	L«i bé cuång lang

L«i bé vua ph­¬ng B¾c 	L«i bé vua ph­¬ng B¾c

C¸i kh¨n ®en 	C¸i kh¨n ®en

Kim y 	Kim y

Song phong 	Song phong

Kim quèc thİch kh¸ch 	Kim quèc thİch kh¸ch

Nh¹n ®·ng ph¸i ch­ëng m«n 	Nh¹n ®·ng ph¸i ch­ëng m«n

Nh¹n ®·ng ph¸i ®Ö tö 	Nh¹n ®·ng ph¸i ®Ö tö

Hå ly 	Hå ly

Sµi lang 	Sµi lang

KhØ Ma-c¸c 	KhØ Ma-c¸c

Mai hoa léc 	Mai hoa léc

B¹ch heo 	B¹ch heo

Kim mÌo 	Kim mÌo

Quan sai 	Quan sai

Thóy ph¸o hoa sö 	Thóy ph¸o hoa sö

Ngò ®éc t¸n nh©n 	Ngò ®éc t¸n nh©n

T¹ ¬n thanh mi 	T¹ ¬n thanh mi

Hµ mµ 	Hµ mµ

C«n L«n hé ph¸p 	C«n L«n hé ph¸p

Nga mi ®Ö tö 	Nga mi ®Ö tö

ThiÕu L©m la h¸n 	ThiÕu L©m la h¸n

Hä Chung Ly 	Hä Chung Ly

§­êng m«n ®Ö tö 	§­êng m«n ®Ö tö

C«ng thµnh chiÕn ch¾p ®Çu nh©n 	C«ng thµnh chiÕn ch¾p ®Çu nh©n

Ch­¬ng gia gia 	Ch­¬ng gia gia

Thiªn v­¬ng bang chóng 	Thiªn v­¬ng bang chóng

Lı giai 	Lı giai

Thİch duÉn ch©n 	Thİch duÉn ch©n

Bµnh phãng 	Bµnh phãng

Thiªn nhÉn gi¸o ®å 	Thiªn nhÉn gi¸o ®å

Vâ lµm ®Ö tö 	Vâ lµm ®Ö tö

§Ö tö C¸i Bang 	§Ö tö C¸i Bang

T« hång tay ¸o 	T« hång tay ¸o

Lç hiÓu 	Lç hiÓu

M¹nh bµ bµ 	M¹nh bµ bµ

Bao c¸t 	Bao c¸t

Cäc gç 	Cäc gç

Méc nh©n 	Méc nh©n

Vò s­ 	Vò s­

Ho¸n hïng 	Ho¸n hïng

TÜnh ®èc thiÒn s­ 	TÜnh ®èc thiÒn s­

A Phóc 	A Phóc

TrÇm c©u 	TrÇm c©u

§iÒn cô bµ 	§iÒn cô bµ

TriÖu tr¨m n¨m 	TriÖu tr¨m n¨m

V¹n sù th«ng 	V¹n sù th«ng

MÉn tø thÈm 	MÉn tø thÈm

V­¬ng thñ nghÜa 	V­¬ng thñ nghÜa

Bµnh ®¹i gia 	Bµnh ®¹i gia

B«n löa 	B«n löa

TriÖu ng©n ®Ô 	TriÖu ng©n ®Ô

V¨n tuÖ 	V¨n tuÖ

Cèc chi lan 	Cèc chi lan

TiÒn sö v­¬ng t¸ 	TiÒn sö v­¬ng t¸

Thiªn hé ph¸p lé v©n xa 	Thiªn hé ph¸p lé v©n xa

B¸o xa-li 	B¸o xa-li

§¹i ho¸n hïng 	§¹i ho¸n hïng

T¶ sö cæ b¸ch 	T¶ sö cæ b¸ch

§Şa hé ph¸p h¹ thµnh 	§Şa hé ph¸p h¹ thµnh

C«ng v¨n 	C«ng v¨n

Bªn ph¶i sö d­¬ng hå 	Bªn ph¶i sö d­¬ng hå

C©u c¸ «ng 	C©u c¸ «ng

T«n nãi lÜnh 	T«n nãi lÜnh

Thñy sinh 	Thñy sinh

C¸ phô hµ tÈu 	C¸ phô hµ tÈu

Thiªn V­¬ng bang chñ d­¬ng anh 	Thiªn V­¬ng bang chñ d­¬ng anh

C¸ sÊu 	C¸ sÊu

Kim r¾n c¹p nong 	Kim r¾n c¹p nong

Löa ng¹c 	Löa ng¹c

Thñy qu¸i 	Thñy qu¸i

ThiÕt tr¶o 	ThiÕt tr¶o

Hµnh gi¶ 	Hµnh gi¶

R¾n mèi tinh 	R¾n mèi tinh

Tµn s¸t nh©n 	Tµn s¸t nh©n

Du kh¸ch 	Du kh¸ch

La gia thİm 	La gia thİm

Xu«i dßng 	Xu«i dßng

Thiªn nhÉn tö sÜ 	Thiªn nhÉn tö sÜ

Ng­ d©n 	Ng­ d©n

TrÇm cöu 	TrÇm cöu

Cöu c©n cha 	Cöu c©n cha

L¹i võa vi 	L¹i võa vi

TiÖm t¹p hãa l·o b¶n 	TiÖm t¹p hãa l·o b¶n

§­êng m«n thŞ vÖ 	§­êng m«n thŞ vÖ

Thiªn v­¬ng t­íng lÜnh 	Thiªn v­¬ng t­íng lÜnh

Nga mi cÈm y ni 	Nga mi cÈm y ni

Vò §­¬ng ®¹o nh©n 	Vò §­¬ng ®¹o nh©n

Du Cöu Ch©u 	Du Cöu Ch©u

Ng« thÇn y 	Ng« thÇn y

TiÓu ng­ 	TiÓu ng­

A ph­¬ng 	A ph­¬ng

Tõ x­a th¸i 	Tõ x­a th¸i

Löa hå 	Löa hå

V« Danh t¨ng 	V« Danh t¨ng

L¹c anh 	L¹c anh

Vui s­íng 	Vui s­íng

M¹i thuèc «ng 	M¹i thuèc «ng

M¹i binh khİ nh©n 	M¹i binh khİ nh©n

NhiÔm «ng 	NhiÔm «ng

L¸ con 	L¸ con

Tiªn hå 	Tiªn hå

Löa r¾n mèi 	Löa r¾n mèi

§ång chuy 	§ång chuy

Kªn kªn 	Kªn kªn

Chim diÒu 	Chim diÒu

§én phñ h¸n 	§én phñ h¸n

Thæ phØ ®Çu môc 	Thæ phØ ®Çu môc

Löa viªm hæ 	Löa viªm hæ

GÊu chã 	GÊu chã

Con d¬i 	Con d¬i

M¸u bøc 	M¸u bøc

Hót huyÕt biªn bøc 	Hót huyÕt biªn bøc

Con b¸o ®Çu 	Con b¸o ®Çu

Hoa B¾c s¬n tÆc 2	Hoa B¾c s¬n tÆc 2

M· hÇu 	M· hÇu

Tr©u rõng 	Tr©u rõng

H¾c l¸ hÇu 	H¾c l¸ hÇu

§éc c« v¨n 	§éc c« v¨n

§éc c« kiÕm 	§éc c« kiÕm

Tr­¬ng l©m t©m 	Tr­¬ng l©m t©m

Thøu thÇn 	Thøu thÇn

Kim ®iªu 	Kim ®iªu

Hµnh S¬n ®Ö tö 	Hµnh S¬n ®Ö tö

Tïy qu©n d­îc y 	Tïy qu©n d­îc y

MËt ®¹o vÖ binh 	MËt ®¹o vÖ binh

Qu©n doanh vÖ binh 	Qu©n doanh vÖ binh

Quan tiÕp liÖu 	Quan tiÕp liÖu

L«i trµng m«n thŞ 	L«i trµng m«n thŞ

ThiÕu L©m ph¶n béi t¨ng 	ThiÕu L©m ph¶n béi t¨ng

Thuèc phiÕn 	Thuèc phiÕn

Yªu ®ao triÖu ph­¬ng 	Yªu ®ao triÖu ph­¬ng

TuyÕt qu¸i 	TuyÕt qu¸i

§¹i tuyÕt qu¸i 	§¹i tuyÕt qu¸i

Qu¸i nh©n 	Qu¸i nh©n

Ngäc hµnh tö 	Ngäc hµnh tö

D· hÇu 	D· hÇu

H«i hÇu 	H«i hÇu

H¾c hÇu 	H¾c hÇu

KhØ l«ng vµng v­¬ng 	KhØ l«ng vµng v­¬ng

ThiÖu ngäc phi 	ThiÖu ngäc phi

C¸ lµm ch©n 	C¸ lµm ch©n

Kh©u anh 	Kh©u anh

§ång tŞch nhan 	§ång tŞch nhan

TrÇn duyªn 	TrÇn duyªn

TiÓu hµn 	TiÓu hµn

TrÇn t©m 	TrÇn t©m

TrÇn niÖm 	TrÇn niÖm

Thanh tiÒu tÈu 	Thanh tiÒu tÈu

Thë dµi l·o nh©n 	Thë dµi l·o nh©n

Chu thiÕu 	Chu thiÕu

Toµn c¬ tö 	Toµn c¬ tö

Thanh h¹t sen 	Thanh h¹t sen

§én phñ 	§én phñ

§ao kh¸ch 	§ao kh¸ch

Ng¾n kİch 	Ng¾n kİch

Hång nguyÖt 	Hång nguyÖt

Lam v©n 	Lam v©n

Bß c¹p 	Bß c¹p

Sa thøu 	Sa thøu

Phong tôc thêi x­a cßn l­u l¹i 	Phong tôc thêi x­a cßn l­u l¹i

L­u quang 	L­u quang

L­u v©n 	L­u v©n

Nhanh vò 	Nhanh vò

TËt phong 	TËt phong

Nhanh ®iÖn 	Nhanh ®iÖn

Nhanh viªm 	Nhanh viªm

Nhanh m­a 	Nhanh m­a

Thæ phØ 	Thæ phØ

Phong minh 	Phong minh

Linh ®éng 	Linh ®éng

Ngäc diÖn 	Ngäc diÖn

Kho¸i ch©n 	Kho¸i ch©n

Hai l­ìi bóa 	Hai l­ìi bóa

Xuyªn s¬n 	Xuyªn s¬n

MÌo hoang 	MÌo hoang

Hoµng khØ Ma-c¸c 	Hoµng khØ Ma-c¸c

B¶ ®¹o nh©n 	B¶ ®¹o nh©n

C¸o l«ng ®á 	C¸o l«ng ®á

B¸o gÊm 	B¸o gÊm

V¨n b¸o 	V¨n b¸o

Hoa ban b¸o 	Hoa ban b¸o

Thanh l¸ ch¾n 	Thanh l¸ ch¾n

L­u l¹c 	L­u l¹c

Bóa bĞn 	Bóa bĞn

Thİch kh¸ch 	Thİch kh¸ch

Anh chµng lç m·ng 	Anh chµng lç m·ng

Truy hån 	Truy hån

L­u Tinh 	L­u Tinh

ThuËn giã 	ThuËn giã

N÷ thİch kh¸ch 	N÷ thİch kh¸ch

Voi 	Voi

Hoµng Hµ gièng 	Hoµng Hµ gièng

B¹ch Hæ 	B¹ch Hæ

V« danh l·o ®¹o 	V« danh l·o ®¹o

Tr×nh rÊt lµ 	Tr×nh rÊt lµ

TriÖu Mi nhi 	TriÖu Mi nhi

TriÖu gia bµ bµ 	TriÖu gia bµ bµ

Th­îng quan thu 	Th­îng quan thu

L·o b¶n n­¬ng 	L·o b¶n n­¬ng

Tª h­¬ng 	Tª h­¬ng

T«n nhŞ lang 	T«n nhŞ lang

T«n nho nhá 	T«n nho nhá

T«n gia tÈu tö 	T«n gia tÈu tö

Mai H­¬ng 	Mai H­¬ng

KhiÕu hãa tö 	KhiÕu hãa tö

Ph¸p m«n tù trô tr× 	Ph¸p m«n tù trô tr×

Tõng b¶o anh 	Tõng b¶o anh

M¹i th¸i phô 	M¹i th¸i phô

Giang bµ bµ 	Giang bµ bµ

Th¸i ®¹i thóc 	Th¸i ®¹i thóc

§Ëu §Ëu 	§Ëu §Ëu

L÷ l·o h¸n 	L÷ l·o h¸n

Bµnh tiÓu ®Ö 	Bµnh tiÓu ®Ö

TÇn nhŞ ca 	TÇn nhŞ ca

Chu ®å tÓ 	Chu ®å tÓ

Thang bao tö 	Thang bao tö

Tiªu côc l·o b¶n 	Tiªu côc l·o b¶n

Nha m«n sai dŞch 	Nha m«n sai dŞch

D­¬ng th­ sinh 	D­¬ng th­ sinh

Sñng vËt l·o b¶n 	Sñng vËt l·o b¶n

Hå viªn ngo¹i 	Hå viªn ngo¹i

SÇm hïng 	SÇm hïng

D­ vâ 	D­ vâ

Th¸i thÈm thÈm 	Th¸i thÈm thÈm

D­ tÈu 	D­ tÈu

A kiÒu 	A kiÒu

C©y mÉu ®¬n 	C©y mÉu ®¬n

A bß 	A bß

Tr­¬ng tö thiÖn 	Tr­¬ng tö thiÖn

Thóy thóy 	Thóy thóy

Thanh lang 	Thanh lang

Linh ®iªu 	Linh ®iªu

GiÆc cá gi¸p 	GiÆc cá gi¸p

GiÆc cá Êt 	GiÆc cá Êt

§¹o tr¶i qua nh©n 	§¹o tr¶i qua nh©n

Liªu kú 	Liªu kú

§¹i con nhİm 	§¹i con nhİm

Kim S¬n ch­ëng m«n 	Kim S¬n ch­ëng m«n

§¹i lîn rõng 	§¹i lîn rõng

Hoa S¬n l·o tÈu 	Hoa S¬n l·o tÈu

Tr¹m dŞch xa phu 	Tr¹m dŞch xa phu

§Ö tö ThiÕu l©m th­êng tr¨m dÆm 	§Ö tö ThiÕu l©m th­êng tr¨m dÆm

§Ö tö ThiÕu l©m quı ®Şch phong 	§Ö tö ThiÕu l©m quı ®Şch phong

Qu©n Kim 	Qu©n Kim

Kim quèc t­íng lÜnh th¸c nhÜ h¸n 	Kim quèc t­íng lÜnh th¸c nhÜ h¸n

Bß bß 	Bß bß

Hä ¢u D­¬ng 	Hä ¢u D­¬ng

Hoµng thóc 	Hoµng thóc

§æng ®¹i thóc 	§æng ®¹i thóc

Tr×nh V« T©m 	Tr×nh V« T©m

Ph­îng nhi 	Ph­îng nhi

VÜnh L¹c hiÖu cÇm ®å l·o b¶n 	VÜnh L¹c hiÖu cÇm ®å l·o b¶n

Lç gia 	Lç gia

Lı dù 	Lı dù

Cóc nµng 	Cóc nµng

T¹p ho¸ l·o b¶n 	T¹p ho¸ l·o b¶n

Xu©n h­¬ng 	Xu©n h­¬ng

Th­ n·i n·i 	Th­ n·i n·i

§æng b¸c g¸i 	§æng b¸c g¸i

C¸t gia 	C¸t gia

§¹o b¶o kÎ trém 	§¹o b¶o kÎ trém

§ång nh©n 	§ång nh©n

Xİch xµ 	Xİch xµ

H«i bøc 	H«i bøc

Hång bøc 	Hång bøc

N«ng phu 	N«ng phu

Ch­ëng m«n ®­êng thï 	Ch­ëng m«n ®­êng thï

TuyÖt xu©n tÈu ®­êng d· 	TuyÖt xu©n tÈu ®­êng d·

Xİch DiÔm ng¹c 	Xİch DiÔm ng¹c

§­êng ®éc 	§­êng ®éc

Qu¶n gia 	Qu¶n gia

§­êng khinh 	§­êng khinh

§­êng thiÕu 	§­êng thiÕu

§¹i h¾c l¸ hÇu 	§¹i h¾c l¸ hÇu

§­êng m«n trang ®inh 	§­êng m«n trang ®inh

§¹i d· hÇu 	§¹i d· hÇu

§¹i m· hÇu 	§¹i m· hÇu

§­êng bÊt nhiÔm 	§­êng bÊt nhiÔm

¸o bµo tr¾ng tÈu ®­êng h¹c 	¸o bµo tr¾ng tÈu ®­êng h¹c

Tiªu nhiªm tÈu ®­êng v©n 	Tiªu nhiªm tÈu ®­êng v©n

VÏ rång ®iÓm m¾t hæ 	VÏ rång ®iÓm m¾t hæ

§­êng nhÊt trÇn 	§­êng nhÊt trÇn

Hay Èn 	Hay Èn

R¾n mèi v­¬ng 	R¾n mèi v­¬ng

KhØ l«ng vµng 	KhØ l«ng vµng

¸nh TuyÕt tiªn tö môc v©n tõ 	¸nh TuyÕt tiªn tö môc v©n tõ

Hay linh 	Hay linh

Hay khiÕt 	Hay khiÕt

Hay t©m 	Hay t©m

TuÖ ni 	TuÖ ni

Vò y ni 	Vò y ni

Hay trÇn 	Hay trÇn

Dêi quang tiªn tö t¹ ¬n v©n la 	Dêi quang tiªn tö t¹ ¬n v©n la

M¾t long lanh tiªn tö g× liªn phiªu 	M¾t long lanh tiªn tö g× liªn phiªu

PhÊt v©n tiªn tö tÇn û phong 	PhÊt v©n tiªn tö tÇn û phong

ChiÕt Mai tiªn tö l¸ b¨ng vÕt 	ChiÕt Mai tiªn tö l¸ b¨ng vÕt

B¸i nguyÖt tiªn tö t« tõ hinh 	B¸i nguyÖt tiªn tö t« tõ hinh

Nga mi ch­ëng m«n thanh hiÓu s­ th¸i 	Nga mi ch­ëng m«n thanh hiÓu s­ th¸i

Háa v©n hæ 	Háa v©n hæ

Hay nÕu nh­ 	Hay nÕu nh­

T©n viªn ngo¹i 	T©n viªn ngo¹i

Ngôy ®¹i gia 	Ngôy ®¹i gia

Tªn c«n ®å 	Tªn c«n ®å

TiÕu bµ bµ 	TiÕu bµ bµ

Du kh¸ch 	Du kh¸ch

TiÕt tiÓu muéi 	TiÕt tiÓu muéi

Th¹ch ?	Th¹ch ?

Chu thuÊn vâ 	Chu thuÊn vâ

Mai n­¬ng 	Mai n­¬ng

Xu©n c« 	Xu©n c«

T©n NhŞ thÈm 	T©n NhŞ thÈm

Sê tó tµi 	Sê tó tµi

Tõ tÈu 	Tõ tÈu

øng víi th¶i mµ 	øng víi th¶i mµ

Ngôy TiÓu Minh 	Ngôy TiÓu Minh

Tr©u l©u dµi 	Tr©u l©u dµi

M· phiÕn cïng 	M· phiÕn cïng

Cao l·o b¶n 	Cao l·o b¶n

Tù t¨ng 	Tù t¨ng

Tõ v©n ph¸p s­ 	Tõ v©n ph¸p s­

Ph­¬ng thİch 	Ph­¬ng thİch

H¸i thuèc thiÕu n÷ 	H¸i thuèc thiÕu n÷

DuÉn tİnh to¸n tµi t×nh 	DuÉn tİnh to¸n tµi t×nh

Bİch hoa 	Bİch hoa

Yªn nhi 	Yªn nhi

Tr­¬ng Tø tÈu 	Tr­¬ng Tø tÈu

T«n uyÓn 	T«n uyÓn

H¹ lan chi 	H¹ lan chi

Tèng cö nh©n 	Tèng cö nh©n

NghÌo tóng ®Ö tö 	NghÌo tóng ®Ö tö

Hung t¨ng 	Hung t¨ng

Ph¶n béi t¨ng ®Çu môc 	Ph¶n béi t¨ng ®Çu môc

La tiªn sinh 	La tiªn sinh

NguyÖt l·o 	NguyÖt l·o

§­êng nguyªn cËu 	§­êng nguyªn cËu

§­êng nguyªn 	§­êng nguyªn

Ng« hång mai 	Ng« hång mai

Hæ tö n­¬ng 	Hæ tö n­¬ng

Hæ tö 	Hæ tö

Qu¸ch dòng 	Qu¸ch dòng

Mçi ngµy n­¬ng 	Mçi ngµy n­¬ng

Mçi ngµy 	Mçi ngµy

Ng« l·o ®a 	Ng« l·o ®a

¸c ni 	¸c ni

ThÇn bİ s¸t thñ 	ThÇn bİ s¸t thñ

Giíi ng©y th¬ 	Giíi ng©y th¬

Kim th­¬ng 	Kim th­¬ng

Linh Ên 	Linh Ên

ThiÕt chïy Ma qu©n 	ThiÕt chïy Ma qu©n

ThiÕt quyÒn Diªm La 	ThiÕt quyÒn Diªm La

§­êng lóa 	§­êng lóa

TiÓu ®Çu môc lÖ quyÒn 	TiÓu ®Çu môc lÖ quyÒn

§¹i ®Çu môc cuång sa 	§¹i ®Çu môc cuång sa

TiÓu ®Çu môc ®éc nhÜ 	TiÓu ®Çu môc ®éc nhÜ

TiÓu ®Çu môc quû ¶nh 	TiÓu ®Çu môc quû ¶nh

TiÓu ®Çu môc c¸nh tay s¾t 	TiÓu ®Çu môc c¸nh tay s¾t

Tr­êng ®ao 	Tr­êng ®ao

Quû d¹ xoa 	Quû d¹ xoa

Linh thó 	Linh thó

Cao nh©n 	Cao nh©n

Hung thøu 	Hung thøu

H¾c ­ng 	H¾c ­ng

GÊu ngùa 	GÊu ngùa

C¶nh tö kú 	C¶nh tö kú

M·nh hæ 	M·nh hæ

ThÇn bİ nh©n 	ThÇn bİ nh©n

Nhµ ®ß 	Nhµ ®ß

Kim khØ Ma-c¸c 	Kim khØ Ma-c¸c

Löa tİch 	Löa tİch

Nha m«n vÖ binh 	Nha m«n vÖ binh

Hßa th­îng 	Hßa th­îng

§o¹n t­ thµnh 	§o¹n t­ thµnh

