MAGICID	MAGICNAME	FACTIONID	LEVEL1	LEVEL2	LEVEL3	LEVEL4	LEVEL5	LEVEL6	LEVEL7	LEVEL8	LEVEL9	LEVEL10	LEVEL11	LEVEL12	LEVEL13	LEVEL14	LEVEL15	LEVEL16	LEVEL17	LEVEL18	LEVEL19	LEVEL20	LEVEL21	LEVEL22	LEVEL23	LEVEL24	LEVEL25	LEVEL26
712	BÕ NguyÖt PhÊt TrÇn	4	17851239	19487603	22760330	27669421	34214875	42396694	52214875	63669421	76760330	91487603	107851239	135669421	174942148	225669421	274418181	344618181	425738181	517778181	620738181	620738181						
336	B¨ng Tung V« ¶nh 	5	4000	4600	5382	6406	11632	14318	17915	22784	29446	51550	68755	77991	86977	95345	154070	163074	169548	173117	173550	227708						
337	B¨ng T©m Tiªn Tö  	5	6500	7474	8746	10410	12602	15511	19408	24683	31900	41885	55863	63367	70669	77468	83454	88331	91838	93771	94006	92506						
713	Ngù TuyÕt Èn	5	17851239	19487603	22760330	27669421	34214875	42396694	52214875	63669421	76760330	91487603	107851239	135669421	174942148	225669421	274418181	344618181	425738181	517778181	620738181	620738181						
359	Thiªn H¹ V« CÈu 	6	3500	4024	4709	5605	6785	8352	10450	13291	17176	22553	30080	34121	38052	83427	89874	95126	148354	151477	151856	149433						
357	Phi Long T¹i Thiªn 	6	4300	4945	5786	6886	8336	20522	25679	32658	42206	55417	73912	83840	93501	102496	165625	175304	182264	186101	186566	244786						
714	Hçn Thiªn KhÝ C«ng	6	17851239	19487603	22760330	27669421	34214875	42396694	52214875	63669421	76760330	91487603	107851239	135669421	174942148	225669421	274418181	344618181	425738181	517778181	620738181	620738181						
361	V©n Long KÝch	7	5800	6669	7804	9289	11244	13840	17318	22025	28464	37374	49847	56543	63058	69125	74467	78819	81948	83673	83882	82544						
362	Thiªn Ngo¹i L­u Tinh	7	6127	7046	8245	9813	11879	14622	18296	23269	30071	39484	52662	59736	66619	73028	78672	83269	86575	88398	88619	87205						
715	Ma ¢m PhÖ Ph¸ch	7	17851239	19487603	22760330	27669421	34214875	42396694	52214875	63669421	76760330	91487603	107851239	135669421	174942148	225669421	274418181	344618181	425738181	517778181	620738181	620738181						
365	Thiªn §Þa V« Cùc 	8	14700	16904	19780	23543	28500	35079	43893	55823	72143	94724	126338	143309	159821	175197	188736	199766	207696	212068	289250	284635						
368	Nh©n KiÕm Hîp NhÊt  	8	10800	12420	14532	17297	20938	25772	32248	41012	53003	69593	92819	105288	117419	128716	138663	146766	152593	155805	156195	153703						
716	XuÊt ø BÊt NhiÔm	8	17851239	19487603	22760330	27669421	34214875	42396694	52214875	63669421	76760330	91487603	107851239	135669421	174942148	225669421	274418181	344618181	425738181	517778181	620738181	620738181						
375	L«i ®éng Cöu Thiªn 	9	21320	24517	28688	34146	41334	50877	63661	80962	104632	137383	183233	207846	231795	254095	273731	289728	301230	307572	308340	303421						
372	Ng¹o TuyÕt Tiªu Phong 	9	17150	19722	23077	27467	33250	40925	51209	65127	84167	110512	147394	167193	186458	204396	220192	233060	242312	247413	248032	244074						
717	L­ìng Nghi Ch©n KhÝ	9	17851239	19487603	22760330	27669421	34214875	42396694	52214875	63669421	76760330	91487603	107851239	135669421	174942148	225669421	274418181	344618181	425738181	517778181	620738181	620738181						
1055	§¹i Lùc Kim Cang Ch­ëng	0	300	600	1000	1500	2100	2800	3600	4500	5500	6600	7800	9100	10500	12000	13600	15300	17100	19000	21400	90000	120000	150000	200000	250000	300000	390000
1056	Vi §µ HiÕn Xö	0	300	600	1000	1500	2100	2800	3600	4500	5500	6600	7800	9100	10500	12000	13600	15300	17100	19000	21400	90000	120000	150000	200000	250000	300000	390000
1057	Tam Giíi Quy ThiÒn	0	300	600	1000	1500	2100	2800	3600	4500	5500	6600	7800	9100	10500	12000	13600	15300	17100	19000	21400	90000	120000	150000	200000	250000	300000	390000
1058	Hµo Hïng Tr¶m	1	300	600	1000	1500	2100	2800	3600	4500	5500	6600	7800	9100	10500	12000	13600	15300	17100	19000	21400	90000	120000	150000	200000	250000	300000	390000
1059	Tung Hoµnh B¸t Hoang	1	300	600	1000	1500	2100	2800	3600	4500	5500	6600	7800	9100	10500	12000	13600	15300	17100	19000	21400	90000	120000	150000	200000	250000	300000	390000
1060	B¸ V­¬ng T¹m Kim	1	300	600	1000	1500	2100	2800	3600	4500	5500	6600	7800	9100	10500	12000	13600	15300	17100	19000	21400	90000	120000	150000	200000	250000	300000	390000
1066	H×nh Tiªu Cèt LËp	3	300	600	1000	1500	2100	2800	3600	4500	5500	6600	7800	9100	10500	12000	13600	15300	17100	19000	21400	90000	120000	150000	200000	250000	300000	390000
1067	U Hån PhÖ ¶nh	3	300	600	1000	1500	2100	2800	3600	4500	5500	6600	7800	9100	10500	12000	13600	15300	17100	19000	21400	90000	120000	150000	200000	250000	300000	390000
1069	V« ¶nh Xuyªn	2	300	600	1000	1500	2100	2800	3600	4500	5500	6600	7800	9100	10500	12000	13600	15300	17100	19000	21400	90000	120000	150000	200000	250000	300000	390000
1070	ThiÕt Liªn Tø S¸t	2	300	600	1000	1500	2100	2800	3600	4500	5500	6600	7800	9100	10500	12000	13600	15300	17100	19000	21400	90000	120000	150000	200000	250000	300000	390000
1071	Cµn Kh«n NhÊt TrÞch	2	300	600	1000	1500	2100	2800	3600	4500	5500	6600	7800	9100	10500	12000	13600	15300	17100	19000	21400	90000	120000	150000	200000	250000	300000	390000
1061	KiÕm Hoa V·n Tinh	4	300	600	1000	1500	2100	2800	3600	4500	5500	6600	7800	9100	10500	12000	13600	15300	17100	19000	21400	90000	120000	150000	200000	250000	300000	390000
1062	B¨ng Vò L¹c Tinh	4	300	600	1000	1500	2100	2800	3600	4500	5500	6600	7800	9100	10500	12000	13600	15300	17100	19000	21400	90000	120000	150000	200000	250000	300000	390000
1114	Ngäc TuyÒn T©m Kinh	4	300	600	1000	1500	2100	2800	3600	4500	5500	6600	7800	9100	10500	12000	13600	15300	17100	19000	21400	90000	120000	150000	200000	250000	300000	390000
1063	B¨ng T­íc Ho¹t Kú	5	300	600	1000	1500	2100	2800	3600	4500	5500	6600	7800	9100	10500	12000	13600	15300	17100	19000	21400	90000	120000	150000	200000	250000	300000	390000
1065	Thñy Anh Man Tó	5	300	600	1000	1500	2100	2800	3600	4500	5500	6600	7800	9100	10500	12000	13600	15300	17100	19000	21400	90000	120000	150000	200000	250000	300000	390000
1073	Thêi ThÆng Lôc Long	6	300	600	1000	1500	2100	2800	3600	4500	5500	6600	7800	9100	10500	12000	13600	15300	17100	19000	21400	90000	120000	150000	200000	250000	300000	390000
1074	Bæng Huýnh L­îc §Þa	6	300	600	1000	1500	2100	2800	3600	4500	5500	6600	7800	9100	10500	12000	13600	15300	17100	19000	21400	90000	120000	150000	200000	250000	300000	390000
1075	Giang H¶i Né Lan	7	300	600	1000	1500	2100	2800	3600	4500	5500	6600	7800	9100	10500	12000	13600	15300	17100	19000	21400	90000	120000	150000	200000	250000	300000	390000
1076	TËt Háa LiÖu Nguyªn	7	300	600	1000	1500	2100	2800	3600	4500	5500	6600	7800	9100	10500	12000	13600	15300	17100	19000	21400	90000	120000	150000	200000	250000	300000	390000
1078	T¹o Hãa Th¸i Thanh	8	300	600	1000	1500	2100	2800	3600	4500	5500	6600	7800	9100	10500	12000	13600	15300	17100	19000	21400	90000	120000	150000	200000	250000	300000	390000
1079	KiÕm Thïy Tinh Hµ	8	300	600	1000	1500	2100	2800	3600	4500	5500	6600	7800	9100	10500	12000	13600	15300	17100	19000	21400	90000	120000	150000	200000	250000	300000	390000
1080	Cöu Thiªn C­¬ng Phong	9	300	600	1000	1500	2100	2800	3600	4500	5500	6600	7800	9100	10500	12000	13600	15300	17100	19000	21400	90000	120000	150000	200000	250000	300000	390000
1081	Thiªn L«i ChÊn Nh¹c	9	300	600	1000	1500	2100	2800	3600	4500	5500	6600	7800	9100	10500	12000	13600	15300	17100	19000	21400	90000	120000	150000	200000	250000	300000	390000
1364	§o¹t MÖnh Liªn Hoµn Tam Tiªn KiÕm	10	9390	10798	12635	15039	18205	22407	28038	35658	46083	60507	80701	91542	102090	111911	120559	127605	132671	135464	135803	133636						
1382	Ph¸ch Th¹ch Ph¸ Ngäc	10	9390	10798	12635	15039	18205	22407	28038	35658	46083	60507	80701	91542	102090	111911	120559	127605	132671	135464	135803	133636						
1365	Tö Hµ KiÕm KhÝ	10	17851239	19487603	22760330	27669421	34214875	42396694	52214875	63669421	76760330	91487603	107851239	135669421	174942148	225669421	274418181	344618181	425738181	517778181	620738181	620738181						
1369	Cöu kiÕm hîp nhÊt	10	300	600	1000	1500	2100	2800	3600	4500	5500	6600	7800	9100	10500	12000	13600	15300	17100	19000	21400	90000	120000	150000	200000	250000	300000	390000
1384	ThÇn Quang Toµn NhiÔu	10	300	600	1000	1500	2100	2800	3600	4500	5500	6600	7800	9100	10500	12000	13600	15300	17100	19000	21400	90000	120000	150000	200000	250000	300000	390000
1967	TrÊn Biªn Thïy	11	9390	10798	12635	15039	18205	22407	28038	35658	46083	60507	80701	91542	102090	111911	120559	127605	132671	135464	135803	133636						
1983	Kh¸t Èm Hung N« HuyÕt	11	9390	10798	12635	15039	18205	22407	28038	35658	46083	60507	80701	91542	102090	111911	120559	127605	132671	135464	135803	133636						
1984	Trung Vu L­u Phong	11	17851239	19487603	22760330	27669421	34214875	42396694	52214875	63669421	76760330	91487603	107851239	135669421	174942148	225669421	274418181	344618181	425738181	517778181	620738181	620738181						
1969	Huy S­ DiÖt Lç	11	300	600	1000	1500	2100	2800	3600	4500	5500	6600	7800	9100	10500	12000	13600	15300	17100	19000	21400	90000	120000	150000	200000	250000	300000	390000
1985	Trõ Gian DiÖt NÞnh	11	300	600	1000	1500	2100	2800	3600	4500	5500	6600	7800	9100	10500	12000	13600	15300	17100	19000	21400	90000	120000	150000	200000	250000	300000	390000
