CharacterName	CharacterType	ResFilePath	PartFileName	WeaponActionTab1	WeaponActionTab2	ActionRenderOrderTab	Head	Hair	Shoulder	Body	LeftHand	RightHead	LeftWeapon	RightWeapon	HorseFront	HorseMiddle	HorseBack	Mantle
ani054	NormalNpc	spr\npcres\animal\ani054																
ani055	NormalNpc	spr\npcres\animal\ani055																
ani056	NormalNpc	spr\npcres\animal\ani056																
ani058	NormalNpc	spr\npcres\animal\ani058																
ani059	NormalNpc	spr\npcres\animal\ani059																
ani060	NormalNpc	spr\npcres\animal\ani060																
ani061	NormalNpc	spr\npcres\animal\ani061																
ani063	NormalNpc	spr\npcres\animal\ani063																
ani065	NormalNpc	spr\npcres\animal\ani065																
ani066	NormalNpc	spr\npcres\animal\ani066																
ani067	NormalNpc	spr\npcres\animal\ani067																
passerby001	NormalNpc	spr\npcres\passerby\passerby001																
passerby002	NormalNpc	spr\npcres\passerby\passerby002																
passerby004_1	NormalNpc	spr\npcres\passerby\passerby004																
passerby004_2	NormalNpc	spr\npcres\passerby\passerby004																
passerby004_3	NormalNpc	spr\npcres\passerby\passerby004																
passerby006_1	NormalNpc	spr\npcres\passerby\passerby006																
passerby006_2	NormalNpc	spr\npcres\passerby\passerby006																
passerby006_3	NormalNpc	spr\npcres\passerby\passerby006																
passerby007	NormalNpc	spr\npcres\passerby\passerby007																
passerby008	NormalNpc	spr\npcres\passerby\passerby008																
passerby010	NormalNpc	spr\npcres\passerby\passerby010																
passerby011_1	NormalNpc	spr\npcres\passerby\passerby011																
passerby011_2	NormalNpc	spr\npcres\passerby\passerby011																
passerby011_3	NormalNpc	spr\npcres\passerby\passerby011																
passerby013	NormalNpc	spr\npcres\passerby\passerby013																
passerby014	NormalNpc	spr\npcres\passerby\passerby014																
passerby015	NormalNpc	spr\npcres\passerby\passerby015																
passerby018	NormalNpc	spr\npcres\passerby\passerby018																
passerby019	NormalNpc	spr\npcres\passerby\passerby019																
passerby020	NormalNpc	spr\npcres\passerby\passerby020																
passerby023	NormalNpc	spr\npcres\passerby\passerby023																
passerby024	NormalNpc	spr\npcres\passerby\passerby024																
passerby025	NormalNpc	spr\npcres\passerby\passerby025																
passerby027	NormalNpc	spr\npcres\passerby\passerby027																
passerby028	NormalNpc	spr\npcres\passerby\passerby028																
passerby029	NormalNpc	spr\npcres\passerby\passerby029																
passerby030	NormalNpc	spr\npcres\passerby\passerby030																
passerby031	NormalNpc	spr\npcres\passerby\passerby031																
passerby032	NormalNpc	spr\npcres\passerby\passerby032																
passerby033	NormalNpc	spr\npcres\passerby\passerby033																
passerby034	NormalNpc	spr\npcres\passerby\passerby034																
passerby036_1	NormalNpc	spr\npcres\passerby\passerby036																
passerby036_2	NormalNpc	spr\npcres\passerby\passerby036																
passerby036_3	NormalNpc	spr\npcres\passerby\passerby036																
passerby037_1	NormalNpc	spr\npcres\passerby\passerby037																
passerby037_2	NormalNpc	spr\npcres\passerby\passerby037																
passerby037_3	NormalNpc	spr\npcres\passerby\passerby037																
passerby038_1	NormalNpc	spr\npcres\passerby\passerby038																
passerby038_2	NormalNpc	spr\npcres\passerby\passerby038																
passerby038_3	NormalNpc	spr\npcres\passerby\passerby038																
passerby040_1	NormalNpc	spr\npcres\passerby\passerby040																
passerby040_2	NormalNpc	spr\npcres\passerby\passerby040																
passerby040_3	NormalNpc	spr\npcres\passerby\passerby040																
passerby041	NormalNpc	spr\npcres\passerby\passerby041																
passerby042	NormalNpc	spr\npcres\passerby\passerby042																
passerby043	NormalNpc	spr\npcres\passerby\passerby043																
passerby044	NormalNpc	spr\npcres\passerby\passerby044																
passerby045	NormalNpc	spr\npcres\passerby\passerby045																
passerby047	NormalNpc	spr\npcres\passerby\passerby047																
passerby048	NormalNpc	spr\npcres\passerby\passerby048																
passerby049	NormalNpc	spr\npcres\passerby\passerby049																
passerby050	NormalNpc	spr\npcres\passerby\passerby050																
passerby051	NormalNpc	spr\npcres\passerby\passerby051																
passerby052	NormalNpc	spr\npcres\passerby\passerby052																
passerby058	NormalNpc	spr\npcres\passerby\passerby058																
passerby059	NormalNpc	spr\npcres\passerby\passerby059																
passerby060	NormalNpc	spr\npcres\passerby\passerby060																
passerby061_1	NormalNpc	spr\npcres\passerby\passerby061																
passerby061_2	NormalNpc	spr\npcres\passerby\passerby061																
passerby061_3	NormalNpc	spr\npcres\passerby\passerby061																
passerby062_1	NormalNpc	spr\npcres\passerby\passerby062																
passerby062_2	NormalNpc	spr\npcres\passerby\passerby062																
passerby062_3	NormalNpc	spr\npcres\passerby\passerby062																
passerby063_1	NormalNpc	spr\npcres\passerby\passerby063																
passerby063_2	NormalNpc	spr\npcres\passerby\passerby063																
passerby063_3	NormalNpc	spr\npcres\passerby\passerby063																
passerby064_1	NormalNpc	spr\npcres\passerby\passerby064																
passerby064_2	NormalNpc	spr\npcres\passerby\passerby064																
passerby064_3	NormalNpc	spr\npcres\passerby\passerby064																
passerby065_1	NormalNpc	spr\npcres\passerby\passerby065																
passerby065_2	NormalNpc	spr\npcres\passerby\passerby065																
passerby065_3	NormalNpc	spr\npcres\passerby\passerby065																
passerby066_1	NormalNpc	spr\npcres\passerby\passerby066																
passerby066_2	NormalNpc	spr\npcres\passerby\passerby066																
passerby066_3	NormalNpc	spr\npcres\passerby\passerby066																
passerby067_1	NormalNpc	spr\npcres\passerby\passerby067																
passerby067_2	NormalNpc	spr\npcres\passerby\passerby067																
passerby067_3	NormalNpc	spr\npcres\passerby\passerby067																
passerby068_1	NormalNpc	spr\npcres\passerby\passerby068																
passerby068_2	NormalNpc	spr\npcres\passerby\passerby068																
passerby068_3	NormalNpc	spr\npcres\passerby\passerby068																
passerby069_1	NormalNpc	spr\npcres\passerby\passerby069																
passerby069_2	NormalNpc	spr\npcres\passerby\passerby069																
passerby069_3	NormalNpc	spr\npcres\passerby\passerby069																
passerby070_1	NormalNpc	spr\npcres\passerby\passerby070																
passerby070_2	NormalNpc	spr\npcres\passerby\passerby070																
passerby070_3	NormalNpc	spr\npcres\passerby\passerby070																
passerby071_1	NormalNpc	spr\npcres\passerby\passerby071																
passerby071_2	NormalNpc	spr\npcres\passerby\passerby071																
passerby071_3	NormalNpc	spr\npcres\passerby\passerby071																
passerby072_1	NormalNpc	spr\npcres\passerby\passerby072																
passerby072_2	NormalNpc	spr\npcres\passerby\passerby072																
passerby072_3	NormalNpc	spr\npcres\passerby\passerby072																
passerby073_1	NormalNpc	spr\npcres\passerby\passerby073																
passerby073_2	NormalNpc	spr\npcres\passerby\passerby073																
passerby073_3	NormalNpc	spr\npcres\passerby\passerby073																
passerby074_1	NormalNpc	spr\npcres\passerby\passerby074																
passerby074_2	NormalNpc	spr\npcres\passerby\passerby074																
passerby074_3	NormalNpc	spr\npcres\passerby\passerby074																
passerby075_1	NormalNpc	spr\npcres\passerby\passerby075																
passerby075_2	NormalNpc	spr\npcres\passerby\passerby075																
passerby075_3	NormalNpc	spr\npcres\passerby\passerby075																
passerby076_1	NormalNpc	spr\npcres\passerby\passerby076																
passerby076_2	NormalNpc	spr\npcres\passerby\passerby076																
passerby076_3	NormalNpc	spr\npcres\passerby\passerby076																
passerby077_1	NormalNpc	spr\npcres\passerby\passerby077																
passerby077_2	NormalNpc	spr\npcres\passerby\passerby077																
passerby077_3	NormalNpc	spr\npcres\passerby\passerby077																
passerby079_1	NormalNpc	spr\npcres\passerby\passerby079																
passerby079_2	NormalNpc	spr\npcres\passerby\passerby079																
passerby079_3	NormalNpc	spr\npcres\passerby\passerby079																
passerby080	NormalNpc	spr\npcres\passerby\passerby080																
passerby088	NormalNpc	spr\npcres\passerby\passerby088																
passerby092	NormalNpc	spr\npcres\passerby\passerby092																
passerby094	NormalNpc	spr\npcres\passerby\passerby094																
passerby095	NormalNpc	spr\npcres\passerby\passerby095																
passerby097	NormalNpc	spr\npcres\passerby\passerby097																
passerby099	NormalNpc	spr\npcres\passerby\passerby099																
passerby100	NormalNpc	spr\npcres\passerby\passerby100																
passerby101	NormalNpc	spr\npcres\passerby\passerby101																
passerby102	NormalNpc	spr\npcres\passerby\passerby102																
passerby103	NormalNpc	spr\npcres\passerby\passerby103																
passerby104	NormalNpc	spr\npcres\passerby\passerby104																
passerby105	NormalNpc	spr\npcres\passerby\passerby105																
passerby108	NormalNpc	spr\npcres\passerby\passerby108																
passerby110	NormalNpc	spr\npcres\passerby\passerby110																
passerby112	NormalNpc	spr\npcres\passerby\passerby112																
passerby117	NormalNpc	spr\npcres\passerby\passerby117																
passerby118	NormalNpc	spr\npcres\passerby\passerby118																
passerby119	NormalNpc	spr\npcres\passerby\passerby119																
passerby120	NormalNpc	spr\npcres\passerby\passerby120																
passerby121	NormalNpc	spr\npcres\passerby\passerby121																
passerby122	NormalNpc	spr\npcres\passerby\passerby122																
passerby123	NormalNpc	spr\npcres\passerby\passerby123																
passerby124	NormalNpc	spr\npcres\passerby\passerby124																
passerby125	NormalNpc	spr\npcres\passerby\passerby125																
passerby127	NormalNpc	spr\npcres\passerby\passerby127																
passerby128	NormalNpc	spr\npcres\passerby\passerby128																
passerby129	NormalNpc	spr\npcres\passerby\passerby129																
passerby130	NormalNpc	spr\npcres\passerby\passerby130																
passerby131	NormalNpc	spr\npcres\passerby\passerby131																
passerby132	NormalNpc	spr\npcres\passerby\passerby132																
passerby133	NormalNpc	spr\npcres\passerby\passerby133																
passerby134	NormalNpc	spr\npcres\passerby\passerby134																
passerby135	NormalNpc	spr\npcres\passerby\passerby135																
passerby136	NormalNpc	spr\npcres\passerby\passerby136																
passerby137	NormalNpc	spr\npcres\passerby\passerby137																
passerby138	NormalNpc	spr\npcres\passerby\passerby138																
passerby139	NormalNpc	spr\npcres\passerby\passerby139																
passerby140	NormalNpc	spr\npcres\passerby\passerby140																
passerby141	NormalNpc	spr\npcres\passerby\passerby141																
passerby142	NormalNpc	spr\npcres\passerby\passerby142																
passerby144	NormalNpc	spr\npcres\passerby\passerby144																
passerby145	NormalNpc	spr\npcres\passerby\passerby145																
passerby146	NormalNpc	spr\npcres\passerby\passerby146																
passerby147	NormalNpc	spr\npcres\passerby\passerby147																
passerby148	NormalNpc	spr\npcres\passerby\passerby148																
passerby149	NormalNpc	spr\npcres\passerby\passerby149																
passerby150	NormalNpc	spr\npcres\passerby\passerby150																
passerby151	NormalNpc	spr\npcres\passerby\passerby151																
passerby152	NormalNpc	spr\npcres\passerby\passerby152																
passerby153	NormalNpc	spr\npcres\passerby\passerby153																
passerby154	NormalNpc	spr\npcres\passerby\passerby154																
passerby157	NormalNpc	spr\npcres\passerby\passerby157																
passerby159	NormalNpc	spr\npcres\passerby\passerby159																
passerby163	NormalNpc	spr\npcres\passerby\passerby163																
passerby164	NormalNpc	spr\npcres\passerby\passerby164																
passerby165	NormalNpc	spr\npcres\passerby\passerby165																
passerby167	NormalNpc	spr\npcres\passerby\passerby167																
passerby168	NormalNpc	spr\npcres\passerby\passerby168																
passerby169	NormalNpc	spr\npcres\passerby\passerby169																
passerby170	NormalNpc	spr\npcres\passerby\passerby170																
passerby171	NormalNpc	spr\npcres\passerby\passerby171																
passerby172	NormalNpc	spr\npcres\passerby\passerby172																
passerby173	NormalNpc	spr\npcres\passerby\passerby173																
passerby174	NormalNpc	spr\npcres\passerby\passerby174																
passerby175	NormalNpc	spr\npcres\passerby\passerby175																
passerby176	NormalNpc	spr\npcres\passerby\passerby176																
passerby177	NormalNpc	spr\npcres\passerby\passerby177																
passerby178	NormalNpc	spr\npcres\passerby\passerby178																
passerby179	NormalNpc	spr\npcres\passerby\passerby179																
passerby180	NormalNpc	spr\npcres\passerby\passerby180																
passerby181	NormalNpc	spr\npcres\passerby\passerby181																
passerby182	NormalNpc	spr\npcres\passerby\passerby182																
passerby183	NormalNpc	spr\npcres\passerby\passerby183																
passerby184	NormalNpc	spr\npcres\passerby\passerby184																
passerby185	NormalNpc	spr\npcres\passerby\passerby185																
passerby186	NormalNpc	spr\npcres\passerby\passerby186																
passerby187	NormalNpc	spr\npcres\passerby\passerby187																
passerby188	NormalNpc	spr\npcres\passerby\passerby188																
passerby189	NormalNpc	spr\npcres\passerby\passerby189																
passerby190	NormalNpc	spr\npcres\passerby\passerby190																
passerby191	NormalNpc	spr\npcres\passerby\passerby191																
passerby192	NormalNpc	spr\npcres\passerby\passerby192																
passerby004_4	NormalNpc	spr\npcres\passerby\passerby004																
passerby006_4	NormalNpc	spr\npcres\passerby\passerby006																
passerby007_1	NormalNpc	spr\npcres\passerby\passerby007																
passerby011_4	NormalNpc	spr\npcres\passerby\passerby011																
passerby036_4	NormalNpc	spr\npcres\passerby\passerby036																
passerby037_4	NormalNpc	spr\npcres\passerby\passerby037																
passerby040_4	NormalNpc	spr\npcres\passerby\passerby040																
passerby043_1	NormalNpc	spr\npcres\passerby\passerby043																
passerby044_1	NormalNpc	spr\npcres\passerby\passerby044																
passerby045_1	NormalNpc	spr\npcres\passerby\passerby045																
passerby059_1	NormalNpc	spr\npcres\passerby\passerby059																
passerby067_4	NormalNpc	spr\npcres\passerby\passerby067																
passerby067_5	NormalNpc	spr\npcres\passerby\passerby067																
passerby067_6	NormalNpc	spr\npcres\passerby\passerby067																
passerby068_4	NormalNpc	spr\npcres\passerby\passerby068																
passerby068_5	NormalNpc	spr\npcres\passerby\passerby068																
passerby068_6	NormalNpc	spr\npcres\passerby\passerby068																
passerby072_4	NormalNpc	spr\npcres\passerby\passerby072																
passerby074_4	NormalNpc	spr\npcres\passerby\passerby074																
passerby074_5	NormalNpc	spr\npcres\passerby\passerby074																
passerby074_6	NormalNpc	spr\npcres\passerby\passerby074																
passerby075_4	NormalNpc	spr\npcres\passerby\passerby075																
passerby076_4	NormalNpc	spr\npcres\passerby\passerby076																
critter008	NormalNpc	spr\npcres\critter\critter008																
critter016	NormalNpc	spr\npcres\critter\critter016																
critter017	NormalNpc	spr\npcres\critter\critter017																
critter018	NormalNpc	spr\npcres\critter\critter018																
critter019	NormalNpc	spr\npcres\critter\critter019																
critter020	NormalNpc	spr\npcres\critter\critter020																
critter021	NormalNpc	spr\npcres\critter\critter021																
critter022	NormalNpc	spr\npcres\critter\critter022																
critter023	NormalNpc	spr\npcres\critter\critter023																
critter024	NormalNpc	spr\npcres\critter\critter024																
critter025	NormalNpc	spr\npcres\critter\critter025																
critter026	NormalNpc	spr\npcres\critter\critter026																
critter027	NormalNpc	spr\npcres\critter\critter027																
critter028	NormalNpc	spr\npcres\critter\critter028																
critter029	NormalNpc	spr\npcres\critter\critter029																
critter030	NormalNpc	spr\npcres\critter\critter030																
critter031	NormalNpc	spr\npcres\critter\critter031																
critter032	NormalNpc	spr\npcres\critter\critter032																
critter033	NormalNpc	spr\npcres\critter\critter033																
critter034	NormalNpc	spr\npcres\critter\critter034																
critter035	NormalNpc	spr\npcres\critter\critter035																
critter036	NormalNpc	spr\npcres\critter\critter036																
critter037	NormalNpc	spr\npcres\critter\critter037																
critter038	NormalNpc	spr\npcres\critter\critter038																
critter039	NormalNpc	spr\npcres\critter\critter039																
critter040	NormalNpc	spr\npcres\critter\critter040																
critter041	NormalNpc	spr\npcres\critter\critter041																
critter042	NormalNpc	spr\npcres\critter\critter042																
critter043	NormalNpc	spr\npcres\critter\critter043																
