EqName	SwordShieldWFreeStand	ShieldSwordWFreeStand	FreeStand1	FreeStand2	FreeStand3	MeleeWStand	RangeWStand	DoubleWStand	SwordShieldWStand	ShieldSwordWStand	GuqinWStand1	GuqinWStand2	FreeWalk	NormalWalk	MeleeWWalk	RangeWWalk	DoubleWWalk	SwordShieldWWalk	ShieldSwordWWalk	GuqinWWalk	FreeRun	NormalRun	MeleeWRun	RangeWRun	DoubleWRun	SwordShieldWRun	ShieldSwordWRun	GuqinWRun	FreeWound	MeleeWWound	RangeWWound	DoubleWWound	SwordShieldWWound	ShieldSwordWWound	GuqinWWound	FreeDie	MeleeWDie	RangeWDie	DoubleWDie	SwordShieldWDie	ShieldSwordWDie	GuqinWDie	FreeAttack	MeleeWPuncture	MeleeWCut	RangeWPuncture	RangeWCut	DoubleWPull	DoubleWPound	SwordShieldWChop	SwordShieldWCut	ShieldSwordWChop	ShieldSwordWCut	GuqinWPuncture	GuqinWCut	DartThrow	FreeMagic	MeleeWMagic	RangeWMagic	DoubleWMagic	SwordShieldWMagic	ShieldSwordWMagic	GuqinWMagic	SitDown	Jump	RideStand	RideWalk	RideRun	RideCut	RidePuncture	RideMagic	RideWound	RideDie	RideStand1	RideStand2	ChangeColor
C«n 2			"120,8,1"	"120,8,1"	"88,8,1"		"88,8,1"						"120,8,1"	"120,8,1"		"120,8,1"					"88,8,1"	"88,8,1"		"88,8,1"					"72,8,1"		"56,8,1"					"96,8,1"		"120,8,1"					"144,8,1"			"96,8,1"	"96,8,1"										"96,8,1"		"104,8,1"					"72,8,1"	"160,8,1"	"112,8,1"	"96,8,1"	"80,8,1"	"96,8,1"	"112,8,1"	"96,8,1"	"48,8,1"	"112,8,1"	"112,8,1"	"112,8,1"	
C«n 3			"120,8,1"	"120,8,1"	"88,8,1"		"88,8,1"						"120,8,1"	"120,8,1"		"120,8,1"					"88,8,1"	"88,8,1"		"88,8,1"					"72,8,1"		"56,8,1"					"96,8,1"		"120,8,1"					"144,8,1"			"96,8,1"	"96,8,1"										"96,8,1"		"104,8,1"					"72,8,1"	"160,8,1"	"112,8,1"	"96,8,1"	"80,8,1"	"96,8,1"	"112,8,1"	"96,8,1"	"48,8,1"	"112,8,1"	"112,8,1"	"112,8,1"	
Song kiÕm 1			"120,8,1"	"120,8,1"	"88,8,1"			"88,8,1"					"120,8,1"	"120,8,1"			"120,8,1"				"88,8,1"	"88,8,1"			"88,8,1"				"72,8,1"			"96,8,1"				"96,8,1"			"144,8,1"				"144,8,1"					"128,8,1"	"96,8,1"								"96,8,1"			"128,8,1"				"72,8,1"	"160,8,1"	"112,8,1"	"96,8,1"	"80,8,1"	"96,8,1"	"112,8,1"	"96,8,1"	"48,8,1"	"112,8,1"	"112,8,1"	"112,8,1"	
Song kiÕm 2			"120,8,1"	"120,8,1"	"88,8,1"			"88,8,1"					"120,8,1"	"120,8,1"			"120,8,1"				"88,8,1"	"88,8,1"			"88,8,1"				"72,8,1"			"96,8,1"				"96,8,1"			"144,8,1"				"144,8,1"					"128,8,1"	"96,8,1"								"96,8,1"			"128,8,1"				"72,8,1"	"160,8,1"	"112,8,1"	"96,8,1"	"80,8,1"	"96,8,1"	"112,8,1"	"96,8,1"	"48,8,1"	"112,8,1"	"112,8,1"	"112,8,1"	
Song kiÕm 3			"120,8,1"	"120,8,1"	"88,8,1"			"88,8,1"					"120,8,1"	"120,8,1"			"120,8,1"				"88,8,1"	"88,8,1"			"88,8,1"				"72,8,1"			"96,8,1"				"96,8,1"			"144,8,1"				"144,8,1"					"128,8,1"	"96,8,1"								"96,8,1"			"128,8,1"				"72,8,1"	"160,8,1"	"112,8,1"	"96,8,1"	"80,8,1"	"96,8,1"	"112,8,1"	"96,8,1"	"48,8,1"	"112,8,1"	"112,8,1"	"112,8,1"	
Song chïy 1			"120,8,1"	"120,8,1"	"88,8,1"			"88,8,1"					"120,8,1"	"120,8,1"			"120,8,1"				"88,8,1"	"88,8,1"			"88,8,1"				"72,8,1"			"96,8,1"				"96,8,1"			"144,8,1"				"144,8,1"					"128,8,1"	"96,8,1"								"96,8,1"			"128,8,1"				"72,8,1"	"160,8,1"	"112,8,1"	"96,8,1"	"80,8,1"	"96,8,1"	"112,8,1"	"96,8,1"	"48,8,1"	"112,8,1"	"112,8,1"	"112,8,1"	
Song chïy 2			"120,8,1"	"120,8,1"	"88,8,1"			"88,8,1"					"120,8,1"	"120,8,1"			"120,8,1"				"88,8,1"	"88,8,1"			"88,8,1"				"72,8,1"			"96,8,1"				"96,8,1"			"144,8,1"				"144,8,1"					"128,8,1"	"96,8,1"								"96,8,1"			"128,8,1"				"72,8,1"	"160,8,1"	"112,8,1"	"96,8,1"	"80,8,1"	"96,8,1"	"112,8,1"	"96,8,1"	"48,8,1"	"112,8,1"	"112,8,1"	"112,8,1"	
Song chïy 3			"120,8,1"	"120,8,1"	"88,8,1"			"88,8,1"					"120,8,1"	"120,8,1"			"120,8,1"				"88,8,1"	"88,8,1"			"88,8,1"				"72,8,1"			"96,8,1"				"96,8,1"			"144,8,1"				"144,8,1"					"128,8,1"	"96,8,1"								"96,8,1"			"128,8,1"				"72,8,1"	"160,8,1"	"112,8,1"	"96,8,1"	"80,8,1"	"96,8,1"	"112,8,1"	"96,8,1"	"48,8,1"	"112,8,1"	"112,8,1"	"112,8,1"	
¸m khÝ 			"120,8,1"	"120,8,1"	"88,8,1"								"120,8,1"	"120,8,1"							"88,8,1"	"88,8,1"							"72,8,1"							"96,8,1"							"144,8,1"													"128,8,1"	"96,8,1"							"72,8,1"	"160,8,1"	"112,8,1"	"96,8,1"	"80,8,1"	"96,8,1"	"112,8,1"	"96,8,1"	"48,8,1"	"112,8,1"	"112,8,1"	"112,8,1"	
KiÕm 4			"120,8,1"	"120,8,1"	"88,8,1"	"88,8,1"							"120,8,1"	"120,8,1"	"120,8,1"						"88,8,1"	"88,8,1"	"88,8,1"						"72,8,1"	"64,8,1"						"96,8,1"	"88,8,1"						"144,8,1"	"128,8,1"	"112,8,1"												"96,8,1"	"96,8,1"						"72,8,1"	"160,8,1"	"112,8,1"	"96,8,1"	"80,8,1"	"96,8,1"	"112,8,1"	"96,8,1"	"48,8,1"	"112,8,1"	"112,8,1"	"112,8,1"	
KiÕm 5			"120,8,1"	"120,8,1"	"88,8,1"	"88,8,1"							"120,8,1"	"120,8,1"	"120,8,1"						"88,8,1"	"88,8,1"	"88,8,1"						"72,8,1"	"64,8,1"						"96,8,1"	"88,8,1"						"144,8,1"	"128,8,1"	"112,8,1"												"96,8,1"	"96,8,1"						"72,8,1"	"160,8,1"	"112,8,1"	"96,8,1"	"80,8,1"	"96,8,1"	"112,8,1"	"96,8,1"	"48,8,1"	"112,8,1"	"112,8,1"	"112,8,1"	
§ao 4			"120,8,1"	"120,8,1"	"88,8,1"	"88,8,1"							"120,8,1"	"120,8,1"	"120,8,1"						"88,8,1"	"88,8,1"	"88,8,1"						"72,8,1"	"64,8,1"						"96,8,1"	"88,8,1"						"144,8,1"	"128,8,1"	"112,8,1"												"96,8,1"	"96,8,1"						"72,8,1"	"160,8,1"	"112,8,1"	"96,8,1"	"80,8,1"	"96,8,1"	"112,8,1"	"96,8,1"	"48,8,1"	"112,8,1"	"112,8,1"	"112,8,1"	
§ao 5			"120,8,1"	"120,8,1"	"88,8,1"	"88,8,1"							"120,8,1"	"120,8,1"	"120,8,1"						"88,8,1"	"88,8,1"	"88,8,1"						"72,8,1"	"64,8,1"						"96,8,1"	"88,8,1"						"144,8,1"	"128,8,1"	"112,8,1"												"96,8,1"	"96,8,1"						"72,8,1"	"160,8,1"	"112,8,1"	"96,8,1"	"80,8,1"	"96,8,1"	"112,8,1"	"96,8,1"	"48,8,1"	"112,8,1"	"112,8,1"	"112,8,1"	
Tr­êng th­¬ng 4			"120,8,1"	"120,8,1"	"88,8,1"		"88,8,1"						"120,8,1"	"120,8,1"		"120,8,1"					"88,8,1"	"88,8,1"		"88,8,1"					"72,8,1"		"56,8,1"					"96,8,1"		"120,8,1"					"144,8,1"			"96,8,1"	"96,8,1"										"96,8,1"		"104,8,1"					"72,8,1"	"160,8,1"	"112,8,1"	"96,8,1"	"80,8,1"	"96,8,1"	"112,8,1"	"96,8,1"	"48,8,1"	"112,8,1"	"112,8,1"	"112,8,1"	
Tr­êng th­¬ng 5			"120,8,1"	"120,8,1"	"88,8,1"		"88,8,1"						"120,8,1"	"120,8,1"		"120,8,1"					"88,8,1"	"88,8,1"		"88,8,1"					"72,8,1"		"56,8,1"					"96,8,1"		"120,8,1"					"144,8,1"			"96,8,1"	"96,8,1"										"96,8,1"		"104,8,1"					"72,8,1"	"160,8,1"	"112,8,1"	"96,8,1"	"80,8,1"	"96,8,1"	"112,8,1"	"96,8,1"	"48,8,1"	"112,8,1"	"112,8,1"	"112,8,1"	
C«n 4			"120,8,1"	"120,8,1"	"88,8,1"		"88,8,1"						"120,8,1"	"120,8,1"		"120,8,1"					"88,8,1"	"88,8,1"		"88,8,1"					"72,8,1"		"56,8,1"					"96,8,1"		"120,8,1"					"144,8,1"			"96,8,1"	"96,8,1"										"96,8,1"		"104,8,1"					"72,8,1"	"160,8,1"	"112,8,1"	"96,8,1"	"80,8,1"	"96,8,1"	"112,8,1"	"96,8,1"	"48,8,1"	"112,8,1"	"112,8,1"	"112,8,1"	
C«n 5			"120,8,1"	"120,8,1"	"88,8,1"		"88,8,1"						"120,8,1"	"120,8,1"		"120,8,1"					"88,8,1"	"88,8,1"		"88,8,1"					"72,8,1"		"56,8,1"					"96,8,1"		"120,8,1"					"144,8,1"			"96,8,1"	"96,8,1"										"96,8,1"		"104,8,1"					"72,8,1"	"160,8,1"	"112,8,1"	"96,8,1"	"80,8,1"	"96,8,1"	"112,8,1"	"96,8,1"	"48,8,1"	"112,8,1"	"112,8,1"	"112,8,1"	
Song kiÕm 4			"120,8,1"	"120,8,1"	"88,8,1"			"88,8,1"					"120,8,1"	"120,8,1"			"120,8,1"				"88,8,1"	"88,8,1"			"88,8,1"				"72,8,1"			"96,8,1"				"96,8,1"			"144,8,1"				"144,8,1"					"128,8,1"	"96,8,1"								"96,8,1"			"128,8,1"				"72,8,1"	"160,8,1"	"112,8,1"	"96,8,1"	"80,8,1"	"96,8,1"	"112,8,1"	"96,8,1"	"48,8,1"	"112,8,1"	"112,8,1"	"112,8,1"	
Song kiÕm 5			"120,8,1"	"120,8,1"	"88,8,1"			"88,8,1"					"120,8,1"	"120,8,1"			"120,8,1"				"88,8,1"	"88,8,1"			"88,8,1"				"72,8,1"			"96,8,1"				"96,8,1"			"144,8,1"				"144,8,1"					"128,8,1"	"96,8,1"								"96,8,1"			"128,8,1"				"72,8,1"	"160,8,1"	"112,8,1"	"96,8,1"	"80,8,1"	"96,8,1"	"112,8,1"	"96,8,1"	"48,8,1"	"112,8,1"	"112,8,1"	"112,8,1"	
Song chïy 4			"120,8,1"	"120,8,1"	"88,8,1"			"88,8,1"					"120,8,1"	"120,8,1"			"120,8,1"				"88,8,1"	"88,8,1"			"88,8,1"				"72,8,1"			"96,8,1"				"96,8,1"			"144,8,1"				"144,8,1"					"128,8,1"	"96,8,1"								"96,8,1"			"128,8,1"				"72,8,1"	"160,8,1"	"112,8,1"	"96,8,1"	"80,8,1"	"96,8,1"	"112,8,1"	"96,8,1"	"48,8,1"	"112,8,1"	"112,8,1"	"112,8,1"	
Song chïy 5			"120,8,1"	"120,8,1"	"88,8,1"			"88,8,1"					"120,8,1"	"120,8,1"			"120,8,1"				"88,8,1"	"88,8,1"			"88,8,1"				"72,8,1"			"96,8,1"				"96,8,1"			"144,8,1"				"144,8,1"					"128,8,1"	"96,8,1"								"96,8,1"			"128,8,1"				"72,8,1"	"160,8,1"	"112,8,1"	"96,8,1"	"80,8,1"	"96,8,1"	"112,8,1"	"96,8,1"	"48,8,1"	"112,8,1"	"112,8,1"	"112,8,1"	
§ao 6(Kim)			"120,8,1"	"120,8,1"	"88,8,1"	"88,8,1"							"120,8,1"	"120,8,1"	"120,8,1"						"88,8,1"	"88,8,1"	"88,8,1"						"72,8,1"	"64,8,1"						"96,8,1"	"88,8,1"						"144,8,1"	"128,8,1"	"112,8,1"												"96,8,1"	"96,8,1"						"72,8,1"	"160,8,1"	"112,8,1"	"96,8,1"	"80,8,1"	"96,8,1"	"112,8,1"	"96,8,1"	"48,8,1"	"112,8,1"	"112,8,1"	"112,8,1"	
§ao 7(Thñy)			"120,8,1"	"120,8,1"	"88,8,1"	"88,8,1"							"120,8,1"	"120,8,1"	"120,8,1"						"88,8,1"	"88,8,1"	"88,8,1"						"72,8,1"	"64,8,1"						"96,8,1"	"88,8,1"						"144,8,1"	"128,8,1"	"112,8,1"												"96,8,1"	"96,8,1"						"72,8,1"	"160,8,1"	"112,8,1"	"96,8,1"	"80,8,1"	"96,8,1"	"112,8,1"	"96,8,1"	"48,8,1"	"112,8,1"	"112,8,1"	"112,8,1"	
§ao 8(Méc)			"120,8,1"	"120,8,1"	"88,8,1"	"88,8,1"							"120,8,1"	"120,8,1"	"120,8,1"						"88,8,1"	"88,8,1"	"88,8,1"						"72,8,1"	"64,8,1"						"96,8,1"	"88,8,1"						"144,8,1"	"128,8,1"	"112,8,1"												"96,8,1"	"96,8,1"						"72,8,1"	"160,8,1"	"112,8,1"	"96,8,1"	"80,8,1"	"96,8,1"	"112,8,1"	"96,8,1"	"48,8,1"	"112,8,1"	"112,8,1"	"112,8,1"	
§ao 9(Thæ)			"120,8,1"	"120,8,1"	"88,8,1"	"88,8,1"							"120,8,1"	"120,8,1"	"120,8,1"						"88,8,1"	"88,8,1"	"88,8,1"						"72,8,1"	"64,8,1"						"96,8,1"	"88,8,1"						"144,8,1"	"128,8,1"	"112,8,1"												"96,8,1"	"96,8,1"						"72,8,1"	"160,8,1"	"112,8,1"	"96,8,1"	"80,8,1"	"96,8,1"	"112,8,1"	"96,8,1"	"48,8,1"	"112,8,1"	"112,8,1"	"112,8,1"	
KiÕm 6(Thñy)			"120,8,1"	"120,8,1"	"88,8,1"	"88,8,1"							"120,8,1"	"120,8,1"	"120,8,1"						"88,8,1"	"88,8,1"	"88,8,1"						"72,8,1"	"64,8,1"						"96,8,1"	"88,8,1"						"144,8,1"	"128,8,1"	"112,8,1"												"96,8,1"	"96,8,1"						"72,8,1"	"160,8,1"	"112,8,1"	"96,8,1"	"80,8,1"	"96,8,1"	"112,8,1"	"96,8,1"	"48,8,1"	"112,8,1"	"112,8,1"	"112,8,1"	
KiÕm 7(Thæ)			"120,8,1"	"120,8,1"	"88,8,1"	"88,8,1"							"120,8,1"	"120,8,1"	"120,8,1"						"88,8,1"	"88,8,1"	"88,8,1"						"72,8,1"	"64,8,1"						"96,8,1"	"88,8,1"						"144,8,1"	"128,8,1"	"112,8,1"												"96,8,1"	"96,8,1"						"72,8,1"	"160,8,1"	"112,8,1"	"96,8,1"	"80,8,1"	"96,8,1"	"112,8,1"	"96,8,1"	"48,8,1"	"112,8,1"	"112,8,1"	"112,8,1"	
Th­¬ng 6(Kim)			"120,8,1"	"120,8,1"	"88,8,1"		"88,8,1"						"120,8,1"	"120,8,1"		"120,8,1"					"88,8,1"	"88,8,1"		"88,8,1"					"72,8,1"		"56,8,1"					"96,8,1"		"120,8,1"					"144,8,1"			"96,8,1"	"96,8,1"										"96,8,1"		"104,8,1"					"72,8,1"	"160,8,1"	"112,8,1"	"96,8,1"	"80,8,1"	"96,8,1"	"112,8,1"	"96,8,1"	"48,8,1"	"112,8,1"	"112,8,1"	"112,8,1"	
Th­¬ng  7(Háa)			"120,8,1"	"120,8,1"	"88,8,1"		"88,8,1"						"120,8,1"	"120,8,1"		"120,8,1"					"88,8,1"	"88,8,1"		"88,8,1"					"72,8,1"		"56,8,1"					"96,8,1"		"120,8,1"					"144,8,1"			"96,8,1"	"96,8,1"										"96,8,1"		"104,8,1"					"72,8,1"	"160,8,1"	"112,8,1"	"96,8,1"	"80,8,1"	"96,8,1"	"112,8,1"	"96,8,1"	"48,8,1"	"112,8,1"	"112,8,1"	"112,8,1"	
C«n 6(Kim)			"120,8,1"	"120,8,1"	"88,8,1"		"88,8,1"						"120,8,1"	"120,8,1"		"120,8,1"					"88,8,1"	"88,8,1"		"88,8,1"					"72,8,1"		"56,8,1"					"96,8,1"		"120,8,1"					"144,8,1"			"96,8,1"	"96,8,1"										"96,8,1"		"104,8,1"					"72,8,1"	"160,8,1"	"112,8,1"	"96,8,1"	"80,8,1"	"96,8,1"	"112,8,1"	"96,8,1"	"48,8,1"	"112,8,1"	"112,8,1"	"112,8,1"	
C«n 7(Háa)			"120,8,1"	"120,8,1"	"88,8,1"		"88,8,1"						"120,8,1"	"120,8,1"		"120,8,1"					"88,8,1"	"88,8,1"		"88,8,1"					"72,8,1"		"56,8,1"					"96,8,1"		"120,8,1"					"144,8,1"			"96,8,1"	"96,8,1"										"96,8,1"		"104,8,1"					"72,8,1"	"160,8,1"	"112,8,1"	"96,8,1"	"80,8,1"	"96,8,1"	"112,8,1"	"96,8,1"	"48,8,1"	"112,8,1"	"112,8,1"	"112,8,1"	
Song KiÕm 6(Thñy)			"120,8,1"	"120,8,1"	"88,8,1"			"88,8,1"					"120,8,1"	"120,8,1"			"120,8,1"				"88,8,1"	"88,8,1"			"88,8,1"				"72,8,1"			"96,8,1"				"96,8,1"			"144,8,1"				"144,8,1"					"128,8,1"	"96,8,1"								"96,8,1"			"128,8,1"				"72,8,1"	"160,8,1"	"112,8,1"	"96,8,1"	"80,8,1"	"96,8,1"	"112,8,1"	"96,8,1"	"48,8,1"	"112,8,1"	"112,8,1"	"112,8,1"	
Song Chïy 6(Kim)			"120,8,1"	"120,8,1"	"88,8,1"			"88,8,1"					"120,8,1"	"120,8,1"			"120,8,1"				"88,8,1"	"88,8,1"			"88,8,1"				"72,8,1"			"96,8,1"				"96,8,1"			"144,8,1"				"144,8,1"					"128,8,1"	"96,8,1"								"96,8,1"			"128,8,1"				"72,8,1"	"160,8,1"	"112,8,1"	"96,8,1"	"80,8,1"	"96,8,1"	"112,8,1"	"96,8,1"	"48,8,1"	"112,8,1"	"112,8,1"	"112,8,1"	
Ë«²øÊÖ-½ð			"120,8,1"	"120,8,1"	"88,8,1"								"120,8,1"	"120,8,1"							"88,8,1"	"88,8,1"							"72,8,1"							"96,8,1"							"144,8,1"													"128,8,1"	"96,8,1"							"72,8,1"	"160,8,1"	"112,8,1"	"96,8,1"	"80,8,1"	"96,8,1"	"112,8,1"	"96,8,1"	"48,8,1"	"112,8,1"	"112,8,1"	"112,8,1"	
Ë«²øÊÖ-Ë®			"120,8,1"	"120,8,1"	"88,8,1"								"120,8,1"	"120,8,1"							"88,8,1"	"88,8,1"							"72,8,1"							"96,8,1"							"144,8,1"													"128,8,1"	"96,8,1"							"72,8,1"	"160,8,1"	"112,8,1"	"96,8,1"	"80,8,1"	"96,8,1"	"112,8,1"	"96,8,1"	"48,8,1"	"112,8,1"	"112,8,1"	"112,8,1"	
Ë«²øÊÖ-Ä¾			"120,8,1"	"120,8,1"	"88,8,1"								"120,8,1"	"120,8,1"							"88,8,1"	"88,8,1"							"72,8,1"							"96,8,1"							"144,8,1"													"128,8,1"	"96,8,1"							"72,8,1"	"160,8,1"	"112,8,1"	"96,8,1"	"80,8,1"	"96,8,1"	"112,8,1"	"96,8,1"	"48,8,1"	"112,8,1"	"112,8,1"	"112,8,1"	
Ë«²øÊÖ-»ð			"120,8,1"	"120,8,1"	"88,8,1"								"120,8,1"	"120,8,1"							"88,8,1"	"88,8,1"							"72,8,1"							"96,8,1"							"144,8,1"													"128,8,1"	"96,8,1"							"72,8,1"	"160,8,1"	"112,8,1"	"96,8,1"	"80,8,1"	"96,8,1"	"112,8,1"	"96,8,1"	"48,8,1"	"112,8,1"	"112,8,1"	"112,8,1"	
³¤¹÷-½ð¹÷			"120,8,1"	"120,8,1"	"88,8,1"		"88,8,1"						"120,8,1"	"120,8,1"		"120,8,1"					"88,8,1"	"88,8,1"		"88,8,1"					"72,8,1"		"56,8,1"					"96,8,1"		"120,8,1"					"144,8,1"			"96,8,1"	"96,8,1"										"96,8,1"		"104,8,1"					"72,8,1"	"160,8,1"	"112,8,1"	"96,8,1"	"80,8,1"	"96,8,1"	"112,8,1"	"96,8,1"	"48,8,1"	"112,8,1"	"112,8,1"	"112,8,1"	
³¤¹÷-»ð¹÷			"120,8,1"	"120,8,1"	"88,8,1"		"88,8,1"						"120,8,1"	"120,8,1"		"120,8,1"					"88,8,1"	"88,8,1"		"88,8,1"					"72,8,1"		"56,8,1"					"96,8,1"		"120,8,1"					"144,8,1"			"96,8,1"	"96,8,1"										"96,8,1"		"104,8,1"					"72,8,1"	"160,8,1"	"112,8,1"	"96,8,1"	"80,8,1"	"96,8,1"	"112,8,1"	"96,8,1"	"48,8,1"	"112,8,1"	"112,8,1"	"112,8,1"	
