TaskName	AwardType	AwardText	Genre	Detail	Particular	Level	GoodsFive	Quality	RandomSeed	GoodsNum	MoneyNum	ExpNum	ReputeNum	AwardTask	SelectEvent	ArrayID	ArrayRate	AilledAward
NgÉu nhiªn_Thu thËp_S¸t Thñ Gi¶n cÊp 90 (Kim) 	kinh nghiÖm 	100 v¹n kinh nghiÖm										1000000				1	30	
NgÉu nhiªn_Thu thËp_S¸t Thñ Gi¶n cÊp 90 (Kim) 	kinh nghiÖm 	500 v¹n kinh nghiÖm										5000000				1	15	
NgÉu nhiªn_Thu thËp_S¸t Thñ Gi¶n cÊp 90 (Kim) 	vËt phÈm 	Mai Kh«i Hoa Vò 	6	0	20	1	0			1						2	70	
NgÉu nhiªn_Thu thËp_S¸t Thñ Gi¶n cÊp 90 (Kim) 	NgÉu nhiªn_MËt ®å nhiÖm vô 	NgÉu nhiªn_MËt ®å nhiÖm vô 														2	30	

NgÉu nhiªn_Thu thËp__S¸t Thñ Gi¶n cÊp 90 (Méc) 	hÖ thèng phÇn th­ëng																	NgÉu nhiªn_Thu thËp_S¸t Thñ Gi¶n cÊp 90 (Kim) 
NgÉu nhiªn_Thu thËp_ S¸t Thñ Gi¶n cÊp 90 (Thñy) 	hÖ thèng phÇn th­ëng																	NgÉu nhiªn_Thu thËp_S¸t Thñ Gi¶n cÊp 90 (Kim) 
NgÉu nhiªn_Thu thËp_ S¸t Thñ Gi¶n cÊp 90 (Háa) 	hÖ thèng phÇn th­ëng																	NgÉu nhiªn_Thu thËp_S¸t Thñ Gi¶n cÊp 90 (Kim) 
NgÉu nhiªn_Thu thËp_ S¸t Thñ Gi¶n cÊp 90 (Thæ) 	hÖ thèng phÇn th­ëng																	NgÉu nhiªn_Thu thËp_S¸t Thñ Gi¶n cÊp 90 (Kim) 

NgÉu nhiªn_Thu thËp_Ph¸o Hoa	kinh nghiÖm 	30 v¹n kinh nghiÖm										300000				1	25	
NgÉu nhiªn_Thu thËp_Ph¸o Hoa	kinh nghiÖm 	50 v¹n kinh nghiÖm										500000				1	40	
NgÉu nhiªn_Thu thËp_Ph¸o Hoa	kinh nghiÖm 	100 v¹n kinh nghiÖm										1000000				1	30	
NgÉu nhiªn_Thu thËp_Ph¸o Hoa	kinh nghiÖm 	500 v¹n kinh nghiÖm										5000000				1	5	
NgÉu nhiªn_Thu thËp_Ph¸o Hoa	vËt phÈm 	Mai Kh«i Hoa Vò 	6	0	20	1	0			1						2	70	
NgÉu nhiªn_Thu thËp_Ph¸o Hoa	NgÉu nhiªn_MËt ®å nhiÖm vô 	NgÉu nhiªn_MËt ®å nhiÖm vô 														2	30	

NgÉu nhiªn_Thu thËp_T©m T©m	hÖ thèng phÇn th­ëng																	NgÉu nhiªn_Thu thËp_Ph¸o Hoa
NgÉu nhiªn_Thu thËp_Thiªn s¬n  B¶o Lé 	hÖ thèng phÇn th­ëng																	NgÉu nhiªn_Thu thËp_Ph¸o Hoa
NgÉu nhiªn_Thu thËp_B¸ch Qu¶ Lé 	hÖ thèng phÇn th­ëng																	NgÉu nhiªn_Thu thËp_Ph¸o Hoa

NgÉu nhiªn_Thu thËp_TiÓu Phóc Duyªn	kinh nghiÖm 	30 v¹n kinh nghiÖm										300000				1	15	
NgÉu nhiªn_Thu thËp_TiÓu Phóc Duyªn	kinh nghiÖm 	50 v¹n kinh nghiÖm										500000				1	35	
NgÉu nhiªn_Thu thËp_TiÓu Phóc Duyªn	kinh nghiÖm 	100 v¹n kinh nghiÖm										1000000				1	40	
NgÉu nhiªn_Thu thËp_TiÓu Phóc Duyªn	kinh nghiÖm 	500 v¹n kinh nghiÖm										5000000				1	10	
NgÉu nhiªn_Thu thËp_TiÓu Phóc Duyªn	vËt phÈm 	Mai Kh«i Hoa Vò 	6	0	20	1	0			1						2	70	
NgÉu nhiªn_Thu thËp_TiÓu Phóc Duyªn	NgÉu nhiªn_MËt ®å nhiÖm vô 	NgÉu nhiªn_MËt ®å nhiÖm vô 														2	30	

NgÉu nhiªn_Thu thËp_§¹i Phóc Duyªn	kinh nghiÖm 	30 v¹n kinh nghiÖm										300000				1	5	
NgÉu nhiªn_Thu thËp_§¹i Phóc Duyªn	kinh nghiÖm 	50 v¹n kinh nghiÖm										500000				1	5	
NgÉu nhiªn_Thu thËp_§¹i Phóc Duyªn	kinh nghiÖm 	100 v¹n kinh nghiÖm										1000000				1	35	
NgÉu nhiªn_Thu thËp_§¹i Phóc Duyªn	kinh nghiÖm 	500 v¹n kinh nghiÖm										5000000				1	55	
NgÉu nhiªn_Thu thËp_§¹i Phóc Duyªn	vËt phÈm 	Mai Kh«i Hoa Vò 	6	0	20	1	0			1						2	65	
NgÉu nhiªn_Thu thËp_§¹i Phóc Duyªn	NgÉu nhiªn_MËt ®å nhiÖm vô 	NgÉu nhiªn_MËt ®å nhiÖm vô 														2	35	
