talk_id	friend010	friend1019	friend1949	friend4984	friend8495	friend95100
11	日落西山，我就不再工作了，你听好。	悲哀啊，我为什么一个知己都没有！	长时间在屋子里坐着不利于身体健康。	明之不可为而为之，这句话是什么意思？	啥时候我才能有个自己的家？	我们是好兄弟对吧？
12	我说仁兄，我们虽然是男人，也不能总是不洗澡吧？	秋天来了，红果也该熟了。	有时去山里游玩也很有意思呢！	四书五经我已经读过了，但仍然不懂其中精髓。	现在的小孩越来越调皮，居然拿了我的武器来玩！	夏天在池塘边，月光下，欣赏荷花别有一番情趣。
13	虽然我乃一介武夫，但也曾读过四书五经。	我不成亲的原因是害怕女人对衣服和饰物的渴望！	庙里在敲钟，挺好听的是吧？	金人虽然走了，现在沿海又闹起倭寇来了。	今天我收拾包袱时，发现小时候玩的弹弓了！	我收到妹子的来信了，她说爹娘一切都好。
14	每天奔波劳碌，我已经厌倦了。	女人见了衣服摊就走动道儿，这点在我妹妹身上印证了。	我很喜欢在小雨时到河边漫步。	有时即使人拥有了强大的力量最后也是郁郁而终了。	江南四大才子，你可听过这个名号？	每天要坚持喝豆浆，听说那样身体会变结实。
15	和你这个人在一起真的很没意思。	以前我娘给我说过一个媳妇，成亲那天我跑掉了。	你吃过鳗鱼么，味道极其鲜美。	不知道天下到底有没有龙，如果哪天能亲眼看到就好了！	天忍教的教主曾与我有一面之缘。	哎呀，已经日上三竿了，我们赶紧上路吧？
16	江湖险恶，我已经萌生去意。	你这个人真是无趣啊，连玩笑也不会开。	像我们这样的江湖中人，是不应该娶亲的，因为我们四海为家。	金，木，水，火，土五行调和才能使万物达到平衡。	峨嵋的弟子从来不随便与男子说话！	大哥的衣服已经破了，有时间我帮你补好吧，别看我粗手粗脚，也会点针线活呐。
17	我已经走过了大江南北，希望有机会到海外看看。	哎？地下怎么有两文钱？	岁数大了以后，我可能会出家为僧。	我们大宋人应该更加团结，这样才会更强大。	最近的蚊子很多啊，咬得我混身是包。	新的一年又要来到了，我要对以后的日子做个打算！
18	整天就吃大饼，窝头，我哪有力气杀敌？	我不是你的随从，是你的帮手。	附近山上有不少石头能发出夺目的光辉。	蝙蝠是我最厌恶的东西！	大哥，咱们最好避免在山里露宿，晚上有野兽出没的。	回家过年也有不好的地方，要给外甥，侄子们压岁钱。
19	……………………………………	钱啊，钱，我怎么总是这么穷。	山上开出兰花了，到处都是香味。	我有时会梦游，你发现的时候千万要看叫醒我啊。	怎么办，还有十天我妹子就要过生辰了，我还没有想好送什么礼物。	今天本来想去赌坊，但是想起大哥的话，我就忍住了。
20	你昨天说什么来着，要去闯什么关？	不知道什么时候才能攒够老婆本。	不怕你笑话，其实我也非常喜欢花花草草。	地里的庄稼都荒芜了，附近的村民到哪去了？	习武之人最忌讳的其实就是杀生了，不能用暴力去夺取别人的性命。	我还要勤加练习才能赶上大哥的身手啊。
21	我的武器已经损坏了，明天要去修理一下。	有些牵挂家里的爹娘，不知他们身体可好？	呵呵，今天我收集到的矿石卖了个好价钱。	这里的孤坟真多，恐怕是几年前战乱时留下的。	今日天空万里无云，还有微风吹过，真是让人气爽神怡啊！	晚上听虫鸣，蛙鸣反而容易睡得沉。
22	你总是让我处在危险的境地。	每天我们都在重复做一样的事，真没意思。	天色已晚，我们还是快快找地方投宿吧？	不管是金人还是汉人都不想打仗的。	上回路过长城时，我看到士兵们都在喝酒吃肉，没有几个人认真站岗。	晚上陪我喝喝酒吧，酒楼还有歌女，舞女表演。
23	除了我应尽的职责，其他的事情我是不会理的。	糟糕，我忘记今天是不是黄道吉日了？	昨天晚上我见到了流星，不知道会不会有好事发生？	大半夜的最好别出门，会碰上邪气。	几年前金人一把火将附近的村子烧光了，如今又繁荣了起来！	杭州是个好地方，美女多。
24	整天这么辛苦，能加薪么？	根据黄历上说，今日我不宜往西行，还不宜穿红衣。	今天我们应该往西走，那里是吉利的方向。	这些日子一直在四处奔波，都没有时间换洗衣服了。	在边境的集市上现在已经可以看到汉人和金人在做买卖了！	我去买几个肉包子，带着路上吃。
25	如果可以毁约就好了！	有时算命先生就是为了多挣点银子，对你胡说八道的。	上周看到一个男子，真是帅气非常，连我都羡慕不已啊。	乌云笼罩着天空，看来要下一场大雨了。	到底还是大宋的土地富庶啊！	大哥的家乡在哪？
26	我也是人生肉长的，不要把我当成你杀敌的工具。	天地虽大，但却没有我一个容身之地，唉！	我什么时候也能拥有豪华的宅邸呢？	唉，好几天没有吃上肉了，要是能有一坛女儿红就更好了。	我身上已经有无数个伤疤了，不介意再多添几个，呵呵！	我出生在成都附近的一个小村子，那里山清水秀，人杰地灵。
27	我觉得你是个贪生怕死之人。	这么晚了，咱们还要赶路啊！	当初我的选择会不会是错误的呢？涉足江湖真的是我该走的路吗？	近日我的身体有些不适，需要大补一下。	上月，我表舅的大姑子来了，给我带了许多土产。	清蒸鱼的味道太好了，想起来就流口水。
28	你是吃大蒜了吧？	你的马似乎饿了！	虽说男儿有泪不轻弹，但有悲伤的时候也该发泄出来。	人参，灵芝，鹿茸都是补身体的药材。	我辛苦积攒的银两大部份都给了娘和爹！	叫花鸡就着烧酒简直是人间美味啊！
29	我每天天不亮就起来练功，你也应该这样。	我的肚子饿了，只能凑合吃点烧饼了。	你见过蓝色的大海吗，它可以净化人的心灵。	好久没有喝到茶了，有时间咱们到茶馆里去一坐片刻吧？	明年我家要盖三间大房子，让我娶媳妇用。	我们晚上投宿时，洗个热水澡吧？
30	你会不会游泳，经常游泳能锻炼骨骼和肌肉。	我真担心下次和你杀怪时，光荣牺牲！	我见过一回天狗吞日，不知你见过没有？	听到乌鸦叫了没有，这可是会倒霉的。	大哥，我们也是热血青年，应该去干一番大事业。	成都小吃闻名四方，有时间我请大哥吃。
31	真不喜欢和唐门的人打交道，他们经常暗算人。	我家原来养过七，八口猪，一闹饥荒全杀掉吃了。	樱花比桃花更美，更高雅。	刚才看到一只白色的猫头鹰，真是希奇啊！	荒山野岭的地方最容易出现妖怪，咱们还是小心为妙。	我一定要娶个料理高手当老婆。
32	少林和尚一个个都自以为了不起，我看了就很不爽。	从小我爹就希望我能当大官，中状元，可是我对做学问不感兴趣。	嘿嘿，我今天的心情不错，咱们四处走走吧？	今天我很有兴致，咱们来一起下河摸鱼吧？	其实我也不是非常怕鬼怪，只是有时想起来，心生恐怖。	现在我越来越想成亲了，唉，可是心上人在哪还不知道呢？
33	该死，一定是你昨天找来的蘑菇害的，肚子疼死了！	我的师傅是一个镖师，住在成都。	一年一度的七夕节又要到了，今年我是孤单一人啊。	远处有一座山，看起来很荒芜的样子。	有时人比鬼更可怕。	曾有贵族小姐向我写了封情书，我没有回应她，毕竟我们身份悬殊。
34	你说的那个什么闯关，我现在一点兴趣也没有。	曾经我的小师妹向我暗示过，但是当时我啥也不懂，去年她嫁人了。	你今天穿得衣服太难看了，赶紧换一件吧。	此处风景甚好，我们多欣赏一会吧？	咱们去吃点小吃吧？	麒麟到底是什么样子呢？如果我能见到就好了。
35	下次注意点好吗？我好几次差点没命。	我这个人最讨厌骂人，但是有人真的该骂。	这大热天的，让人越发烦躁了。	为什么人总是想长生不老，真不明白啊！	刚才有个小虫子盯了我一下，有些痒。	我怎么忘记记帐了，每天我都会记录下自己的花销，这样比较容易理财。
36	上回你给我的果子是酸的，差点酸掉老子大牙。	我们没有必要随便和别人打架，那样没有意思的。	到底什么样的人才是成功的人呢？	如果每天晚上都能睡在一张舒服的床上就好了，哈哈！	饿啊，眼前都要冒金星了，我吃个烧饼吧！	赵大地主要出售一块地，我考虑买下，盖个小饭馆。
37	在这鬼天气下，你就不怀念茶寮吗？	该祭祭五脏庙了。	现在金人已经很少骚扰我大宋了，百姓也能过上平安的日子了。	我们应该停下来休息一会了！	这里虽然风景美丽，河水清澈，但我们还有事要办，不应留恋此地。	我妹子要出嫁了，心里有些怪怪的！
38	晚上我经常休息不好，时间长了，铁人也要倒啊。	有朝一日，我也会成为江湖中显赫的人物。	路过少林时，我要进去上株香。	闯关时，要先做好充分的准备，到时才有可能坚持到终点！	前日在破庙露宿，把我心爱的匕首丢掉了，不知道是不是乞丐偷的？	蛮夷女子，都能歌善舞。
39	今天的天气非常不好，弄得我心情也不好。	仁兄，你不觉得最近太无聊了吗？	我身上的长袍是娘亲自做的。	我常常在严冬赤着上身在户外练功，这样可以磨练毅力。	做人不能太古板，偶尔也要笑一笑，对，我说的是你，大哥！	今天月色不错，我要对月吹笛。
40	下回到集市里，一定要看看歌伎表演。	又路过这个地方了！	哪天我与仁兄切磋一下棋艺吧？	珍珠送给我娘当寿礼最合适不过了！	女人分为四种，高贵的，可爱的，善良的，端庄的，你喜欢哪一类？	我平生最看不惯自以为是的家伙。
41	我想回家种地去了，不想再过这样漂流浪荡的生活。	昨天看到一个丑女，害我发了一晚噩梦。	啊，我好不容易存的老婆本少了一文，丢在哪里了？	体质虚弱可以用药材来熬汤补身子。	菊花泡茶会有很特殊的香味！	听到有人唱歌了吗，真奇怪啊？可是四下除了你我没有别人！
42	你花钱大手大脚，可别把我工钱也花了！	传说这附近出现过冤鬼，咱们还是快快离开吧。	我发现你这个人还是不错的，以前只是我们很少聊天罢了。	老天啊，我怎么上回赌钱输了这么多，老婆本儿又没了！	可爱的女人大多任性。	谁欠我50文钱来着，怎么也想不起来了。
43	下回我们到泉州时，尝尝那的海鲜吧？呃……你还有钱么？	上天太不公平了，把有的人生的这么美，有的人却特别丑。	找个月圆之夜，我们来欣赏明月如何？	看来大哥教训的是，我不该再沾赌了。	心地善良的女人往往缺乏魅力。	这几日，我要整理一下帐目，因为少了3文钱。
44	我最喜欢喝酒了，哈哈，不像你一口下去就趴下了。	从今天开始我要一心向佛。	最近我比较倒霉，总是遇到小偷！	刚才过去的一个男子似乎在瞪咱们，要不要修理他？	高贵的女人自以为是。	有只调皮的猴子抢走了我的玉佩，我要给它点颜色看！
45	不会喝酒就不叫男人。	我见你经常忘记吃饭，这样对身体不好。	哪日 我们上天王岛游览一番吧？	早上起来没吃饭，肚子一直咕咕叫！	端庄的女人一般很古板。	这个地方的风景有些乏味，可是有大哥在也不会觉得烦闷。
46	我会吹笛子，你似乎不通音律啊！	不管你吃饭不吃饭，我可要吃了。	天阴了，马上要下雨，我们快些找地方投宿吧。	现在带保镖的人越来越多了，有时还能看到美女作保镖呢！	我其实是个很喜欢自由生活的人。	到酒楼吃饭时，注意把包袱放好，防止小偷。
47	你这个模样很难会有女人愿意理你的！	附近的村子遭了旱灾。	我这个人最不喜欢别人命令我了。	大热天泡在河里最舒服。	虽然跟着大哥并不是我一直向往的，但是我感觉这样的生活也不错。	哪天大哥的马也借我骑下，哈哈。
48	生活是丰富多彩的，为什么你总是要让自己如此匆忙？	我种的桃树，现在该长很高了吧。	我尽量做最好的保镖。	冰糖燕窝炖雪梨是珍贵的甜品，只有富户人家才能吃得起。	柳枝会随风而摆动，就像舞女跳舞一般。	我是个可怜的男人啊，现在连个老婆也没有！
49	如果你失恋了，一定要检讨，这只能说明你自身有问题。	人不能太固执，这样只能伤害自己。	进日你的功夫长进不少啊！	终于盼到了秋天，最舒适的时节啊。	忽然感觉到很疲劳，我们在前面歇息一会吧！	哦？你今天换了身新衣服，不错！
50	唉，和你在一起后，我就从来没吃过好东西。	黄河又泛滥了。	今日的太阳真刺眼。	五毒教的人真不好惹，以后遇到咱们一定要躲开。	口渴了，我去打点泉水来喝。	我觉得你这个大哥很合格，经常为了照顾我忘记自己的事了。
