装备名称	空手站立1	空手站立2	空手站立3	短武器站立	长武器站立	双武器站立	空手走路	普通走路	短武器走路	长武器走路	双武器走路	空手跑步	普通跑步	短武器跑步	长武器跑步	双武器跑步	空手受伤	短武器受伤	长武器受伤	双武器受伤	空手死亡	短武器死亡	长武器死亡	双武器死亡	空手攻击	短武器刺	短武器砍	长武器戳	长武器劈	双武器划	双武器砸	暗器投掷	空手魔法	短武器魔法	长武器魔法	双武器魔法	打坐	跳跃	骑马站立	骑马走动	骑马跑步	骑马攻击劈	骑马攻击刺	骑马魔法	骑马受伤	骑马死亡	骑马站立1	骑马站立2
马匹17																																							MA_HT_018_RD01.spr	MA_HT_018_HR01.spr	MA_HT_018_HR01.spr	MA_HT_018_HA01.spr	MA_HT_018_HA01.spr	MA_HT_018_HA01.spr	MA_HT_018_HI01.spr	All_DE01.spr	MA_HT_018_RD02.spr	MA_HT_018_RD03.spr
马匹18																																							MA_HT_019_RD01.spr	MA_HT_019_HR01.spr	MA_HT_019_HR01.spr	MA_HT_019_HA01.spr	MA_HT_019_HA01.spr	MA_HT_019_HA01.spr	MA_HT_019_HI01.spr	All_DE01.spr	MA_HT_019_RD02.spr	MA_HT_019_RD03.spr
马匹19																																							MA_HT_030_RD01.spr	MA_HT_030_HR01.spr	MA_HT_030_HR01.spr	MA_HT_030_HA01.spr	MA_HT_030_HA02.spr	MA_HT_030_HA01.spr	MA_HT_030_HI01.spr	All_DE01.spr	MA_HT_030_RD01.spr	MA_HT_030_RD01.spr
马匹20																																							MA_HT_031_RD01.spr	MA_HT_031_HR01.spr	MA_HT_031_HR01.spr	MA_HT_031_HA01.spr	MA_HT_031_HA02.spr	MA_HT_031_HA01.spr	MA_HT_031_HI01.spr	All_DE01.spr	MA_HT_031_RD01.spr	MA_HT_031_RD01.spr
马匹21																																							MA_HT_030_RD01.spr	MA_HT_030_HR01.spr	MA_HT_030_HR01.spr	MA_HT_030_HA01.spr	MA_HT_030_HA02.spr	MA_HT_030_HA01.spr	MA_HT_030_HI01.spr	All_DE01.spr	MA_HT_030_RD01.spr	MA_HT_030_RD01.spr
马匹22																																							MA_HT_032_RD01.spr	MA_HT_032_HR01.spr	MA_HT_032_HR01.spr	MA_HT_032_HA01.spr	MA_HT_032_HA02.spr	MA_HT_032_HA01.spr	MA_HT_032_HI01.spr	All_DE01.spr	MA_HT_032_RD01.spr	MA_HT_032_RD01.spr
马匹23																																							MA_HT_033_RD01.spr	MA_HT_033_HW01.spr	MA_HT_033_HR01.spr	MA_HT_033_HA01.spr	MA_HT_033_HA02.spr	MA_HT_033_HM01.spr	MA_HT_033_HI01.spr	MA_HT_033_HD01.spr	MA_HT_033_RD01.spr	MA_HT_033_RD01.spr
马匹24																																							MA_HT_035_RD01.spr	MA_HT_035_HW01.spr	MA_HT_035_HR01.spr	MA_HT_035_HA01.spr	MA_HT_035_HA02.spr	MA_HT_035_HM01.spr	MA_HT_035_HI01.spr	MA_HT_035_HD01.spr	MA_HT_035_RD01.spr	MA_HT_035_RD01.spr
马匹25																																							MA_HT_036_RD01.spr	MA_HT_036_HW01.spr	MA_HT_036_HR01.spr	MA_HT_036_HA01.spr	MA_HT_036_HA02.spr	MA_HT_036_HM01.spr	MA_HT_036_HI01.spr	MA_HT_036_HD01.spr	MA_HT_036_RD01.spr	MA_HT_036_RD01.spr
马匹26																																							MA_HT_037_RD01.spr	MA_HT_037_HW01.spr	MA_HT_037_HR01.spr	MA_HT_037_HA01.spr	MA_HT_037_HA02.spr	MA_HT_037_HM01.spr	MA_HT_037_HI01.spr	MA_HT_037_HD01.spr	MA_HT_037_RD01.spr	MA_HT_037_RD01.spr
马匹27																																							MA_HT_038_RD01.spr	MA_HT_038_HW01.spr	MA_HT_038_HR01.spr	MA_HT_038_HA01.spr	MA_HT_038_HA02.spr	MA_HT_038_HM01.spr	MA_HT_038_HI01.spr	MA_HT_038_HD01.spr	MA_HT_038_RD01.spr	MA_HT_038_RD01.spr
