EqName	FreeStand1	FreeStand2	FreeStand3	MeleeWStand	RangeWStand	DoubleWStand	FreeWalk	NormalWalk	MeleeWWalk	RangeWWalk	DoubleWWalk	FreeRun	NormalRun	MeleeWRun	RangeWRun	DoubleWRun	FreeWound	MeleeWWound	RangeWWound	DoubleWWound	FreeDie	MeleeWDie	RangeWDie	DoubleWDie	FreeAttack	MeleeWPuncture	MeleeWCut	RangeWPuncture	RangeWCut	DoubleWPull	DoubleWPound	DartThrow	FreeMagic	MeleeWMagic	RangeWMagic	DoubleWMagic	SitDown	Jump	RideStand	RideWalk	RideRun	RideCut	RidePuncture	RideMagic	RideWound	RideDie	RideStand1	RideStand2	ChangeColor
Ë«²øÊÖ-Ë®	FM_RF_001_ST01.spr	FM_RF_001_ST01.spr	FM_RF_001_ST01.spr	FM_RF_000_ST04.spr	FM_RF_000_ST05.spr	FM_RF_000_ST06.spr	FM_RF_001_RN01.spr	FM_RF_001_RN01.spr	FM_RF_000_RN02.spr	FM_RF_000_RN03.spr	FM_RF_000_RN04.spr	FM_RF_001_RN01.spr	FM_RF_001_RN01.spr	FM_RF_000_RN02.spr	FM_RF_000_RN03.spr	FM_RF_000_RN04.spr	FM_RF_001_IJ01.spr	FM_RF_000_IJ02.spr	FM_RF_000_IJ03.spr	FM_RF_000_IJ04.spr	All_DE01.spr	All_DE01.spr	All_DE01.spr	All_DE01.spr	FM_RF_001_AT01.spr	FM_RF_000_AT03.spr	FM_RF_000_AT03.spr	FM_RF_000_AT04.spr	FM_RF_000_AT04.spr	FM_RF_000_AT07.spr	FM_RF_000_AT07.spr	FM_RF_001_MG01.spr	FM_RF_001_AT02.spr	FM_RF_000_AT03.spr	FM_RF_000_AT04.spr	FM_RF_000_AT05.spr	FM_RF_001_ZZ01.spr	FM_RF_001_JP01.spr	FM_RF_008_RD01.spr	FM_RF_008_HR01.spr	FM_RF_008_HR01.spr	FM_RF_008_HA01.spr	FM_RF_008_HA01.spr	FM_RF_008_HA01.spr	FM_RF_008_HI01.spr	All_DE01.spr	FM_RF_008_RD01.spr	FM_RF_008_RD01.spr	0x0080ff
Ë«²øÊÖ-Ä¾	FM_RF_001_ST01.spr	FM_RF_001_ST01.spr	FM_RF_001_ST01.spr	FM_RF_000_ST04.spr	FM_RF_000_ST05.spr	FM_RF_000_ST06.spr	FM_RF_001_RN01.spr	FM_RF_001_RN01.spr	FM_RF_000_RN02.spr	FM_RF_000_RN03.spr	FM_RF_000_RN04.spr	FM_RF_001_RN01.spr	FM_RF_001_RN01.spr	FM_RF_000_RN02.spr	FM_RF_000_RN03.spr	FM_RF_000_RN04.spr	FM_RF_001_IJ01.spr	FM_RF_000_IJ02.spr	FM_RF_000_IJ03.spr	FM_RF_000_IJ04.spr	All_DE01.spr	All_DE01.spr	All_DE01.spr	All_DE01.spr	FM_RF_001_AT01.spr	FM_RF_000_AT03.spr	FM_RF_000_AT03.spr	FM_RF_000_AT04.spr	FM_RF_000_AT04.spr	FM_RF_000_AT07.spr	FM_RF_000_AT07.spr	FM_RF_001_MG01.spr	FM_RF_001_AT02.spr	FM_RF_000_AT03.spr	FM_RF_000_AT04.spr	FM_RF_000_AT05.spr	FM_RF_001_ZZ01.spr	FM_RF_001_JP01.spr	FM_RF_008_RD01.spr	FM_RF_008_HR01.spr	FM_RF_008_HR01.spr	FM_RF_008_HA01.spr	FM_RF_008_HA01.spr	FM_RF_008_HA01.spr	FM_RF_008_HI01.spr	All_DE01.spr	FM_RF_008_RD01.spr	FM_RF_008_RD01.spr	0x00ff00
Ë«²øÊÖ-»ð	FM_RF_001_ST01.spr	FM_RF_001_ST01.spr	FM_RF_001_ST01.spr	FM_RF_000_ST04.spr	FM_RF_000_ST05.spr	FM_RF_000_ST06.spr	FM_RF_001_RN01.spr	FM_RF_001_RN01.spr	FM_RF_000_RN02.spr	FM_RF_000_RN03.spr	FM_RF_000_RN04.spr	FM_RF_001_RN01.spr	FM_RF_001_RN01.spr	FM_RF_000_RN02.spr	FM_RF_000_RN03.spr	FM_RF_000_RN04.spr	FM_RF_001_IJ01.spr	FM_RF_000_IJ02.spr	FM_RF_000_IJ03.spr	FM_RF_000_IJ04.spr	All_DE01.spr	All_DE01.spr	All_DE01.spr	All_DE01.spr	FM_RF_001_AT01.spr	FM_RF_000_AT03.spr	FM_RF_000_AT03.spr	FM_RF_000_AT04.spr	FM_RF_000_AT04.spr	FM_RF_000_AT07.spr	FM_RF_000_AT07.spr	FM_RF_001_MG01.spr	FM_RF_001_AT02.spr	FM_RF_000_AT03.spr	FM_RF_000_AT04.spr	FM_RF_000_AT05.spr	FM_RF_001_ZZ01.spr	FM_RF_001_JP01.spr	FM_RF_008_RD01.spr	FM_RF_008_HR01.spr	FM_RF_008_HR01.spr	FM_RF_008_HA01.spr	FM_RF_008_HA01.spr	FM_RF_008_HA01.spr	FM_RF_008_HI01.spr	All_DE01.spr	FM_RF_008_RD01.spr	FM_RF_008_RD01.spr	0xff0000
³¤¹÷-½ð¹÷	FM_RF_004_ST01.spr	FM_RF_004_ST01.spr	FM_RF_000_ST01.spr	FM_RF_004_ST04.spr	FM_RF_004_ST05.spr	FM_RF_004_ST06.spr	FM_RF_000_RN01.spr	FM_RF_000_RN01.spr	FM_RF_004_RN02.spr	FM_RF_004_RN03.spr	FM_RF_004_RN04.spr	FM_RF_000_RN01.spr	FM_RF_000_RN01.spr	FM_RF_004_RN02.spr	FM_RF_004_RN03.spr	FM_RF_004_RN04.spr	FM_RF_000_IJ01.spr	FM_RF_004_IJ02.spr	FM_RF_004_IJ03.spr	FM_RF_004_IJ04.spr	All_DE01.spr	All_DE01.spr	All_DE01.spr	All_DE01.spr	FM_RF_000_AT01.spr	FM_RF_004_AT03.spr	FM_RF_004_AT03.spr	FM_RF_004_AT04.spr	FM_RF_004_AT04.spr	FM_RF_004_AT07.spr	FM_RF_004_AT07.spr	FM_RF_004_MG01.spr	FM_RF_000_AT02.spr	FM_RF_004_AT03.spr	FM_RF_004_AT04.spr	FM_RF_004_AT05.spr	FM_RF_000_ZZ01.spr	FM_RF_000_JP01.spr	FM_RF_011_RD01.spr	FM_RF_011_HR01.spr	FM_RF_011_HR01.spr	FM_RF_011_HA01.spr	FM_RF_011_HA01.spr	FM_RF_011_HA01.spr	FM_RF_011_HI01.spr	All_DE01.spr	FM_RF_011_RD01.spr	FM_RF_011_RD01.spr	0x808000
³¤¹÷-»ð¹÷	FM_RF_004_ST01.spr	FM_RF_004_ST01.spr	FM_RF_000_ST01.spr	FM_RF_004_ST04.spr	FM_RF_004_ST05.spr	FM_RF_004_ST06.spr	FM_RF_000_RN01.spr	FM_RF_000_RN01.spr	FM_RF_004_RN02.spr	FM_RF_004_RN03.spr	FM_RF_004_RN04.spr	FM_RF_000_RN01.spr	FM_RF_000_RN01.spr	FM_RF_004_RN02.spr	FM_RF_004_RN03.spr	FM_RF_004_RN04.spr	FM_RF_000_IJ01.spr	FM_RF_004_IJ02.spr	FM_RF_004_IJ03.spr	FM_RF_004_IJ04.spr	All_DE01.spr	All_DE01.spr	All_DE01.spr	All_DE01.spr	FM_RF_000_AT01.spr	FM_RF_004_AT03.spr	FM_RF_004_AT03.spr	FM_RF_004_AT04.spr	FM_RF_004_AT04.spr	FM_RF_004_AT07.spr	FM_RF_004_AT07.spr	FM_RF_004_MG01.spr	FM_RF_000_AT02.spr	FM_RF_004_AT03.spr	FM_RF_004_AT04.spr	FM_RF_004_AT05.spr	FM_RF_000_ZZ01.spr	FM_RF_000_JP01.spr	FM_RF_011_RD01.spr	FM_RF_011_HR01.spr	FM_RF_011_HR01.spr	FM_RF_011_HA01.spr	FM_RF_011_HA01.spr	FM_RF_011_HA01.spr	FM_RF_011_HI01.spr	All_DE01.spr	FM_RF_011_RD01.spr	FM_RF_011_RD01.spr	0xff0000
³¤Ç¹-½ðÇ¹	FM_RF_004_ST01.spr	FM_RF_004_ST01.spr	FM_RF_000_ST01.spr	FM_RF_004_ST04.spr	FM_RF_004_ST05.spr	FM_RF_004_ST06.spr	FM_RF_000_RN01.spr	FM_RF_000_RN01.spr	FM_RF_004_RN02.spr	FM_RF_004_RN03.spr	FM_RF_004_RN04.spr	FM_RF_000_RN01.spr	FM_RF_000_RN01.spr	FM_RF_004_RN02.spr	FM_RF_004_RN03.spr	FM_RF_004_RN04.spr	FM_RF_000_IJ01.spr	FM_RF_004_IJ02.spr	FM_RF_004_IJ03.spr	FM_RF_004_IJ04.spr	All_DE01.spr	All_DE01.spr	All_DE01.spr	All_DE01.spr	FM_RF_000_AT01.spr	FM_RF_004_AT03.spr	FM_RF_004_AT03.spr	FM_RF_004_AT04.spr	FM_RF_004_AT04.spr	FM_RF_004_AT07.spr	FM_RF_004_AT07.spr	FM_RF_004_MG01.spr	FM_RF_000_AT02.spr	FM_RF_004_AT03.spr	FM_RF_004_AT04.spr	FM_RF_004_AT05.spr	FM_RF_000_ZZ01.spr	FM_RF_000_JP01.spr	FM_RF_011_RD01.spr	FM_RF_011_HR01.spr	FM_RF_011_HR01.spr	FM_RF_011_HA01.spr	FM_RF_011_HA01.spr	FM_RF_011_HA01.spr	FM_RF_011_HI01.spr	All_DE01.spr	FM_RF_011_RD01.spr	FM_RF_011_RD01.spr	0x808000
³¤Ç¹-»ðÇ¹	FM_RF_004_ST01.spr	FM_RF_004_ST01.spr	FM_RF_000_ST01.spr	FM_RF_004_ST04.spr	FM_RF_004_ST05.spr	FM_RF_004_ST06.spr	FM_RF_000_RN01.spr	FM_RF_000_RN01.spr	FM_RF_004_RN02.spr	FM_RF_004_RN03.spr	FM_RF_004_RN04.spr	FM_RF_000_RN01.spr	FM_RF_000_RN01.spr	FM_RF_004_RN02.spr	FM_RF_004_RN03.spr	FM_RF_004_RN04.spr	FM_RF_000_IJ01.spr	FM_RF_004_IJ02.spr	FM_RF_004_IJ03.spr	FM_RF_004_IJ04.spr	All_DE01.spr	All_DE01.spr	All_DE01.spr	All_DE01.spr	FM_RF_000_AT01.spr	FM_RF_004_AT03.spr	FM_RF_004_AT03.spr	FM_RF_004_AT04.spr	FM_RF_004_AT04.spr	FM_RF_004_AT07.spr	FM_RF_004_AT07.spr	FM_RF_004_MG01.spr	FM_RF_000_AT02.spr	FM_RF_004_AT03.spr	FM_RF_004_AT04.spr	FM_RF_004_AT05.spr	FM_RF_000_ZZ01.spr	FM_RF_000_JP01.spr	FM_RF_011_RD01.spr	FM_RF_011_HR01.spr	FM_RF_011_HR01.spr	FM_RF_011_HA01.spr	FM_RF_011_HA01.spr	FM_RF_011_HA01.spr	FM_RF_011_HI01.spr	All_DE01.spr	FM_RF_011_RD01.spr	FM_RF_011_RD01.spr	0xff0000
µ¥ÊÖµ¶-½ð	FM_RF_003_ST01.spr	FM_RF_003_ST01.spr	FM_RF_000_ST01.spr	FM_RF_003_ST04.spr	FM_RF_003_ST05.spr	FM_RF_003_ST06.spr	FM_RF_000_RN01.spr	FM_RF_000_RN01.spr	FM_RF_003_RN02.spr	FM_RF_003_RN03.spr	FM_RF_003_RN04.spr	FM_RF_000_RN01.spr	FM_RF_000_RN01.spr	FM_RF_003_RN02.spr	FM_RF_003_RN03.spr	FM_RF_003_RN04.spr	FM_RF_000_IJ01.spr	FM_RF_003_IJ02.spr	FM_RF_003_IJ03.spr	FM_RF_003_IJ04.spr	All_DE01.spr	All_DE01.spr	All_DE01.spr	All_DE01.spr	FM_RF_000_AT01.spr	FM_RF_003_AT03.spr	FM_RF_003_AT03.spr	FM_RF_003_AT04.spr	FM_RF_003_AT04.spr	FM_RF_003_AT07.spr	FM_RF_003_AT07.spr	FM_RF_003_MG01.spr	FM_RF_000_AT02.spr	FM_RF_003_AT03.spr	FM_RF_003_AT04.spr	FM_RF_003_AT05.spr	FM_RF_000_ZZ01.spr	FM_RF_000_JP01.spr	FM_RF_010_RD01.spr	FM_RF_010_HR01.spr	FM_RF_010_HR01.spr	FM_RF_010_HA01.spr	FM_RF_010_HA01.spr	FM_RF_010_HA01.spr	FM_RF_010_HI01.spr	All_DE01.spr	FM_RF_010_RD01.spr	FM_RF_010_RD01.spr	0x808000
µ¥ÊÖµ¶-Ä¾	FM_RF_003_ST01.spr	FM_RF_003_ST01.spr	FM_RF_000_ST01.spr	FM_RF_003_ST04.spr	FM_RF_003_ST05.spr	FM_RF_003_ST06.spr	FM_RF_000_RN01.spr	FM_RF_000_RN01.spr	FM_RF_003_RN02.spr	FM_RF_003_RN03.spr	FM_RF_003_RN04.spr	FM_RF_000_RN01.spr	FM_RF_000_RN01.spr	FM_RF_003_RN02.spr	FM_RF_003_RN03.spr	FM_RF_003_RN04.spr	FM_RF_000_IJ01.spr	FM_RF_003_IJ02.spr	FM_RF_003_IJ03.spr	FM_RF_003_IJ04.spr	All_DE01.spr	All_DE01.spr	All_DE01.spr	All_DE01.spr	FM_RF_000_AT01.spr	FM_RF_003_AT03.spr	FM_RF_003_AT03.spr	FM_RF_003_AT04.spr	FM_RF_003_AT04.spr	FM_RF_003_AT07.spr	FM_RF_003_AT07.spr	FM_RF_003_MG01.spr	FM_RF_000_AT02.spr	FM_RF_003_AT03.spr	FM_RF_003_AT04.spr	FM_RF_003_AT05.spr	FM_RF_000_ZZ01.spr	FM_RF_000_JP01.spr	FM_RF_010_RD01.spr	FM_RF_010_HR01.spr	FM_RF_010_HR01.spr	FM_RF_010_HA01.spr	FM_RF_010_HA01.spr	FM_RF_010_HA01.spr	FM_RF_010_HI01.spr	All_DE01.spr	FM_RF_010_RD01.spr	FM_RF_010_RD01.spr	0x00ff00
µ¥ÊÖµ¶-Ë®	FM_RF_003_ST01.spr	FM_RF_003_ST01.spr	FM_RF_000_ST01.spr	FM_RF_003_ST04.spr	FM_RF_003_ST05.spr	FM_RF_003_ST06.spr	FM_RF_000_RN01.spr	FM_RF_000_RN01.spr	FM_RF_003_RN02.spr	FM_RF_003_RN03.spr	FM_RF_003_RN04.spr	FM_RF_000_RN01.spr	FM_RF_000_RN01.spr	FM_RF_003_RN02.spr	FM_RF_003_RN03.spr	FM_RF_003_RN04.spr	FM_RF_000_IJ01.spr	FM_RF_003_IJ02.spr	FM_RF_003_IJ03.spr	FM_RF_003_IJ04.spr	All_DE01.spr	All_DE01.spr	All_DE01.spr	All_DE01.spr	FM_RF_000_AT01.spr	FM_RF_003_AT03.spr	FM_RF_003_AT03.spr	FM_RF_003_AT04.spr	FM_RF_003_AT04.spr	FM_RF_003_AT07.spr	FM_RF_003_AT07.spr	FM_RF_003_MG01.spr	FM_RF_000_AT02.spr	FM_RF_003_AT03.spr	FM_RF_003_AT04.spr	FM_RF_003_AT05.spr	FM_RF_000_ZZ01.spr	FM_RF_000_JP01.spr	FM_RF_010_RD01.spr	FM_RF_010_HR01.spr	FM_RF_010_HR01.spr	FM_RF_010_HA01.spr	FM_RF_010_HA01.spr	FM_RF_010_HA01.spr	FM_RF_010_HI01.spr	All_DE01.spr	FM_RF_010_RD01.spr	FM_RF_010_RD01.spr	0x0080ff
µ¥ÊÖ»ðµ¶-»ð	FM_RF_003_ST01.spr	FM_RF_003_ST01.spr	FM_RF_000_ST01.spr	FM_RF_003_ST04.spr	FM_RF_003_ST05.spr	FM_RF_003_ST06.spr	FM_RF_000_RN01.spr	FM_RF_000_RN01.spr	FM_RF_003_RN02.spr	FM_RF_003_RN03.spr	FM_RF_003_RN04.spr	FM_RF_000_RN01.spr	FM_RF_000_RN01.spr	FM_RF_003_RN02.spr	FM_RF_003_RN03.spr	FM_RF_003_RN04.spr	FM_RF_000_IJ01.spr	FM_RF_003_IJ02.spr	FM_RF_003_IJ03.spr	FM_RF_003_IJ04.spr	All_DE01.spr	All_DE01.spr	All_DE01.spr	All_DE01.spr	FM_RF_000_AT01.spr	FM_RF_003_AT03.spr	FM_RF_003_AT03.spr	FM_RF_003_AT04.spr	FM_RF_003_AT04.spr	FM_RF_003_AT07.spr	FM_RF_003_AT07.spr	FM_RF_003_MG01.spr	FM_RF_000_AT02.spr	FM_RF_003_AT03.spr	FM_RF_003_AT04.spr	FM_RF_003_AT05.spr	FM_RF_000_ZZ01.spr	FM_RF_000_JP01.spr	FM_RF_010_RD01.spr	FM_RF_010_HR01.spr	FM_RF_010_HR01.spr	FM_RF_010_HA01.spr	FM_RF_010_HA01.spr	FM_RF_010_HA01.spr	FM_RF_010_HI01.spr	All_DE01.spr	FM_RF_010_RD01.spr	FM_RF_010_RD01.spr	0xff0000
µ¥ÊÖµ¶-À×	FM_RF_003_ST01.spr	FM_RF_003_ST01.spr	FM_RF_000_ST01.spr	FM_RF_003_ST04.spr	FM_RF_003_ST05.spr	FM_RF_003_ST06.spr	FM_RF_000_RN01.spr	FM_RF_000_RN01.spr	FM_RF_003_RN02.spr	FM_RF_003_RN03.spr	FM_RF_003_RN04.spr	FM_RF_000_RN01.spr	FM_RF_000_RN01.spr	FM_RF_003_RN02.spr	FM_RF_003_RN03.spr	FM_RF_003_RN04.spr	FM_RF_000_IJ01.spr	FM_RF_003_IJ02.spr	FM_RF_003_IJ03.spr	FM_RF_003_IJ04.spr	All_DE01.spr	All_DE01.spr	All_DE01.spr	All_DE01.spr	FM_RF_000_AT01.spr	FM_RF_003_AT03.spr	FM_RF_003_AT03.spr	FM_RF_003_AT04.spr	FM_RF_003_AT04.spr	FM_RF_003_AT07.spr	FM_RF_003_AT07.spr	FM_RF_003_MG01.spr	FM_RF_000_AT02.spr	FM_RF_003_AT03.spr	FM_RF_003_AT04.spr	FM_RF_003_AT05.spr	FM_RF_000_ZZ01.spr	FM_RF_000_JP01.spr	FM_RF_010_RD01.spr	FM_RF_010_HR01.spr	FM_RF_010_HR01.spr	FM_RF_010_HA01.spr	FM_RF_010_HA01.spr	FM_RF_010_HA01.spr	FM_RF_010_HI01.spr	All_DE01.spr	FM_RF_010_RD01.spr	FM_RF_010_RD01.spr	0x8000ff
µ¥ÊÖ½£-Ë®	FM_RF_002_ST01.spr	FM_RF_002_ST01.spr	FM_RF_000_ST01.spr	FM_RF_002_ST04.spr	FM_RF_002_ST05.spr	FM_RF_002_ST06.spr	FM_RF_000_RN01.spr	FM_RF_000_RN01.spr	FM_RF_002_RN02.spr	FM_RF_002_RN03.spr	FM_RF_002_RN04.spr	FM_RF_000_RN01.spr	FM_RF_000_RN01.spr	FM_RF_002_RN02.spr	FM_RF_002_RN03.spr	FM_RF_002_RN04.spr	FM_RF_000_IJ01.spr	FM_RF_002_IJ02.spr	FM_RF_002_IJ03.spr	FM_RF_002_IJ04.spr	All_DE01.spr	All_DE01.spr	All_DE01.spr	All_DE01.spr	FM_RF_000_AT01.spr	FM_RF_002_AT03.spr	FM_RF_002_AT03.spr	FM_RF_002_AT04.spr	FM_RF_002_AT04.spr	FM_RF_002_AT07.spr	FM_RF_002_AT07.spr	FM_RF_002_MG01.spr	FM_RF_000_AT02.spr	FM_RF_002_AT03.spr	FM_RF_002_AT04.spr	FM_RF_002_AT05.spr	FM_RF_000_ZZ01.spr	FM_RF_000_JP01.spr	FM_RF_009_RD01.spr	FM_RF_009_HR01.spr	FM_RF_009_HR01.spr	FM_RF_009_HA01.spr	FM_RF_009_HA01.spr	FM_RF_009_HA01.spr	FM_RF_009_HI01.spr	All_DE01.spr	FM_RF_009_RD01.spr	FM_RF_009_RD01.spr	0x0080ff
µ¥ÊÖ½£-À×	FM_RF_002_ST01.spr	FM_RF_002_ST01.spr	FM_RF_000_ST01.spr	FM_RF_002_ST04.spr	FM_RF_002_ST05.spr	FM_RF_002_ST06.spr	FM_RF_000_RN01.spr	FM_RF_000_RN01.spr	FM_RF_002_RN02.spr	FM_RF_002_RN03.spr	FM_RF_002_RN04.spr	FM_RF_000_RN01.spr	FM_RF_000_RN01.spr	FM_RF_002_RN02.spr	FM_RF_002_RN03.spr	FM_RF_002_RN04.spr	FM_RF_000_IJ01.spr	FM_RF_002_IJ02.spr	FM_RF_002_IJ03.spr	FM_RF_002_IJ04.spr	All_DE01.spr	All_DE01.spr	All_DE01.spr	All_DE01.spr	FM_RF_000_AT01.spr	FM_RF_002_AT03.spr	FM_RF_002_AT03.spr	FM_RF_002_AT04.spr	FM_RF_002_AT04.spr	FM_RF_002_AT07.spr	FM_RF_002_AT07.spr	FM_RF_002_MG01.spr	FM_RF_000_AT02.spr	FM_RF_002_AT03.spr	FM_RF_002_AT04.spr	FM_RF_002_AT05.spr	FM_RF_000_ZZ01.spr	FM_RF_000_JP01.spr	FM_RF_009_RD01.spr	FM_RF_009_HR01.spr	FM_RF_009_HR01.spr	FM_RF_009_HA01.spr	FM_RF_009_HA01.spr	FM_RF_009_HA01.spr	FM_RF_009_HI01.spr	All_DE01.spr	FM_RF_009_RD01.spr	FM_RF_009_RD01.spr	0x8000ff
µ¥ÊÖÀ×½£-À×	FM_RF_002_ST01.spr	FM_RF_002_ST01.spr	FM_RF_000_ST01.spr	FM_RF_002_ST04.spr	FM_RF_002_ST05.spr	FM_RF_002_ST06.spr	FM_RF_000_RN01.spr	FM_RF_000_RN01.spr	FM_RF_002_RN02.spr	FM_RF_002_RN03.spr	FM_RF_002_RN04.spr	FM_RF_000_RN01.spr	FM_RF_000_RN01.spr	FM_RF_002_RN02.spr	FM_RF_002_RN03.spr	FM_RF_002_RN04.spr	FM_RF_000_IJ01.spr	FM_RF_002_IJ02.spr	FM_RF_002_IJ03.spr	FM_RF_002_IJ04.spr	All_DE01.spr	All_DE01.spr	All_DE01.spr	All_DE01.spr	FM_RF_000_AT01.spr	FM_RF_002_AT03.spr	FM_RF_002_AT03.spr	FM_RF_002_AT04.spr	FM_RF_002_AT04.spr	FM_RF_002_AT07.spr	FM_RF_002_AT07.spr	FM_RF_002_MG01.spr	FM_RF_000_AT02.spr	FM_RF_002_AT03.spr	FM_RF_002_AT04.spr	FM_RF_002_AT05.spr	FM_RF_000_ZZ01.spr	FM_RF_000_JP01.spr	FM_RF_009_RD01.spr	FM_RF_009_HR01.spr	FM_RF_009_HR01.spr	FM_RF_009_HA01.spr	FM_RF_009_HA01.spr	FM_RF_009_HA01.spr	FM_RF_009_HI01.spr	All_DE01.spr	FM_RF_009_RD01.spr	FM_RF_009_RD01.spr	0x8000ff
Ë«´¸-½ð	FM_RF_007_ST01.spr	FM_RF_007_ST01.spr	FM_RF_000_ST01.spr	FM_RF_000_ST04.spr	FM_RF_000_ST05.spr	FM_RF_007_ST06.spr	FM_RF_000_RN01.spr	FM_RF_000_RN01.spr	FM_RF_000_RN02.spr	FM_RF_000_RN03.spr	FM_RF_007_RN04.spr	FM_RF_000_RN01.spr	FM_RF_000_RN01.spr	FM_RF_000_RN02.spr	FM_RF_000_RN03.spr	FM_RF_007_RN04.spr	FM_RF_000_IJ01.spr	FM_RF_000_IJ02.spr	FM_RF_000_IJ03.spr	FM_RF_007_IJ04.spr	All_DE01.spr	All_DE01.spr	All_DE01.spr	All_DE01.spr	FM_RF_000_AT01.spr	FM_RF_000_AT03.spr	FM_RF_000_AT03.spr	FM_RF_000_AT04.spr	FM_RF_000_AT04.spr	FM_RF_007_AT07.spr	FM_RF_007_AT07.spr	FM_RF_000_MG01.spr	FM_RF_000_AT02.spr	FM_RF_000_AT03.spr	FM_RF_000_AT04.spr	FM_RF_007_AT05.spr	FM_RF_000_ZZ01.spr	FM_RF_000_JP01.spr	FM_RF_014_RD01.spr	FM_RF_014_HR01.spr	FM_RF_014_HR01.spr	FM_RF_014_HA01.spr	FM_RF_014_HA01.spr	FM_RF_014_HA01.spr	FM_RF_014_HI01.spr	All_DE01.spr	FM_RF_014_RD01.spr	FM_RF_014_RD01.spr	0x808000
