道具名称	道具品质	道具ID	道具种类	具体类别	详细类别	白金等级	等级	魔法属性ID1	参数1	魔法1起始值1	魔法1结束值1	魔法1价值1	魔法1起始值2	魔法1结束值2	魔法1价值2	 魔法1起始值3 	 魔法1结束值3 	魔法1价值3	 魔法1起始值4 	 魔法1结束值4 	魔法1价值4	 魔法1起始值5	 魔法1结束值5	魔法1价值5	魔法属性ID2	参数2	魔法2起始值1	魔法2结束值1	魔法2价值1	魔法2起始值2	魔法2结束值2	魔法2价值2	 魔法2起始值3 	 魔法2结束值3 	魔法2价值3	魔法2起始值4	魔法2结束值4	魔法2价值4	 魔法2起始值5	 魔法2结束值5	魔法2价值5	魔法属性ID3	参数3	魔法3起始值1	魔法3结束值1	魔法3价值1	魔法3起始值2	魔法3结束值2	魔法3价值2	魔法3起始值3	魔法3结束值3	魔法3价值3	魔法3起始值4	魔法3结束值4	魔法3价值4	 魔法3起始值5	 魔法3结束值5	魔法3价值5	魔法属性ID4	参数4	魔法4起始值1	魔法4结束值1	魔法4价值1	魔法4起始值2	魔法4结束值2	魔法4价值2	魔法4起始值3	魔法4结束值3	魔法4价值3	魔法4起始值4	魔法4结束值4	魔法4价值4	 魔法4起始值5	 魔法4结束值5	魔法4价值5	保底	11
撼天之虎头紧束腕	1	19	-1	-1	-1	-1	10	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	117600	117600
撼天之乘龙战靴	1	20	-1	-1	-1	-1	10	111	-1	40	44	0	45	49	54	50	54	108	55	59	163	60	60	271	139	31	1	1	0	2	2	108	3	3	217	-1	-1	-1	-1	-1	-1	103	-1	30	31	0	32	34	54	35	35	163	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	9615	9615
继业之奔雷钻龙枪	1	21	-1	-1	-1	-1	10	123	-1	80	89	0	90	99	177	100	109	354	110	119	531	120	120	884	121	-1	30	37	0	38	43	177	44	49	354	50	50	707	-1	-1	-1	126	-1	50	74	0	75	99	177	100	100	531	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3846	3846
继业之玄武黄金铠	1	22	-1	-1	-1	-1	10	113	-1	40	44	0	45	49	75	50	54	150	55	59	225	60	60	375	139	23	1	1	0	2	2	150	3	3	300	-1	-1	-1	-1	-1	-1	102	-1	20	22	0	23	24	75	25	25	225	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	6364.771	6364.771
继业之白虎无双扣	1	23	-1	-1	-1	-1	10	139	30	1	1	0	2	2	224	3	3	448	-1	-1	-1	-1	-1	-1	139	36	1	1	0	2	2	224	3	3	448	-1	-1	-1	-1	-1	-1	106	-1	40	44	0	45	49	112	50	50	336	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	9615	9615
继业之火云麒麟手	1	24	-1	-1	-1	-1	10	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	117600	117600
继业之朱雀凌云靴	1	25	-1	-1	-1	-1	10	111	-1	50	59	-50	0	49	-60	-1	-1	-1	-1	-1	-1	-1	-1	-1	139	323	1	2	-100	3	3	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	220	-1	0	49	-7	50	50	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	147000	147000
御龙之亮银宝刀	1	26	-1	-1	-1	-1	10	123	-1	80	93	0	94	106	112	107	119	225	120	120	449	-1	-1	-1	121	-1	30	39	0	40	49	112	50	50	337	-1	-1	-1	-1	-1	-1	126	-1	50	90	0	91	100	225	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5769	5769
御龙之战神挂坠	1	27	-1	-1	-1	-1	10	114	-1	16	17	0	18	19	8	20	21	17	22	23	25	24	24	42	139	40	1	1	0	2	2	17	3	3	33	-1	-1	-1	-1	-1	-1	102	-1	20	22	0	23	24	8	25	25	25	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	7616.728	7616.728
御龙之天门束腰环	1	28	-1	-1	-1	-1	10	139	36	1	1	0	2	2	202	3	3	404	-1	-1	-1	-1	-1	-1	139	34	1	1	0	2	2	101	3	3	202	-1	-1	-1	-1	-1	-1	106	-1	40	43	0	44	46	101	47	49	202	50	50	404	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5769	5769
御龙之迅风发箍	1	29	-1	-1	-1	-1	10	139	322	1	2	-75	3	3	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	102	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	147000	147000
御龙之绝命指环	1	30	-1	-1	-1	-1	10	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	117600	117600
无间之倚天剑	1	31	-1	-1	-1	-1	10	115	-1	20	24	0	25	29	177	30	34	354	35	39	531	40	40	884	139	252	1	1	0	2	2	354	3	3	707	-1	-1	-1	-1	-1	-1	121	-1	50	54	0	55	59	177	60	60	531	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	19231	19231
无间之清风软屐	1	32	-1	-1	-1	-1	10	111	-1	54	59	-20	0	53	-33	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	147000	147000
无间之拂云丝带	1	33	-1	-1	-1	-1	10	139	85	1	1	0	2	2	25	3	3	63	-1	-1	-1	-1	-1	-1	104	-1	25	26	0	27	28	13	29	29	25	30	30	50	-1	-1	-1	106	-1	30	39	0	40	49	13	50	50	38	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	26923	26923
无间之琴韵护腕	1	34	-1	-1	-1	-1	10	139	328	1	1	0	2	2	317	3	3	792	-1	-1	-1	-1	-1	-1	139	385	1	1	0	2	2	317	3	3	633	-1	-1	-1	-1	-1	-1	104	-1	25	26	0	27	29	158	30	30	475	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1750000	1750000
无间之白玉般指	1	35	-1	-1	-1	-1	10	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	68600	68600
无魇之摩尼冠	1	36	-1	-1	-1	-1	10	104	-1	25	26	0	27	28	123	29	29	247	30	30	493	-1	-1	-1	169	-1	80	99	0	100	119	123	120	120	370	-1	-1	-1	-1	-1	-1	106	-1	40	44	0	45	49	123	50	50	370	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1538462	1538462
无魇之秋水流光带	1	37	-1	-1	-1	-1	10	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	169	-1	110	119	1	120	120	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	106	-1	0	49	-16	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	147000	147000
无魇之冰晶指环	1	38	-1	-1	-1	-1	10	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	68600	68600
无魇之洗象玉扣	1	39	-1	-1	-1	-1	10	116	-1	20	24	0	25	29	177	30	34	354	35	39	531	40	40	884	139	79	1	1	0	2	2	354	3	3	707	-1	-1	-1	-1	-1	-1	139	91	1	1	0	2	2	177	3	3	531	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	15385	15385
无魇之红缁软禢鞋	1	40	-1	-1	-1	-1	10	139	380	1	1	0	2	2	150	3	3	375	-1	-1	-1	-1	-1	-1	139	82	1	1	0	2	2	150	3	3	300	-1	-1	-1	-1	-1	-1	111	-1	40	49	0	50	59	75	60	60	225	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	15385	15385
无尘之玉女素心冠	1	41	-1	-1	-1	-1	10	139	86	1	1	0	2	2	40	3	3	80	-1	-1	-1	-1	-1	-1	105	-1	25	27	0	28	29	20	30	30	60	-1	-1	-1	-1	-1	-1	106	-1	40	44	0	45	49	20	50	50	60	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3652.985	3652.985
无尘之清心向善珠	1	42	-1	-1	-1	-1	10	114	-1	16	17	0	18	19	25	20	21	50	22	23	75	24	24	125	139	89	1	1	0	2	2	50	3	3	100	-1	-1	-1	-1	-1	-1	103	-1	25	26	0	27	29	25	30	30	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5769	5769
无尘之慈悲玉般指	1	43	-1	-1	-1	-1	10	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	58800	58800
无尘之静影流苏	1	44	-1	-1	-1	-1	10	103	-1	0	29	-14	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	139	282	2	2	-40	1	1	-100	-1	-1	-1	-1	-1	-1	-1	-1	-1	139	92	1	2	-14	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	147000	147000
无尘之佛光指环	1	45	-1	-1	-1	-1	10	103	-1	33	34	0	35	35	24	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5213.621	5213.621
栖凰之凤仪刀	1	46	-1	-1	-1	-1	10	115	-1	20	24	0	25	29	56	30	34	113	35	39	169	40	40	282	139	114	1	1	0	2	2	113	3	3	226	-1	-1	-1	-1	-1	-1	121	-1	50	54	0	55	59	56	60	60	169	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3077	3077
栖凰之慧心长生扣	1	47	-1	-1	-1	-1	10	113	-1	45	49	-8	0	44	-100	-1	-1	-1	-1	-1	-1	-1	-1	-1	103	-1	0	29	-8	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	110	-1	0	49	-8	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	147000	147000
栖凰之风雪白云束带	1	48	-1	-1	-1	-1	10	139	99	1	1	0	2	2	40	3	3	80	-1	-1	-1	-1	-1	-1	104	-1	25	26	0	27	29	20	30	30	60	-1	-1	-1	-1	-1	-1	106	-1	40	44	0	45	49	20	50	50	60	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	7692	7692
栖凰之冰踪锦腕	1	49	-1	-1	-1	-1	10	139	336	1	1	0	2	2	131	3	3	329	-1	-1	-1	-1	-1	-1	104	-1	25	26	0	27	29	66	30	30	197	-1	-1	-1	-1	-1	-1	139	95	1	1	0	2	2	131	3	3	263	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5769	5769
栖凰之翠玉指环	1	50	-1	-1	-1	-1	10	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	58800	58800
碧海之鸳鸯连环刀	1	51	-1	-1	-1	-1	10	116	-1	20	24	0	25	29	269	30	34	539	35	39	808	40	40	1347	139	97	1	1	0	2	2	539	3	3	1078	-1	-1	-1	-1	-1	-1	139	114	1	1	0	2	2	269	3	3	808	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2692	2692
碧海之环珠宣清巾	1	52	-1	-1	-1	-1	10	103	-1	0	29	-25	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	147000	147000
碧海之红铃金丝带	1	53	-1	-1	-1	-1	10	139	337	1	1	0	2	2	57	3	3	144	-1	-1	-1	-1	-1	-1	139	102	1	1	0	2	2	29	3	3	86	-1	-1	-1	-1	-1	-1	103	-1	30	30	0	31	32	29	33	34	57	35	35	115	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2397.878	2397.878
碧海之红铃波	1	54	-1	-1	-1	-1	10	113	-1	35	39	0	40	44	46	45	49	91	50	50	182	-1	-1	-1	139	109	1	1	0	2	2	46	3	3	137	-1	-1	-1	-1	-1	-1	120	-1	8	9	0	10	11	46	12	12	137	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2421.321	2421.321
碧海之纤细指环	1	55	-1	-1	-1	-1	10	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	58800	58800
幽胧之金蛇发带	1	56	-1	-1	-1	-1	10	116	-1	10	12	0	13	15	131	16	17	261	18	19	392	20	20	653	139	75	1	1	0	2	2	261	3	3	522	-1	-1	-1	-1	-1	-1	139	69	1	1	0	2	2	131	3	3	392	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3846	3846
幽胧之赤蝎秘装	1	57	-1	-1	-1	-1	10	139	353	1	1	0	2	2	94	3	3	236	-1	-1	-1	-1	-1	-1	139	62	1	1	0	2	2	94	3	3	189	-1	-1	-1	-1	-1	-1	113	-1	40	49	0	50	59	47	60	60	142	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1153846	1153846
幽胧之青蜈缠腰	1	58	-1	-1	-1	-1	10	139	63	1	1	0	2	2	70	3	3	175	-1	-1	-1	-1	-1	-1	104	-1	25	26	0	27	28	35	29	29	70	30	30	140	-1	-1	-1	110	-1	30	36	0	37	42	35	43	49	70	50	50	140	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4314.135	4314.135
