物品索引（行数减1）	物品最大叠放值	要求等级相同	要求五行相同	要求幸运相同	要求MagicLevel1相同	要求MagicLevel2相同	要求MagicLevel3相同	要求MagicLevel4相同	要求MagicLevel5相同	要求MagicLevel6相同
1645	50	0	0	0	0	0	0	0	0	0
1646	50	0	0	0	0	0	0	0	0	0
1647	50	0	0	0	0	0	0	0	0	0
1663	50	0	0	0	0	0	0	0	0	0
1664	50	0	0	0	0	0	0	0	0	0
1665	50	0	0	0	0	0	0	0	0	0
1666	50	0	0	0	0	0	0	0	0	0
1667	50	0	0	0	0	0	0	0	0	0
1671	50	0	0	0	0	0	0	0	0	0
1672	50	0	0	0	0	0	0	0	0	0
1673	2	0	0	0	0	0	0	0	0	0
1674	2	0	0	0	0	0	0	0	0	0
1675	2	0	0	0	0	0	0	0	0	0
1677	10	0	0	0	0	0	0	0	0	0
1678	10	0	0	0	0	0	0	0	0	0
1690	50	0	0	0	0	0	0	0	0	0
1691	50	0	0	0	0	0	0	0	0	0
1692	50	0	0	0	0	0	0	0	0	0
1693	50	0	0	0	0	0	0	0	0	0
1745	50	0	0	0	0	0	0	0	0	0
1746	50	0	0	0	0	0	0	0	0	0
1747	50	0	0	0	0	0	0	0	0	0
1748	50	0	0	0	0	0	0	0	0	0
1749	50	0	0	0	0	0	0	0	0	0
1759	50	0	0	0	0	0	0	0	0	0
1760	50	0	0	0	0	0	0	0	0	0
1761	50	0	0	0	0	0	0	0	0	0
1762	50	0	0	0	0	0	0	0	0	0
1763	50	0	0	0	0	0	0	0	0	0
1764	50	0	0	0	0	0	0	0	0	0
1765	50	0	0	0	0	0	0	0	0	0
1766	50	0	0	0	0	0	0	0	0	0
1767	50	0	0	0	0	0	0	0	0	0
1768	50	0	0	0	0	0	0	0	0	0
1769	50	0	0	0	0	0	0	0	0	0
1770	50	0	0	0	0	0	0	0	0	0
1771	50	0	0	0	0	0	0	0	0	0
1772	50	0	0	0	0	0	0	0	0	0
1773	50	0	0	0	0	0	0	0	0	0
1802	50	0	0	0	1	1	1	1	1	1
1805	50	0	0	0	0	0	0	0	0	0
1806	50	0	0	0	0	0	0	0	0	0
1807	50	0	0	0	0	0	0	0	0	0
1808	50	0	0	0	0	0	0	0	0	0
1809	50	0	0	0	0	0	0	0	0	0
1810	50	0	0	0	0	0	0	0	0	0
1811	50	0	0	0	0	0	0	0	0	0
1812	50	0	0	0	0	0	0	0	0	0
1813	50	0	0	0	0	0	0	0	0	0
1814	50	0	0	0	0	0	0	0	0	0
1816	50	0	0	0	0	0	0	0	0	0
1817	50	0	0	0	0	0	0	0	0	0
1828	50	0	0	0	0	0	0	0	0	0
1831	50	0	0	0	0	0	0	0	0	0
1830	10	0	0	0	0	0	0	0	0	0
1845	50	0	0	0	1	1	1	1	0	0
1846	50	0	0	0	0	0	0	0	0	0
1852	50	0	0	0	0	0	0	0	0	0
1853	50	0	0	0	0	0	0	0	0	0
1854	50	0	0	0	0	0	0	0	0	0
1855	50	0	0	0	0	0	0	0	0	0
1856	50	0	0	0	0	0	0	0	0	0
1857	50	0	0	0	0	0	0	0	0	0
1858	50	0	0	0	0	0	0	0	0	0
1859	50	0	0	0	0	0	0	0	0	0
1860	50	0	0	0	1	1	1	1	1	1
1862	50	0	0	0	1	1	1	1	1	1
1863	50	0	0	0	0	0	0	0	0	0
1895	50	0	0	0	0	0	0	0	0	0
1896	50	0	0	0	0	0	0	0	0	0
1897	50	0	0	0	0	0	0	0	0	0
1898	50	0	0	0	0	0	0	0	0	0
1899	50	0	0	0	0	0	0	0	0	0
1900	50	0	0	0	0	0	0	0	0	0
1901	50	0	0	0	0	0	0	0	0	0
1902	50	0	0	0	0	0	0	0	0	0
1903	50	0	0	0	0	0	0	0	0	0
1904	50	0	0	0	0	0	0	0	0	0
1923	50	0	0	0	0	0	0	0	0	0
1924	50	0	0	0	0	0	0	0	0	0
1925	50	0	0	0	0	0	0	0	0	0
1926	50	0	0	0	0	0	0	0	0	0
1927	50	0	0	0	0	0	0	0	0	0
1969	50	0	0	0	1	0	0	0	0	0
1970	50	0	0	0	1	0	0	0	0	0
1971	50	0	0	0	1	0	0	0	0	0
1972	50	0	0	0	1	0	0	0	0	0
1973	50	0	0	0	1	0	0	0	0	0
1974	50	0	0	0	1	0	0	0	0	0
1975	50	0	0	0	1	0	0	0	0	0
1976	50	0	0	0	1	0	0	0	0	0
1977	50	0	0	0	1	0	0	0	0	0
1978	50	0	0	0	1	0	0	0	0	0
1979	50	0	0	0	1	0	0	0	0	0
1980	50	0	0	0	1	0	0	0	0	0
1996	50	0	0	0	1	0	0	0	0	0
1997	50	0	0	0	1	0	0	0	0	0
1998	50	0	0	0	1	0	0	0	0	0
1999	50	0	0	0	1	0	0	0	0	0
2018	50	0	0	0	1	0	0	0	0	0
2020	50	0	0	0	0	0	0	0	0	0
2021	50	0	0	0	1	0	0	0	0	0
2022	50	0	0	0	1	0	0	0	0	0
2023	50	0	0	0	1	0	0	0	0	0
2024	50	0	0	0	1	0	0	0	0	0
2025	50	0	0	0	1	0	0	0	0	0
2072	50	0	0	0	0	0	0	0	0	0
2073	50	0	0	0	0	0	0	0	0	0
2074	50	0	0	0	0	0	0	0	0	0
2075	50	0	0	0	0	0	0	0	0	0
2076	50	0	0	0	0	0	0	0	0	0
2077	50	0	0	0	0	0	0	0	0	0
2078	50	0	0	0	0	0	0	0	0	0
2079	50	0	0	0	0	0	0	0	0	0
2080	50	0	0	0	0	0	0	0	0	0
2086	50	0	0	0	0	0	0	0	0	0
2087	50	0	0	0	0	0	0	0	0	0
2088	50	0	0	0	0	0	0	0	0	0
2089	50	0	0	0	0	0	0	0	0	0
2090	50	0	0	0	0	0	0	0	0	0
2091	50	0	0	0	0	0	0	0	0	0
2092	50	0	0	0	0	0	0	0	0	0
2093	50	0	0	0	0	0	0	0	0	0
2108	50	0	0	0	0	0	0	0	0	0
2109	50	0	0	0	0	0	0	0	0	0
2110	50	0	0	0	0	0	0	0	0	0
2111	50	0	0	0	0	0	0	0	0	0
2135	50	0	0	0	0	0	0	0	0	0
2136	50	0	0	0	0	0	0	0	0	0
2139	50	0	0	0	0	0	0	0	0	0
2140	50	0	0	0	0	0	0	0	0	0
2141	50	0	0	0	0	0	0	0	0	0
2142	50	0	0	0	0	0	0	0	0	0
2143	50	0	0	0	0	0	0	0	0	0
2144	50	0	0	0	0	0	0	0	0	0
2145	50	0	0	0	0	0	0	0	0	0
2146	50	0	0	0	0	0	0	0	0	0
2170	50	0	0	0	0	0	0	0	0	0
2174	50	0	0	0	0	0	0	0	0	0
2183	50	0	0	0	0	0	0	0	0	0
2184	50	0	0	0	0	0	0	0	0	0
2185	50	0	0	0	0	0	0	0	0	0
2186	50	0	0	0	0	0	0	0	0	0
2187	50	0	0	0	0	0	0	0	0	0
2188	50	0	0	0	0	0	0	0	0	0
2189	50	0	0	0	0	0	0	0	0	0
2190	50	0	0	0	0	0	0	0	0	0
2191	50	0	0	0	0	0	0	0	0	0
2192	50	0	0	0	0	0	0	0	0	0
2193	50	0	0	0	0	0	0	0	0	0
2203	50	0	0	0	0	0	0	0	0	0
2204	50	0	0	0	0	0	0	0	0	0
2205	50	0	0	0	0	0	0	0	0	0
2206	50	0	0	0	0	0	0	0	0	0
2207	50	0	0	0	0	0	0	0	0	0
2208	50	0	0	0	0	0	0	0	0	0
2209	50	0	0	0	0	0	0	0	0	0
2210	50	0	0	0	0	0	0	0	0	0
2212	50	0	0	0	0	0	0	0	0	0
2214	50	0	0	0	0	0	0	0	0	0
2215	50	0	0	0	0	0	0	0	0	0
2216	50	0	0	0	0	0	0	0	0	0
2217	50	0	0	0	0	0	0	0	0	0
2232	50	0	0	0	0	0	0	0	0	0
2235	50	0	0	0	0	0	0	0	0	0
2236	50	0	0	0	0	0	0	0	0	0
2237	50	0	0	0	0	0	0	0	0	0
2238	50	0	0	0	0	0	0	0	0	0
2239	50	0	0	0	0	0	0	0	0	0
2240	50	0	0	0	0	0	0	0	0	0
2241	50	0	0	0	0	0	0	0	0	0
2242	50	0	0	0	0	0	0	0	0	0
2243	50	0	0	0	0	0	0	0	0	0
2244	50	0	0	0	0	0	0	0	0	0
2245	50	1	0	0	0	0	0	0	0	0
2246	50	0	0	0	0	0	0	0	0	0
2247	50	0	0	0	0	0	0	0	0	0
2248	50	0	0	0	0	0	0	0	0	0
2249	50	0	0	0	0	0	0	0	0	0
2250	50	0	0	0	0	0	0	0	0	0
2251	50	0	0	0	0	0	0	0	0	0
2252	50	0	0	0	0	0	0	0	0	0
2253	50	0	0	0	0	0	0	0	0	0
2277	50	0	0	0	0	0	0	0	0	0
2278	50	0	0	0	0	0	0	0	0	0
2279	50	0	0	0	0	0	0	0	0	0
2280	50	0	0	0	0	0	0	0	0	0
2281	50	0	0	0	0	0	0	0	0	0
2282	50	0	0	0	0	0	0	0	0	0
2303	50	0	0	0	0	0	0	0	0	0
2304	50	1	0	0	0	0	0	0	0	0
2306	50	0	0	0	0	0	0	0	0	0
2307	50	0	0	0	0	0	0	0	0	0
2308	50	0	0	0	0	0	0	0	0	0
2309	50	0	0	0	0	0	0	0	0	0
2310	50	0	0	0	0	0	0	0	0	0
2311	50	0	0	0	0	0	0	0	0	0
2312	50	0	0	0	0	0	0	0	0	0
2313	50	0	0	0	0	0	0	0	0	0
2314	50	0	0	0	0	0	0	0	0	0
2315	50	0	0	0	0	0	0	0	0	0
2316	50	0	0	0	0	0	0	0	0	0
2317	50	0	0	0	0	0	0	0	0	0
2318	50	0	0	0	0	0	0	0	0	0
2319	50	0	0	0	0	0	0	0	0	0
2321	50	0	0	0	0	0	0	0	0	0
2322	50	0	0	0	0	0	0	0	0	0
2323	50	0	0	0	0	0	0	0	0	0
2329	50	0	0	0	0	0	0	0	0	0
2330	50	0	0	0	0	0	0	0	0	0
2331	50	0	0	0	0	0	0	0	0	0
2332	50	0	0	0	0	0	0	0	0	0
2333	50	0	0	0	0	0	0	0	0	0
2357	50	0	0	0	0	0	0	0	0	0
2358	10	0	0	0	0	0	0	0	0	0
2359	100	0	0	0	0	0	0	0	0	0
2369	50	0	0	0	0	0	0	0	0	0
2370	50	0	0	0	0	0	0	0	0	0
2371	50	0	0	0	0	0	0	0	0	0
2372	50	0	0	0	0	0	0	0	0	0
2373	50	0	0	0	0	0	0	0	0	0
2374	50	0	0	0	0	0	0	0	0	0
2375	50	0	0	0	0	0	0	0	0	0
2376	50	0	0	0	0	0	0	0	0	0
2377	50	0	0	0	0	0	0	0	0	0
2378	50	0	0	0	0	0	0	0	0	0
2379	50	0	0	0	0	0	0	0	0	0
2384	50	0	0	0	0	0	0	0	0	0
2385	50	0	0	0	0	0	0	0	0	0
2386	50	0	0	0	0	0	0	0	0	0
2387	50	0	0	0	0	0	0	0	0	0
2388	50	0	0	0	0	0	0	0	0	0
2389	50	0	0	0	0	0	0	0	0	0
2390	50	0	0	0	0	0	0	0	0	0
2408	50	0	0	0	0	0	0	0	0	0
2414	50	0	0	0	0	0	0	0	0	0
2415	50	0	0	0	0	0	0	0	0	0
2416	50	0	0	0	0	0	0	0	0	0
2417	50	0	0	0	0	0	0	0	0	0
2418	50	0	0	0	0	0	0	0	0	0
2419	50	0	0	0	0	0	0	0	0	0
2420	50	0	0	0	0	0	0	0	0	0
2421	50	0	0	0	0	0	0	0	0	0
2422	50	0	0	0	0	0	0	0	0	0
2423	50	0	0	0	0	0	0	0	0	0
2424	50	0	0	0	0	0	0	0	0	0
2425	50	0	0	0	0	0	0	0	0	0
2426	50	0	0	0	0	0	0	0	0	0
2427	50	0	0	0	0	0	0	0	0	0
2428	50	0	0	0	0	0	0	0	0	0
2429	50	0	0	0	0	0	0	0	0	0
2430	50	0	0	0	0	0	0	0	0	0
2431	50	0	0	0	0	0	0	0	0	0
2432	50	0	0	0	0	0	0	0	0	0
2433	50	0	0	0	0	0	0	0	0	0
2434	50	0	0	0	0	0	0	0	0	0
2507	50	0	0	0	0	0	0	0	0	0
2508	50	0	0	0	0	0	0	0	0	0
2509	50	0	0	0	0	0	0	0	0	0
2510	50	0	0	0	0	0	0	0	0	0
2511	50	0	0	0	0	0	0	0	0	0
2512	50	0	0	0	0	0	0	0	0	0
2513	50	0	0	0	0	0	0	0	0	0
2514	50	0	0	0	0	0	0	0	0	0
2515	50	0	0	0	0	0	0	0	0	0
2516	50	0	0	0	0	0	0	0	0	0
2517	50	0	0	0	0	0	0	0	0	0
2518	50	0	0	0	0	0	0	0	0	0
2519	50	0	0	0	0	0	0	0	0	0
2520	50	0	0	0	0	0	0	0	0	0
2521	50	0	0	0	0	0	0	0	0	0
2522	50	0	0	0	0	0	0	0	0	0
2523	50	0	0	0	0	0	0	0	0	0
2524	50	0	0	0	0	0	0	0	0	0
2543	100	0	0	0	0	0	0	0	0	0
2577	50	0	0	0	0	0	0	0	0	0
2583	50	0	0	0	0	0	0	0	0	0
2584	50	0	0	0	0	0	0	0	0	0
2585	50	0	0	0	0	0	0	0	0	0
2586	50	0	0	0	0	0	0	0	0	0
2587	50	0	0	0	0	0	0	0	0	0
2588	50	0	0	0	0	0	0	0	0	0
2589	50	0	0	0	0	0	0	0	0	0
2590	50	0	0	0	0	0	0	0	0	0
2591	50	0	0	0	0	0	0	0	0	0
2601	50	0	0	0	0	0	0	0	0	0
2602	50	0	0	0	0	0	0	0	0	0
2603	50	0	0	0	0	0	0	0	0	0
2604	50	0	0	0	0	0	0	0	0	0
2605	50	0	0	0	0	0	0	0	0	0
2609	50	0	0	0	0	0	0	0	0	0
2617	50	0	0	0	0	0	0	0	0	0
2618	50	0	0	0	0	0	0	0	0	0
2619	50	0	0	0	0	0	0	0	0	0
2635	10	0	0	0	0	0	0	0	0	0
2636	10	0	0	0	0	0	0	0	0	0
2637	10	0	0	0	0	0	0	0	0	0
2638	10	0	0	0	0	0	0	0	0	0
2639	10	0	0	0	0	0	0	0	0	0
2640	10	0	0	0	0	0	0	0	0	0
2641	10	0	0	0	0	0	0	0	0	0
2642	10	0	0	0	0	0	0	0	0	0
2644	50	0	0	0	0	0	0	0	0	0
2645	10	0	0	0	0	0	0	0	0	0
2649	100	0	0	0	0	0	0	0	0	0
2650	10	0	0	0	0	0	0	0	0	0
2660	10	0	0	0	0	0	0	0	0	0
2661	10	0	0	0	0	0	0	0	0	0
2662	10	0	0	0	0	0	0	0	0	0
2663	10	0	0	0	0	0	0	0	0	0
2664	10	0	0	0	0	0	0	0	0	0
2667	10	0	0	0	0	0	0	0	0	0
2668	10	0	0	0	0	0	0	0	0	0
2710	50	0	0	0	0	0	0	0	0	0
2711	50	0	0	0	0	0	0	0	0	0
2712	50	0	0	0	0	0	0	0	0	0
2713	50	0	0	0	0	0	0	0	0	0
2714	50	0	0	0	0	0	0	0	0	0
2721	50	0	0	0	0	0	0	0	0	0
2722	50	0	0	0	0	0	0	0	0	0
2723	50	0	0	0	0	0	0	0	0	0
2724	50	0	0	0	0	0	0	0	0	0
3360	50	0	0	0	0	0	0	0	0	0
3361	50	0	0	0	0	0	0	0	0	0
3362	50	0	0	0	0	0	0	0	0	0
3363	50	0	0	0	0	0	0	0	0	0
3365	50	0	0	0	0	0	0	0	0	0
2860	50	0	0	0	0	0	0	0	0	0
2861	50	0	0	0	0	0	0	0	0	0
2862	50	0	0	0	0	0	0	0	0	0
2863	50	0	0	0	0	0	0	0	0	0
2864	50	0	0	0	0	0	0	0	0	0
2866	50	0	0	0	0	0	0	0	0	0
2867	50	0	0	0	0	0	0	0	0	0
3385	50	0	0	0	0	0	0	0	0	0
