Ãû³Æ	ItemGenre	DetailType	ParticularType	¶¯»­ÎÄ¼şÃû	¶ÔÓ¦Îï¼şË÷Òı	¿í¶È	¸ß¶È	ËµÃ÷ÎÄ×Ö	ÎåĞĞÊôĞÔ	¼Û¸ñ	µÈ¼¶	ÊÇ·ñµş·Å	»ù´¡ÊôĞÔ1ÀàĞÍ	»ù´¡ÊôĞÔ1×îĞ¡Öµ	»ù´¡ÊôĞÔ1×î´óÖµ	»ù´¡ÊôĞÔ2ÀàĞÍ	»ù´¡ÊôĞÔ2×îĞ¡Öµ	»ù´¡ÊôĞÔ2×î´óÖµ	»ù´¡ÊôĞÔ3ÀàĞÍ	»ù´¡ÊôĞÔ3×îĞ¡Öµ	»ù´¡ÊôĞÔ3×î´óÖµ	»ù´¡ÊôĞÔ4ÀàĞÍ	»ù´¡ÊôĞÔ4×îĞ¡Öµ	»ù´¡ÊôĞÔ4×î´óÖµ	»ù´¡ÊôĞÔ5ÀàĞÍ	»ù´¡ÊôĞÔ5×îĞ¡Öµ	»ù´¡ÊôĞÔ5×î´óÖµ	»ù´¡ÊôĞÔ6ÀàĞÍ	»ù´¡ÊôĞÔ6×îĞ¡Öµ	»ù´¡ÊôĞÔ6×î´óÖµ	»ù´¡ÊôĞÔ7ÀàĞÍ	»ù´¡ÊôĞÔ7×îĞ¡Öµ	»ù´¡ÊôĞÔ7×î´óÖµ	ĞèÇóÊôĞÔ1ÀàĞÍ	ĞèÇóÊôĞÔ1ÊıÖµ	ĞèÇóÊôĞÔ2ÀàĞÍ	ĞèÇóÊôĞÔ2ÊıÖµ	ĞèÇóÊôĞÔ3ÀàĞÍ	ĞèÇóÊôĞÔ3ÊıÖµ	ĞèÇóÊôĞÔ4ÀàĞÍ	ĞèÇóÊôĞÔ4ÊıÖµ	ĞèÇóÊôĞÔ5ÀàĞÍ	ĞèÇóÊôĞÔ5ÊıÖµ	ĞèÇóÊôĞÔ6ÀàĞÍ	ĞèÇóÊôĞÔ6ÊıÖµ
MÆt n¹ - Tr­¬ng T«ng Chİnh	0	11	10	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1	0		511	511													31	10	10															
MÆt n¹ - DiÖu Nh­ 	0	11	11	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1	0		513	513													31	10	10															
MÆt n¹ - LiÔu Thanh Thanh	0	11	12	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1	0		523	523													31	10	10															
MÆt n¹ - PhiÕn Kh¸ch	0	11	13	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1	0		602	602													31	10	10															
MÆt n¹ - Lam Y Y	0	11	14	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1	0		582	582													31	10	10															
MÆt n¹ - Cæ B¸ch	0	11	15	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1	0		566	566													31	10	10															
MÆt n¹ - §¹o Thanh Ch©n Nh©n	0	11	16	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1	0		562	562													31	10	10															
MÆt n¹ - Gia LuËt TŞ Ly	0	11	17	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1	0		563	563													31	10	10															
MÆt n¹ - Hoµn Nhan TuyÕt Y	0	11	18	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1	0		564	564													31	10	10															
MÆt n¹ - §oan Méc DuÖ 	0	11	19	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1	0		565	565													31	10	10															
MÆt n¹ - Chung Linh Tó 	0	11	20	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1	0		567	567													31	10	10															
MÆt n¹ - Hµ Linh Phiªu	0	11	21	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1	0		568	568													31	10	10															
MÆt n¹ - M¹nh Th­¬ng L­¬ng	0	11	22	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1	0		583	583													31	10	10															
MÆt n¹ - §«ng B¾c Hæ 	0	11	23	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1	0		0	0													31	1	1															
MÆt n¹ - Hoa Nam Hæ 	0	11	24	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1	0		1	1													31	1	1															
MÆt n¹ - B¹ch Hæ 	0	11	25	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1	0		2	2													31	1	1															
MÆt n¹ - Kim TiÒn B¸o	0	11	26	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1	0		3	3													31	1	1															
MÆt n¹ - TuyÕt B¸o	0	11	27	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1	0		4	4													31	1	1															
MÆt n¹ - Sãi x¸m 	0	11	28	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1	0		5	5													31	1	1															
MÆt n¹ - Sãi ®á 	0	11	29	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1	0		6	6													31	1	1															
MÆt n¹ - Thanh lang	0	11	30	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1	0		7	7													31	1	1															
MÆt n¹ - Sãi tuyÕt 	0	11	31	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1	0		8	8													31	1	1															
MÆt n¹ - Hå Ly 	0	11	32	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1	0		9	9													31	1	1															
MÆt n¹ - Hång Hå 	0	11	33	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1	0		10	10													31	1	1															
MÆt n¹ - Heo rõng 	0	11	34	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1	0		11	11													31	1	1															
MÆt n¹ - Nhİm	0	11	35	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1	0		12	12													31	1	1															
MÆt n¹ - Voi Ch©u ¸ 	0	11	36	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1	0		13	13													31	1	1															
MÆt n¹ - Voi Hoµng Hµ 	0	11	37	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1	0		14	14													31	1	1															
MÆt n¹ - GÊu n©u	0	11	38	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1	0		15	15													31	1	1															
MÆt n¹ - GÊu ®en	0	11	39	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1	0		16	16													31	1	1															
MÆt n¹ -Tr©u rõng	0	11	40	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1	0		17	17													31	1	1															
MÆt n¹ - D­¬ng Tö Ng¹c 	0	11	41	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1	0		18	18													31	1	1															
MÆt n¹ - Th»n l»n ®á 	0	11	42	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1	0		19	19													31	1	1															
MÆt n¹ - Nh·n Kİnh M·ng xµ 	0	11	43	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1	0		20	20													31	1	1															
MÆt n¹ - R¾n xanh 	0	11	44	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1	0		21	21													31	1	1															
MÆt n¹ - Kim Hoµn M·ng Xµ 	0	11	45	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1	0		22	22													31	1	1															
MÆt n¹ - Xİch LuyÖn M·ng Xµ 	0	11	46	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1	0		23	23													31	1	1															
MÆt n¹ - Kim §iªu	0	11	47	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1	0		26	26													31	1	1															
MÆt n¹ - Th­¬ng ¦ng 	0	11	48	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1	0		25	25													31	1	1															
MÆt n¹ - KÒn kÒn	0	11	49	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1	0		24	24													31	1	1															
MÆt n¹ - D¬i chóa	0	11	50	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1	0		27	27													31	1	1															
MÆt n¹ - D¬i chóa ®á	0	11	51	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1	0		28	28													31	1	1															
MÆt n¹ - D¬i Dong	0	11	52	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1	0		29	29													31	1	1															
MÆt n¹ - D¬i hót m¸u	0	11	53	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1	0		30	30													31	1	1															
MÆt n¹ - Kim Miªu	0	11	54	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1	0		31	31													31	1	1															
MÆt n¹ - X¸ LŞ 	0	11	55	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1	0		32	32													31	1	1															
MÆt n¹ - Ho¸n Hïng 	0	11	56	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1	0		33	33													31	1	1															
MÆt n¹ - Linh Miªu 	0	11	57	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1	0		34	34													31	1	1															
MÆt n¹ - Tµng Vùc HÇu 	0	11	58	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1	0		35	35													31	1	1															
MÆt n¹ - KhØ x¸m 	0	11	59	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1	0		36	36													31	1	1															
MÆt n¹ - H¾c DiÖp HÇu 	0	11	60	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1	0		37	37													31	1	1															
MÆt n¹ - Kim T¬ HÇu	0	11	61	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1	0		38	38													31	1	1															
MÆt n¹ - Sµi 	0	11	62	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1	0		39	39													31	1	1															
MÆt n¹ - TuyÕt Qu¸i 	0	11	63	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1	0		40	40													31	1	1															
MÆt n¹ - Cãc	0	11	64	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1	0		41	41													31	1	1															
MÆt n¹ - H­¬u ®èm	0	11	65	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1	0		42	42													31	1	1															
MÆt n¹ - Heo tr¾ng	0	11	66	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1	0		43	43													31	1	1															
MÆt n¹ - Bß c¹p 	0	11	67	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1	0		44	44													31	1	1															
MÆt n¹ - NhÖn	0	11	68	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1	0		45	45													31	1	1															
MÆt n¹ - RÕt	0	11	69	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1	0		46	46													31	1	1															
MÆt n¹ - ¤ng Giµ N«el (®á) 	0	11	70	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1	0		623	623													31	1	1															
MÆt n¹ - Thiªn Sø Gi¸ng Sinh (®á) 	0	11	71	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1	0		624	624													31	1	1															
MÆt n¹ - §Çu «ng ®Şa	0	11	72	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1	0		726	726													31	1	1															
MÆt n¹ - Nam S­ 	0	11	73	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1	0		727	727													31	1	1															
MÆt n¹ - B¾c S­ 	0	11	74	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1	0		728	728													31	1	1															
MÆt n¹ - Long Ch©u	0	11	75	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1	0		729	729													31	1	1															
MÆt n¹ - §Çu Rång	0	11	76	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1	0		730	730													31	1	1															
MÆt n¹ - Th©n Rång	0	11	77	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1	0		731	731													31	1	1															
MÆt n¹ - §u«i Rång	0	11	78	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1	0		732	732													31	1	1															
MÆt n¹ - Bé Hi TrÇn	0	11	79	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1	0		851	851													31	1	1															
MÆt n¹ - KiÒu §Ønh Thiªn 	0	11	80	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1	0		852	852													31	1	1															
MÆt n¹ - §iªu DŞch §ao	0	11	81	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1	0		853	853													31	1	1															
MÆt n¹ - T©y M«n Giíi	0	11	82	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1	0		854	854													31	1	1															
MÆt n¹ - HÇu KhÊt KiÕm	0	11	83	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1	0		855	855													31	1	1															
MÆt n¹ - øng KhiÕu Phong	0	11	84	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1	0		856	856													31	1	1															
MÆt n¹ - Viªn NiÖm TŞch	0	11	85	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1	0		857	857													31	1	1															
MÆt n¹ - Ch÷ Thiªn MÉn 	0	11	86	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1	0		858	858													31	1	1															
MÆt n¹ - V­¬ng T¸ 	0	11	87	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1	0		739	739													31	10	10															
MÆt n¹ - HuyÒn Gi¸c §¹i S­ 	0	11	88	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	2	1		740	740													31	10	10															
MÆt n¹ - §­êng BÊt NhiÔm	0	11	89	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	3	2		741	741													31	10	10															
MÆt n¹ - B¹ch Doanh Doanh	0	11	90	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	4	3		742	742													31	10	10															
MÆt n¹ - Thanh TuyÖt S­ Th¸i	0	11	91	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	5	4		743	743													31	10	10															
MÆt n¹ - Yªn HiÓu Tr¸i	0	11	92	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	6	5		744	744													31	10	10															
MÆt n¹ - Hµ Nh©n Ng· 	0	11	93	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	7	6		745	745													31	10	10															
MÆt n¹ - §¬n T­ Nam	0	11	94	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	8	7		746	746													31	10	10															
MÆt n¹ - TuyÒn C¬ Tö 	0	11	95	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	9	8		747	747													31	10	10															
MÆt n¹ - Hµn M«ng	0	11	96	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	10	9		748	748													31	10	10															
MÆt n¹ (1 lÇn) - ThiÕu Niªn L«i KiÕm	0	11	97	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1	0		1056	1056													31	1	1															
MÆt n¹ (1 lÇn) - ThiÕu Niªn TiÕu S­¬ng	0	11	98	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1	0		1057	1057													31	1	1															
MÆt n¹ (1 lÇn) - ThiÕu Niªn Háa NhËn	0	11	99	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1	0		1058	1058													31	1	1															
MÆt n¹ (1 lÇn) - ThiÕu Niªn H¶i §­êng	0	11	100	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1	0		1059	1059													31	1	1															
MÆt n¹ (1 lÇn) - ThiÕu Niªn Kim Phong	0	11	101	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1	0		1060	1060													31	1	1															
MÆt n¹ - ThiÕu Niªn L«i KiÕm	0	11	102	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1	0		1056	1056													31	10	10															
MÆt n¹ - ThiÕu Niªn TiÕu S­¬ng	0	11	103	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1	0		1057	1057													31	10	10															
MÆt n¹ - ThiÕu Niªn Háa NhËn	0	11	104	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1	0		1058	1058													31	10	10															
MÆt n¹ - ThiÕu Niªn H¶i §­êng	0	11	105	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1	0		1059	1059													31	10	10															
MÆt n¹ - ThiÕu Niªn Kim Phong	0	11	106	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1	0		1060	1060													31	10	10															
MÆt n¹ (1 lÇn) - Thanh Niªn L«i KiÕm	0	11	107	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1	0		1043	1043													31	1	1															
MÆt n¹ (1 lÇn) - Thanh Niªn TiÕu S­¬ng	0	11	108	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1	0		1044	1044													31	1	1															
MÆt n¹ (1 lÇn) - Thanh Niªn Háa NhËn	0	11	109	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1	0		1045	1045													31	1	1															
MÆt n¹ (1 lÇn) - Thanh Niªn H¶i §­êng	0	11	110	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1	0		1046	1046													31	1	1															
MÆt n¹ (1 lÇn) - Thanh Niªn Kim Phong	0	11	111	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1	0		1047	1047													31	1	1															
MÆt n¹ - Thanh Niªn L«i KiÕm	0	11	112	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1	0		1043	1043													31	10	10															
MÆt n¹ - Thanh Niªn TiÕu S­¬ng	0	11	113	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1	0		1044	1044													31	10	10															
MÆt n¹ - Thanh Niªn Háa NhËn	0	11	114	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1	0		1045	1045													31	10	10															
MÆt n¹ - Thanh Niªn H¶i §­êng	0	11	115	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1	0		1046	1046													31	10	10															
MÆt n¹ - Thanh Niªn Kim Phong	0	11	116	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1	0		1047	1047													31	10	10															
MÆt n¹ - Thµnh Niªn L«i KiÕm	0	11	117	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1	0		1061	1061													31	10	10															
MÆt n¹ - Thµnh Niªn TiÕu S­¬ng	0	11	118	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1	0		1062	1062													31	10	10															
MÆt n¹ - Thµnh Niªn Háa NhËn	0	11	119	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1	0		1063	1063													31	10	10															
MÆt n¹ - Thµnh Niªn H¶i §­êng	0	11	120	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1	0		1064	1064													31	10	10															
MÆt n¹ - Thµnh Niªn Kim Phong	0	11	121	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1	0		1065	1065													31	10	10															
MÆt n¹ - Tinh Linh (Lôc) 	0	11	122	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1	0		1121	1121													31	1	1															
MÆt n¹ - T©n Niªn HiÖp Kh¸ch	0	11	123	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1	0		1122	1122													31	1	1															
