Name	Quality	Genre	Detail	Particular	Level	GoodsFive	LimitTime	ItemRate	IsPublic
MÆt n¹ - T©n Niªn HiÖp Kh¸ch	0	0	11	244	1	0		24000	0
MÆt n¹ - T©n Niªn HiÖp N÷ 	0	0	11	245	1	0		24000	0
MÆt n¹ - TuÇn Léc	0	0	11	247	1	0		24000	0
MÆt n¹ - Tr­¬ng T«ng ChÝnh	0	0	11	139	1	0		24000	0
MÆt n¹ - DiÖu Nh­ 	0	0	11	140	1	0		24000	0
MÆt n¹ - LiÔu Thanh Thanh	0	0	11	141	1	0		24000	0
MÆt n¹ - PhiÕn Kh¸ch	0	0	11	142	1	0		24000	0
MÆt n¹ - Lam Y Y	0	0	11	143	1	0		24000	0
MÆt n¹ - Cæ B¸ch	0	0	11	144	1	0		24000	0
MÆt n¹ - §¹o Thanh Ch©n Nh©n	0	0	11	145	1	0		24000	0
MÆt n¹ - Gia LuËt TÞ Ly	0	0	11	146	1	0		24000	0
MÆt n¹ - Hoµn Nhan TuyÕt Y	0	0	11	147	1	0		24000	0
MÆt n¹ - §oan Méc DuÖ 	0	0	11	148	1	0		24000	0
MÆt n¹ - Chung Linh Tó 	0	0	11	149	1	0		24000	0
MÆt n¹ - Hµ Linh Phiªu	0	0	11	150	1	0		24000	0
MÆt n¹ - M¹nh Th­¬ng L­¬ng	0	0	11	151	1	0		24000	0
MÆt n¹ - V­¬ng T¸ 	0	0	11	208	1	0		24000	0
MÆt n¹ - HuyÒn Gi¸c §¹i S­ 	0	0	11	209	1	0		24000	0
MÆt n¹ - §­êng BÊt NhiÔm	0	0	11	210	1	0		20000	0
MÆt n¹ - B¹ch Doanh Doanh	0	0	11	211	1	0		20000	0
MÆt n¹ - Thanh TuyÖt S­ Th¸i	0	0	11	212	1	0		20000	0
MÆt n¹ - Yªn HiÓu Tr¸i	0	0	11	213	1	0		20000	0
MÆt n¹ - Hµ Nh©n Ng· 	0	0	11	214	1	0		20000	0
MÆt n¹ - §¬n T­ Nam	0	0	11	215	1	0		20000	0
MÆt n¹ - TuyÒn C¬ Tö 	0	0	11	216	1	0		20000	0
MÆt n¹ - Hµn M«ng	0	0	11	217	1	0		20000	0
