SuitClothID	SexType	SuitName	SuitRecordId	ClothesName	WeekSellPrice	MonthSellPrice	ForeverSellPrice	ClothesIconPath	TaskBit	TaskID	TakeOutCost
32	1	Ma Bè Trang	52	Ma Bè M·o	200	600	999999999		31	4202	1000000
32	1		71	Ma Y	300	900	999999999		32	4202	1000000
33	0	Hoµng CÈm Sam	17	Hoµng CÈm Ph¸t Qu¸n	500	1500	999999999		1	4203	1000000
33	0		35	Hoµng CÈm ®o¶n y	1000	3000	999999999		2	4203	1000000
34	1	Thiªn Bæ Trang	53	XÝch HuyÕt Thoa	500	1500	999999999		3	4203	1000000
34	1		72	Thiªn bæ y	1000	3000	999999999		4	4203	1000000
35	0	BÝch Hoa Trang	18	BÝch Hoa M·o	500	1500	999999999		5	4203	1000000
35	0		36	BÝch Hoa Bµo	1000	3000	999999999		6	4203	1000000
36	1	Ph©n §iÖp Trang	54	L­u Ly Thoa	500	1500	999999999		7	4203	1000000
36	1		73	Ph©n §iÖp Sam	1000	3000	999999999		8	4203	1000000
37	1	NguyÖt Hoa Trang	55	Thanh L­u Ly Thoa	500	1500	999999999		9	4203	1000000
37	1		74	NguyÖt Hoa quÇn	1000	3000	999999999		10	4203	1000000
38	1	B¸ch Phông TriÒu D­¬ng Trang	75	B¸ch Phong TriÒu D­¬ng quÇn	2000	6000	999999999		11	4203	1000000
39	1	KhÊp §Þa quÇn	76	KhÊp §Þa quÇn	2000	6000	999999999		12	4203	1000000
40	1	B¨ng Tinh QuÇn	77	B¨ng Tinh QuÇn	2000	6000	999999999		13	4203	1000000
