TASK_ID_FIRST	TASK_ID_LAST	TASK_NAME	SYNC_FLAG	CLIENT_FLAG	TASK_DESCRIBE
1261		记录杀掉剧情boss的开关			
1262		记录玩家在控蛇人的同伴任务中的信使完成情况			
1269		设置同伴修炼任务等级是否已提升的开关			
1270		设置信使积分开关打开的开关			
1271		同伴教育任务领取同伴开关			
1272		记录玩家领取同伴的日期			
1273		 信使任务每日获得的总经验			
1274		信使任务每日获得的总积分			
1275		肖扬任务设计后续开发			
1276	1277	帮会导引	1	1	
1278	1300	肖扬任务设计后续开发			
1301		存储当前玩家接到的随机任务			
1302		存储当前待接的随机任务			
1303		存储随机任务的进展情况			
1304		存储玩家当前的卷轴任务（第二层）			
1305		存储玩家使用任务卷轴的天数			
1306		存储玩家使用任务卷轴的次数			
1307		存储玩家使用任务卷轴的临时 INDEX			
1308		存储玩家接随机任务时的日期			
1309		存储玩家接受随机任务的次数			
1310		越南春节香蕉春饼食用后经验			
1311		越南春节什锦春饼食用后经验			
1312		越南春节水晶春饼食用后经验			
1313		越南情人节活动			

1398					
1399		游戏推广员系统成员			
1400	1499	黄金师徒卡			
		师徒系统使用			
1501					
1502		吃粽子累积经验点数			
1505		吃粽子时间			
1506		记录玩家下次等入时，是否自动取消禁止使用回城符的功能			
		是否领取过50W经验			
1507		初级赛龙舟排行榜领奖			
1508		高级赛龙舟排行榜领奖			
1509		20-1改名活动初级赛龙舟排行榜领奖			
1550		杀手的试炼之时间的挑战			
1551		杀手的试炼之时间的挑战			
1552		2006情人节活动			
1553		2006情人节活动			
1560		台湾收集达人活动			
1561		台湾收集达人活动			
1562		大陆七夕活动			
1563		大陆七夕活动			
1564		大陆七夕活动			
1565		大陆七夕活动			
1566	1569	2005中秋活动			
1570		第二届武林大会			
1571		传功系统			
1572		传功系统			
1573		传功系统			
1575		18区2 2006 年3 月22 日停机维护补偿变量			
1576		玩家补偿活动类固定变量			
1577		帮会特技——参罐开启关闭			
1578		帮会特技——参罐使用剩余时间			
1579		城市特技——维护期内是否领取			
1580		帮会特技领取时间			
1581		城市特技领取时间			
1582		2006年七夕活动			
1583		2007年七夕活动			
1584		2008年七夕活动			
1585		2009年七夕活动			
1586		2010年七夕活动			

1600		武林大会入场券活动			
1601		武林大会入场券活动			
1602		武林大会入场券活动			
1603		武林大会活动			
1604		中秋花灯			
1605		中秋花灯			
1606		（清明活动）记录玩家祭奠墓碑等级区间一			
1607		（清明活动）记录玩家祭奠墓碑等级区间二			
1608		（清明活动）记录玩家祭奠墓碑等级区间三			
1609		（清明活动）记录清明节玩家应该拜的墓碑			
1610		（清明活动）记录清明节玩家拜墓碑的日期			
1611	1660	玩家计时器			
1661	1711	计分系统			
1712		玩家累计在线时间			
1713		玩家累计下线时间			
1714		玩家上一次退出游戏时间			
1715	1735	武林联赛			
1736		（清明活动）记录当天是否已经领取了任务卷轴			
1737		武林第一帮领取光环变量			
1738		记录玩家挖宝的次数			
1739		紫金镐的剩余使用时间			
1740		木人的是用者标记			
1741		大还丹每次给与经验值			
1742		大还丹剩余使用时间			
1743		越南剑网一周年活动蛋糕经验上限			
1744	1756	帮会特产—特殊任务令牌			
1757		是否需要帮会特产光环			
1758		是否正在使用无双杀阵			
1759		无双杀阵使用的面具			
1760	1775	06年越南孟兰节活动			
2000	2300	任务引擎占用 300 个任务变量			
2301		越南买猩红活动 - peres			
2302		马来西亚清明节活动占用 - peres			
2305		宋金积分算法修改。。存玩家实际连斩值			
2306	2307	召回老玩家			
2308	2309	活动上线提示记录次数			
2310	2311	辉煌之种活动用			
2312	2313	灯迷活动用			
2314		记录玩家一共吃了多少黄金辉煌之种			
2315		记录离线挂技能剩余时间			
2316		记录离线挂技能ID			
2320		数据并服-是否需要改名等			
2321		黄金种子时间			
2322		黄金种子个数			
2323		存储明月镇的mapid			
2324		存储离开游戏的x坐标点			
2325		存储离开游戏的y坐标点			
2326		记录是哪一天			
2327		记录一天内玩的次数			
2328		记录一场点了多少个			
2329		记录一场的排名			
2330		记录玩家的Group号			
2331		经验令牌倍数			
2332		经验令牌时间			
2333		记录 2005年12月份停机经验补偿是否领取			
2334		记录 2006 元旦活动领取双倍的日期			
2335		记录 2006 元旦活动领取双倍的次数			
2336		记录 2006 元旦活动领取卷轴的日期			
2337		记录 2006 元旦活动领取卷轴的次数			
2338		领取经验 - 记录玩家在线时间间隔			
2339		领取经验 - 记录玩家上次领取的日期			
2340		领取经验 - 记录玩家领取的次数			
2341		玩家离帮时周累积贡献度			
2342		记录 2006 农历新年活动领取双倍的日期			
2343		记录 2006 农历新年领取卷轴的日期			
2344		农历新年领取经验 - 玩家在线时间间隔			
2345		农历新年领取经验 - 玩家上次领取的日期			
2346		新年活动次数记录总变量，以 byte 存			
2347		帮会试炼坊领取双倍次数			
2348		同伴背包	1		
2349	2360	帮会作坊专用			
2349	2350	帮会特产—光环			
2361		存储玩家贡献的价值量			
2362		玩家当前加入的帮会ID（离帮仍保留）			
2363		帮会保留			
2364		帮会保留			
2365		帮会保留			
2366		帮会保留			
2367		帮会保留			
2368		帮会保留			
2369		武林第一帮			
2370		武林第一帮			
2371		武林第一帮			
2372		武林第一帮			
2373		武林第一帮			
2374		武林第一帮			
2375		武林第一帮			
2376		武林第一帮			
2377		武林第一帮			
2378		武林第一帮			
2379		武林第一帮			
2380		武林第一帮			
2381		武林第一帮			
2382		武林第一帮			
2383		武林第一帮			
2384		武林第一帮			
2385		武林第一帮			
2386		武林第一帮			
2387		武林第一帮			
2388		武林第一帮			
2389		玩家离帮时带出贡献度	1		
2390		祭坛每日领奖记录			
2391		帮会随机任务令牌物品临时编号			
2392	2403	帮会招募弟子活动			
2404	2413	帮会打年兽活动			
2414		五一活动			
2415		五一活动			
2416		五一活动			
2417		越南师徒系统记录限制日期			
2418		越南师徒系统记录限制数量			
2419		越南野叟任务限制日期			
2420		越南野叟任务限制次数			
2421		装备升级任务 - 记录宋金换物品日期			
2422		装备升级任务 - 记录宋金换物品数量			
2423	2433	端午节活动			
2434		第二届武林大会			
2435		帮会宋金贡献度			
2436		世界杯活动 - 记录玩家今天领了多少球卡			
2437		世界杯活动 - 记录玩家领卡的日期			
2438		世界杯活动 - 记录玩家是否领过了套卡奖励			
2439		世界杯活动 - 野叟任务价值量记录			
2440		世界杯活动 - 闯关次数记录			
2441		世界杯活动 - 野叟任务日期记录			
2442		世界杯活动 - 闯关日期记录			
2443		帮会特技 — 领取特技时间的周期截止时间			
2444		帮会特技 — 是否领取特技			
2445		台湾版 - 玩家每人免费领取一个扩展箱			
2446		帮会特技—陶朱钱袋效力截止时间			
2447		台湾版 - 领取每日奖励的日期			
2448		台湾版 - 领取每日奖励的次数			
2449		世界杯活动			
2450	2462	120级技能任务用			
2463		120级技能升级用			
2464		121级技能升级用			
2465		122级技能升级用			
2501		荣誉点数	1		
2881		是否允许他人查看自己的详细信息	1	1	
2884		玩家上周兵甲值	1		记录玩家上周的兵甲值
2885		150级技能任务	1		150级技能任务当前步骤ID
2862		每天击杀十大黄金BOSS、苍邂逅、龙老虎、霍克、独孤天峰、完颜广阳的总次数(满足加活跃度条件)	1		
2863		每天风陵渡参加次数	1		
2864		每天闯过高级时间的挑战17关的次数	1		
2865		每天参加高级宋金积分过1000的次数	1		
2866		每天闯过炎帝宝藏第10关的次数	1		
2867		每天参加七城大战获得积分>=10的次数	1		
2868		每天武林联赛胜利的次数	1		
2869		每天采集辉煌之果个数	1		
2870		每天完成信使任务次数	1		
2871		每天完成普通90级和高级杀手任务的次数	1		
2872		每天参加烽火连城次数	1		
2873		每天参加天子国战整场的次数	1		
2874		每天答对名人堂题目次数	1		
2822		每天上线领取行侠令次数	1		
2326	2327	每天成功参加傀儡木人训练的次数	1		
2879		每天完成日常任务的次数	1		
2877		每天用三四五彩三种结晶兑换奖励的次数	1		
2876		玩家每天进入天池秘境第三层次数	1		
2875		玩家每天用采集来的药材进行合成的次数	1		
2880		玩家每天获得的总活跃度	1		
2882		玩家每天领活跃度的奖励	1	1	
2883		玩家每天完成全部20次龙脉任务	1		
2886	2897	同行好友数据	1		
3001	3008	同行好友数据	1		
3151		玩家每天完成试炼堂次数	1		
3152		玩家每天完成行侠旗次数	1		
3153		玩家每天完成富贵锦盒次数	1		
3154		玩家每天完成名门次数	1		
3155		玩家每天完成西山屿次数	1		
3156		玩家每天完成乱战九州谷次数	1		
3157		玩家每天完成百人擂台次数	1		
3167		玩家每天完成辉之章-华山灯谜次数	1		
3168		玩家每天完成野叟任务次数	1		
3160		玩家每天完成皇城司训练营次数	1		
3172	3178	单人竞技场任务	1		
3182	3185	千重楼	1		
4000	4008	经脉系统	1		
4010	4014	同行好友数据	1		
4030	4031	参加功能领奖	1		
4032	4034	累计时间领奖	1		
3450		宋金功勋	1		
3457	3472	符离冲突战	1		
