?§¹û	ÊÇ·ñÇ°×º	Îå???ªÇó	µÈ¼¶?ªÇó	Êô?Ôµ÷?ûÀà±?	²ÎÊ?1×î?¡Öµ	²ÎÊ?1×î´óÖµ	²ÎÊ?2×î?¡Öµ	²ÎÊ?2×î´óÖµ	²ÎÊ?3×î?¡Öµ	²ÎÊ?3×î´óÖµ	?§¹ûËµ?÷
Íâ¶¾µ?Ê?3				125			-1	-1	0	0	0
»?·À1				102	-5	5	-1	-1	0	0	0
»?·À2				102	20	25	-1	-1	0	0	0
»?·À3				102	20	30	-1	-1	0	0	0
»?·À4				102	35	50	-1	-1	0	0	0
±ù·À1				105	-5	5	-1	-1	0	0	0
±ù·À2				105	15	25	-1	-1	0	0	0
±ù·À3				105	20	30	-1	-1	0	0	0
±ù·À4				105	35	50	-1	-1	0	0	0
À×·À1				103	-5	5	-1	-1	0	0	0
À×·À2				103	15	25	-1	-1	0	0	0
À×·À3				103	25	30	-1	-1	0	0	0
À×·À4				103	35	50	-1	-1	0	0	0
¶¾·À1				101	-5	5	-1	-1	0	0	0
¶¾·À2				101	15	25	-1	-1	0	0	0
¶¾·À3				101	20	30	-1	-1	0	0	0
¶¾·À4				101	35	50	-1	-1	0	0	0
Æ?·À1				104	-5	5	-1	-1	0	0	0
Æ?·À2				104	15	25	-1	-1	0	0	0
Æ?·À3				104	20	30	-1	-1	0	0	0
Æ?·À4				104	30	50	-1	-1	0	0	0
??ÔË1				135	6	10	-1	-1	0	0	0
??ÔË2				135	8	12	-1	-1	0	0	0
??ÔË3				135	15	25	-1	-1	0	0	0
ÅÜËÙ1				111	-10	10	-1	-1	0	0	0
ÅÜËÙ2				111	25	40	-1	-1	0	0	0
ÅÜËÙ3				111	35	50	-1	-1	0	0	0
ÅÜËÙ4				111	40	50	-1	-1	0	0	0
È«¿¹1				114	-5	5	-1	-1	0	0	0
È«¿¹2				114	12	20	-1	-1	0	0	0
È«¿¹3				114	16	24	-1	-1	0	0	0
È«¿¹4				114	30	40	-1	-1	0	0	0
ÎüÑª1				136	2	6	-1	-1	0	0	0
ÎüÑª2				136	4	8	-1	-1	0	0	0
ÎüÑª3				136	6	10	-1	-1	0	0	0
ÎüÄÚ1				137	2	10	-1	-1	0	0	0
ÎüÄÚ2				137	4	8	-1	-1	0	0	0
ÎüÄÚ3				137	8	12	-1	-1	0	0	0
ÎïÀíÉËº¦ÎüÊ?1				134	8	12	-1	-1	0	0	0
ÎïÀíÉËº¦ÎüÊ?2				134	1	1	-1	-1	0	0	0
ÎïÀíÉËº¦ÎüÊ?3				134	1	1	-1	-1	0	0	0
±ùÉËº¦ÎüÊ?1				134	1	1	-1	-1	0	0	0
±ùÉËº¦ÎüÊ?2				134	1	1	-1	-1	0	0	0
±ùÉËº¦ÎüÊ?3				134	1	1	-1	-1	0	0	0
»?ÉËº¦ÎüÊ?1				134	1	1	-1	-1	0	0	0
»?ÉËº¦ÎüÊ?2				134	1	1	-1	-1	0	0	0
»?ÉËº¦ÎüÊ?3				134	1	1	-1	-1	0	0	0
À×ÉËº¦ÎüÊ?1				134	1	1	-1	-1	0	0	0
À×ÉËº¦ÎüÊ?2				134	1	1	-1	-1	0	0	0
À×ÉËº¦ÎüÊ?3				134	1	1	-1	-1	0	0	0
Ë?¶?¶¾·¢¼ä¸ô1				164	10	20	-1	-1	0	0	0
Ë?¶?Ê©·¨ËÙ¶È				116	24	36	-1	-1	0	0	0
ÓÀ²»Ä¥Ë?				43	1	1	-1	-1	0	0	0
È«¼¼ÄÜ1				139	1	1	-1	-1	0	0	0
È«¼¼ÄÜ2				139	2	2	-1	-1	0	0	0
È«¼¼ÄÜ3				139	3	3	-1	-1	0	0	0
»á?ÄÂÊ1				146	5	10	-1	-1	0	0	0
»á?ÄÂÊ2				146	8	12	-1	-1	0	0	0
ºöÂÔÉÁ±Ü1				58	1	2	-1	-1	0	0	0
ºöÂÔÉÁ±Ü2				58	8	12	-1	-1	0	0	0
·´µ¯1				117	5	10	-1	-1	0	0	0
·´µ¯2				117	8	12	-1	-1	0	0	0
·´µ¯3				117	12	16	-1	-1	0	0	0
ÄÚÆ?ÉË1				168			-1	-1	0	0	0
ÄÚÆ?ÉË2				168			-1	-1	0	0	0
ÄÚÆ?ÉË3				168			-1	-1	0	0	0
ÄÚ¶¾ÉË1				172	20	30	-1	-1	0	0	0
ÄÚ¶¾ÉË2				172			-1	-1	0	0	0
ÄÚ¶¾ÉË3				172			-1	-1	0	0	0
ÄÚ±ùÉË1				169	120	200	-1	-1	0	0	0
ÄÚ±ùÉË2				169	160	240	-1	-1	0	0	0
ÄÚ±ùÉË3				169	200	300	-1	-1	0	0	0
ÄÚ»?ÉË1				170			-1	-1	0	0	0
ÄÚ»?ÉË2				170	80	120	-1	-1	0	0	0
ÄÚ»?ÉË3				170	120	200	-1	-1	0	0	0
ÄÚµçÉË1				171	200	300	-1	-1	0	0	0
ÄÚµçÉË2				171	100	150	-1	-1	0	0	0
ÄÚµçÉË3				171	120	180	-1	-1	0	0	0
ÈçÀ´Ç§?¶1				139	1	3	-1	-1	273	273	0
??Í??½?â				139	1	3	-1	-1	36	36	0
·?·¨Î?±ß1				139	1	3	-1	-1	252	252	0
·??Ä´ÈÓÓ				139	1	3	-1	-1	92	92	0
±ù¹ÇÑ©?Ä1				139	1	3	-1	-1	114	114	0
Îå¶¾Ææ¾­				139	1	3	-1	-1	75	75	0
´©?Ä¶¾´?				139	1	3	-1	-1	72	72	0
?ÄÑÛ1				139	1	3	-1	-1	48	48	0
º®±ù´?				139	1	3	-1	-1	345	345	0
×íµú¿ñÎè1				139	1	3	-1	-1	130	130	0
??Ä§½â?å1				139	1	3	-1	-1	150	150	0
±¯ËÖÇå·ç1				139	1	3	-1	-1	364	364	0
?«¼«Éñ¹¦1				139	1	3	-1	-1	166	166	0
Ëª°ÁÀ¥ÂØ1				139	1	3	-1	-1	275	275	0
î¿°í·û				139	1	3	-1	-1	174	174	0
ÉÙÁÖÈ­·¨1				139	1	3	-1	-1	8	8	0
Áú×¦»¢×¥				139	1	3	-1	-1	271	271	0
??Áú²»Óê				139	1	3	-1	-1	14	14	0
Â?ºº?ó				139	1	3	-1	-1	16	16	0
?×½î¾­				139	1	3	-1	-1	21	21	0
ÉÙÁÖ¹÷·¨				139	1	3	-1	-1	4	4	0
ºáÉ¨ÁùºÏ				139	1	3	-1	-1	11	11	0
½?¸?·üÄ§				139	1	3	-1	-1	10	10	0
ÉÙÁÖµ¶·¨				139	1	3	-1	-1	6	6	0
Ä¦Ú­Î?Á¿				139	1	3	-1	-1	19	19	0
??Í?´¸·¨				139	1	3	-1	-1	26	26	0
Î??Ä?¶				139	1	3	-1	-1	32	32	0
¾ªÀ×?¶				139	1	3	-1	-1	34	34	0
Æ?·ç?¶				139	1	3	-1	-1	37	37	0
½?ÖÓ?Ö				139	1	3	-1	-1	42	42	0
??Í?Ç¹·¨				139	1	3	-1	-1	23	23	0
Ñª?½°Ë·½				139	1	3	-1	-1	41	41	0
??Í?µ¶·¨				139	1	3	-1	-1	24	24	0
»Ø·çÂäÑ?				139	1	3	-1	-1	30	30	0
Ñô¹ØÈ?µ?				139	1	3	-1	-1	35	35	0
³ËÁú¾÷				139	1	3	-1	-1	324	324	0
?¶Áú¾÷				139	1	3	-1	-1	29	29	0
??ÔÆ¾÷				139	1	3	-1	-1	31	31	0
¶ëá?½£·¨				139	1	3	-1	-1	77	77	0
²»??²»¾ø				139	1	3	-1	-1	88	88	0
Æ®Ñ©´©ÔÆ				139	1	3	-1	-1	80	80	0
?»?¶ÖªÇï				139	1	3	-1	-1	85	85	0
Á÷Ë®				139	1	3	-1	-1	86	86	0
¶ëá??Æ·¨1				139	1	3	-1	-1	79	79	0
ËÄÏóÍ¬¹é				139	1	3	-1	-1	82	82	0
·?¹âÆ???1				139	1	3	-1	-1	91	91	0
Çå?ôèó³ª				139	1	3	-1	-1	282	282	0
½?¶¥·?¹â				139	1	3	-1	-1	82	82	0
´Èº½Æ?¶É				139	1	3	-1	-1	93	93	0
´äÑ?µ¶·¨				139	1	3	-1	-1	95	95	0
ÄÁ?°Á÷?Ç				139	1	3	-1	-1	108	108	0
·ç»¨Ñ©ÔÂ				139	1	3	-1	-1	99	99	0
Óê´?Àæ»¨				139	1	3	-1	-1	105	105	0
?¤Ñ©Î?ºÛ				139	1	3	-1	-1	270	270	0
´äÑ?Ë«µ¶1				139	1	3	-1	-1	97	97	0
·ç¾í²?Ñ©				139	1	3	-1	-1	102	102	0
¸¡ÔÆÉ¢Ñ©				139	1	3	-1	-1	113	113	0
?Æ?Å°µÆ÷				139	1	3	-1	-1	43	43	0
?¡Àî·Éµ¶				139	1	3	-1	-1	249	249	0
Åùö¨µ¯				139	1	3	-1	-1	45	45	0
×·?Ä¼?				139	1	3	-1	-1	50	50	0
??Â?µØÍø				139	1	3	-1	-1	58	58	0
Â???»¨Óê				139	1	3	-1	-1	54	54	0
É¢»¨ïÚ				139	1	3	-1	-1	341	341	0
¶á»êïÚ				139	1	3	-1	-1	47	47	0
Îå??Ï?Úå				43	1	3	-1	-1	0	0	0
µØÑæ»?1				139	1	3	-1	-1	347	347	0
¶¾´?¹Ç1				139	1	3	-1	-1	303	303	0
´©?Ä´?				139	1	3	-1	-1	343	343	0
À×»÷Ê?				139	1	3	-1	-1	349	349	0
Îå¶¾?Æ·¨				139	1	3	-1	-1	62	62	0
??î¸µØÉ·ÊÖ				139	1	3	-1	-1	71	71	0
¶¾É°?Æ				139	1	3	-1	-1	63	63	0
ÓÄÚ¤÷¼÷?				139	1	3	-1	-1	68	68	0
Í?¹ÆÊ´?Ä1				139	1	3	-1	-1	73	73	0
Îå¶¾µ¶·¨				139	1	3	-1	-1	60	60	0
Ö?¸?ÇàÚ¤				139	1	3	-1	-1	74	74	0
Ñªµ¶¶¾É±				139	1	3	-1	-1	65	65	0
´©?ÂÆÆ¼×				139	1	3	-1	-1	356	356	0
¾Å??¿ñÀ×1				139	1	3	-1	-1	67	67	0
±ùÀ¶??¾§				139	1	3	-1	-1	64	64	0
³àÑ×Ê´??				139	1	3	-1	-1	70	70	0
Ø¤°ï?Æ·¨				139	1	3	-1	-1	116	116	0
¿ºÁúÓ?»Ú1				139	1	3	-1	-1	128	128	0
¼ûÈËÉ?ÊÖ				139	1	3	-1	-1	122	122	0
½µÁú?Æ				139	1	3	-1	-1	274	274	0
»¬²»ÁôÊÖ				139	1	3	-1	-1	277	277	0
Ø¤°ï°ô·¨				139	1	3	-1	-1	115	115	0
ÑØ?ÅÍ?²§				139	1	3	-1	-1	119	119	0
´?¹·?ó				139	1	3	-1	-1	124	124	0
??È??¬·¨				139	1	3	-1	-1	132	132	0
Íµ??»»È?				139	1	3	-1	-1	142	142	0
²?ÑôÈçÑª				139	1	3	-1	-1	135	135	0
Á?»?Çé??				139	1	3	-1	-1	141	141	0
Îå???ó				139	1	3	-1	-1	146	146	0
??È?µ¶·¨				139	1	3	-1	-1	131	131	0
Ä§Ñ×ÆßÉ±1				139	1	3	-1	-1	148	148	0
µ¯Ö¸Á?Ñæ				139	1	3	-1	-1	145	145	0
ÍÆÉ½?îº£1				139	1	3	-1	-1	138	138	0
À÷Ä§¶á»ê				139	1	3	-1	-1	143	143	0
»?Á«·Ù»ª				139	1	3	-1	-1	136	136	0
»?Ó°·Éºü				139	1	3	-1	-1	137	137	0
·ÉºèÎ?¼£1				139	1	3	-1	-1	140	140	0
Îäµ±½£·¨				139	1	3	-1	-1	151	151	0
È?»·?×ÔÂ				139	1	3	-1	-1	267	267	0
²×º£?÷ÔÂ				139	1	3	-1	-1	155	155	0
½£·É¾ª??				139	1	3	-1	-1	158	158	0
??ÔÆ×?				139	1	3	-1	-1	160	160	0
Îäµ±È­·¨				139	1	3	-1	-1	152	152	0
Î?Î?Î?½£1				139	1	3	-1	-1	165	165	0
Å­À×Ö¸				139	1	3	-1	-1	153	153	0
°?¼°¶ø¸´1				139	1	3	-1	-1	164	164	0
À¥ÂØµ¶·¨				139	1	3	-1	-1	167	167	0
¿ñ·çÖèµç				139	1	3	-1	-1	176	176	0
ºô·ç·¨				139	1	3	-1	-1	169	169	0
?»ÆøÈ?Çå·û				139	1	3	-1	-1	178	178	0
Çå·ç·û1				139	1	3	-1	-1	171	171	0
À¥ÂØ½£·¨				139	1	3	-1	-1	168	168	0
ÎåÀ×??·¨				139	1	3	-1	-1	182	182	0
¿ñÀ×??µØ				139	1	3	-1	-1	179	179	0
??¼ÊÑ¸À×				139	1	3	-1	-1	172	172	0
ÆÛº®°ÁÑ©				139	1	3	-1	-1	175	175	0
×íÏÉ´í¹Ç				43	1	3	-1	-1	0	0	0
??ÇåµØ×Ç1				139	1	3	-1	-1	173	173	0
Æú?Ä·û				139	1	3	-1	-1	181	181	0
¶Ï»ê´?				139	1	3	-1	-1	40	40	0
¾²?Ä¾÷				139	1	3	-1	-1	33	33	0
Ñ©Ó°				139	1	3	-1	-1	109	109	0
Î??Î¹Æ				139	1	3	-1	-1	69	69	0
»ÛÑÛÖä				139	1	3	-1	-1	18	18	0
×øÍûÎ?Î?				139	1	3	-1	-1	157	157	0
´¿Ñô?Ä·¨				139	1	3	-1	-1	156	156	0
Æß?Ç?ó				139	1	3	-1	-1	159	159	0
??ÔÆ×?				139	1	3	-1	-1	160	160	0
°ô´?¶ñ¹·				139	1	3	-1	-1	125	125	0
å??£¹¦				43	1	3	-1	-1	0	0	0
±?º£³±Éú				139	1	3	-1	-1	111	111	0
½ü·´1				118	5	10	-1	-1	0	0	0
½ü·´2				118	8	12	-1	-1	0	0	0
½ü·´3				118	12	16	-1	-1	0	0	0
Ô¶·´1				120	5	10	-1	-1	0	0	0
Ô¶·´2				120	8	12	-1	-1	0	0	0
Ô¶·´3				120	12	16	-1	-1	0	0	0
Á¦Á¿5				97	-55	5	-1	-1	0	0	0
Íâ¹¦5				99	-55	5	-1	-1	0	0	0
ÄÚ¹¦5				100	-55	5	-1	-1	0	0	0
Éí·¨5				98	-55	5	-1	-1	0	0	0
ÄÚ¹¦¹¥ËÙ1				116	10	20	-1	-1	0	0	0
ÄÚ¹¦¹¥ËÙ2				116	18	30	-1	-1	0	0	0
ÄÚ¹¦¹¥ËÙ3				116	20	40	-1	-1	0	0	0
ÄÚ¹¦¹¥ËÙ4				116	45	60	-1	-1	0	0	0
´?»÷»Ø¸´5				113	40	50	-1	-1	0	0	0
Æ?·À5				104	25	30	-1	-1	0	0	0
ÅÜËÙ5				111	36	45	-1	-1	0	0	0
¼?ÉÙ±ù¶³Ê±¼ä5				106	40	50	-1	-1	0	0	0
È«¿¹5				114	15	20	-1	-1	0	0	0
»?·À5				102	25	30	-1	-1	0	0	0
±ù·À5				105	25	30	-1	-1	0	0	0
¶¾·À5				101	25	30	-1	-1	0	0	0
Éú?ü5				85	80	120	-1	-1	0	0	0
??ÔË4				135	1	2	-1	-1	0	0	0
??ÔË5				135	1	3	-1	-1	0	0	0
Æ?·À6				104	20	25	-1	-1	0	0	0
Á¦Á¿6				97	8	12	-1	-1	0	0	0
Éí·¨6				98	8	12	-1	-1	0	0	0
ÅÜËÙ6				111	40	60	-1	-1	0	0	0
±ù·À6				105	20	25	-1	-1	0	0	0
¶¾·À6				101	20	25	-1	-1	0	0	0
²»¶¯?÷Í?				139	1	3	-1	-1	15	15	0
´ïÄ¦¶É½­1				139	1	3	-1	-1	318	318	0
ºáÉ¨Ç§¾ü				139	1	3	-1	-1	319	319	0
Î?Ïà?¶				139	1	3	-1	-1	321	321	0
ÆÆ???¶				139	1	3	-1	-1	322	322	0
ÍÆ´°ÍûÔÂ				139	1	3	-1	-1	385	385	0
È?¶ëö«Ñ©				139	1	3	-1	-1	328	328	0
·çËªËéÓ°				139	1	3	-1	-1	380	380	0
?Îµû1				139	1	3	-1	-1	89	89	0
Æ?¶ÉÖÚÉú				139	1	3	-1	-1	332	332	0
±ù×ÙÎ?Ó°				139	1	3	-1	-1	336	336	0
??·çÊ´¹Ç				139	1	3	-1	-1	353	353	0
°Ù¶¾´©?Ä				139	1	3	-1	-1	384	384	0
?????¶				139	1	3	-1	-1	355	355	0
¶Ï½î¸¯¹Ç				139	1	3	-1	-1	390	390	0
Éå»êÔÂÓ°				139	1	3	-1	-1	339	339	0
±©ÓêÀæ»¨				139	1	3	-1	-1	302	302	0
¾Å¹¬·É?Ç				139	1	3	-1	-1	342	342	0
Â?»·»÷				139	1	3	-1	-1	351	351	0
·ÉÁúÔÚ??				139	1	3	-1	-1	357	357	0
??ÏÂÎ?¹·				139	1	3	-1	-1	359	359	0
ÔÆÁú»÷				139	1	3	-1	-1	361	361	0
??ÍâÁ÷?Ç				139	1	3	-1	-1	362	362	0
Éå»êÂ??Ä1				139	1	3	-1	-1	391	391	0
??µØÎ?¼«1				139	1	3	-1	-1	365	365	0
ÈË½£ºÏ?»				139	1	3	-1	-1	368	368	0
°ÁÑ©?¥·ç				139	1	3	-1	-1	372	372	0
À×¶¯¾Å??				139	1	3	-1	-1	375	375	0
Êø¸¿Öä1				139	1	3	-1	-1	392	392	0
±±Ú¤µ½º£1				139	1	3	-1	-1	393	393	0
?Ô×Ù»?Ó°				139	1	3	-1	-1	90	90	0
×íÏÉ´í¹Ç				139	1	3	-1	-1	394	394	0
À×·À5				103	6	12	-1	-1	0	0	0
À×·À6				103	6	18	-1	-1	0	0	0
»?·À6				102	5	10	-1	-1	0	0	0
»?·À7				102	5	15	-1	-1	0	0	0
Æ?·À7				104	5	8	-1	-1	0	0	0
±ù·À7				105	5	15	-1	-1	0	0	0
¶¾·À7				101	5	10	-1	-1	0	0	0
¶¾·À8				101	5	15	-1	-1	0	0	0
ÄÚÁ¦5				89	80	120	-1	-1	0	0	0
ÅÜËÙ7				111	20	30	-1	-1	0	0	0
¼?ÉÙ±ù¶³Ê±¼ä6				106	20	30	-1	-1	0	0	0
È«¿¹6				114	2	5	-1	-1	0	0	0
Éú?ü6				85	60	80	-1	-1	0	0	0
ÄÚÁ¦6				89	60	80	-1	-1	0	0	0
Éú?ü7				85	33	33	-1	-1	0	0	0
Æ?·À8				104	30	30	-1	-1	0	0	0
´?»÷»Ø¸´6				113	50	50	-1	-1	0	0	0
Éú?ü8				85	187	187	-1	-1	0	0	0
È«¿¹7				114	20	20	-1	-1	0	0	0
»?·À8				102	11	11	-1	-1	0	0	0
ÄÚÁ¦7				89	88	88	-1	-1	0	0	0
Íâ¹¦6				99	2	2	-1	-1	0	0	0
?åÁ¦5				93	41	41	-1	-1	0	0	0
Æ?·À9				104	25	25	-1	-1	0	0	0
Éú?ü9				85	68	68	-1	-1	0	0	0
¼?ÉÙ±ù¶³Ê±¼ä7				106	20	20	-1	-1	0	0	0
Éú?ü10				85	30	30	-1	-1	0	0	0
À×·À7				103	30	30	-1	-1	0	0	0
?åÁ¦6				93	96	96	-1	-1	0	0	0
»Ø?å5				96	2	2	-1	-1	0	0	0
¼?ÉÙ±ù¶³Ê±¼ä8				106	100	100	-1	-1	0	0	0
?åÁ¦7				93	17	17	-1	-1	0	0	0
Éú?ü11				85	41	41	-1	-1	0	0	0
»?·À9				102	25	25	-1	-1	0	0	0
ÅÜËÙ8				111	37	37	-1	-1	0	0	0
Íâ¹¦7				99	6	6	-1	-1	0	0	0
ÄÚÁ¦8				89	69	69	-1	-1	0	0	0
Íâ¹¦8				99	4	4	-1	-1	0	0	0
?üÖ?5				166	249	249	-1	-1	0	0	0
ÍâÆ?%5				126	94	94	-1	-1	6	6	0
ÍâÆ?µ?Ê?4				121	31	31	-1	-1	0	0	0
ÎüÑª4				136	7	7	-1	-1	0	0	0
Íâ±ùµ?Ê?4				123	115	115	-1	-1	0	0	0
Éú?ü12				85	181	181	-1	-1	0	0	0
»ØÑª5				88	6	6	-1	-1	0	0	0
¼?ÉÙ±ù¶³Ê±¼ä9				106	40	40	-1	-1	0	0	0
ÄÚÁ¦9				89	139	139	-1	-1	0	0	0
Éí·¨7				98	20	20	-1	-1	0	0	0
´?»÷»Ø¸´7				113	40	40	-1	-1	0	0	0
»ØÑª6				88	5	5	-1	-1	0	0	0
¼?ÉÙÑ£ÔÎÊ±¼ä5				110	40	40	-1	-1	0	0	0
Éú?ü13				85	188	188	-1	-1	0	0	0
Éú?ü14				85	187	187	-1	-1	0	0	0
ÄÚÁ¦10				89	191	191	-1	-1	0	0	0
Éú?ü15				85	180	180	-1	-1	0	0	0
ÄÚÁ¦11				89	132	132	-1	-1	0	0	0
ÅÜËÙ9				111	40	40	-1	-1	0	0	0
Éú?ü16				85	200	200	-1	-1	0	0	0
Íâ¹¦9				99	19	19	-1	-1	0	0	0
¾­Ñé1				176	15	25	-1	-1	0	0	0
È«¿¹8				114	8	12	-1	-1	0	0	0
¼?ÉÙÖ?¶¾Ê±¼ä5				108	50	80	-1	-1	0	0	0
¼?ÉÙÑ£ÔÎÊ±¼ä6				110	30	40	-1	-1	0	0	0
Éú?ü17				85	200	300	-1	-1	0	0	0
À×·À8				103	30	35	-1	-1	0	0	0
¼?ÉÙÖ?¶¾Ê±¼ä6				108	30	50	-1	-1	0	0	0
ÄÚÁ¦12				89	200	300	-1	-1	0	0	0
±ù?ÄÏÉ×Ó				139	1	3	-1	-1	337	337	0
¼?ÉÙÑ£ÔÎÊ±¼ä7				110	30	50	-1	-1	0	0	0
¶¾·À9				101	30	50	-1	-1	0	0	0
»á?Ä?»»÷ÂÊ1				70	3	5	-1	-1	0	0	0
»á?Ä?»»÷ÂÊ2				70	5	8	-1	-1	0	0	0
ÄÚ±ùÉË4				169	80	120	-1	-1	0	0	0
????Î?¼«				139	1	3	-1	-1	630	630	0
Éú?ü18				85	299	299	-1	-1	0	0	0
ÄÚÁ¦13				89	299	299	-1	-1	0	0	0
Éú?ü19				85	80	160	-1	-1	0	0	0
È«¿¹9				114	3	5	-1	-1	0	0	0
À×·À9				103	5	10	-1	-1	0	0	0
´?»÷»Ø¸´8				113	60	60	-1	-1	0	0	0
ÄÚÁ¦14				89	200	200	-1	-1	0	0	0
ÅÜËÙ10				111	60	60	-1	-1	0	0	0
¼?ÉÙ±ù¶³Ê±¼ä10				106	30	40	-1	-1	0	0	0
À×·À10				103	20	25	-1	-1	0	0	0
¼?ÉÙ±ù¶³Ê±¼ä11				106	30	50	-1	-1	0	0	0
È«¿¹10				114	12	12	-1	-1	0	0	0
ÄÚÁ¦15				89	80	80	-1	-1	0	0	0
±ù·À8				105	24	24	-1	-1	0	0	0
¶¾·À10				101	24	24	-1	-1	0	0	0
»?·À10				102	24	24	-1	-1	0	0	0
ÍâÆ?%6				126	135	135	-1	-1	6	6	0
