nTaskID	PeopleExp	PartnerExp
276	13250	13250
277	26500	26500
278	39750	39750
279	55850	55850
280	111700	111700
281	167550	167550
282	61850	61850
283	213700	213700
284	320550	320550
285	69350	69350
286	138700	138700
287	208050	208050
288	61850	61850
289	213700	213700
290	320550	320550
291	69350	69350
292	138700	138700
293	208050	208050
294	3250	3250
295	6500	6500
296	9750	9750
297	3250	3250
298	6500	6500
299	9750	9750
300	46850	46850
301	93700	93700
302	140550	140550
303	3250	3250
304	6500	6500
305	9750	9750
306	37850	37850
307	75700	75700
308	113550	113550
309	37850	37850
310	75700	75700
311	113550	113550
312	37850	37850
313	75700	75700
314	113550	113550
315	46850	46850
316	93700	93700
317	140550	140550
318	28850	28850
319	57700	57700
320	86550	86550
321	28850	28850
322	57700	57700
323	86550	86550
324	55850	55850
325	111700	111700
326	167550	167550
327	13250	13250
328	26500	26500
329	39750	39750
330	28850	28850
331	57700	57700
332	86550	86550
333	28850	28850
334	57700	57700
335	86550	86550
336	28850	28850
337	57700	57700
338	86550	86550
339	61850	61850
340	213700	213700
341	320550	320550
342	3250	3250
343	6500	6500
344	9750	9750
345	3250	3250
346	6500	6500
347	9750	9750
348	7250	7250
349	14500	14500
350	21750	21750
351	13250	13250
352	26500	26500
353	39750	39750
354	61850	61850
355	213700	213700
356	320550	320550
357	37850	37850
358	75700	75700
359	113550	113550
360	13250	13250
361	26500	26500
362	39750	39750
363	37850	37850
364	75700	75700
365	113550	113550
366	46850	46850
367	93700	93700
368	140550	140550
369	61850	61850
370	213700	213700
371	320550	320550
372	55850	55850
373	111700	111700
374	167550	167550
375	61850	61850
376	213700	213700
377	320550	320550
378	69350	69350
379	138700	138700
380	208050	208050
381	69350	69350
382	138700	138700
383	208050	208050
384	69350	69350
385	138700	138700
386	208050	208050
