Ãû³Æ	ItemGenre	DetailType	ParticularType	¶¯»­ÎÄ¼þÃû	¶ÔÓ¦Îï¼þË÷Òý	¿í¶È	¸ß¶È	ËµÃ÷ÎÄ×Ö	ÎåÐÐÊôÐÔ	¼Û¸ñ	µÈ¼¶	ÊÇ·ñµþ·Å	»ù´¡ÊôÐÔ1ÀàÐÍ	»ù´¡ÊôÐÔ1×îÐ¡Öµ	»ù´¡ÊôÐÔ1×î´óÖµ	»ù´¡ÊôÐÔ2ÀàÐÍ	»ù´¡ÊôÐÔ2×îÐ¡Öµ	»ù´¡ÊôÐÔ2×î´óÖµ	»ù´¡ÊôÐÔ3ÀàÐÍ	»ù´¡ÊôÐÔ3×îÐ¡Öµ	»ù´¡ÊôÐÔ3×î´óÖµ	»ù´¡ÊôÐÔ4ÀàÐÍ	»ù´¡ÊôÐÔ4×îÐ¡Öµ	»ù´¡ÊôÐÔ4×î´óÖµ	»ù´¡ÊôÐÔ5ÀàÐÍ	»ù´¡ÊôÐÔ5×îÐ¡Öµ	»ù´¡ÊôÐÔ5×î´óÖµ	»ù´¡ÊôÐÔ6ÀàÐÍ	»ù´¡ÊôÐÔ6×îÐ¡Öµ	»ù´¡ÊôÐÔ6×î´óÖµ	»ù´¡ÊôÐÔ7ÀàÐÍ	»ù´¡ÊôÐÔ7×îÐ¡Öµ	»ù´¡ÊôÐÔ7×î´óÖµ	ÐèÇóÊôÐÔ1ÀàÐÍ	ÐèÇóÊôÐÔ1ÊýÖµ	ÐèÇóÊôÐÔ2ÀàÐÍ	ÐèÇóÊôÐÔ2ÊýÖµ	ÐèÇóÊôÐÔ3ÀàÐÍ	ÐèÇóÊôÐÔ3ÊýÖµ	ÐèÇóÊôÐÔ4ÀàÐÍ	ÐèÇóÊôÐÔ4ÊýÖµ	ÐèÇóÊôÐÔ5ÀàÐÍ	ÐèÇóÊôÐÔ5ÊýÖµ	ÐèÇóÊôÐÔ6ÀàÐÍ	ÐèÇóÊôÐÔ6ÊýÖµ
Y T¬ Ph¸t §¸i	0	7	6	\spr\item\equip\cap\obj-ma-cap20-1.spr	28	2	2	Dïng lo¹i t¬ tinh phÈm dÖt thµnh, kiÓu d¸ng rÊt ®Ñp. 		900	5	0	30	100	100	31	17	17																36	26	32	0	33	40			38	0		
Kim T¬ Qu¸n	0	7	6	\spr\item\equip\cap\obj-ma-cap20-2.spr	28	2	2	§­îc lµm b»ng t¬, tÝnh b¶o vÖ rÊt tèt.		1250	6	0	30	120	120	31	20	20																36	33	32	0	33	45			38	0		
Chu Khëi Qu¸n	0	7	6	\spr\item\equip\cap\obj-ma-cap20-3.spr	28	2	2	Lo¹i mò dÖt b»ng t¬ th­îng phÈm, kiÓu d¸ng rÊt ®Ñp. 		1850	7	0	30	140	140	31	22	22																36	40	32	0	33	50			38	0		
Doanh Gi¸c M·o	0	7	6	\spr\item\equip\cap\obj-ma-cap21-1.spr	28	2	2	Lo¹i mò dÖt b»ng t¬ th­îng phÈm cã ®iÓm thªm nhiÒu h¹t ngäc nhá, gi¸ rÊt ®¾t. 		2500	8	0	30	160	160	31	25	25																36	46	32	0	33	55			38	0		
Tµm T¬ M·o	0	7	6	\spr\item\equip\cap\obj-ma-cap21-2.spr	28	2	2	Lo¹i mò dÖt b»ng t¬ th­îng phÈm, phong c¸ch quý ph¸i. 		3000	9	0	30	180	180	31	27	27																36	53	32	0	33	60			38	0		
¤ Tµm M·o	0	7	6	\spr\item\equip\cap\obj-ma-cap21-3.spr	28	2	2	Lo¹i mò dÖt b»ng t¬ ¤ TÇm th­îng phÈm, phong c¸ch quý ph¸i. 		3750	10	0	30	200	200	31	30	30																36	60	32	0	33	65			38	0		
ThÝch Ni M·o	0	7	7	\spr\item\equip\cap\obj-fm-cap01-1.spr	28	2	2	Lo¹i mò c¸c ni c« th­êng ®éi. 		50	1	0	30	25	25	31	5	5																36	1	32	30					38	1		
ThÝch Ni M·o	0	7	7	\spr\item\equip\cap\obj-fm-cap01-1.spr	28	2	2	Lo¹i mò c¸c ni c« th­êng ®éi. 		125	2	0	30	50	50	31	7	7																36	7	32	50					38	1		
ThÝch Ni M·o	0	7	7	\spr\item\equip\cap\obj-fm-cap01-1.spr	28	2	2	Lo¹i mò c¸c ni c« th­êng ®éi. 		250	3	0	30	75	75	31	9	9																36	13	32	70					38	1		
ThÝch Ni M·o	0	7	7	\spr\item\equip\cap\obj-fm-cap01-1.spr	28	2	2	Lo¹i mò c¸c ni c« th­êng ®éi. 		400	4	0	30	100	100	31	11	11																36	19	32	90					38	1		
Thanh M·o	0	7	7	\spr\item\equip\cap\obj-fm-cap02-1.spr	28	2	2	Lo¹i mò mµu xanh cña PhËt gia. 		600	5	0	30	125	125	31	13	13																36	26	32	110					38	1		
Thanh Anh M·o	0	7	7	\spr\item\equip\cap\obj-fm-cap02-2.spr	28	2	2	Lo¹i mò mµu xanh cña PhËt gia, cã tua rò xuèng. 		900	6	0	30	150	150	31	15	15																36	33	32	130					38	1		
Thiªn Thanh M·o	0	7	7	\spr\item\equip\cap\obj-fm-cap02-3.spr	28	2	2	Lo¹i mò mµu xanh cña PhËt gia, thanh tho¸t cao quý. 		1250	7	0	30	175	175	31	17	17																36	40	32	150					38	1		
XÝch ¶nh ph¸t Qu¸n	0	7	7	\spr\item\equip\cap\obj-fm-cap03-1.spr	28	2	2	Lo¹i mò cao cÊp cña PhËt gia, dïng trong nh÷ng lóc nghiªm trang. 		1600	8	0	30	200	200	31	19	19																36	46	32	170					38	1		
V« T­íng Ph¸p Qu¸n	0	7	7	\spr\item\equip\cap\obj-fm-cap03-2.spr	28	2	2	Lo¹i mò cao cÊp cña PhËt gia, dïng trong nh÷ng lóc nghiªm trang. 		2000	9	0	30	225	225	31	21	21																36	53	32	190					38	1		
Quan ¢m Ph¸t Qu¸n	0	7	7	\spr\item\equip\cap\obj-fm-cap03-3.spr	28	2	2	Lo¹i mò cao cÊp cña PhËt gia. 		2500	10	0	30	250	250	31	23	23																36	60	32	210					38	1		
Ng©n Thoa	0	7	8	\spr\item\equip\cap\obj-fm-cap04-1.spr	30	2	2	Lo¹i tr©m cµi tãc b»ng b¹c. 		50	1	0	30	20	20	31	8	8																36	1	32	0	33	20			38	1		
Ng©n Liªm Thoa	0	7	8	\spr\item\equip\cap\obj-fm-cap04-1.spr	30	2	2	Lo¹i tr©m cµi tãc b»ng b¹c. 		100	2	0	30	40	40	31	10	10																36	7	32	0	33	25			38	1		
Ng©n LiÖm Thoa	0	7	8	\spr\item\equip\cap\obj-fm-cap04-2.spr	30	2	2	Lo¹i tr©m cµi tãc b»ng b¹c. 		200	3	0	30	60	60	31	13	13																36	13	32	0	33	30			38	1		
Ng©n Hoµn Thoa	0	7	8	\spr\item\equip\cap\obj-fm-cap04-3.spr	30	2	2	Lo¹i tr©m cµi tãc b»ng b¹c. 		350	4	0	30	80	80	31	15	15																36	19	32	0	33	35			38	1		
Kim Thoa	0	7	8	\spr\item\equip\cap\obj-fm-cap05-1.spr	30	2	2	Lo¹i tr©m cµi tãc b»ng b¹c. 		500	5	0	30	100	100	31	17	17																36	26	32	0	33	40			38	1		
Kim Hoµn Thoa	0	7	8	\spr\item\equip\cap\obj-fm-cap05-2.spr	30	2	2	Lo¹i tr©m cµi tãc b»ng b¹c, d¸ng h¬i trßn. 		750	6	0	30	120	120	31	20	20																36	33	32	0	33	45			38	1		
Kim Bé Dao	0	7	8	\spr\item\equip\cap\obj-fm-cap05-3.spr	30	2	2	Lo¹i tr©m cµi tãc b»ng vµng. 		1000	7	0	30	140	140	31	22	22																36	40	32	0	33	50			38	1		
PhØ Thóy Thoa	0	7	8	\spr\item\equip\cap\obj-fm-cap06-1.spr	30	2	2	Lo¹i tr©m cµi tãc b»ng lôa, cã ®iÓm vµng. 		1250	8	0	30	160	160	31	25	25																36	46	32	0	33	55			38	1		
Th¸i cùc Qu¸n	0	7	8	\spr\item\equip\cap\obj-fm-cap06-2.spr	30	2	2	Lµ Mét lo¹i mò cña c¸c ®¹o sÜ th­êng ®éi, cã thÓ trõ yªu diÖt qu¸i. 		1600	9	0	30	180	180	31	27	27																36	53	32	0	33	60			38	1		
¢m D­¬ng V« Cùc qu¸n	0	7	8	\spr\item\equip\cap\obj-fm-cap06-3.spr	30	2	2	B¶o vËt cña c¸c ®¹o gia. 		2000	10	0	30	200	200	31	30	30																36	60	32	0	33	65			38	1		
B×Trô 	0	7	9	\spr\item\equip\cap\obj-fm-cap07-1.spr	28	2	2	Lo¹i mò b¶o hé ®­îc tinh chÕ tõ nh÷ng lo¹i da thó, cã kh¶ n¨ng tÊn c«ng vµ phßng ngù rÊt tèt. 		50	1	0	30	25	25	31	8	8																36	1	32	30	33	20			38	1		
