HEADER	MAGIC_DESC	¼ÓÉËº¦Ç¿»¯	¼ÓÃüÖÐÂÊ	¼Ó¹¥»÷ËÙ¶È	ºöÂÔ¶ÔÊÖ·ÀÓù	ÓÀ²»Ä¥Ëð	¼Ó·ÀÓùÇ¿»¯	¼Ó¿ìÅÜ²½ËÙ¶È	·´µ¯ÎïÀí¹¥»÷	¿ìËÙ´ò»÷»Ø¸´	¼ÓºÚ°µ´¦ÊÓÒ°·¶Î§	¼Ó¼¼ÄÜ	¼ÓËÄ·À	ÍµÑª	ÍµÄÚÁ¦	¼ÓÉúÃü×î´óÖµÉÏÏÞ	¼ÓÄÚÁ¦ÉÏÏÞ	¼ÓÌåÁ¦ÉÏÏÞ	¼ÓÉúÃü»Ö¸´ËÙ¶È	¼ÓÄÚÁ¦»Ö¸´ËÙ¶È	¼ÓÌåÁ¦»Ö¸´ËÙ¶È	¼ÓÁ¦Á¿	¼ÓÎïÀíÉËº¦	¼Ó¶¾ÉËº¦	¼Ó±ùÉËº¦	¼Ó»ðÉËº¦	¼ÓµçÉËº¦	ÎïÀíÉËº¦ÎüÊÕ£¨×ª»¯ÎªÄÚÁ¦Ìá¸ß£©	ÎïÃâ°Ù·Ö±È	¼Ó¿¹¶¾ÐÔ	¼Ó¿¹±ùÐÔ	¼Ó¿¹»ðÐÔ	¼Ó¿¹µçÐÔ	¼ÓÌåÖÊ	ÃâÒßÑ£ÔÎ×´Ì¬	¼ÓÔËÆø	½µµÍ±ù¶³Ê±¼ä	¼ÓÃô½Ý	½µµÍÖÐ¶¾Ê±¼ä	¼Ó½ðÏµ¼¼ÄÜ	¼ÓË®Ïµ¼¼ÄÜ	¼ÓÄ¾Ïµ¼¼ÄÜ	¼Ó»ðÏµ¼¼ÄÜ	¼ÓÍÁÏµ¼¼ÄÜ	¼Ó½ðÏµ¼¼ÄÜÉËº¦	¼ÓË®Ïµ¼¼ÄÜÉËº¦	¼Ó»ðÏµ¼¼ÄÜÉËº¦	¼ÓÍÁÏµ¼¼ÄÜÉËº¦	¼ÓÄ¾Ïµ¼¼ÄÜÉËº¦
T¨ng ph¹m vi s¸t th­¬ng	112										100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
T¨ng kü n¨ng	139											100	100	110	110	102	101	100	100	100	100	100	110	102	120	100	100	100	100	100	100	100	100	100	102	100	102	100	100	100	100	100	100	100	110	110	110	110	110
t¨ng phßng thñ 	114												100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
hót Sinh lùc	136													100	100	105	100	100	100	100	100	100	120	120	120	100	100	100	100	110	120	120	120	105	120	100	120	105	110	100	100	100	100	100	100	100	100	100	100
hót Néi lùc	137														100	105	100	100	100	100	100	100	130	120	120	100	100	100	100	110	120	120	120	105	120	100	120	105	110	100	100	100	100	100	100	100	100	100	100
T¨ng Sinh lùc 	85															100	120	120	160	100	100	100	110	105	105	100	100	110	140	150	180	180	180	110	120	100	120	110	110	100	100	100	100	100	110	110	110	110	110
T¨ng Néi lùc 	89																100	110	120	100	100	100	105	100	105	100	100	105	120	130	150	150	150	105	110	100	110	105	105	100	100	100	100	100	105	105	105	105	105
T¨ng thÓ lùc 	93																	100	110	100	100	100	100	100	100	100	100	100	110	105	110	110	110	100	105	100	105	100	100	100	100	100	100	100	100	100	100	100	100
T¨ng tèc ®é håi phôc Sinh lùc	88																		100	100	100	100	100	100	100	100	100	100	130	150	150	150	150	105	120	100	120	105	110	100	100	100	100	100	100	100	100	100	100
T¨ng tèc ®é håi phôc Néi lùc	92																			100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
T¨ng tèc ®é håi phôc ThÓ lùc	96																				100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
t¨ng søc m¹nh	97																					100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
t¨ng s¸t th­¬ng VËt lý 	121																						100	100	100	100	100	100	100	130	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
T¨ng s¸t §éc s¸t	125																							100	100	100	100	100	100	100	100	100	130	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
T¨ng s¸t B¨ng s¸t	123																								100	100	100	100	100	100	100	150	100	105	110	100	100	100	100	100	100	100	100	100	100	100	100	100	100
T¨ng Ho¶ s¸t	122																									100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
T¨ng L«i s¸t	124																										100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
ChuyÓn hãa s¸t th­¬ng vËt lý thµnh Néi lùc	134																											100	105	105	110	110	110	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
Bá qua s¸t th­¬ng vËt lý 	104																												100	100	100	100	100	100	100	100	150	120	100	100	100	100	100	100	100	100	100	100	100
t¨ng kh¸ng ®éc	101																													100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	105	100	100	100	100
T¨ng kh¸ng b¨ng	105																														100	100	100	100	100	100	100	100	180	100	100	100	100	100	100	100	100	105	100
t¨ng kh¸ng Háa	102																															100	100	120	200	100	100	100	100	100	100	100	100	100	100	105	100	100	100
T¨ng kh¸ng L«i	103																																100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	105
T¨ng thÓ lùc 	99																																	100	110	100	100	100	100	100	100	100	100	100	100	105	100	100	100
Chèng cho¸ng	110																																		100	100	100	100	100	100	100	100	100	100	100	110	100	100	100
T¨ng May m¾n	135																																			100	100	100	100	100	100	100	100	100	100	100	100	100	100
Gi¶m thêi gian ®ãng b¨ng	106																																				100	110	100	100	100	100	100	100	100	100	110	100	100
T¨ng nhanh nhÑn	98																																					100	100	100	100	100	100	100	100	100	100	100	100
Gi¶m thêi gian tróng ®éc	108																																						100	100	100	100	100	100	100	100	100	120	100
T¨ng Kü n¨ng hÖ Kim	140																																							100	100	100	100	100	100	100	100	100	100
T¨ng Kü n¨ng hÖ Thñy	142																																								100	100	100	100	100	100	100	100	100
T¨ng Kü n¨ng hÖ Méc	141																																									100	100	100	100	100	100	100	100
T¨ng Kü n¨ng hÖ Háa	143																																										100	100	100	100	100	100	100
T¨ng Kü n¨ng hÖ Thæ 	144																																											100	100	100	100	100	100
T¨ng S¸t th­¬ng hÖ Kim	168																																												100	100	100	100	100
T¨ng S¸t th­¬ng hÖ Thñy	169																																													100	100	100	100
T¨ng S¸t th­¬ng hÖ Háa	170																																														100	100	100
T¨ng S¸t th­¬ng hÖ Thæ 	171																																															100	100
T¨ng s¸t th­¬ng hÖ Méc	172																																																100
