TaskName	TaskStart	TaskStarted	TaskNow	TaskEnd	TaskFinish	TaskInfo
NgÉu nhiªn_S¸t qu¸i_ Gi¸ng Chïy 	<dec><pan>Nghe nãi ë {{Tr­êng B¹ch S¬n Nam Léc}} cã mét sè tªn ¸c b¸ gäi lµ {{Gi¸ng Chïy}}, vèn lµ nh÷ng chiÕn sü do Kim binh ph¸i tíi ph­¬ng nam. H·y ®i ®¸nh b¹i chóng {{24}} lÇn nh»m môc ®Ých r¨n ®e kÎ thï.	<dec><pan>{{Tr­êng B¹ch S¬n Nam Léc}} cã thÓ ®i tõ {{BiÖn Kinh}} qua  {{L©m Du Quan}}, ®­êng xa hiÓm trë nhí ®õng quªn mang theo {{Thæ ®Þa phï}}!			LÇn nµy chóng ta ®· khiÕn h¾n t©m phôc khÈu phôc råi! §Ó xem thu ho¹ch ®­îc g× nµo! 	
NgÉu nhiªn_S¸t qu¸i_ L·nh §ao 	<dec><pan>Nghe nãi ë {{Tr­êng B¹ch S¬n Nam Léc}} cã mét sè tªn ¸c b¸ gäi lµ {{L·nh §ao}}, vèn lµ nh÷ng chiÕn sü do Kim binh ph¸i tíi ph­¬ng nam. H·y ®i ®¸nh b¹i chóng {{24}} lÇn nh»m môc ®Ých r¨n ®e kÎ thï.	<dec><pan>{{Tr­êng B¹ch S¬n Nam Léc}} cã thÓ ®i tõ {{BiÖn Kinh}} qua  {{L©m Du Quan}}, ®­êng xa hiÓm trë nhí ®õng quªn mang theo {{Thæ ®Þa phï}}!			LÇn nµy chóng ta ®· khiÕn h¾n t©m phôc khÈu phôc råi! §Ó xem thu ho¹ch ®­îc g× nµo! 	
NgÉu nhiªn_S¸t qu¸i_ S­¬ng §ao 	<dec><pan>Nghe nãi ë {{Tr­êng B¹ch S¬n Nam Léc}} cã mét sè tªn ¸c b¸ gäi lµ {{S­¬ng §ao}}, vèn lµ nh÷ng chiÕn sü do Kim binh ph¸i tíi ph­¬ng nam. H·y ®i ®¸nh b¹i chóng {{24}} lÇn nh»m môc ®Ých r¨n ®e kÎ thï.	<dec><pan>{{Tr­êng B¹ch S¬n Nam Léc}} cã thÓ ®i tõ {{BiÖn Kinh}} qua  {{L©m Du Quan}}, ®­êng xa hiÓm trë nhí ®õng quªn mang theo {{Thæ ®Þa phï}}!			LÇn nµy chóng ta ®· khiÕn h¾n t©m phôc khÈu phôc råi! §Ó xem thu ho¹ch ®­îc g× nµo! 	
						
NgÉu nhiªn_S¸t qu¸i_ tÇng 3 Sa M¹c_ TËt Vò 	<dec><pan>Nghe nãi t¹i {{Sa m¹c s¬n ®éng tÇng 3}} cã tªn ¸c b¸ {{TËt Vò}}, vèn lµ nh÷ng chiÕn sü do Kim binh ph¸i tíi ph­¬ng nam. H·y ®i ®¸nh b¹i chóng {{24}} lÇn nh»m môc ®Ých r¨n ®e kÎ thï.	<dec><pan>{{ Sa M¹c S¬n §éng }} cã thÓ ®i tõ {{Sa m¹c ®Þa biÓu}} b¾t nguån tõ {{C«n Lu©n ph¸i}} - {{Kho¸i ho¹t l©m}}, bªn trong cã nh÷ng tªn c­êng hµo ¸c b¸, h·y chuÈn bÞ mét sè d­îc liÖu tr­íc khi b­íc vµo!			LÇn nµy chóng ta ®· khiÕn h¾n t©m phôc khÈu phôc råi! §Ó xem thu ho¹ch ®­îc g× nµo! 	
NgÉu nhiªn_S¸t qu¸i_ tÇng 3 Sa M¹c_ TËt Viªm	<dec><pan>Nghe nãi ë {{Sa M¹c s¬n ®éng tÇng 3}} cã mét sè tªn ¸c b¸ gäi lµ {{TËt Viªm}}, vèn lµ nh÷ng chiÕn sü do Kim binh ph¸i tíi ph­¬ng nam. H·y ®i ®¸nh b¹i chóng {{24}} lÇn nh»m môc ®Ých r¨n ®e kÎ thï.	<dec><pan>{{ Sa M¹c S¬n §éng }} cã thÓ ®i tõ {{Sa m¹c ®Þa biÓu}} b¾t nguån tõ {{C«n Lu©n ph¸i}} - {{Kho¸i ho¹t l©m}}, bªn trong cã nh÷ng tªn c­êng hµo ¸c b¸, h·y chuÈn bÞ mét sè d­îc liÖu tr­íc khi b­íc vµo!			LÇn nµy chóng ta ®· khiÕn h¾n t©m phôc khÈu phôc råi! §Ó xem thu ho¹ch ®­îc g× nµo! 	
NgÉu nhiªn_S¸t qu¸i_tÇng 3 Sa M¹c_ TËt Vò 	<dec><pan>Nghe nãi ë {{Sa M¹c s¬n ®éng tÇng 3}} cã mét sè tªn ¸c b¸ gäi lµ {{TËt Vò}}, vèn lµ nh÷ng chiÕn sü do Kim binh ph¸i tíi ph­¬ng nam. H·y ®i ®¸nh b¹i chóng {{24}} lÇn nh»m môc ®Ých r¨n ®e kÎ thï.	<dec><pan>{{ Sa M¹c S¬n §éng }} cã thÓ ®i tõ {{Sa m¹c ®Þa biÓu}} b¾t nguån tõ {{C«n Lu©n ph¸i}} - {{Kho¸i ho¹t l©m}}, bªn trong cã nh÷ng tªn c­êng hµo ¸c b¸, h·y chuÈn bÞ mét sè d­îc liÖu tr­íc khi b­íc vµo!			LÇn nµy chóng ta ®· khiÕn h¾n t©m phôc khÈu phôc råi! §Ó xem thu ho¹ch ®­îc g× nµo! 	
NgÉu nhiªn_S¸t qu¸i_tÇng 3 Sa M¹c_ TËt Phong	<dec><pan>Nghe nãi ë {{Sa M¹c s¬n ®éng tÇng 3}} cã mét sè tªn ¸c b¸ gäi lµ {{TËt Phong}}, vèn lµ nh÷ng chiÕn sü do Kim binh ph¸i tíi ph­¬ng nam. H·y ®i ®¸nh b¹i chóng {{24}} lÇn nh»m môc ®Ých r¨n ®e kÎ thï.	<dec><pan>{{ Sa M¹c S¬n §éng }} cã thÓ ®i tõ {{Sa m¹c ®Þa biÓu}} b¾t nguån tõ {{C«n Lu©n ph¸i}} - {{Kho¸i ho¹t l©m}}, bªn trong cã nh÷ng tªn c­êng hµo ¸c b¸, h·y chuÈn bÞ mét sè d­îc liÖu tr­íc khi b­íc vµo!			LÇn nµy chóng ta ®· khiÕn h¾n t©m phôc khÈu phôc råi! §Ó xem thu ho¹ch ®­îc g× nµo! 	
NgÉu nhiªn_S¸t qu¸i_tÇng 3 Sa M¹c_ TËt §iÖn	<dec><pan>Nghe nãi ë {{Sa M¹c s¬n ®éng tÇng 3}} cã mét sè tªn ¸c b¸ gäi lµ {{TËt §iÖn}}, vèn lµ nh÷ng chiÕn sü do Kim binh ph¸i tíi ph­¬ng nam. H·y ®i ®¸nh b¹i chóng {{24}} lÇn nh»m môc ®Ých r¨n ®e kÎ thï.	<dec><pan>{{ Sa M¹c S¬n §éng }} cã thÓ ®i tõ {{Sa m¹c ®Þa biÓu}} b¾t nguån tõ {{C«n Lu©n ph¸i}} - {{Kho¸i ho¹t l©m}}, bªn trong cã nh÷ng tªn c­êng hµo ¸c b¸, h·y chuÈn bÞ mét sè d­îc liÖu tr­íc khi b­íc vµo!			LÇn nµy chóng ta ®· khiÕn h¾n t©m phôc khÈu phôc råi! §Ó xem thu ho¹ch ®­îc g× nµo! 	
NgÉu nhiªn_S¸t qu¸i_tÇng 2 Sa M¹c_ L­u V©n	<dec><pan>Nghe nãi ë {{Sa M¹c s¬n ®éng tÇng 3}} cã mét sè tªn ¸c b¸ gäi lµ {{L­u V©n}}, vèn lµ nh÷ng chiÕn sü do Kim binh ph¸i tíi ph­¬ng nam. H·y ®i ®¸nh b¹i chóng {{24}} lÇn nh»m môc ®Ých r¨n ®e kÎ thï.	<dec><pan>{{ Sa M¹c S¬n §éng }} cã thÓ ®i tõ {{Sa m¹c ®Þa biÓu}} b¾t nguån tõ {{C«n Lu©n ph¸i}} - {{Kho¸i ho¹t l©m}}, bªn trong cã nh÷ng tªn c­êng hµo ¸c b¸, h·y chuÈn bÞ mét sè d­îc liÖu tr­íc khi b­íc vµo!			LÇn nµy chóng ta ®· khiÕn h¾n t©m phôc khÈu phôc råi! §Ó xem thu ho¹ch ®­îc g× nµo! 	
NgÉu nhiªn_S¸t qu¸i_tÇng 2 Sa M¹c_ L­u Quang	<dec><pan>Nghe nãi ë {{Sa M¹c s¬n ®éng tÇng 3}} cã mét sè tªn ¸c b¸ gäi lµ {{L­u Quang}}, vèn lµ nh÷ng chiÕn sü do Kim binh ph¸i tíi ph­¬ng nam. H·y ®i ®¸nh b¹i chóng {{24}} lÇn nh»m môc ®Ých r¨n ®e kÎ thï.	<dec><pan>{{ Sa M¹c S¬n §éng }} cã thÓ ®i tõ {{Sa m¹c ®Þa biÓu}} b¾t nguån tõ {{C«n Lu©n ph¸i}} - {{Kho¸i ho¹t l©m}}, bªn trong cã nh÷ng tªn c­êng hµo ¸c b¸, h·y chuÈn bÞ mét sè d­îc liÖu tr­íc khi b­íc vµo!			LÇn nµy chóng ta ®· khiÕn h¾n t©m phôc khÈu phôc råi! §Ó xem thu ho¹ch ®­îc g× nµo! 	
NgÉu nhiªn_S¸t qu¸i_tÇng 2 Sa M¹c_ L­u Phong	<dec><pan>Nghe nãi ë {{Sa M¹c s¬n ®éng tÇng 3}} cã mét sè tªn ¸c b¸ gäi lµ {{L­u Phong}}, vèn lµ nh÷ng chiÕn sü do Kim binh ph¸i tíi ph­¬ng nam. H·y ®i ®¸nh b¹i chóng {{24}} lÇn nh»m môc ®Ých r¨n ®e kÎ thï.	<dec><pan>{{ Sa M¹c S¬n §éng }} cã thÓ ®i tõ {{Sa m¹c ®Þa biÓu}} b¾t nguån tõ {{C«n Lu©n ph¸i}} - {{Kho¸i ho¹t l©m}}, bªn trong cã nh÷ng tªn c­êng hµo ¸c b¸, h·y chuÈn bÞ mét sè d­îc liÖu tr­íc khi b­íc vµo!			LÇn nµy chóng ta ®· khiÕn h¾n t©m phôc khÈu phôc råi! §Ó xem thu ho¹ch ®­îc g× nµo! 	
						
NgÉu nhiªn_S¸t qu¸i_tÇng 4 D­îc V­¬ng_ KÕ Chñy	<dec><pan>GÇn ®©y ta nghe ®­îc mét th«ng tin rÊt thó vÞ, ë {{D­îc V­¬ng §éng tÇng 4}} cã tªn ¸c b¸ gäi lµ {{KÕ Chñy}} c­íp ®i cèng phÈm mµ T©y Vùc muèn d©ng tÆng cho triÒu ®×nh. HiÖn t¹i quan phñ ®ang ®¨ng c¸o thÞ truy b¾t {{24}} tªn nµy, h·y ®i b¾t chóng ®Ó ®o¹t l¹i sè cèng phÈm nµy.	<dec><pan>{{D­îc V­¬ng §éng tÇng 4}} cã thÓ ®i tõ {{Long M«n TrÊn}} qua {{D­îc V­¬ng cèc}}, ®­êng x¸ xa x«i hiÓm trë, nhÊt thiÕt ph¶i mang theo mét Ýt {{Thæ §Þa Phï}}!			LÇn nµy chóng ta ®· khiÕn h¾n t©m phôc khÈu phôc råi! §Ó xem thu ho¹ch ®­îc g× nµo! 	
NgÉu nhiªn_S¸t qu¸i_tÇng 4 D­îc V­¬ng_ Xuyªn s¬n 	<dec><pan>GÇn ®©y ta nghe ®­îc mét th«ng tin rÊt thó vÞ, ë {{D­îc V­¬ng §éng tÇng 4}} cã tªn ¸c b¸ gäi lµ {{Xuyªn S¬n}} c­íp ®i cèng phÈm mµ T©y Vùc muèn d©ng tÆng cho triÒu ®×nh. HiÖn t¹i quan phñ ®ang ®¨ng c¸o thÞ truy b¾t {{24}} tªn nµy, h·y ®i b¾t chóng ®Ó ®o¹t l¹i sè cèng phÈm nµy.	<dec><pan>{{D­îc V­¬ng §éng tÇng 4}} cã thÓ ®i tõ {{Long M«n TrÊn}} qua {{D­îc V­¬ng cèc}}, ®­êng x¸ xa x«i hiÓm trë, nhÊt thiÕt ph¶i mang theo mét Ýt {{Thæ §Þa Phï}}!			LÇn nµy chóng ta ®· khiÕn h¾n t©m phôc khÈu phôc råi! §Ó xem thu ho¹ch ®­îc g× nµo! 	
NgÉu nhiªn_S¸t qu¸i_tÇng 4 D­îc V­¬ng_ §ao Kh¸ch	<dec><pan>GÇn ®©y ta nghe ®­îc mét th«ng tin rÊt thó vÞ, ë {{D­îc V­¬ng §éng tÇng 4}} cã tªn ¸c b¸ gäi lµ {{§ao Kh¸ch}} c­íp ®i cèng phÈm mµ T©y Vùc muèn d©ng tÆng cho triÒu ®×nh. HiÖn t¹i quan phñ ®ang ®¨ng c¸o thÞ truy b¾t {{24}} tªn nµy, h·y ®i b¾t chóng ®Ó ®o¹t l¹i sè cèng phÈm nµy.	<dec><pan>{{D­îc V­¬ng §éng tÇng 4}} cã thÓ ®i tõ {{Long M«n TrÊn}} qua {{D­îc V­¬ng cèc}}, ®­êng x¸ xa x«i hiÓm trë, nhÊt thiÕt ph¶i mang theo mét Ýt {{Thæ §Þa Phï}}!			LÇn nµy chóng ta ®· khiÕn h¾n t©m phôc khÈu phôc råi! §Ó xem thu ho¹ch ®­îc g× nµo! 	
						
NgÉu nhiªn_S¸t qu¸i_H¾c C©n (Kho¶ Lang ®éng) 	<dec><pan>Nghe nãi gÇn ®©y Miªu LÜnh rÊt hçn lo¹n, cã mét ®¸m ¸c nh©n ®Æt sµo huyÖt t¹i {{ Xi V­u §éng }} x­ng lµ {{H¾c C©n}}, chóng ra søc chiÕm ®o¹t c¸c Miªu tr¹i, vèn lµ n¬i tró ngù cña ng­êi Miªu, h·y ®i b¾t {{24}} tªn cÇm ®Çu nµy!	<dec><pan>{{Miªu LÜnh}} cã thÓ ®i tõ {{Ba L¨ng HuyÖn}}, ®i vÒ h­íng nam sÏ thÊy {{ Xi V­u §éng }}. H·y mau ®i hoµn thµnh nhiÖm vô.			LÇn nµy chóng ta ®· khiÕn h¾n t©m phôc khÈu phôc råi! §Ó xem thu ho¹ch ®­îc g× nµo! 	
NgÉu nhiªn_S¸t qu¸i_ Lang Bæng (Kho¶ Lang ®éng) 	<dec><pan>Nghe nãi gÇn ®©y Miªu LÜnh rÊt hçn lo¹n, cã mét ®¸m ¸c nh©n ®Æt sµo huyÖt t¹i {{ Xi V­u §éng }} x­ng lµ {{Lang Bæng}}, chóng ra søc chiÕm ®o¹t c¸c Miªu tr¹i, vèn lµ n¬i tró ngù cña ng­êi Miªu, h·y ®i b¾t {{24}} tªn cÇm ®Çu nµy!	<dec><pan>{{Miªu LÜnh}} cã thÓ ®i tõ {{Ba L¨ng HuyÖn}}, ®i vÒ h­íng nam sÏ thÊy {{ Xi V­u §éng }}. H·y mau ®i hoµn thµnh nhiÖm vô.			LÇn nµy chóng ta ®· khiÕn h¾n t©m phôc khÈu phôc råi! §Ó xem thu ho¹ch ®­îc g× nµo! 	
NgÉu nhiªn_S¸t qu¸i_¶nh C«n (Kho¶ Lang ®éng) 	<dec><pan>Nghe nãi gÇn ®©y Miªu LÜnh rÊt hçn lo¹n, cã mét ®¸m ¸c nh©n ®Æt sµo huyÖt t¹i {{ Xi V­u §éng }} x­ng lµ {{¶nh C«n}}, chóng ra søc chiÕm ®o¹t c¸c Miªu tr¹i, vèn lµ n¬i tró ngù cña ng­êi Miªu, h·y ®i b¾t {{24}} tªn cÇm ®Çu nµy!	<dec><pan>{{Miªu LÜnh}} cã thÓ ®i tõ {{Ba L¨ng HuyÖn}}, ®i vÒ h­íng nam sÏ thÊy {{ Xi V­u §éng }}. H·y mau ®i hoµn thµnh nhiÖm vô.			LÇn nµy chóng ta ®· khiÕn h¾n t©m phôc khÈu phôc råi! §Ó xem thu ho¹ch ®­îc g× nµo! 	
						
NgÉu nhiªn_S¸t qu¸i_§ao Kh¸ch (TiÕn Cóc ®éng) 	<dec><pan>GÇn ®©y ta nghe ®­îc mét th«ng tin rÊt thó vÞ, nghe nãi ë {{ TiÕn Cóc §éng }} cã mét ®¸m {{§ao Kh¸ch}} ®· c­íp ®i quµ sinh nhËt tõ D­¬ng Ch©u phñ göi ®Õn L©m An. HiÖn t¹i quan phñ ®ang truy n· {{24}} tªn cÇm ®Çu. H·y ®i b¾t chóng ®Ó lÊy l¹i mãn quµ bÞ c­íp.	<dec><pan>{{ TiÕn Cóc §éng }} n»m trªn ®Ønh {{Thôc C­¬ng S¬n}}, ®i tõ {{D­¬ng Ch©u}} h­íng vÒ phÝa T©y B¾c mét ®o¹n lµ cã thÓ ®Õn {{Thôc C­¬ng S¬n}}.			LÇn nµy chóng ta ®· khiÕn h¾n t©m phôc khÈu phôc råi! §Ó xem thu ho¹ch ®­îc g× nµo! 	
NgÉu nhiªn_S¸t qu¸i_§o¹t MÖnh Liªm (TiÕn Cóc ®éng) 	<dec><pan>GÇn ®©y ta nghe ®­îc mét th«ng tin rÊt thó vÞ, nghe nãi ë {{ TiÕn Cóc §éng }} cã mét ®¸m {{§o¹t MÖnh Liªm}} ®· c­íp ®i quµ sinh nhËt tõ D­¬ng Ch©u phñ göi ®Õn L©m An. HiÖn t¹i quan phñ ®ang truy n· {{24}} tªn cÇm ®Çu. H·y ®i b¾t chóng ®Ó lÊy l¹i mãn quµ bÞ c­íp.	<dec><pan>{{ TiÕn Cóc §éng }} n»m trªn ®Ønh {{Thôc C­¬ng S¬n}}, ®i tõ {{D­¬ng Ch©u}} h­íng vÒ phÝa T©y B¾c mét ®o¹n lµ cã thÓ ®Õn {{Thôc C­¬ng S¬n}}.			LÇn nµy chóng ta ®· khiÕn h¾n t©m phôc khÈu phôc råi! §Ó xem thu ho¹ch ®­îc g× nµo! 	
NgÉu nhiªn_S¸t qu¸i_ B¸o §èm (TiÕn Cóc ®éng) 	<dec><pan>GÇn ®©y ta nghe ®­îc mét th«ng tin rÊt thó vÞ, nghe nãi ë {{ TiÕn Cóc §éng }} cã mét ®¸m {{Hoa B¸o Tö}} ®· c­íp ®i quµ sinh nhËt tõ D­¬ng Ch©u phñ göi ®Õn L©m An. HiÖn t¹i quan phñ ®ang truy n· {{24}} tªn cÇm ®Çu. H·y ®i b¾t chóng ®Ó lÊy l¹i mãn quµ bÞ c­íp.	<dec><pan>{{ TiÕn Cóc §éng }} n»m trªn ®Ønh {{Thôc C­¬ng S¬n}}, ®i tõ {{D­¬ng Ch©u}} h­íng vÒ phÝa T©y B¾c mét ®o¹n lµ cã thÓ ®Õn {{Thôc C­¬ng S¬n}}.			LÇn nµy chóng ta ®· khiÕn h¾n t©m phôc khÈu phôc råi! §Ó xem thu ho¹ch ®­îc g× nµo! 	
						
NgÉu nhiªn_S¸t qu¸i_Voi (C¸n Viªn ®éng) 	<dec><pan>GÇn ®©y ta cã nghe mét th«ng tin thó vÞ, ë {{Hoµng Hµ Nguyªn §Çu}} - {{ Hiªn Viªn §éng }} cã ®¸m {{§¹i T­îng}} ®ét nhiªn b¹o lo¹n, tÊn c«ng vµo d©n lµnh. H·y ®i ®¸nh b¹i {{24}} con ®Ó cøu gióp d©n lµnh!	<dec><pan>{{ Hiªn Viªn §éng }} n»m gÇn {{Hoµng Hµ Nguyªn §Çu}}, tõ {{Long M«n TrÊn}} tiÕp tôc ®i vÒ h­íng t©y nam sÏ gÆp.			Kh«ng ngê vâ nghÖ cña chóng ta còng cã lóc h÷u dông! §Ó xem thu ho¹ch ®­îc g× nµo! 	
NgÉu nhiªn_S¸t qu¸i_Voi Hoµng Hµ (C¸n Viªn ®éng) 	<dec><pan>GÇn ®©y ta cã nghe mét th«ng tin thó vÞ, ë {{Hoµng Hµ Nguyªn §Çu}} - {{ Hoµng Hµ T­îng }} cã ®¸m {{§¹i T­îng}} ®ét nhiªn b¹o lo¹n, tÊn c«ng vµo d©n lµnh. H·y ®i ®¸nh b¹i {{24}} con ®Ó cøu gióp d©n lµnh!	<dec><pan>{{ Hiªn Viªn §éng }} n»m gÇn {{Hoµng Hµ Nguyªn §Çu}}, tõ {{Long M«n TrÊn}} tiÕp tôc ®i vÒ h­íng t©y nam sÏ gÆp.			Kh«ng ngê vâ nghÖ cña chóng ta còng cã lóc h÷u dông! §Ó xem thu ho¹ch ®­îc g× nµo! 	
