TaskName	TaskStart	TaskStarted	TaskNow	TaskEnd	TaskFinish	TaskInfo
NgÉu nhiªn_MËt §å_Thu thËp MËt tŞch kü n¨ng Thiªn NhÉn	<dec><pan>Nghe nãi gÇn ®©y §­êng gia b¶o chñ bŞ ng­êi ta h¹ ®éc h·m h¹i. Qu¶n gia ®­êng gia muèn nhê c¸c cao thñ vâ l©m t×m vÒ bİ bİp  m«n ph¸i {{Thiªn NhÉn}} lµ {{V©n Long Kİch M©u Ph¸p}}, {{L­u Tinh §ao Ph¸p}} vµ {{NhiÕp Hån Chó ThuËt}}.	<dec><pan>Kü n¨ng nµy chØ cã thÓ ®Õn t×m {{L©m An}} - {{Hµng rong}} vµ dïng {{tiÒn ®ång}} ®Ó mua mµ th«i.	<dec><npc>¸i chµ,ng­¬i ®Õn d©ng MËt tŞch µ? Ngµy nay kÎ quan t©m ®Õn vËn mÖnh cña Vâ L©m kh«ng nhiÒu,ng­¬i qu¶ lµ ng­êi cã t©m v× ®¹o nghÜa!	<dec><npc>Hay l¾m! §©y lµ nh÷ng mËt tŞch mµ ta khæ c«ng t×m kiÕm!	<dec><npc>Ta cã b¶o vËt ®©y!<sex>xem thö ®i! Cã thÓ gióp cho ng­¬i hµnh tÈu giang hå!	
NgÉu nhiªn_MËt §å_Thu thËpVâ §ang MËt tŞch kü n¨ng	<dec><pan>Nghe nãi gÇn ®©y §­êng gia b¶o chñ bŞ ng­êi ta h¹ ®éc h·m h¹i. Qu¶n gia ®­êng gia muèn nhê c¸c cao thñ vâ l©m t×m vÒ bİ bİp  m«n ph¸i {{Vâ §ang}} lµ {{Th¸i Cùc QuyÒn Phæ quyÓn 3}}, {{Th¸i Cùc KiÕm phæ quyÓn 2}}.	<dec><pan>Kü n¨ng nµy chØ cã thÓ ®Õn t×m {{L©m An}} - {{Hµng rong}} vµ dïng {{tiÒn ®ång}} ®Ó mua mµ th«i.	<dec><npc>¸i chµ,ng­¬i ®Õn d©ng MËt tŞch µ? Ngµy nay kÎ quan t©m ®Õn vËn mÖnh cña Vâ L©m kh«ng nhiÒu,ng­¬i qu¶ lµ ng­êi cã t©m v× ®¹o nghÜa!	<dec><npc>Hay l¾m! §©y lµ nh÷ng mËt tŞch mµ ta khæ c«ng t×m kiÕm!	<dec><npc>Ta cã b¶o vËt ®©y!<sex>xem thö ®i! Cã thÓ gióp cho ng­¬i hµnh tÈu giang hå!	
NgÉu nhiªn_MËt §å_Thu thËp MËt tŞch kü n¨ng C«n L«n	<dec><pan>Nghe nãi gÇn ®©y §­êng gia b¶o chñ bŞ ng­êi ta h¹ ®éc h·m h¹i. Qu¶n gia ®­êng gia muèn nhê c¸c cao thñ vâ l©m t×m vÒ bİ bİp  m«n ph¸i {{C«n Lu©n}} lµ {{Ngù Phong ThuËt}}, {{Ngù L«i ThuËt}} vµ {{Ngù T©m ThuËt}}.	<dec><pan>Kü n¨ng nµy chØ cã thÓ ®Õn t×m {{L©m An}} - {{Hµng rong}} vµ dïng {{tiÒn ®ång}} ®Ó mua mµ th«i.	<dec><npc>¸i chµ,ng­¬i ®Õn d©ng MËt tŞch µ? Ngµy nay kÎ quan t©m ®Õn vËn mÖnh cña Vâ L©m kh«ng nhiÒu,ng­¬i qu¶ lµ ng­êi cã t©m v× ®¹o nghÜa!	<dec><npc>Hay l¾m! §©y lµ nh÷ng mËt tŞch mµ ta khæ c«ng t×m kiÕm!	<dec><npc>Ta cã b¶o vËt ®©y!<sex>xem thö ®i! Cã thÓ gióp cho ng­¬i hµnh tÈu giang hå!	
NgÉu nhiªn_MËt §å_Thu thËp ThiÕu L©m MËt tŞch kü n¨ng	<dec><pan>Nghe nãi gÇn ®©y §­êng gia b¶o chñ bŞ ng­êi ta h¹ ®éc h·m h¹i. Qu¶n gia ®­êng gia muèn nhê c¸c cao thñ vâ l©m t×m vÒ bİ bİp  m«n ph¸i {{ThiÕu L©m}} lµ {{ThiÕu L©m QuyÒn Ph¸p quyÓn 2}}, {{ThiÕu L©m C«n Ph¸p quyÓn 2}}, vµ {{ThiÕu L©m §ao Ph¸p quyÓn 3}}.	<dec><pan>Kü n¨ng nµy chØ cã thÓ ®Õn t×m {{L©m An}} - {{Hµng rong}} vµ dïng {{tiÒn ®ång}} ®Ó mua mµ th«i.	<dec><npc>¸i chµ,ng­¬i ®Õn d©ng MËt tŞch µ? Ngµy nay kÎ quan t©m ®Õn vËn mÖnh cña Vâ L©m kh«ng nhiÒu,ng­¬i qu¶ lµ ng­êi cã t©m v× ®¹o nghÜa!	<dec><npc>Hay l¾m! §©y lµ nh÷ng mËt tŞch mµ ta khæ c«ng t×m kiÕm!	<dec><npc>Ta cã b¶o vËt ®©y!<sex>xem thö ®i! Cã thÓ gióp cho ng­¬i hµnh tÈu giang hå!	
NgÉu nhiªn_MËt §å_Thu thËp MËt tŞch kü n¨ng Thiªn V­¬ng	<dec><pan>Nghe nãi gÇn ®©y §­êng gia b¶o chñ bŞ ng­êi ta h¹ ®éc h·m h¹i. Qu¶n gia ®­êng gia muèn nhê c¸c cao thñ vâ l©m t×m vÒ bİ bİp  m«n ph¸i {{###}}##{{##?####}}#, #{{#######}}#, ##{{#######}}#####!	<dec><pan>Kü n¨ng nµy chØ cã thÓ ®Õn t×m {{L©m An}} - {{Hµng rong}} vµ dïng {{tiÒn ®ång}} ®Ó mua mµ th«i.	<dec><npc>¸i chµ,ng­¬i ®Õn d©ng MËt tŞch µ? Ngµy nay kÎ quan t©m ®Õn vËn mÖnh cña Vâ L©m kh«ng nhiÒu,ng­¬i qu¶ lµ ng­êi cã t©m v× ®¹o nghÜa!	<dec><npc>Hay l¾m! §©y lµ nh÷ng mËt tŞch mµ ta khæ c«ng t×m kiÕm!	<dec><npc>Ta cã b¶o vËt ®©y!<sex>xem thö ®i! Cã thÓ gióp cho ng­¬i hµnh tÈu giang hå!	
NgÉu nhiªn_MËt §å_Thu thËp mét bé Thiªn Hoµng 	<dec><pan>Nghe nãi trªn giang hå ®ang truyÒn miÖng vÒ bé gi¸p quı Thiªn Hoµng Long Khİ. Chñ nh©n cã thÓ ®Õn {{BiÖn Kinh}} gÆp {{TrÇn Tam B¶o}}, «ng ta ®ang muèn thu thËp bé gi¸p {{Thiªn Hoµng Long Khİ}} nµy, h·y ®Õn ®ã t×m hiÓu!	 <dec><pan>Thiªn Hoµng Long Khİ cã thÓ nhËn ®­îc sau  khi hoµn thµnh nhiÖm vô chİnh tuyÕn hoÆc giao dŞch	<dec><npc> B¹n ®· nh×n thÊy Thiªn Hoµng Long Khİ ch­a? Ta nghÜ ch¾c lµ ®Ñp léng lÉy!	<dec><npc>¤i! Thø mµ ta suèt ®êi t×m kiÕm ®· ë ®©y råi!	<dec><npc>Ta cã b¶o vËt ®©y!<sex>xem thö ®i! Cã thÓ gióp cho ng­¬i hµnh tÈu giang hå!	
NgÉu nhiªn_MËt §å_Thu thËp mét bé Kim Phong	<dec><pan>Bé gi¸p Kim Phong cã ®Æc ®iÓm lµ ph¸t ra mét hµo quang gièng nh­ vµng, rÊt nhÑ. Nghe ®ån {{BiÖn Kinh}} {{TrÇn Tam B¶o}} ®ang thu thËp {{Bé trang bŞ Kim Phong}} nµy, chóng ta h·y ®Õn ®ã xem sao!	<dec><pan>Kim Phong cã thÓ nhËn ®­îc sau  khi hoµn thµnh nhiÖm vô chİnh tuyÕn, phô tuyÕn hoÆc giao dŞch	<dec><npc> B¹n ®· nh×n thÊy Thiªn Hoµng Long Khİ ch­a? Ta nghÜ ch¾c lµ ®Ñp léng lÉy!	<dec><npc>¤i! Thø mµ ta suèt ®êi t×m kiÕm ®· ë ®©y råi!	<dec><npc>Ta cã b¶o vËt ®©y!<sex>xem thö ®i! Cã thÓ gióp cho ng­¬i hµnh tÈu giang hå!	
NgÉu nhiªn_MËt §å_Thu thËp Tµng B¶o §å To¸i PhiÕn 	<dec><pan>Nghe ®ån bé Thiªn Hoµng Long Khİ ®­îc t×m thÊy tõ b¶o tµng thÇn bİ, nÕu nh­ cã trong tay {{c¸c m¶nh toµn b¶o ®å}} th× cã thÓ t×m ra ®­îc long m¹ch cña Hoa H¹ tån t¹i tõ thêi nhµ TÇn. HiÖn t¹i {{L©m An}} - {{§inh Viªn Ngo¹i}} ®ang cÊt c«ng thu thËp chóng. H·y ®Õn ®ã xem t×nh h×nh thÕ nµo!	<dec><pan> Mçi lÇn hoµn thµnh 1 nhiÖm vô chİnh tuyÕn cã thÓ nhËn ®­îc 1 m¶nh b¶n ®å! ThËt lµ thø quı hiÕm!	<dec><npc>NÕu ng­¬i thu thËp ®ñ tÊm Tµng B¶o §å cho ta, ta sÏ ®Òn ®¸p xøng ®¸ng.	<dec><npc>¤i! Thø mµ ta suèt ®êi t×m kiÕm ®· ë ®©y råi!	<dec><npc>Ta cã b¶o vËt ®©y!<sex>xem thö ®i! Cã thÓ gióp cho ng­¬i hµnh tÈu giang hå!	
NgÉu nhiªn_MËt §å_Thu thËp HuyÒn ThiÕt KiÕm	<dec><pan>ChÕ t¹o thÇn binh lîi khİ chİnh lµ tuyÖt häc cña Mé Dung BÊt KŞ, tuy nhiªn ®iÒu lµm «ng ®¸ng tiÕc lµ chiÕc chñy thñ bŞ thİch kh¸ch ®¸nh c¾p chİnh lµ c¸i h¾n dïng ®Ó hµnh thİch Nh¹c Vâ Méc. H¾n cã ng­êi ®Ö tö lµ {{D­¬ng Ch©u}} - {{Thî rÌn}}. §Ó bï ®¾p cho lçi lÇm n¨m x­a, ng­êi thî rÌn nµy hi väng sÏ chÕ t¹o ®­îc nhÒu binh khİ ®Ó tÆng cho c¸c chİ sü, v× thÕ y ph¶i thu thËp c¸c thanh kiÕm ®Ó rÌn ®óc l¹i, cÇn ®ñ  ngò hµnh {{Kim, méc thñy, háa, thæ}} - {{HuyÒn thiÕt kiÕm}}, chóng ta h·y ®Õn xem t×nh h×nh thÕ nµo!	<dec><pan> HuyÒn ThiÕt KiÕm cã thÓ t×m ë Sa M¹c hoÆc Tr­êng B¹ch s¬n.	<dec><npc>V× muèn chÕ t¹o cöu khÈu tr­êng kiÕm ®Ó tÆng cho c¸c vâ l©m chİ sü, t¹i h¹ ®ang thu thËp ®ñ c¸c hÖ {{Kim, méc, thñy, háa, thæ}} cña {{HuyÒn ThiÕt KiÕm}}, vŞ <sex> nµy ch¼ng biÕt cã thÓ gióp ta hay kh«ng?	<dec><npc> <sex>¤i! Vui qu¸! HuyÒn ThiÕt KiÕm cã ®ñ råi! B¶o kiÕm cña ta nhÊt ®Şnh hoµn thµnh!	<dec><npc>§©y lµ phÇn th­ëng s­ phô tri ©n! Xin nhËn lÊy!	
NgÉu nhiªn_MËt §å_Thu thËp §¹i Phong §ao	<dec><pan>ChÕ t¹o thÇn binh lîi khİ chİnh lµ tuyÖt häc cña Mé Dung BÊt KŞ, tuy nhiªn ®iÒu lµm «ng ®¸ng tiÕc lµ chiÕc chñy thñ bŞ thİch kh¸ch ®¸nh c¾p chİnh lµ c¸i h¾n dïng ®Ó hµnh thİch Nh¹c Vâ Méc. H¾n cã ng­êi ®Ö tö lµ {{D­¬ng Ch©u}} - {{Thî rÌn}}. §Ó bï ®¾p cho lçi lÇm n¨m x­a, ng­êi thî rÌn nµy hi väng sÏ chÕ t¹o ®­îc nhÒu binh khİ ®Ó tÆng cho c¸c chİ sü, v× thÕ y ph¶i thu thËp c¸c thanh kiÕm ®Ó rÌn ®óc l¹i, cÇn ®ñ  ngò hµnh {{Kim, méc thñy, háa, thæ}} - {{§¹i Phong §ao}}, chóng ta h·y ®Õn xem t×nh h×nh thÕ nµo!	<dec><pan> §¹i Phong §ao cã thÓ t×m ë Sa M¹c hoÆc Tr­êng B¹ch s¬n.	<dec><npc>V× muèn chÕ t¹o cöu khÈu tr­êng kiÕm ®Ó tÆng cho c¸c vâ l©m chİ sü, t¹i h¹ ®ang thu thËp ®ñ c¸c hÖ {{Kim, méc, thñy, háa, thæ}} cña {{§¹i Phong §ao}}, vŞ <sex> nµy ch¼ng biÕt cã thÓ gióp ta hay kh«ng?	<dec><npc> <sex> ¤i! Vui qu¸! §¹i Phong §ao cã ®ñ råi! B¶o ®ao cña ta nhÊt ®Şnh hoµn thµnh!	<dec><npc>§©y lµ phÇn th­ëng s­ phô tri ©n! Xin nhËn lÊy!	
NgÉu nhiªn_MËt §å_Thu thËp Kim C« Bæng	<dec><pan>ChÕ t¹o thÇn binh lîi khİ chİnh lµ tuyÖt häc cña Mé Dung BÊt KŞ, tuy nhiªn ®iÒu lµm «ng ®¸ng tiÕc lµ chiÕc chñy thñ bŞ thİch kh¸ch ®¸nh c¾p chİnh lµ c¸i h¾n dïng ®Ó hµnh thİch Nh¹c Vâ Méc. H¾n cã ng­êi ®Ö tö lµ {{D­¬ng Ch©u}} - {{Thî rÌn}}. §Ó bï ®¾p cho lçi lÇm n¨m x­a, ng­êi thî rÌn nµy hi väng sÏ chÕ t¹o ®­îc nhÒu binh khİ ®Ó tÆng cho c¸c chİ sü, v× thÕ y ph¶i thu thËp c¸c thanh kiÕm ®Ó rÌn ®óc l¹i, cÇn ®ñ  ngò hµnh {{Kim, méc thñy, háa, thæ}} - {{Kim C« Bæng}}, chóng ta h·y ®Õn xem t×nh h×nh thÕ nµo!	<dec><pan> Kim C« Bæng cã thÓ t×m ë Sa M¹c hoÆc Tr­êng B¹ch s¬n.	<dec><npc>V× muèn chÕ t¹o cöu khÈu tr­êng kiÕm ®Ó tÆng cho c¸c vâ l©m chİ sü, t¹i h¹ ®ang thu thËp ®ñ c¸c hÖ {{Kim, méc, thñy, háa, thæ}} cña {{Kim C« Bæng}}, vŞ <sex> nµy ch¼ng biÕt cã thÓ gióp ta hay kh«ng?	<dec><npc> <sex> ¤i! Vui qu¸! Kim C« Bæng cã ®ñ råi! B¶o c«n cña ta nhÊt ®Şnh hoµn thµnh!	<dec><npc>§©y lµ phÇn th­ëng s­ phô tri ©n! Xin nhËn lÊy!	
NgÉu nhiªn_MËt §å_Thu thËp Ph¸ Thiªn Kİch	<dec><pan>ChÕ t¹o thÇn binh lîi khİ chİnh lµ tuyÖt häc cña Mé Dung BÊt KŞ, tuy nhiªn ®iÒu lµm «ng ®¸ng tiÕc lµ chiÕc chñy thñ bŞ thİch kh¸ch ®¸nh c¾p chİnh lµ c¸i h¾n dïng ®Ó hµnh thİch Nh¹c Vâ Méc. H¾n cã ng­êi ®Ö tö lµ {{D­¬ng Ch©u}} - {{Thî rÌn}}. §Ó bï ®¾p cho lçi lÇm n¨m x­a, ng­êi thî rÌn nµy hi väng sÏ chÕ t¹o ®­îc nhÒu binh khİ ®Ó tÆng cho c¸c chİ sü, v× thÕ y ph¶i thu thËp c¸c thanh kiÕm ®Ó rÌn ®óc l¹i, cÇn ®ñ  ngò hµnh {{Kim, méc thñy, háa, thæ}} - {{Ph¸ Thiªn Kİch}}, chóng ta h·y ®Õn xem t×nh h×nh thÕ nµo!	<dec><pan> Ph¸ Thiªn Kİch cã thÓ t×m ë Sa M¹c hoÆc Tr­êng B¹ch s¬n.	<dec><npc>V× muèn chÕ t¹o cöu khÈu tr­êng kiÕm ®Ó tÆng cho c¸c vâ l©m chİ sü, t¹i h¹ ®ang thu thËp ®ñ c¸c hÖ {{Kim, méc, thñy, háa, thæ}} cña {{Ph¸ Thiªn Kİch}}, vŞ <sex> nµy ch¼ng biÕt cã thÓ gióp ta hay kh«ng?	<dec><npc> <sex> ¤i! Vui qu¸! Ph¸ Thiªn Kİch cã ®ñ råi! B¶o khİ cña ta nhÊt ®Şnh hoµn thµnh!	<dec><npc>§©y lµ phÇn th­ëng s­ phô tri ©n! Xin nhËn lÊy!	
