EqName	SwordShieldWFreeStand	ShieldSwordWFreeStand	FreeStand1	FreeStand2	FreeStand3	MeleeWStand	RangeWStand	DoubleWStand	SwordShieldWStand	ShieldSwordWStand	GuqinWStand1	GuqinWStand2	FreeWalk	NormalWalk	MeleeWWalk	RangeWWalk	DoubleWWalk	SwordShieldWWalk	ShieldSwordWWalk	GuqinWWalk	FreeRun	NormalRun	MeleeWRun	RangeWRun	DoubleWRun	SwordShieldWRun	ShieldSwordWRun	GuqinWRun	FreeWound	MeleeWWound	RangeWWound	DoubleWWound	SwordShieldWWound	ShieldSwordWWound	GuqinWWound	FreeDie	MeleeWDie	RangeWDie	DoubleWDie	SwordShieldWDie	ShieldSwordWDie	GuqinWDie	FreeAttack	MeleeWPuncture	MeleeWCut	RangeWPuncture	RangeWCut	DoubleWPull	DoubleWPound	SwordShieldWChop	SwordShieldWCut	ShieldSwordWChop	ShieldSwordWCut	GuqinWPuncture	GuqinWCut	DartThrow	FreeMagic	MeleeWMagic	RangeWMagic	DoubleWMagic	SwordShieldWMagic	ShieldSwordWMagic	GuqinWMagic	SitDown	Jump	RideStand	RideWalk	RideRun	RideCut	RidePuncture	RideMagic	RideWound	RideDie	RideStand1	RideStand2	ChangeColor
Ë«²øÊÖ-»ð			MA_RF_001_ST01.spr	MA_RF_001_ST02.spr	MA_RF_001_ST03.spr	MA_RF_000_ST04.spr	MA_RF_000_ST05.spr	MA_RF_000_ST06.spr					MA_RF_001_WK01.spr	MA_RF_001_WK01.spr	MA_RF_000_WK02.spr	MA_RF_000_WK03.spr	MA_RF_000_WK04.spr				MA_RF_001_RN01.spr	MA_RF_001_RN01.spr	MA_RF_000_RN02.spr	MA_RF_000_RN03.spr	MA_RF_000_RN04.spr				MA_RF_001_IJ01.spr	MA_RF_000_IJ02.spr	MA_RF_000_IJ03.spr	MA_RF_000_IJ04.spr				MA_RF_001_DE01.spr	MA_RF_000_DE02.spr	MA_RF_000_DE03.spr	MA_RF_000_DE04.spr				MA_RF_001_AT01.spr	MA_RF_000_AT02.spr	MA_RF_000_AT03.spr	MA_RF_000_AT04.spr	MA_RF_000_AT05.spr	MA_RF_000_AT06.spr	MA_RF_000_AT07.spr							MA_RF_001_MG01.spr	MA_RF_001_MG02.spr	MA_RF_000_MG03.spr	MA_RF_000_MG04.spr	MA_RF_000_MG05.spr				MA_RF_001_ZZ01.spr	MA_RF_001_JP01.spr	MA_RF_008_RD01.spr	MA_RF_008_HW01.spr	MA_RF_008_HR01.spr	MA_RF_008_HA01.spr	MA_RF_008_HA02.spr	MA_RF_008_HM01.spr	MA_RF_008_HI01.spr	MA_RF_008_HD01.spr	MA_RF_008_RD01.spr	MA_RF_008_RD01.spr	0xff0000
³¤¹÷-½ð¹÷			MA_RF_004_ST01.spr	MA_RF_004_ST02.spr	MA_RF_000_ST03.spr	MA_RF_000_ST04.spr	MA_RF_004_ST05.spr	MA_RF_004_ST06.spr					MA_RF_000_WK01.spr	MA_RF_000_WK01.spr	MA_RF_000_WK02.spr	MA_RF_004_WK03.spr	MA_RF_000_WK04.spr				MA_RF_000_RN01.spr	MA_RF_000_RN01.spr	MA_RF_000_RN02.spr	MA_RF_004_RN03.spr	MA_RF_004_RN04.spr				MA_RF_000_IJ01.spr	MA_RF_004_IJ02.spr	MA_RF_004_IJ03.spr	MA_RF_004_IJ04.spr				MA_RF_000_DE01.spr	MA_RF_004_DE02.spr	MA_RF_004_DE03.spr	MA_RF_004_DE04.spr				MA_RF_000_AT01.spr	MA_RF_004_AT02.spr	MA_RF_004_AT03.spr	MA_RF_004_AT04.spr	MA_RF_004_AT05.spr	MA_RF_004_AT06.spr	MA_RF_004_AT07.spr							MA_RF_004_MG01.spr	MA_RF_000_MG02.spr	MA_RF_004_MG03.spr	MA_RF_004_MG04.spr	MA_RF_004_MG05.spr				MA_RF_000_ZZ01.spr	MA_RF_000_JP01.spr	MA_RF_011_RD01.spr	MA_RF_011_HW01.spr	MA_RF_011_HR01.spr	MA_RF_011_HA01.spr	MA_RF_011_HA02.spr	MA_RF_011_HM01.spr	MA_RF_011_HI01.spr	MA_RF_011_HD01.spr	MA_RF_011_RD01.spr	MA_RF_011_RD01.spr	0x808000
³¤¹÷-»ð¹÷			MA_RF_004_ST01.spr	MA_RF_004_ST02.spr	MA_RF_000_ST03.spr	MA_RF_000_ST04.spr	MA_RF_004_ST05.spr	MA_RF_004_ST06.spr					MA_RF_000_WK01.spr	MA_RF_000_WK01.spr	MA_RF_000_WK02.spr	MA_RF_004_WK03.spr	MA_RF_000_WK04.spr				MA_RF_000_RN01.spr	MA_RF_000_RN01.spr	MA_RF_000_RN02.spr	MA_RF_004_RN03.spr	MA_RF_004_RN04.spr				MA_RF_000_IJ01.spr	MA_RF_004_IJ02.spr	MA_RF_004_IJ03.spr	MA_RF_004_IJ04.spr				MA_RF_000_DE01.spr	MA_RF_004_DE02.spr	MA_RF_004_DE03.spr	MA_RF_004_DE04.spr				MA_RF_000_AT01.spr	MA_RF_004_AT02.spr	MA_RF_004_AT03.spr	MA_RF_004_AT04.spr	MA_RF_004_AT05.spr	MA_RF_004_AT06.spr	MA_RF_004_AT07.spr							MA_RF_004_MG01.spr	MA_RF_000_MG02.spr	MA_RF_004_MG03.spr	MA_RF_004_MG04.spr	MA_RF_004_MG05.spr				MA_RF_000_ZZ01.spr	MA_RF_000_JP01.spr	MA_RF_011_RD01.spr	MA_RF_011_HW01.spr	MA_RF_011_HR01.spr	MA_RF_011_HA01.spr	MA_RF_011_HA02.spr	MA_RF_011_HM01.spr	MA_RF_011_HI01.spr	MA_RF_011_HD01.spr	MA_RF_011_RD01.spr	MA_RF_011_RD01.spr	0xff0000
³¤Ç¹-½ðÇ¹			MA_RF_004_ST01.spr	MA_RF_004_ST02.spr	MA_RF_004_ST03.spr	MA_RF_004_ST04.spr	MA_RF_004_ST05.spr	MA_RF_004_ST06.spr					MA_RF_004_WK01.spr	MA_RF_004_WK01.spr	MA_RF_004_WK02.spr	MA_RF_004_WK03.spr	MA_RF_004_WK04.spr				MA_RF_004_RN01.spr	MA_RF_004_RN01.spr	MA_RF_004_RN02.spr	MA_RF_004_RN03.spr	MA_RF_004_RN04.spr				MA_RF_004_IJ01.spr	MA_RF_004_IJ02.spr	MA_RF_004_IJ03.spr	MA_RF_004_IJ04.spr				MA_RF_004_DE01.spr	MA_RF_004_DE02.spr	MA_RF_004_DE03.spr	MA_RF_004_DE04.spr				MA_RF_004_AT01.spr	MA_RF_004_AT02.spr	MA_RF_004_AT03.spr	MA_RF_004_AT04.spr	MA_RF_004_AT05.spr	MA_RF_004_AT06.spr	MA_RF_004_AT07.spr							MA_RF_004_MG01.spr	MA_RF_004_MG02.spr	MA_RF_004_MG03.spr	MA_RF_004_MG04.spr	MA_RF_004_MG05.spr				MA_RF_004_ZZ01.spr	MA_RF_004_JP01.spr	MA_RF_011_RD01.spr	MA_RF_011_HW01.spr	MA_RF_011_HR01.spr	MA_RF_011_HA01.spr	MA_RF_011_HA02.spr	MA_RF_011_HM01.spr	MA_RF_011_HI01.spr	MA_RF_011_HD01.spr	MA_RF_011_RD01.spr	MA_RF_011_RD01.spr	0x808004
³¤Ç¹-»ðÇ¹			MA_RF_004_ST01.spr	MA_RF_004_ST02.spr	MA_RF_000_ST03.spr	MA_RF_000_ST04.spr	MA_RF_004_ST05.spr	MA_RF_004_ST06.spr					MA_RF_000_WK01.spr	MA_RF_000_WK01.spr	MA_RF_000_WK02.spr	MA_RF_004_WK03.spr	MA_RF_000_WK04.spr				MA_RF_000_RN01.spr	MA_RF_000_RN01.spr	MA_RF_000_RN02.spr	MA_RF_004_RN03.spr	MA_RF_004_RN04.spr				MA_RF_000_IJ01.spr	MA_RF_004_IJ02.spr	MA_RF_004_IJ03.spr	MA_RF_004_IJ04.spr				MA_RF_000_DE01.spr	MA_RF_004_DE02.spr	MA_RF_004_DE03.spr	MA_RF_004_DE04.spr				MA_RF_000_AT01.spr	MA_RF_004_AT02.spr	MA_RF_004_AT03.spr	MA_RF_004_AT04.spr	MA_RF_004_AT05.spr	MA_RF_004_AT06.spr	MA_RF_004_AT07.spr							MA_RF_004_MG01.spr	MA_RF_000_MG02.spr	MA_RF_004_MG03.spr	MA_RF_004_MG04.spr	MA_RF_004_MG05.spr				MA_RF_000_ZZ01.spr	MA_RF_000_JP01.spr	MA_RF_011_RD01.spr	MA_RF_011_HW01.spr	MA_RF_011_HR01.spr	MA_RF_011_HA01.spr	MA_RF_011_HA02.spr	MA_RF_011_HM01.spr	MA_RF_011_HI01.spr	MA_RF_011_HD01.spr	MA_RF_011_RD01.spr	MA_RF_011_RD01.spr	0xff0000
µ¥ÊÖµ¶-½ð			MA_RF_003_ST01.spr	MA_RF_003_ST02.spr	MA_RF_000_ST03.spr	MA_RF_003_ST04.spr	MA_RF_000_ST05.spr	MA_RF_000_ST06.spr					MA_RF_000_WK01.spr	MA_RF_000_WK01.spr	MA_RF_003_WK02.spr	MA_RF_000_WK03.spr	MA_RF_000_WK04.spr				MA_RF_000_RN01.spr	MA_RF_000_RN01.spr	MA_RF_003_RN02.spr	MA_RF_003_RN03.spr	MA_RF_003_RN04.spr				MA_RF_000_IJ01.spr	MA_RF_003_IJ02.spr	MA_RF_003_IJ03.spr	MA_RF_003_IJ04.spr				MA_RF_000_DE01.spr	MA_RF_003_DE02.spr	MA_RF_003_DE03.spr	MA_RF_003_DE04.spr				MA_RF_000_AT01.spr	MA_RF_003_AT02.spr	MA_RF_003_AT03.spr	MA_RF_003_AT04.spr	MA_RF_003_AT05.spr	MA_RF_003_AT06.spr	MA_RF_003_AT07.spr							MA_RF_003_MG01.spr	MA_RF_000_MG02.spr	MA_RF_003_MG03.spr	MA_RF_003_MG04.spr	MA_RF_003_MG05.spr				MA_RF_000_ZZ01.spr	MA_RF_000_JP01.spr	MA_RF_010_RD01.spr	MA_RF_010_HW01.spr	MA_RF_010_HR01.spr	MA_RF_010_HA01.spr	MA_RF_010_HA02.spr	MA_RF_010_HM01.spr	MA_RF_010_HI01.spr	MA_RF_010_HD01.spr	MA_RF_010_RD01.spr	MA_RF_010_RD01.spr	0x808000
µ¥ÊÖµ¶-Ä¾			MA_RF_003_ST01.spr	MA_RF_003_ST02.spr	MA_RF_000_ST03.spr	MA_RF_003_ST04.spr	MA_RF_000_ST05.spr	MA_RF_000_ST06.spr					MA_RF_000_WK01.spr	MA_RF_000_WK01.spr	MA_RF_003_WK02.spr	MA_RF_000_WK03.spr	MA_RF_000_WK04.spr				MA_RF_000_RN01.spr	MA_RF_000_RN01.spr	MA_RF_003_RN02.spr	MA_RF_003_RN03.spr	MA_RF_003_RN04.spr				MA_RF_000_IJ01.spr	MA_RF_003_IJ02.spr	MA_RF_003_IJ03.spr	MA_RF_003_IJ04.spr				MA_RF_000_DE01.spr	MA_RF_003_DE02.spr	MA_RF_003_DE03.spr	MA_RF_003_DE04.spr				MA_RF_000_AT01.spr	MA_RF_003_AT02.spr	MA_RF_003_AT03.spr	MA_RF_003_AT04.spr	MA_RF_003_AT05.spr	MA_RF_003_AT06.spr	MA_RF_003_AT07.spr							MA_RF_003_MG01.spr	MA_RF_000_MG02.spr	MA_RF_003_MG03.spr	MA_RF_003_MG04.spr	MA_RF_003_MG05.spr				MA_RF_000_ZZ01.spr	MA_RF_000_JP01.spr	MA_RF_010_RD01.spr	MA_RF_010_HW01.spr	MA_RF_010_HR01.spr	MA_RF_010_HA01.spr	MA_RF_010_HA02.spr	MA_RF_010_HM01.spr	MA_RF_010_HI01.spr	MA_RF_010_HD01.spr	MA_RF_010_RD01.spr	MA_RF_010_RD01.spr	0x00ff00
µ¥ÊÖµ¶-Ë®			MA_RF_003_ST01.spr	MA_RF_003_ST02.spr	MA_RF_000_ST03.spr	MA_RF_003_ST04.spr	MA_RF_000_ST05.spr	MA_RF_000_ST06.spr					MA_RF_000_WK01.spr	MA_RF_000_WK01.spr	MA_RF_003_WK02.spr	MA_RF_000_WK03.spr	MA_RF_000_WK04.spr				MA_RF_000_RN01.spr	MA_RF_000_RN01.spr	MA_RF_003_RN02.spr	MA_RF_003_RN03.spr	MA_RF_003_RN04.spr				MA_RF_000_IJ01.spr	MA_RF_003_IJ02.spr	MA_RF_003_IJ03.spr	MA_RF_003_IJ04.spr				MA_RF_000_DE01.spr	MA_RF_003_DE02.spr	MA_RF_003_DE03.spr	MA_RF_003_DE04.spr				MA_RF_000_AT01.spr	MA_RF_003_AT02.spr	MA_RF_003_AT03.spr	MA_RF_003_AT04.spr	MA_RF_003_AT05.spr	MA_RF_003_AT06.spr	MA_RF_003_AT07.spr							MA_RF_003_MG01.spr	MA_RF_000_MG02.spr	MA_RF_003_MG03.spr	MA_RF_003_MG04.spr	MA_RF_003_MG05.spr				MA_RF_000_ZZ01.spr	MA_RF_000_JP01.spr	MA_RF_010_RD01.spr	MA_RF_010_HW01.spr	MA_RF_010_HR01.spr	MA_RF_010_HA01.spr	MA_RF_010_HA02.spr	MA_RF_010_HM01.spr	MA_RF_010_HI01.spr	MA_RF_010_HD01.spr	MA_RF_010_RD01.spr	MA_RF_010_RD01.spr	0x0080ff
µ¥ÊÖ»ðµ¶-»ð			MA_RF_003_ST01.spr	MA_RF_003_ST02.spr	MA_RF_000_ST03.spr	MA_RF_003_ST04.spr	MA_RF_000_ST05.spr	MA_RF_000_ST06.spr					MA_RF_000_WK01.spr	MA_RF_000_WK01.spr	MA_RF_003_WK02.spr	MA_RF_000_WK03.spr	MA_RF_000_WK04.spr				MA_RF_000_RN01.spr	MA_RF_000_RN01.spr	MA_RF_003_RN02.spr	MA_RF_003_RN03.spr	MA_RF_003_RN04.spr				MA_RF_000_IJ01.spr	MA_RF_003_IJ02.spr	MA_RF_003_IJ03.spr	MA_RF_003_IJ04.spr				MA_RF_000_DE01.spr	MA_RF_003_DE02.spr	MA_RF_003_DE03.spr	MA_RF_003_DE04.spr				MA_RF_000_AT01.spr	MA_RF_003_AT02.spr	MA_RF_003_AT03.spr	MA_RF_003_AT04.spr	MA_RF_003_AT05.spr	MA_RF_003_AT06.spr	MA_RF_003_AT07.spr							MA_RF_003_MG01.spr	MA_RF_000_MG02.spr	MA_RF_003_MG03.spr	MA_RF_003_MG04.spr	MA_RF_003_MG05.spr				MA_RF_000_ZZ01.spr	MA_RF_000_JP01.spr	MA_RF_010_RD01.spr	MA_RF_010_HW01.spr	MA_RF_010_HR01.spr	MA_RF_010_HA01.spr	MA_RF_010_HA02.spr	MA_RF_010_HM01.spr	MA_RF_010_HI01.spr	MA_RF_010_HD01.spr	MA_RF_010_RD01.spr	MA_RF_010_RD01.spr	0xff0000
µ¥ÊÖµ¶-À×			MA_RF_003_ST01.spr	MA_RF_003_ST02.spr	MA_RF_000_ST03.spr	MA_RF_003_ST04.spr	MA_RF_000_ST05.spr	MA_RF_000_ST06.spr					MA_RF_000_WK01.spr	MA_RF_000_WK01.spr	MA_RF_003_WK02.spr	MA_RF_000_WK03.spr	MA_RF_000_WK04.spr				MA_RF_000_RN01.spr	MA_RF_000_RN01.spr	MA_RF_003_RN02.spr	MA_RF_003_RN03.spr	MA_RF_003_RN04.spr				MA_RF_000_IJ01.spr	MA_RF_003_IJ02.spr	MA_RF_003_IJ03.spr	MA_RF_003_IJ04.spr				MA_RF_000_DE01.spr	MA_RF_003_DE02.spr	MA_RF_003_DE03.spr	MA_RF_003_DE04.spr				MA_RF_000_AT01.spr	MA_RF_003_AT02.spr	MA_RF_003_AT03.spr	MA_RF_003_AT04.spr	MA_RF_003_AT05.spr	MA_RF_003_AT06.spr	MA_RF_003_AT07.spr							MA_RF_003_MG01.spr	MA_RF_000_MG02.spr	MA_RF_003_MG03.spr	MA_RF_003_MG04.spr	MA_RF_003_MG05.spr				MA_RF_000_ZZ01.spr	MA_RF_000_JP01.spr	MA_RF_010_RD01.spr	MA_RF_010_HW01.spr	MA_RF_010_HR01.spr	MA_RF_010_HA01.spr	MA_RF_010_HA02.spr	MA_RF_010_HM01.spr	MA_RF_010_HI01.spr	MA_RF_010_HD01.spr	MA_RF_010_RD01.spr	MA_RF_010_RD01.spr	0x8000ff
µ¥ÊÖ½£-Ë®			MA_RF_002_ST01.spr	MA_RF_002_ST02.spr	MA_RF_000_ST03.spr	MA_RF_002_ST04.spr	MA_RF_000_ST05.spr	MA_RF_000_ST06.spr					MA_RF_000_WK01.spr	MA_RF_000_WK01.spr	MA_RF_002_WK02.spr	MA_RF_000_WK03.spr	MA_RF_000_WK04.spr				MA_RF_000_RN01.spr	MA_RF_000_RN01.spr	MA_RF_002_RN02.spr	MA_RF_002_RN03.spr	MA_RF_002_RN04.spr				MA_RF_000_IJ01.spr	MA_RF_002_IJ02.spr	MA_RF_002_IJ03.spr	MA_RF_002_IJ04.spr				MA_RF_000_DE01.spr	MA_RF_002_DE02.spr	MA_RF_002_DE03.spr	MA_RF_002_DE04.spr				MA_RF_000_AT01.spr	MA_RF_002_AT02.spr	MA_RF_002_AT03.spr	MA_RF_002_AT04.spr	MA_RF_002_AT05.spr	MA_RF_002_AT06.spr	MA_RF_002_AT07.spr							MA_RF_002_MG01.spr	MA_RF_000_MG02.spr	MA_RF_002_MG03.spr	MA_RF_002_MG04.spr	MA_RF_002_MG05.spr				MA_RF_000_ZZ01.spr	MA_RF_000_JP01.spr	MA_RF_009_RD01.spr	MA_RF_009_HW01.spr	MA_RF_009_HR01.spr	MA_RF_009_HA01.spr	MA_RF_009_HA02.spr	MA_RF_009_HM01.spr	MA_RF_009_HI01.spr	MA_RF_009_HD01.spr	MA_RF_009_RD01.spr	MA_RF_009_RD01.spr	0x0080ff
µ¥ÊÖ½£-À×			MA_RF_002_ST01.spr	MA_RF_002_ST02.spr	MA_RF_000_ST03.spr	MA_RF_002_ST04.spr	MA_RF_000_ST05.spr	MA_RF_000_ST06.spr					MA_RF_000_WK01.spr	MA_RF_000_WK01.spr	MA_RF_002_WK02.spr	MA_RF_000_WK03.spr	MA_RF_000_WK04.spr				MA_RF_000_RN01.spr	MA_RF_000_RN01.spr	MA_RF_002_RN02.spr	MA_RF_002_RN03.spr	MA_RF_002_RN04.spr				MA_RF_000_IJ01.spr	MA_RF_002_IJ02.spr	MA_RF_002_IJ03.spr	MA_RF_002_IJ04.spr				MA_RF_000_DE01.spr	MA_RF_002_DE02.spr	MA_RF_002_DE03.spr	MA_RF_002_DE04.spr				MA_RF_000_AT01.spr	MA_RF_002_AT02.spr	MA_RF_002_AT03.spr	MA_RF_002_AT04.spr	MA_RF_002_AT05.spr	MA_RF_002_AT06.spr	MA_RF_002_AT07.spr							MA_RF_002_MG01.spr	MA_RF_000_MG02.spr	MA_RF_002_MG03.spr	MA_RF_002_MG04.spr	MA_RF_002_MG05.spr				MA_RF_000_ZZ01.spr	MA_RF_000_JP01.spr	MA_RF_009_RD01.spr	MA_RF_009_HW01.spr	MA_RF_009_HR01.spr	MA_RF_009_HA01.spr	MA_RF_009_HA02.spr	MA_RF_009_HM01.spr	MA_RF_009_HI01.spr	MA_RF_009_HD01.spr	MA_RF_009_RD01.spr	MA_RF_009_RD01.spr	0x8000ff
µ¥ÊÖÀ×½£-À×			MA_RF_002_ST01.spr	MA_RF_002_ST02.spr	MA_RF_000_ST03.spr	MA_RF_002_ST04.spr	MA_RF_000_ST05.spr	MA_RF_000_ST06.spr					MA_RF_000_WK01.spr	MA_RF_000_WK01.spr	MA_RF_002_WK02.spr	MA_RF_000_WK03.spr	MA_RF_000_WK04.spr				MA_RF_000_RN01.spr	MA_RF_000_RN01.spr	MA_RF_002_RN02.spr	MA_RF_002_RN03.spr	MA_RF_002_RN04.spr				MA_RF_000_IJ01.spr	MA_RF_002_IJ02.spr	MA_RF_002_IJ03.spr	MA_RF_002_IJ04.spr				MA_RF_000_DE01.spr	MA_RF_002_DE02.spr	MA_RF_002_DE03.spr	MA_RF_002_DE04.spr				MA_RF_000_AT01.spr	MA_RF_002_AT02.spr	MA_RF_002_AT03.spr	MA_RF_002_AT04.spr	MA_RF_002_AT05.spr	MA_RF_002_AT06.spr	MA_RF_002_AT07.spr							MA_RF_002_MG01.spr	MA_RF_000_MG02.spr	MA_RF_002_MG03.spr	MA_RF_002_MG04.spr	MA_RF_002_MG05.spr				MA_RF_000_ZZ01.spr	MA_RF_000_JP01.spr	MA_RF_009_RD01.spr	MA_RF_009_HW01.spr	MA_RF_009_HR01.spr	MA_RF_009_HA01.spr	MA_RF_009_HA02.spr	MA_RF_009_HM01.spr	MA_RF_009_HI01.spr	MA_RF_009_HD01.spr	MA_RF_009_RD01.spr	MA_RF_009_RD01.spr	0x8000ff
