NpcAction	FightStand	NormalStand1	NormalStand2	FightWalk	NormalWalk	FightRun	NormalRun	Wound	Die	Attack1	Attack2	Magic	SitDown	JunpFly
enemy023	enemy023_st.spr	enemy023_st.spr	enemy023_pst.spr	enemy023_wlk.spr	enemy023_wlk.spr	enemy023_wlk.spr	enemy023_wlk.spr	enemy023_bat.spr	enemy023_die.spr	enemy023_at.spr	enemy023_at.spr	enemy023_at.spr	enemy023_st.spr	enemy023_wlk.spr
enemy024	enemy024_st.spr	enemy024_st.spr	enemy024_pst.spr	enemy024_wlk.spr	enemy024_wlk.spr	enemy024_wlk.spr	enemy024_wlk.spr	enemy024_bat.spr	enemy024_die.spr	enemy024_at.spr	enemy024_at.spr	enemy024_at.spr	enemy024_st.spr	enemy024_wlk.spr
enemy026	enemy026_st.spr	enemy026_st.spr	enemy026_pst.spr	enemy026_wlk.spr	enemy026_wlk.spr	enemy026_wlk.spr	enemy026_wlk.spr	enemy026_bat.spr	enemy026_die.spr	enemy026_at.spr	enemy026_at.spr	enemy026_at.spr	enemy026_st.spr	enemy026_wlk.spr
enemy028	enemy028_st.spr	enemy028_st.spr	enemy028_pst.spr	enemy028_wlk.spr	enemy028_wlk.spr	enemy028_wlk.spr	enemy028_wlk.spr	enemy028_bat.spr	enemy028_die.spr	enemy028_at.spr	enemy028_at.spr	enemy028_at.spr	enemy028_st.spr	enemy028_wlk.spr
enemy029	enemy029_st.spr	enemy029_st.spr	enemy029_pst.spr	enemy029_wlk.spr	enemy029_wlk.spr	enemy029_wlk.spr	enemy029_wlk.spr	enemy029_bat.spr	enemy029_die.spr	enemy029_at.spr	enemy029_at.spr	enemy029_at.spr	enemy029_st.spr	enemy029_wlk.spr
enemy031	enemy031_st.spr	enemy031_st.spr	enemy031_pst.spr	enemy031_wlk.spr	enemy031_wlk.spr	enemy031_wlk.spr	enemy031_wlk.spr	enemy031_bat.spr	enemy031_die.spr	enemy031_at.spr	enemy031_at.spr	enemy031_at.spr	enemy031_st.spr	enemy031_wlk.spr
enemy034	enemy034_st.spr	enemy034_st.spr	enemy034_pst.spr	enemy034_wlk.spr	enemy034_wlk.spr	enemy034_wlk.spr	enemy034_wlk.spr	enemy034_bat.spr	enemy034_die.spr	enemy034_at.spr	enemy034_at.spr	enemy034_at.spr	enemy034_st.spr	enemy034_wlk.spr
enemy036	enemy036_st.spr	enemy036_st.spr	enemy036_pst.spr	enemy036_wlk.spr	enemy036_wlk.spr	enemy036_wlk.spr	enemy036_wlk.spr	enemy036_bat.spr	enemy036_die.spr	enemy036_at.spr	enemy036_at.spr	enemy036_at.spr	enemy036_st.spr	enemy036_wlk.spr
enemy037	enemy037_st.spr	enemy037_st.spr	enemy037_pst.spr										enemy037_st.spr	
enemy038	enemy038_st.spr	enemy038_st.spr	enemy038_pst.spr										enemy038_st.spr	
enemy039	enemy039_st.spr	enemy039_st.spr	enemy039_pst.spr										enemy039_st.spr	
enemy040	enemy040_st.spr	enemy040_st.spr	enemy040_pst.spr	enemy040_wlk.spr	enemy040_wlk.spr	enemy040_wlk.spr	enemy040_wlk.spr	enemy040_bat.spr	enemy040_die.spr	enemy040_at.spr	enemy040_at.spr	enemy040_at.spr	enemy040_st.spr	enemy040_wlk.spr
enemy041	enemy041_st.spr	enemy041_st.spr	enemy041_pst.spr										enemy041_st.spr	
enemy042	enemy042_st.spr	enemy042_st.spr	enemy042_pst.spr										enemy042_st.spr	
enemy043	enemy043_st.spr	enemy043_st.spr	enemy043_pst.spr	enemy043_wlk.spr	enemy043_wlk.spr	enemy043_wlk.spr	enemy043_wlk.spr	enemy043_bat.spr	enemy043_die.spr	enemy043_at.spr	enemy043_at.spr	enemy043_at.spr	enemy043_st.spr	enemy043_wlk.spr
enemy044	enemy044_st.spr	enemy044_st.spr	enemy044_pst.spr	enemy044_st.spr	enemy044_st.spr	enemy044_st.spr	enemy044_st.spr	enemy044_st.spr	enemy044_st.spr	enemy044_at.spr	enemy044_at.spr		enemy044_st.spr	enemy044_st.spr
enemy045	enemy045_st.spr	enemy045_st.spr	enemy045_pst.spr										enemy045_st.spr	
enemy046	enemy046_st.spr	enemy046_st.spr	enemy046_pst.spr	enemy046_st.spr	enemy046_st.spr	enemy046_st.spr	enemy046_st.spr	enemy046_st.spr	enemy046_st.spr	enemy046_at.spr	enemy046_at.spr		enemy046_st.spr	enemy046_st.spr
enemy047	enemy047_st.spr	enemy047_st.spr	enemy047_pst.spr										enemy047_st.spr	
enemy048	enemy048_st.spr	enemy048_st.spr	enemy048_pst.spr	enemy048_wlk.spr	enemy048_wlk.spr	enemy048_wlk.spr	enemy048_wlk.spr	enemy048_bat.spr	enemy048_die.spr	enemy048_at.spr	enemy048_at.spr	enemy048_at.spr	enemy048_st.spr	enemy048_wlk.spr
enemy049	enemy049_st.spr	enemy049_st.spr	enemy049_pst.spr										enemy049_st.spr	
enemy050	enemy050_st.spr	enemy050_st.spr	enemy050_pst.spr	enemy050_wlk.spr	enemy050_wlk.spr	enemy050_wlk.spr	enemy050_wlk.spr	enemy050_bat.spr	enemy050_die.spr	enemy050_at.spr	enemy050_at.spr	enemy050_at.spr	enemy050_st.spr	enemy050_wlk.spr
enemy051	enemy051_st.spr	enemy051_st.spr	enemy051_pst.spr	enemy051_wlk.spr	enemy051_wlk.spr	enemy051_wlk.spr	enemy051_wlk.spr	enemy051_bat.spr	enemy051_die.spr	enemy051_at.spr	enemy051_at.spr	enemy051_at.spr	enemy051_st.spr	enemy051_wlk.spr
enemy052	enemy052_st.spr	enemy052_st.spr	enemy052_pst.spr	enemy052_wlk.spr	enemy052_wlk.spr	enemy052_wlk.spr	enemy052_wlk.spr	enemy052_bat.spr	enemy052_die.spr	enemy052_at.spr	enemy052_at.spr	enemy052_at.spr	enemy052_st.spr	enemy052_wlk.spr
enemy053	enemy053_st.spr	enemy053_st.spr	enemy053_pst.spr										enemy053_st.spr	
enemy054	enemy054_st.spr	enemy054_st.spr	enemy054_pst.spr										enemy054_st.spr	
enemy055	enemy055_st.spr	enemy055_st.spr	enemy055_pst.spr										enemy055_st.spr	
enemy056	enemy056_st.spr	enemy056_st.spr	enemy056_pst.spr	enemy056_st.spr	enemy056_st.spr	enemy056_st.spr	enemy056_st.spr	enemy056_st.spr	enemy056_st.spr	enemy056_at.spr	enemy056_at.spr	enemy056_at.spr	enemy056_st.spr	enemy056_st.spr
enemy057	enemy057_st.spr	enemy057_st.spr	enemy057_pst.spr	enemy057_wlk.spr	enemy057_wlk.spr	enemy057_wlk.spr	enemy057_wlk.spr	enemy057_bat.spr	enemy057_die.spr	enemy057_at.spr	enemy057_at.spr	enemy057_at.spr	enemy057_st.spr	enemy057_wlk.spr
enemy058	enemy058_st.spr	enemy058_st.spr	enemy058_pst.spr										enemy058_st.spr	
enemy059	enemy059_st.spr	enemy059_st.spr	enemy059_pst.spr	enemy059_wlk.spr	enemy059_wlk.spr	enemy059_wlk.spr	enemy059_wlk.spr	enemy059_bat.spr	enemy059_die.spr	enemy059_at.spr	enemy059_at.spr	enemy059_at.spr	enemy059_st.spr	enemy059_wlk.spr
enemy060	enemy060_st.spr	enemy060_st.spr	enemy060_pst.spr	enemy060_wlk.spr	enemy060_wlk.spr	enemy060_wlk.spr	enemy060_wlk.spr	enemy060_bat.spr	enemy060_die.spr	enemy060_at.spr	enemy060_at.spr	enemy060_at.spr	enemy060_st.spr	enemy060_wlk.spr
enemy061	enemy061_st.spr	enemy061_st.spr	enemy061_pst.spr	enemy061_wlk.spr	enemy061_wlk.spr	enemy061_wlk.spr	enemy061_wlk.spr	enemy061_bat.spr	enemy061_die.spr	enemy061_at.spr	enemy061_at.spr	enemy061_at.spr	enemy061_st.spr	enemy061_wlk.spr
enemy062	enemy062_st.spr	enemy062_st.spr	enemy062_pst.spr										enemy062_st.spr	
enemy063	enemy063_st.spr	enemy063_st.spr	enemy063_pst.spr										enemy063_st.spr	
enemy064	enemy064_st.spr	enemy064_st.spr	enemy064_pst.spr	enemy064_wlk.spr	enemy064_wlk.spr	enemy064_wlk.spr	enemy064_wlk.spr	enemy064_bat.spr	enemy064_die.spr	enemy064_at.spr	enemy064_at.spr	enemy064_at.spr	enemy064_st.spr	enemy064_wlk.spr
enemy065	enemy065_st.spr	enemy065_st.spr	enemy065_pst.spr										enemy065_st.spr	
enemy066	enemy066_st.spr	enemy066_st.spr	enemy066_pst.spr	enemy066_wlk.spr	enemy066_wlk.spr	enemy066_wlk.spr	enemy066_wlk.spr	enemy066_bat.spr	enemy066_die.spr	enemy066_at.spr	enemy066_at.spr	enemy066_at.spr	enemy066_st.spr	enemy066_wlk.spr
enemy067	enemy067_st.spr	enemy067_st.spr	enemy067_pst.spr	enemy067_wlk.spr	enemy067_wlk.spr	enemy067_wlk.spr	enemy067_wlk.spr	enemy067_bat.spr	enemy067_die.spr	enemy067_at.spr	enemy067_at.spr	enemy067_at.spr	enemy067_st.spr	enemy067_wlk.spr
enemy068	enemy068_st.spr	enemy068_st.spr	enemy068_pst.spr										enemy068_st.spr	
enemy069	enemy069_st.spr	enemy069_st.spr	enemy069_pst.spr	enemy069_wlk.spr	enemy069_wlk.spr	enemy069_wlk.spr	enemy069_wlk.spr	enemy069_bat.spr	enemy069_die.spr	enemy069_at.spr	enemy069_at.spr	enemy069_at.spr	enemy069_st.spr	enemy069_wlk.spr
enemy070	enemy070_st.spr	enemy070_st.spr	enemy070_pst.spr	enemy070_wlk.spr	enemy070_wlk.spr	enemy070_wlk.spr	enemy070_wlk.spr	enemy070_bat.spr	enemy070_die.spr	enemy070_at.spr	enemy070_at.spr	enemy070_at.spr	enemy070_st.spr	enemy070_wlk.spr
enemy071	enemy071_st.spr	enemy071_st.spr	enemy071_pst.spr										enemy071_st.spr	
enemy072	enemy072_st.spr	enemy072_st.spr	enemy072_pst.spr	enemy072_wlk.spr	enemy072_wlk.spr	enemy072_wlk.spr	enemy072_wlk.spr	enemy072_bat.spr	enemy072_die.spr	enemy072_at.spr	enemy072_at.spr	enemy072_at.spr	enemy072_st.spr	enemy072_wlk.spr
enemy073	enemy073_st.spr	enemy073_st.spr	enemy073_pst.spr	enemy073_wlk.spr	enemy073_wlk.spr	enemy073_wlk.spr	enemy073_wlk.spr	enemy073_bat.spr	enemy073_die.spr	enemy073_at.spr	enemy073_at.spr	enemy073_at.spr	enemy073_st.spr	enemy073_wlk.spr
enemy074	enemy074_st.spr	enemy074_st.spr	enemy074_pst.spr	enemy074_wlk.spr	enemy074_wlk.spr	enemy074_wlk.spr	enemy074_wlk.spr	enemy074_bat.spr	enemy074_die.spr	enemy074_at.spr	enemy074_at.spr	enemy074_at.spr	enemy074_st.spr	enemy074_wlk.spr
enemy075	enemy075_st.spr	enemy075_st.spr	enemy075_pst.spr	enemy075_wlk.spr	enemy075_wlk.spr	enemy075_wlk.spr	enemy075_wlk.spr	enemy075_bat.spr	enemy075_die.spr	enemy075_at.spr	enemy075_at.spr	enemy075_at.spr	enemy075_st.spr	enemy075_wlk.spr
enemy076	enemy076_st.spr	enemy076_st.spr	enemy076_pst.spr	enemy076_wlk.spr	enemy076_wlk.spr	enemy076_wlk.spr	enemy076_wlk.spr	enemy076_bat.spr	enemy076_die.spr	enemy076_at.spr	enemy076_at.spr	enemy076_at.spr	enemy076_st.spr	enemy076_wlk.spr
enemy077	enemy077_st.spr	enemy077_st.spr	enemy077_pst.spr	enemy077_wlk.spr	enemy077_wlk.spr	enemy077_wlk.spr	enemy077_wlk.spr	enemy077_bat.spr	enemy077_die.spr	enemy077_at.spr	enemy077_at.spr	enemy077_at.spr	enemy077_st.spr	enemy077_wlk.spr
enemy078	enemy078_st.spr	enemy078_st.spr	enemy078_pst.spr	enemy078_wlk.spr	enemy078_wlk.spr	enemy078_wlk.spr	enemy078_wlk.spr	enemy078_bat.spr	enemy078_die.spr	enemy078_at.spr	enemy078_at.spr	enemy078_at.spr	enemy078_st.spr	enemy078_wlk.spr
enemy079	enemy079_st.spr	enemy079_st.spr	enemy079_pst.spr	enemy079_wlk.spr	enemy079_wlk.spr	enemy079_wlk.spr	enemy079_wlk.spr	enemy079_bat.spr	enemy079_die.spr	enemy079_at.spr	enemy079_at.spr	enemy079_at.spr	enemy079_st.spr	enemy079_wlk.spr
enemy080	enemy080_st.spr	enemy080_st.spr	enemy080_pst.spr	enemy080_wlk.spr	enemy080_wlk.spr	enemy080_wlk.spr	enemy080_wlk.spr	enemy080_bat.spr	enemy080_die.spr	enemy080_at.spr	enemy080_at.spr	enemy080_at.spr	enemy080_st.spr	enemy080_wlk.spr
enemy081	enemy081_st.spr	enemy081_st.spr	enemy081_pst.spr	enemy081_wlk.spr	enemy081_wlk.spr	enemy081_wlk.spr	enemy081_wlk.spr	enemy081_bat.spr	enemy081_die.spr	enemy081_at.spr	enemy081_at.spr	enemy081_at.spr	enemy081_st.spr	enemy081_wlk.spr
enemy082	enemy082_st.spr	enemy082_st.spr	enemy082_pst.spr	enemy082_wlk.spr	enemy082_wlk.spr	enemy082_wlk.spr	enemy082_wlk.spr	enemy082_bat.spr	enemy082_die.spr	enemy082_at.spr	enemy082_at.spr	enemy082_at.spr	enemy082_st.spr	enemy082_wlk.spr
enemy083	enemy083_st.spr	enemy083_st.spr	enemy083_pst.spr	enemy083_wlk.spr	enemy083_wlk.spr	enemy083_wlk.spr	enemy083_wlk.spr	enemy083_bat.spr	enemy083_die.spr	enemy083_at.spr	enemy083_at.spr	enemy083_at.spr	enemy083_st.spr	enemy083_wlk.spr
enemy084	enemy084_st.spr	enemy084_st.spr	enemy084_pst.spr										enemy084_st.spr	
enemy085	enemy085_st.spr	enemy085_st.spr	enemy085_pst.spr	enemy085_wlk.spr	enemy085_wlk.spr	enemy085_wlk.spr	enemy085_wlk.spr	enemy085_bat.spr	enemy085_die.spr	enemy085_at.spr	enemy085_at.spr	enemy085_at.spr	enemy085_st.spr	enemy085_wlk.spr
enemy086	enemy086_st.spr	enemy086_st.spr	enemy086_pst.spr	enemy086_wlk.spr	enemy086_wlk.spr	enemy086_wlk.spr	enemy086_wlk.spr	enemy086_bat.spr	enemy086_die.spr	enemy086_at.spr	enemy086_at.spr	enemy086_at.spr	enemy086_st.spr	enemy086_wlk.spr
enemy087	enemy087_st.spr	enemy087_st.spr	enemy087_pst.spr										enemy087_st.spr	
enemy088	enemy088_st.spr	enemy088_st.spr	enemy088_pst.spr	enemy088_st.spr	enemy088_st.spr	enemy088_st.spr	enemy088_st.spr	enemy088_st.spr	enemy088_st.spr	enemy088_at.spr	enemy088_at.spr		enemy088_st.spr	enemy088_st.spr
enemy089	enemy089_st.spr	enemy089_st.spr	enemy089_pst.spr	enemy089_wlk.spr	enemy089_wlk.spr	enemy089_wlk.spr	enemy089_wlk.spr	enemy089_bat.spr	enemy089_die.spr	enemy089_at.spr	enemy089_at.spr	enemy089_at.spr	enemy089_st.spr	enemy089_wlk.spr
enemy090	enemy090_st.spr	enemy090_st.spr	enemy090_pst.spr										enemy090_st.spr	
enemy091	enemy091_st.spr	enemy091_st.spr	enemy091_pst.spr	enemy091_wlk.spr	enemy091_wlk.spr	enemy091_wlk.spr	enemy091_wlk.spr	enemy091_bat.spr	enemy091_die.spr	enemy091_at.spr	enemy091_at.spr	enemy091_at.spr	enemy091_st.spr	enemy091_wlk.spr
enemy092	enemy092_st.spr	enemy092_st.spr	enemy092_pst.spr										enemy092_st.spr	
enemy093	enemy093_st.spr	enemy093_st.spr	enemy093_pst.spr	enemy093_wlk.spr	enemy093_wlk.spr	enemy093_wlk.spr	enemy093_wlk.spr	enemy093_bat.spr	enemy093_die.spr	enemy093_at.spr	enemy093_at.spr	enemy093_at.spr	enemy093_st.spr	enemy093_wlk.spr
enemy094	enemy094_st.spr	enemy094_st.spr	enemy094_pst.spr	enemy094_wlk.spr	enemy094_wlk.spr	enemy094_wlk.spr	enemy094_wlk.spr	enemy094_bat.spr	enemy094_die.spr	enemy094_at.spr	enemy094_at.spr	enemy094_at.spr	enemy094_st.spr	enemy094_wlk.spr
enemy095	enemy095_st.spr	enemy095_st.spr	enemy095_pst.spr	enemy095_wlk.spr	enemy095_wlk.spr	enemy095_wlk.spr	enemy095_wlk.spr	enemy095_bat.spr	enemy095_die.spr	enemy095_at.spr	enemy095_at.spr	enemy095_at.spr	enemy095_st.spr	enemy095_wlk.spr
enemy096	enemy096_st.spr	enemy096_st.spr	enemy096_pst.spr										enemy096_st.spr	
enemy097	enemy097_st.spr	enemy097_st.spr	enemy097_pst.spr	enemy097_wlk.spr	enemy097_wlk.spr	enemy097_wlk.spr	enemy097_wlk.spr	enemy097_bat.spr	enemy097_die.spr	enemy097_at.spr	enemy097_at.spr	enemy097_at.spr	enemy097_st.spr	enemy097_wlk.spr
enemy098	enemy098_st.spr	enemy098_st.spr	enemy098_pst.spr	enemy098_wlk.spr	enemy098_wlk.spr	enemy098_wlk.spr	enemy098_wlk.spr	enemy098_bat.spr	enemy098_die.spr	enemy098_at.spr	enemy098_at.spr	enemy098_at.spr	enemy098_st.spr	enemy098_wlk.spr
enemy099	enemy099_st.spr	enemy099_st.spr	enemy099_pst.spr										enemy099_st.spr	
enemy100	enemy100_st.spr	enemy100_st.spr	enemy100_pst.spr	enemy100_wlk.spr	enemy100_wlk.spr	enemy100_wlk.spr	enemy100_wlk.spr	enemy100_bat.spr	enemy100_die.spr	enemy100_at.spr	enemy100_at.spr	enemy100_at.spr	enemy100_st.spr	enemy100_wlk.spr
enemy101	enemy101_st.spr	enemy101_st.spr	enemy101_pst.spr	enemy101_wlk.spr	enemy101_wlk.spr	enemy101_wlk.spr	enemy101_wlk.spr	enemy101_bat.spr	enemy101_die.spr	enemy101_at.spr	enemy101_at.spr	enemy101_at.spr	enemy101_st.spr	enemy101_wlk.spr
enemy102	enemy102_st.spr	enemy102_st.spr	enemy102_pst.spr										enemy102_st.spr	
enemy103	enemy103_st.spr	enemy103_st.spr	enemy103_pst.spr	enemy013_wlk.spr	enemy013_wlk.spr	enemy013_wlk.spr	enemy013_wlk.spr	enemy103_bat.spr	enemy103_die.spr	enemy103_at.spr	enemy103_at.spr	enemy103_at.spr	enemy103_st.spr	enemy013_wlk.spr
enemy104	enemy104_st.spr	enemy104_st.spr	enemy104_pst.spr	enemy104_wlk.spr	enemy104_wlk.spr	enemy104_wlk.spr	enemy104_wlk.spr	enemy104_bat.spr	enemy104_die.spr	enemy104_at.spr	enemy104_at.spr	enemy104_at.spr	enemy104_st.spr	enemy104_wlk.spr
enemy105	enemy105_st.spr	enemy105_st.spr	enemy105_pst.spr	enemy105_wlk.spr	enemy105_wlk.spr	enemy105_wlk.spr	enemy105_wlk.spr	enemy105_bat.spr	enemy105_die.spr	enemy105_at.spr	enemy105_at.spr	enemy105_at.spr	enemy105_st.spr	enemy105_wlk.spr
enemy106	enemy106_st.spr	enemy106_st.spr	enemy106_pst.spr										enemy106_st.spr	
enemy107	enemy107_st.spr	enemy107_st.spr	enemy107_pst.spr	enemy107_wlk.spr	enemy107_wlk.spr	enemy107_wlk.spr	enemy107_wlk.spr	enemy107_bat.spr	enemy107_die.spr	enemy107_at.spr	enemy107_at.spr	enemy107_at.spr	enemy107_st.spr	enemy107_wlk.spr
enemy108	enemy108_st.spr	enemy108_st.spr	enemy108_pst.spr										enemy108_st.spr	
enemy109	enemy109_st.spr	enemy109_st.spr	enemy109_pst.spr	enemy109_wlk.spr	enemy109_wlk.spr	enemy109_wlk.spr	enemy109_wlk.spr	enemy109_bat.spr	enemy109_die.spr	enemy109_at.spr	enemy109_at.spr	enemy109_at.spr	enemy109_st.spr	enemy109_wlk.spr
enemy110	enemy110_st.spr	enemy110_st.spr	enemy110_pst.spr	enemy110_wlk.spr	enemy110_wlk.spr	enemy110_wlk.spr	enemy110_wlk.spr	enemy110_bat.spr	enemy110_die.spr	enemy110_at.spr	enemy110_at.spr	enemy110_at.spr	enemy110_st.spr	enemy110_wlk.spr
enemy111	enemy111_st.spr	enemy111_st.spr	enemy111_pst.spr										enemy111_st.spr	
enemy112	enemy112_st.spr	enemy112_st.spr	enemy112_pst.spr										enemy112_st.spr	
enemy115	enemy115_st.spr	enemy115_st.spr	enemy115_pst.spr										enemy115_st.spr	
enemy121	enemy121_st.spr	enemy121_st.spr	enemy121_pst.spr	enemy121_wlk.spr	enemy121_wlk.spr	enemy121_wlk.spr	enemy121_wlk.spr	enemy121_bat.spr	enemy121_die.spr	enemy121_at.spr	enemy121_at.spr	enemy121_at.spr	enemy121_st.spr	enemy121_wlk.spr
enemy122	enemy122_st.spr	enemy122_st.spr	enemy122_pst.spr	enemy122_wlk.spr	enemy122_wlk.spr	enemy122_wlk.spr	enemy122_wlk.spr	enemy122_bat.spr	enemy122_die.spr	enemy122_at.spr	enemy122_at.spr	enemy122_at.spr	enemy122_st.spr	enemy122_wlk.spr
enemy123	enemy123_st.spr	enemy123_st.spr	enemy123_pst.spr	enemy123_wlk.spr	enemy123_wlk.spr	enemy123_wlk.spr	enemy123_wlk.spr	enemy123_bat.spr	enemy123_die.spr	enemy123_at.spr	enemy123_at.spr	enemy123_at.spr	enemy123_st.spr	enemy123_wlk.spr
enemy124	enemy124_st.spr	enemy124_st.spr	enemy124_pst.spr	enemy124_wlk.spr	enemy124_wlk.spr	enemy124_wlk.spr	enemy124_wlk.spr	enemy124_bat.spr	enemy124_die.spr	enemy124_at.spr	enemy124_at.spr	enemy124_at.spr	enemy124_st.spr	enemy124_wlk.spr
enemy125	enemy125_st.spr	enemy125_st.spr	enemy125_pst.spr	enemy125_wlk.spr	enemy125_wlk.spr	enemy125_wlk.spr	enemy125_wlk.spr	enemy125_bat.spr	enemy125_die.spr	enemy125_at.spr	enemy125_at.spr	enemy125_at.spr	enemy125_st.spr	enemy125_wlk.spr
enemy126	enemy126_st.spr	enemy126_st.spr	enemy126_pst.spr	enemy126_wlk.spr	enemy126_wlk.spr	enemy126_wlk.spr	enemy126_wlk.spr	enemy126_bat.spr	enemy126_die.spr	enemy126_at.spr	enemy126_at.spr	enemy126_at.spr	enemy126_st.spr	enemy126_wlk.spr
enemy127	enemy127_st.spr	enemy127_st.spr	enemy127_pst.spr	enemy127_wlk.spr	enemy127_wlk.spr	enemy127_wlk.spr	enemy127_wlk.spr	enemy127_bat.spr	enemy127_die.spr	enemy127_at.spr	enemy127_at.spr	enemy127_at.spr	enemy127_st.spr	enemy127_wlk.spr
enemy128	enemy128_st.spr	enemy128_st.spr	enemy128_pst.spr	enemy128_wlk.spr	enemy128_wlk.spr	enemy128_wlk.spr	enemy128_wlk.spr	enemy128_bat.spr	enemy128_die.spr	enemy128_at.spr	enemy128_at.spr	enemy128_at.spr	enemy128_st.spr	enemy128_wlk.spr
enemy129	enemy129_st.spr	enemy129_st.spr	enemy129_pst.spr	enemy129_wlk.spr	enemy129_wlk.spr	enemy129_wlk.spr	enemy129_wlk.spr	enemy129_bat.spr	enemy129_die.spr	enemy129_at.spr	enemy129_at.spr	enemy129_at.spr	enemy129_st.spr	enemy129_wlk.spr
enemy130	enemy130_pst.spr	enemy130_pst.spr	enemy130_pst.spr	enemy130_wlk.spr	enemy130_wlk.spr	enemy130_wlk.spr	enemy130_wlk.spr	enemy130_bat.spr	enemy130_die.spr	enemy130_at.spr	enemy130_at.spr	enemy130_at.spr	enemy130_st.spr	enemy130_wlk.spr
enemy131	enemy131_st.spr	enemy131_st.spr	enemy131_pst.spr	enemy131_wlk.spr	enemy131_wlk.spr	enemy131_wlk.spr	enemy131_wlk.spr	enemy131_bat.spr	enemy131_die.spr	enemy131_at.spr	enemy131_at.spr	enemy131_at.spr	enemy131_st.spr	enemy131_wlk.spr
enemy132	enemy132_st.spr	enemy132_st.spr	enemy132_pst.spr	enemy132_wlk.spr	enemy132_wlk.spr	enemy132_wlk.spr	enemy132_wlk.spr	enemy132_bat.spr	enemy132_die.spr	enemy132_at.spr	enemy132_at.spr	enemy132_at.spr	enemy132_st.spr	enemy132_wlk.spr
enemy133	enemy133_st.spr	enemy133_st.spr	enemy133_pst.spr	enemy133_wlk.spr	enemy133_wlk.spr	enemy133_wlk.spr	enemy133_wlk.spr	enemy133_bat.spr	enemy133_die.spr	enemy133_at.spr	enemy133_at.spr	enemy133_at.spr	enemy133_st.spr	enemy133_wlk.spr
