装备名称	刀盾站立1	盾刀站立1	空手站立1	空手站立2	空手站立3	短武器站立	长武器站立	双武器站立	刀盾武器站立	盾刀武器站立	琴战斗站立	琴非战斗站立	空手走路	普通走路	短武器走路	长武器走路	双武器走路	刀盾武器走路	盾刀武器走路	琴走路	空手跑步	普通跑步	短武器跑步	长武器跑步	双武器跑步	刀盾武器跑步	盾刀武器跑步	琴武器跑步	空手受伤	短武器受伤	长武器受伤	双武器受伤	刀盾武器受伤	盾刀武器受伤	琴武器受伤	空手死亡	短武器死亡	长武器死亡	双武器死亡	刀盾武器死亡	盾刀武器死亡	琴武器死亡	空手攻击	短武器刺	短武器砍	长武器戳	长武器劈	双武器划	双武器砸	刀盾武器划	刀盾武器砍	盾刀武器划	盾刀武器砍	琴武器攻击1	琴武器攻击2	暗器投掷	空手魔法	短武器魔法	长武器魔法	双武器魔法	刀盾武器魔法	盾刀武器魔法	琴武器魔法	打坐	跳跃	骑马站立	骑马走动	骑马跑步	骑马攻击劈	骑马攻击刺	骑马魔法	骑马受伤	骑马死亡	骑马站立1	骑马站立2
躯体28																																																																		"112,8,1"	"96,8,1"	"80,8,1"	"96,8,1"	"112,8,1"	"96,8,1"	"48,8,1"	"112,8,1"	"112,8,1"	"112,8,1"
躯体29																																																																		"112,8,1"	"96,8,1"	"80,8,1"	"96,8,1"	"112,8,1"	"96,8,1"	"48,8,1"	"112,8,1"	"112,8,1"	"112,8,1"
躯体30																																																																		"112,8,1"	"96,8,1"	"80,8,1"	"96,8,1"	"112,8,1"	"96,8,1"	"48,8,1"	"112,8,1"	"112,8,1"	"112,8,1"
躯体31																																																																		"112,8,1"	"96,8,1"	"80,8,1"	"96,8,1"	"112,8,1"	"96,8,1"	"48,8,1"	"112,8,1"	"112,8,1"	"112,8,1"
躯体32																																																																		"112,8,1"	"96,8,1"	"80,8,1"	"96,8,1"	"112,8,1"	"96,8,1"	"48,8,1"	"112,8,1"	"112,8,1"	"112,8,1"
躯体33																																																																		"112,8,1"	"96,8,1"	"80,8,1"	"96,8,1"	"112,8,1"	"96,8,1"	"48,8,1"	"112,8,1"	"112,8,1"	"112,8,1"
躯体34																																																																		"112,8,1"	"96,8,1"	"80,8,1"	"96,8,1"	"112,8,1"	"96,8,1"	"48,8,1"	"112,8,1"	"112,8,1"	"112,8,1"
躯体35																																																																		"112,8,1"	"96,8,1"	"80,8,1"	"96,8,1"	"112,8,1"	"96,8,1"	"48,8,1"	"112,8,1"	"112,8,1"	"112,8,1"
躯体36																																																																		"112,8,1"	"96,8,1"	"80,8,1"	"96,8,1"	"112,8,1"	"96,8,1"	"48,8,1"	"112,8,1"	"112,8,1"	"112,8,1"
躯体37																																																																		"112,8,1"	"96,8,1"	"80,8,1"	"96,8,1"	"112,8,1"	"96,8,1"	"48,8,1"	"112,8,1"	"112,8,1"	"112,8,1"
躯体38																																																																		"112,8,1"	"96,8,1"	"80,8,1"	"96,8,1"	"112,8,1"	"96,8,1"	"48,8,1"	"112,8,1"	"112,8,1"	"112,8,1"
躯体39																																																																		"112,8,1"	"96,8,1"	"80,8,1"	"96,8,1"	"112,8,1"	"96,8,1"	"48,8,1"	"112,8,1"	"112,8,1"	"112,8,1"
躯体40																																																																		"112,8,1"	"96,8,1"	"80,8,1"	"96,8,1"	"112,8,1"	"96,8,1"	"48,8,1"	"112,8,1"	"112,8,1"	"112,8,1"
躯体41																																																																		"112,8,1"	"96,8,1"	"80,8,1"	"96,8,1"	"112,8,1"	"96,8,1"	"48,8,1"	"112,8,1"	"112,8,1"	"112,8,1"
躯体42																																																																		"112,8,1"	"96,8,1"	"80,8,1"	"96,8,1"	"112,8,1"	"96,8,1"	"48,8,1"	"112,8,1"	"112,8,1"	"112,8,1"
躯体43																																																																											
躯体44																																																																											
躯体45																																																																											
躯体46																																																																											
躯体47																																																																											
躯体48																																																																											
躯体49																																																																											
躯体50																																																																											
躯体51																																																																											
躯体52																																																																											
躯体53																																																																											
躯体54																																																																											
躯体55																																																																											
躯体56																																																																											
躯体57																																																																											
躯体58																																																																											
躯体59																																																																											
躯体60																																																																											
躯体61																																																																											
躯体62																																																																											
躯体63																																																																											
躯体64																																																																											
躯体65																																																																											
躯体66																																																																											
躯体67																																																																											
躯体68																																																																											
躯体69																																																																											
躯体70																																																																											
躯体71																																																																											
躯体72																																																																											
躯体73																																																																											
躯体74																																																																											
躯体75																																																																											
躯体76																																																																											
躯体77																																																																											
躯体78																																																																											
躯体79																																																																											
躯体80																																																																											
躯体81																																																																											
月阙之重劫僧帽																																																																											
月阙之杀劫僧帽																																																																											
月阙之破劫僧帽																																																																											
月阙之奋武盔																																																																											
月阙之烽烟盔																																																																											
月阙之长空盔																																																																											
月阙之惊鸿发带																																																																											
月阙之晓月发带																																																																											
月阙之相思簪																																																																											
月阙之风月簪																																																																											
月阙之百毒发带																																																																											
月阙之幽冥发带																																																																											
月阙之催命冠																																																																											
月阙之秘毒冠																																																																											
月阙之蔓荼发冠																																																																											
月阙之赤龙头环																																																																											
月阙之豪杰头环																																																																											
月阙之贪狼盔																																																																											
月阙之烈阳冠冕																																																																											
月阙之灵动冠																																																																											
月阙之幻影冠																																																																											
月阙之凌风道冠																																																																											
月阙之沐雨道冠																																																																											
月阙之清风冠																																																																											
月阙之逸影冠																																																																											
耀阳之梦龙缠手																																																																											
耀阳之伏魔法棍																																																																											
耀阳之四空戒刀																																																																											
耀阳之撼天神锤																																																																											
耀阳之继业枪																																																																											
耀阳之御龙宝刀																																																																											
耀阳之无间宝剑																																																																											
耀阳之无魇缠手																																																																											
耀阳之栖凰宝刀																																																																											
耀阳之碧海鸳鸯刀																																																																											
耀阳之幽胧缠手																																																																											
耀阳之冥幻血刃																																																																											
耀阳之冰寒飞刀																																																																											
耀阳之天光袖箭																																																																											
耀阳之森荒飞镖																																																																											
耀阳之同仇缠手																																																																											
耀阳之敌忾杖																																																																											
耀阳之魔煞枪																																																																											
耀阳之魔煌宝刀																																																																											
耀阳之凌岳神剑																																																																											
耀阳之及丰神剑																																																																											
耀阳之霜晶宝刀																																																																											
耀阳之雷穹神剑																																																																											
耀阳之浮云剑																																																																											
耀阳之冲云剑																																																																											
英豪之少林手																																																																											
英豪之少林棍																																																																											
英豪之少林刀																																																																											
英豪之天王锤																																																																											
英豪之天王枪																																																																											
英豪之天王刀																																																																											
英豪之峨眉剑																																																																											
英豪之峨眉手																																																																											
英豪之翠烟单刀																																																																											
英豪之翠烟双刀																																																																											
英豪之五毒手																																																																											
英豪之五毒刀																																																																											
英豪之唐门飞刀																																																																											
英豪之唐门袖箭																																																																											
英豪之唐门飞镖																																																																											
英豪之丐帮缠手																																																																											
英豪之丐帮杖																																																																											
英豪之天忍枪																																																																											
英豪之天忍刀																																																																											
英豪之武当剑																																																																											
英豪之武当剑																																																																											
英豪之昆仑刀																																																																											
英豪之昆仑剑																																																																											
英豪之华山剑																																																																											
英豪之华山剑																																																																											
武魂肩膀1																																																																											
武魂肩膀2																																																																											
武魂肩膀3																																																																											
武魂肩膀4																																																																											
英豪之武魂盾																																																																											
英豪之武魂刀																																																																											
逍遥套装1																																																																											
逍遥套装2																																																																											
逍遥套装3																																																																											
逍遥套装4																																																																											
