CharacterName	CharacterType	ResFilePath	PartFileName	WeaponActionTab1	WeaponActionTab2	ActionRenderOrderTab	Head	Hair	Shoulder	Body	LeftHand	RightHead	LeftWeapon	RightWeapon	HorseFront	HorseMiddle	HorseBack
enemy088	NormalNpc	spr\npcres\enemy\enemy085															
enemy089	NormalNpc	spr\npcres\enemy\enemy085															
enemy090	NormalNpc	spr\npcres\enemy\enemy085															
enemy091	NormalNpc	spr\npcres\enemy\enemy091															
enemy092	NormalNpc	spr\npcres\enemy\enemy092															
enemy093	NormalNpc	spr\npcres\enemy\enemy095															
enemy094	NormalNpc	spr\npcres\enemy\enemy094															
enemy095	NormalNpc	spr\npcres\enemy\enemy095															
enemy096	NormalNpc	spr\npcres\enemy\enemy095															
enemy097	NormalNpc	spr\npcres\enemy\enemy060															
enemy098	NormalNpc	spr\npcres\enemy\enemy098															
enemy099	NormalNpc	spr\npcres\enemy\enemy060															
enemy100	NormalNpc	spr\npcres\enemy\enemy060															
enemy101	NormalNpc	spr\npcres\enemy\enemy060															
enemy102	NormalNpc	spr\npcres\enemy\enemy060															
enemy103	NormalNpc	spr\npcres\enemy\enemy103															
enemy104	NormalNpc	spr\npcres\enemy\enemy105															
enemy105	NormalNpc	spr\npcres\enemy\enemy105															
enemy106	NormalNpc	spr\npcres\enemy\enemy060															
enemy107	NormalNpc	spr\npcres\enemy\enemy107															
enemy108	NormalNpc	spr\npcres\enemy\enemy105															
enemy109	NormalNpc	spr\npcres\enemy\enemy105															
enemy110	NormalNpc	spr\npcres\enemy\enemy105															
enemy111	NormalNpc	spr\npcres\enemy\enemy111															
enemy112	NormalNpc	spr\npcres\enemy\enemy112															
enemy115	NormalNpc	spr\npcres\enemy\enemy115															
enemy121	NormalNpc	spr\npcres\enemy\enemy126															
enemy122	NormalNpc	spr\npcres\enemy\enemy126															
enemy123	NormalNpc	spr\npcres\enemy\enemy126															
enemy124	NormalNpc	spr\npcres\enemy\enemy126															
enemy125	NormalNpc	spr\npcres\enemy\enemy126															
enemy126	NormalNpc	spr\npcres\enemy\enemy126															
enemy127	NormalNpc	spr\npcres\enemy\enemy126															
enemy128	NormalNpc	spr\npcres\enemy\enemy126															
enemy129	NormalNpc	spr\npcres\enemy\enemy126															
enemy130	NormalNpc	spr\npcres\enemy\enemy141															
enemy131	NormalNpc	spr\npcres\enemy\enemy141															
enemy132	NormalNpc	spr\npcres\enemy\enemy141															
enemy133	NormalNpc	spr\npcres\enemy\enemy141															
enemy134	NormalNpc	spr\npcres\enemy\enemy141															
enemy135	NormalNpc	spr\npcres\enemy\enemy141															
enemy136	NormalNpc	spr\npcres\enemy\enemy141															
enemy137	NormalNpc	spr\npcres\enemy\enemy141															
enemy138	NormalNpc	spr\npcres\enemy\enemy138															
enemy139	NormalNpc	spr\npcres\enemy\enemy141															
enemy140	NormalNpc	spr\npcres\enemy\enemy141															
enemy141	NormalNpc	spr\npcres\enemy\enemy141															
enemy142	NormalNpc	spr\npcres\enemy\enemy141															
enemy143	NormalNpc	spr\npcres\enemy\enemy141															
enemy144	NormalNpc	spr\npcres\enemy\enemy141															
enemy145	NormalNpc	spr\npcres\enemy\enemy141															
enemy146	NormalNpc	spr\npcres\enemy\enemy141															
enemy147	NormalNpc	spr\npcres\enemy\enemy141															
enemy148	NormalNpc	spr\npcres\enemy\enemy141															
enemy149	NormalNpc	spr\npcres\enemy\enemy141															
enemy150	NormalNpc	spr\npcres\enemy\enemy141															
enemy151	NormalNpc	spr\npcres\enemy\enemy151															
enemy152	NormalNpc	spr\npcres\enemy\enemy152															
enemy153	NormalNpc	spr\npcres\enemy\enemy153															
enemy154	NormalNpc	spr\npcres\enemy\enemy154															
enemy155	NormalNpc	spr\npcres\enemy\enemy155															
enemy156	NormalNpc	spr\npcres\enemy\enemy156															
enemy157	NormalNpc	spr\npcres\enemy\enemy141															
enemy158	NormalNpc	spr\npcres\enemy\enemy158															
enemy159	NormalNpc	spr\npcres\enemy\enemy159															
enemy160	NormalNpc	spr\npcres\enemy\enemy160															
enemy161	NormalNpc	spr\npcres\enemy\enemy161															
enemy162	NormalNpc	spr\npcres\enemy\enemy162															
enemy163	NormalNpc	spr\npcres\enemy\enemy162															
enemy164	NormalNpc	spr\npcres\enemy\enemy164															
enemy165	NormalNpc	spr\npcres\enemy\enemy165															
enemy166	NormalNpc	spr\npcres\enemy\enemy166															
enemy167	NormalNpc	spr\npcres\enemy\enemy167															
enemy168	NormalNpc	spr\npcres\enemy\enemy168															
enemy169	NormalNpc	spr\npcres\enemy\enemy169															
enemy170	NormalNpc	spr\npcres\enemy\enemy170															
enemy171	NormalNpc	spr\npcres\enemy\enemy171															
enemy172	NormalNpc	spr\npcres\enemy\enemy171															
enemy173	NormalNpc	spr\npcres\enemy\enemy173															
enemy174	NormalNpc	spr\npcres\enemy\enemy056															
enemy175	NormalNpc	spr\npcres\enemy\enemy175															
enemy176	NormalNpc	spr\npcres\enemy\enemy040															
enemy177	NormalNpc	spr\npcres\enemy\enemy056															
enemy178	NormalNpc	spr\npcres\enemy\enemy178															
enemy179	NormalNpc	spr\npcres\enemy\enemy179															
enemy180	NormalNpc	spr\npcres\enemy\enemy180															
enemy181	NormalNpc	spr\npcres\enemy\enemy181															
enemy182	NormalNpc	spr\npcres\enemy\enemy182															
enemy183	NormalNpc	spr\npcres\enemy\enemy183															
enemy184	NormalNpc	spr\npcres\enemy\enemy184															
enemy185	NormalNpc	spr\npcres\enemy\enemy185															
enemy186	NormalNpc	spr\npcres\enemy\enemy186															
enemy187	NormalNpc	spr\npcres\enemy\enemy187															
enemy188	NormalNpc	spr\npcres\enemy\enemy188															
enemy189	NormalNpc	spr\npcres\enemy\enemy189															
enemy190	NormalNpc	spr\npcres\enemy\enemy190															
enemy191	NormalNpc	spr\npcres\enemy\enemy191															
enemy192	NormalNpc	spr\npcres\enemy\enemy192															
enemy193	NormalNpc	spr\npcres\enemy\enemy193															
enemy194	NormalNpc	spr\npcres\enemy\enemy194															
ani001	NormalNpc	spr\npcres\animal\ani003															
ani002	NormalNpc	spr\npcres\animal\ani003															
ani003	NormalNpc	spr\npcres\animal\ani003															
ani005	NormalNpc	spr\npcres\animal\ani006															
ani006	NormalNpc	spr\npcres\animal\ani006															
ani009	NormalNpc	spr\npcres\animal\ani012															
ani010	NormalNpc	spr\npcres\animal\ani012															
ani011	NormalNpc	spr\npcres\animal\ani012															
ani012	NormalNpc	spr\npcres\animal\ani012															
ani013	NormalNpc	spr\npcres\animal\ani015															
ani015	NormalNpc	spr\npcres\animal\ani015															
ani018	NormalNpc	spr\npcres\animal\ani018															
ani019	NormalNpc	spr\npcres\animal\ani019															
ani021	NormalNpc	spr\npcres\animal\ani021															
ani024	NormalNpc	spr\npcres\animal\ani021															
ani025	NormalNpc	spr\npcres\animal\ani026															
ani026	NormalNpc	spr\npcres\animal\ani026															
ani029	NormalNpc	spr\npcres\animal\ani029															
ani033	NormalNpc	spr\npcres\animal\ani033															
ani036	NormalNpc	spr\npcres\animal\ani033															
ani037	NormalNpc	spr\npcres\animal\ani040															
ani038	NormalNpc	spr\npcres\animal\ani040															
ani039	NormalNpc	spr\npcres\animal\ani040															
ani040	NormalNpc	spr\npcres\animal\ani040															
ani041	NormalNpc	spr\npcres\animal\ani043															
ani042	NormalNpc	spr\npcres\animal\ani043															
ani043	NormalNpc	spr\npcres\animal\ani043															
ani045	NormalNpc	spr\npcres\animal\ani048															
ani046	NormalNpc	spr\npcres\animal\ani048															
ani047	NormalNpc	spr\npcres\animal\ani048															
ani048	NormalNpc	spr\npcres\animal\ani048															
ani049	NormalNpc	spr\npcres\animal\ani049															
ani050	NormalNpc	spr\npcres\animal\ani049															
ani051	NormalNpc	spr\npcres\animal\ani051															
ani052	NormalNpc	spr\npcres\animal\ani049															
ani053	NormalNpc	spr\npcres\animal\ani056															
ani054	NormalNpc	spr\npcres\animal\ani056															
ani055	NormalNpc	spr\npcres\animal\ani056															
ani056	NormalNpc	spr\npcres\animal\ani056															
ani058	NormalNpc	spr\npcres\animal\ani012															
ani059	NormalNpc	spr\npcres\animal\ani059															
ani060	NormalNpc	spr\npcres\animal\ani060															
ani061	NormalNpc	spr\npcres\animal\ani061															
ani063	NormalNpc	spr\npcres\animal\ani063															
ani065	NormalNpc	spr\npcres\animal\ani065															
ani066	NormalNpc	spr\npcres\animal\ani066															
ani067	NormalNpc	spr\npcres\animal\ani067															
passerby001	NormalNpc	spr\npcres\passerby\passerby001															
passerby002	NormalNpc	spr\npcres\passerby\passerby020															
passerby004_1	NormalNpc	spr\npcres\passerby\passerby004															
passerby004_2	NormalNpc	spr\npcres\passerby\passerby004															
passerby004_3	NormalNpc	spr\npcres\passerby\passerby004															
passerby006_1	NormalNpc	spr\npcres\passerby\passerby006															
passerby006_2	NormalNpc	spr\npcres\passerby\passerby006															
passerby006_3	NormalNpc	spr\npcres\passerby\passerby006															
passerby007	NormalNpc	spr\npcres\passerby\passerby007															
passerby008	NormalNpc	spr\npcres\passerby\passerby008															
passerby010	NormalNpc	spr\npcres\passerby\passerby010															
passerby011_1	NormalNpc	spr\npcres\passerby\passerby011															
passerby011_2	NormalNpc	spr\npcres\passerby\passerby011															
passerby011_3	NormalNpc	spr\npcres\passerby\passerby011															
passerby013	NormalNpc	spr\npcres\passerby\passerby013															
passerby014	NormalNpc	spr\npcres\passerby\passerby014															
passerby015	NormalNpc	spr\npcres\passerby\passerby014															
passerby018	NormalNpc	spr\npcres\passerby\passerby018															
passerby019	NormalNpc	spr\npcres\passerby\passerby018															
passerby020	NormalNpc	spr\npcres\passerby\passerby020															
passerby023	NormalNpc	spr\npcres\passerby\passerby024															
passerby024	NormalNpc	spr\npcres\passerby\passerby024															
passerby025	NormalNpc	spr\npcres\passerby\passerby025															
passerby027	NormalNpc	spr\npcres\passerby\passerby027															
passerby028	NormalNpc	spr\npcres\passerby\passerby028															
passerby029	NormalNpc	spr\npcres\passerby\passerby029															
passerby030	NormalNpc	spr\npcres\passerby\passerby032															
passerby031	NormalNpc	spr\npcres\passerby\passerby032															
passerby032	NormalNpc	spr\npcres\passerby\passerby032															
passerby033	NormalNpc	spr\npcres\passerby\passerby033															
passerby034	NormalNpc	spr\npcres\passerby\passerby034															
passerby036_1	NormalNpc	spr\npcres\passerby\passerby036															
passerby036_2	NormalNpc	spr\npcres\passerby\passerby036															
passerby036_3	NormalNpc	spr\npcres\passerby\passerby036															
passerby037_1	NormalNpc	spr\npcres\passerby\passerby037															
passerby037_2	NormalNpc	spr\npcres\passerby\passerby037															
passerby037_3	NormalNpc	spr\npcres\passerby\passerby037															
passerby038_1	NormalNpc	spr\npcres\passerby\passerby037															
passerby038_2	NormalNpc	spr\npcres\passerby\passerby037															
passerby038_3	NormalNpc	spr\npcres\passerby\passerby037															
passerby040_1	NormalNpc	spr\npcres\passerby\passerby040															
passerby040_2	NormalNpc	spr\npcres\passerby\passerby040															
passerby040_3	NormalNpc	spr\npcres\passerby\passerby040															
passerby041	NormalNpc	spr\npcres\passerby\passerby042															
passerby042	NormalNpc	spr\npcres\passerby\passerby042															
passerby043_1	NormalNpc	spr\npcres\passerby\passerby045															
passerby044	NormalNpc	spr\npcres\passerby\passerby044															
passerby045	NormalNpc	spr\npcres\passerby\passerby045															
passerby047	NormalNpc	spr\npcres\passerby\passerby047															
passerby048	NormalNpc	spr\npcres\passerby\passerby047															
passerby049	NormalNpc	spr\npcres\passerby\passerby049															
passerby050	NormalNpc	spr\npcres\passerby\passerby049															
passerby051	NormalNpc	spr\npcres\passerby\passerby051															
passerby052	NormalNpc	spr\npcres\passerby\passerby051															
passerby058	NormalNpc	spr\npcres\passerby\passerby058															
passerby059	NormalNpc	spr\npcres\passerby\passerby059															
passerby060_1	NormalNpc	spr\npcres\passerby\passerby059															
passerby061_1	NormalNpc	spr\npcres\passerby\passerby061															
passerby061_2	NormalNpc	spr\npcres\passerby\passerby061															
passerby061_3	NormalNpc	spr\npcres\passerby\passerby061															
passerby062_1	NormalNpc	spr\npcres\passerby\passerby062															
passerby062_2	NormalNpc	spr\npcres\passerby\passerby062															
passerby062_3	NormalNpc	spr\npcres\passerby\passerby062															
passerby063_1	NormalNpc	spr\npcres\passerby\passerby063															
passerby063_2	NormalNpc	spr\npcres\passerby\passerby063															
passerby063_3	NormalNpc	spr\npcres\passerby\passerby063															
passerby064_1	NormalNpc	spr\npcres\passerby\passerby064															
passerby064_2	NormalNpc	spr\npcres\passerby\passerby064															
passerby064_3	NormalNpc	spr\npcres\passerby\passerby064															
passerby065_1	NormalNpc	spr\npcres\passerby\passerby065															
passerby065_2	NormalNpc	spr\npcres\passerby\passerby065															
passerby065_3	NormalNpc	spr\npcres\passerby\passerby065															
passerby066_1	NormalNpc	spr\npcres\passerby\passerby066															
passerby066_2	NormalNpc	spr\npcres\passerby\passerby066															
passerby066_3	NormalNpc	spr\npcres\passerby\passerby066															
passerby067_1	NormalNpc	spr\npcres\passerby\passerby067															
passerby067_2	NormalNpc	spr\npcres\passerby\passerby067															
passerby067_3	NormalNpc	spr\npcres\passerby\passerby067															
passerby068_1	NormalNpc	spr\npcres\passerby\passerby068															
passerby068_2	NormalNpc	spr\npcres\passerby\passerby068															
passerby068_3	NormalNpc	spr\npcres\passerby\passerby068															
passerby069_1	NormalNpc	spr\npcres\passerby\passerby069															
passerby069_2	NormalNpc	spr\npcres\passerby\passerby069															
passerby069_3	NormalNpc	spr\npcres\passerby\passerby069															
passerby070_1	NormalNpc	spr\npcres\passerby\passerby070															
passerby070_2	NormalNpc	spr\npcres\passerby\passerby070															
passerby070_3	NormalNpc	spr\npcres\passerby\passerby070															
passerby071_1	NormalNpc	spr\npcres\passerby\passerby071															
passerby071_2	NormalNpc	spr\npcres\passerby\passerby071															
passerby071_3	NormalNpc	spr\npcres\passerby\passerby071															
passerby072_1	NormalNpc	spr\npcres\passerby\passerby072															
passerby072_2	NormalNpc	spr\npcres\passerby\passerby072															
passerby072_3	NormalNpc	spr\npcres\passerby\passerby072															
passerby073_1	NormalNpc	spr\npcres\passerby\passerby073															
passerby073_2	NormalNpc	spr\npcres\passerby\passerby073															
passerby073_3	NormalNpc	spr\npcres\passerby\passerby073															
passerby074_1	NormalNpc	spr\npcres\passerby\passerby074															
passerby074_2	NormalNpc	spr\npcres\passerby\passerby074															
passerby074_3	NormalNpc	spr\npcres\passerby\passerby074															
passerby075_1	NormalNpc	spr\npcres\passerby\passerby075															
passerby075_2	NormalNpc	spr\npcres\passerby\passerby075															
passerby075_3	NormalNpc	spr\npcres\passerby\passerby075															
passerby076_1	NormalNpc	spr\npcres\passerby\passerby076															
passerby076_2	NormalNpc	spr\npcres\passerby\passerby076															
passerby076_3	NormalNpc	spr\npcres\passerby\passerby076															
passerby077_1	NormalNpc	spr\npcres\passerby\passerby077															
passerby077_2	NormalNpc	spr\npcres\passerby\passerby077															
passerby077_3	NormalNpc	spr\npcres\passerby\passerby077															
passerby079_1	NormalNpc	spr\npcres\passerby\passerby079															
passerby079_2	NormalNpc	spr\npcres\passerby\passerby079															
passerby079_3	NormalNpc	spr\npcres\passerby\passerby079															
passerby080	NormalNpc	spr\npcres\passerby\passerby080															
passerby088	NormalNpc	spr\npcres\passerby\passerby088															
passerby092	NormalNpc	spr\npcres\passerby\passerby092															
passerby094	NormalNpc	spr\npcres\passerby\passerby094															
passerby095	NormalNpc	spr\npcres\passerby\passerby095															
passerby097	NormalNpc	spr\npcres\passerby\passerby097															
passerby099	NormalNpc	spr\npcres\passerby\passerby102															
passerby100	NormalNpc	spr\npcres\passerby\passerby102															
passerby101	NormalNpc	spr\npcres\passerby\passerby102															
passerby102	NormalNpc	spr\npcres\passerby\passerby102															
passerby103	NormalNpc	spr\npcres\passerby\passerby102															
passerby104	NormalNpc	spr\npcres\passerby\passerby104															
passerby105	NormalNpc	spr\npcres\passerby\passerby104															
passerby108	NormalNpc	spr\npcres\passerby\passerby108															
passerby110	NormalNpc	spr\npcres\passerby\passerby110															
passerby112	NormalNpc	spr\npcres\passerby\passerby112															
passerby117	NormalNpc	spr\npcres\passerby\passerby127															
passerby118	NormalNpc	spr\npcres\passerby\passerby127															
passerby119	NormalNpc	spr\npcres\passerby\passerby127															
passerby120	NormalNpc	spr\npcres\passerby\passerby127															
passerby121	NormalNpc	spr\npcres\passerby\passerby127															
passerby122	NormalNpc	spr\npcres\passerby\passerby127															
passerby123	NormalNpc	spr\npcres\passerby\passerby127															
passerby124	NormalNpc	spr\npcres\passerby\passerby127															
passerby125	NormalNpc	spr\npcres\passerby\passerby127															
passerby127	NormalNpc	spr\npcres\passerby\passerby127															
passerby128	NormalNpc	spr\npcres\passerby\passerby127															
passerby129	NormalNpc	spr\npcres\passerby\passerby127															
passerby130	NormalNpc	spr\npcres\passerby\passerby127															
passerby131	NormalNpc	spr\npcres\passerby\passerby127															
passerby132	NormalNpc	spr\npcres\passerby\passerby127															
passerby133	NormalNpc	spr\npcres\passerby\passerby140															
passerby134	NormalNpc	spr\npcres\passerby\passerby140															
passerby135	NormalNpc	spr\npcres\passerby\passerby140															
passerby136	NormalNpc	spr\npcres\passerby\passerby140															
passerby137	NormalNpc	spr\npcres\passerby\passerby140															
passerby138	NormalNpc	spr\npcres\passerby\passerby140															
passerby139	NormalNpc	spr\npcres\passerby\passerby140															
passerby140	NormalNpc	spr\npcres\passerby\passerby140															
passerby141	NormalNpc	spr\npcres\passerby\passerby140															
passerby142	NormalNpc	spr\npcres\passerby\passerby140															
passerby144	NormalNpc	spr\npcres\passerby\passerby140															
passerby145	NormalNpc	spr\npcres\passerby\passerby140															
passerby146	NormalNpc	spr\npcres\passerby\passerby140															
passerby147	NormalNpc	spr\npcres\passerby\passerby140															
passerby148	NormalNpc	spr\npcres\passerby\passerby140															
passerby149	NormalNpc	spr\npcres\passerby\passerby140															
passerby150	NormalNpc	spr\npcres\passerby\passerby140															
passerby151	NormalNpc	spr\npcres\passerby\passerby140															
passerby152	NormalNpc	spr\npcres\passerby\passerby140															
passerby153	NormalNpc	spr\npcres\passerby\passerby140															
passerby154	NormalNpc	spr\npcres\passerby\passerby140															
passerby157	NormalNpc	spr\npcres\passerby\passerby159															
passerby159	NormalNpc	spr\npcres\passerby\passerby159															
passerby163	NormalNpc	spr\npcres\passerby\passerby163															
passerby164	NormalNpc	spr\npcres\passerby\passerby163															
passerby165	NormalNpc	spr\npcres\passerby\passerby167															
passerby167	NormalNpc	spr\npcres\passerby\passerby167															
passerby168	NormalNpc	spr\npcres\passerby\passerby167															
passerby169	NormalNpc	spr\npcres\passerby\passerby181															
passerby170	NormalNpc	spr\npcres\passerby\passerby181															
passerby171	NormalNpc	spr\npcres\passerby\passerby181															
passerby172	NormalNpc	spr\npcres\passerby\passerby181															
passerby173	NormalNpc	spr\npcres\passerby\passerby181															
passerby174	NormalNpc	spr\npcres\passerby\passerby181															
passerby175	NormalNpc	spr\npcres\passerby\passerby181															
passerby176	NormalNpc	spr\npcres\passerby\passerby181															
passerby177	NormalNpc	spr\npcres\passerby\passerby181															
passerby178	NormalNpc	spr\npcres\passerby\passerby181															
passerby179	NormalNpc	spr\npcres\passerby\passerby181															
passerby180	NormalNpc	spr\npcres\passerby\passerby181															
passerby181	NormalNpc	spr\npcres\passerby\passerby181															
passerby182	NormalNpc	spr\npcres\passerby\passerby181															
passerby183	NormalNpc	spr\npcres\passerby\passerby181															
passerby184	NormalNpc	spr\npcres\passerby\passerby181															
passerby185	NormalNpc	spr\npcres\passerby\passerby188															
passerby186	NormalNpc	spr\npcres\passerby\passerby188															
passerby187	NormalNpc	spr\npcres\passerby\passerby188															
passerby188	NormalNpc	spr\npcres\passerby\passerby188															
passerby189	NormalNpc	spr\npcres\passerby\passerby188															
passerby190	NormalNpc	spr\npcres\passerby\passerby188															
passerby191	NormalNpc	spr\npcres\passerby\passerby191															
passerby192	NormalNpc	spr\npcres\passerby\passerby192															
passerby004_4	NormalNpc	spr\npcres\passerby\passerby004															
passerby006_4	NormalNpc	spr\npcres\passerby\passerby006															
passerby007_1	NormalNpc	spr\npcres\passerby\passerby007															
passerby011_4	NormalNpc	spr\npcres\passerby\passerby011															
passerby036_4	NormalNpc	spr\npcres\passerby\passerby036															
passerby037_4	NormalNpc	spr\npcres\passerby\passerby037															
passerby040_4	NormalNpc	spr\npcres\passerby\passerby040															
passerby043_1	NormalNpc	spr\npcres\passerby\passerby045															
passerby044_1	NormalNpc	spr\npcres\passerby\passerby044															
passerby045_1	NormalNpc	spr\npcres\passerby\passerby045															
passerby059_1	NormalNpc	spr\npcres\passerby\passerby059															
passerby067_4	NormalNpc	spr\npcres\passerby\passerby067															
passerby067_5	NormalNpc	spr\npcres\passerby\passerby067															
passerby067_6	NormalNpc	spr\npcres\passerby\passerby067															
passerby068_4	NormalNpc	spr\npcres\passerby\passerby068															
passerby068_5	NormalNpc	spr\npcres\passerby\passerby068															
passerby068_6	NormalNpc	spr\npcres\passerby\passerby068															
passerby072_4	NormalNpc	spr\npcres\passerby\passerby072															
passerby074_4	NormalNpc	spr\npcres\passerby\passerby074															
passerby074_5	NormalNpc	spr\npcres\passerby\passerby074															
passerby074_6	NormalNpc	spr\npcres\passerby\passerby074															
passerby075_4	NormalNpc	spr\npcres\passerby\passerby075															
passerby076_4	NormalNpc	spr\npcres\passerby\passerby076															
critter008	NormalNpc	spr\npcres\critter\critter008															
critter016	NormalNpc	spr\npcres\critter\critter016															
critter017	NormalNpc	spr\npcres\critter\critter017															
critter018	NormalNpc	spr\npcres\critter\critter018															
critter019	NormalNpc	spr\npcres\critter\critter019															
critter020	NormalNpc	spr\npcres\critter\critter020															
critter021	NormalNpc	spr\npcres\critter\critter021															
critter022	NormalNpc	spr\npcres\critter\critter022															
critter023	NormalNpc	spr\npcres\critter\critter023															
critter024	NormalNpc	spr\npcres\critter\critter024															
critter025	NormalNpc	spr\npcres\critter\critter025															
critter026	NormalNpc	spr\npcres\critter\critter026															
critter027	NormalNpc	spr\npcres\critter\critter027															
critter028	NormalNpc	spr\npcres\critter\critter028															
critter029	NormalNpc	spr\npcres\critter\critter029															
critter030	NormalNpc	spr\npcres\critter\critter030															
critter031	NormalNpc	spr\npcres\critter\critter031															
critter032	NormalNpc	spr\npcres\critter\critter032															
critter033	NormalNpc	spr\npcres\critter\critter033															
critter034	NormalNpc	spr\npcres\critter\critter034															
critter035	NormalNpc	spr\npcres\critter\critter035															
critter036	NormalNpc	spr\npcres\critter\critter036															
critter037	NormalNpc	spr\npcres\critter\critter037															
critter038	NormalNpc	spr\npcres\critter\critter038															
critter039	NormalNpc	spr\npcres\critter\critter039															
critter040	NormalNpc	spr\npcres\critter\critter040															
critter041	NormalNpc	spr\npcres\critter\critter041															
critter042	NormalNpc	spr\npcres\critter\critter042															
critter043	NormalNpc	spr\npcres\critter\critter043															
critter044	NormalNpc	spr\npcres\critter\critter044															
