ID	STRING
10050	Ta nghe ng­¬i ®· giµnh phÇn th­ëng trong kú Hoa s¬n  luËn kiÕm lÇn 2 nh­ng vÉn ch­a nhËn ®­îc!  H·y ®i hái Thiªn ThÇn Gi¸p thö xem! 
10051	Chóc mõng b¹n ®¹t ®­îc thµnh tİch trong kú Hoa s¬n  luËn kiÕm lÇn 2!  H·y tiÕp tôc nç lùc nhĞ! 
10052	Cã ng­êi nhê ta tÆng lÔ vËt nµy cho ng­¬i,h·y s¾p xÕp l¹i hµnh trang tr­íc ®i! 
10053	Ng­êi ®ã kh«ng kŞp gÆp ng­¬i,nh­ng ®· nhê ta chuyÓn quµ! 
10054	Ng­êi ®ã kh«ng kŞp gÆp ng­¬i,nh­ng ®· nhê ta chuyÓn quµ! 
10055	Ng­¬i kh«ng hiÓu sao? Xin lçi!  L·o nh×n lén ng­êi! 
10056	L·o ®· ®îi ng­¬i rÊt l©u råi! Cã ng­êi göi tÆng ng­¬i 1000 l­îng
10057	Lµ ai tÆng cho ta vËy??
10058	Ta còng kh«ng biÕt, ¤ng ta chØ chóc ng­¬i sím c«ng thµnh danh to¹i
10059	Ng­¬i kh«ng hiÓu sao? Xin lçi!  L·o nh×n lén ng­êi! 
10060	Nç lùc cña ng­¬i ta ®Òu ®· biÕt!  H·y cè g¾ng nhiÒu h¬n n÷a nhĞ! 
10061	Phôc håi kü n¨ng ®· hoµn tÊt!  Xin h·y ph©n phèi l¹i ®iÓm! 
10062	Thiªn Lı m· kh«ng thiÕu, nh­ng ng­êi biÕt dïng ngùa hái cã mÊy ai!
10063	Anh hïng h·y xem! 
10064	NhÊt bang chi chñ, lµ mét nh©n vËt bËc thÇy lµm sao kh«ng biÕt ®©y rèt cuéc lµ ngùa g× chø? Thø lçi, xem ra t¹i h¹ ®· nh×n lÇm ng­êi!
10065	Kh«ng sai,anh hïng qu¶ nhiªn biÕt nh×n!  T¹i h¹ ®©y còng kh«ng muèn ph¶i b¸n nã,nh­ng hiÖn giê t¹i h¹ cÇn 300 v¹n l­îng b¹c!  Hy väng anh hïng ®èi ®·i tèt víi nã! 
10066	Ngùa ¬i ngùa! Tõ ®©y vÒ sau ng­¬i h·y ®i theo vŞ anh hïng nµy nhĞ, nhÊt ®Şnh ph¶i ngoan ngo·n ®ã!
10067	Ta hiÖn giê trong ng­êi kh«ng mang theo ®ñ ng©n l­îng, huynh t¹m thêi cÇm ®ì sè tiÒn nµy vËy!
10068	Kh«ng lÏ sè tiÒn nµy l¹i lµm khã anh hïng sao
10069	Xin lçi!  Ta chØ cã thÓ ®­a ng­¬i ®Õn nh÷ng n¬i ®· ®i qua nh­ng ng­¬i ch­a ®i ®©u c¶! 
10070	Xin lùa chän: 
10071	Xin lçi!  Ng­¬i ch­a ®i ®©u c¶! 
10072	Kh¸ch quan muèn ®i ®©u?
10073	Kh«ng tiÒn kh«ng thÓ ngåi thuyÒn
10074	Xin lçi!  Ta chØ cã thÓ ®­a ng­¬i ®Õn nh÷ng n¬i ®· ®i qua nh­ng ng­¬i ch­a ®i ®©u c¶! 
10075	Xin lùa chän: 
10076	Kh«ng tiÒn kh«ng thÓ ngåi xe! 
10077	Kh«ng tiÒn kh«ng thÓ ngåi xe! 
10078	Kh«ng tiÒn kh«ng thÓ ngåi xe! 
10079	ChiÕn tr­êng §ao KiÕm v« t×nh!  Xin nghÜa sÜ h·y quay vÒ ®Ó b¶o toµn tİnh m¹ng
10080	Th©n phËn nghÜa sÜ ch­a phï hîp!  T¹i h¹ kh«ng d¸m m¹o muéi ®­a vµo!  Xin nghÜa sÜ quay vÒ! 
10081	Th©n phËn nghÜa sÜ ch­a phï hîp!  T¹i h¹ kh«ng d¸m m¹o muéi ®­a vµo!  Xin nghÜa sÜ quay vÒ! 
10082	C«ng thµnh ®ang s¾p b¾t ®Çu!  Ng­¬i cã muèn tham gia kh«ng?
10083	Bªn ngoµi rÊt lo¹n l¹c, xem bé d¹ng kh«ng c¶n ®­îc giã cña ng­¬i th× khã mµ b¶o toµn tİnh m¹ng! 
10084	Cã tiÒn th× h·y quay l¹i nhĞ! 
10085	§óng råi! ThiÕu hiÖp cÇn g×?
10086	§óng råi! N÷ hiÖp cÇn g×?
10087	TiÓu Hång bao 10000 l­îng, §¹i Hång Bao 100000 l­îng. Kh¸ch quan muèn lo¹i nµo?
10088	TiÓu Hång Bao 1 c¸i!  Xin nhËn lÊy! 
10089	Kh¸ch quan h×nh nh­ ch­a ®ñ tiÒn.
10090	§¹i Hång Bao 1 c¸i!  Xin nhËn lÊy! 
10091	Kh¸ch quan h×nh nh­ ch­a ®ñ tiÒn.
10092	HiÖn thêi ch­a cã c«ng v¨n nµo nhê ng­¬i gióp! H·y quay l¹i sau nhĞ! 
10093	HiÖn thêi ch­a cã c«ng v¨n nµo nhê ng­¬i gióp! H·y quay l¹i sau nhĞ! 
10094	Ngµy nay chiÕn sù tÇng tÇng, c«ng v¨n nhiÒu, ng­êi ®­a th­ trong kh«ng ®ñ, ng­¬i muèn gióp ®­a th­ kh«ng? Mçi lÇn ®Òu cã thï lao! 
10095	C«ng v¨n quan träng mµ l¹i lµm mÊt? LÇn nµy phiÒn l¾m ®©y!  §­a ta 2000 l­îng ta sÏ giÊu chuyÖn nµy ®i
10096	C«ng v¨n quan träng mµ l¹i lµm mÊt? LÇn nµy phiÒn l¾m ®©y!  §­a ta 2000 l­îng ta sÏ giÊu chuyÖn nµy ®i
10097	§©y lµ c«ng v¨n rÊt gÊp!  PhiÒn ng­¬i ®­a nhanh mét tİ! 
10098	LÇn nµy ta bá qua!  Sau nµy cÇn ph¶i cÈn thËn! 
10099	2000 l­îng còng kh«ng cã!  Ng­¬i nghÌo vËy sao? Cã tiÒn råi h·y ®Õn t×m ta! 
10100	VŞ thiÕu hiÖp nµy khİ ph¸ch bÊt phµm!  Cã muèn biÕt t­¬ng lai s¸ng l¹n cña m×nh kh«ng? ChØ cÇn 5000 l­îng! 
10101	VŞ n÷ hiÖp nµy khİ ph¸ch bÊt phµm!  Cã muèn biÕt t­¬ng lai s¸ng l¹n cña m×nh kh«ng? ChØ cÇn 5000 l­îng! 
10102	l¹i mét ng­êi kh«ng cã tiÒn n÷a, lµm phİ mÊt nöa ngµy trêi
10103	Tù cæ anh tµi ®a khæ ¶i!  Gian nan lµ ®iÒu khã tr¸nh khái!  Nhí th­¬ng xuyªn v¸i thiªn thÇn cÇu phóc nhĞ! 
10104	Th¨m xong ch­a vËy? Mau ®i ®i! 
10105	£!  §Õn n¬i thiªn lao lµm g×?H·y liªn l¹c víi GM ®i! 
10106	Mau thu xÕp hµnh lı ®i!  Ng­¬i cã thÓ ra khái ®©y råi! 
10107	§a t¹ ®ai ca, vËy ta ®i ®©y! 
10108	§¹i ngôc thiªn lao, kh«ng ®­îc tïy ı ®i l¹i! 
10109	VŞ ®¹i ca nµy! Ta chØ muèn hái b©y giê lµ mÊy giê th«i! 
10110	Hái g× mµ hái! Muèn ¨n ®ßn h¶! Cßn kh«ng mau quay vÒ chç ngåi! 
10111	Xem ng­¬i r¸ch r­íi vËy,sao l¹i cã nhiÒu tiÒn vËy thÕ! 
10112	LuËt ph¸p v« t×nh, nh©n h÷u t×nh!  BÖnh ng­¬i nÆng nh­ vËy nªn ®i t×m thÇy thuèc ch÷a!  Nhí r»ng ng­¬i chØ ra ngoµi ch÷a bÖnh th«i, th©n phËn tï téi ch­a röa s¹ch ®õng t¸i ph¹m n÷a! 
10113	Quû ®ãi!  Cót ngay!  Kh«ng ta quÊt cho 1 roi b©y giê! 
10114	Quèc cã quèc ph¸p. Gia cã gia quy!  Ng­êi hai tay dİnh ®Çy m¸u ®i ®Õn ch©n trêi gãc bÓ th× còng kh«ng thÓ tho¸t khái luËt ph¸p! 
10115	Ta v« t×nh lµm bŞ th­¬ng ng­êi kh¸c nay ®Õn tù thó! 
10116	Bæn phñ ®· ®iÒu tra, ng­¬i chØ lµ phßng vÖ chİnh ®¸ng mµ th«i! Sau nµy cÈn thËn mét chót!  Ng­¬i ®i ®i! 
10117	Ng­¬i mang nhiÒu träng tr¸ch ch­a hoµn thµnh, sao cã thÓ tù ı l·ng phİ thêi gian, ®em th©n h÷u dông cña m×ng vµo ngôc lao nh­ thÕ sao?
10118	Téi ng­¬i chÊt chång nh­ nói, Ngåi lao còng v« dông!  Ha!  Ha!  §îi bŞ ng­êi ta ®å s¸t ®i! 
10119	Mau ®i chç kh¸c!  Nh×n c¸i g×? Cã ph¶i lµ ®ång bän kh«ng! 
10120	Sao? B¹n ng­¬i trong tï ph¸t bÖnh? NÕu vËy ng­¬i ®i th¨m h¾n còng trän t×nh!  Nhí ®õng lµm g× gian dèi ®Êy
10121	§i ra! Cã ph¶i muèn ta b¾t ng­¬i vµo cïng ®ång ®¶ng míi võa lßng kh«ng?
10122	Xin hái quan kh¸ch cÇn g×?
10123	B¸nh ch­ng May m¾n ph¶i mÊt ba n¨m míi lµm xong, ¨n råi cã thÓ t¨ng vËn may lªn 30 ®iÓm!  Nh­ng chØ cã thÓ ph¸t huy t¸c dông ë n¬i ¨n mµ th«i. B»ng h÷u cã muèn thö kh«ng?
10124	KhuÊt Nguyªn lµ ®¹i c«ng thÇn cña Së quèc!  ¤ng ta rÊt cã n¨ng lùc lµm viÖc,nh­ng gÆp sù ph¶n ®èi cña quı téc, bŞ ®µy ®i Nguyªn t­¬ng l­u vùc. Khi bŞ ®µy ®i,«ng viÕt bµi th¬ 'Ly tao'. Sau khi kinh ®« n­íc Së bŞ tµn ph¸, lßng «ng lo l¾ng tæ quèc, sau khi viÕt tuyÖt bót 'hoµi sa' ngµy 5 th¸ng 5,«ng «m ®¸ ch×m xuèng s«ng MŞch la tù vÉn
10125	sau khi KhuÊt Nguyªn mÊt, nh©n d©n v« cïng tiÕc th­¬ng! Th­êng ®Õn bªn s«ng MŞch La gäi hån. Mäi ng­êi  lÊy thøc ¨n nĞm xuèng s«ng ®Ó cho t«m cua rång c¸ ¨n no råi sÏ kh«ng ¨n x¸c KhuÊt Nguyªn! Tõ ®ã cã tôc lÖ lµm B¸nh ch­ng
10126	Sau nµy, tíi ngµy 5 th¸ng 5 hµng n¨m, th× cã ®ua thuyÒn rång, ¨n B¸nh ch­ng ®Ó t­ëng niÖm ®¹i phu KhuÊt Nguyªn!  §©y chİnh lµ nguån gèc cña lÔ §oan ngä.
10127	B¹n kh«ng thÓ nhËn ®­îc g¹o nÕp may m¾n! 
10128	B¹n muèn nhËn bao nhiªu g¹o nÕp may m¾n! 
10129	B¹n kh«ng thÓ nhËn ®­îc nhiÒu g¹o nÕp may m¾n nh­ vËy! 
10130	B¹n kh«ng thÓ nhËn ®­îc g¹o nÕp may m¾n! 
10131	Lµm 1 c¸i B¸nh ch­ng cÇn 2000. Kh¸ch quan cÇn bao nhiªu c¸i?
10132	Lµm 1 c¸i B¸nh ch­ng cÇn 2000, kh¸ch quan h×nh nh­ ch­a ®ñ tiÒn! 
10133	§· lµm xong råi!  Xin h·y nh×n xem!  B¶o ®¶m võa ı! 
10134	Lµm B¸nh ch­ng may m¾n cÇn cã: T¸o ®á, h¹t dÎ, g¹o nÕp, thŞt heo, l¸ b¸nh, 1 <color=red>G¹o nÕp may m¾n<color>. Kh¸ch quan ch­a ®ñ vËt liÖu! 
10135	§· lµm xong råi!  Xin h·y nh×n xem!  B¶o ®¶m võa ı! 
10136	Lµm B¸nh ch­ng nh©n t¸o cÇn cã: T¸o ®á, g¹o nÕp vµ l¸ b¸nh, mçi thø 2 c¸i. Kh¸ch quan ch­a ®ñ vËt liÖu! 
10137	§· lµm xong råi!  Xin h·y nh×n xem!  B¶o ®¶m võa ı! 
10138	Lµm B¸nh ch­ng h¹t dÎ cÇn cã: h¹t dÎ, g¹o nÕp vµ l¸ b¸nh, mçi thø 2 c¸i. Kh¸ch quan ch­a ®ñ vËt liÖu! 
10139	§· lµm xong råi!  Xin h·y nh×n xem!  B¶o ®¶m võa ı! 
10140	Lµm B¸nh ch­ng thŞt heo cÇn cã: h¹t dÎ, thŞt heo, g¹o nÕp vµ l¸ b¸nh, mçi thø 2 c¸i. Kh¸ch quan ch­a ®ñ vËt liÖu! 
10141	§· lµm xong råi!  Xin h·y nh×n xem!  B¶o ®¶m võa ı! 
10142	Lµm B¸nh ch­ng thŞt heo cÇn cã: thŞt heo, T¸o ®á, g¹o nÕp vµ l¸ b¸nh, mçi thø 2 c¸i. Kh¸ch quan ch­a ®ñ vËt liÖu! 
10143	Lµm b¸nh còng cã lóc bŞ thÊt b¹i!  Kh¸ch quan ®ång ı lµm kh«ng?
10144	§· lµm xong råi!  Xin h·y nh×n xem!  B¶o ®¶m võa ı! 
10145	¤i Xin lçi!  Ta lµm háng råi! 
10146	Lµm B¸nh ch­ng ThËp cÈm cÇn cã T¸o ®á, h¹t dÎ, g¹o nÕp, thŞt heo,thŞt heo vµ l¸ b¸nh, mçi thø 2 c¸i. Kh¸ch quan ch­a ®ñ vËt liÖu! 
10147	Tæ tiªn ta chuyªn lµm b¸nh ch­ng cèng n¹p cho Hoµng cung nh­ng truyÒn ®Õn ®êi ta ®· kh¸c biÖt rÊt nhiÒu!  NÕu kh¸ch quan ®ång ı, ta cã thÓ ®em b¸nh ch­ng tæng hîp trong tay ng­êi ®iÒu chÕ thµnh b¸nh ch­ng cèng n¹p trong truyÒn thuyÕt, chØ nhËn 1000 ng©n l­îng!  Thö kh«ng?
10148	Gia c«ng b¸nh nµy ph¶i mÊt 1000 ng©n l­îng. Kh¸ch quan kh«ng ®ñ tiÒn råi
10149	Xin h·y ®îi 1 l¸t! 
10150	NghÖ thuËt lµm b¸nh tæ truyÒn qu¶ nhiªn kh«ng tÖ, ta ®· hoµn thµnh B¸nh ch­ng ThËp cÈm mËt ong
10151	ThÊt b¹i råi, B¸nh ch­ng tèt nh­ vËy kh«ng dÔ lµm ®©u, chØ cã thÓ ®­a cho kh¸ch quan B¸nh ch­ng ThËp cÈm nµy th«i! 
10152	lµm B¸nh ch­ng ThËp cÈm mËt ong cÇn cã 1 phÇn B¸nh ch­ng ThËp cÈm vµ c¸c nguyªn liÖu kh¸c.Kh¸ch quan ch­a ®ñ vËt liÖu! 
10153	Xin h·y ®îi 1 l¸t! 
10154	NghÖ thuËt lµm b¸nh tæ truyÒn qu¶ nhiªn kh«ng tÖ, ta ®· hoµn thµnh B¸nh ch­ng ThËp cÈm B¸t böu! 
10155	ThÊt b¹i råi, B¸nh ch­ng tèt nh­ vËy kh«ng dÔ lµm ®©u, chØ cã thÓ ®­a cho kh¸ch quan B¸nh ch­ng ThËp cÈm nµy th«i! 
10156	Lµm B¸nh ch­ng ThËp cÈm B¸t böu cÇn cã 1 phÇn B¸nh ch­ng ThËp cÈm vµ 1 B¸nh ch­ng bÊt kú kh¸c. Kh¸ch quan ch­a ®ñ vËt liÖu! 
10157	Xin h·y ®îi 1 l¸t! 
10158	NghÖ thuËt lµm b¸nh tæ truyÒn qu¶ nhiªn kh«ng tÖ, ta ®· hoµn thµnh B¸nh ch­ng ThËp cÈm! 
10159	ThÊt b¹i råi, B¸nh ch­ng tèt nh­ vËy kh«ng dÔ lµm ®©u, chØ cã thÓ ®­a cho kh¸ch quan B¸nh ch­ng ThËp cÈm nµy th«i! 
10160	Lµm B¸nh ch­ng ThËp cÈm b¸ch qu¶ cÇn 1 phÇn B¸nh ch­ng ThËp cÈm B¸t böu vµ mét B¸nh ch­ng bÊt kú. Kh¸ch quan ch­a ®ñ vËt liÖu! 
10161	Xin h·y ®îi 1 l¸t! 
10162	NghÖ thuËt lµm b¸nh tæ truyÒn qu¶ nhiªn kh«ng tÖ, ta ®· hoµn thµnh B¸nh ch­ng ThËp cÈm Thñy Tinh! 
10163	ThÊt b¹i råi, B¸nh ch­ng tèt nh­ vËy kh«ng dÔ lµm ®©u, chØ cã thÓ ®­a cho kh¸ch quan B¸nh ch­ng ThËp cÈm nµy th«i! 
10164	Lµm B¸nh ch­ng ThËp cÈm Thñy Tinh cÇn 1 phÇn B¸nh ch­ng ThËp cÈm b¸ch qu¶ vµ 1 B¸nh ch­ng tïy ı. Kh¸ch quan ch­a ®ñ vËt liÖu! 
10165	Xin h·y ®îi 1 l¸t! 
10166	§©y lµ B¸nh ch­ng ThËp cÈm KhuÊt Nguyªn!  Ha ha!  Hu hu!  Ta thµnh c«ng råi! 
10167	ThÊt b¹i råi, B¸nh ch­ng tèt nh­ vËy kh«ng dÔ lµm ®©u, chØ cã thÓ ®­a cho kh¸ch quan B¸nh ch­ng ThËp cÈm nµy th«i! 
10168	Lµm B¸nh ch­ng ThËp cÈm KhuÊt Nguyªn cÇn 1 phÇn B¸nh ch­ng ThËp cÈm Thñy Tinh vµ 1 B¸nh ch­ng tïy ı. Kh¸ch quan ch­a ®ñ vËt liÖu! 
10169	KhuÊt Nguyªn MËt ph­¬ng lµ mËt tŞch tæ phô ta truyÒn l¹i, b©y giê bŞ mÊt råi!  C¸c vŞ cã thÓ gióp ta ®i t×m nã kh«ng?
10170	Muéi l¹i lĞn ®i ch¬i n÷a ­?
10171	Xinh ®Ñp nh­ hoa t­¬i mµ h»ng ngµy cø ®èi diÖn víi Thanh §¨ng Cæ PhËt!  Ta kh«ng thİch c¸c ng­¬i ë ®iÓm nµy! 
10172	Hai ph¸i chóng ta liªn minh l¹i, kh«ng cÇn ph¶i ph©n tranh n÷a! Ch¼ng ph¶i lµ hû sù ­?
10173	Ta ghĞt nhÊt lµ c¸i bän len lĞn h¹ ®éc h¹i ng­êi!  Êy!  Kh«ng ph¶i ta nãi ng­¬i! 
10174	D­¬ng Hå cña Thiªn V­¬ng bang c¸c ng­¬i cßn kĞm xa tû tû cña ta, thiªn h¹ nam nh©n qu¶ nhiªn ch¼ng ra g× hÕt! 
10175	Hßa th­îng ®Çu träc sao l¹i ®Õn n¬i cña c¸c n÷ nhi thÕ nµy?! 
10176	Quı m«n lÊy hiÖp nghÜa lµm träng, nh­ng kh«ng biÕt §¬n T­ Nam cã biÕt hæ thÑn hay kh«ng mµ cø b¸m theo c¸c s­ tû xinh ®Ñp cña chóng ta
10177	C«n L«n ph¸i ph¸t triÓn thÇn tèc! TiÓu n÷ rÊt ng­ìng mé! 
10178	Ai lµm hoµng ®Õ th× còng mÆc!  Nh­ng c¸c ng­¬i tµn s¸t sinh linh th× bæn c« n­¬ng kh«ng bá qua! 
10179	§¹i hiÖp!  §õng qua ®©y! 
10180	¸! Bä chĞt!!! 
10181	Tù häc khæ luyÖn!  T¹i h¹ v« cïng béi phôc! 
10182	Thóy Yªn  ta ung dung tù t¹i, kh«ng mµng ®Õn ph©n tranh giang hå!  ThËt lµ non tiªn c¶nh PhËt vËy! 
10183	Muéi tiÕp nhËn nhiÖm vô nhËp m«n ®· l©u vÉn ch­a hoµn thµnh! ChØ cÇn th«ng qua kh¶o nghiÖm Hoa Kh«i trËn th× chóng ta sÏ lµ tû muéi tèt
10184	Tû tû t¹i sao xuÊt s­ vËy!  Cø ë ®©y tù t¹i ch¼ng ph¶i vui vÎ l¾m sao!?
10185	Thóy Yªn m«n chóng ta tuy toµn lµ n÷, nh­ng vâ nghÖ lÊy 'Khinh, Kho¸i, Kú, Mü' mµ næi tiÕng giang hå. Tû muéi tÒ t©m!  Trong giang hå kh«ng ai d¸m coi khinh
10186	ChØ cÇn muéi ®Õn thØnh cÇu Thanh HiÓu S­ Th¸i xin chuyÓn qua Thóy Yªn m«n, sau ®ã ®Õn tr×nh kiÕn víi Do·n Hµm Yªn ch­ëng m«n cña ta th× cã thÓ ®­îc!  Yªn t©m!  Thanh HiÓu S­ Th¸i th«ng t×nh ®¹t lı, sÏ kh«ng lµm khã muéi ®©u! 
10187	L¹i cã thªm 1 ng­êi muèn ®Õn cÇu kinh niÖm phËt! ThËt lµ ®¸ng tiÕc! 
10188	Muéi cã muèn gia nhËp Thóy Yªn m«n cña chóng ta kh«ng?
10189	Tr­íc tiªn muéi h·y luyÖn tËp l¹i c¨n b¶n, ®¹t ®Õn <color=Red>cÊp 10<color> chóng ta sÏ lµ tû muéi 1 nhµ! 
10190	Ngò hµnh cña ng­¬i kh¸c víi bän ta!  §Õn ®©y lµm g×? H·y lªn diÔn ®µn häc hái thªm!
10191	Ta ®· chØnh lı l¹i tr¹ng th¸i nhiÖm vô cña ng­¬i. Ng­¬i ®· cã thÓ ®i nhËn nhiÖm vô xuÊt s­.
10192	Ta ®· chØnh lı l¹i tr¹ng th¸i nhiÖm vô cña ng­¬i. Ng­¬i ®· hoµn thµnh nhiÖm vô cÊp 40.
10193	Ta ®· chØnh lı l¹i tr¹ng th¸i nhiÖm vô cña ng­¬i. Ng­¬i ®· hoµn thµnh nhiÖm vô cÊp 30.
10194	Ta ®· chØnh lı l¹i tr¹ng th¸i nhiÖm vô cña ng­¬i. Ng­¬i ®· hoµn thµnh nhiÖm vô cÊp 20.
10195	Ta ®· chØnh lı l¹i tr¹ng th¸i nhiÖm vô cña ng­¬i. Ng­¬i ®· hoµn thµnh nhiÖm vô cÊp 10.
10196	Ta ®· chØnh lı l¹i tr¹ng th¸i nhiÖm vô cña ng­¬i. Ng­¬i ®· cã thÓ nhËn nhiÖm vô cÊp 10.
10197	Muéi l¹i lĞn ®i ch¬i n÷a ­?
10198	TiÓu s­ muéi l¹i xuèng nói ch¬i µ? Cã cÇn ta ®­a vÒ nói kh«ng?
