sourcename	targetname
Ò¶Ð¡Óñ	DiÖp TiÓu Ngäc
²è¿Í	Trµ Kh¸ch 
²è¹ÝÀÏ°å	Chñ tiÖm trµ 
²è²©Ê¿	Trµ b¸c sÜ 
²è¹ÝÐ¡¶þ	TiÓu nhÞ qu¸n trµ 
Ð»´óÒ¯	T¹ §¹i Gia
ËÕÈýÄï	T« Tam N­¬ng
²èÌ¯	Qu¸n trµ 
Ï¹ÆÅÆÅ	Bµ giµ mï 
Ð¡´¨	TiÓu Xuyªn
Ï²¶ù	HØ Nhi
»ªÔ±Íâ	Hoa Viªn Ngo¹i
Ë¿³ñÌ¯	TiÖm t¬ ®iÒu
ÔÓ»õµêÀÏ°å	Chñ tiÖm t¹p hãa
Êé»­Ì¯	TiÖm tranh
ÇîÊéÉú	Th­ sinh nghÌo
¿ÍÕ»Ð¡¶þ	TiÓu nhÞ l÷ qu¸n
¿ÍÕ»ÀÏ°å	Chñ l÷ qu¸n
¹¬Å®¼×	Cung N÷ Gi¸p
¹¬Å®ÒÒ	Cung N÷ Êt
»Ê¹¬ÎÀ±ø	VÖ binh hoµng cung
Ð¡Ì«¼à	TiÓu Th¸i gi¸m
ÁÙ°²¹«²î	 C«ng sai L©m An 
¶¡Ô±Íâ	§inh Viªn ngo¹i
½ûÎÀÍ³Áì	Thèng lÜnh cÊm VÖ 
ÑÃÒÛ	Nha DÞch
²ÉÒ©ÀÏÕß	Ng­êi h¸i thuèc
Ð»¼ÒÏ±¸¾	Con d©u T¹ gia
³èÎïµêÀÏ°å	Chñ tiÖm ®å cæ 
ÕÅ¿£	Tr­¬ng TuÊn
ÊéÉú	Th­ sinh
²Ü¹«¹«	Tµo C«ng C«ng
½ûÎÀ¶Ó³¤	 §éi tr­ëng CÊm VÖ 
½ûÎÀ¾ü	CÊm VÖ qu©n
ÑÛ¾µÍõòþÉß	Nh·n KÝnh V­¬ng m·ng Xµ 
ÑÛ¾µÉß	Nh·n KÝnh Xµ 
¸òó¡	Cãc
³àÁ·Éß	XÝch LuyÖn Xµ 
¶¾ÐÄ	§éc T©m
¹Æ»ó	Co HoÆc
¶¾´Ì	§éc ThÝch
¶¾ÑÀ	§éc Nha
Îå¶¾½ÌµÜ×Ó	§Ö tö Ngò §éc gi¸o
¶¾Ð«	§éc mät
òÚò¼	RÕt 
¶¾Ö©Öë	NhÖn ®éc
Ö©Öë	NhÖn
Ñªó¸òÜ	Cãc ®á
¶¾òþ	§éc m·ng
¶¾òáòæ	Th»n l»n
É£Öé	Tang Chu
ºÚÃæÀÉ¾ý	H¾c DiÖn Lang Qu©n
½ðÉßÏãÖ÷	Kim Xµ H­¬ng Chñ 
ÍÀÒì	§å DÞ 
ÔÆ²»Ð°	V©n BÊt Tµ 
°×Ó¨Ó¨	B¹ch Doanh Doanh 
ÌÀåö	Thang BËt
Ð»±£Òå	T¹ B¶o NghÜa
ÍêÑÕÌì´Í	Hoµn Nhan Thiªn Tø 
Éò°¬±ù	ThÈm Ng·i B¨ng 
¾²´È	TÜnhTõ
³ðÑÓ	Cõu Diªn
ÌÒ»¨ÒþÊ¿	§µo Hoa Èn SÜ 
ÌÆÈýµ¶	§­êng Tam §ao 
¿Õ»Ý	Kh«ng HuÖ 
·ë¾ýºâ	Phïng Qu©n Hµnh
ÃÏÐÇÑþ	M¹nh Tinh Dao
Ò¶·É	DiÖp Phi 
»ÒÀÇ	Sãi x¸m
Ñ©±ª	B¸o tr¾ng
»ÆÀÇ	Sãi Vµng
ÅÑÔô	Ph¶n tÆc
À¶½í	Lam C©n
Á÷¿Ü	L­u KhÊu
´©É½±ª	Xuyªn s¬n b¸o
Ò°±ª	B¸o hoang
³¤Ç¹	Tr­êng th­¬ng
÷ÙØ°	KÕ chñy
·ÉÁ­	Phi Liªm 
½ð¹úÃØÊ¹	Kim Quèc mËt sø 
¶áÃüÁ­	§o¹t mÖnh Liªm 
É½Ôô	S¬n tÆc
Ó°¹÷	¶nh C«n
ÀÇ°ô	Lang bæng
Æ½Ç¹	Th­¬ng th­êng
¿ìµ¶	Kho¸i ®ao 
Ç¿µÁ	C­êng ®¹o
»ðÀÇ	Sãi ®á
ÂÞÏüÆß¹í	La Tiªu ThÊt Quû 
ÔÆ²¿É½Ó¥	V©n Bé S¬n ¦ng 
ÔÆ²¿Ó¥Ö÷	V©n Bé ¦ng Chñ 
À×²¿¿ñÀÇ	L«i Bé Cuång lang
À×²¿ÀÇÖ÷	L«i Bé Lamg Chñ 
ºÚ½í	H¾c C©n
½ðÒÂ	Kim y
Ë«·æ	Song phong
½ð¹ú´Ì¿Í	Kim quèc ThÝch Kh¸ch 
Ñãµ´ÅÉÕÆÃÅ	Ch­ëng m«n Nh¹n §·ng ph¸i 
Ñãµ´ÅÉµÜ×Ó	§Ö tö Nh¹n §·ng ph¸i  
ºüÀê	Hå ly
²òÀÇ	Sãi nhá 
â¨ºï	Di hÇu
Ã·»¨Â¹	H­¬u ®èm
°×Öí	Heo tr¾ng
½ðÃ¨	Kim Miªu 
¹Ù²î	Quan sai
´äÑÌ»¨Ê¹	Thóy Yªn Hoa Sø 
Îå¶¾É¢ÈË	Ngò §écT¸n nh©n
Ð»ÇàÃ¼	T¹ Thanh My
Ï¼¶ù	Hµ Nhi
À¥ÂØ»¤·¨	C«n L«n Hé Ph¸p
¶ëáÒµÜ×Ó	§Ö tö Nga Mi
ÉÙÁÖÂÞºº	ThiÕu L©m La H¸n
ÖÓÀë	Chung CÇm
ÌÆÃÅµÜ×Ó	§Ö tö §­êng M«n 
¹¥³ÇÕ½½ÓÍ·ÈË	C«ng thµnh quan
ÕÂÒ¯Ò¯	T©n Gia Gia
ÌìÍõ°ïÖÚ	§Ö tö Thiªn V­¬ng 
Àî¼Ñ	Lý Giai
ÆÝÔÊÕæ	Uy DuÉn Ch©n 
Åí·Å	Bµnh Phãng
ÌìÈÌ½ÌÍ½	Thiªn NhÉn Gi¸o ®å
Îäµ±µÜ×Ó	§Ö tö Vâ §ang 
Ø¤°ïµÜ×Ó	§Ö tö C¸i Bang
ËÕºìÐä	T« Hång Tô 
¿×Ïþ	Khæng HiÓu
ÃÏÆÅÆÅ	M¹nh Bµ Bµ 
É³´ü	Bao c¸t
Ä¾×®	Cäc gç 
Ä¾ÈË	Méc nh©n
ÎäÊ¦	Vâ S­ 
ä½ÐÜ	GÊu
¾²óÆìøÊ¦	TÜnh §èc ThiÒn S­ 
°¢¸£	A Phóc 
Éò¾Ô	ThÈm C©u
ÌïÌ«ÆÅ	§iÒn Th¸i Bµ 
ÕÔ°ÙÄê	TriÖu B¸ch Niªn
ÍòÊÂÍ¨	V¹n Sù Th«ng
ãÉËÄÉô	MÉn Tø ThÈm
ÍõÊØÒå	V­¬ng Thñ NghÜa
Åí´óÒ¯	Bµnh §¹i Gia
±¼»ð	B«n Háa
ÕÔÒøæ·	TriÖu Ng©n §Ô
ÎÅ»Û	V¨n HuÖ 
¹ÈÖ®À¼	Cèc Chi Lan
Ç°Ê¹Íõ×ô	TiÒn Sø V­¬ng T¸ 
Ìì»¤·¨Â·ÔÆÔ¶	Thiªn Hé Ph¸p Lé V©n ViÔn 
â¦áû	X¸ LÞ 
´óä½ÐÜ	§¹i Hoµn Hïng
×óÊ¹¹Å°Ø	T¶ Sø Cæ b¸ch
µØ»¤·¨ÏÄ³Ï	§Þa Hé Ph¸p H¹ Thµnh
ÎÄÊé	V¨n Th­ 
ÓÒÊ¹Ñîºþ	H÷u Sø D­¬ng Hå 
µöÓãÎÌ	Ng­ ¤ng
ËïµÀÁì	T«n §¹o LÜnh 
Ë®Éú	Thuû Sinh 
Óæ¸¾ºÉÉ©	Ng­ Phô Hµ TÈu
ÌìÍõ°ïÖ÷Ñîçø	Thiªn V­¬ng Bang Chñ D­¬ng Anh
öùÓã	C¸ SÊu
½ð»·Éß	Kim Hoµn Xµ 
»ðöù	SÊu ®á
Ë®¹Ö	Thuû Qu¸i  
Ìú×¦	ThiÕt Tr¶o
ÐÐÕß	Hµnh gi¶ 
òáòæ¾«	Th»n l»n tinh
ÍÀÈË	§å tÓ 
ÓÎ¿Í	Du Kh¸ch 
ÂÞ¼ÒÉô×Ó	La gia ThÈm Tö 
Ë³Ë®	ThuËn Thuû 
ÌìÈÌËÀÊ¿	Thiªn NhÉn Tö sÜ 
ÓæÃñ	Ng­ d©n
Éò¾Å	ThÈm Cöu 
¾Å½ïÀÏµù	Cöu c©n l·o gia
·½¿ÉÎª	Ph­¬ng Kh¶ VÞ 
ÔÓ»õÆÌÀÏ°å	Chñ tiÖm t¹p hãa
ÌÆÃÅÊÌÎÀ	§­êng M«n ThÞ VÖ 
ÌìÍõ½«Áì	Thiªn V­¬ng T­íng LÜnh 
¶ëáÒ½õÒÂÄá	Nga My CÈm Y Ni
Îäµ±µÀÈË	Vâ §ang §¹o Nh©n 
Óá¾ÅÖÝ	Du Cöu Ch©u
ÎâÉñÒ½	Ng« ThÇn Y
Ð¡Óæ	TiÓu Ng­ 
°¢·¼	A Ph­¬ng 
¹ÅÀÏÌ«	Cæ L·o Th¸i
»ðºü	Háa Hå 
ÎÞÃûÉ®	V« danh T¨ng
ÂæÓ¢	L¹c Anh
ÌÕÈ»	§µo Nhiªn
ÂôÒ©ÎÌ	¤ng b¸n thuèc
Âô±øÆ÷µÄÈË	Ng­êi b¸n binh khÝ 
È½ÎÌ	NhiÔm ¤ng
Ð¡Ò¶	TiÓu DiÖp 
ÏÉºü	Hå tinh
»ðòáòæ	Th»n l»n ®á
Í­´¸	§ång Chïy 
ÍºðÕ	KÒn KÒn
²ÔÓ¥	Th­¬ng ¦ng 
¶Û¸«ºº	§én Phñ H¸n
ÍÁ·ËÍ·Ä¿	Thæ PhØ §Çu Môc
»ðÑ×»¢	Háa Viªm Hæ 
ºÚÐÜ	GÊu ®en
òùòð	D¬i
Ñªòð	D¬i ®á
ÎüÑªòùòð	D¬i hót m¸u
±ª×ÓÍ·	B¸o Tö ®Çu
»ª±±É½Ôô2	Hoa B¾c S¬n tÆc 2
Âíºï	KhØ ngùa
Ò°Å£	Tr©u rõng
ºÚÒ¶ºï	H¾c DiÖp HÇu 
¶À¹Âö©	§éc Hå V¨n
¶À¹Â½£	§écHå KiÕm
ÕÅÁÕÐÄ	Tr­¬ng L©m T©m
ðÕÉñ	Thøu ThÇn
½ðµñ	Kim §iªu
ºâÉ½µÜ×Ó	§Ö tö Hoµnh S¬n  
Ëæ¾üÒ©Ò½	Tïy Qu©n D­îc y
ÃÜµÀÎÀ±ø	VÖ binh MËt §¹o 
¾üÓªÎÀ±ø	VÖ binh qu©n doanh
¾üÐè¹Ù	Qu©n nhu Quan 
ÀÞ³¡ÃÅÊÌ	VÖ binh ®Êu tr­êng
ÉÙÁÖÅÑÉ®	ThiÕu L©m Ph¶n T¨ng
Ò©··	B¸n thuèc
¡°Ñýµ¶¡±ÕÔ·½	“Yªu §ao ”TriÖu Ph­¬ng
Ñ©¹Ö	TuyÕt Qu¸i  
´óÑ©¹Ö	§¹i TuyÕt Qu¸i  
¹ÖÈË	Qu¸i  Nh©n 
Óñºâ×Ó	Ngäc Hoµnh Tö 
Ò°ºï	KhØ hoang
»Òºï	KhØ x¸m
ºÚºï	KhØ ®en
½ðË¿ºïÍõ	Kim T¬ HÇu V­¬ng 
ÉÛÓñ·É	ThiÖu Ngäc Phi 
ÓãËØÕæ	Ng­ Tè Ch©n 
ÇðÓ¢	Kh©u Anh 
Í¯Ï¦ÑÕ	§ång TÞch Nhan
³¾Ôµ	TrÇn Duyªn
Ð¡º®	TiÓu Hµn 
³¾ÐÄ	TrÇn T©m
³¾Äî	TrÇn NiÖm
ÇàéÔÛÅ	Thanh TiÒu TÈu 
Ì¾Ï¢ÀÏÈË	Th¸n Tøc L·o Nh©n 
ÖìÈ±	Chu KhuyÕt
è¯çá×Ó	TuyÒn C¬ Tö 
ÇàÁ«×Ó	Thanh Liªn Tö 
¶Û¸«	§én Phñ 
µ¶¿Í	§ao Kh¸ch 
¶Ìêª	§o¶n KÝch
ºìÔÂ	Hång NguyÖt 
À¶ÔÆ	Lam V©n 
É³Ð«	Bä c¹p
É³ðÕ	Kªn ®Êt
Á÷·ç	L­u Phong 
Á÷¹â	L­u Quang
Á÷ÔÆ	L­u V©n 
¼²Óð	TËt Vò 
¼²·ç	TËt Phong 
¼²µç	TËt §iÖn 
¼²Ñ×	TËt Viªm 
¼²Óê	TËt Vò 
ÍÁ·Ë	Thæ PhØ 
·çÃù	Phong Minh 
Áé¶¯	Linh §éng 
ÓñÃæ	Ngäc DiÖn 
¿ìÍÈ	Kho¸i Thèi
Ë«¸«	Song Phñ 
´©É½	Xuyªn S¬n 
Ò°Ã¨	MÌo rõng 
»Æâ¨ºï	Hoµng Di HÇu 
õËµÀÈË	 §¹o Nh©n QuÌ 
³àºü	C¸o ®á
½ðÇ®±ª	Kim TiÒn B¸o
ÎÄ±ª	V¨n B¸o
»¨°ß±ª	Hoa Ban B¸o
Çà¶Ü	Thanh Mi 
Á÷ÀË	L­u L­¬ng
Àû¸«	Lîi Phñ 
´Ì¿Í	ThÝch Kh¸ch 
Ã§ºº	M·ng H¸n
×·»ê	Truy Hån
Á÷ÐÇ	L­u Tinh 
³Ë·ç	Thõa Phong 
Å®´Ì¿Í	N÷ ThÝch Kh¸ch 
´óÏó	§¹i T­îng
»ÆºÓÏó	Voi Hoµng Hµ 
°×»¢	B¹ch Hæ 
ÎÞÃûÀÏµÀ	V« Danh L·o §¹o 
³Ì´óÎª	Tr×nh §¹i Vi
ÕÔÃ¼¶ù	TriÖu Mi Nhi
ÕÔ¼ÒÆÅÆÅ	TriÖu gia Bµ Bµ 
ÉÏ¹ÙÇï	Th­îng Quan Thu 
ÀÏ°åÄï	Bµ chñ 
éØÏã	Tª H­¬ng 
Ëï¶þÀÉ	T«n NhÞ Lang 
ËïÐ¡Ð¡	T«n TiÓu TiÓu 
Ëï¼ÒÉ©×Ó	T«n gia TÈuTö 
Ã·Ïã	Mai H­¬ng 
½Ð»¨×Ó	¡n mµy
·¨ÃÅËÂ×¡³Ö	Trô tr× Ph¸p M«n tù 
ÔøÔÆÓ¢	T¨ng V©n Anh 
Âô²Ë¸¾	Ng­êi b¸n rau
½­ÆÅÆÅ	Giang Bµ Bµ 
²Ì´óÊå	Th¸i §¹i thóc 
¶¹¶¹	§Ëu §Ëu 
ÂÀÀÏºº	L÷ L·o H¸n
ÅíÐ¡µÜ	Bµnh TiÓu ®Ö
ÇØ¶þ¸ç	TÇn NhÞ ca
ÖìÍÀ·ò	Chu §å Phu
ÌÀ°ü×Ó	Thang Bao Tö 
ïÚ¾ÖÀÏ°å	¤ng chñ Tiªu côc
ÑÃÃÅ²îÒÛ	Nha M«n sai dÞch
ÑîÊéÉú	D­¬ng Th­ sinh
³èÎïÀÏ°å	¤ng chñ ®å cæ 
ºúÔ±Íâ	Hå Viªn Ngo¹i
á¯ÐÛ	SÇm Hïng
ÓàÎä	D­ Vò 
²ÌÉôÉô	Th¸i ThÈm ThÈm 
ÓàÉ©	D­ TÈu
°¢½¿	A KiÒu
Äµµ¤	MÉu §¬n
°¢Å£	A Ng­u
ÕÅ×ÓÉÆ	Tr­¬ng Tö ThiÖn
´ä´ä	Thóy Thóy 
ÇàÀÇ	Sãi xanh
Áéµñ	Linh §iªu
²Ý¿Ü¼×	Th¶o KhÊu Gi¸p
²Ý¿ÜÒÒ	Th¶o KhÊu Êt
µÁ¾­ÈË	Ng­êi trém kinh
ÁÎÆç	LiÖu Kú 
´ó´Ìâ¬	NhÝm to
½ðÉ½ÕÆÃÅ	Kim S¬n Ch­ëng M«n 
´óÒ°Öí	§¹i Heo rõng
»ªÉ½ÀÏÛÅ	Hoa S¬n L·o TÈu 
æäÕ¾³µ·ò	DÞch tr¹m Xa phu
ÉÙÁÖµÜ×Ó³£°ÙÀï	ThiÕu L©m §Ö tö Th­êng B¸ch Lý 
ÉÙÁÖµÜ×Ó¼¾µÑ·ç	ThiÕu L©m §Ö tö Lý §Þch Phong 
½ð±ø	Kim binh 
½ð¹ú½«ÁìÍÐ¶ûºº	Kim quèc t­íng LÜnh Th¸c NhÜ H¸n
Å£Å£	Ng­u Ng­u
Å·Ñô	¢u D­¬ng 
»ÆÊå	Hoµng thóc 
¶­´óÊå	§æng §¹i thóc 
³ÌÎÞÐÄ	Tr×nh V« T©m
·ï¶ù	Phông Nhi
ÓÀÀÖµ±ÆÌÀÏ°å	¤ng chñ cÇm ®å VÜnh l¹c
Â³Ò¯	Lç Gia
ÀîÔ¥	Lý Dù 
¾Õæ¤	Cóc N÷u 
ÔÓ»õÀÏ°å	¤ng chñ t¹p hãa
´ºÏã	Xu©n H­¬ng 
ÊæÄÌÄÌ	Bµ Th­ 
¶­´óÂè	§æng §¹i Ma
¸ðÒ¯	C¸t Gia
µÁ±¦Ôô	Trém b¶o tÆc
Í­ÈË	§ång Nh©n 
³àÉß	R¾n ®á
»Òòð	D¬i x¸m
ºìòð	§¬i ®á
Å©·ò	N«ng Phu
ÕÆÃÅÌÆ³ð	Ch­ëng M«n §­êng Cõu 
¾ø´ºÛÅÌÆÒ°	TuyÖt Xu©n TÈu §­êng D· 
³àÑæöù	XÝch DiÖm Ng¹c
ÌÆ¶¾	§­êng §éc 
¹Ü¼Ò	Qu¶n Gia
ÌÆÇá	§­êng Khinh 
ÌÆÈ±	§­êng KhuyÕt 
´óºÚÒ¶ºï	§¹i H¾c DiÖp HÇu 
ÌÆÃÅ×¯¶¡	§­êng M«n Tr¸ng §inh 
´óÒ°ºï	§¹i D· HÇu 
´óÂíºï	§¹i M· HÇu 
ÌÆ²»È¾	§­êng BÊt NhiÔm 
°×ÅÛÛÅÌÆº×	B¹ch bµo TÈu §­êng H¹c
½¹÷×ÛÅÌÆÔÆ	Tiªu Nhiªm TÈu §­êng V©n 
µã¾¦»¢	§iÓm T×nh Hæ 
ÌÆÒ»³¾	§­êng NhÊt TrÇn 
ÃîÒþ	DiÖu Èn 
òáòæÍõ	Th»n l»n chóa 
½ðË¿ºï	Kim t¬ HÇu 
¡°Ó³Ñ©ÏÉ×Ó¡±ÄÂÔÆ´È	Ánh TuyÕt Tiªn Tö Môc V©n Tõ 
ÃîÁé	DiÖu Linh 
Ãî½à	DiÖu KhiÕt 
ÃîÐÄ	DiÖu T©m
»ÛÄá	HuÖ Ni
ÓðÒÂÄá	Vò Y Ni
Ãî³¾	DiÖu TrÇn 
¡°ÒÆ¹âÏÉ×Ó¡±Ð»ÔÆÂÜ	Di QuangTiªn Tö T¹ V©n La 
¡°ºá²¨ÏÉ×Ó¡±ºÎÁ¯Æ®	Hoµnh Ba Tiªn Tö Hµ Linh Phiªu
¡°·÷ÔÆÏÉ×Ó¡±ÇØÒÐ·ç	PhÊt V©n Tiªn Tö TÇn Kú Phong 
¡°ÕÛÃ·ÏÉ×Ó¡±Ò¶±ùºÛ	TriÕt Mai Tiªn Tö DiÖp B¨ng Ng©n
¡°°ÝÔÂÏÉ×Ó¡±ËÕ´ÊÜ°	B¸i NguyÖt Tiªn Tö T« Tõ Hinh
¶ëáÒÕÆÃÅÇåÏþÊ¦Ì«	Nga My Ch­ëng M«n Thanh  HiÓu S­ Th¸i
»ðÔÆ»¢	Háa V©n Hæ 
ÃîÈç	DiÖu Nh­ 
ÐÁÔ±Íâ	T©n Viªn Ngo¹i
Îº´óÒ¯	Ngôy §¹i Gia
Ð¡»ì»ì	TiÓu Hçn Hçn 
Ð¤ÆÅÆÅ	Tiªu Bµ Bµ 
ÓÎÈË	Du Nh©n 
Ñ¦Ð¡ÃÃ	TiÕt TiÓu Muéi
Ê¯†´	Th¹ch TriÕt
ÖÜË´Îä	Chu ThuÊn Vò 
Ã·Äï	Mai N­¬ng
´º¹Ã	Xu©n C« 
ÐÁ¶þÉô	T©n NhÞ ThÈm 
ÄªÐã²Å	M¹c Tó Tµi  
ÐìÉ©	Tõ TÈu
Ó¦²É¶ù	øng Th¸i Nhi
ÎºÐ¡Ã÷	Ngôy TiÓu Minh
×Þ³¤¾Ã	Tr©u Tr­êng Cöu 
Âí··¸ú°à	Ng­êi ch¨m sãc ngùa
¸ßÀÏ°å	¤ng chñ Cao  
ËÂÉ®	Tù T¨ng 
´ÈÔÆ·¨Ê¦	Tõ V©n Ph¸p S­ 
·½ÊÊ	Ph­¬ng Qu¸t
²ÉÒ©ÉÙÅ®	C« g¸i h¸i thuèc
ÒüÉñËã	Do·n ThÇn To¸n
±Ì»ª	BÝch Hoa 
ÑÌ¶ù	Yªn Nhi
ÕÅËÄÉ©	Tr­¬ng Tø TÈu
ËïÍñ	T«n UyÓn
ºØÀ¼Ö¥	H¹ Lan Chi
ËÎ¾ÙÈË	Tèng cö Nh©n 
ÂäÆÇ×ÓµÜ	L¹c HånTö ®Ö
Ð×É®	Hung T¨ng 
ÅÑÉ®Í·Ä¿	Ph¶n T¨ng §Çu Môc
ÂÞÏÈÉú	La Tiªn Sinh 
ÔÂÏÂÀÏÈË	NguyÖt H¹ l·o nh©n
ÌÆÔª¾Ë¾Ë	CËu cña §­êng Nguyªn  
ÌÆÔª	§­êng Nguyªn 
ÎâºìÃ·	Ng« Hång Mai
»¢×ÓÄï	Hæ Tö N­¬ng
»¢×Ó	Hæ Tö 
¹ùÓÂ	Qu¸ch Dòng
ÌìÌìÄï	Thiªn Thiªn N­¬ng
ÌìÌì	Thiªn Thiªn 
ÎâÀÏµù	Ng« L·o gia
¶ñÄá	¸c Ni
ÉñÃØÉ±ÊÖ	ThÇn BÝ s¸t thñ 
½çÎÞÐ°	Giíi V« Tµ 
½ðÇ¹	Kim Th­¬ng
ÁéÓ¡	Linh Ên 
Ìú´¸Ä§¾ý	ThiÕt Chïy Ma Qu©n 
ÌúÈ­ÑÖÂÞ	ThiÕt QuyÒn Diªm La 
ÌÆºÌ	§­êng Hßa
Ð¡Í·Ä¿À÷È­	TiÓu §Çu Môc LÞch QuyÒn
´óÍ·Ä¿¿ñÉ³	§¹i §Çu Môc Cuång Sa
Ð¡Í·Ä¿¶À¶ú	TiÓu §Çu Môc §écNhÜ 
Ð¡Í·Ä¿¹íÓ°	TiÓu §Çu Môc Quû ¶nh
Ð¡Í·Ä¿Ìú±Û	TiÓu §Çu Môc ThiÕt Tý 
³¤µ¶	Tr­êng §ao 
Ò¹²æ	D¹ Xoa
ÁéÊÞ	Linh thó 
¸ßÈË	Cao Nh©n 
Ð×ðÕ	Hung Thó 
ºÚÓ¥	H¾c ¦ng 
×ØÐÜ	T«ng Hïng 
¹¢×ÓÆæ	C¶nhTö Kú 
ÃÍ»¢	M·nh Hæ 
ÉñÃØÈË	ThÇn BÝ Nh©n 
´¬¼Ò	ThuyÒn gia 
½ðâ¨ºï	Kim Di HÇu 
»ðòá	Th»n l»n ®á
ÑÃÃÅÎÀ±ø	Nha M«n VÖ binh
ºÍÉÐ	Hßa Th­îng
¶ÎË¼³É	§oµn T­ Thµnh 
ÐéÔ²·½ÕÉ	H­ Viªn Ph­¬ngTr­îng 
Áú×·Îè	Long Truy Vò 
¶¡°¢Åô	§inh A B»ng
µ¶Á«Ó¢	§ao Liªn Anh 
¶­¿ËÒÑ	§æng Kh¾c DÜ 
¾Æ¿Í	Töu Kh¸ch 
»¨Å©	Hoa N«ng 
°¢ä¿	A Kú 
ÎÄÎÄ	V¨n V¨n 
¶ÎÀÏºº	§oµn L·o H¸n
µ«ÐÓ»¨	§¶n H¹nh Hoa 
°×ÀÏºº	B¹ch L·o H¸n
³µÀÏÌ«	Xa L·o Th¸i 
¶ÎÓñ·ï	§oµn NgäcPhông 
ÓãÏºÌ¯	Ng­ H¹ Than 
Óæ·òÒÒ	Ng­ Phu Êt
Óæ·ò¶¡	Ng­ Phu §inh 
Óæ·ò±û	Ng­ Phu BÝnh 
Óæ·ò¼×	Ng­ Phu Gi¸p
¶ñ°Ô´òÊÖ	¸c b¸ ®¶ thñ 
¶ñ°Ô	¸c b¸ 
ÆÃÆ¤	B¸t B× 
²×ÀË¿Í	Th­¬ng L­¬ng Kh¸ch 
°¢Çí	A Kinh 
ÉòÒ¯	ThÈm Gia
ÁøÒ¶¶ù	LiÔu DiÖp Nhi
°¢È«	A Toµn 
°¢Âê	A M· 
°¢Ô´	A Nguyªn 
ÎâõÂÈË	Ng« NghiÔn Nh©n 
Òüº¬ÑÌ	Do·n Hµm Yªn
æÌÏþÙ»	Yªn HiÓu Tr¸i
