DES_GOLDNAME	DES_GENRE	DES_DETAILTYPE	MAR_FIRST_DETAIL	MAR_COUNT	DES_BADVALUES	DES_STANDARDVALUES
V« TrÇn Ngäc N÷ Tè T©m qu¸n	0	41	1170	6	350000000	550000000
V« TrÇn Thanh T©m H­íng ThiÖn Ch©u	0	42	813	6	300000000	650000000
V« TrÇn PhËt Quang ChØ Hoµn	0	45	1049	6	450000000	700000000
Tª Hoµng Phông Nghi ®ao	0	46	630	9	750000000	1200000000
Tª Hoµng Phong TuyÕt B¹ch V©n Thóc §¸i	0	48	1176	6	550000000	800000000
Tª Hoµng B¨ng Tung CÈm uyÓn	0	49	1055	6	500000000	800000000
BÝch H¶i Uyªn ¦¬ng Liªn Hoµn ®ao	0	51	639	9	300000000	500000000
BÝch H¶i Hång Linh Kim Ti ®¸i	0	53	1182	6	300000000	450000000
BÝch H¶i Hång L¨ng Ba	0	54	819	6	160000000	300000000
U Lung Kim Xµ Ph¸t ®¸i	0	56	825	6	150000000	300000000
U Lung Thanh Ng« TriÒn yªu	0	58	1188	6	500000000	700000000
U Lung MÆc Thï NhuyÔn Lý 	0	60	831	6	120000000	250000000
Minh ¶o Tµ S¸t §éc NhËn	0	61	648	9	500000000	800000000
Minh ¶o U §éc ¸m Y	0	62	1061	6	300000000	500000000
Minh ¶o Hñ Cèt Hé uyÓn	0	64	1194	6	550000000	800000000
Chó Ph­îc Ph¸ gi¸p ®Çu hoµn	0	66	1067	6	250000000	450000000
Chó Ph­îc DiÖt L«i C¶nh Phï 	0	67	837	6	300000000	500000000
Chó Ph­îc Xuyªn T©m §éc UyÓn	0	69	1200	6	300000000	450000000
B¨ng Hµn §¬n ChØ Phi §ao	0	71	980	9	550000000	800000000
B¨ng Hµn HuyÒn Y Thóc Gi¸p	0	72	1073	6	300000000	500000000
B¨ng Hµn T©m TiÔn Yªu KhÊu	0	73	1206	6	450000000	650000000
Thiªn Quang Hoa Vò M¹n Thiªn	0	76	657	9	650000000	1000000000
Thiªn Quang §Þnh T©m Ng­ng ThÇn Phï 	0	77	989	6	450000000	800000000
Thiªn Quang S©m La Thóc §¸i	0	78	1212	6	550000000	800000000
S©m Hoang Phi Tinh §o¹t Hån	0	81	666	9	500000000	800000000
S©m Hoang Hån Gi¶o Yªu Thóc	0	83	1218	6	450000000	650000000
S©m Hoang Tinh VÉn Phi Lý 	0	85	1079	6	400000000	600000000
§Þa Ph¸ch Ngò hµnh Liªn Hoµn Qu¸n	0	86	1085	6	400000000	600000000
§Þa Ph¸ch H¾c DiÖm Xung Thiªn Liªn	0	87	843	6	300000000	500000000
§Þa Ph¸ch KhÊu T©m tr¹c	0	89	1224	6	500000000	650000000
§ång Cõu Gi¸ng Long C¸i Y	0	92	849	6	150000000	350000000
§ång Cõu TiÒm Long Yªu §¸i	0	93	1230	6	600000000	800000000
§ång Cõu Kh¸ng Long Hé UyÓn	0	94	855	6	250000000	750000000
§Þch Kh¸i Lôc Ngäc Tr­îng	0	96	675	9	1000000000	1500000000
§Þch Kh¸i TriÒn M·ng yªu ®¸i	0	98	1236	6	700000000	1000000000
§Þch Kh¸i CÈu TÝch B× Hé uyÓn	0	99	1091	6	350000000	550000000
Ma S¸t Quû Cèc U Minh Th­¬ng	0	101	684	9	600000000	900000000
Ma S¸t Tµn D­¬ng ¶nh HuyÕt Gi¸p	0	102	1097	6	350000000	500000000
Ma S¸t XÝch Ký Táa Yªu KhÊu	0	103	1254	6	400000000	650000000
Ma Hoµng Kim Gi¸p Kh«i	0	106	861	6	150000000	320000000
Ma Hoµng ¸n XuÊt Hæ H¹ng Khuyªn	0	107	867	6	300000000	500000000
Ma Hoµng Khª Cèc Thóc yªu ®¸i	0	108	1242	6	300000000	450000000
Ma ThÞ LiÖt DiÖm Qu¸n MiÖn	0	111	1103	6	450000000	800000000
Ma ThÞ HuyÕt Ngäc ThÊt S¸t Béi	0	114	1248	6	400000000	550000000
Ma ThÞ s¬n  H¶i Phi Hång Lý 	0	115	873	6	150000000	320000000
L¨ng Nh¹c Th¸i Cùc KiÕm	0	116	1010	9	500000000	800000000
L¨ng Nh¹c Né L«i Giíi	0	118	1260	6	650000000	850000000
L¨ng Nh¹c V« Cùc HuyÒn Ngäc Béi	0	119	879	6	400000000	800000000
CËp Phong Ch©n Vò KiÕm	0	121	693	9	1400000000	2100000000
CËp Phong Tam Thanh Phï 	0	122	885	6	400000000	700000000
CËp Phong HuyÒn Ti Tam §o¹n cÈm	0	123	1266	6	900000000	1200000000
S­¬ng Tinh Thiªn Niªn Hµn ThiÕt	0	126	702	9	450000000	800000000
S­¬ng Tinh Thanh Phong Lò ®¸i	0	128	1272	6	450000000	650000000
S­¬ng Tinh Thiªn Tinh B¨ng Tinh thñ 	0	129	1109	6	450000000	800000000
L«i Khung Hµn Tung B¨ng B¹ch quan	0	131	1004	6	400000000	600000000
L«i Khung Thiªn §Þa Hé phï 	0	132	891	6	300000000	500000000
L«i Khung Phong L«i Thanh CÈm ®¸i	0	133	1278	6	300000000	450000000
Vô ¶o B¾c Minh §¹o qu¸n	0	136	897	6	150000000	250000000
Vô ¶o Thanh ¶nh HuyÒn Ngäc Béi	0	139	1284	6	200000000	350000000
Vô ¶o Tung Phong TuyÕt ¶nh ngoa	0	140	1115	6	300000000	450000000
§Þnh Quèc Thanh Sa Tr­êng Sam	0	159	927	4	20000000	30000000
§Þnh Quèc ¤ Sa Ph¸t Qu¸n	0	160	783	6	100000000	150000000
§Þnh Quèc XÝch Quyªn NhuyÔn Ngoa	0	161	931	4	5000000	10000000
§Þnh Quèc Tö §»ng Hé uyÓn	0	162	935	4	5000000	10000000
§Þnh Quèc Ng©n Tµm Yªu ®¸i	0	163	939	4	5000000	10000000
An Bang B¨ng Tinh Th¹ch H¹ng Liªn	0	164	747	6	100000000	180000000
An Bang Cóc Hoa Th¹ch ChØ hoµn	0	165	753	6	100000000	180000000
An Bang §iÒn Hoµng Th¹ch Ngäc Béi	0	166	759	6	80000000	120000000
An Bang Kª HuyÕt Th¹ch Giíi ChØ 	0	167	765	6	100000000	180000000
HiÖp Cèt ThiÕt HuyÕt Sam	0	186	903	4	10000000	15000000
HiÖp Cèt §a T×nh Hoµn	0	187	907	4	500000	1000000
HiÖp Cèt §an T©m Giíi	0	188	911	4	500000	1000000
HiÖp Cèt T×nh ý KÕt	0	189	771	6	100000000	150000000
Nhu T×nh C©n Quèc Nghª Th­êng	0	190	777	6	200000000	220000000
Nhu T×nh Thôc N÷ H¹ng Liªn	0	191	915	4	500000	1000000
Nhu T×nh  Phông Nghi Giíi ChØ 	0	192	919	4	500000	1000000
Nhu T×nh  TuÖ T©m Ngäc Béi	0	193	923	4	5000000	10000000
§¹i M· Hæ TrÝch Tinh hoµn	0	194	711	6	400000000	400000000
§¹i M· Hæ §­êng Nghª gi¸p	0	195	717	6	200000000	200000000
§¹i M· Hæ Lôc PhØ Thóy Hé Th©n phï 	0	196	723	6	200000000	200000000
§¹i M· Hæ B¾c Kinh Chi Méng	0	197	540	9	5000000000	5000000000
§¹i M· Hæ B¹ch Kim yªu ®¸i	0	198	729	6	200000000	200000000
§¹i M· Hæ Thiªn Tµm Hé UyÓn	0	199	735	6	300000000	300000000
§¹i M· Hæ Ngò S¾c Ngäc Béi	0	200	549	9	2500000000	2500000000
§¹i M· Hæ Thiªn Tµm Ngoa	0	201	741	6	200000000	200000000
§¹i M· Hæ Nha §iÓn Chi Hån	0	202	558	9	5000000000	5000000000
§¹i M· Hæ B«n L«i Toµn Long th­¬ng	0	203	567	9	1000000000	1000000000
Hång ¶nh ThÈm Viªn UyÓn	0	204	1292	6	80000000	400000000
Hång ¶nh KiÕm Bµi	0	205	1298	6	50000000	250000000
Hång ¶nh Môc Tóc	0	206	1304	6	50000000	250000000
Hång ¶nh Tô Chiªu	0	207	1310	6	30000000	150000000
