Ãû³Æ	ItemGenre	DetailType	ParticularType	¶¯»­ÎÄ¼þÃû	¶ÔÓ¦Îï¼þË÷Òý	¿í¶È	¸ß¶È	ËµÃ÷ÎÄ×Ö	ÎåÐÐÊôÐÔ	¼Û¸ñ	µÈ¼¶	ÊÇ·ñµþ·Å	»ù´¡ÊôÐÔ1ÀàÐÍ	»ù´¡ÊôÐÔ1×îÐ¡Öµ	»ù´¡ÊôÐÔ1×î´óÖµ	»ù´¡ÊôÐÔ2ÀàÐÍ	»ù´¡ÊôÐÔ2×îÐ¡Öµ	»ù´¡ÊôÐÔ2×î´óÖµ	»ù´¡ÊôÐÔ3ÀàÐÍ	»ù´¡ÊôÐÔ3×îÐ¡Öµ	»ù´¡ÊôÐÔ3×î´óÖµ	»ù´¡ÊôÐÔ4ÀàÐÍ	»ù´¡ÊôÐÔ4×îÐ¡Öµ	»ù´¡ÊôÐÔ4×î´óÖµ	»ù´¡ÊôÐÔ5ÀàÐÍ	»ù´¡ÊôÐÔ5×îÐ¡Öµ	»ù´¡ÊôÐÔ5×î´óÖµ	»ù´¡ÊôÐÔ6ÀàÐÍ	»ù´¡ÊôÐÔ6×îÐ¡Öµ	»ù´¡ÊôÐÔ6×î´óÖµ	»ù´¡ÊôÐÔ7ÀàÐÍ	»ù´¡ÊôÐÔ7×îÐ¡Öµ	»ù´¡ÊôÐÔ7×î´óÖµ	ÐèÇóÊôÐÔ1ÀàÐÍ	ÐèÇóÊôÐÔ1ÊýÖµ	ÐèÇóÊôÐÔ2ÀàÐÍ	ÐèÇóÊôÐÔ2ÊýÖµ	ÐèÇóÊôÐÔ3ÀàÐÍ	ÐèÇóÊôÐÔ3ÊýÖµ	ÐèÇóÊôÐÔ4ÀàÐÍ	ÐèÇóÊôÐÔ4ÊýÖµ	ÐèÇóÊôÐÔ5ÀàÐÍ	ÐèÇóÊôÐÔ5ÊýÖµ	ÐèÇóÊôÐÔ6ÀàÐÍ	ÐèÇóÊôÐÔ6ÊýÖµ
§¹i UyÓn Thanh M· 	0	10	1	\spr\item\equip\horse\horse001.spr	40	2	3	Mét lo¹i ngùa quý, l«ng tr¾ng x¸m, m¾t nh­ ngäc 	1	25000	7	0	111	40%	40%	93	500	500	85	50	50	150	-160	-160										36	50										
§¹i UyÓn Thanh M· 	0	10	1	\spr\item\equip\horse\horse001.spr	40	2	3	Mét lo¹i ngùa quý, l«ng tr¾ng x¸m, m¾t nh­ ngäc 	1	25000	8	0	111	40%	40%	93	500	500	85	50	50	150	-160	-160										36	55										
Hoa L­u	0	10	1	\spr\item\equip\horse\horse001.spr	40	2	3	Mµu ®á rùc nh­ löa, mét trong t¸m con danh m· cña Chu Môc V­¬ng.	1	50000	9	0	111	50%	50%	93	1000	1000	85	100	100	150	-320	-320										36	60										
Hoa L­u	0	10	1	\spr\item\equip\horse\horse001.spr	40	2	3	Mµu ®á rùc nh­ löa, mét trong t¸m con danh m· cña Chu Môc V­¬ng.	1	50000	10	0	111	50%	50%	93	1000	1000	85	100	100	150	-320	-320										36	72										
LiÖt B¹ch M· 	0	10	2	\spr\item\equip\horse\horse007.spr	40	2	3	Mét lo¹i ngùa th­êng l«ng tr¾ng, kh«ng ®¸ng gi¸.	2	2500	1	0	111	20%	20%	93	50	50	85	5	5	150	-10	-10										36	20										
LiÖt B¹ch M· 	0	10	2	\spr\item\equip\horse\horse007.spr	40	2	3	Mét lo¹i ngùa th­êng l«ng tr¾ng, kh«ng ®¸ng gi¸.	2	2500	2	0	111	20%	20%	93	50	50	85	5	5	150	-10	-10										36	25										
B¹ch M· 	0	10	2	\spr\item\equip\horse\horse007.spr	40	2	3	Mét lo¹i ngùa th­êng l«ng tr¾ng, ë ®©u còng thÊy.	2	5000	3	0	111	30%	30%	93	100	100	85	10	10	150	-20	-20										36	30										
B¹ch M· 	0	10	2	\spr\item\equip\horse\horse007.spr	40	2	3	Mét lo¹i ngùa th­êng l«ng tr¾ng, ë ®©u còng thÊy.	2	5000	4	0	111	30%	30%	93	100	100	85	10	10	150	-20	-20										36	35										
Ngäc Hoa Th«ng	0	10	2	\spr\item\equip\horse\horse007.spr	40	2	3	TruyÒn thuyÕt nãi ®©y lµ mét loµi Thiªn M·, thùc tÕ chØ lµ §¹i UyÓn M·.	2	10000	5	0	111	40%	40%	93	200	200	85	20	20	150	-50	-50										36	40										
Ngäc Hoa Th«ng	0	10	2	\spr\item\equip\horse\horse007.spr	40	2	3	TruyÒn thuyÕt nãi ®©y lµ mét loµi Thiªn M·, thùc tÕ chØ lµ §¹i UyÓn M·.	2	10000	6	0	111	40%	40%	93	200	200	85	20	20	150	-50	-50										36	45										
§¹i UyÓn B¹ch M· 	0	10	2	\spr\item\equip\horse\horse007.spr	40	2	3	Mét trong nh÷ng lo¹i §¹i UyÓn Danh m·,mµu tr¾ng nh­ tuyÕt, hµnh tr×nh cùc nhanh.	2	25000	7	0	111	50%	50%	93	500	500	85	50	50	150	-100	-100										36	50										
§¹i UyÓn B¹ch M· 	0	10	2	\spr\item\equip\horse\horse007.spr	40	2	3	Mét trong nh÷ng lo¹i §¹i UyÓn Danh m·,mµu tr¾ng nh­ tuyÕt, hµnh tr×nh cùc nhanh.	2	25000	8	0	111	50%	50%	93	500	500	85	50	50	150	-100	-100										36	55										
Tóc S­¬ng	0	10	2	\spr\item\equip\horse\horse007.spr	40	2	3	Lo¹i Thiªn Lý M· thuÇn tóy, l«ng tr¾ng nh­ tuyÕt, thÕ gian hiÕm thÊy.	2	50000	9	0	111	60%	60%	93	1000	1000	85	100	100	150	-200	-200										36	60										
Tóc S­¬ng	0	10	2	\spr\item\equip\horse\horse007.spr	40	2	3	Lo¹i Thiªn Lý M· thuÇn tóy, l«ng tr¾ng nh­ tuyÕt, thÕ gian hiÕm thÊy.	2	50000	10	0	111	60%	60%	93	1000	1000	85	100	100	150	-200	-200										36	72										
LiÖt H¾c M· 	0	10	3	\spr\item\equip\horse\horse009.spr	40	2	3	Mét lo¹i ngùa th­êng l«ng ®en,gi¸ trÞ kh«ng cao.	3	2500	1	0	111	10%	10%	93	50	50	85	5	5	150	-10	-10										36	20										
LiÖt H¾c M· 	0	10	3	\spr\item\equip\horse\horse009.spr	40	2	3	Mét lo¹i ngùa th­êng l«ng ®en,gi¸ trÞ kh«ng cao.	3	2500	2	0	111	10%	10%	93	50	50	85	5	5	150	-10	-10										36	25										
H¾c M· 	0	10	3	\spr\item\equip\horse\horse009.spr	40	2	3	Lo¹i ngùa th­êng thÊy, ai còng cã thÓ mua ®­îc.	3	5000	3	0	111	20%	20%	93	100	100	85	10	10	150	-20	-20										36	30										
H¾c M· 	0	10	3	\spr\item\equip\horse\horse009.spr	40	2	3	Lo¹i ngùa th­êng thÊy, ai còng cã thÓ mua ®­îc.	3	5000	4	0	111	20%	20%	93	100	100	85	10	10	150	-20	-20										36	35										
H¾c Kú 	0	10	3	\spr\item\equip\horse\horse009.spr	40	2	3	Lo¹i ngùa chuyªn dïng trong qu©n ®éi, c¸c chiÕn binh rÊt thÝch cìi.	3	10000	5	0	111	30%	30%	93	200	200	85	20	20	150	-50	-50										36	40										
H¾c Kú 	0	10	3	\spr\item\equip\horse\horse009.spr	40	2	3	Lo¹i ngùa chuyªn dïng trong qu©n ®éi, c¸c chiÕn binh rÊt thÝch cìi.	3	10000	6	0	111	30%	30%	93	200	200	85	20	20	150	-50	-50										36	45										
§¹i UyÓn H¾c M· 	0	10	3	\spr\item\equip\horse\horse009.spr	40	2	3	Mét trong nh÷ng lo¹i §¹i UyÓn Danh m·, thÓ lùc vµ hµnh tr×nh khã lo¹i nµo s¸nh kÞp.	3	25000	7	0	111	40%	40%	93	500	500	85	50	50	150	-100	-100										36	50										
§¹i UyÓn H¾c M· 	0	10	3	\spr\item\equip\horse\horse009.spr	40	2	3	Mét trong nh÷ng lo¹i §¹i UyÓn Danh m·, thÓ lùc vµ hµnh tr×nh khã lo¹i nµo s¸nh kÞp.	3	25000	8	0	111	40%	40%	93	500	500	85	50	50	150	-100	-100										36	55										
¤ Chïy	0	10	3	\spr\item\equip\horse\horse009.spr	40	2	3	"Së B¸ V­¬ng tõng cìi, lµ lo¹i ""Thiªn Lý Danh M·""."	3	50000	9	0	111	50%	50%	93	1000	1000	85	100	100	150	-200	-200										36	60										
¤ Chïy	0	10	3	\spr\item\equip\horse\horse009.spr	40	2	3	"Së B¸ V­¬ng tõng cìi, lµ lo¹i ""Thiªn Lý Danh M·""."	3	50000	10	0	111	50%	50%	93	1000	1000	85	100	100	150	-200	-200										36	72										
LiÖt Hång M· 	0	10	4	\spr\item\equip\horse\horse002.spr	40	2	3	Ngùa l«ng x¸m tÇm th­êng, rÊt khã b¸n.	4	2500	1	0	111	10%	10%	93	50	50	85	10	10	150	-10	-10										36	20										
LiÖt Hång M· 	0	10	4	\spr\item\equip\horse\horse002.spr	40	2	3	Ngùa l«ng x¸m tÇm th­êng, rÊt khã b¸n.	4	2500	2	0	111	10%	10%	93	50	50	85	10	10	150	-10	-10										36	25										
Hång M· 	0	10	4	\spr\item\equip\horse\horse002.spr	40	2	3	Mét lo¹i ngùa th­êng l«ng x¸m, chØ dïng ®Ó ®i gÇn.	4	5000	3	0	111	20%	20%	93	100	100	85	20	20	150	-20	-20										36	30										
Hång M· 	0	10	4	\spr\item\equip\horse\horse002.spr	40	2	3	Mét lo¹i ngùa th­êng l«ng x¸m, chØ dïng ®Ó ®i gÇn.	4	5000	4	0	111	20%	20%	93	100	100	85	20	20	150	-20	-20										36	35										
Hång Ly	0	10	4	\spr\item\equip\horse\horse002.spr	40	2	3	Lo¹i ngùa trung ®¼ng nh­ng c­íc tr×nh còng cã thÓ s¸nh vµo hµng danh c©u	4	10000	5	0	111	30%	30%	93	200	200	85	40	40	150	-50	-50										36	40										
Hång Ly	0	10	4	\spr\item\equip\horse\horse002.spr	40	2	3	Lo¹i ngùa trung ®¼ng nh­ng c­íc tr×nh còng cã thÓ s¸nh vµo hµng danh c©u	4	10000	6	0	111	30%	30%	93	200	200	85	40	40	150	-50	-50										36	45										
§¹i UyÓn H·n HuyÕt M· 	0	10	4	\spr\item\equip\horse\horse002.spr	40	2	3	Lo¹i §¹i UyÓn danh m· cùc quý hiÕm,ngh×n vµng khã mua.	4	25000	7	0	111	40%	40%	93	500	500	85	100	100	150	-100	-100										36	50										
§¹i UyÓn H·n HuyÕt M· 	0	10	4	\spr\item\equip\horse\horse002.spr	40	2	3	Lo¹i §¹i UyÓn danh m· cùc quý hiÕm,ngh×n vµng khã mua.	4	25000	8	0	111	40%	40%	93	500	500	85	100	100	150	-100	-100										36	55										
XÝch Ký 	0	10	4	\spr\item\equip\horse\horse002.spr	40	2	3	Còng chÝnh lµ Kú Ký,mét trong t¸m con danh m· cña Chu Môc V­¬ng.	4	50000	9	0	111	50%	50%	93	1000	1000	85	200	200	150	-200	-200										36	60										
XÝch Ký 	0	10	4	\spr\item\equip\horse\horse002.spr	40	2	3	Còng chÝnh lµ Kú Ký,mét trong t¸m con danh m· cña Chu Môc V­¬ng.	4	50000	10	0	111	50%	50%	93	1000	1000	85	200	200	150	-200	-200										36	72										
¤ V©n §¹p TuyÕt	0	10	5	\spr\item\equip\horse\horse010.spr	40	2	3	TuyÖt thÕ danh m·, chØ nh÷ng bËc v­¬ng gi¶ míi cã thÓ mua.	5	250000	1	0	111	80%	80%	93	1000	1000	85	200	200	150	200	200																					
XÝch Thè 	0	10	5	\spr\item\equip\horse\horse011.spr	40	2	3	"Còng ®­îc xÕp vµo hµng ""Thiªn h¹ ®Ö nhÊt m·""."	5	250000	2	0	111	80%	80%	93	1000	1000	85	500	500	150	200	200																					
TuyÖt ¶nh	0	10	5	\spr\item\equip\horse\horse005.spr	40	2	3	TuyÖt thÕ danh m·, sung m·n b¸ khÝ, Tµo Th¸o ®· tõng cìi.	5	250000	3	0	111	80%	80%	93	1000	1000	85	200	200	150	500	500																					
§Ých L« 	0	10	5	\spr\item\equip\horse\horse008.spr	40	2	3	TuyÖt thÕ danh m·, truy phong ho¸n vò, ngµy ®i ngh×n dÆm.	5	250000	4	0	111	80%	80%	93	1000	1000	85	300	300	150	300	300																					
ChiÕu D¹ Ngäc S­ Tö 	0	10	5	\spr\item\equip\horse\horse012.spr	40	2	3	"Lµ lo¹i ""ThÇn c©u"" cã søc m¹nh phi th­êng, c­ìi m©y ®¹p giã."	5	250000	5	0	111	100%	100%	93	1000	1000	85	200	200	150	200	200																					
¤ V©n §¹p TuyÕt	0	10	5	\spr\item\equip\horse\horse010.spr	40	2	3	TuyÖt thÕ danh m·, chØ nh÷ng bËc v­¬ng gi¶ míi cã thÓ mua.	5	250000	6	0	111	80%	80%	93	1000	1000	85	200	200	150	200	200																					
XÝch Thè 	0	10	5	\spr\item\equip\horse\horse011.spr	40	2	3	"Còng ®­îc xÕp vµo hµng ""Thiªn h¹ ®Ö nhÊt m·""."	5	250000	7	0	111	80%	80%	93	1000	1000	85	500	500	150	200	200																					
TuyÖt ¶nh	0	10	5	\spr\item\equip\horse\horse005.spr	40	2	3	TuyÖt thÕ danh m·, sung m·n b¸ khÝ, Tµo Th¸o ®· tõng cìi.	5	250000	8	0	111	80%	80%	93	1000	1000	85	200	200	150	500	500																					
§Ých L« 	0	10	5	\spr\item\equip\horse\horse008.spr	40	2	3	TuyÖt thÕ danh m·, truy phong ho¸n vò, ngµy ®i ngh×n dÆm.	5	250000	9	0	111	80%	80%	93	1000	1000	85	300	300	150	300	300																					
ChiÕu D¹ Ngäc S­ Tö 	0	10	5	\spr\item\equip\horse\horse012.spr	40	2	3	"Lµ lo¹i ""ThÇn c©u"" cã søc m¹nh phi th­êng, c­ìi m©y ®¹p giã."	5	250000	10	0	111	100%	100%	93	1000	1000	85	200	200	150	200	200																					
B«n Tiªu	0	10	6	\spr\item\equip\horse\horse010.spr	40	2	3	Mét trong t¸m con danh c©u cña Chu Môc V­¬ng	5	250000	1	0	111	100%	100%	93	1000	1000	85	500	500	150	500	500	233	500	500																		
B«n Tiªu	0	10	6	\spr\item\equip\horse\horse010.spr	40	2	3	Mét trong t¸m con danh c©u cña Chu Môc V­¬ng	5	250000	2	0	111	100%	100%	93	1000	1000	85	500	500	150	500	500	233	500	500																		
B«n Tiªu	0	10	6	\spr\item\equip\horse\horse010.spr	40	2	3	Mét trong t¸m con danh c©u cña Chu Môc V­¬ng	5	250000	3	0	111	100%	100%	93	1000	1000	85	500	500	150	500	500	233	500	500																		
B«n Tiªu	0	10	6	\spr\item\equip\horse\horse010.spr	40	2	3	Mét trong t¸m con danh c©u cña Chu Môc V­¬ng	5	250000	4	0	111	100%	100%	93	1000	1000	85	500	500	150	500	500	233	500	500																		
B«n Tiªu	0	10	6	\spr\item\equip\horse\horse010.spr	40	2	3	Mét trong t¸m con danh c©u cña Chu Môc V­¬ng	5	250000	5	0	111	100%	100%	93	1000	1000	85	500	500	150	500	500	233	500	500																		
B«n Tiªu	0	10	6	\spr\item\equip\horse\horse010.spr	40	2	3	Mét trong t¸m con danh c©u cña Chu Môc V­¬ng	5	250000	6	0	111	100%	100%	93	1000	1000	85	500	500	150	500	500	233	500	500																		
B«n Tiªu	0	10	6	\spr\item\equip\horse\horse010.spr	40	2	3	Mét trong t¸m con danh c©u cña Chu Môc V­¬ng	5	250000	7	0	111	100%	100%	93	1000	1000	85	500	500	150	500	500	233	500	500																		
B«n Tiªu	0	10	6	\spr\item\equip\horse\horse010.spr	40	2	3	Mét trong t¸m con danh c©u cña Chu Môc V­¬ng	5	250000	8	0	111	100%	100%	93	1000	1000	85	500	500	150	500	500	233	500	500																		
B«n Tiªu	0	10	6	\spr\item\equip\horse\horse010.spr	40	2	3	Mét trong t¸m con danh c©u cña Chu Môc V­¬ng	5	250000	9	0	111	100%	100%	93	1000	1000	85	500	500	150	500	500	233	500	500																		
B«n Tiªu	0	10	6	\spr\item\equip\horse\horse010.spr	40	2	3	Mét trong t¸m con danh c©u cña Chu Môc V­¬ng	5	250000	10	0	111	100%	100%	93	1000	1000	85	500	500	150	500	500	233	500	500																		
Phiªn Vò 	0	10	7	\spr\item\equip\horse\horse012.spr	40	2	3	Mét trong t¸m con danh c©u cña Chu Môc V­¬ng	5	250000	1	0	111	100%	100%	93	1000	1000	85	500	500	150	500	500	114	10	10																		
Phiªn Vò 	0	10	7	\spr\item\equip\horse\horse012.spr	40	2	3	Mét trong t¸m con danh c©u cña Chu Môc V­¬ng	5	250000	2	0	111	100%	100%	93	1000	1000	85	500	500	150	500	500	114	10	10																		
Phiªn Vò 	0	10	7	\spr\item\equip\horse\horse012.spr	40	2	3	Mét trong t¸m con danh c©u cña Chu Môc V­¬ng	5	250000	3	0	111	100%	100%	93	1000	1000	85	500	500	150	500	500	114	10	10																		
Phiªn Vò 	0	10	7	\spr\item\equip\horse\horse012.spr	40	2	3	Mét trong t¸m con danh c©u cña Chu Môc V­¬ng	5	250000	4	0	111	100%	100%	93	1000	1000	85	500	500	150	500	500	114	10	10																		
Phiªn Vò 	0	10	7	\spr\item\equip\horse\horse012.spr	40	2	3	Mét trong t¸m con danh c©u cña Chu Môc V­¬ng	5	250000	5	0	111	100%	100%	93	1000	1000	85	500	500	150	500	500	114	10	10																		
Phiªn Vò 	0	10	7	\spr\item\equip\horse\horse012.spr	40	2	3	Mét trong t¸m con danh c©u cña Chu Môc V­¬ng	5	250000	6	0	111	100%	100%	93	1000	1000	85	500	500	150	500	500	114	10	10																		
Phiªn Vò 	0	10	7	\spr\item\equip\horse\horse012.spr	40	2	3	Mét trong t¸m con danh c©u cña Chu Môc V­¬ng	5	250000	7	0	111	100%	100%	93	1000	1000	85	500	500	150	500	500	114	10	10																		
Phiªn Vò 	0	10	7	\spr\item\equip\horse\horse012.spr	40	2	3	Mét trong t¸m con danh c©u cña Chu Môc V­¬ng	5	250000	8	0	111	100%	100%	93	1000	1000	85	500	500	150	500	500	114	10	10																		
Phiªn Vò 	0	10	7	\spr\item\equip\horse\horse012.spr	40	2	3	Mét trong t¸m con danh c©u cña Chu Môc V­¬ng	5	250000	9	0	111	100%	100%	93	1000	1000	85	500	500	150	500	500	114	10	10																		
Phiªn Vò 	0	10	7	\spr\item\equip\horse\horse012.spr	40	2	3	Mét trong t¸m con danh c©u cña Chu Môc V­¬ng	5	250000	10	0	111	100%	100%	93	1000	1000	85	500	500	150	500	500	114	10	10																		
Phi V©n	0	10	8	\spr\item\equip\horse\horse004.spr	40	2	3	Mét trong t¸m con tuÊn m· cña Chu Môc V­¬ng, c­ìi m©y ®¹p giã	5	50000	1	0	111	100%	100%	93	1000	1000	85	400	400	150	200	200																					
Phi V©n	0	10	8	\spr\item\equip\horse\horse004.spr	40	2	3	Mét trong t¸m con tuÊn m· cña Chu Môc V­¬ng, c­ìi m©y ®¹p giã	5	50000	2	0	111	100%	100%	93	1000	1000	85	400	400	150	200	200																					
Phi V©n	0	10	8	\spr\item\equip\horse\horse004.spr	40	2	3	Mét trong t¸m con tuÊn m· cña Chu Môc V­¬ng, c­ìi m©y ®¹p giã	5	50000	3	0	111	100%	100%	93	1000	1000	85	400	400	150	200	200																					
Phi V©n	0	10	8	\spr\item\equip\horse\horse004.spr	40	2	3	Mét trong t¸m con tuÊn m· cña Chu Môc V­¬ng, c­ìi m©y ®¹p giã	5	50000	4	0	111	100%	100%	93	1000	1000	85	400	400	150	200	200																					
Phi V©n	0	10	8	\spr\item\equip\horse\horse004.spr	40	2	3	Mét trong t¸m con tuÊn m· cña Chu Môc V­¬ng, c­ìi m©y ®¹p giã	5	50000	5	0	111	100%	100%	93	1000	1000	85	400	400	150	200	200																					
Phi V©n	0	10	8	\spr\item\equip\horse\horse004.spr	40	2	3	Mét trong t¸m con tuÊn m· cña Chu Môc V­¬ng, c­ìi m©y ®¹p giã	5	50000	6	0	111	100%	100%	93	1000	1000	85	400	400	150	200	200																					
Phi V©n	0	10	8	\spr\item\equip\horse\horse004.spr	40	2	3	Mét trong t¸m con tuÊn m· cña Chu Môc V­¬ng, c­ìi m©y ®¹p giã	5	50000	7	0	111	100%	100%	93	1000	1000	85	400	400	150	200	200																					
Phi V©n	0	10	8	\spr\item\equip\horse\horse004.spr	40	2	3	Mét trong t¸m con tuÊn m· cña Chu Môc V­¬ng, c­ìi m©y ®¹p giã	5	50000	8	0	111	100%	100%	93	1000	1000	85	400	400	150	200	200																					
Phi V©n	0	10	8	\spr\item\equip\horse\horse004.spr	40	2	3	Mét trong t¸m con tuÊn m· cña Chu Môc V­¬ng, c­ìi m©y ®¹p giã	5	50000	9	0	111	100%	100%	93	1000	1000	85	400	400	150	200	200																					
Phi V©n	0	10	8	\spr\item\equip\horse\horse004.spr	40	2	3	Mét trong t¸m con tuÊn m· cña Chu Môc V­¬ng, c­ìi m©y ®¹p giã	5	50000	10	0	111	100%	100%	93	1000	1000	85	400	400	150	200	200																					
XÝch Long C©u	0	10	9	\spr\item\equip\horse\horse008.spr	40	2	3	Mét trong nh÷ng thÇn m· ®i m©y vÒ giã	6	250000	1	0	111	100%	100%	93	1200	1200	85	700	700	150	700	700	114	10	10																		
XÝch Long C©u	0	10	9	\spr\item\equip\horse\horse008.spr	40	2	3	Mét trong nh÷ng thÇn m· ®i m©y vÒ giã	6	250000	2	0	111	100%	100%	93	1200	1200	85	700	700	150	700	700	114	10	10																		
XÝch Long C©u	0	10	9	\spr\item\equip\horse\horse008.spr	40	2	3	Mét trong nh÷ng thÇn m· ®i m©y vÒ giã	6	250000	3	0	111	100%	100%	93	1200	1200	85	700	700	150	700	700	114	10	10																		
