NpcAction	FightStand	NormalStand1	NormalStand2	FightWalk	NormalWalk	FightRun	NormalRun	Wound	Die	Attack1	Attack2	Magic	SitDown	JunpFly
enemy024	"80,8,120"	"80,8,120"	"128,8,128"	"112,8,88"	"112,8,88"	"112,8,88"	"112,8,88"	"48,8,100"	"136,8,96"	"112,8,100"	"112,8,100"	"112,8,100"	"80,8,120"	"112,8,88"
enemy026	"96,8,108"	"96,8,108"	"112,8,112"	"112,8,88"	"112,8,88"	"112,8,88"	"112,8,88"	"48,8,100"	"120,8,100"	"120,8,100"	"120,8,100"	"120,8,100"	"96,8,108"	"112,8,88"
enemy028	"80,8,120"	"80,8,120"	"96,8,120"	"120,8,88"	"120,8,88"	"120,8,88"	"120,8,88"	"48,8,100"	"120,8,104"	"160,8,88"	"160,8,88"	"160,8,88"	"80,8,120"	"120,8,88"
enemy029	"120,8,112"	"120,8,112"	"120,8,120"	"120,8,88"	"120,8,88"	"120,8,88"	"120,8,88"	"48,8,100"	"96,8,96"	"96,8,92"	"96,8,92"	"96,8,92"	"120,8,112"	"120,8,88"
enemy031	"96,8,120"	"96,8,120"	"112,8,120"	"112,8,85"	"112,8,85"	"112,8,85"	"112,8,85"	"48,8,100"	"120,8,100"	"112,8,78"	"112,8,78"	"112,8,78"	"96,8,120"	"112,8,85"
enemy034	"80,8,120"	"80,8,120"	"184,8,100"	"112,8,80"	"112,8,80"	"112,8,80"	"112,8,80"	"48,8,96"	"112,8,100"	"96,8,92"	"96,8,92"	"96,8,92"	"80,8,120"	"112,8,80"
enemy036	"80,8,120"	"80,8,120"	"144,8,120"	"112,8,75"	"112,8,75"	"112,8,75"	"112,8,75"	"48,8,100"	"120,8,100"	"128,8,78"	"128,8,78"	"128,8,78"	"80,8,120"	"112,8,75"
enemy037	"120,8,128"	"120,8,128"	"120,8,128"										"120,8,128"	
enemy038	"64,8,162"	"64,8,162"	"64,8,162"										"64,8,162"	
enemy039	"72,8,150"	"72,8,150"	"120,8,80"										"72,8,150"	
enemy040	"112,8,120"	"112,8,120"	"136,8,120"	"120,8,96"	"120,8,96"	"120,8,96"	"120,8,96"	"48,8,140"	"112,8,100"	"144,8,96"	"144,8,96"	"144,8,96"	"112,8,120"	"120,8,96"
enemy041	"64,8,175"	"64,8,175"	"112,8,110"										"64,8,175"	
enemy042	"96,8,110"	"96,8,110"	"88,8,100"										"96,8,110"	
enemy043	"72,8,160"	"72,8,160"	"136,8,108"	"120,8,1"	"120,8,1"	"120,8,1"	"120,8,1"	"64,8,1"	"112,8,1"	"128,8,2"	"128,8,2"	"128,8,2"	"72,8,160"	"120,8,1"
enemy044	"64,8,125"	"64,8,125"	"96,8,120"	"64,8,125"	"64,8,125"	"64,8,125"	"64,8,125"	"64,8,125"	"64,8,125"	"144,8,2"	"144,8,2"	"144,8,2"	"64,8,125"	"64,8,125"
enemy045	"64,8,125"	"64,8,125"	"152,8,120"										"64,8,125"	
enemy046	"112,8,112"	"112,8,112"	"112,8,112"	"112,8,75"	"112,8,75"	"112,8,75"	"112,8,75"	"48,8,140"	"112,8,100"	"112,8,80"	"112,8,80"	"112,8,80"	"112,8,112"	"112,8,75"
enemy047	"112,8,120"	"112,8,120"	"112,8,120"										"112,8,120"	
enemy048	"96,8,115"	"96,8,115"	"104,8,115"	"120,8,70"	"120,8,70"	"120,8,70"	"120,8,70"	"80,8,80"	"136,8,80"	"104,8,96"	"104,8,96"	"104,8,96"	"96,8,115"	"120,8,70"
enemy049	"96,8,128"	"96,8,128"	"112,8,112"										"96,8,128"	
enemy050	"120,8,120"	"120,8,120"	"160,8,100"	"112,8,80"	"112,8,80"	"112,8,80"	"112,8,80"	"48,8,140"	"112,8,80"	"96,8,116"	"120,8,96"	"120,8,96"	"120,8,120"	"112,8,80"
enemy051	"80,8,136"	"80,8,136"	"96,8,120"	"120,8,96"	"120,8,96"	"120,8,96"	"120,8,96"	"64,8,96"	"128,8,96"	"112,8,96"	"112,8,96"	"112,8,96"	"80,8,136"	"120,8,96"
enemy052	"112,8,120"	"112,8,120"	"112,8,136"										"112,8,120"	
enemy053	"96,8,120"	"96,8,120"	"96,8,136"										"96,8,120"	
enemy054	"96,8,125"	"96,8,125"	"96,8,128"										"96,8,125"	
enemy055	"64,8,200"	"64,8,200"	"96,8,120"										"64,8,200"	
enemy056	"112,8,133"	"112,8,133"	"112,8,136"	"112,8,133"	"112,8,133"	"112,8,133"	"112,8,133"	"112,8,133"	"112,8,133"	"120,8,96"	"120,8,96"	"120,8,96"	"112,8,133"	"112,8,133"
enemy057	"112,8,112"	"112,8,112"	"112,8,112"	"112,8,2"	"112,8,2"	"112,8,2"	"112,8,2"	"64,8,2"	"112,8,3"	"112,8,3"	"112,8,3"	"112,8,3"	"112,8,112"	"112,8,2"
enemy058	"64,8,162"	"64,8,162"	"96,8,100"										"64,8,162"	
enemy059	"112,8,112"	"112,8,112"	"112,8,112"	"112,8,96"	"112,8,96"	"112,8,96"	"112,8,96"	"48,8,140"	"120,8,96"	"120,8,96"	"120,8,96"	"120,8,96"	"112,8,112"	"112,8,96"
enemy060	"112,8,112"	"112,8,112"	"112,8,112"	"112,8,133"	"112,8,133"	"112,8,133"	"112,8,133"	"48,8,140"	"112,8,133"	"112,8,96"	"112,8,96"	"112,8,96"	"112,8,112"	"112,8,133"
enemy061	"96,8,128"	"96,8,128"	"96,8,136"	"120,8,120"	"120,8,120"	"120,8,120"	"120,8,120"	"64,8,96"	"128,8,110"	"96,8,116"	"96,8,116"	"96,8,116"	"96,8,128"	"120,8,120"
enemy062	"64,8,175"	"64,8,175"	"80,8,120"										"64,8,175"	
enemy063	"64,8,150"	"64,8,150"	"80,8,160"										"64,8,150"	
enemy064	"64,8,150"	"64,8,150"	"96,8,112"	"120,8,96"	"120,8,96"	"120,8,96"	"120,8,96"	"48,8,140"	"128,8,100"	"144,8,96"	"144,8,96"	"144,8,96"	"64,8,150"	"120,8,96"
enemy065	"80,8,120"	"80,8,120"	"184,8,108"										"80,8,120"	
enemy066	"96,8,100"	"96,8,100"	"96,8,100"	"112,8,1"	"112,8,1"	"112,8,1"	"112,8,1"	"64,8,2"	"128,8,4"	"96,8,3"	"96,8,3"	"96,8,3"	"96,8,100"	"112,8,1"
enemy067	"120,8,120"	"120,8,120"	"120,8,120"	"112,8,112"	"112,8,112"	"112,8,112"	"112,8,112"	"48,8,140"	"120,8,96"	"120,8,96"	"120,8,96"	"120,8,96"	"120,8,120"	"112,8,112"
enemy068	"64,8,154"	"64,8,154"	"168,8,130"										"64,8,154"	
enemy069	"56,8,150"	"56,8,150"	"144,8,100"	"120,8,96"	"120,8,96"	"120,8,96"	"120,8,96"	"48,8,140"	"72,8,112"	"120,8,96"	"120,8,96"	"120,8,96"	"56,8,150"	"120,8,96"
enemy070	"96,8,112"	"96,8,112"	"112,8,112"	"112,8,112"	"112,8,112"	"112,8,112"	"112,8,112"	"48,8,140"	"120,8,100"	"120,8,120"	"120,8,120"	"120,8,120"	"96,8,112"	"112,8,112"
enemy071	"80,8,160"	"80,8,160"	"160,8,125"										"80,8,160"	
enemy072	"80,8,150"	"80,8,150"	"112,8,128"	"120,8,96"	"120,8,96"	"120,8,96"	"120,8,96"	"48,8,140"	"96,8,112"	"112,8,96"	"112,8,96"	"112,8,96"	"80,8,150"	"120,8,96"
enemy073	"80,8,150"	"80,8,150"	"184,8,100"	"112,8,112"	"112,8,112"	"112,8,112"	"112,8,112"	"64,8,120"	"128,8,120"	"144,8,112"	"144,8,112"	"144,8,112"	"80,8,150"	"112,8,112"
enemy074	"64,8,120"	"64,8,120"	"64,8,150"	"120,8,96"	"120,8,96"	"120,8,96"	"120,8,96"	"48,8,140"	"160,8,96"	"112,8,96"	"112,8,96"	"112,8,96"	"64,8,120"	"120,8,96"
enemy075	"80,8,150"	"80,8,150"	"80,8,136"	"120,8,2"	"120,8,2"	"120,8,2"	"120,8,2"	"64,8,2"	"112,8,3"	"112,8,2"	"112,8,2"	"112,8,2"	"80,8,150"	"120,8,2"
enemy076	"120,8,135"	"120,8,135"	"160,8,100"	"112,8,112"	"112,8,112"	"112,8,112"	"112,8,112"	"48,8,140"	"96,8,112"	"120,8,96"	"120,8,96"	"120,8,96"	"120,8,135"	"112,8,112"
enemy077	"96,8,112"	"96,8,112"	"112,8,120"	"112,8,96"	"112,8,96"	"112,8,96"	"112,8,96"	"48,8,140"	"120,8,96"	"104,8,96"	"104,8,96"	"104,8,96"	"96,8,112"	"112,8,96"
enemy078	"64,8,160"	"64,8,160"	"104,8,104"	"152,8,72"	"152,8,72"	"152,8,72"	"152,8,72"	"48,8,140"	"96,8,112"	"176,8,72"	"176,8,72"	"176,8,72"	"64,8,160"	"152,8,72"
enemy079	"96,8,128"	"96,8,128"	"112,8,128"	"120,8,96"	"120,8,96"	"120,8,96"	"120,8,96"	"48,8,140"	"112,8,112"	"112,8,96"	"112,8,96"	"112,8,96"	"96,8,128"	"120,8,96"
enemy080	"64,8,175"	"64,8,175"	"160,8,112"	"120,8,120"	"120,8,120"	"120,8,120"	"120,8,120"	"48,8,140"	"112,8,100"	"112,8,120"	"112,8,120"	"112,8,120"	"64,8,175"	"120,8,120"
enemy081	"80,8,150"	"80,8,150"	"80,8,150"	"120,8,96"	"120,8,96"	"120,8,96"	"120,8,96"	"64,8,140"	"112,8,100"	"96,8,72"	"96,8,72"	"96,8,72"	"80,8,150"	"120,8,96"
enemy082	"112,8,100"	"112,8,100"	"112,8,100"	"120,8,96"	"120,8,96"	"120,8,96"	"120,8,96"	"56,8,144"	"72,8,112"	"112,8,96"	"112,8,96"	"112,8,96"	"112,8,100"	"120,8,96"
enemy083	"96,8,136"	"96,8,136"	"112,8,136"	"112,8,112"	"112,8,112"	"112,8,112"	"112,8,112"	"48,8,140"	"120,8,100"	"120,8,100"	"120,8,100"	"120,8,100"	"96,8,136"	"112,8,112"
enemy084	"96,8,120"	"96,8,120"	"96,8,150"										"96,8,120"	
enemy085	"112,8,128"	"112,8,128"	"112,8,120"	"112,8,112"	"112,8,112"	"112,8,112"	"112,8,112"	"48,8,140"	"120,8,100"	"160,8,120"	"160,8,120"	"160,8,120"	"112,8,128"	"112,8,112"
enemy086	"80,8,150"	"80,8,150"	"112,8,128"	"112,8,112"	"112,8,112"	"112,8,112"	"112,8,112"	"40,8,140"	"120,8,112"	"160,8,80"	"160,8,80"	"160,8,80"	"80,8,150"	"112,8,112"
enemy087	"80,8,150"	"80,8,150"	"96,8,128"										"80,8,150"	
enemy088	"96,8,120"	"96,8,120"	"112,8,100"	"96,8,120"	"96,8,120"	"96,8,120"	"96,8,120"	"96,8,120"	"96,8,120"	"112,8,78"	"112,8,78"		"96,8,120"	"96,8,120"
enemy089	"80,8,150"	"80,8,150"	"112,8,128"	"112,8,96"	"112,8,96"	"112,8,96"	"112,8,96"	"64,8,96"	"128,8,100"	"128,8,80"	"128,8,80"	"128,8,80"	"80,8,150"	"112,8,96"
enemy090	"64,8,100"	"64,8,100"	"64,8,120"										"64,8,100"	
enemy091	"96,8,128"	"96,8,128"	"104,8,120"	"120,8,96"	"120,8,96"	"120,8,96"	"120,8,96"	"80,8,70"	"112,8,96"	"104,8,96"	"104,8,96"	"104,8,96"	"96,8,128"	"120,8,96"
enemy092	"104,8,120"	"104,8,120"	"104,8,120"										"104,8,120"	
enemy093	"96,8,130"	"96,8,130"	"104,8,136"	"240,8,30"	"240,8,30"	"240,8,30"	"240,8,30"	"80,8,70"	"96,8,112"	"96,8,112"	"96,8,112"	"96,8,112"	"96,8,130"	"240,8,30"
enemy094	"120,8,100"	"120,8,100"	"120,8,100"										"120,8,100"	
enemy095	"72,8,136"	"72,8,136"	"96,8,128"	"112,8,96"	"112,8,96"	"112,8,96"	"112,8,96"	"48,8,140"	"120,8,96"	"128,8,80"	"128,8,80"	"128,8,80"	"72,8,136"	"112,8,96"
enemy096	"112,8,112"	"112,8,112"	"104,8,116"										"112,8,112"	
enemy097	"56,8,200"	"56,8,200"	"64,8,150"	"112,8,96"	"112,8,96"	"112,8,96"	"112,8,96"	"48,8,140"	"104,8,112"	"120,8,96"	"120,8,96"	"120,8,96"	"56,8,200"	"112,8,96"
enemy098	"48,8,250"	"48,8,250"	"80,8,150"	"120,8,1"	"120,8,1"	"120,8,1"	"120,8,1"	"64,8,1"	"112,8,1"	"96,8,3"	"96,8,3"	"96,8,3"	"48,8,250"	"120,8,1"
enemy099	"64,8,120"	"64,8,120"	"80,8,120"										"64,8,120"	
enemy100	"48,8,200"	"48,8,200"	"88,8,136"	"240,8,30"	"240,8,30"	"240,8,30"	"240,8,30"	"48,8,140"	"128,8,100"	"128,8,100"	"128,8,100"	"128,8,100"	"48,8,200"	"240,8,30"
enemy101	"48,8,250"	"48,8,250"	"96,8,128"	"120,8,96"	"120,8,96"	"120,8,96"	"120,8,96"	"48,8,144"	"144,8,96"	"120,8,96"	"120,8,96"	"120,8,96"	"48,8,250"	"120,8,96"
enemy102	"64,8,120"	"64,8,120"	"96,8,120"										"64,8,120"	
enemy103	"80,8,150"	"80,8,150"	"80,8,150"	"120,8,60"	"120,8,60"	"120,8,60"	"120,8,60"	"64,8,96"	"112,8,96"	"112,8,78"	"112,8,78"	"112,8,78"	"80,8,150"	"120,8,60"
enemy104	"80,8,150"	"80,8,150"	"112,8,112"	"120,8,1"	"120,8,1"	"120,8,1"	"120,8,1"	"48,8,1"	"112,8,1"	"120,8,3"	"120,8,3"	"120,8,3"	"80,8,150"	"120,8,1"
enemy105	"80,8,150"	"80,8,150"	"120,8,120"	"120,8,96"	"120,8,96"	"120,8,96"	"120,8,96"	"48,8,140"	"96,8,112"	"160,8,92"	"160,8,92"	"160,8,92"	"80,8,150"	"120,8,96"
enemy106	"64,8,184"	"64,8,184"	"96,8,128"										"64,8,184"	
enemy107	"96,8,136"	"96,8,136"	"96,8,136"	"240,8,30"	"240,8,30"	"240,8,30"	"240,8,30"	"64,8,96"	"96,8,112"	"96,8,112"	"96,8,112"	"96,8,112"	"96,8,136"	"240,8,30"
enemy108	"80,8,144"	"80,8,144"	"136,8,100"										"80,8,144"	
enemy109	"96,8,120"	"96,8,120"	"96,8,120"	"120,8,96"	"120,8,96"	"120,8,96"	"120,8,96"	"64,8,96"	"96,8,112"	"96,8,72"	"96,8,72"	"96,8,72"	"96,8,120"	"120,8,96"
enemy110	"80,8,150"	"80,8,150"	"80,8,200"	"240,8,30"	"240,8,30"	"240,8,30"	"240,8,30"	"64,8,96"	"104,8,104"	"88,8,80"	"88,8,80"	"88,8,80"	"80,8,150"	"240,8,30"
enemy111	"88,8,136"	"88,8,136"	"88,8,138"										"88,8,136"	
enemy112	"112,8,130"	"112,8,130"	"112,8,120"										"112,8,130"	
enemy115	"48,8,233"	"48,8,233"	"96,8,120"										"48,8,233"	
enemy121	"48,8,250"	"48,8,250"	"120,8,136"	"120,8,70"	"120,8,70"	"120,8,70"	"120,8,70"	"64,8,84"	"128,8,94"	"152,8,35"	"152,8,35"	"152,8,35"	"48,8,250"	"120,8,70"
enemy122	"104,8,136"	"104,8,136"	"112,8,128"	"136,8,64"	"136,8,64"	"136,8,64"	"136,8,64"	"48,8,100"	"104,8,104"	"112,8,84"	"112,8,84"	"112,8,84"	"104,8,136"	"136,8,64"
enemy123	"96,8,125"	"96,8,125"	"104,8,118"	"120,8,75"	"120,8,75"	"120,8,75"	"120,8,75"	"48,8,104"	"120,8,100"	"112,8,80"	"112,8,80"	"112,8,80"	"96,8,125"	"120,8,75"
enemy124	"48,8,250"	"48,8,250"	"96,8,125"	"240,8,30"	"240,8,30"	"240,8,30"	"240,8,30"	"64,8,84"	"144,8,100"	"128,8,80"	"128,8,80"	"128,8,80"	"48,8,250"	"240,8,30"
enemy125	"96,8,1"	"96,8,1"	"96,8,1"	"120,8,1"	"120,8,1"	"120,8,1"	"120,8,1"	"64,8,1"	"120,8,1"	"96,8,1"	"96,8,1"	"96,8,1"	"96,8,1"	"120,8,1"
enemy126	"96,8,150"	"96,8,150"	"72,8,150"	"112,8,88"	"112,8,88"	"112,8,88"	"112,8,88"	"48,8,112"	"144,8,100"	"128,8,75"	"128,8,75"	"128,8,75"	"96,8,150"	"112,8,88"
enemy127	"96,8,150"	"96,8,150"	"96,8,150"	"120,8,80"	"120,8,80"	"120,8,80"	"120,8,80"	"64,8,88"	"176,8,96"	"112,8,88"	"112,8,88"	"112,8,88"	"96,8,150"	"120,8,80"
enemy128	"88,8,160"	"88,8,160"	"120,8,120"	"112,8,88"	"112,8,88"	"112,8,88"	"112,8,88"	"48,8,110"	"128,8,100"	"112,8,100"	"112,8,100"	"112,8,100"	"88,8,160"	"112,8,88"
enemy129	"80,8,180"	"80,8,180"	"128,8,125"	"120,8,80"	"120,8,80"	"120,8,80"	"120,8,80"	"48,8,110"	"112,8,112"	"104,8,96"	"104,8,96"	"104,8,96"	"80,8,180"	"120,8,80"
enemy130	"80,8,150"	"80,8,150"	"80,8,150"	"120,8,80"	"120,8,80"	"120,8,80"	"120,8,80"	"48,8,110"	"120,8,112"	"144,8,74"	"144,8,74"	"144,8,74"	"48,8,250"	"120,8,80"
enemy131	"80,8,175"	"80,8,175"	"80,8,175"	"120,8,80"	"120,8,80"	"120,8,80"	"120,8,80"	"64,8,92"	"112,8,88"	"96,8,100"	"96,8,100"	"96,8,100"	"80,8,175"	"120,8,80"
enemy132	"80,8,175"	"80,8,175"	"104,8,130"	"120,8,80"	"120,8,80"	"120,8,80"	"120,8,80"	"48,8,120"	"104,8,108"	"160,8,80"	"160,8,80"	"160,8,80"	"80,8,175"	"120,8,80"
enemy133	"80,8,150"	"80,8,150"	"104,8,115"	"120,8,80"	"120,8,80"	"120,8,80"	"120,8,80"	"48,8,120"	"128,8,120"	"104,8,88"	"104,8,88"	"104,8,88"	"80,8,150"	"120,8,80"
enemy134	"112,8,128"	"112,8,128"	"112,8,128"	"112,8,80"	"112,8,80"	"112,8,80"	"112,8,80"	"80,8,65"	"112,8,120"	"128,8,88"	"128,8,88"	"128,8,88"	"80,8,128"	"112,8,80"
enemy135	"80,8,180"	"80,8,180"	"104,8,140"	"120,8,75"	"120,8,75"	"120,8,75"	"120,8,75"	"48,8,120"	"128,8,120"	"112,8,88"	"112,8,88"	"112,8,88"	"80,8,180"	"120,8,75"
enemy136	"80,8,200"	"80,8,200"	"104,8,150"	"160,8,70"	"160,8,70"	"160,8,70"	"160,8,70"	"48,8,128"	"112,8,120"	"112,8,65"	"112,8,65"	"112,8,65"	"80,8,200"	"160,8,70"
enemy137	"80,8,180"	"80,8,180"	"104,8,150"	"120,8,80"	"120,8,80"	"120,8,80"	"120,8,80"	"48,8,120"	"112,8,116"	"136,8,80"	"136,8,80"	"136,8,80"	"80,8,180"	"120,8,80"
enemy138	"96,8,75"	"96,8,75"	"112,8,75"	"112,8,50"	"112,8,50"	"112,8,50"	"112,8,50"	"48,8,80"	"96,8,85"	"144,8,65"	"144,8,65"	"144,8,65"	"96,8,75"	"112,8,50"
enemy139	"48,8,128"	"48,8,128"	"96,8,120"	"120,8,80"	"120,8,80"	"120,8,80"	"120,8,80"	"112,8,100"	"128,8,100"	"160,8,100"	"160,8,100"	"160,8,100"	"48,8,128"	"120,8,80"
enemy140	"64,8,187"	"64,8,187"	"96,8,125"	"120,8,80"	"120,8,80"	"120,8,80"	"120,8,80"	"48,8,120"	"128,8,100"	"120,8,84"	"120,8,84"	"120,8,84"	"64,8,187"	"120,8,80"
enemy141	"56,8,100"	"56,8,100"	"88,8,100"	"192,8,40"	"192,8,40"	"192,8,40"	"192,8,40"	"72,8,100"	"128,8,60"	"152,8,100"	"152,8,100"	"152,8,100"	"56,8,100"	"192,8,40"
enemy142	"96,8,145"	"96,8,145"	"112,8,125"	"112,8,84"	"112,8,84"	"112,8,84"	"112,8,84"	"48,8,120"	"120,8,100"	"112,8,88"	"112,8,88"	"112,8,88"	"96,8,145"	"112,8,84"
enemy143	"64,8,80"	"64,8,80"	"160,8,80"	"128,8,60"	"128,8,60"	"128,8,60"	"128,8,60"	"48,8,60"	"112,8,75"	"160,8,65"	"160,8,65"	"160,8,65"	"64,8,80"	"128,8,60"
enemy144	"48,8,300"	"48,8,300"	"144,8,125"	"120,8,88"	"120,8,88"	"120,8,88"	"120,8,88"	"48,8,120"	"144,8,112"	"144,8,84"	"144,8,84"	"144,8,84"	"48,8,300"	"120,8,88"
enemy145	"96,8,150"	"96,8,150"	"160,8,100"	"120,8,80"	"120,8,80"	"120,8,80"	"120,8,80"	"48,8,120"	"128,8,120"	"104,8,75"	"104,8,75"	"104,8,75"	"96,8,150"	"120,8,80"
enemy146	"80,8,180"	"80,8,180"	"80,8,180"	"120,8,80"	"120,8,80"	"120,8,80"	"120,8,80"	"64,8,92"	"120,8,120"	"96,8,100"	"96,8,100"	"96,8,100"	"80,8,180"	"120,8,80"
enemy147	"96,8,150"	"96,8,150"	"128,8,150"	"120,8,76"	"120,8,76"	"120,8,76"	"120,8,76"	"48,8,128"	"128,8,100"	"112,8,100"	"112,8,100"	"112,8,100"	"96,8,150"	"120,8,76"
enemy148	"80,8,180"	"80,8,180"	"184,8,88"	"112,8,88"	"112,8,88"	"112,8,88"	"112,8,88"	"48,8,120"	"112,8,112"	"96,8,100"	"96,8,100"	"96,8,100"	"80,8,180"	"112,8,88"
enemy149	"96,8,150"	"96,8,150"	"96,8,150"	"120,8,80"	"120,8,80"	"120,8,80"	"120,8,80"	"64,8,96"	"120,8,100"	"96,8,96"	"96,8,96"	"96,8,96"	"96,8,150"	"120,8,80"
enemy150	"96,8,150"	"96,8,150"	"96,8,150"	"120,8,80"	"120,8,80"	"120,8,80"	"120,8,80"	"64,8,96"	"112,8,100"	"80,8,100"	"80,8,100"	"80,8,100"	"96,8,150"	"120,8,80"
enemy151	"120,8,110"	"120,8,110"	"114,8,90"										"120,8,110"	
enemy152	"152,8,80"	"152,8,80"	"168,8,80"										"152,8,80"	
enemy153	"128,8,125"	"128,8,125"	"256,8,140"										"128,8,125"	
enemy154	"80,8,85"	"80,8,85"	"168,8,80"										"80,8,85"	
enemy155	"80,8,85"	"80,8,85"	"152,8,100"										"80,8,85"	
enemy156	"80,8,85"	"80,8,85"	"168,8,60"										"80,8,85"	
enemy157	"120,8,65"	"120,8,65"	"144,8,75"	"120,8,60"	"120,8,60"	"120,8,60"	"120,8,60"	"48,8,55"	"120,8,80"	"216,8,45"	"216,8,45"	"216,8,45"	"120,8,65"	"120,8,60"
enemy158	"112,8,128"	"112,8,128"	"112,8,128"	"112,8,128"	"112,8,128"	"112,8,128"	"112,8,128"	"112,8,128"	"112,8,128"	"112,8,72"	"112,8,72"	"112,8,72"	"112,8,128"	"112,8,128"
enemy159	"160,8,80"	"160,8,80"	"160,8,80"										"160,8,80"	
enemy160	"120,8,80"	"120,8,80"	"248,8,80"										"120,8,80"	
enemy161	"80,8,75"	"80,8,75"	"232,8,75"										"80,8,75"	
enemy162	"160,8,80"	"160,8,80"	"160,8,75"										"160,8,80"	
enemy163	"112,8,60"	"112,8,60"	"112,8,60"										"112,8,60"	
enemy164	"152,8,80"	"152,8,80"	"176,8,80"										"152,8,80"	
enemy165	"152,8,160"	"152,8,160"	"176,8,85"										"152,8,160"	
enemy166	"152,8,80"	"152,8,80"	"176,8,80"										"152,8,80"	
enemy167	"104,8,80"	"104,8,80"	"112,8,85"										"104,8,80"	
enemy168	"152,8,60"	"152,8,60"	"160,8,80"										"152,8,60"	
enemy169	"112,8,150"	"112,8,150"	"120,8,140"										"112,8,150"	
enemy170	"120,8,90"	"120,8,90"	"152,8,85"										"120,8,90"	
enemy171	"96,8,150"	"96,8,150"	"96,8,150"	"120,8,80"	"120,8,80"	"120,8,80"	"120,8,80"	"64,8,80"	"128,8,110"	"96,8,80"	"96,8,80"	"96,8,80"	"96,8,150"	"120,8,80"
enemy172	"96,8,120"	"96,8,120"	"96,8,120"	"112,8,80"	"112,8,80"	"112,8,80"	"112,8,80"	"64,8,88"	"128,8,112"	"96,8,92"	"96,8,92"	"96,8,92"	"96,8,120"	"112,8,80"
enemy173	"96,8,136"	"96,8,136"	"104,8,118"	"112,8,75"	"112,8,75"	"112,8,75"	"112,8,75"	"48,8,112"	"112,8,100"	"144,8,65"	"144,8,65"	"144,8,65"	"96,8,136"	"112,8,75"
enemy174	"64,8,150"	"64,8,150"	"80,8,120"	"112,8,85"	"112,8,85"	"112,8,85"	"112,8,85"	"64,8,80"	"104,8,100"	"96,8,100"	"96,8,100"	"96,8,100"	"64,8,150"	"112,8,85"
enemy175	"64,8,100"	"64,8,100"	"80,8,120"										"64,8,100"	
enemy176	"80,8,100"	"80,8,100"	"136,8,94"	"112,8,53"	"112,8,53"	"112,8,53"	"112,8,53"	"48,8,85"	"136,8,70"	"112,8,70"	"112,8,70"	"112,8,70"	"80,8,100"	"112,8,53"
enemy177	"64,8,120"	"64,8,120"	"80,8,130"	"88,8,100"	"88,8,100"	"88,8,100"	"88,8,100"	"80,8,70"	"104,8,100"	"104,8,90"	"104,8,90"	"104,8,90"	"64,8,120"	"88,8,100"
