MissleId	MissleName	MoveKind	FollowKind	ColFollowTarget	MissleHeight	CollidRange	IsRangeDmg	DmgRange	DmgInterval	LifeTime	Speed	Zspeed	Zacc	LoopPlay	SubLoop	SubStart	SubStop	ResponseSkill	CanDestroy	ColVanish	CanSlow	CanColFriend	AutoExplode	MissRate	Param1	Param2	Param3	MultiShow	AnimFile1	AnimFileInfo1	SndFile1	AnimFile2	AnimFileInfo2	SndFile2	AnimFile3	AnimFileInfo3	SndFile3	AnimFile4	AnimFileInfo4	SndFile4	AnimFileB1	AnimFileInfoB1	SndFileB1	AnimFileB2	AnimFileInfoB2	SndFileB2	AnimFileB3	AnimFileInfoB3	SndFileB3	AnimFileB4	AnimFileInfoB4	SndFileB4	RedLum	GreenLum	BlueLum	LightRadius
11	Bİch H¶i TriÒu Sinhb	1	0	0	10	1	0	1	0	30	24	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0				\spr\skill\´äÑÌ\mag_cy_05_±Ìº£³±Éú_b.spr	48,16,1					\spr\skill\¶ëáÒ\mag_bz_bin1_±¬Õ¨Ğ§¹û.spr	14,1,1														156	211	255	90
12	Phï V©n T¸n TuyÕt	0	0	1	15	3	1	3	15	15	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0				\spr\skill\´äÑÌ\mag_cy_10_¹ÛÒôÉ¢Ñ©.spr	16,1,1	\sound\skill\¸¡ÔÆÉ¢Ñ©.wav																			156	166	247	90
13	TrŞ liÖu thuËt	0	0	1	10	1	0	1	10	16	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0				\spr\skill\´äÑÌ\mag_cy_11_²¹ÑªÊõ.spr	20,1,1	\sound\skill\ÖÎÁÆÊõ.wav																			189	134	82	90
14	TËt Phong Chó 	1	1	1	10	1	0	1	0	15	20	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0				\spr\skill\À¥ÂØ\kl_01_ºô·ç·¨.spr	15,1,1	\sound\skill\¼²·çÖä.wav				\spr\skill\À¥ÂØ\Bz_dian3_±¬Õ¨.spr	8,1,1														255	219	214	90
15	TÊn L«i Chó 	1	0	1	10	1	0	1	0	16	30	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	1						\sound\skill\Ñ¸À×Öä.wav				\spr\skill\À¥ÂØ\Bz_dian3_±¬Õ¨.spr	8,1,1	\sound\skill\sound_k040.wav				\spr\skill\À¥ÂØ\kl_02_¼²µç·¨b.spr	160,16,1								255	255	239	90
16	Cuång Phong SËu §iÖn	1	0	1	10	2	1	2	4	16	31	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0				\spr\skill\À¥ÂØ\kl_03_¿ñ·çÖèµç.spr	20,1,1	\sound\skill\¿ñ·çÖèµç.wav				\spr\skill\À¥ÂØ\Bz_dian3_±¬Õ¨.spr	8,1,1														255	255	239	90
17	Cuång L«i ChÊn §Şa 	0	0	1	15	2	1	2	4	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0				\spr\skill\À¥ÂØ\KL_04_¿ñÀ×ÕğµØ.spr	5,1,2					\spr\skill\À¥ÂØ\Bz_dian3_±¬Õ¨.spr	8,1,1														255	255	239	90
18	Ngò L«i Ch¸nh Ph¸p	0	0	1	18	2	1	2	4	4	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0				\spr\skill\À¥ÂØ\kl_05_ÎåÀ×Õı·¨.spr	5,1,2					\spr\skill\À¥ÂØ\Bz_dian3_±¬Õ¨.spr	8,1,1														255	255	239	90
19	Thanh Phong phï 	0	0	0	18	3	1	3	0	2	1	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0										\spr\skill\À¥ÂØ\kl_11_Çå·ç·û.spr	40,1,1														255	219	99	90
20	Ki B¸n phï 	0	0	0	18	3	1	3	0	2	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0																									255	219	99	90
21	NhÊt Khİ Tam Thanh Phï 	0	0	0	18	3	1	3	0	2	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0										\spr\skill\À¥ÂØ\kl_13_´óÁ¦½ğ¸Õ·û.spr	20,1,1														255	219	99	90
22	Khİ T©m phï 	0	0	0	18	3	1	3	0	2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0										\spr\skill\À¥ÂØ\kl_14_ÆúĞÄ·û.spr	20,1,1														255	219	99	90
23	TuÕ NguyÖt V« T×nh phï 	0	0	0	18	3	1	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0										\spr\skill\À¥ÂØ\kl_15_ËêÔÂÎŞÇé·û.spr	20,1,1														255	219	99	90
24	Né L«i ChØ 	1	0	1	10	1	0	1	0	16	20	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0				\spr\skill\Îäµ±\wd_01_Å­À×Ö¸.spr	160,16,1	\sound\skill\Å­À×Ö¸.wav				\spr\skill\Îäµ±\Bz_dian1_±¬Õ¨.spr	8,1,1	\sound\skill\sound_k040.wav													239	231	189	90
25	Th­¬ng H¶i Minh NguyÖt	1	0	1	10	1	0	1	4	16	20	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0				\spr\skill\Îäµ±\wd_02_²×º£Ã÷ÔÂ.spr	8,1,1	\sound\skill\²×º£Ã÷ÔÂ.wav				\spr\skill\Îäµ±\Bz_dian1_±¬Õ¨.spr	8,1,1														189	239	239	90
26	Thiªn TÕ TÊn L«i 	0	0	1	10	3	1	3	17	16	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0				\spr\skill\Îäµ±\wd_03_Ìì¼Ê¾ªÀ×.spr	17,1,1	\sound\skill\½£·É¾ªÌì.wav				\spr\skill\À¥ÂØ\Bz_dian3_±¬Õ¨.spr	8,1,1														255	255	231	90
27	HuyÒn NhÊt V« T­îng	0	0	1	15	1	0	1	10	10	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0										\spr\skill\Îäµ±\wd_04_ĞşÒ»ÎŞÏó.spr	8,1,1	\sound\skill\ĞşÒ»ÎŞÏó.wav													255	255	231	90
28	B¸c CÊp Nhi Phôc	0	0	1	15	4	1	4	13	12	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0				\spr\skill\Îäµ±\wd_05_°ş¼°¶ø¸´.spr	12,1,1	\sound\skill\°ş¼«¶ø¸´.wav																			255	255	231	90
29	V« Ng· V« KiÕm  	1	0	1	10	1	0	1	0	16	20	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0				\spr\skill\Îäµ±\wd_10_ÎŞÎÒÎŞ½£.spr	96,16,1																				255	255	231	90
30	§éc Sa ch­ëng	1	0	1	10	1	0	1	0	16	15	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0				\spr\skill\wu\ĞşÚ¤ÎüĞÇ.spr	128,16,1	\sound\skill\ÓÄÚ¤÷¼÷Ã.wav				\spr\skill\Îå¶¾½Ì\bz_du1_±¬Õ¨.spr	13,1,1														107	255	123	90
31	HuyÕt §ao §éc S¸t	1	0	1	10	1	0	1	0	16	31	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0				\spr\skill\Îå¶¾½Ì\wdu_02_´óÊÖÓ¡.spr	10,1,1	\sound\skill\ÑªÊÖ¶¾É±.wav				\spr\skill\Îå¶¾½Ì\bz_du1_±¬Õ¨.spr	13,1,1														140	207	156	90
32	Kh« L©u T¹c §¹n 	1	0	1	10	1	0	1	0	16	31	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0				\spr\skill\Îå¶¾½Ì\wdu_03_÷¼÷ÃÕ¨µ¯.spr	80,16,1	\sound\skill\ÓÄÚ¤÷¼÷Ã.wav				\spr\skill\Îå¶¾½Ì\bz_du2_±¬Õ¨.spr	6,1,1	\sound\skill\ÆÕÍ¨±¬Õ¨.wav													140	207	156	90
33	Cöu ¢m B¹ch Cèt Tr¶o 	0	0	0	20	3	0	3	6	6	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0				\spr\skill\Îå¶¾½Ì\wdu_04_¾ÅÒõ°×¹Ç×¥.spr	8,1,1		\spr\skill\Îå¶¾½Ì\wdu_04_¾ÅÒõ°×¹Ç×¥ÏûÍö.spr	13,1,4																	140	207	156	90
34	C¸p M« c«ng	1	0	1	10	2	1	2	0	16	31	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0				\spr\skill\Îå¶¾½Ì\wdu_05_¸òó¡¹¦.spr	160,16,1	\sound\skill\Öì¸òÇàÚ¤.wav				\spr\skill\Îå¶¾½Ì\bz_du2_±¬Õ¨.spr	6,1,1														140	207	156	90
35	Tİch LŞch ®¬n	7	0	1	10	3	1	3	0	60	16	10240	5120	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0				\spr\skill\ÌÆÃÅ\tm_03_Åùö¨µ¯.spr	10,1,1	\sound\skill\Åùö¨µ¯.wav				\spr\skill\ÌìÈÌ\mag_bz_huo1_±¬Õ¨Ğ§¹û.spr	6,1,2														132	125	107	90
36	Thiªn La §Şa Vâng	1	0	1	10	1	0	1	0	25	18	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0				\spr\skill\ÌÆÃÅ\tm_Ô¦·Éµ¶.spr	128,16,1	\sound\skill\¶á»êïÚ.wav																			255	251	214	90
37	Truy T©m TiÔn	1	0	1	10	1	0	1	0	16	30	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0				\spr\skill\ÌÆÃÅ\tm_05_¶àÏò¼ı.spr	160,16,1	\sound\skill\×·ĞÄ¼ı.wav																			148	219	255	90
38	M¹n Thiªn Hoa Vò 	0	0	1	20	3	1	3	40	39	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0				\spr\skill\ÌÆÃÅ\tm_06_ÂşÌì»¨Óê.spr	40,1,3																				255	219	214	90
39	Gi¸p Tö 	0	0	1	10	1	0	1	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				\spr\skill\ÌÆÃÅ\tm_09_¼Ğ×Ó.spr	28,4,1																				140	140	140	90
40	Háa §Şa L«i 	1	0	1	10	1	0	1	0	30	16	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0				\spr\skill\ÌÆÃÅ\tm_10_»ğµØÀ×.spr	160,16,1																				255	255	90	90
41	§iÖn §Şa L«i 	1	0	1	10	1	0	1	0	30	20	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0				\spr\skill\ÌÆÃÅ\tm_11_µçµØÀ×.spr	160,16,1																				255	255	239	90
42	B¨ng §Şa L«i 	1	0	1	10	1	0	1	0	30	15	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0				\spr\skill\ÌÆÃÅ\tm_12_±ùµØÀ×.spr	96,16,1																				156	207	231	90
43	§éc §Şa L«i 	1	0	1	10	3	1	3	0	30	12	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0				\spr\skill\ÌÆÃÅ\TM_13_¶¾µØÀ×.spr	160,16,1																				90	255	90	90
44	§Çu Th¹ch VÊn Lé 	7	0	1	10	2	1	2	0	40	14	10240	2048	1	0	0	0	0	1	1	1	0	1	0	0	0	0	0				\spr\skill\Ø¤°ï\mag_gb_01_Í¶Ê¯ÎÊÂ·.spr	1,1,1	\sound\skill\Í¶Ê¯ÎÊÂ·.wav	\spr\skill\Ø¤°ï\mag_bz_tu1_±¬Õ¨Ğ§¹û.spr	16,1,2		\spr\skill\Ø¤°ï\mag_bz_tu1.spr	16,1,2	\sound\skill\sound_k044.wav													123	113	107	90
45	Diªn M«n Th¸c B¸t	1	0	1	10	1	0	1	0	16	31	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0				\spr\skill\Ø¤°ï\mag_gb_02_ÑØÃÅÍĞ²§.spr	64,16,1	\sound\skill\ÑØÃÅÍĞ²§.wav				\spr\skill\ÌìÈÌ\mag_tr_bz1_±¬Õ¨Ğ§¹û.spr	8,1,2														255	174	60	90
46	KiÕn Nh©n ThÇn Thñ 	1	0	1	10	1	0	1	0	16	31	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0				\spr\skill\Ø¤°ï\mag_gb_03_¼ûÈËÉìÊÖ.spr	64,16,1	\sound\skill\¼ûÈËÉìÊÖ.wav				\spr\skill\ÌìÈÌ\mag_tr_bz1_±¬Õ¨Ğ§¹û.spr	8,1,2														255	174	60	90
47	Bæng §¶ ¸c CÈu	1	0	1	10	1	0	1	0	16	31	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0				\spr\skill\Ø¤°ï\mag_gb_04_ÌìÏÂÎŞ¹·.spr	64,16,1	\sound\skill\ÌìÏÂÎŞ¹·.wav				\spr\skill\ÌìÈÌ\mag_bz_huo3_±¬Õ¨Ğ§¹û.spr	18,1,2														255	174	60	90
48	Kh¸ng Long H÷u Hèi	1	0	1	10	1	0	1	0	16	10	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0				\spr\skill\Ø¤°ï\mag_gb_05_¿ºÁúÓĞ»Ú.spr	80,16,1	\sound\skill\¿ºÁúÎŞ»Ú.wav				\spr\skill\Ø¤°ï\mag_gb_bz5_±¬Õ¨Ğ§¹û.spr	6,1,2	\sound\skill\sound_k037.wav													255	174	60	90
49	C« Méc §én L«i 	0	0	0	20	1	0	1	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				\spr\skill\Ø¤°ï\mag_gb_06_¹ÂÄ¾¶İÀ×.spr	13,1,2																				255	255	214	90
50	B«n L­u §¸o H¶i	0	0	0	20	1	0	1	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				\spr\skill\Ø¤°ï\mag_gb_09_±¼Á÷µ½º£.spr	15,1,2																				165	170	255	90
51	Khuª Méc Tinh ChiÕu	0	0	0	20	1	0	1	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				\spr\skill\Ø¤°ï\mag_gb_08_¿üÄ¾ĞÇÕÕ.spr	15,1,2																				123	255	189	90
52	Kim ¤ ¸nh TuyÕt	0	0	0	10	1	0	1	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				\spr\skill\Ø¤°ï\mag_gb_07_½ğÎÚÓ³Ñ©.spr	20,1,2																				247	154	41	90
53	Hãa HiÓm Vi Di	0	0	0	20	1	0	1	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				\spr\skill\Ø¤°ï\mag_gb_10_»¯ÏÕÎªÒÄ.spr	15,1,2																				247	154	41	90
54	Tµn D­¬ng Nh­ HuyÕt	1	0	0	10	1	0	1	0	16	15	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0				\spr\skill\ÌìÈÌ\mag_tr_01_²ĞÑôÈçÑ©.spr	48,16,1	\sound\skill\sound_k028.wav				\spr\skill\ÌìÈÌ\mag_bz_huo1_±¬Õ¨Ğ§¹û.spr	18,1,2	\sound\skill\sound_k037.wav													239	146	82	90
55	Th«i s¬n  §iÒn H¶i	0	0	0	20	2	1	2	12	120	0	0	0	1	1	20	30	0	0	0	0	0	0	0	0	0	0	1				\spr\skill\ÌìÈÌ\mag_tr_02_ÍÆÉ½Ìîº£_a1.spr	31,1,2	\sound\skill\ÍÆÉ½Ìîº£.wav	\spr\skill\ÌìÈÌ\mag_tr_02_ÍÆÉ½Ìîº£_a2.spr	10,1,2				\sound\skill\sound_k038.wav				\spr\skill\ÌìÈÌ\mag_tr_02_ÍÆÉ½Ìîº£_b1.spr	31,1,2	\sound\skill\sound_k036.wav	\spr\skill\ÌìÈÌ\mag_tr_02_ÍÆÉ½Ìîº£_b2.spr	10,1,2					239	146	82	90
56	LiÖt Háa T×nh Thiªn 	1	0	1	10	1	0	1	0	16	18	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0				\spr\skill\ÌìÈÌ\mag_tr_01_²ĞÑôÈçÑ©.spr	48,16,1	\sound\skill\ÁÒ»ğÇéÌì.wav				\spr\skill\ÌìÈÌ\mag_bz_huo1_±¬Õ¨Ğ§¹û.spr	18,1,2	\sound\skill\sound_k037.wav													239	146	82	90
57	§¬n ChØ LiÖt DiÖm	1	0	1	10	3	1	3	0	16	25	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0				\spr\skill\ÌìÈÌ\mag_tr_04_µ¯Ö¸ÁÒÑæ.spr	48,16,1	\sound\skill\sound_k028.wav				\spr\skill\ÌìÈÌ\mag_bz_huo3_±¬Õ¨Ğ§¹û.spr	18,1,2	\sound\skill\sound_k037.wav													239	146	82	90
58	ThÊt Th­¬ng ThÇn QuyÒn 	0	0	1	10	4	1	4	5	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0																									255	255	255	90
59	Kim Ba 	1	0	0	10	1	0	1	0	30	20	0	0	1	0	0	0	0	1	1	0	1	0	0	0	0	0	0				\spr\skill\ÉÙÁÖ\bz_bo1_½ğ²¨.spr	320,32,1																				231	227	107	90
60	Hång Ba 	1	0	0	10	1	0	1	0	40	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				\spr\skill\ÉÙÁÖ\bz_bo2_ºì²¨.spr	320,32,1																				222	101	74	90
61	Ma Ha V« L­îng	1	0	0	10	1	0	1	0	16	31	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0				\spr\skill\ÉÙÁÖ\sl_01_Ä¦Ú­ÎŞÁ¿.spr	80,16,1																				231	227	107	90
62	S­ Tö Hèng 	1	0	1	10	1	0	1	0	10	16	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0				\spr\skill\ÉÙÁÖ\bz_bo2_ºì²¨.spr	320,32,1																				222	101	74	90
63	C«ng kİch vËt lı 	1	0	1	10	1	0	1	0	3	30	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0										\spr\skill\²¹³ä\µ¶½£±¬Õ¨.spr	4,1,1	\sound\skill\µ¶½£´ÌÖĞÉù.wav										\spr\skill\²¹³ä\µ¶½£±¬Õ¨.spr	4,1,1		181	203	255	0
64	C«ng kİch vËt lı  	1	0	1	10	1	0	1	6	6	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0										\spr\skill\²¹³ä\µ¶½£±¬Õ¨.spr	4,1,1	\sound\skill\Ç¹´ÌÖĞÉù.wav													181	203	255	0
65	C«ng kİch vËt lı gÇn 	1	0	1	10	1	0	1	0	20	16	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0				\spr\skill\²¹³ä\Ô¶³Ì¹¥»÷.spr	16,16,5					\spr\skill\²¹³ä\µ¶½£±¬Õ¨.spr	4,1,1	\sound\skill\sound_k032.wav													231	227	107	10
66	Hµng Long BÊt Vò  	0	0	1	5	4	1	4	10	15	20	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0				\spr\skill\ÉÙÁÖ\sl_03_ĞĞÁú²»Óê.spr	15,1,1	\sound\skill\ĞĞÁú²»Óê.wav																			231	227	107	90
67	Thiªn La §Şa vâng 	5	0	1	10	1	0	1	0	36	16	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0				\spr\skill\ÌÆÃÅ\tm_Ô¦·Éµ¶.spr	128,16,1	\sound\skill\sound_k031.wav																			227	247	198	90
68	Phiªu TuyÕt Xuyªn V©n 	1	0	1	10	1	0	1	1	16	24	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0				\spr\skill\¶ëáÒ\mag_em_01_Æ®Ñ©´©ÔÆ.spr	64,16,1	\sound\skill\Æ®Ñ©´©ÔÆ.wav				\spr\skill\¶ëáÒ\mag_bz_bin1_±¬Õ¨Ğ§¹û.spr	14,1,1														115	219	255	90
69	Th©u Thiªn Ho¸n NhËt	1	0	1	10	1	0	1	0	3	24	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0										\spr\skill\ÌìÈÌ\mag_tr_07_ÍµÌì»»ÈÕ.spr	15,1,2	\sound\skill\sound_k032.wav													255	113	114	90
70	T¸ Lùc §¶ Lùc	1	0	1	10	1	0	1	0	3	24	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0										\spr\skill\ÌìÈÌ\mag_tr_09_½èÁ¦´òÁ¦.spr	15,1,2	\sound\skill\sound_k032.wav													255	255	123	90
71	HÊp Tinh §¹i Ph¸p	1	0	1	10	1	0	1	0	3	24	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0										\spr\skill\ÌìÈÌ\mag_tr_08_ÎüĞÇ´ó·¨.spr	15,1,2	\sound\skill\sound_k032.wav													115	166	255	90
72	Hµng V©n QuyÕt 	1	0	1	10	1	0	1	0	3	24	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0										\spr\skill\¶ëáÒ\mag_bz_bin1_±¬Õ¨Ğ§¹û.spr	7,1,2	\sound\skill\sound_k041.wav													173	235	255	90
73	Kinh L«i Tr¶m 	1	0	1	10	1	0	1	0	3	24	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0										\spr\skill\Îäµ±\Bz_dian1_±¬Õ¨.spr	8,1,1	\sound\skill\sound_k040.wav													239	239	214	90
74	Tr¶m Long QuyÕt  	1	0	1	10	1	0	1	0	3	24	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0										\spr\skill\¶ëáÒ\mag_bz_bin1_±¬Õ¨Ğ§¹û.spr	6,1,2	\sound\skill\sound_k036.wav													247	154	33	90
75	Hoµnh T¶o Lôc Hîp 	0	0	0	2	1	0	1	0	1	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0						\sound\skill\sound_k023.wav	\spr\skill\²¹³ä\¹÷°ô±¬Õ¨.spr	4,1,1																	255	255	255	0
76	§Şnh vŞ ®ång ®éi trong khu vùc 	0	0	0	2	10	1	10	0	2	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0																									255	255	255	0
77	§Şnh vŞ ®èi ph­¬ng trong khu vùc	0	0	1	10	12	1	12	7	6	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0																									255	255	255	0
78	Lam Ba 	1	0	0	2	1	0	1	0	20	24	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0				\spr\skill\²¹³ä\mag_spe_bo_À¶.spr	320,32,1																				148	174	239	90
79	Hång Ba 	1	0	0	2	1	0	1	0	20	24	0	0	1	0	0	0	0	1	1	1	1	0	0	0	0	0	0				\spr\skill\ÉÙÁÖ\bz_bo2_ºì²¨.spr	320,32,1																				222	101	74	90
80	Lôc Ba 	1	0	0	2	1	1	1	0	20	24	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0				\spr\skill\²¹³ä\mag_spe_bo_ÂÌ.spr	320,32,1																				132	227	82	90
