Name	DataID	Kind	ScriptName	ImageName	SoundName	LifeTime	Layer	Height	SkillKind	SkillCamp	SkillRange	SkillCastTime	SkillID	SkillLevel	LightRadius	LightRed	LightGreen	LightBlue	LightAlpha	LightReflectType	ImageTotalFrame	ImageCurFrame	ImageTotalDir	ImageCurDir	ImageInterval	ImageCgXpos	ImageCgYpos	Bar0	Bar1	Bar2	Bar3	Bar4	Bar5	Bar6	Bar7	Bar8	Bar9	Bar10	Bar11	Bar12	Bar13	Bar14	ImageDropName	ImageDropTotalFrame	ImageDropCurFrame	ImageDropTotalDir	ImageDropCurDir	ImageDropInterval(Ö¡¼ä¸ô£©	ImageDropCgXpos	ImageDropCgYpos	IsUnseen	ObstacleKind
C«n bæng 	11	Item		\spr\obj\item\obj_wq_003.spr	\sound\sound_i005.wav	150	0	4	Cycle_Image_Static	4	0	0	0	0	0	0	0	0	0	0	8	0	1	0	18	50	100	0	0	0	0	0	0	5	1	0	3	2	0	0	0	0	\spr\obj\item\obj_wq_fall_003.spr	12	0	1	0	15	50	100	0	0
th­¬ng 	12	Item		\spr\obj\item\obj_wq_004.spr	\sound\sound_i005.wav	150	0	4	Cycle_Image_Static	4	0	0	0	0	0	0	0	0	0	0	8	0	1	0	18	80	112	0	0	0	5	4	0	3	1	4	0	3	2	0	0	0	\spr\obj\item\obj_wq_fall_004.spr	16	0	1	0	18	80	112	0	0
Chïy 	13	Item		\spr\obj\item\obj_wq_005.spr	\sound\sound_i005.wav	150	0	2	Auto_Image_Target	4	0	0	0	0	0	0	0	0	0	0	8	0	1	0	38	60	115	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	\spr\obj\item\obj_wq_fall_005.spr	9	0	1	0	18	60	115	0	0
Song ®ao	14	Item		\spr\obj\item\obj_wq_006.spr	\sound\sound_i005.wav	150	0	8	Cycle_Image_Static	4	0	0	0	0	0	0	0	0	0	0	8	0	1	0	38	60	130	0	0	0	5	1	4	3	1	1	0	3	2	0	0	0	\spr\obj\item\obj_wq_fall_006.spr	11	0	1	0	22	60	130	0	0
Phi Tiªu	15	Item		\spr\obj\item\obj_wq_007.spr	\sound\sound_i005.wav	150	0	2	Cycle_Image_Static	4	0	0	0	0	0	0	0	0	0	0	7	0	1	0	32	60	115	0	0	0	5	4	0	3	1	0	0	0	0	0	0	0	\spr\obj\item\obj_wq_fall_007.spr	9	0	1	0	20	60	115	0	0
Cung 	16	Item		\spr\obj\item\obj_wq_008.spr	\sound\sound_i005.wav	150	0	1	Cycle_Image_Static	4	0	0	0	0	0	0	0	0	0	0	7	0	1	0	32	60	115	0	0	0	5	4	0	3	1	4	0	3	2	0	0	0	\spr\obj\item\obj_wq_fall_008.spr	9	0	1	0	20	60	115	0	0
¸m khÝ 	17	Item		\spr\obj\item\obj_wq_009.spr	\sound\sound_i005.wav	150	0	8	Cycle_Image_Static	0	0	0	0	0	0	0	0	0	0	0	7	0	1	0	32	60	110	0	0	0	5	4	0	3	1	4	0	3	2	0	0	0	\spr\obj\item\obj_wq_fall_009.spr	9	0	1	0	20	60	110	0	0
Hång d­îc 	18	Item		\spr\obj\item\obj_yp_hp01.spr	\sound\sound_i008.wav	150	0	4	Cycle_Image_Static	0	0	0	0	0	0	0	0	0	0	0	8	0	1	0	16	60	115	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	\spr\obj\item\obj_yp_hp01_fall.spr	10	0	1	0	20	63	115	0	0
B¹ch d­îc	19	Item		\spr\obj\item\obj_yp_ap01.spr	\sound\sound_i008.wav	150	0	4	Cycle_Image_Static	0	0	0	0	0	0	0	0	0	0	0	8	0	1	0	16	60	115	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	\spr\obj\item\obj_yp_ap01_fall.spr	10	0	1	0	20	60	115	0	0
Lam d­îc	20	Item		\spr\obj\item\obj_yp_mp01.spr	\sound\sound_i008.wav	150	0	4	Cycle_Image_Static	0	0	0	0	0	0	0	0	0	0	0	8	0	1	0	16	60	115	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	\spr\obj\item\obj_yp_mp01_fall.spr	10	0	1	0	20	63	115	0	0
Töu ®µn tö 	21	Item		\spr\obj\item\obj_yp_004.spr	\sound\sound_i008.wav	150	0	4	Cycle_Image_Static	0	0	0	0	0	0	0	0	0	0	0	7	0	1	0	32	60	115	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	\spr\obj\item\obj_yp_fall_004.spr	9	0	1	0	20	60	115	0	0
Hoµng bè y 	22	Item		\spr\obj\item\obj_zb_001.spr	\sound\sound_i004.wav	150	0	4	Cycle_Image_Static	0	0	0	0	0	0	0	0	0	0	0	7	0	1	0	32	50	105	0	0	0	5	1	4	1	1	1	3	1	2	0	0	0	\spr\obj\item\obj_zb_fall_001.spr	7	0	1	0	20	50	105	0	0
B¹ch kh¶i Gi¸p 	23	Item		\spr\obj\item\obj_zb_002.spr	\sound\sound_i004.wav	150	0	3	Cycle_Image_Static	0	0	0	0	0	0	0	0	0	0	0	7	0	1	0	32	55	110	0	0	0	5	1	4	1	1	1	3	1	2	0	0	0	\spr\obj\item\obj_zb_fall_002.spr	7	0	1	0	20	55	110	0	0
Lam Bè Y 	24	Item		\spr\obj\item\obj_zb_003.spr	\sound\sound_i004.wav	150	0	2	Cycle_Image_Static	0	0	0	0	0	0	0	0	0	0	0	7	0	1	0	32	50	105	0	0	0	5	1	4	1	1	1	3	1	2	0	0	0	\spr\obj\item\obj_zb_fall_003.spr	7	0	1	0	20	50	105	0	0
Kim Kh¶iGi¸p 	25	Item		\spr\obj\item\obj_zb_004.spr	\sound\sound_i004.wav	150	0	2	Cycle_Image_Static	0	0	0	0	0	0	0	0	0	0	0	7	0	1	0	32	55	105	0	0	0	5	1	4	1	1	1	3	1	2	0	0	0	\spr\obj\item\obj_zb_fall_004.spr	7	0	1	0	20	55	105	0	0
Giµy nam	26	Item		\spr\obj\item\obj_zb_005.spr	\sound\sound_i004.wav	150	0	2	Cycle_Image_Static	0	0	0	0	0	0	0	0	0	0	0	7	0	1	0	32	55	110	0	0	0	5	1	4	1	1	1	3	1	2	0	0	0	\spr\obj\item\obj_zb_fall_005.spr	7	0	1	0	20	55	110	0	0
Giµy n÷ 	27	Item		\spr\obj\item\obj_zb_006.spr	\sound\sound_i004.wav	150	0	2	Cycle_Image_Static	0	0	0	0	0	0	0	0	0	0	0	8	0	1	0	38	60	115	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	\spr\obj\item\obj_zb_fall_006.spr	8	0	1	0	20	60	115	0	0
Lam bè m·o	28	Item		\spr\obj\item\obj_zb_007.spr	\sound\sound_i004.wav	150	0	4	Cycle_Image_Static	0	0	0	0	0	0	0	0	0	0	0	7	0	1	0	32	60	110	0	0	0	0	0	0	5	1	4	3	1	2	0	0	0	\spr\obj\item\obj_zb_fall_007.spr	7	0	1	0	20	60	110	0	0
Cang kh«i 	29	Item		\spr\obj\item\obj_zb_008.spr	\sound\sound_i004.wav	150	0	3	Cycle_Image_Static	0	0	0	0	0	0	0	0	0	0	0	7	0	1	0	32	60	110	0	0	0	5	1	4	1	1	1	3	1	2	0	0	0	\spr\obj\item\obj_zb_fall_008.spr	7	0	1	0	20	60	110	0	0
Ph¸t tr©m 	30	Item		\spr\obj\item\obj_zb_009.spr	\sound\sound_i004.wav	150	0	4	Cycle_Image_Static	0	0	0	0	0	0	0	0	0	0	0	8	0	1	0	38	60	115	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	\spr\obj\item\obj_zb_fall_009.spr	8	0	1	0	20	60	115	0	0
Kim Kh«i 	31	Item		\spr\obj\item\obj_zb_010.spr	\sound\sound_i004.wav	150	0	3	Cycle_Image_Static	0	0	0	0	0	0	0	0	0	0	0	7	0	1	0	32	60	110	0	0	0	5	1	4	1	1	1	3	1	2	0	0	0	\spr\obj\item\obj_zb_fall_010.spr	7	0	1	0	20	60	110	0	0
bè yªu ®¸i	32	Item		\spr\obj\item\obj_zb_011.spr	\sound\sound_i004.wav	150	0	4	Cycle_Image_Static	0	0	0	0	0	0	0	0	0	0	0	7	0	1	0	32	60	110	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	\spr\obj\item\obj_zb_fall_011.spr	7	0	1	0	20	60	110	0	0
Yªu ®¸i (Kim) 	33	Item		\spr\obj\item\obj_zb_012.spr	\sound\sound_i004.wav	150	0	2	Cycle_Image_Static	0	0	0	0	0	0	0	0	0	0	0	7	0	1	0	16	60	110	0	0	0	5	1	4	1	1	1	3	1	2	0	0	0	\spr\obj\item\obj_zb_fall_012.spr	7	0	1	0	20	60	110	0	0
Hé uyÓn	34	Item		\spr\obj\item\obj_zb_013.spr	\sound\sound_i004.wav	150	0	2	Cycle_Image_Static	0	0	0	0	0	0	0	0	0	0	0	9	0	1	0	32	60	110	0	0	0	0	0	0	0	1	4	0	3	2	0	0	0	\spr\obj\item\obj_zb_fall_013.spr	7	0	1	0	20	60	110	0	0
Ngäc tr¹c 	35	Item		\spr\obj\item\obj_zb_014.spr	\sound\sound_i004.wav	150	0	3	Cycle_Image_Static	0	0	0	0	0	0	0	0	0	0	0	7	0	1	0	32	60	115	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	\spr\obj\item\obj_zb_fall_014.spr	7	0	1	0	20	60	115	0	0
D©y chuyÒn	36	Item		\spr\obj\item\obj_zb_015.spr	\sound\sound_i006.wav	150	0	2	Cycle_Image_Static	0	0	0	0	0	0	0	0	0	0	0	7	0	1	0	32	60	115	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	\spr\obj\item\obj_zb_fall_015.spr	7	0	1	0	20	60	115	0	0
NhÉn	37	Item		\spr\obj\item\obj_zb_016.spr	\sound\sound_i006.wav	150	0	2	Cycle_Image_Static	0	0	0	0	0	0	0	0	0	0	0	7	0	1	0	32	60	115	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	\spr\obj\item\obj_zb_fall_016.spr	7	0	1	0	25	60	115	0	0
Thæ ®Þa phï 	38	Item		\spr\obj\item\obj_it_´«ËÍ.spr	\sound\sound_i008.wav	150	0	4	Cycle_Image_Static	0	0	0	0	0	0	0	0	0	0	0	4	0	1	0	32	137	128	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	\spr\obj\item\obj_it_´«ËÍ_fall.spr	19	0	1	0	20	140	124	0	0
®iÓm ®­a 	39	Box		\spr\obj\box\transport.spr		0	0	8	Cycle_Image_Static	0	0	0	0	0	0	0	0	0	0	0	15	0	1	0	32	329	295	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	0	0	0	0	0	0
yªn ngùa 	40	Item		\spr\obj\item\obj_saddle.spr	\sound\sound_i008.wav	150	0	2	Cycle_Image_Static	0	0	0	0	0	0	0	0	0	0	0	9	0	1	0	21	160	192	0	0	0	0	5	4	0	1	2	0	0	0	0	0	0	\spr\obj\item\obj_saddle_fall.spr	12	0	1	0	24	160	192	0	0
VËt phÈm nhiÖm vô  	41	Item		\spr\obj\item\quest.spr	\sound\sound_i008.wav	150	0	2	Cycle_Image_Static	0	0	0	0	0	0	0	0	0	0	0	8	0	1	0	16	160	195	0	0	0	0	5	4	0	1	2	0	0	0	0	0	0	\spr\obj\item\quest_fall.spr	10	0	1	0	20	160	195	0	0
potionblue	42	Item		\spr\obj\item\wj-po2.spr		150	0	3	Cycle_Image_Static	0	0	0	0	0	0	0	0	0	0	0	10	0	1	0	3	60	109	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0									0	0
ani001	43	Body		\spr\obj\corpse\ani001_die_corpse.spr		150	0	2	Cycle_Image_Static	0	0	0	0	0	0	0	0	0	0	0	64	0	8	0	28	160	192	5	1	4	1	1	1	1	1	1	1	1	1	3	1	2									0	0
ani002	44	Body		\spr\obj\corpse\ani002_die_corpse.spr		150	0	3	Cycle_Image_Static	0	0	0	0	0	0	0	0	0	0	0	64	0	8	0	35	160	192	5	1	4	1	1	1	1	1	1	1	1	1	3	1	2									0	0
ani003	45	Body		\spr\obj\corpse\ani003_die_corpse.spr		150	0	4	Cycle_Image_Static	0	0	0	0	0	0	0	0	0	0	0	64	0	8	0	32	160	192	5	1	4	1	1	1	1	1	1	1	1	1	3	1	2									0	0
ani004	46	Body		\spr\obj\corpse\ani004_die_corpse.spr		150	0	3	Cycle_Image_Static	0	0	0	0	0	0	0	0	0	0	0	64	0	8	0	32	160	192	5	1	4	1	1	1	1	1	1	1	1	1	3	1	2									0	0
ani005	47	Body		\spr\obj\corpse\ani005_die_corpse.spr		150	0	3	Cycle_Image_Static	0	0	0	0	0	0	0	0	0	0	0	64	0	8	0	34	160	192	5	1	4	1	1	1	1	1	1	1	1	1	3	1	2									0	0
ani006	48	Body		\spr\obj\corpse\ani006_die_corpse.spr		150	0	3	Cycle_Image_Static	0	0	0	0	0	0	0	0	0	0	0	64	0	8	0	35	160	192	5	1	4	1	1	1	1	1	1	1	1	1	3	1	2									0	0
ani007	49	Body		\spr\obj\corpse\ani006_die_corpse.spr		150	0	3	Cycle_Image_Static	0	0	0	0	0	0	0	0	0	0	0	64	0	8	0	35	160	192	0	0	0	5	1	4	1	1	1	1	1	1	3	1	2									0	0
ani008	50	Body		\spr\obj\corpse\ani006_die_corpse.spr		150	0	3	Cycle_Image_Static	0	0	0	0	0	0	0	0	0	0	0	64	0	8	0	35	160	192	5	1	4	1	1	1	1	1	1	1	1	1	3	1	2									0	0
ani009	51	Body		\spr\obj\corpse\ani009_die_corpse.spr		150	0	4	Cycle_Image_Static	0	0	0	0	0	0	0	0	0	0	0	64	0	8	0	41	160	192	5	1	4	1	1	1	1	1	1	1	1	1	3	1	2									0	0
ani010	52	Body		\spr\obj\corpse\ani010_die_corpse.spr		150	0	3	Cycle_Image_Static	0	0	0	0	0	0	0	0	0	0	0	64	0	8	0	41	160	192	5	1	4	1	1	1	1	1	1	1	1	1	3	1	2									0	0
ani011	53	Body		\spr\obj\corpse\ani011_die_corpse.spr		150	0	3	Cycle_Image_Static	0	0	0	0	0	0	0	0	0	0	0	64	0	8	0	32	160	192	5	1	4	1	1	1	1	1	1	1	1	1	3	1	2									0	0
ani012	54	Body		\spr\obj\corpse\ani012_die_corpse.spr		150	0	3	Cycle_Image_Static	0	0	0	0	0	0	0	0	0	0	0	64	0	8	0	25	160	192	0	0	0	5	1	4	1	1	1	3	1	2	0	0	0									0	0
ani013	55	Body		\spr\obj\corpse\ani013_die_corpse.spr		150	0	3	Cycle_Image_Static	0	0	0	0	0	0	0	0	0	0	0	64	0	8	0	22	160	192	0	0	0	5	1	4	1	1	1	3	1	2	0	0	0									0	0
ani014	56	Body		\spr\obj\corpse\ani013_die_corpse.spr		150	0	3	Cycle_Image_Static	0	0	0	0	0	0	0	0	0	0	0	64	0	8	0	22	160	192	0	0	0	5	1	4	1	1	1	3	1	2	0	0	0									0	0
ani015	57	Body		\spr\obj\corpse\ani015_die_corpse.spr		150	0	3	Cycle_Image_Static	0	0	0	0	0	0	0	0	0	0	0	64	0	8	0	22	160	192	0	0	0	5	1	4	1	1	1	3	1	2	0	0	0									0	0
ani016	58	Body		\spr\obj\corpse\ani015_die_corpse.spr		150	0	3	Cycle_Image_Static	0	0	0	0	0	0	0	0	0	0	0	64	0	8	0	22	160	192	0	0	0	5	1	4	1	1	1	3	1	2	0	0	0									0	0
ani017	59	Body		\spr\obj\corpse\ani015_die_corpse.spr		150	0	3	Cycle_Image_Static	0	0	0	0	0	0	0	0	0	0	0	64	0	8	0	22	160	192	0	0	0	5	1	4	1	1	1	3	1	2	0	0	0									0	0
ani018	60	Body		\spr\obj\corpse\ani018_die_corpse.spr		150	0	3	Cycle_Image_Static	0	0	0	0	0	0	0	0	0	0	0	64	0	8	0	40	160	192	0	0	0	5	1	4	1	1	1	3	1	2	0	0	0									0	0
ani019	61	Body		\spr\obj\corpse\ani019_die_corpse.spr		150	0	4	Cycle_Image_Static	0	0	0	0	0	0	0	0	0	0	0	64	0	8	0	35	160	198	5	4	0	1	1	4	1	1	1	3	1	2	0	0	0									0	0
ani020	62	Body		\spr\obj\corpse\ani020_die_corpse.spr		150	0	3	Cycle_Image_Static	0	0	0	0	0	0	0	0	0	0	0	64	0	8	0	35	160	192	5	4	0	1	1	4	1	1	1	1	1	2	3	2	0									0	0
ani021	63	Body		\spr\obj\corpse\ani021_die_corpse.spr		150	0	2	Cycle_Image_Static	0	0	0	0	0	0	0	0	0	0	0	64	0	8	0	43	160	192	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1									0	0
ani022	64	Body		\spr\obj\corpse\ani022_die_corpse.spr		150	0	2	Cycle_Image_Static	0	0	0	0	0	0	0	0	0	0	0	64	0	8	0	43	160	192	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1									0	0
ani023	65	Body		\spr\obj\corpse\ani023_die_corpse.spr		150	0	2	Cycle_Image_Static	0	0	0	0	0	0	0	0	0	0	0	64	0	8	0	43	160	192	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1									0	0
ani024	66	Body		\spr\obj\corpse\ani024_die_corpse.spr		150	0	2	Cycle_Image_Static	0	0	0	0	0	0	0	0	0	0	0	64	0	8	0	43	160	192	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1									0	0
ani025	67	Body		\spr\obj\corpse\ani025_die_corpse.spr		150	0	2	Cycle_Image_Static	0	0	0	0	0	0	0	0	0	0	0	64	0	8	0	41	160	192	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1									0	0
ani026	68	Body		\spr\obj\corpse\ani026_die_corpse.spr		150	0	2	Cycle_Image_Static	0	0	0	0	0	0	0	0	0	0	0	64	0	8	0	35	160	192	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1									0	0
ani027	69	Body		\spr\obj\corpse\ani026_die_corpse.spr		150	0	2	Cycle_Image_Static	0	0	0	0	0	0	0	0	0	0	0	64	0	8	0	35	160	192	5	1	4	1	1	1	1	1	1	1	1	1	3	1	2									0	0
ani028	70	Body		\spr\obj\corpse\ani027_die_corpse.spr		150	0	2	Cycle_Image_Static	0	0	0	0	0	0	0	0	0	0	0	64	0	8	0	35	160	192	5	1	4	1	1	1	1	1	1	1	1	1	3	1	2									0	0
ani029	71	Body		\spr\obj\corpse\ani029_die_corpse.spr		150	0	2	Cycle_Image_Static	0	0	0	0	0	0	0	0	0	0	0	64	0	8	0	41	160	192	0	0	0	5	1	4	1	1	1	3	1	2	0	0	0									0	0
ani030	72	Body		\spr\obj\corpse\ani030_die_corpse.spr		150	0	2	Cycle_Image_Static	0	0	0	0	0	0	0	0	0	0	0	64	0	8	0	41	160	192	5	1	4	1	1	1	1	1	1	1	1	1	3	1	2									0	0
ani031	73	Body		\spr\obj\corpse\ani031_die_corpse.spr		150	0	4	Cycle_Image_Static	0	0	0	0	0	0	0	0	0	0	0	64	0	8	0	41	160	192	0	0	0	5	1	4	1	1	1	3	1	2	0	0	0									0	0
ani032	74	Body		\spr\obj\corpse\ani032_die_corpse.spr		150	0	3	Cycle_Image_Static	0	0	0	0	0	0	0	0	0	0	0	64	0	8	0	41	160	192	0	0	0	5	1	4	1	1	1	3	1	2	0	0	0									0	0
ani033	75	Body		\spr\obj\corpse\ani033_die_corpse.spr		150	0	3	Cycle_Image_Static	0	0	0	0	0	0	0	0	0	0	0	64	0	8	0	40	160	192	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1									0	0
ani034	76	Body		\spr\obj\corpse\ani034_die_corpse.spr		150	0	1	Cycle_Image_Static	0	0	0	0	0	0	0	0	0	0	0	64	0	8	0	40	160	192	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1									0	0
ani035	77	Body		\spr\obj\corpse\ani035_die_corpse.spr		150	0	2	Cycle_Image_Static	0	0	0	0	0	0	0	0	0	0	0	64	0	8	0	40	160	192	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1									0	0
ani036	78	Body		\spr\obj\corpse\ani036_die_corpse.spr		150	0	2	Cycle_Image_Static	0	0	0	0	0	0	0	0	0	0	0	64	0	8	0	43	160	192	1	1	4	1	1	1	1	1	1	1	1	1	3	1	1									0	0
ani037	79	Body		\spr\obj\corpse\ani037_die_corpse.spr		150	0	2	Cycle_Image_Static	0	0	0	0	0	0	0	0	0	0	0	64	0	8	0	32	160	192	1	1	4	1	1	1	1	1	1	1	1	1	3	1	1									0	0
ani038	80	Body		\spr\obj\corpse\ani038_die_corpse.spr		150	0	2	Cycle_Image_Static	0	0	0	0	0	0	0	0	0	0	0	64	0	8	0	25	160	192	5	4	0	1	1	4	1	1	1	1	1	1	3	1	2									0	0
ani039	81	Body		\spr\obj\corpse\ani039_die_corpse.spr		150	0	2	Cycle_Image_Static	0	0	0	0	0	0	0	0	0	0	0	64	0	8	0	35	160	192	5	4	0	1	1	4	1	1	1	1	1	1	3	1	2									0	0
ani040	82	Body		\spr\obj\corpse\ani040_die_corpse.spr		150	0	2	Cycle_Image_Static	0	0	0	0	0	0	0	0	0	0	0	64	0	8	0	19	160	192	0	0	0	5	1	4	1	1	1	3	1	2	0	0	0									0	0
ani041	83	Body		\spr\obj\corpse\ani041_die_corpse.spr		150	0	2	Cycle_Image_Static	0	0	0	0	0	0	0	0	0	0	0	64	0	8	0	36	160	192	1	4	0	1	1	1	1	1	1	1	1	1	1	1	2									0	0
ani042	84	Body		\spr\obj\corpse\ani042_die_corpse.spr		150	0	3	Cycle_Image_Static	0	0	0	0	0	0	0	0	0	0	0	64	0	8	0	36	160	192	0	0	0	1	1	1	1	1	1	1	1	1	0	0	0									0	0
ani043	85	Body		\spr\obj\corpse\ani043_die_corpse.spr		150	0	3	Cycle_Image_Static	0	0	0	0	0	0	0	0	0	0	0	64	0	8	0	36	160	192	0	0	0	1	1	1	1	1	1	1	1	1	0	0	0									0	0
ani044	86	Body		\spr\obj\corpse\ani043_die_corpse.spr		150	0	3	Cycle_Image_Static	0	0	0	0	0	0	0	0	0	0	0	64	0	8	0	19	160	192	0	0	0	1	1	1	1	1	1	1	1	1	0	0	0									0	0
ani045	87	Body		\spr\obj\corpse\ani045_DIE_corpse.spr		150	0	1	Cycle_Image_Static	0	0	0	0	0	0	0	0	0	0	0	64	0	8	0	38	160	192	0	0	0	5	1	4	1	1	1	3	1	2	0	0	0									0	0
ani046	88	Body		\spr\obj\corpse\ani046_DIE_corpse.spr		150	0	2	Cycle_Image_Static	0	0	0	0	0	0	0	0	0	0	0	64	0	8	0	38	160	192	0	0	0	5	1	4	1	1	1	3	1	2	0	0	0									0	0
ani047	89	Body		\spr\obj\corpse\ani047_DIE_corpse.spr		150	0	2	Cycle_Image_Static	0	0	0	0	0	0	0	0	0	0	0	64	0	8	0	38	160	192	0	0	0	5	1	4	1	1	1	3	1	2	0	0	0									0	0
ani048	90	Body		\spr\obj\corpse\ani048_DIE_corpse.spr		150	0	2	Cycle_Image_Static	0	0	0	0	0	0	0	0	0	0	0	64	0	8	0	38	160	192	0	0	0	5	1	4	1	1	1	3	1	2	0	0	0									0	0
ani049	91	Body		\spr\obj\corpse\ani049_die_corpse.spr		150	0	2	Cycle_Image_Static	0	0	0	0	0	0	0	0	0	0	0	64	0	8	0	32	160	172	0	0	0	5	1	4	1	1	1	3	1	2	0	0	0									0	0
ani050	92	Body		\spr\obj\corpse\ani050_die_corpse.spr		150	0	2	Cycle_Image_Static	0	0	0	0	0	0	0	0	0	0	0	64	0	8	0	25	160	175	0	0	0	5	1	4	1	1	1	3	1	2	0	0	0									0	0
ani051	93	Body		\spr\obj\corpse\ani051_die_corpse.spr		150	0	2	Cycle_Image_Static	0	0	0	0	0	0	0	0	0	0	0	64	0	8	0	32	161	162	0	0	0	5	1	4	1	1	1	3	1	2	0	0	0									0	0
ani052	94	Body		\spr\obj\corpse\ani052_die_corpse.spr		150	0	2	Cycle_Image_Static	0	0	0	0	0	0	0	0	0	0	0	64	0	8	0	25	160	168	0	0	0	5	1	4	1	1	1	3	1	2	0	0	0									0	0
ani053	95	Body		\spr\obj\corpse\ani053_DIE_corpse.spr		150	0	2	Cycle_Image_Static	0	0	0	0	0	0	0	0	0	0	0	64	0	8	0	28	160	192	0	0	0	5	1	4	1	1	1	3	1	2	0	0	0									0	0
ani054	96	Body		\spr\obj\corpse\ani054_DIE_corpse.spr		150	0	3	Cycle_Image_Static	0	0	0	0	0	0	0	0	0	0	0	64	0	8	0	32	160	192	0	0	0	5	1	4	1	1	1	3	1	2	0	0	0									0	0
