名称	ItemGenre	DetailType	ParticularType	动画文件名	对应物件索引	宽度	高度	说明文字	五行属性	价格	等级	是否叠放	基础属性1类型	基础属性1最小值	基础属性1最大值	基础属性2类型	基础属性2最小值	基础属性2最大值	基础属性3类型	基础属性3最小值	基础属性3最大值	基础属性4类型	基础属性4最小值	基础属性4最大值	基础属性5类型	基础属性5最小值	基础属性5最大值	基础属性6类型	基础属性6最小值	基础属性6最大值	基础属性7类型	基础属性7最小值	基础属性7最大值	需求属性1类型	需求属性1数值	需求属性2类型	需求属性2数值	需求属性3类型	需求属性3数值	需求属性4类型	需求属性4数值	需求属性5类型	需求属性5数值	需求属性6类型	需求属性6数值	魔法属性索引1	魔法属性索引2	魔法属性索引3	魔法属性索引4	魔法属性索引5	魔法属性索引6	所在套装	扩展套装	扩展套装序号	扩展套装隐藏属性1	扩展套装隐藏属性2
继业之奔雷钻龙枪	0	0	3	\spr\item\equip\closeweapon\obj-spear04.spr	12	1	4	黄金装备	2	49999	10	0	28	18	18	29	158	158	167	30	30	31	99	99										36	99	32	165	33	165	39	1					57	51	46	69	110	73	5				
继业之玄武黄金铠	0	2	4	\spr\item\equip\armor\obj-ma-cloth15-3.spr	25	2	3	黄金装备	0	49999	10	0	30	720	720	31	90	90																36	95	32	260	39	1							2	40	185	79			5				
继业之白虎无双扣	0	6	1	\spr\item\equip\sash\obj-sash17.spr	33	2	1	黄金装备	4	49999	10	0	30	160	160	31	80	80																36	90	32	135	39	1							2	309	188	311	416	156	5				
继业之火云麒麟手	0	8	1	\spr\item\equip\bangle\obj-bangle19.spr	34	1	2	黄金装备	3	49999	10	0	30	135	135	31	80	80																36	80	32	110	39	1							129	130					5				
继业之朱雀凌云靴	0	5	1	\spr\item\equip\boots\obj-shoes10.spr	26	2	2	黄金装备	1	49999	10	0	30	160	160	31	80	80																36	85	32	135	39	1							2	104	189	311	319	186	5				
御龙之亮银宝刀	0	0	1	\spr\item\equip\closeweapon\obj-blade24.spr	10	1	4	黄金装备	2	49999	10	0	28	40	40	29	114	114	167	-20	-20	31	99	99										36	99	32	135	39	1							57	52	46	69	110	73	6				
御龙之战神挂坠	0	4	1	\spr\item\equip\nick\obj-neck17.spr	36	2	1	黄金装备	0	49999	10	0																						36	90	39	1									2	438	79	107	280		6				
御龙之天门束腰环	0	6	1	\spr\item\equip\sash\obj-sash18.spr	33	2	1	黄金装备	4	49999	10	0	30	160	160	31	80	80																36	85	32	135	39	1							2	309	182	311	416	156	6				
御龙之迅风护腕	0	8	1	\spr\item\equip\bangle\obj-bangle20.spr	34	1	2	黄金装备	3	49999	10	0	30	135	135	31	80	80																36	95	32	110	39	1							2	327	183	311	319	181	6				
御龙之绝命指环	0	3	0	\spr\item\equip\ring\obj-ring07.spr	37	1	1	黄金装备	1	49999	10	0																						36	80	39	1									129	130					6				
无间之倚天剑	0	0	0	\spr\item\equip\closeweapon\obj-sword24.spr	9	1	3	黄金装备	0	49999	10	0	28	46	46	29	86	86	167	0	0	31	99	99										36	99	32	110	39	4							2	43	48	71	113	157	7				
无间之清风缁衣	0	2	7	\spr\item\equip\armor\obj-fm-cloth03-2.spr	24	2	3	黄金装备	4	49999	10	0	30	720	720	31	90	90																36	90	32	260	39	4							2	306	193	317			7				
无间之拂云丝带	0	6	0	\spr\item\equip\sash\obj-sash10.spr	33	2	1	黄金装备	3	49999	10	0	30	160	160	31	80	80																36	85	32	135	39	4							418	309	196	307	6	425	7				
无间之琴韵护腕	0	8	0	\spr\item\equip\bangle\obj-bangle10.spr	35	1	2	黄金装备	1	49999	10	0	30	135	135	31	80	80																36	95	32	110	39	4							2	329	439	307	6	328	7				
无间之白玉般指	0	3	0	\spr\item\equip\ring\obj-ring01.spr	37	1	1	黄金装备	2	49999	10	0																						36	80	39	4									129	130					7				
无魇之摩尼冠	0	7	7	\spr\item\equip\cap\obj-fm-cap03-2.spr	28	2	2	黄金装备	2	49999	10	0	30	315	315	31	85	85																36	85	32	110	39	4							2	307	420	309	6	427	8				
无魇之紫襟袈裟	0	2	7	\spr\item\equip\armor\obj-fm-cloth03-2.spr	22	2	3	黄金装备	0	49999	10	0	30	630	630	31	90	90																36	90	32	135	39	4							2	306	6	317			8				
无魇之冰晶指环	0	3	0	\spr\item\equip\ring\obj-ring06.spr	37	1	1	黄金装备	4	49999	10	0	31	80	80																			36	80	39	4									129	130					8				
无魇之洗象玉扣	0	9	0	\spr\item\equip\waist\obj-waist10.spr	36	1	2	黄金装备	1	49999	10	0	31	60	60																			36	95	39	4									1	304	57	146	198	200	8				
无魇之红缁软禢鞋	0	5	3	\spr\item\equip\boots\obj-shoes19.spr	27	2	2	黄金装备	1	49999	10	0	30	140	140	31	80	80																36	99	32	110	39	4							2	320	199	88	8	330	8				
无尘之玉女素心冠	0	7	7	\spr\item\equip\cap\obj-fm-cap03-2.spr	28	2	2	黄金装备	3	49999	10	0	30	315	315	31	85	85																36	90	32	110	39	4							418	309	197	312	421	420	9				
无尘之清心向善珠	0	4	0	\spr\item\equip\nick\obj-neck10.spr	36	2	1	黄金装备	1	49999	10	0																						36	99	39	4									2	88	331	95	8	107	9				
无尘之慈悲玉般指	0	3	0	\spr\item\equip\ring\obj-ring01.spr	37	1	1	黄金装备	2	49999	10	0																						36	80	39	4									129	130					9				
无尘之佛心慈佑腰配	0	9	0	\spr\item\equip\waist\obj-waist09.spr	36	1	2	黄金装备	0	49999	10	0																						36	95	39	4									4	158	6	332			9				
无尘之佛光指环	0	3	0	\spr\item\equip\ring\obj-ring10.spr	37	1	1	黄金装备	1	49999	10	0	31	80	80																			36	85	39	4									2	419	6	203	417	115	9				
栖凰之凤仪刀	0	0	1	\spr\item\equip\closeweapon\obj-blade24.spr	10	1	4	黄金装备	0	49999	10	0	28	40	40	29	114	114	167	-20	-20	31	99	99										36	99	32	135	39	5							2	43	48	71	113	159	10				
栖凰之慧心轻纱衣	0	2	18	\spr\item\equip\armor\obj-fm-cloth14-1.spr	24	2	3	黄金装备	4	49999	10	0	30	720	720	31	90	90																36	90	32	260	39	5							2	306	207	317			10				
栖凰之风雪白云束带	0	6	0	\spr\item\equip\sash\obj-sash07.spr	32	2	1	黄金装备	3	49999	10	0	30	160	160	31	80	80																36	85	32	135	39	5							2	309	206	307	6	426	10				
栖凰之冰踪锦腕	0	8	0	\spr\item\equip\bangle\obj-bangle09.spr	35	1	2	黄金装备	1	49999	10	0	30	135	135	31	80	80																36	95	32	110	39	5							2	333	439	307	6	204	10				
栖凰之翠玉指环	0	3	0	\spr\item\equip\ring\obj-ring08.spr	37	1	1	黄金装备	2	49999	10	0																						36	80	39	5									129	130					10				
碧海之鸳鸯连环刀	0	0	5	\spr\item\equip\closeweapon\obj-adsd14.spr	14	2	3	黄金装备	2	49999	10	0	28	62	62	29	92	92	167	20	20	31	99	99										36	99	32	160	39	5							4	304	209	148	8	159	11				
碧海之环珠雨链	0	4	0	\spr\item\equip\nick\obj-neck09.spr	36	2	1	黄金装备	0	49999	10	0																						36	95	39	5									2	95	6	107	88	211	11				
碧海之红铃金丝带	0	6	0	\spr\item\equip\sash\obj-sash06.spr	33	2	1	黄金装备	4	49999	10	0	30	140	140	31	80	80																36	90	32	110	39	5							2	309	210	419	421	422	11				
碧海之红铃波	0	9	0	\spr\item\equip\waist\obj-waist08.spr	36	1	2	黄金装备	0	49999	10	0	31	60	60																			36	85	39	5									1	296	8	39	78	282	11				
碧海之纤细指环	0	3	0	\spr\item\equip\ring\obj-ring09.spr	37	1	1	黄金装备	1	49999	10	0																						36	80	39	5									129	130					11				
幽胧之金蛇发带	0	7	2	\spr\item\equip\cap\obj-ma-cap08-3.spr	28	2	2	黄金装备	1	49999	10	0	30	315	315	31	85	85																36	99	32	110	39	3							2	302	283	143	6	160	12				
幽胧之赤蝎秘装	0	2	16	\spr\item\equip\armor\obj-ma-cloth08-3.spr	22	2	3	黄金装备	2	49999	10	0	30	630	630	31	90	90																36	90	32	135	39	3							2	40	225	317	6	334	12				
幽胧之青蜈缠腰	0	6	1	\spr\item\equip\sash\obj-sash20.spr	32	2	1	黄金装备	0	49999	10	0	30	140	140	31	80	80																36	80	32	110	39	3							2	309	227	307	6	423	12				
幽胧之银蟾护手	0	8	1	\spr\item\equip\bangle\obj-bangle16.spr	34	1	2	黄金装备	4	49999	10	0	30	111	111	31	80	80																36	95	32	90	39	3							129	130					12				
幽胧之墨蛛软履	0	5	1	\spr\item\equip\boots\obj-shoes10.spr	26	2	2	黄金装备	1	49999	10	0	30	140	140	31	60	60																36	85	32	50	39	3							1	127	60	103	86	229	12				
冥幻之邪刹毒刃	0	0	1	\spr\item\equip\closeweapon\obj-blade24.spr	10	1	4	黄金装备	2	49999	10	0	28	40	40	29	114	114	167	-20	-20	31	99	99										36	99	32	135	39	3							46	69	113	73	41	75	13				
冥幻之幽蛊暗衣	0	2	16	\spr\item\equip\armor\obj-ma-cloth08-3.spr	22	2	3	黄金装备	0	49999	10	0	30	720	720	31	90	90																36	90	32	260	39	3							418	336	306	307	6	417	13				
冥幻之毒蝎指环	0	3	0	\spr\item\equip\ring\obj-ring08.spr	37	1	1	黄金装备	4	49999	10	0																						36	80	39	3									129	130					13				
冥幻之腐骨护腕	0	8	1	\spr\item\equip\bangle\obj-bangle17.spr	34	1	2	黄金装备	3	49999	10	0	30	135	135	31	80	80																36	95	32	110	39	3							2	309	232	307	335	425	13				
冥幻之双环蛇鞋	0	5	1	\spr\item\equip\boots\obj-shoes09.spr	26	2	2	黄金装备	1	49999	10	0	30	160	160	31	80	80																36	85	32	135	39	3							2	104	335	336	6	231	13				
咒缚之破甲头环	0	7	2	\spr\item\equip\cap\obj-ma-cap08-3.spr	28	2	2	黄金装备	4	49999	10	0	30	315	315	31	85	85																36	85	32	110	39	3							2	337	6	307	233	31	14				
咒缚之灭雷颈符	0	4	1	\spr\item\equip\nick\obj-neck17.spr	36	2	1	黄金装备	3	49999	10	0																						36	99	39	3									2	93	234	95	8	107	14				
咒缚之幽幻指环	0	3	0	\spr\item\equip\ring\obj-ring06.spr	37	1	1	黄金装备	1	49999	10	0																						36	80	39	3									129	130					14				
咒缚之穿心毒腕	0	8	1	\spr\item\equip\bangle\obj-bangle18.spr	34	1	2	黄金装备	2	49999	10	0	30	111	111	31	80	80																36	90	32	90	39	3							418	309	161	312	421	423	14				
咒缚之冰火蚀骨靴	0	5	0	\spr\item\equip\boots\obj-shoes05.spr	26	2	2	黄金装备	0	49999	10	0	30	140	140	31	80	80																36	95	32	110	39	3							2	104	236	27	6	235	14				
冰寒之弹指飞刀	0	1	1	\spr\item\equip\rangeweapon\obj-adart12.spr	15	1	1	黄金装备	0	49999	10	0	28	44	44	29	100	100	167	-20	-20	31	99	99										36	99	32	90	33	110	39	2					2	44	46	69	113	162	15				
冰寒之玄衣束甲	0	2	3	\spr\item\equip\armor\obj-ma-cloth11-3.spr	23	2	3	黄金装备	4	49999	10	0	30	720	720	31	90	90																36	95	32	110	33	165	39	2					418	338	306	307	6	215	15				
冰寒之心箭腰扣	0	6	0	\spr\item\equip\sash\obj-sash10.spr	32	2	1	黄金装备	3	49999	10	0	30	160	160	31	80	80																36	85	32	90	33	110	39	2					418	309	212	307	6	423	15				
冰寒之玄天冰火佩	0	9	1	\spr\item\equip\waist\obj-waist12.spr	36	1	2	黄金装备	1	49999	10	0																						36	80	39	2									129	130					15				
冰寒之月影靴	0	5	0	\spr\item\equip\boots\obj-shoes04.spr	26	2	2	黄金装备	2	49999	10	0	30	160	160	31	80	80																36	90	32	90	33	110	39	2					2	104	214	338	6	213	15				
天光之花雨漫天	0	1	2	\spr\item\equip\rangeweapon\obj-adart26.spr	17	2	2	黄金装备	0	49999	10	0	28	46	46	29	102	102	167	0	0	31	99	99										36	99	32	65	33	230	39	2					8	43	48	71	113	162	16				
天光之定心凝神符	0	4	1	\spr\item\equip\nick\obj-neck18.spr	36	2	1	黄金装备	4	49999	10	0																						36	95			39	2							2	317	212	107	8		16				
天光之森罗束腰	0	6	0	\spr\item\equip\sash\obj-sash09.spr	32	2	1	黄金装备	3	49999	10	0	30	111	111	31	80	80																36	90	32	90	33	110	39	2					2	309	217	307	6	425	16				
天光之风暴寒铁镯	0	8	1	\spr\item\equip\bangle\obj-bangle17.spr	34	1	2	黄金装备	1	49999	10	0	30	135	135	31	80	80																36	85	32	75	33	90	39	2					2	339	437	317	6	216	16				
天光之束天缚地环	0	3	0	\spr\item\equip\ring\obj-ring10.spr	37	1	1	黄金装备	2	49999	10	0																						36	80			39	2							129	130					16				
森荒之飞星夺魂	0	1	0	\spr\item\equip\rangeweapon\obj-adart04.spr	15	1	1	黄金装备	0	49999	10	0	28	42	42	29	98	98	167	0	0	31	99	99										36	99	32	90	33	110	39	2					4	43	48	71	113	162	17				
森荒之金钱连环甲	0	2	3	\spr\item\equip\armor\obj-ma-cloth11-3.spr	22	2	3	黄金装备	4	49999	10	0	30	720	720	31	90	90																36	95	32	110	33	165	39	2					4	306	212	317			17				
森荒之魂咬腰束	0	6	0	\spr\item\equip\sash\obj-sash08.spr	32	2	1	黄金装备	3	49999	10	0	30	160	160	31	80	80																36	85	32	90	33	110	39	2					418	309	219	307	6	423	17				
森荒之玄铁镶玉佩	0	9	1	\spr\item\equip\waist\obj-waist11.spr	34	1	2	黄金装备	1	49999	10	0																						36	80	39	2									129	130					17				
森荒之星陨飞履	0	5	1	\spr\item\equip\boots\obj-shoes10.spr	26	2	2	黄金装备	2	49999	10	0	30	160	160	31	80	80																36	90	32	90	33	110	39	2					418	340	320	307	6	214	17				
地魄之五行连环冠	0	7	3	\spr\item\equip\cap\obj-ma-cap12-3.spr	28	2	2	黄金装备	4	49999	10	0	30	315	315	31	85	85																36	85	32	110	39	2							418	341	437	307	6	224	18				
地魄之黑焰冲天链	0	4	1	\spr\item\equip\nick\obj-neck19.spr	36	2	1	黄金装备	3	49999	10	0																						36	95	39	2									1	222	221	95	8	107	18				
地魄之霹雳雷火戒	0	3	0	\spr\item\equip\ring\obj-ring09.spr	37	1	1	黄金装备	1	49999	10	0																						36	80	39	2									129	130					18				
地魄之扣心镯	0	8	1	\spr\item\equip\bangle\obj-bangle19.spr	34	1	2	黄金装备	2	49999	10	0	30	111	111	31	80	80																36	99	32	90	39	2							418	309	223	307	6	423	18				
地魄之地行千里靴	0	5	1	\spr\item\equip\boots\obj-shoes09.spr	26	2	2	黄金装备	0	49999	10	0	30	140	140	31	80	80																36	90	32	110	39	2							2	104	163	224	6		18				
同仇之飞龙头环	0	7	5	\spr\item\equip\cap\obj-ma-cap18-3.spr	28	2	2	黄金装备	3	49999	10	0	30	315	315	31	85	85																36	90	32	110	39	6							2	342	237	312	6		19				
同仇之降龙丐衣	0	2	5	\spr\item\equip\armor\obj-ma-cloth18-3.spr	22	2	3	黄金装备	4	49999	10	0	30	500	500	31	80	80																36	90	32	110	39	6							1	96	5	39	60	238	19				
同仇之潜龙腰带	0	6	0	\spr\item\equip\sash\obj-sash06.spr	32	2	1	黄金装备	2	49999	10	0	30	140	140	31	80	80																36	85	32	110	39	6							2	312	239	309	6	420	19				
同仇之亢龙护手	0	8	1	\spr\item\equip\bangle\obj-bangle16.spr	34	1	2	黄金装备	0	49999	10	0	30	111	111	31	80	80																36	99	32	90	39	6							2	304	240	151	8	164	19				
同仇之见龙扳指	0	3	0	\spr\item\equip\ring\obj-ring07.spr	37	1	1	黄金装备	4	49999	10	0																						36	80	39	6									129	130					19				
敌忾之绿玉杖	0	0	2	\spr\item\equip\closeweapon\obj-staff13.spr	11	1	4	黄金装备	2	49999	10	0	28	69	69	29	128	128	167	-10	-10	31	99	99										36	99	32	180	39	6							46	69	113	73	42	164	20				
敌忾之九袋丐衣	0	2	5	\spr\item\equip\armor\obj-ma-cloth18-3.spr	22	2	3	黄金装备	0	49999	10	0	30	720	720	31	90	90																36	90	32	260	39	6							2	306	242	312	6	289	20				
敌忾之缠莽腰带	0	6	0	\spr\item\equip\sash\obj-sash05.spr	33	2	1	黄金装备	4	49999	10	0	30	160	160	31	80	80																36	95	32	135	39	6							2	309	243	312	6	343	20				
敌忾之狗脊皮护腕	0	8	1	\spr\item\equip\bangle\obj-bangle17.spr	34	1	2	黄金装备	3	49999	10	0	30	140	140	31	80	80																36	85	32	110	39	6							2	423	244	312	6	420	20				
敌忾之草间石戒	0	3	0	\spr\item\equip\ring\obj-ring08.spr	37	1	1	黄金装备	1	49999	10	0																						36	80	39	6									129	130					20				
魔煞之鬼谷幽冥枪	0	0	3	\spr\item\equip\closeweapon\obj-spear04.spr	12	1	4	黄金装备	2	49999	10	0	28	18	18	29	158	158	167	30	30	31	99	99										36	99	32	165	33	165	39	7					46	69	51	73	43	165	21				
魔煞之残阳映血甲	0	2	16	\spr\item\equip\armor\obj-ma-cloth09-3.spr	23	2	3	黄金装备	0	49999	10	0	30	720	720	31	90	90																36	90	32	210	39	7							4	306	423	419	421	247	21				
魔煞之赤骥锁腰扣	0	6	1	\spr\item\equip\sash\obj-sash16.spr	33	2	1	黄金装备	4	49999	10	0	30	160	160	31	80	80																36	85	32	135	39	7							418	309	417	312	6	344	21				
魔煞之举火燎天腕	0	8	1	\spr\item\equip\bangle\obj-bangle20.spr	34	1	2	黄金装备	3	49999	10	0	30	135	135	31	80	80																36	95	32	110	39	7							4	344	248	85	6	246	21				
魔煞之云龙吐珠戒	0	3	0	\spr\item\equip\ring\obj-ring09.spr	37	1	1	黄金装备	1	49999	10	0																						36	80	39	7									129	130					21				
魔煌之金甲盔	0	7	2	\spr\item\equip\cap\obj-ma-cap09-3.spr	28	2	2	黄金装备	0	49999	10	0	30	315	315	31	85	85																36	90	32	110	39	7							2	346	257	312	6	166	22				
魔煌之按出虎项圈	0	4	1	\spr\item\equip\nick\obj-neck16.spr	36	2	1	黄金装备	4	49999	10	0	31	60	60																			36	95	39	7									1	60	62	95	87	107	22				
魔煌之溪谷束腰带	0	6	1	\spr\item\equip\sash\obj-sash18.spr	32	2	1	黄金装备	3	49999	10	0	30	140	140	31	80	80																36	85	32	110	39	7							2	309	254	312	6	420	22				
魔煌之血衣兽镯	0	8	1	\spr\item\equip\bangle\obj-bangle18.spr	34	1	2	黄金装备	1	49999	10	0	30	111	111	31	80	80																36	80	32	90	39	7							129	130					22				
魔煌之蹬踏靴	0	5	0	\spr\item\equip\boots\obj-shoes04.spr	26	2	2	黄金装备	2	49999	10	0	30	140	140	31	80	80																36	99	32	110	39	7							4	320	255	312	6	256	22				
魔嗜之烈焰冠冕	0	7	2	\spr\item\equip\cap\obj-ma-cap09-3.spr	28	2	2	黄金装备	3	49999	10	0	30	315	315	31	85	85																36	85	32	110	39	7							2	345	423	307	6	250	23				
魔嗜之厉魔噬心链	0	4	1	\spr\item\equip\nick\obj-neck16.spr	36	2	1	黄金装备	1	49999	10	0																						36	95	39	7									2	317	8	107			23				
魔嗜之业火幽冥戒	0	3	0	\spr\item\equip\ring\obj-ring03.spr	37	1	1	黄金装备	2	49999	10	0																						36	80	39	7									129	130					23				
魔嗜之血玉七杀佩	0	9	1	\spr\item\equip\waist\obj-waist13.spr	34	1	2	黄金装备	0	49999	10	0																						36	90	39	7									2	309	252	311	6	420	23				
魔嗜之山海飞鸿履	0	5	0	\spr\item\equip\boots\obj-shoes05.spr	26	2	2	黄金装备	4	49999	10	0	30	140	140	31	80	80																36	99	32	110	39	7							2	320	253	312	6	251	23				
凌岳之太极剑	0	0	0	\spr\item\equip\closeweapon\obj-sword22.spr	9	1	3	黄金装备	4	49999	10	0	28	46	46	29	86	86	167	0	0	31	99	99										36	90	32	80	39	8							2	152	6	311	423	167	24				
凌岳之无我道袍	0	2	15	\spr\item\equip\armor\obj-ma-cloth06-3.spr	24	2	3	黄金装备	3	49999	10	0	30	630	630	31	90	90																36	95	32	130	39	8							2	306	263	313	6	285	24				
凌岳之怒雷法戒	0	3	0	\spr\item\equip\ring\obj-ring09.spr	37	1	1	黄金装备	1	49999	10	0																						36	85	39	8									2	309	265	313	6	417	24				
凌岳之无极玄玉佩	0	9	1	\spr\item\equip\waist\obj-waist20.spr	36	1	2	黄金装备	2	49999	10	0																						36	99	39	8									2	347	266	313	8	264	24				
凌岳之天地玄黄戒	0	3	0	\spr\item\equip\ring\obj-ring10.spr	37	1	1	黄金装备	0	49999	10	0																						36	80	39	8									129	130					24				
及丰之真武剑	0	0	0	\spr\item\equip\closeweapon\obj-sword24.spr	9	1	3	黄金装备	2	49999	10	0	28	46	46	29	86	86	167	0	0	31	99	99										36	99	32	135	39	8							46	69	51	73	43	167	25				
及丰之三清符	0	4	1	\spr\item\equip\nick\obj-neck17.spr	36	2	1	黄金装备	0	49999	10	0	31	60	60																			36	95	39	8									2	84	62	95	89	107	25				
及丰之玄丝三段锦	0	6	0	\spr\item\equip\sash\obj-sash10.spr	32	2	1	黄金装备	4	49999	10	0	30	140	140	31	80	80																36	85	32	110	39	8							2	309	259	307	421	425	25				
及丰之翠玉玄黄佩	0	9	1	\spr\item\equip\waist\obj-waist20.spr	36	1	2	黄金装备	3	49999	10	0																						36	90	39	8									2	348	258	313	6	260	25				
及丰之青松法戒	0	3	0	\spr\item\equip\ring\obj-ring06.spr	37	1	1	黄金装备	1	49999	10	0																						36	80	39	8									129	130					25				
霜晶之千年寒铁	0	0	1	\spr\item\equip\closeweapon\obj-blade24.spr	10	1	4	黄金装备	2	49999	10	0	28	40	40	29	114	114	167	-20	-20	31	99	99										36	99	32	135	39	9							113	69	46	73	43	168	26				
霜晶之傲霜道袍	0	2	15	\spr\item\equip\armor\obj-ma-cloth05-3.spr	24	2	3	黄金装备	0	49999	10	0	30	720	720	31	90	90																36	95	32	260	39	9							4	306	267	317	6	278	26				
霜晶之清风缕带	0	6	0	\spr\item\equip\sash\obj-sash10.spr	33	2	1	黄金装备	4	49999	10	0	30	160	160	31	80	80																36	85	32	135	39	9							418	309	269	307	6	417	26				
霜晶之天清冰晶手	0	8	1	\spr\item\equip\bangle\obj-bangle20.spr	34	1	2	黄金装备	3	49999	10	0	30	140	140	31	80	80																36	90	32	110	39	9							2	349	270	313	6	268	26				
霜晶之风暴指环	0	3	0	\spr\item\equip\ring\obj-ring07.spr	37	1	1	黄金装备	1	49999	10	0																						36	80	39	9									129	130					26				
雷穹之寒松冰柏冠	0	7	1	\spr\item\equip\cap\obj-ma-cap05-2.spr	28	2	2	黄金装备	4	49999	10	0	30	315	315	31	85	85																36	95	32	110	39	9							418	304	152	313	6	272	27				
雷穹之天地护符	0	4	1	\spr\item\equip\nick\obj-neck18.spr	36	2	1	黄金装备	3	49999	10	0																						36	99	39	9									4	95	26	107	322	278	27				
雷穹之风雷青锦带	0	6	0	\spr\item\equip\sash\obj-sash09.spr	32	2	1	黄金装备	1	49999	10	0	30	140	140	31	80	80																36	90	32	110	39	9							418	309	274	424	6	417	27				
