talk_id	friend010	friend1019	friend1949	friend4984	friend8495	friend95100
11	下回打怪的时候注意，不要让我冒险。	晚上到河边就会听到青蛙在叫。	听到乌鸦叫了么，真是不吉利啊。	鸡爪有什么好吃的呢，真是不明白，我宁可吃鸡腿。	我的肚子饿，要吃一点水果来补充体力。	前天见了一个很丑的男人，弄得我到现在也吃不下饭。
12	如果你觉得我只是雇佣来的，那么我也没有什么必要把你当朋友。	我的眼睛进了沙子，不过用不着你来吹。	最近这些日子总是头疼，得喝点汤来补补。	不知道今年冬天会不会下大雪？	哥哥要努力练功啊，要不会被别人超过了。	其实不一定个子大，有蛮力，在战斗中就占上风。
13	我的心情不好，请你走远些。	今天不知道是不是黄道吉日。	我已经很节约了，我发现哥哥比我还节约。	哪天我们买些肉来自己在野外烧烤吧？	昨天晚上睡得正香，却让几只麻雀吵醒了。	黄金装备就是哥哥追求的梦想么？
14	我心情不好的时，不想说话。	不要走得这么快，等我一下啊。	我们的音乐是五声调式的，不知道外国是什么样的。	我爹特别喜欢瓷器，见到好瓷器我就为他买下来。	虽然我们行走江湖免不了和别人比试，但也没有必要向对方挑衅。	有些满脸带笑的人其实心怀鬼胎，要小心。
15	拜托，不要在女孩面前说粗鲁的话。	要懂得怜香惜玉，知道吗？	我喜欢西域的音乐，很优美的。	真是的，我怎么把我娘给我的耳环弄丢了呢！	不知道我去年种的桃树开花了没有？	真不明白为什么你们男人喜欢用武力解决问题！
16	拒绝暴力，维护和平。	不知道和哥哥在一起有没有光明的前途？	我现在比原来更努力练功了。	你看我这双绣花鞋漂亮不？	我又想买新衣服了。	如果哥哥心情不好的时候，就唱首歌来发泻一下吧。
17	看来你的仇人真不少。	哎呀，天气越来越热了，真有点受不了了。	这两天我都是吃半饱。	我觉得咱们的马该洗澡了。	你的包裹好乱啊，我回头帮你收拾一下。	为什么我有那么多衣服，还是觉得不够穿啊！
18	你别把不用的东西扔给我。	麻烦你不要老盯着人家看！	我挺怕打雷的，不要笑话我哦。	今天马儿好象很高兴啊，跑得很精神！	别看我是女孩子，我也是很有力气的。	哥哥，所有的杂活我全包了，不用你亲自动手。
19	我现在还没有做好准备和你一起共度难关。	我不喜欢别人和我开玩笑。	每到一个新地方我都要好好游玩一番。	哥哥的梦想是什么啊，可以说给我听么？	我会帮哥哥做一切力所能及的事。	如果实在打不过敌人，最后一招就是逃跑。
20	不要以为我理你就是对你有好感。	我不喜欢辣椒，沾辣椒的东西从来不吃的。	我希望在郊外买块田地，靠养鸡，鸭种菜生活。	小时候曾经梦想做皇帝的妃子，现在可不想这样了。	好想让腰身再细一点啊！	你没有去过皇宫吧，那个地方真是非常漂亮啊。
21	我说你是个男人，别老整天唠叨可以么？	我觉得你穿蓝色衣服还可以。	哥哥打算行走江湖到什么时候呢？	我最喜欢吃娘炒的醋熘白菜了。	做事有时也需要变通，不能太教条的。	似乎很少见你读书啊，平常也要注意读些书的哦。
22	看你的样子，有多久没洗澡了！	明明刚才看到前面有只鹿，一转眼就没了。	你喜欢什么样的女孩子？	北方人喜欢在菜里放酱油，其实这是不对的。	固执和执着是两回事，二者有本质区别。	嘻嘻，我为哥哥绣了一块手帕。
23	你的衣服很脏，还有汗臭味。	出门前我一定要向菩萨求平安的。	在战斗的时候别忘记看我的血量，及时为我加血。	酱油会破坏菜和肉的原味，能不放就不放。	早上可不能不吃早饭哦，哥哥。	附近有一个做酱油的作坊，所以有一股酱油味。
24	我不会感谢你，因为我只是你雇佣的。	江湖到底有什么吸引你的地方呢？	海带是一种很好的食物，常吃有利身体健康。	料酒是必须的调料，它可以去除肉的腥味。	虽然人生不过几十年，但是我们也要为它写上最美丽的篇章。	不要小瞧女子啊，没有女子哪里来你们男子呢？
25	除了钱，我对其他的东西不感兴趣。	天黑了，我们要小心些。	给我的加血药和你用的不一样，要注意哦！	蘑菇是非常好的食物，炖排骨和鸡，加一些会增加鲜味。	不论到什么时候，都不要忘记你的亲人和朋友。	哥哥要是去赌钱，我就不理你了。
26	国家兴亡和我没有什么关系吧。	给我唱首歌听听？	我以前以为橘子和桔子是一种水果，其实是不一样的。	我喜欢做饭，有机会也给哥哥做吧！	我想活到九十九，就是不知道老天给不给我这个机会。	哇，好漂亮的蝴蝶啊。
27	干多少活拿多少钱，我是不会额外给你做工的。	如果你觉得疲劳，可以喝一点参茶。	树上的小鸟叫得真欢！	谁家在炒花生米呢，真香啊！	敦煌是一个充满传奇色彩的地方。	为什么我生下来不是公主呢，这样我就不会为了衣食而奔波了。
28	即便你是男人也应该要注意下仪表。	你的袜子都破了，怎么还在穿啊。	我打算送我爹一套官窑的瓷器。	我自己手工做的背包，好看么？	吃饱了饭不能马上睡觉，会胃痛。	别忘记把你的武器磨一磨，时间长了会生锈。
29	别说我是冷漠的女人，对你我就这种态度了。	我说你怎么没有饭前洗手的好习惯呢？	今年不收礼，收礼只收窝窝头。	今天天气真不错，好凉爽啊！	我讨厌随便使用暴力的人。	我知道哥哥不会让我们女孩子家家面对危险的。
30	慢点走，想累死我么。	我们一般吃精米，但是为了身体健康也要吃一些粗粮。	屋子里如果潮湿有霉味，就用香熏一下。	附近有人在拉胡琴，真难听啊！	男人要有点风度的，一定要知道谦让女孩。	有没有搞错，带来的肉干全让我吃完了。
31	我感觉很不好，你让我太疲劳了。	晚上要是能吃到夜宵该多好。	长夜漫漫，只有我们两个在这郊野赶路。	我小时候娘经常给我讲故事听。	虽然大海很美丽，可是风浪大的时候要离它远一些。	我真是个聪明人啊，和别人打赌嬴了一袋银子，呵呵。
32	我们只是雇佣关系，别的什么都没有。	除了保护你，做你的助手，我可不做别的事。	哥哥还是少喝点酒为好，酒会误事。	最近哥哥的心情似乎不错呢，老是笑咪咪的。	我喜欢身手敏捷的人。	我家门前原来有一条河，很漂亮，可泛滥时却淹没了附近的村庄。
33	别以为你很帅，其实你只是个青蛙。	不知道你喜欢什么样的衣服？	如果我在河边洗澡，你要走得远远的，不能偷看。	哥哥是不是有了喜欢的人了？	我到现在还不知道哥哥最喜欢吃什么呢？	如果能和哥哥这样生活一辈子该多好啊！
34	你笑的时候比哭还难看。	我不喜欢看着你板着脸，笑一笑！	你应该做到好吃的让我先吃，好玩的让我先玩。	到底是哪个女孩能让哥哥这样动心呢？	我发现哥哥喜欢吃点心哦。	我们宋人的体魄不如金人，但是我们可以用更敏捷的身手来对付他们。
35	吃大蒜了吧，走开。	我想买一双好看的鞋子，可是太贵了。	现在的天气热得让人想跳到河里去洗澡了！	如果有一天，哥哥真的喜欢上一个女孩了，可不要忘记我啊！	我喜欢在太阳没有升起来的时候就开始练功。	上回有个小流氓买东西不排队，被我好好修理了一顿。
36	别让你的马靠近我。	不要靠我这么近，可以吗？	走路时要注意挺胸抬头，收腹。	我们能不能稍微休息一会，哥哥！	很明显，我们似乎忘记了什么事，可是我怎么也想不起来了。	我担心哥哥有了心上人就会不喜欢再和我一起了。
37	你有黄金装备又怎么样，我也不稀罕。	我今天的精神不错，是吧？	你看，蜗牛在树叶上爬呀爬，好可爱啊。	不要走得这么快么，我跟不上你了。	不死鸟是一种传说中的鸟，是我的守护神。	青龙，白虎，朱雀，玄武，四方神里哪个是你最喜欢的呢？
38	风水轮流转，不要太得意。	你学过八卦么，很有意思的。	我喜欢柳树和桃树，因为它们能辟邪。	秋天是我最喜欢的季节，可以吃到很多水果。	我其实不喜欢打打杀杀的，渴望过平静的生活。	你为什么不穿我给你做的鞋呢，真让我伤心。
39	我喜欢做什么就做，不需要你来干涉。	我见你老去茅厕，是不是肚子不舒服了。	夏天时要注意防暑降温，不要喝太凉的东西。	咦，我刚才似乎看到我姑妈了，又好象不是，呵呵。	今天心情不好，因为我读了一篇很伤心的诗。	连我表弟也成亲了，我的婚事还是没有着落。
40	我怀疑你这样的男人能有女人喜欢么？	我有些受不了北方的气候，尤其是冬天，太冷了！	这么大的太阳，把路边的花草全晒蔫了。	我最想保护的人就是哥哥你了。	为什么许仙要负了白娘子，真是不明白。	一到过七夕我就比较郁闷，人家一个个成双配对，只有我孤身一人。
41	不要以为别的女孩看你就是对你有好感。	刚才看到一只花猫带着好几只小猫散步呢。	如果你经常让我挂掉，我和你的关系可会越来越不好的。	有时候我们也应该试着和别人联手去对付敌人。	夜晚看着萤火虫飞向天空那景象真的很美哦！	哥哥，你看这个是什么？呵呵，我自己绣的香包。
42	说别人之前应该先检讨自己。	我这个人就是喜欢管闲事。	我知道哥哥是个细心，温柔的人。	面对强大的敌人，我们两个人是不够的，必须和别人联合起来。	今天晚上的月光很诡异。	我小时候最喜欢爬树了，不过好几回上去下不来。
43	你们男人总是以为自己很了不起吧。	真有意思，两只蝴蝶在嬉戏。	谁家晒咸鱼呢，真臭！	有好几次我和哥哥都徘徊在生死边缘呢。	我向往自由自在的生活，就像现在一样。	说不定何时我就会退隐江湖，那时最舍不下的就是哥哥了。
44	优秀的侠客是不会让他的助手冒险的。	包里还有个窝头，你吃么？	其实臭豆腐的味道还是不错的，就是吃了容易闹肚子。	你会点穴么，我就是怎么也学不会。	我需要一张舒服的床，好好睡上一觉。	什么是爱情呢，听到的故事里说的好美妙啊。
45	唉，就算我是你雇佣的，你也没有必要这样冷漠吧。	你知道我今年有多大么？	我看哥哥老吃馒头，你不用这么勤俭吧。	战斗时不能光凭借蛮力，还要运用智慧。	虽然闯江湖很辛苦，可是有哥哥在我就不觉得了。	我这个人就喜欢凑热闹，凡是人多的地方就喜欢往里面挤。
46	别老是整天忙着泡美女，偶尔也要练习下武功。	我认识一个老人，他会易容术。	我这有牛肉干，你要不要吃点？	世间的事全是相对的，没有绝对的好事，也没有绝对的坏事，所以要看开点。	我期待着真正和平的到来，那时我们都可以过幸福的生活了。	太好了，我们可以一起去寻找财宝了，哥哥准备好后，我随时可以出发哦。
47	没有本事，没有钱的男人是不会有女人喜欢的。	诸葛亮真的那么聪明吗？	我让一个商人坑了好些银子，他卖了我一个假古董。	呵呵，真好笑，哥哥也有皱眉头的时候啊。	我见过好大好大的瀑布，远远就能听到巨响。	武林联赛又开始了，哥哥也要报名参加吧。
48	请别说话，我正在思考。	看样子，你还识字啊！	如果见过路上有人掉了银子，千万别捡。	除了和我，哥哥还应该和其他人多交流。	无论遇到什么样的挫折，都不要放弃希望。	上月我们村的周大姐来向我要债了，刚存的一点银子又没有了。
49	这是个什么鬼地方啊。	我没有正经读过什么书。	人不能太贪财，会让人误入歧途。	其实哥哥的潜质不错，应该可以成为一代大侠。	最近哥哥是不是有什么心事啊？	我们也许会成为小说里的人物呢。
50	我想去逛街，买好看的衣服。	这个地方风景还不错啊！	没想到哥哥认识这么多字啊！	其实友情比爱情更重要！	昨天晚上我听见你打鼾了。	哥哥，妹子愿意陪你一起闯天涯，到时可不要嫌我拖累你啊！
