problemid	problemcontent	channelA	channelB	channelC
63	会逃跑的同伴类型有	勇猛型、卫主型	卫主型、流氓型	流氓型、懦弱型
64	同伴的资质可以提升吗	可以	目前不可以	不知道
65	相同资质的同伴升级时属性的提升相同吗	相同	不相同	可能相同
66	以下哪一个属性是没有资质的	生命	幸运	精力
67	亲密度就是反映____关系的数值	同伴与玩家	同伴与同伴	玩家与玩家
68	同伴的绝技的是	打怪的攻击技能	增强同伴自己的被动辅助技能	增强主人的主动辅助技能
69	同伴的绝技如何升级	学习技能书	加技能点	通过熟练度
70	随着同伴的成长，同伴会改变模样吗	不知道	不会	会
71	如果主人跑的太快，离同伴很远了，同伴会怎么办	迷路，走散	被同步到主人身边	被好心人送回来
72	同伴的低级武功技能会对高级武功技能加成吗	会	不会吧	不知道
73	同伴的最多可以学习多少本抗性技能书	10	15	20
74	同伴越级打怪，经验会不会有衰减	不知道	不会	会
75	35级以前，同伴在多少级地图打怪升级最快	15	25	35
76	对一个4级的技能用了一本8级的技能书，结果会怎样	升为5级	升为8级	不能使用
77	同伴的武功如何升级	用经验升级	靠技能熟练度	使用技能书
78	同伴的五行抗性技能如何升级	用经验升级	靠技能熟练度	使用技能书
79	同伴的出招栏里可以放些什么技能	被动技能	五行抗性技能	主动技能
80	遗忘技能按钮的作用是	遗忘附加技能的	是用来解散同伴的	是用来召回同伴的
81	在系统询问你“你确定要遗忘这个技能？”的时候你选“是”，这意味着	你要召回你的同伴	你永远的遗忘了这个技能	你使用了这个技能
82	当你遗忘了一个技能之后你可以再次学习它吗	可以	不可以	不一定
83	你有一项附加技能为6级，你使用了一本该技能的5级技能书，这时候会	你的技能降为5级	你的技能升为7级	系统提示你不能使用该技能书
84	当出招栏为空会怎么样	不会为空	同伴会随机使用武功	同伴变得不会攻击
85	五行抗性技能如何获得	在npc处学	使用技能书	通过任务获得
86	同伴可以学习附加技能的数量与什么有关	同伴的五行	同伴的等级	玩家的等级
87	同伴有几类技能	1	4	6
88	绝技的获得条件是	通过剧情任务	同伴技能全满	亲密度达到100
89	同伴附加技能如何升级	用经验升级	靠技能熟练度	使用技能书
90	在同伴的出招栏里有四个“技能A”和一个“技能B”，那该同伴在战斗中使用技能B的几率是多少	20%	40%	60%
91	仇杀、屠杀模式下，玩家或其同伴杀死了敌方玩家，按原有玩家pk规则长pk值；那么玩家或其同伴杀死了敌方玩家的同伴，长多少点pk值	1点	2点	不长
92	一个玩家最多能带几个同伴	2个	4个	5个
93	战斗模式下，玩家或其同伴杀死了敌方玩家，按原有玩家pk规则处理；那么玩家或其同伴杀死了敌方玩家的同伴，长多少点pk值	1点	不长	2点
94	召唤同伴操作可以连续进行吗	可以	不可以	不一定
95	两次召唤同伴的间隔时间为	半分钟	1分钟	2分钟
96	能学习附加技能的个数如何增加	去NPC处学习	随着同伴的等级增加而增加	通过技能书学习
97	用来切换同伴的按钮是快捷栏上从左数起的第几个	第1个	第4个	第9个
98	要切换同伴有几种操作方法	1种	2种	3种
99	同伴能使用金创药吗	能	不能	在同伴生命小于30%的时候可以
100	遗忘技能按钮是用来做什么用的	遗忘武功技能	遗忘绝技	遗忘附加技能
101	重庆话里‘烧皋 ’是什么意思	烧香拜佛	烧烤	乱来
102	重庆话里‘鲸丰河澈’是什么意思	把海鲜拿到淡水里养殖	大惊小怪	水涨船高
103	广东话以下三个词中不同意思的是	茅尼 	大乡里 	木嘴
104	广东话以下三个词中不同意思的是	钉佐 	瓜佐	跌佐
105	长沙话填空，下面这句话‘小栗子，不听话啰，敲你两____’。这个句子最后应该填入的词汇是什么	乙弓	丙弓	丁弓
106	长沙话填空，下面这句话'你国匝家伙，鬼舞____的，冒得哪个齿你咧。'	十六	十七	十八 
107	成都话问答：午睡的夜叉问老鱿鱼：“切哪个塌塌？”，午睡的夜叉是问老鱿鱼	切蛋糕吗	修理塌塌米吗	去哪里
108	成都话问答：男：问你讲件事。龅牙书下台了。 女：鬼扯！ 男：鬼扯我不扯。 问：从这段对话，我们可以知道什么？	有个鬼叫龅牙书	女的不相信世界上有鬼	男的说他说的是实话
109	天津话‘哟！介不崴泥了么。’问：这句话什么意思	掉入泥沟	感到恐惧	抱怨后悔
110	天津话‘你玩过这面儿么？’问：这句话什么意思？	你用过这种面粉么	你玩过游戏的这个关卡么	你这个人太不给面子了
111	台州话问题：女：快点！你哇在得装杠呣？男：我在接库。问：男的现在可能在做什么	接货物	穿裤子	照镜子
112	台州话问题：甲：你在得装杠呣?乙: 肚子突然疼了 问:“杠呣“是什么意思 	杠杆	甲询问乙的锄头放在哪里	做什么的意思
113	陕西话：甲：今儿个把额饿日塌咧！ 乙：走，咥泡馍岂！  问：他们打算下一步做什么？	喝汤	吃饭	找美女
114	陕西话：甲：额要洋芋茬茬？乙：搡眼地很，少吱哇，等你大回来拾掇你。问：乙答应了甲的请求了吗？ 	完全答应了	答应由其父亲解决	没有答应
115	我们一般说某人闯了什么祸会骂他“真没用！”那你知道南昌人怎么说吗	嘎萨糕	森不里鳖	瘟狗
116	“吃饭”在南昌话里怎么念	虾混	掐反	假福恩（福恩连在一起念）
117	武汉话里这句的空隙应该是讲什么：做题这慢，一喋都不____	耍拉	麻拉	刷快
118	武汉话里这句的空隙应该是讲什么：____带我升级撒！ 	哥哥	拐子	块子
