TaskID	TaskName	TaskInfo
15	ThËt Gi¶ T©n N­¬ng	Cã mét vŞ T©n Lang hå ®å khi nh×n thÊy 3 vŞ T©n N­¬ng Tö th× kh«ng thÓ nhËn ra ai lµ T©n N­¬ng cña m×nh, c¸c ng­¬i gióp anh ta chän mét ng­êi, nÕu chon ®óng th× cã thÓ trùc tiÕp qua ¶i h¬n n÷a cßn nhËn ®­îc phÇn th­ëng nho nhá ë trong KiÕm Gia Bİ B¶o. NÕu nh­ chän sai th× ph¶i ®¸nh b¹i T©n N­¬ng gi¶ th× míi qua ¶i ®­îc
16	C©u ®è cña LiÔu D­îc S­	Ngäc Long Y Tiªn LiÔu D­îc S­ sÏ ph¸t cho c¸c ng­¬i mçi ng­êi mét c©u ®è, mçi mét c©u ®è lÊy mét lo¹i d­îc liÖu, c¨n cø theo c©u ®è ®o¸n ra bİ Èn sau ®ã lÊy ®­îc d­îc liÖu, lÊy d­îc liÖu vµ c©u ®è giao cho LiÔu D­îc S­. Mçi ng­êi ®Òu ®o¸n ®óng mét lÇn th× cã thÓ qua ¶i, ngé nhì mµ ®o¸n sai th× cã thÓ ®o¸n tiÕp.
17	T­¬ng Sinh T­¬ng Kh¾c	Ngäc Long S¬n Trang cã mét cÆp Ho¹t B¶o rÊt gièng nhau, mét ng­êi gäi lµ T­¬ng Sinh Tö, mét ng­êi gäi lµ T­¬ng Kh¾c Tö. §îi mét lóc c¸c ng­¬i ph¶i ph©n biÖt vµ ®èi tho¹i víi hai ng­êi hä, hä sÏ nãi cho c¸c ng­¬i biÕt mét lo¹i ngò hµnh, cÇn chØ ®Şnh mét ng­êi c¨n cø theo ngò hµnh nµy ®Ó më §iªu T­îng t­¬ng øng. NÕu nh­ ®èi tho¹i víi T­¬ng Sinh Tö, nh­ vËy cÇn ph¶i më tÊt c¶ c¸c Diªu T­îng ngò hµnh ra. Tæng céng më chİnh x¸c 20 lÇn míi cã thÓ qua ¶i ®­îc
18	Mét Tr¨m C¸i Mµn ThÇu	§¸nh b¹i c¸c ®Ö tö cña Tr× Th¸i B¶o sÏ cã c¬ héi nhËn ®­îc Mµn ThÇu , thu thËp ®ñ 100 c¸i Mµn ThÇu ®­a cho Quı Ng¹c th× cã thÓ qua ¶i.
19	Ch©n U©n	Ch©n U©n lµ mét cao thñ thÇn bİ ë trong Ngäc Long S¬n Trang, «ng ta cã mét chiªu thøc lµm cho ®èi thñ rÊt khã chŞu ®ã lµ——cho¸ng 30 gi©y, chiªu thøc nµy sÏ kĞo dµi qu¸ tr×nh chiÕn ®Êu cña c¸c ng­¬i, c¸ch gi¶i quyÕt tèt nhÊt lµ sö dông Ninh ThÇn Phï ®Ó hãa gi¶i. Ninh ThÇn Phï ë ®©u mµ cã? Ta còng ch¶ biÕt nã ë ®©u. Cã ®iÒu lµ bÊt kÓ lµ gÆp khã kh¨n nh­ thÕ nµo, c¸c ng­¬i còng ph¶i ®¸nh b¹i Ch©n U©n th× míi qua ¶i ®­îc
20	Ho¾c Viªm Viªm	§¸nh b¹i Ho¾c Viªm Viªm th× cã thÓ qua ¶i.
21	S¸t Chi BÊt TËn	§¸nh b¹i Nam §Ö Tö th× cã thÓ qua ¶i, nÕu nh­ c¸c ng­¬i ®¸nh b¹i N÷ §Ö Tö, th× mçi lÇn ®¸nh b¹i mét N÷ §Ö Tö th× sÏ XuÊt hiÖn 2 ng­êi kh¸c.
22	Ngäc Long Cao Thñ	§¸nh b¹i 30 Ngäc Long Cao Thñ th× cã thÓ qua ¶i. Nªn nhí cµng ®¸nh ph¶i cµng nhanh.
23	Kiªn tr× chİnh lµ th¾ng lîi	NÕu nh­ trong vßng 5 phót ë trang gian phßng khñng bè ®ã mµ b¶o toµn tİnh m¹ng th× cã thÓ qua ¶i.
24	Ngäc Long ThÇn T¨ng	Ngäc Long ThÇn t¨ng trong truyÒn thuyÕt ®· xuÊt hiÖn! §¸nh b¹i h¾n vµ c¸c hé vÖ cña h¾n th× cã thÓ qua ¶i. Khi chiÕn ®¸u hoÆc c¸c ng­¬i muèn t×m hiÓu nh÷ng Trô xung quanh ®ã xem nã cã t¸c dông g×.
25	Tr× Th¸i B¶o	§¸nh b¹i Tr× Th¸i B¶o cã thÓ qua ¶i. Nh÷ng ng­êi kh«ng biÕt khinh c«ng th× rÊt dÔ dµng bŞ bá m¹ng t¹i ®©y.
26	V¨n Di	N÷ Tr­ëng L·o duy nhÊt cña Ngäc Long S¬n Trang, ®¸no b¹i c« ta th× c¸c ng­¬i míi qua ¶i ®­îc.
27	Lª KiÕn Hoµnh	Mét trong nh÷ng tr­ëng l·o cña Ngäc Long S¬n Trang, vâ nghÖ cao c­êng. §¸nh b¹i h¾n c¸c ng­¬i sÏ qua ¶i.
28	Tr­¬ng Nghi Phµm	§îi mét l¸t sÏ xuÊt hiÖn 3 Trô Tö, viÖc c¸c ng­¬i cÇn lµm hiÖn t¹i lµ më trô, cho ®Õn khi nµo c¸c ng­¬i nh×n thÊy Tr­¬ng Nghi Phµm mét trong nh÷ng tr­ëng l·o cña Ngäc Long S¬n Trang míi th«i. §¸nh b¹i Tr­¬ng Nghi Phµm th× sÏ qua ¶i
29	Ngäc Long §Ö Tö	5 gi©y sau tÊt c¶ mäi ng­êi ®Òu bŞ ®øng yªn trong vßng 5 gi©y, sau ®ã cø 10 gi©y sÏ bŞ ®øng yªn mét lÇn. ViÖc c¸c ng­¬i cÇn lµm lµ ph¶i ®¸nh b¹i 80 Ngäc Long §Ö Tö.
30	TrŞ th­¬ng cho T­¬ng Sinh Tö	T­¬ng Sinh Tö bŞ Vâ Sü Kim Quèc ®¸nh träng th­¬ng, mét trong nh÷ng ng­êi c¸c ng­¬i cÇn ph¶i gióp anh ta vËn céng trŞ th­¬ng, trong qu¸ tr×nh vËn c«ng nÕu nh­ bŞ ®øt ®o¹n th× cÇn ph¶i vËn c«ng l¹i ngay tõ ®Çu. Nh÷ng ng­êi cßn l¹i cÇn ph¶i b¶o vÖ vµ tiªu diÖt nh÷ng Vâ Sü Kim Quèc ®ang bao v©y. Sau khi vËn c«ng trŞ th­¬ng thµnh c«ng th× T­¬ng Sinh Tö sÏ truyÒn tèng c¸c ng­¬i qua ¶i.
31	Ph¸ O¶n Nhi	§õng cã coi th­êng Ph¸ O¶n Nhi tiÓu c« n­¬ng nµy, c¸c ng­¬i muèn ®¸nh b¹i c« ta qu¶ thùc kh«ng dÔ dµng, kh«ng biÕt c« ta häc ë ®©u ra chiªu thøc ph¶n ®ßn, sÏ lµm cho c¸c ng­¬i h¬i nhøc ®Çu ®Êy. BÊt kÓ nh­ thÕ nµo, c¸c ng­¬i cÇn ph¶i ®¸nh b¹i c« ta th× míi cã thÓ qua ¶i.
32	Sinh Tö T­¬ng Y	Nµy, hai vŞ Ngäc Long Tr­ëng L·o thanh mai tróc m· cïng mét lóc ®· xuÊt hiÖn! NÕu nh­ c¸c ng­¬i ®¸nh b¹i 1 trong hai ng­êi bän hä, l¹i kh«ng thÓ trong vßng 5 gi©y ®¸no b¹i ng­êi kia, th× ng­êi bŞ ®¸no b¹i kia sÏ hßi sinh l¹i, c¸c ng­¬i cÇn ph¶i nhanh chãng n¾m b¾t thêi gian ®Êy.
33	Më ch­a hÕt r­¬ng	§¸nh b¹i hÕt tÊt c¶ Cao Thñ Ngäc Long S¬n Trang më  r­¬ng ë chİnh gi÷a ra , sau khi më r­¬ng ra sÏ cã kÕt qu¶ nh­ thÕ nµo chø? Qua ¶i ­? sÏ xuÊt hiÖn nhiÒu qu©n ®Şch h¬n? sÏ xuÊt hiÖn thªm c¸i r­¬ng míi? Tãm l¹i c¸c ng­¬i cÇn ph¶i cã lßng kiªn nhÉn míi ®­îc.
34	TuÇn tù tõng b­íc	§îi mét l¸t sÏ xuÊt hiÖn 4 Trô Tö, cÇn ph¶i ®¸nh b¹i Ngäc Long §Ö Tö xung quanh míi cã thÓ më trô, chó ı c¸c trô cÇn ph¶i c¨n cø theo thø tù ®Ó më th× míi cã thÓ qua ¶i, nÕu nh­ c¸c ng­¬i më kh«ng ®óng tuÇn tù th× ph¶i ®¸nh b¹i L­u TuÊn mét trong nh÷ng Ngäc Long Tr­ëng L·o vâ nghÖ cao c­êng. ThËm chİ cßn ph¶i më trô theo thø tù n÷a, c¸c ng­¬i sÏ biÕt th«i mµ.
35	Ng­¬i d¸m më ra kh«ng	§îi mét l¸t sÏ xuÊt hiÖn 2 c¸i r­¬ng, c¸c ng­¬i cÇn ph¶i më mét trong hai c¸i ®ã. Sau khi më sÏ cã chuyÖn g×  x¶y ra? C¸c ng­¬i cø më ®i råi sÏ biÕt.
36	H·m TÜnh §¹i V­¬ng	§· tõng gÆp cao thñ c¹m bÉy bao giê ch­a?§­êng HiÒn TiÕn lµ mét cao thñ chuyªn vÒ c¹m bÉy mét trong nh÷ng Ngäc Long S¬n Trang Hé Ph¸p. C¸c ng­¬i ph¶i ®¸nh b¹i h¾n th× míi cã thÓ qua ¶i.
37	Hoµn Hoµn T­¬ng KhÊu	§¸nh b¹i Tr× Th¸i B¶o th× c¸c ng­¬i sÏ nhËn ®­îc ch×a khãa cña mét trô nµo ®ã, sau khi lÊy ch×a khãa më trô chØ ®Şnh Tr× Th¸i B¶o L¹i tiÕp tôc xuÊt hiÖn, tiÕp tôc ®¸nh b¹i h¾n sÏ nhËn ®­îc ch×a khãa cña mét trô kh¸c, cø nh­ vËy cho ®Õn khi c¸c ng­¬i më hÕt tÊt c¶ c¸c trô th× cã thÓ qua ¶i. NÕu nh­ c¸c ng­¬i më sai trô, nh­ vËy th× ng­êi më trô sÏ bŞ chÕt mét c¸ch rÊt lµ th¶m khèc, h¬n n÷a sÏ lµm kinh ®éng ®Õn Cæ TuyÖt S¸t vµ lµm h¾n thøc giÊc. CÇn ph¶i ®¸nh b¹i Cæ TuyÖt S¸t th× c¸c ng­¬i míi cã thÓ më trô tiÕp theo
38	Tø §¹i §Ö Tö	Tø §¹i §Ö Tö cña Ngäc Long S¬n Trang sÏ tû thİ víi c¸c ng­¬i ngay t¹i ¶i nµy. Nªn nhí lµ ®õng cã mµ xem th­êng hä, nh­ vËy c¸c ng­¬i sÏ chÕt thª th¶m. §Çu tiªn h·y më trô xem lµ sÏ tû thİ víi vŞ ®Ö tö nµo, chiÕn th¾ng vŞ ®Ö tö nµy h¾n sÏ nãi cho ng­¬i biÕt tªn ®Ö tö tiÕp theo lµ ai, cø nh­ vËy c¨n cø theo lêi chØ thŞ cña bän hä ®¸nh b¹i hÕt tÊt c¶ ®Ö tö th× cã thÓ qua ¶i. Nªn nhí c¸c ng­¬i ph¶i tu©n theo quy t¾c nµy
39	B¸ch Nh©n Tr¶m	§¸nh b¹i 100 ®Şch nh©n, th× c¸c ng­¬i cã thÓ qua ¶i, thùc ra ®©y lµ 'B¸ch Nh©n Tr¶m'.
40	Cµng nhanh cµng tèt	§¸nh nhanh th¾ng nhanh ®¸nh gôc tÊt c¶ c¸c trô th× cã thÓ qua ¶i, cø mét phót tr«i qua th× cã mét ng­êi trong sè c¸c ng­¬i bŞ träng th­¬ng, ®©y lµ n¬i huÊn luyÖn tèc ®é chiÕn ®Êu cña c¸c ng­¬i.
41	Cæ TuyÖt S¸t	§¸nh b¹i Cæ TuyÖt S¸t th× c¸c ng­¬i cã thÓ qua ¶i, nªn nhí lµ ®em theo nhiÒu ®¬n d­îc
42	§o¸n sè	Muèn qua ®­îc ¶i nµy cßn ph¶i xem vËn may cña c¸c ng­¬i, tõ 1 ®Õn 100 th× trong ®ã cã mét con sè may m¾n, vµ cßn cã mét con sè xui xÎo, chØ cÇn cã mét ng­êi trong sè c¸c ng­¬i ®o¸n tróng con sè may m¾n th× cã thÓ qua ¶i, nh­ng nÕu nh­ ®o¸n tróng con sè xui xÎo th× sÏ ra sao nhØ? §îi ®Õn lóc c¸c ng­¬i gÆp ph¶i con sè ®ã råi sÏ biÕt ngay th«i.
43	Cµng xa cµng tèt	§¸nh b¹i Cæ TuyÖt S¸t th× cã thÓ qua ¶i, nÕu nh­ c¸c ng­¬i thÊy h¾n ta ra tuyÖt chiªu, th× nªn nhí r»ng cÇn ph¶i tr¸nh xa ra, ch¹y cµng xa cµng tèt
44	Nguy hiÓm qu¸! Ch¹y nhanh!	§¸nh b¹i Môc Minh th× cã thÓ qua ¶i, trong qu¸ tr×nh chiÕn ®Êu khing c«ng cña c¸c ng­¬i sÏ rÊt h÷u dông.
45	Ch×a khãa ë ®©u	§¸nh b¹i nh÷ng trô kh«ng ngõng xuÊt hiÖn, cho ®Õn khi nµo nhËn ®­îc ch×a khãa míi th«i. Sö dông ch×a khãa më Bia §¸ ra th× cã thÓ qua ¶i.
46	§«ng Nam T©y B¾c	CÇn ph¶i thø tù më 4 trô §«ng Nam T©y B¾c th× míi cã thÓ qua ¶i, ch×a khãa cña trô n»m ë trªn ng­êi cña Ngäc Long §Ö Tö. Nªn nhí lµ ch×a khãa kh«ng thÓ giao dŞch ®­îc.
47	ChÕ t¹o ch×a khãa	NhËn ®­îc nguyªn liÖu chÕ t¹o ch×a khãa ë trªn ng­êi Ngäc Long §Ö Tö, cø 10 c¸i nguyªn liÖu th× cã thÓ ®Õn chç Thİnh Thİnh ®Ó chÕ t¹o mét c¸i ch×a khãa, cÇn ph¶i cã 10 c¸i ch×a khãa th× míi cã thÓ më ®­îc Bia §¸ ®Ó qua ¶i.
48	Tam Sinh Th¹ch	Cø mçi lÇn nhÊn vµo Bia §¸ th× sÏ xuÊt hiÖn mét ®¸m Ngäc Long §Ö Tö, ®¸nh b¹i bän ng­êi nµy sÏ cã c¬ héi nhËn ®­îc nguyªn liÖu cña Tam Sinh Th¹ch vµ C«ng Thøc Hîp Thµnh, c¨n cø vµo C«ng Thøc sö dông nguyªn liÖu chØ ®Şnh ®Õn chç Bia §¸ hîp thµnh Tam Sinh Th¹ch. nhÊn chuét vµo Tam Sinh Th¹ch cã thÓ triÖu håi ®­îc Tİnh Thİnh, ®¸nh b¹i h¾n th× cã thÓ qua ¶i.
49	Kh¶o nghiÖm cuèi cïng	Chóc mõng c¸c h¹ ®· ®Õn ®­îc n¬i th©m s©u nhÊt cña KiÕm Gia, ®îi mét l¸t c¸c ng­¬i sÏ gÆp ®­îc Trang Chñ Ngäc Long S¬n Trang!
