µÀ¾ßÃû³Æ	µÀ¾ßÆ·ÖÊ	µÀ¾ßID	µÀ¾ßÖÖÀà	¾ßÌåÀà±ð	ÏêÏ¸Àà±ð	°×½ðµÈ¼¶	µÈ¼¶	Ä§·¨ÊôÐÔID1	²ÎÊý1	Ä§·¨1ÆðÊ¼Öµ1	Ä§·¨1½áÊøÖµ1	Ä§·¨1¼ÛÖµ1	Ä§·¨1ÆðÊ¼Öµ2	Ä§·¨1½áÊøÖµ2	Ä§·¨1¼ÛÖµ2	 Ä§·¨1ÆðÊ¼Öµ3 	 Ä§·¨1½áÊøÖµ3 	Ä§·¨1¼ÛÖµ3	 Ä§·¨1ÆðÊ¼Öµ4 	 Ä§·¨1½áÊøÖµ4 	Ä§·¨1¼ÛÖµ4	 Ä§·¨1ÆðÊ¼Öµ5	 Ä§·¨1½áÊøÖµ5	Ä§·¨1¼ÛÖµ5	Ä§·¨ÊôÐÔID2	²ÎÊý2	Ä§·¨2ÆðÊ¼Öµ1	Ä§·¨2½áÊøÖµ1	Ä§·¨2¼ÛÖµ1	Ä§·¨2ÆðÊ¼Öµ2	Ä§·¨2½áÊøÖµ2	Ä§·¨2¼ÛÖµ2	 Ä§·¨2ÆðÊ¼Öµ3 	 Ä§·¨2½áÊøÖµ3 	Ä§·¨2¼ÛÖµ3	Ä§·¨2ÆðÊ¼Öµ4	Ä§·¨2½áÊøÖµ4	Ä§·¨2¼ÛÖµ4	 Ä§·¨2ÆðÊ¼Öµ5	 Ä§·¨2½áÊøÖµ5	Ä§·¨2¼ÛÖµ5	Ä§·¨ÊôÐÔID3	²ÎÊý3	Ä§·¨3ÆðÊ¼Öµ1	Ä§·¨3½áÊøÖµ1	Ä§·¨3¼ÛÖµ1	Ä§·¨3ÆðÊ¼Öµ2	Ä§·¨3½áÊøÖµ2	Ä§·¨3¼ÛÖµ2	Ä§·¨3ÆðÊ¼Öµ3	Ä§·¨3½áÊøÖµ3	Ä§·¨3¼ÛÖµ3	Ä§·¨3ÆðÊ¼Öµ4	Ä§·¨3½áÊøÖµ4	Ä§·¨3¼ÛÖµ4	 Ä§·¨3ÆðÊ¼Öµ5	 Ä§·¨3½áÊøÖµ5	Ä§·¨3¼ÛÖµ5	Ä§·¨ÊôÐÔID4	²ÎÊý4	Ä§·¨4ÆðÊ¼Öµ1	Ä§·¨4½áÊøÖµ1	Ä§·¨4¼ÛÖµ1	Ä§·¨4ÆðÊ¼Öµ2	Ä§·¨4½áÊøÖµ2	Ä§·¨4¼ÛÖµ2	Ä§·¨4ÆðÊ¼Öµ3	Ä§·¨4½áÊøÖµ3	Ä§·¨4¼ÛÖµ3	Ä§·¨4ÆðÊ¼Öµ4	Ä§·¨4½áÊøÖµ4	Ä§·¨4¼ÛÖµ4	 Ä§·¨4ÆðÊ¼Öµ5	 Ä§·¨4½áÊøÖµ5	Ä§·¨4¼ÛÖµ5	±£µ×	11
Ngù Long L­îng Ng©n B¶o ®ao	1	26	-1	-1	-1	-1	10	123	-1	80	93	0	94	106	112	107	119	225	120	120	449	-1	-1	-1	121	-1	30	39	0	40	49	112	50	50	337	-1	-1	-1	-1	-1	-1	126	-1	50	90	0	91	100	225	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1125
Ngù Long ChiÕn ThÇn Phi Qu¶i gi¸p	1	27	-1	-1	-1	-1	10	114	-1	16	17	0	18	19	8	20	21	17	22	23	25	24	24	42	139	40	1	1	0	2	2	17	3	3	33	-1	-1	-1	-1	-1	-1	102	-1	20	22	0	23	24	8	25	25	25	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	41667
Ngù Long Thiªn M«n Thóc Yªu hoµn	1	28	-1	-1	-1	-1	10	139	36	1	1	0	2	2	202	3	3	404	-1	-1	-1	-1	-1	-1	139	34	1	1	0	2	2	101	3	3	202	-1	-1	-1	-1	-1	-1	106	-1	40	43	0	44	46	101	47	49	202	50	50	404	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1125
Ngù Long TÊn Phong Ph¸t C¬	1	29	-1	-1	-1	-1	10	139	322	1	2	-75	3	3	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	102	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0
Ngù Long TuyÖt MÖnh ChØ hoµn	1	30	-1	-1	-1	-1	10	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0
V« Gian û Thiªn KiÕm	1	31	-1	-1	-1	-1	10	115	-1	20	24	0	25	29	177	30	34	354	35	39	531	40	40	884	139	252	1	1	0	2	2	354	3	3	707	-1	-1	-1	-1	-1	-1	121	-1	50	54	0	55	59	177	60	60	531	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1125
V« Gian Thanh Phong NhuyÔn KÞch	1	32	-1	-1	-1	-1	10	111	-1	54	59	-20	0	53	-33	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0
V« Gian PhÊt V©n Ti ®¸i	1	33	-1	-1	-1	-1	10	139	85	1	1	0	2	2	25	3	3	63	-1	-1	-1	-1	-1	-1	104	-1	25	26	0	27	28	13	29	29	25	30	30	50	-1	-1	-1	106	-1	30	39	0	40	49	13	50	50	38	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	7500
V« Gian CÇm VËn Hé UyÓn	1	34	-1	-1	-1	-1	10	139	328	1	1	0	2	2	317	3	3	792	-1	-1	-1	-1	-1	-1	139	385	1	1	0	2	2	317	3	3	633	-1	-1	-1	-1	-1	-1	104	-1	25	26	0	27	29	158	30	30	475	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	41667
V« Gian B¹ch Ngäc Bµn ChØ 	1	35	-1	-1	-1	-1	10	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	83333
V« Ma Ma Ni qu¸n	1	36	-1	-1	-1	-1	10	104	-1	25	26	0	27	28	123	29	29	247	30	30	493	-1	-1	-1	169	-1	80	99	0	100	119	123	120	120	370	-1	-1	-1	-1	-1	-1	106	-1	40	44	0	45	49	123	50	50	370	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	25000
V« YÓm Thu Thñy L­u Quang §¸i	1	37	-1	-1	-1	-1	10	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	169	-1	110	119	1	120	120	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	106	-1	0	49	-16	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0
V« Ma B¨ng Tinh ChØ Hoµn	1	38	-1	-1	-1	-1	10	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	18750
V« Ma TÈy T­îng Ngäc KhÊu 	1	39	-1	-1	-1	-1	10	116	-1	20	24	0	25	29	177	30	34	354	35	39	531	40	40	884	139	79	1	1	0	2	2	354	3	3	707	-1	-1	-1	-1	-1	-1	139	91	1	1	0	2	2	177	3	3	531	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1125
V« Ma Hång Truy NhuyÔn Th¸p hµi	1	40	-1	-1	-1	-1	10	139	380	1	1	0	2	2	150	3	3	375	-1	-1	-1	-1	-1	-1	139	82	1	1	0	2	2	150	3	3	300	-1	-1	-1	-1	-1	-1	111	-1	40	49	0	50	59	75	60	60	225	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1125
V« TrÇn Ngäc N÷ Tè T©m qu¸n	1	41	-1	-1	-1	-1	10	139	86	1	1	0	2	2	40	3	3	80	-1	-1	-1	-1	-1	-1	105	-1	25	27	0	28	29	20	30	30	60	-1	-1	-1	-1	-1	-1	106	-1	40	44	0	45	49	20	50	50	60	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	3750
V« TrÇn Thanh T©m H­íng ThiÖn Ch©u	1	42	-1	-1	-1	-1	10	114	-1	16	17	0	18	19	25	20	21	50	22	23	75	24	24	125	139	89	1	1	0	2	2	50	3	3	100	-1	-1	-1	-1	-1	-1	103	-1	25	26	0	27	29	25	30	30	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	417
V« TrÇn Tõ Bi Ngäc Ban ChØ 	1	43	-1	-1	-1	-1	10	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0
V« TrÇn TÞnh ¶nh L­u T«	1	44	-1	-1	-1	-1	10	103	-1	0	29	-14	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	139	282	2	2	-40	1	1	-100	-1	-1	-1	-1	-1	-1	-1	-1	-1	139	92	1	2	-14	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0
V« TrÇn PhËt Quang ChØ Hoµn	1	45	-1	-1	-1	-1	10	103	-1	33	34	0	35	35	24	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0
Tª Hoµng Phông Nghi ®ao	1	46	-1	-1	-1	-1	10	115	-1	20	24	0	25	29	56	30	34	113	35	39	169	40	40	282	139	114	1	1	0	2	2	113	3	3	226	-1	-1	-1	-1	-1	-1	121	-1	50	54	0	55	59	56	60	60	169	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	750
Thª Hoµng HuÖ T©m Tr­êng Sinh KhÊu	1	47	-1	-1	-1	-1	10	113	-1	45	49	-8	0	44	-100	-1	-1	-1	-1	-1	-1	-1	-1	-1	103	-1	0	29	-8	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	110	-1	0	49	-8	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0
Tª Hoµng Phong TuyÕt B¹ch V©n Thóc §¸i	1	48	-1	-1	-1	-1	10	139	99	1	1	0	2	2	40	3	3	80	-1	-1	-1	-1	-1	-1	104	-1	25	26	0	27	29	20	30	30	60	-1	-1	-1	-1	-1	-1	106	-1	40	44	0	45	49	20	50	50	60	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	3750
