Name	Quality	Genre	Detail	Particular	Level	GoodsFive	ItemRate	IsPublic
Tª Hoµng B¨ng Tung CÈm uyÓn	1	49	1	1	1	0	50	1
BÝch H¶i Uyªn ¦¬ng Liªn Hoµn ®ao	1	51	1	1	1	0	50	1
U Lung MÆc Thï NhuyÔn Lý 	1	60	1	1	1	0	50	1
U Lung Kim Xµ Ph¸t ®¸i	1	56	1	1	1	0	50	1
Minh ¶o Tµ S¸t §éc NhËn	1	61	1	1	1	0	50	1
Chó Ph­îc DiÖt L«i C¶nh Phï 	1	67	1	1	1	0	50	1
B¨ng Hµn §¬n ChØ Phi §ao	1	71	1	1	1	0	50	1
Thiªn Quang Hoa Vò M¹n Thiªn	1	76	1	1	1	0	50	1
S©m Hoang Phi Tinh §o¹t Hån	1	81	1	1	1	0	50	1
Thiªn Quang §Þnh T©m Ng­ng ThÇn Phï 	1	77	1	1	1	0	50	1
§Þa Ph¸ch H¾c DiÖm Xung Thiªn Liªn	1	87	1	1	1	0	50	1
§ång Cõu Gi¸ng Long C¸i Y	1	92	1	1	1	0	50	1
§ång Cõu Kh¸ng Long Hé UyÓn	1	94	1	1	1	0	50	1
§Þch Kh¸i Lôc Ngäc Tr­îng	1	96	1	1	1	0	50	1
Ma S¸t Quû Cèc U Minh Th­¬ng	1	101	1	1	1	0	50	1
Ma Hoµng Kim Gi¸p Kh«i	1	106	1	1	1	0	50	1
Ma Hoµng ¸n XuÊt Hæ H¹ng Khuyªn	1	107	1	1	1	0	50	1
Ma ThÞ s¬n  H¶i Phi Hång Lý 	1	115	1	1	1	0	50	1
L¨ng Nh¹c V« Cùc HuyÒn Ngäc Béi	1	119	1	1	1	0	50	1
CËp Phong Tam Thanh Phï 	1	122	1	1	1	0	50	1
CËp Phong Ch©n Vò KiÕm	1	121	1	1	1	0	50	1
S­¬ng Tinh Thiªn Niªn Hµn ThiÕt	1	126	1	1	1	0	50	1
L«i Khung Thiªn §Þa Hé phï 	1	132	1	1	1	0	50	1
Vô ¶o B¾c Minh §¹o qu¸n	1	136	1	1	1	0	50	1
HuyÒn Tinh Kho¸ng Th¹ch cÊp 4	0	6	1	147	4	0	120000	0
HuyÒn Tinh Kho¸ng Th¹ch cÊp 5	0	6	1	147	5	0	10000	0
HuyÒn Tinh Kho¸ng Th¹ch cÊp 6	0	6	1	147	6	0	3000	0
HuyÒn Tinh Kho¸ng Th¹ch cÊp 7	0	6	1	147	7	0	1000	0
HuyÒn Tinh Kho¸ng Th¹ch cÊp 8	0	6	1	147	8	0	300	0
Lam Thñy Tinh	0	4	238	1	1	1	30000	0
Lôc Thñy Tinh	0	4	240	1	1	1	30000	0
Tö Thñy Tinh	0	4	239	1	1	1	30000	0
