×°±¸Ãû³Æ	¿ÕÊÖÕ¾Á¢1	¿ÕÊÖÕ¾Á¢2	¿ÕÊÖÕ¾Á¢3	¶ÌÎäÆ÷Õ¾Á¢	³¤ÎäÆ÷Õ¾Á¢	Ë«ÎäÆ÷Õ¾Á¢	ÆÕÍ¨×ßÂ·	¿ÕÊÖ×ßÂ·	¶ÌÎäÆ÷×ßÂ·	³¤ÎäÆ÷×ßÂ·	Ë«ÎäÆ÷×ßÂ·	ÆÕÍ¨ÅÜ²½	¿ÕÊÖÅÜ²½	¶ÌÎäÆ÷ÅÜ²½	³¤ÎäÆ÷ÅÜ²½	Ë«ÎäÆ÷ÅÜ²½	¿ÕÊÖÊÜÉË	¶ÌÎäÆ÷ÊÜÉË	³¤ÎäÆ÷ÊÜÉË	Ë«ÎäÆ÷ÊÜÉË	¿ÕÊÖËÀÍö	¶ÌÎäÆ÷ËÀÍö	³¤ÎäÆ÷ËÀÍö	Ë«ÎäÆ÷ËÀÍö	¿ÕÊÖ¹¥»÷	¶ÌÎäÆ÷´Ì	¶ÌÎäÆ÷¿³	³¤ÎäÆ÷´Á	³¤ÎäÆ÷Åü	Ë«ÎäÆ÷»®	Ë«ÎäÆ÷ÔÒ	°µÆ÷Í¶ÖÀ	¿ÕÊÖÄ§·¨	¶ÌÎäÆ÷Ä§·¨	³¤ÎäÆ÷Ä§·¨	Ë«ÎäÆ÷Ä§·¨	´ò×ø	ÌøÔ¾	ÆïÂíÕ¾Á¢	ÆïÂí×ß¶¯	ÆïÂíÅÜ²½	ÆïÂí¹¥»÷Åü	ÆïÂí¹¥»÷´Ì	ÆïÂíÄ§·¨	ÆïÂíÊÜÉË	ÆïÂíËÀÍö	ÆïÂíÕ¾Á¢1	ÆïÂíÕ¾Á¢2
Lo¹i tr­êng c«n 1	80,8,1	64,8,1	64,8,1	96,8,1	64,8,1		96,8,1	96,8,1	96,8,1	96,8,1		96,8,1	96,8,1	96,8,1	96,8,1		64,8,1	64,8,1	48,8,1		104,8,1	120,8,1	80,8,1		96,8,1	104,8,1	104,8,1	104,8,1	96,8,1			96,8,1	96,8,1	80,8,1	96,8,1		96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
Lo¹i tr­êng c«n 2	80,8,1	64,8,1	64,8,1	96,8,1	64,8,1		96,8,1	96,8,1	96,8,1	96,8,1		96,8,1	96,8,1	96,8,1	96,8,1		64,8,1	64,8,1	48,8,1		104,8,1	120,8,1	80,8,1		96,8,1	104,8,1	104,8,1	104,8,1	96,8,1			96,8,1	96,8,1	80,8,1	96,8,1		96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
Lo¹i tr­êng c«n 3	80,8,1	64,8,1	64,8,1	96,8,1	64,8,1		96,8,1	96,8,1	96,8,1	96,8,1		96,8,1	96,8,1	96,8,1	96,8,1		64,8,1	64,8,1	48,8,1		104,8,1	120,8,1	80,8,1		96,8,1	104,8,1	104,8,1	104,8,1	96,8,1			96,8,1	96,8,1	80,8,1	96,8,1		96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
Lo¹i Song kiÕm 1	80,8,1	64,8,1	64,8,1	96,8,1	64,8,1	64,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	64,8,1	64,8,1	48,8,1	48,8,1	104,8,1	120,8,1	80,8,1	80,8,1	96,8,1	104,8,1	104,8,1	104,8,1	96,8,1	128,8,1	96,8,1	96,8,1	96,8,1	80,8,1	96,8,1	80,8,1	96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
Lo¹i Song kiÕm 2	80,8,1	64,8,1	64,8,1	96,8,1	64,8,1	64,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	64,8,1	64,8,1	48,8,1	48,8,1	104,8,1	120,8,1	80,8,1	80,8,1	96,8,1	104,8,1	104,8,1	104,8,1	96,8,1	128,8,1	96,8,1	96,8,1	96,8,1	80,8,1	96,8,1	80,8,1	96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
Lo¹i Song kiÕm 3	80,8,1	64,8,1	64,8,1	96,8,1	64,8,1	64,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	64,8,1	64,8,1	48,8,1	48,8,1	104,8,1	120,8,1	80,8,1	80,8,1	96,8,1	104,8,1	104,8,1	104,8,1	96,8,1	128,8,1	96,8,1	96,8,1	96,8,1	80,8,1	96,8,1	80,8,1	96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
Lo¹i Song chïy 1	80,8,1	64,8,1	64,8,1	96,8,1	64,8,1	64,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	64,8,1	64,8,1	48,8,1	48,8,1	104,8,1	120,8,1	80,8,1	80,8,1	96,8,1	104,8,1	104,8,1	104,8,1	96,8,1	128,8,1	96,8,1	96,8,1	96,8,1	80,8,1	96,8,1	80,8,1	96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
Lo¹i Song chïy 2	80,8,1	64,8,1	64,8,1	96,8,1	64,8,1	64,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	64,8,1	64,8,1	48,8,1	48,8,1	104,8,1	120,8,1	80,8,1	80,8,1	96,8,1	104,8,1	104,8,1	104,8,1	96,8,1	128,8,1	96,8,1	96,8,1	96,8,1	80,8,1	96,8,1	80,8,1	96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
Lo¹i Song chïy 3	80,8,1	64,8,1	64,8,1	96,8,1	64,8,1	64,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	64,8,1	64,8,1	48,8,1	48,8,1	104,8,1	120,8,1	80,8,1	80,8,1	96,8,1	104,8,1	104,8,1	104,8,1	96,8,1	128,8,1	96,8,1	96,8,1	96,8,1	80,8,1	96,8,1	80,8,1	96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
¸m khÝ 	80,8,1	64,8,1	64,8,1	96,8,1	64,8,1	64,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	64,8,1	64,8,1	48,8,1	48,8,1	104,8,1	120,8,1	80,8,1	80,8,1	96,8,1	104,8,1	104,8,1	104,8,1	96,8,1	128,8,1	96,8,1	96,8,1	96,8,1	80,8,1	96,8,1	80,8,1	96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
®¬n thñ kiÕm 4	80,8,1	64,8,1	64,8,1	96,8,1	64,8,1		96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	64,8,1	64,8,1	48,8,1		104,8,1	120,8,1	80,8,1		96,8,1	104,8,1	104,8,1	104,8,1	96,8,1		96,8,1	96,8,1	96,8,1	80,8,1	96,8,1		96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
®¬n thñ kiÕm 5	80,8,1	64,8,1	64,8,1	96,8,1	64,8,1		96,8,1	96,8,1	96,8,1	96,8,1		96,8,1	96,8,1	96,8,1	96,8,1		64,8,1	64,8,1	48,8,1		104,8,1	120,8,1	80,8,1		96,8,1	104,8,1	104,8,1	104,8,1	96,8,1			96,8,1	96,8,1	80,8,1	96,8,1		96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
®¬n thñ ®ao 4	80,8,1	64,8,1	64,8,1	96,8,1	64,8,1		96,8,1	96,8,1	96,8,1	96,8,1		96,8,1	96,8,1	96,8,1	96,8,1		64,8,1	64,8,1	48,8,1		104,8,1	120,8,1	80,8,1		96,8,1	104,8,1	104,8,1	104,8,1	96,8,1			96,8,1	96,8,1	80,8,1	96,8,1		96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
®¬n thñ ®ao 5	80,8,1	64,8,1	64,8,1	96,8,1	64,8,1		96,8,1	96,8,1	96,8,1	96,8,1		96,8,1	96,8,1	96,8,1	96,8,1		64,8,1	64,8,1	48,8,1		104,8,1	120,8,1	80,8,1		96,8,1	104,8,1	104,8,1	104,8,1	96,8,1			96,8,1	96,8,1	80,8,1	96,8,1		96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
Lo¹i tr­êng th­¬ng 4	80,8,1	64,8,1	64,8,1	96,8,1	64,8,1		96,8,1	96,8,1	96,8,1	96,8,1		96,8,1	96,8,1	96,8,1	96,8,1		64,8,1	64,8,1	48,8,1		104,8,1	120,8,1	80,8,1		96,8,1	104,8,1	104,8,1	104,8,1	96,8,1			96,8,1	96,8,1	80,8,1	96,8,1		96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
Lo¹i tr­êng th­¬ng 5	80,8,1	64,8,1	64,8,1	96,8,1	64,8,1		96,8,1	96,8,1	96,8,1	96,8,1		96,8,1	96,8,1	96,8,1	96,8,1		64,8,1	64,8,1	48,8,1		104,8,1	120,8,1	80,8,1		96,8,1	104,8,1	104,8,1	104,8,1	96,8,1			96,8,1	96,8,1	80,8,1	96,8,1		96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
Lo¹i tr­êng c«n 4	80,8,1	64,8,1	64,8,1	96,8,1	64,8,1		96,8,1	96,8,1	96,8,1	96,8,1		96,8,1	96,8,1	96,8,1	96,8,1		64,8,1	64,8,1	48,8,1		104,8,1	120,8,1	80,8,1		96,8,1	104,8,1	104,8,1	104,8,1	96,8,1			96,8,1	96,8,1	80,8,1	96,8,1		96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
Lo¹i tr­êng c«n 5	80,8,1	64,8,1	64,8,1	96,8,1	64,8,1		96,8,1	96,8,1	96,8,1	96,8,1		96,8,1	96,8,1	96,8,1	96,8,1		64,8,1	64,8,1	48,8,1		104,8,1	120,8,1	80,8,1		96,8,1	104,8,1	104,8,1	104,8,1	96,8,1			96,8,1	96,8,1	80,8,1	96,8,1		96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
Lo¹i Song kiÕm 4	80,8,1	64,8,1	64,8,1	96,8,1	64,8,1	64,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	64,8,1	64,8,1	48,8,1	48,8,1	104,8,1	120,8,1	80,8,1	80,8,1	96,8,1	104,8,1	104,8,1	104,8,1	96,8,1	128,8,1	96,8,1	96,8,1	96,8,1	80,8,1	96,8,1	80,8,1	96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
Lo¹i Song kiÕm 5	80,8,1	64,8,1	64,8,1	96,8,1	64,8,1	64,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	64,8,1	64,8,1	48,8,1	48,8,1	104,8,1	120,8,1	80,8,1	80,8,1	96,8,1	104,8,1	104,8,1	104,8,1	96,8,1	128,8,1	96,8,1	96,8,1	96,8,1	80,8,1	96,8,1	80,8,1	96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
Lo¹i Song chïy 4	80,8,1	64,8,1	64,8,1	96,8,1	64,8,1	64,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	64,8,1	64,8,1	48,8,1	48,8,1	104,8,1	120,8,1	80,8,1	80,8,1	96,8,1	104,8,1	104,8,1	104,8,1	96,8,1	128,8,1	96,8,1	96,8,1	96,8,1	80,8,1	96,8,1	80,8,1	96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
Lo¹i Song chïy 5	80,8,1	64,8,1	64,8,1	96,8,1	64,8,1	64,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	64,8,1	64,8,1	48,8,1	48,8,1	104,8,1	120,8,1	80,8,1	80,8,1	96,8,1	104,8,1	104,8,1	104,8,1	96,8,1	128,8,1	96,8,1	96,8,1	96,8,1	80,8,1	96,8,1	80,8,1	96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
<<Î´·­Òë>>	80,8,1	64,8,1	64,8,1	96,8,1	64,8,1		96,8,1	96,8,1	96,8,1	96,8,1		96,8,1	96,8,1	96,8,1	96,8,1		64,8,1	64,8,1	48,8,1		104,8,1	120,8,1	80,8,1		96,8,1	104,8,1	104,8,1	104,8,1	96,8,1			96,8,1	96,8,1	80,8,1	96,8,1		96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
<<Î´·­Òë>>	80,8,1	64,8,1	64,8,1	96,8,1	64,8,1		96,8,1	96,8,1	96,8,1	96,8,1		96,8,1	96,8,1	96,8,1	96,8,1		64,8,1	64,8,1	48,8,1		104,8,1	120,8,1	80,8,1		96,8,1	104,8,1	104,8,1	104,8,1	96,8,1			96,8,1	96,8,1	80,8,1	96,8,1		96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
<<Î´·­Òë>>	80,8,1	64,8,1	64,8,1	96,8,1	64,8,1		96,8,1	96,8,1	96,8,1	96,8,1		96,8,1	96,8,1	96,8,1	96,8,1		64,8,1	64,8,1	48,8,1		104,8,1	120,8,1	80,8,1		96,8,1	104,8,1	104,8,1	104,8,1	96,8,1			96,8,1	96,8,1	80,8,1	96,8,1		96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
<<Î´·­Òë>>	80,8,1	64,8,1	64,8,1	96,8,1	64,8,1		96,8,1	96,8,1	96,8,1	96,8,1		96,8,1	96,8,1	96,8,1	96,8,1		64,8,1	64,8,1	48,8,1		104,8,1	120,8,1	80,8,1		96,8,1	104,8,1	104,8,1	104,8,1	96,8,1			96,8,1	96,8,1	80,8,1	96,8,1		96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
<<Î´·­Òë>>	80,8,1	64,8,1	64,8,1	96,8,1	64,8,1		96,8,1	96,8,1	96,8,1	96,8,1		96,8,1	96,8,1	96,8,1	96,8,1		64,8,1	64,8,1	48,8,1		104,8,1	120,8,1	80,8,1		96,8,1	104,8,1	104,8,1	104,8,1	96,8,1			96,8,1	96,8,1	80,8,1	96,8,1		96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
<<Î´·­Òë>>	80,8,1	64,8,1	64,8,1	96,8,1	64,8,1		96,8,1	96,8,1	96,8,1	96,8,1		96,8,1	96,8,1	96,8,1	96,8,1		64,8,1	64,8,1	48,8,1		104,8,1	120,8,1	80,8,1		96,8,1	104,8,1	104,8,1	104,8,1	96,8,1			96,8,1	96,8,1	80,8,1	96,8,1		96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
<<Î´·­Òë>>	80,8,1	64,8,1	64,8,1	96,8,1	64,8,1		96,8,1	96,8,1	96,8,1	96,8,1		96,8,1	96,8,1	96,8,1	96,8,1		64,8,1	64,8,1	48,8,1		104,8,1	120,8,1	80,8,1		96,8,1	104,8,1	104,8,1	104,8,1	96,8,1			96,8,1	96,8,1	80,8,1	96,8,1		96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
<<Î´·­Òë>>	80,8,1	64,8,1	64,8,1	96,8,1	64,8,1		96,8,1	96,8,1	96,8,1	96,8,1		96,8,1	96,8,1	96,8,1	96,8,1		64,8,1	64,8,1	48,8,1		104,8,1	120,8,1	80,8,1		96,8,1	104,8,1	104,8,1	104,8,1	96,8,1			96,8,1	96,8,1	80,8,1	96,8,1		96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
<<Î´·­Òë>>	80,8,1	64,8,1	64,8,1	96,8,1	64,8,1		96,8,1	96,8,1	96,8,1	96,8,1		96,8,1	96,8,1	96,8,1	96,8,1		64,8,1	64,8,1	48,8,1		104,8,1	120,8,1	80,8,1		96,8,1	104,8,1	104,8,1	104,8,1	96,8,1			96,8,1	96,8,1	80,8,1	96,8,1		96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
<<Î´·­Òë>>	80,8,1	64,8,1	64,8,1	96,8,1	64,8,1		96,8,1	96,8,1	96,8,1	96,8,1		96,8,1	96,8,1	96,8,1	96,8,1		64,8,1	64,8,1	48,8,1		104,8,1	120,8,1	80,8,1		96,8,1	104,8,1	104,8,1	104,8,1	96,8,1			96,8,1	96,8,1	80,8,1	96,8,1		96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
<<Î´·­Òë>>	80,8,1	64,8,1	64,8,1	96,8,1	64,8,1	64,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	64,8,1	64,8,1	48,8,1	48,8,1	104,8,1	120,8,1	80,8,1	80,8,1	96,8,1	104,8,1	104,8,1	104,8,1	96,8,1	128,8,1	96,8,1	96,8,1	96,8,1	80,8,1	96,8,1	80,8,1	96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
<<Î´·­Òë>>	80,8,1	64,8,1	64,8,1	96,8,1	64,8,1	64,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	64,8,1	64,8,1	48,8,1	48,8,1	104,8,1	120,8,1	80,8,1	80,8,1	96,8,1	104,8,1	104,8,1	104,8,1	96,8,1	128,8,1	96,8,1	96,8,1	96,8,1	80,8,1	96,8,1	80,8,1	96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
