PlatinaItem	OldLevel	MaxDurability	Comment
121	5	800	[Thiªn Tø] CËp Phong Tam Thanh Phï
122	5	1000%	[Thiªn Tø] CËp Phong HuyÒn Ti Tam §o¹n CÈm
123	5	1000%	[Thiªn Tø] CËp Phong Thóy Ngäc HuyÒn Hoµng UyÓn
124	5	800	[Thiªn Tø] CËp Phong Thanh Tïng Ph¸p Giíi
125	5	1000%	[Thiªn Tø] S­¬ng Tinh Thiªn Niªn Hµn ThiÕt
126	5	800	[Thiªn Tø] S­¬ng Tinh L­u Tinh C¶n NguyÖt KhÊu
127	5	1000%	[Thiªn Tø] S­¬ng Tinh Thanh Phong Lò §¸i
128	5	1000%	[Thiªn Tø] S­¬ng Tinh Thiªn Thanh B¨ng Tinh Thñ
129	5	800	[Thiªn Tø] S­¬ng Tinh Phong B¹o ChØ Hoµn
130	5	1000%	[Thiªn Tø] L«i Khung Hµn Tïng B¨ng B¹ch Quan
131	5	800	[Thiªn Tø] L«i Khung Thiªn §Þa Hé Phï
132	5	1000%	[Thiªn Tø] L«i Khung Phong L«i Thanh CÈm §¸i
133	5	1000%	[Thiªn Tø] L«i Khung Linh Ngäc UÈn L«i
134	5	800	[Thiªn Tø] L«i Khung Cöu Thiªn DÉn L«i Giíi
135	5	1000%	[Thiªn Tø] Vô ¶o B¾c Minh §¹o Quan
136	5	800	[Thiªn Tø] Vô ¶o Th¸i Uyªn Ch©n Vò Liªn
137	5	800	[Thiªn Tø] Vô ¶o Thóc T©m ChØ Hoµn
138	5	800	[Thiªn Tø] Vô ¶o Thanh Anh HuyÒn Ngäc Béi
139	5	1000%	[Thiªn Tø] Vô ¶o Tïng Phong L«i ¶nh Ngoa
