Ãû³Æ	ItemGenre	DetailType	ParticularType	¶¯»­ÎÄ¼þÃû	¶ÔÓ¦Îï¼þË÷Òý	¿í¶È	¸ß¶È	ËµÃ÷ÎÄ×Ö	ÎåÐÐÊôÐÔ	¼Û¸ñ	µÈ¼¶	ÊÇ·ñµþ·Å	»ù´¡ÊôÐÔ1ÀàÐÍ	»ù´¡ÊôÐÔ1×îÐ¡Öµ	»ù´¡ÊôÐÔ1×î´óÖµ	»ù´¡ÊôÐÔ2ÀàÐÍ	»ù´¡ÊôÐÔ2×îÐ¡Öµ	»ù´¡ÊôÐÔ2×î´óÖµ	»ù´¡ÊôÐÔ3ÀàÐÍ	»ù´¡ÊôÐÔ3×îÐ¡Öµ	»ù´¡ÊôÐÔ3×î´óÖµ	»ù´¡ÊôÐÔ4ÀàÐÍ	»ù´¡ÊôÐÔ4×îÐ¡Öµ	»ù´¡ÊôÐÔ4×î´óÖµ	»ù´¡ÊôÐÔ5ÀàÐÍ	»ù´¡ÊôÐÔ5×îÐ¡Öµ	»ù´¡ÊôÐÔ5×î´óÖµ	»ù´¡ÊôÐÔ6ÀàÐÍ	»ù´¡ÊôÐÔ6×îÐ¡Öµ	»ù´¡ÊôÐÔ6×î´óÖµ	»ù´¡ÊôÐÔ7ÀàÐÍ	»ù´¡ÊôÐÔ7×îÐ¡Öµ	»ù´¡ÊôÐÔ7×î´óÖµ	ÐèÇóÊôÐÔ1ÀàÐÍ	ÐèÇóÊôÐÔ1ÊýÖµ	ÐèÇóÊôÐÔ2ÀàÐÍ	ÐèÇóÊôÐÔ2ÊýÖµ	ÐèÇóÊôÐÔ3ÀàÐÍ	ÐèÇóÊôÐÔ3ÊýÖµ	ÐèÇóÊôÐÔ4ÀàÐÍ	ÐèÇóÊôÐÔ4ÊýÖµ	ÐèÇóÊôÐÔ5ÀàÐÍ	ÐèÇóÊôÐÔ5ÊýÖµ	ÐèÇóÊôÐÔ6ÀàÐÍ	ÐèÇóÊôÐÔ6ÊýÖµ	Ä§·¨ÊôÐÔË÷Òý1(0¼¶)	Ä§·¨ÊôÐÔË÷Òý1(10¼¶)	Ä§·¨ÊôÐÔË÷Òý2(0¼¶)	Ä§·¨ÊôÐÔË÷Òý2(10¼¶)	Ä§·¨ÊôÐÔË÷Òý3(0¼¶)	Ä§·¨ÊôÐÔË÷Òý3(10¼¶)	Ä§·¨ÊôÐÔË÷Òý4(0¼¶)	Ä§·¨ÊôÐÔË÷Òý4(10¼¶)	Ä§·¨ÊôÐÔË÷Òý5(0¼¶)	Ä§·¨ÊôÐÔË÷Òý5(10¼¶)	Ä§·¨ÊôÐÔË÷Òý6(0¼¶)	Ä§·¨ÊôÐÔË÷Òý6(10¼¶)	ËùÔÚÌ××°	6¼¶¼¼ÄÜID	10¼¶¼¼ÄÜID	À©Õ¹Ì××°	À©Õ¹Ì××°ÐòºÅ	À©Õ¹Ì××°Òþ²ØÊôÐÔ1	À©Õ¹Ì××°Òþ²ØÊôÐÔ2
[Thiªn Tø] Tª Hoµng Phong TuyÕt B¹ch V©n Thóc §¸i	0	6	0	\spr\item\equip\sash\obj-sash07.spr	32	2	1	Trang bÞ B¹ch Kim	3	49999	10	0	30	160	160	31	80	80																36	120	32	135	39	5							2	616	309	639	206	206	307	637	6	609	773	689	10	788	820				
[Thiªn Tø] Tª Hoµng B¨ng Tung CÈm Uyªn	0	8	0	\spr\item\equip\bangle\obj-bangle09.spr	35	1	2	Trang bÞ B¹ch Kim	1	49999	10	0	30	135	135	31	80	80																36	120	32	110	39	5							2	616	333	333	439	682	307	637	6	609	204	204	10	846	864				
[Thiªn Tø] Tª Hoµng Thóy Ngäc ChØ Hoµn	0	3	0	\spr\item\equip\ring\obj-ring08.spr	37	1	1	Trang bÞ B¹ch Kim	2	49999	10	0																						36	120	39	5									129	129	130	130	747	739	748	740	743	751			10	879	878				
[Thiªn Tø] BÝch H¶i Uyªn ¦¬ng Liªn Hoµn §ao	0	0	5	\spr\item\equip\closeweapon\obj-adsd15.spr	14	2	3	Trang bÞ B¹ch Kim	2	49999	10	0	28	62	62	29	92	92	167	20	20	31	99	99										36	120	32	160	39	5							4	619	304	304	209	209	148	633	8	612	159	159	11	770	802				
[Thiªn Tø] BÝch H¶i Hoµn Ch©u Vò Liªn	0	7	13	\spr\item\equip\cap\obj-fm-cap19-1.spr	28	2	2	Trang bÞ B¹ch Kim	2	49999	10	0																						36	120	39	5									2	2	95	95	6	6	107	107	88	88	211	211	11						
[Thiªn Tø] BÝch H¶i Hång Linh Kim Ti §¸i	0	6	0	\spr\item\equip\sash\obj-sash06.spr	33	2	1	Trang bÞ B¹ch Kim	4	49999	10	0	30	140	140	31	80	80																36	120	32	110	39	5							2	616	309	639	210	210	419	638	421	8	422	422	11	789	821				
[Thiªn Tø] BÝch H¶i Hång L¨ng Ba	0	9	0	\spr\item\equip\waist\obj-waist08.spr	36	1	2	Trang bÞ B¹ch Kim	1	49999	10	0	31	60	60																			36	120	39	5									146	632	296	689	418	4	39	39	322	313	282	282	11	848	865				
[Thiªn Tø] BÝch H¶i Tiªm TÕ ChØ Hoµn	0	3	0	\spr\item\equip\ring\obj-ring09.spr	37	1	1	Trang bÞ B¹ch Kim	1	49999	10	0																						36	120	39	5									129	129	130	130	747	739	748	740	743	751			11	881	880				
[Thiªn Tø] U Lung Kim Xµ Ph¸t §¸i	0	7	2	\spr\item\equip\cap\obj-ma-cap08-3.spr	28	2	2	Trang bÞ B¹ch Kim	1	49999	10	0	30	315	315	31	85	85																36	120	32	110	39	3							2	616	302	302	283	283	143	692	6	609	160	160	12	846	861				
[Thiªn Tø] U Lung XÝch YÕt MËt Trang	0	2	16	\spr\item\equip\armor\obj-ma-cloth08-3.spr	22	2	3	Trang bÞ B¹ch Kim	2	49999	10	0	30	630	630	31	90	90																36	120	32	135	39	3							2	2	40	40	225	225	317	317	6	6	334	334	12						
[Thiªn Tø] U Lung Thanh Ng« TriÒn Yªu	0	6	1	\spr\item\equip\sash\obj-sash20.spr	32	2	1	Trang bÞ B¹ch Kim	0	49999	10	0	30	140	140	31	80	80																36	120	32	110	39	3							2	616	309	639	227	227	307	637	6	609	423	642	12	785	817				
[Thiªn Tø] U Lung Ng©n ThiÒm Hé UyÓn	0	8	1	\spr\item\equip\bangle\obj-bangle16.spr	34	1	2	Trang bÞ B¹ch Kim	4	49999	10	0	30	111	111	31	80	80																36	120	32	90	39	3							129	129	130	130	747	739	748	740	742	750			12	879	878				
[Thiªn Tø] U Lung MÆc Thï NhuyÔn Lý	0	5	1	\spr\item\equip\boots\obj-shoes10.spr	26	2	2	Trang bÞ B¹ch Kim	1	49999	10	0	30	140	140	31	60	60																36	120	32	50	39	3							1	615	127	589	60	622	103	587	614	613	229	229	12	771	803				
[Thiªn Tø] Minh ¶o Tµ S¸t §éc NhËn	0	0	1	\spr\item\equip\closeweapon\obj-blade25.spr	10	1	4	Trang bÞ B¹ch Kim	2	49999	10	0	28	40	40	29	114	114	167	-20	-20	31	99	99										36	120	32	135	39	3							46	592	69	71	113	595	73	73	41	772	75	626	13	766	767				
[Thiªn Tø] Minh ¶o U §éc ¸m Y	0	2	16	\spr\item\equip\armor\obj-ma-cloth08-3.spr	22	2	3	Trang bÞ B¹ch Kim	0	49999	10	0	30	720	720	31	90	90																36	120	32	260	39	3							418	694	336	336	306	695	307	637	6	609	417	31	13	848	860				
[Thiªn Tø] Minh ¶o §éc YÕt ChØ Hoµn	0	3	0	\spr\item\equip\ring\obj-ring08.spr	37	1	1	Trang bÞ B¹ch Kim	4	49999	10	0																						36	120	39	3									129	129	130	130	747	739	748	740	742	750			13	881	880				
[Thiªn Tø] Minh ¶o Hñ Cèt Hé UyÓn	0	8	1	\spr\item\equip\bangle\obj-bangle17.spr	34	1	2	Trang bÞ B¹ch Kim	3	49999	10	0	30	135	135	31	80	80																36	120	32	110	39	3							2	616	309	639	232	232	307	637	335	335	425	643	13	784	816				
[Thiªn Tø] Minh ¶o Song Hoµn Xµ Hµi	0	6	1	\spr\item\equip\sash\obj-sash18.spr	33	2	1	Trang bÞ B¹ch Kim	4	49999	10	0	30	160	160	31	80	80																36	120	32	135	39	3							2	2	104	104	335	335	336	336	6	6	231	231	13						
[Thiªn Tø] Chó Ph­îc Ph¸ Gi¸p §Çu Hoµn	0	7	2	\spr\item\equip\cap\obj-ma-cap08-3.spr	28	2	2	Trang bÞ B¹ch Kim	4	49999	10	0	30	315	315	31	85	85																36	120	32	110	39	3							2	2	337	337	6	6	307	307	233	233	31	31	14						
[Thiªn Tø] Chó Ph­îc DiÖt L«i C¶nh Phï	0	4	1	\spr\item\equip\nick\obj-neck17.spr	36	2	1	Trang bÞ B¹ch Kim	3	49999	10	0																						36	120	39	3									2	2	93	93	234	234	95	95	8	8	107	107	14						
[Thiªn Tø] Chó Ph­îc U ¶o ChØ Hoµn	0	3	0	\spr\item\equip\ring\obj-ring06.spr	37	1	1	Trang bÞ B¹ch Kim	1	49999	10	0																						36	120	39	3									129	129	130	130	747	739	748	740	742	750			14	883	882				
[Thiªn Tø] Chó Ph­îc Xuyªn T©m §éc UyÓn	0	8	1	\spr\item\equip\bangle\obj-bangle18.spr	34	1	2	Trang bÞ B¹ch Kim	2	49999	10	0	30	111	111	31	80	80																36	120	32	90	39	3							418	418	309	309	161	161	312	312	421	421	423	423	14						
[Thiªn Tø] Chó Ph­îc Thùc Cèt Ngäc Béi	0	9	1	\spr\item\equip\waist\obj-waist14.spr	36	1	2	Trang bÞ B¹ch Kim	3	49999	10	0	30	140	140	31	80	80																36	120	32	110	39	3							2	2	104	104	236	236	27	27	6	6	235	235	14						
[Thiªn Tø] B¨ng Hµn §¬n ChØ Phi §ao	0	1	1	\spr\item\equip\rangeweapon\obj-adart28.spr	15	1	1	Trang bÞ B¹ch Kim	0	49999	10	0	28	44	44	29	100	100	167	-20	-20	31	99	99										36	120	32	90	33	110	39	2					2	617	44	44	46	592	69	593	113	595	162	162	15	766	767				
[Thiªn Tø] B¨ng Hµn HuyÒn Y Thóc Gi¸p	0	2	3	\spr\item\equip\armor\obj-ma-cloth11-3.spr	23	2	3	Trang bÞ B¹ch Kim	4	49999	10	0	30	720	720	31	90	90																36	120	32	110	33	165	39	2					418	694	338	338	306	695	307	637	6	609	215	215	15	846	857				
[Thiªn Tø] B¨ng Hµn T©m TiÔn Yªu KhÊu	0	6	0	\spr\item\equip\sash\obj-sash10.spr	32	2	1	Trang bÞ B¹ch Kim	3	49999	10	0	30	160	160	31	80	80																36	120	32	90	33	110	39	2					418	4	309	639	212	212	307	637	6	609	423	642	15	781	813				
[Thiªn Tø] B¨ng Hµn HuyÒn Thiªn B¨ng Háa Béi	0	9	1	\spr\item\equip\waist\obj-waist12.spr	36	1	2	Trang bÞ B¹ch Kim	1	49999	10	0																						36	120	39	2									129	129	130	130	747	739	748	740	742	750			15	879	878				
