PlatinaItem	Level	SkillNo	ActiveRate	Rate1	MagicIdx1	Rate2	MagicIdx2	Rate3	MagicIdx3	Comment
7	7	1	100	0	4	100	5	0	6	[Thiªn Tø] Phôc Ma ¤ Kim NhuyÔn §iÒu
7	8	1	100	0	4	50	5	50	6	[Thiªn Tø] Phôc Ma ¤ Kim NhuyÔn §iÒu
7	9	1	100	0	4	0	5	100	6	[Thiªn Tø] Phôc Ma ¤ Kim NhuyÔn §iÒu
7	5	2	100	3	101	0	102	0	103	[Thiªn Tø] Phôc Ma ¤ Kim NhuyÔn §iÒu
7	6	2	100	95	101	5	102	0	103	[Thiªn Tø] Phôc Ma ¤ Kim NhuyÔn §iÒu
7	7	2	100	0	101	100	102	0	103	[Thiªn Tø] Phôc Ma ¤ Kim NhuyÔn §iÒu
7	8	2	100	0	101	100	102	0	103	[Thiªn Tø] Phôc Ma ¤ Kim NhuyÔn §iÒu
7	9	2	100	0	101	0	102	100	103	[Thiªn Tø] Phôc Ma ¤ Kim NhuyÔn §iÒu
8	5	1	100	95	4	5	5	0	6	[Thiªn Tø] Phôc Ma PhËt T©m NhuyÔn KhÊu
8	6	1	100	50	4	50	5	0	6	[Thiªn Tø] Phôc Ma PhËt T©m NhuyÔn KhÊu
8	7	1	100	0	4	100	5	0	6	[Thiªn Tø] Phôc Ma PhËt T©m NhuyÔn KhÊu
8	8	1	100	0	4	50	5	50	6	[Thiªn Tø] Phôc Ma PhËt T©m NhuyÔn KhÊu
8	9	1	100	0	4	0	5	100	6	[Thiªn Tø] Phôc Ma PhËt T©m NhuyÔn KhÊu
8	5	2	100	3	170	0	171	0	172	[Thiªn Tø] Phôc Ma PhËt T©m NhuyÔn KhÊu
8	6	2	100	95	170	5	171	0	172	[Thiªn Tø] Phôc Ma PhËt T©m NhuyÔn KhÊu
8	7	2	100	0	170	100	171	0	172	[Thiªn Tø] Phôc Ma PhËt T©m NhuyÔn KhÊu
8	8	2	100	0	170	100	171	0	172	[Thiªn Tø] Phôc Ma PhËt T©m NhuyÔn KhÊu
8	9	2	100	0	170	0	171	100	172	[Thiªn Tø] Phôc Ma PhËt T©m NhuyÔn KhÊu
9	5	1	100	95	1	5	2	0	3	[Thiªn Tø] Phôc Ma Phæ §é T¨ng Hµi
9	6	1	100	50	1	50	2	0	3	[Thiªn Tø] Phôc Ma Phæ §é T¨ng Hµi
9	7	1	100	0	1	100	2	0	3	[Thiªn Tø] Phôc Ma Phæ §é T¨ng Hµi
9	8	1	100	0	1	50	2	50	3	[Thiªn Tø] Phôc Ma Phæ §é T¨ng Hµi
9	9	1	100	0	1	0	2	100	3	[Thiªn Tø] Phôc Ma Phæ §é T¨ng Hµi
9	5	2	100	3	173	0	174	0	175	[Thiªn Tø] Phôc Ma Phæ §é T¨ng Hµi
9	6	2	100	95	173	5	174	0	175	[Thiªn Tø] Phôc Ma Phæ §é T¨ng Hµi
9	7	2	100	0	173	100	174	0	175	[Thiªn Tø] Phôc Ma Phæ §é T¨ng Hµi
9	8	2	100	0	173	100	174	0	175	[Thiªn Tø] Phôc Ma Phæ §é T¨ng Hµi
9	9	2	100	0	173	0	174	100	175	[Thiªn Tø] Phôc Ma Phæ §é T¨ng Hµi
10	5	1	100	95	23	5	24	0	25	[Thiªn Tø] Tø Kh«ng Gi¸ng Ma Giíi §ao
10	6	1	100	50	23	50	24	0	25	[Thiªn Tø] Tø Kh«ng Gi¸ng Ma Giíi §ao
10	7	1	100	0	23	100	24	0	25	[Thiªn Tø] Tø Kh«ng Gi¸ng Ma Giíi §ao
10	8	1	100	0	23	50	24	50	25	[Thiªn Tø] Tø Kh«ng Gi¸ng Ma Giíi §ao
10	9	1	100	0	23	0	24	100	25	[Thiªn Tø] Tø Kh«ng Gi¸ng Ma Giíi §ao
10	5	2	100	3	20	0	21	0	22	[Thiªn Tø] Tø Kh«ng Gi¸ng Ma Giíi §ao
10	6	2	100	95	20	5	21	0	22	[Thiªn Tø] Tø Kh«ng Gi¸ng Ma Giíi §ao
10	7	2	100	0	20	100	21	0	22	[Thiªn Tø] Tø Kh«ng Gi¸ng Ma Giíi §ao
10	8	2	100	0	20	100	21	0	22	[Thiªn Tø] Tø Kh«ng Gi¸ng Ma Giíi §ao
10	9	2	100	0	20	0	21	100	22	[Thiªn Tø] Tø Kh«ng Gi¸ng Ma Giíi §ao
11	5	1	100	95	4	5	5	0	6	[Thiªn Tø] Tø Kh«ng §¹t Ma T¨ng Hµi
11	6	1	100	50	4	50	5	0	6	[Thiªn Tø] Tø Kh«ng §¹t Ma T¨ng Hµi
11	7	1	100	0	4	100	5	0	6	[Thiªn Tø] Tø Kh«ng §¹t Ma T¨ng Hµi
11	8	1	100	0	4	50	5	50	6	[Thiªn Tø] Tø Kh«ng §¹t Ma T¨ng Hµi
11	9	1	100	0	4	0	5	100	6	[Thiªn Tø] Tø Kh«ng §¹t Ma T¨ng Hµi
11	5	2	100	3	104	0	105	0	106	[Thiªn Tø] Tø Kh«ng §¹t Ma T¨ng Hµi
11	6	2	100	95	104	5	105	0	106	[Thiªn Tø] Tø Kh«ng §¹t Ma T¨ng Hµi
11	7	2	100	0	104	100	105	0	106	[Thiªn Tø] Tø Kh«ng §¹t Ma T¨ng Hµi
11	8	2	100	0	104	100	105	0	106	[Thiªn Tø] Tø Kh«ng §¹t Ma T¨ng Hµi
11	9	2	100	0	104	0	105	100	106	[Thiªn Tø] Tø Kh«ng §¹t Ma T¨ng Hµi
12	5	1	100	95	4	5	5	0	6	[Thiªn Tø] Tø Kh«ng Hé Ph¸p Yªu §¸i
12	6	1	100	50	4	50	5	0	6	[Thiªn Tø] Tø Kh«ng Hé Ph¸p Yªu §¸i
12	7	1	100	0	4	100	5	0	6	[Thiªn Tø] Tø Kh«ng Hé Ph¸p Yªu §¸i
12	8	1	100	0	4	50	5	50	6	[Thiªn Tø] Tø Kh«ng Hé Ph¸p Yªu §¸i
12	9	1	100	0	4	0	5	100	6	[Thiªn Tø] Tø Kh«ng Hé Ph¸p Yªu §¸i
12	5	2	100	3	104	0	105	0	106	[Thiªn Tø] Tø Kh«ng Hé Ph¸p Yªu §¸i
12	6	2	100	95	104	5	105	0	106	[Thiªn Tø] Tø Kh«ng Hé Ph¸p Yªu §¸i
12	7	2	100	0	104	100	105	0	106	[Thiªn Tø] Tø Kh«ng Hé Ph¸p Yªu §¸i
12	8	2	100	0	104	100	105	0	106	[Thiªn Tø] Tø Kh«ng Hé Ph¸p Yªu §¸i
12	9	2	100	0	104	0	105	100	106	[Thiªn Tø] Tø Kh«ng Hé Ph¸p Yªu §¸i
13	5	1	100	95	4	5	5	0	6	[Thiªn Tø] Tø Kh«ng NhuyÔn B× Hé UyÓn
13	6	1	100	50	4	50	5	0	6	[Thiªn Tø] Tø Kh«ng NhuyÔn B× Hé UyÓn
13	7	1	100	0	4	100	5	0	6	[Thiªn Tø] Tø Kh«ng NhuyÔn B× Hé UyÓn
13	8	1	100	0	4	50	5	50	6	[Thiªn Tø] Tø Kh«ng NhuyÔn B× Hé UyÓn
13	9	1	100	0	4	0	5	100	6	[Thiªn Tø] Tø Kh«ng NhuyÔn B× Hé UyÓn
13	5	2	100	3	179	0	180	0	181	[Thiªn Tø] Tø Kh«ng NhuyÔn B× Hé UyÓn
13	6	2	100	95	179	5	180	0	181	[Thiªn Tø] Tø Kh«ng NhuyÔn B× Hé UyÓn
13	7	2	100	0	179	100	180	0	181	[Thiªn Tø] Tø Kh«ng NhuyÔn B× Hé UyÓn
13	8	2	100	0	179	100	180	0	181	[Thiªn Tø] Tø Kh«ng NhuyÔn B× Hé UyÓn
13	9	2	100	0	179	0	180	100	181	[Thiªn Tø] Tø Kh«ng NhuyÔn B× Hé UyÓn
14	5	1	100	95	4	5	5	0	6	[Thiªn Tø] Tø Kh«ng Giíi LuËt Ph¸p Giíi
14	6	1	100	50	4	50	5	0	6	[Thiªn Tø] Tø Kh«ng Giíi LuËt Ph¸p Giíi
14	7	1	100	0	4	100	5	0	6	[Thiªn Tø] Tø Kh«ng Giíi LuËt Ph¸p Giíi
14	8	1	100	0	4	50	5	50	6	[Thiªn Tø] Tø Kh«ng Giíi LuËt Ph¸p Giíi
14	9	1	100	0	4	0	5	100	6	[Thiªn Tø] Tø Kh«ng Giíi LuËt Ph¸p Giíi
14	5	2	100	3	176	0	177	0	178	[Thiªn Tø] Tø Kh«ng Giíi LuËt Ph¸p Giíi
14	6	2	100	95	176	5	177	0	178	[Thiªn Tø] Tø Kh«ng Giíi LuËt Ph¸p Giíi
14	7	2	100	0	176	100	177	0	178	[Thiªn Tø] Tø Kh«ng Giíi LuËt Ph¸p Giíi
14	8	2	100	0	176	100	177	0	178	[Thiªn Tø] Tø Kh«ng Giíi LuËt Ph¸p Giíi
14	9	2	100	0	176	0	177	100	178	[Thiªn Tø] Tø Kh«ng Giíi LuËt Ph¸p Giíi
15	5	1	100	95	23	5	24	0	25	[Thiªn Tø] H¸m Thiªn Kim Hoµn §¹i Nh·n ThÇn Chïy
15	6	1	100	50	23	50	24	0	25	[Thiªn Tø] H¸m Thiªn Kim Hoµn §¹i Nh·n ThÇn Chïy
15	7	1	100	0	23	100	24	0	25	[Thiªn Tø] H¸m Thiªn Kim Hoµn §¹i Nh·n ThÇn Chïy
15	8	1	100	0	23	50	24	50	25	[Thiªn Tø] H¸m Thiªn Kim Hoµn §¹i Nh·n ThÇn Chïy
15	9	1	100	0	23	0	24	100	25	[Thiªn Tø] H¸m Thiªn Kim Hoµn §¹i Nh·n ThÇn Chïy
15	5	2	100	3	20	0	21	0	22	[Thiªn Tø] H¸m Thiªn Kim Hoµn §¹i Nh·n ThÇn Chïy
15	6	2	100	95	20	5	21	0	22	[Thiªn Tø] H¸m Thiªn Kim Hoµn §¹i Nh·n ThÇn Chïy
15	7	2	100	0	20	100	21	0	22	[Thiªn Tø] H¸m Thiªn Kim Hoµn §¹i Nh·n ThÇn Chïy
15	8	2	100	0	20	100	21	0	22	[Thiªn Tø] H¸m Thiªn Kim Hoµn §¹i Nh·n ThÇn Chïy
15	9	2	100	0	20	0	21	100	22	[Thiªn Tø] H¸m Thiªn Kim Hoµn §¹i Nh·n ThÇn Chïy
16	5	1	100	95	4	5	5	0	6	[Thiªn Tø] H¸m Thiªn Vò ThÇn T­¬ng Kim Gi¸p
16	6	1	100	50	4	50	5	0	6	[Thiªn Tø] H¸m Thiªn Vò ThÇn T­¬ng Kim Gi¸p
16	7	1	100	0	4	100	5	0	6	[Thiªn Tø] H¸m Thiªn Vò ThÇn T­¬ng Kim Gi¸p
16	8	1	100	0	4	50	5	50	6	[Thiªn Tø] H¸m Thiªn Vò ThÇn T­¬ng Kim Gi¸p
16	9	1	100	0	4	0	5	100	6	[Thiªn Tø] H¸m Thiªn Vò ThÇn T­¬ng Kim Gi¸p
16	5	2	100	3	89	0	90	0	91	[Thiªn Tø] H¸m Thiªn Vò ThÇn T­¬ng Kim Gi¸p
16	6	2	100	95	89	5	90	0	91	[Thiªn Tø] H¸m Thiªn Vò ThÇn T­¬ng Kim Gi¸p
16	7	2	100	0	89	100	90	0	91	[Thiªn Tø] H¸m Thiªn Vò ThÇn T­¬ng Kim Gi¸p
16	8	2	100	0	89	100	90	0	91	[Thiªn Tø] H¸m Thiªn Vò ThÇn T­¬ng Kim Gi¸p
16	9	2	100	0	89	0	90	100	91	[Thiªn Tø] H¸m Thiªn Vò ThÇn T­¬ng Kim Gi¸p
17	5	1	100	95	4	5	5	0	6	[Thiªn Tø] H¸m Thiªn Uy Vò Thóc Yªu Hoµn
17	6	1	100	50	4	50	5	0	6	[Thiªn Tø] H¸m Thiªn Uy Vò Thóc Yªu Hoµn
17	7	1	100	0	4	100	5	0	6	[Thiªn Tø] H¸m Thiªn Uy Vò Thóc Yªu Hoµn
17	8	1	100	0	4	50	5	50	6	[Thiªn Tø] H¸m Thiªn Uy Vò Thóc Yªu Hoµn
17	9	1	100	0	4	0	5	100	6	[Thiªn Tø] H¸m Thiªn Uy Vò Thóc Yªu Hoµn
17	5	2	100	3	185	0	186	0	187	[Thiªn Tø] H¸m Thiªn Uy Vò Thóc Yªu Hoµn
17	6	2	100	95	185	5	186	0	187	[Thiªn Tø] H¸m Thiªn Uy Vò Thóc Yªu Hoµn
17	7	2	100	0	185	100	186	0	187	[Thiªn Tø] H¸m Thiªn Uy Vò Thóc Yªu Hoµn
17	8	2	100	0	185	100	186	0	187	[Thiªn Tø] H¸m Thiªn Uy Vò Thóc Yªu Hoµn
17	9	2	100	0	185	0	186	100	187	[Thiªn Tø] H¸m Thiªn Uy Vò Thóc Yªu Hoµn
18	5	1	100	95	4	5	5	0	6	[Thiªn Tø] H¸m Thiªn Hæ §Çu KhÈn Thóc UyÓn
18	6	1	100	50	4	50	5	0	6	[Thiªn Tø] H¸m Thiªn Hæ §Çu KhÈn Thóc UyÓn
18	7	1	100	0	4	100	5	0	6	[Thiªn Tø] H¸m Thiªn Hæ §Çu KhÈn Thóc UyÓn
18	8	1	100	0	4	50	5	50	6	[Thiªn Tø] H¸m Thiªn Hæ §Çu KhÈn Thóc UyÓn
18	9	1	100	0	4	0	5	100	6	[Thiªn Tø] H¸m Thiªn Hæ §Çu KhÈn Thóc UyÓn
18	5	2	100	3	129	0	130	0	131	[Thiªn Tø] H¸m Thiªn Hæ §Çu KhÈn Thóc UyÓn
18	6	2	100	95	129	5	130	0	131	[Thiªn Tø] H¸m Thiªn Hæ §Çu KhÈn Thóc UyÓn
18	7	2	100	0	129	100	130	0	131	[Thiªn Tø] H¸m Thiªn Hæ §Çu KhÈn Thóc UyÓn
18	8	2	100	0	129	100	130	0	131	[Thiªn Tø] H¸m Thiªn Hæ §Çu KhÈn Thóc UyÓn
18	9	2	100	0	129	0	130	100	131	[Thiªn Tø] H¸m Thiªn Hæ §Çu KhÈn Thóc UyÓn
19	5	1	100	95	4	5	5	0	6	[Thiªn Tø] H¸m Thiªn Thõa Long ChiÕn Ngoa
19	6	1	100	50	4	50	5	0	6	[Thiªn Tø] H¸m Thiªn Thõa Long ChiÕn Ngoa
19	7	1	100	0	4	100	5	0	6	[Thiªn Tø] H¸m Thiªn Thõa Long ChiÕn Ngoa
19	8	1	100	0	4	50	5	50	6	[Thiªn Tø] H¸m Thiªn Thõa Long ChiÕn Ngoa
19	9	1	100	0	4	0	5	100	6	[Thiªn Tø] H¸m Thiªn Thõa Long ChiÕn Ngoa
19	5	2	100	3	89	0	90	0	91	[Thiªn Tø] H¸m Thiªn Thõa Long ChiÕn Ngoa
19	6	2	100	95	89	5	90	0	91	[Thiªn Tø] H¸m Thiªn Thõa Long ChiÕn Ngoa
19	7	2	100	0	89	100	90	0	91	[Thiªn Tø] H¸m Thiªn Thõa Long ChiÕn Ngoa
19	8	2	100	0	89	100	90	0	91	[Thiªn Tø] H¸m Thiªn Thõa Long ChiÕn Ngoa
19	9	2	100	0	89	0	90	100	91	[Thiªn Tø] H¸m Thiªn Thõa Long ChiÕn Ngoa
20	5	1	100	95	23	5	24	0	25	[Thiªn Tø] KÕ NghiÖp B«n L«i Toµn Long Th­¬ng
20	6	1	100	50	23	50	24	0	25	[Thiªn Tø] KÕ NghiÖp B«n L«i Toµn Long Th­¬ng
20	7	1	100	0	23	100	24	0	25	[Thiªn Tø] KÕ NghiÖp B«n L«i Toµn Long Th­¬ng
20	8	1	100	0	23	50	24	50	25	[Thiªn Tø] KÕ NghiÖp B«n L«i Toµn Long Th­¬ng
20	9	1	100	0	23	0	24	100	25	[Thiªn Tø] KÕ NghiÖp B«n L«i Toµn Long Th­¬ng
20	5	2	100	3	20	0	21	0	22	[Thiªn Tø] KÕ NghiÖp B«n L«i Toµn Long Th­¬ng
20	6	2	100	95	20	5	21	0	22	[Thiªn Tø] KÕ NghiÖp B«n L«i Toµn Long Th­¬ng
20	7	2	100	0	20	100	21	0	22	[Thiªn Tø] KÕ NghiÖp B«n L«i Toµn Long Th­¬ng
20	8	2	100	0	20	100	21	0	22	[Thiªn Tø] KÕ NghiÖp B«n L«i Toµn Long Th­¬ng
20	9	2	100	0	20	0	21	100	22	[Thiªn Tø] KÕ NghiÖp B«n L«i Toµn Long Th­¬ng
21	5	1	100	95	4	5	5	0	6	[Thiªn Tø] KÕ NghiÖp HuyÒn Vò Hoµng Kim Kh¶i
21	6	1	100	50	4	50	5	0	6	[Thiªn Tø] KÕ NghiÖp HuyÒn Vò Hoµng Kim Kh¶i
21	7	1	100	0	4	100	5	0	6	[Thiªn Tø] KÕ NghiÖp HuyÒn Vò Hoµng Kim Kh¶i
21	8	1	100	0	4	50	5	50	6	[Thiªn Tø] KÕ NghiÖp HuyÒn Vò Hoµng Kim Kh¶i
21	9	1	100	0	4	0	5	100	6	[Thiªn Tø] KÕ NghiÖp HuyÒn Vò Hoµng Kim Kh¶i
21	5	2	100	3	92	0	93	0	94	[Thiªn Tø] KÕ NghiÖp HuyÒn Vò Hoµng Kim Kh¶i
21	6	2	100	95	92	5	93	0	94	[Thiªn Tø] KÕ NghiÖp HuyÒn Vò Hoµng Kim Kh¶i
21	7	2	100	0	92	100	93	0	94	[Thiªn Tø] KÕ NghiÖp HuyÒn Vò Hoµng Kim Kh¶i
21	8	2	100	0	92	100	93	0	94	[Thiªn Tø] KÕ NghiÖp HuyÒn Vò Hoµng Kim Kh¶i
21	9	2	100	0	92	0	93	100	94	[Thiªn Tø] KÕ NghiÖp HuyÒn Vò Hoµng Kim Kh¶i
22	5	1	100	95	1	5	2	0	3	[Thiªn Tø] KÕ NghiÖp B¹ch Hæ V« Song KhÊu
22	6	1	100	50	1	50	2	0	3	[Thiªn Tø] KÕ NghiÖp B¹ch Hæ V« Song KhÊu
22	7	1	100	0	1	100	2	0	3	[Thiªn Tø] KÕ NghiÖp B¹ch Hæ V« Song KhÊu
22	8	1	100	0	1	50	2	50	3	[Thiªn Tø] KÕ NghiÖp B¹ch Hæ V« Song KhÊu
22	9	1	100	0	1	0	2	100	3	[Thiªn Tø] KÕ NghiÖp B¹ch Hæ V« Song KhÊu
22	5	2	100	3	182	0	183	0	184	[Thiªn Tø] KÕ NghiÖp B¹ch Hæ V« Song KhÊu
22	6	2	100	95	182	5	183	0	184	[Thiªn Tø] KÕ NghiÖp B¹ch Hæ V« Song KhÊu
22	7	2	100	0	182	100	183	0	184	[Thiªn Tø] KÕ NghiÖp B¹ch Hæ V« Song KhÊu
22	8	2	100	0	182	100	183	0	184	[Thiªn Tø] KÕ NghiÖp B¹ch Hæ V« Song KhÊu
22	9	2	100	0	182	0	183	100	184	[Thiªn Tø] KÕ NghiÖp B¹ch Hæ V« Song KhÊu
23	5	1	100	95	4	5	5	0	6	[Thiªn Tø] KÕ  NghiÖp Háa V©n Kú L©n Thñ
23	6	1	100	50	4	50	5	0	6	[Thiªn Tø] KÕ  NghiÖp Háa V©n Kú L©n Thñ
23	7	1	100	0	4	100	5	0	6	[Thiªn Tø] KÕ  NghiÖp Háa V©n Kú L©n Thñ
23	8	1	100	0	4	50	5	50	6	[Thiªn Tø] KÕ  NghiÖp Háa V©n Kú L©n Thñ
23	9	1	100	0	4	0	5	100	6	[Thiªn Tø] KÕ  NghiÖp Háa V©n Kú L©n Thñ
23	5	2	100	3	188	0	189	0	190	[Thiªn Tø] KÕ  NghiÖp Háa V©n Kú L©n Thñ
23	6	2	100	95	188	5	189	0	190	[Thiªn Tø] KÕ  NghiÖp Háa V©n Kú L©n Thñ
23	7	2	100	0	188	100	189	0	190	[Thiªn Tø] KÕ  NghiÖp Háa V©n Kú L©n Thñ
23	8	2	100	0	188	100	189	0	190	[Thiªn Tø] KÕ  NghiÖp Háa V©n Kú L©n Thñ
23	9	2	100	0	188	0	189	100	190	[Thiªn Tø] KÕ  NghiÖp Háa V©n Kú L©n Thñ
