Name	ItemGenre	DetailType	ParticularType	Descript
§å phæ Hoµng Kim - Tø Kh«ng Gi¸ng Ma Giíi §ao	6	1	249	Nguyªn liÖu yªu cÇu: <color=yellow><enter>HuyÒn ThiÕt Kho¸ng: T¨ng møc sinh lùc cÊp 8 trë lªn<enter>MËt Ng©n Kho¸ng: T¨ng % STVL c«ng cÊp 8 trë lªn<enter>Chu Sa Kho¸ng: Hót néi lùc cÊp 6 trë lªn<enter>HuyÒn ThiÕt Kho¸ng: T¨ng tèc ®é ®¸nh ngo¹i c«ng cÊp 7 trë lªn<enter>Phï Dung Th¹ch: T¨ng ®iÓm STVL ngo¹i c«ng cÊp 7 trë lªn<enter>Vâ L©m MËt TŞch
§å phæ Hoµng Kim - Tø Kh«ng Tö Kim Cµ Sa	6	1	250	.
§å phæ Hoµng Kim - Tø Kh«ng Hé Ph¸p Yªu §¸i	6	1	251	VËt liªu yªu cÇu<color=yellow><enter>HuyÒn ThiÕt Kho¸ng: T¨ng sinh lùc cÊp trªn 8<enter>Khæng T­íc Th¹ch: thêi gian lµm chËm cÊp trªn 8<enter>Vâ L©m MËt TŞch<enter>Phï Dung Th¹ch: Kh¸ng háa cÊp trªn 7<enter>Phï Dung Th¹ch: Thêi gian tróng ®éc cÊp trªn 8<enter>ThiÕu L©m §ao Ph¸p quyÓn 3
§å phæ Hoµng Kim - Tø Kh«ng NhuyÔn B× Hé UyÓn	6	1	252	VËt liÖu yªu cÇu<color=yellow><enter>HuyÒn ThiÕt Kho¸ng: T¨ng sinh lùc, cÊp 8 trë lªn<enter>Khæng T­íc Th¹ch: Gi¶m cho¸ng, cÊp 7 trë lªn<enter>Vâ L©m MËt TŞch<enter>Phï Dung Th¹ch: T¨ng kh¸ng háa, cÊp 8 trë lªn<enter>Chu Sa Kho¸ng: T¨ng néi lùc, cÊp 7 trë lªn<enter>ThiÕu L©m §ao Ph¸p - quyÓn 3
§å phæ Hoµng Kim - Tø Kh«ng Giíi LuËt Ph¸p Giíi	6	1	253	.
§å phæ Hoµng Kim - H¸m Thiªn Kim Hoµn §¹i Nh·n ThÇn Chïy	6	1	254	Nguyªn liÖu yªu cÇu: <color=yellow><enter>Khæng T­íc Th¹ch: T¨ng ®iÓm ngo¹i c«ng cÊp 6 trë lªn<enter>MËt Ng©n Kho¸ng: T¨ng % STVL ngo¹i c«ng cÊp 8 trë lªn<enter>Chu Sa Kho¸ng: Hót sinh lùc cÊp 6 trë lªn<enter>Vâ L©m MËt TŞch<enter>Phï Dung Th¹ch: T¨ng ®iÓm STVL ngo¹i c«ng cÊp 8 trë lªn<enter>Chung Nhò Th¹ch: T¨ng b¨ng s¸t ngo¹i c«ng cÊp 7 trë lªn
§å phæ Hoµng Kim - H¸m Thiªn Vò ThÇn T­¬ng Kim Gi¸p	6	1	255	.
§å phæ Hoµng Kim - H¸m Thiªn Uy Vò Thóc Yªu §¸i	6	1	256	VËt liªu yªu cÇu<color=yellow><enter>HuyÒn ThiÕt Kho¸ng: T¨ng sinh lùc cÊp trªn 8<enter>Khæng T­íc Th¹ch: thêi gian lµm chËm cÊp trªn 8<enter>Vâ L©m MËt TŞch<enter>Phï Dung Th¹ch: Kh¸ng háa cÊp trªn 7<enter>Phï Dung Th¹ch: Thêi gian tróng ®éc cÊp trªn 8<enter>Thiªn V­¬ng Chïy Ph¸p quyÓn 1
§å phæ Hoµng Kim - H¸m Thiªn Hæ §Çu KhÈn Thóc UyÓn	6	1	257	.
§å phæ Hoµng Kim - H¸m Thiªn Thõa Long ChiÕn Ngoa	6	1	258	Nguyªn liÖu yªu cÇu: <color=yellow><enter>HuyÒn ThiÕt Kho¸ng: T¨ng møc sinh lùc cÊp 8 trë lªn<enter>Vâ L©m MËt TŞch<enter>HuyÒn ThiÕt Kho¸ng: T¨ng tèc ®é di chuyÓn cÊp 7 trë lªn<enter>Phï Dung Th¹ch: T¨ng  kh¸ng l«i cÊp 6 trë lªn<enter>Chung Nhò Th¹ch: T¨ng th©n ph¸p cÊp 5 trë lªn<enter>Thiªn V­¬ng Chïy Ph¸p
§å phæ Hoµng Kim - KÕ NghiÖp B«n L«i Toµn Long Th­¬ng	6	1	259	Nguyªn liÖu yªu cÇu: <color=yellow><enter>Khæng T­íc Th¹ch: T¨ng sinh khİ cÊp 5 trë lªn<enter>MËt Ng©n Kho¸ng: T¨ng % STVL ngo¹i c«ng cÊp 7 trë lªn<enter>Chu Sa Kho¸ng: Hót sinh lùc cÊp 5 trë lªn<enter>Vâ L©m MËt TŞch<enter>Phï Dung Th¹ch: T¨ng ®iÓm STVL ngo¹i c«ng cÊp 5 trë lªn<enter>Chung Nhò Th¹ch: T¨ng b¨ng s¸t ngo¹i c«ng cÊp 5 trë lªn.
§å phæ Hoµng Kim - KÕ NghiÖp HuyÒn Vò Hoµng Kim Kh¶i	6	1	260	CÇn cã:<color=yellow><enter>HuyÒn ThiÕt Kho¸ng (lo¹i t¨ng Sinh lùc)<enter>Thiªn V­¬ng Th­¬ng Ph¸p.QuyÓn 2 <enter>HuyÒn ThiÕt Kho¸ng cÊp 8 trë lªn (lo¹i gi¶m thêi gian bŞ th­¬ng )<enter>Phï Dung Th¹ch cÊp 8 trë lªn (lo¹i t¨ng Phßng thñ) 
§å phæ Hoµng Kim - KÕ NghiÖp B¹ch Hæ V« Song KhÊu	6	1	261	VËt liªu yªu cÇu<color=yellow><enter>HuyÒn ThiÕt Kho¸ng: T¨ng sinh lùc cÊp trªn 8<enter>Khæng T­íc Th¹ch: thêi gian lµm chËm cÊp trªn 8<enter>Vâ L©m MËt TŞch<enter>Phï Dung Th¹ch: Kh¸ng háa cÊp trªn 7<enter>Phï Dung Th¹ch: Thêi gian tróng ®éc cÊp trªn 8<enter>Thiªn V­¬ng Th­¬ng Ph¸p quyÓn 2
§å phæ Hoµng Kim - KÕ NghiÖp Háa V©n Kú L©n thñ 	6	1	262	.
§å phæ Hoµng Kim - KÕ NghiÖp Chu T­íc L¨ng V©n Ngoa	6	1	263	.
§å phæ Hoµng Kim - Ngù Long L­îng Ng©n B¶o §ao	6	1	264	Nguyªn liÖu yªu cÇu: <color=yellow><enter>Khæng T­íc Th¹ch: T¨ng sinh khİ cÊp 5 trë lªn<enter>MËt Ng©n Kho¸ng: T¨ng % STVL ngo¹i c«ng cÊp 7 trë lªn<enter>Chu Sa Kho¸ng: Hót sinh lùc cÊp 5 trë lªn<enter>Vâ L©m MËt TŞch<enter>Phï Dung Th¹ch: T¨ng ®iÓm STVL ngo¹i c«ng cÊp 5 trë lªn<enter>Chung Nhò Th¹ch: T¨ng b¨ng s¸t ngo¹i c«ng cÊp 5 trë lªn.
§å phæ hoµng kim - Ngù Long ChiÕn ThÇn Qua Trôy	6	1	265	VËt liÖu yªu cÇu<color=yellow><enter>HuyÒn ThiÕt Kho¸ng: T¨ng sinh lùc, cÊp 8 trë lªn<enter>Khæng T­íc Th¹ch: T¨ng kh¸ng l«i, cÊp 7 trë lªn<enter>Khæng T­íc Th¹ch: T¨ng kh¸ng háa, cÊp 8 trë lªn<enter>MËt Ng©n Kho¸ng: T¨ng kh¸ng tÊt c¶, cÊp 7 trë lªn<enter>Thiªn V­¬ng §ao Ph¸p - quyÓn 3
§å phæ Hoµng Kim - Ngù Long Thiªn M«n Thóc Yªu Hoµn	6	1	266	Nguyªn liÖu yªu cÇu: <color=yellow><enter>HuyÒn ThiÕt Kho¸ng: T¨ng møc sinh lùc cÊp 8 trë lªn<enter>Khæng T­íc Th¹ch: Gi¶m thêi gian lµm chËm cÊp 7 trë lªn<enter>Vâ L©m MËt TŞch<enter>Phï Dung Th¹ch: T¨ng kh¸ng háa cÊp 6 trë lªn<enter>Phï Dung Th¹ch: Gi¶m thêi gian tróng ®éc cÊp 5 trë lªn<enter>Thiªn V­¬ng §ao Ph¸p
§å phæ Hoµng Kim - Ngù Long TÊn Phong Hé UyÓn	6	1	267	.
§å phæ Hoµng Kim - Ngù Long TuyÖt MÖnh ChØ Hoµn	6	1	268	.
§å phæ Hoµng Kim - V« Gian û Thiªn KiÕm	6	1	269	Nguyªn liÖu yªu cÇu: <color=yellow><enter>HuyÒn ThiÕt Kho¸ng: T¨ng møc sinh lùc cÊp 8 trë lªn<enter>MËt Ng©n Kho¸ng: T¨ng % STVL ngo¹i c«ng cÊp 6 trë lªn<enter>Chu Sa Kho¸ng: Hót néi lùc cÊp 5 trë lªn<enter>HuyÒn ThiÕt Kho¸ng: T¨ng tèc ®é ®¸nh ngo¹i c«ng cÊp 6 trë lªn<enter>Phï Dung Th¹ch: T¨ng ®iÓm STVL ngo¹i c«ng cÊp 5 trë lªn<enter>Vâ L©m MËt TŞch
§å phæ Hoµng Kim - V« Gian Thanh Phong Truy Y	6	1	270	.
§å phæ Hoµng Kim - V« Gian PhÊt V©n Ti §¸i	6	1	271	VËt liªu yªu cÇu<color=yellow><enter>HuyÒn ThiÕt Kho¸ng: T¨ng sinh lùc cÊp trªn 8<enter>Khæng T­íc Th¹ch: thêi gian lµm chËm cÊp trªn 8<enter>Vâ L©m MËt TŞch<enter>Phï Dung Th¹ch: T¨ng phßng thñ vËt lı cÊp trªn 7<enter>Chu Sa Kho¸ng:  T¨ng néi lùc cÊp trªn 8<enter>DiÖt KiÕm MËt TŞch
§å phæ Hoµng Kim - V« Gian CÇm VËn Hé UyÓn	6	1	272	VËt liÖu yªu cÇu<color=yellow><enter>HuyÒn ThiÕt Kho¸ng: T¨ng sinh lùc, cÊp 8 trë lªn<enter>DiÖt KiÕm MËt TŞch<enter>Phï Dung Th¹ch: Gi¶m thêi gian lµm chËm, cÊp 8 trë lªn<enter>Phï Dung Th¹ch: T¨ng PTVL, cÊp 7 trë lªn<enter>Chu Sa Kho¸ng: T¨ng néi lùc, cÊp 7 trë lªn<enter>Vâ L©m MËt TŞch
§å phæ Hoµng Kim - V« Gian B¹ch Ngäc Bµn ChØ 	6	1	273	.
§å phæ Hoµng Kim - V« Ma Ma Ni Qu¸n	6	1	274	VËt liªu yªu cÇu<color=yellow><enter>HuyÒn ThiÕt Kho¸ng: T¨ng sinh lùc cÊp trªn 8<enter>Khæng T­íc Th¹ch: T¨ng phßng thñ vËt lı cÊp trªn 7<enter>Phï Dung Th¹ch: Thêi gian tróng ®éc cÊp trªn 8<enter>Phï Dung Th¹ch: Thêi gian lµm chËm cÊp trªn 8<enter>Chu Sa Kho¸ng: T¨ng néi lùc cÊp trªn 8<enter>Phï Dung Th¹ch: T¨ng b¨ng s¸t néi c«ng cÊp trªn 8
§å phæ Hoµng Kim - V« Ma Tö Kh©m Cµ Sa	6	1	275	.
§å phæ Hoµng Kim - V« Ma B¨ng Tinh ChØ Hoµn	6	1	276	.
§å phæ Hoµng Kim - V« Ma TÈy T­îng Ngäc KhÊu	6	1	277	Nguyªn liÖu yªu cÇu: <color=yellow><enter>HuyÒn ThiÕt Kho¸ng: T¨ng møc sinh lùc cÊp 8 trë lªn<enter>Phï Dung Th¹ch: T¨ng sinh khİ cÊp 6 trë lªn<enter>Nga My PhËt Quang Ch­ëng MËt TŞch<enter>Khæng T­íc Th¹ch: T¨ng b¨ng s¸t néi c«ng cÊp 6 trë lªn<enter>Vâ L©m MËt TŞch
§å phæ Hoµng Kim - M¶nh Hång Truy NhuyÔn Th¸p Hµi 	6	1	278	Nguyªn liÖu yªu cÇu: <color=yellow><enter>HuyÒn ThiÕt Kho¸ng: T¨ng møc sinh lùc cÊp 8 trë lªn<enter>Vâ L©m MËt TŞch<enter>Chu Sa Kho¸ng: T¨ng møc néi lùc cÊp 6 trë lªn<enter>HuyÒn ThiÕt Kho¸ng: T¨ng tèc ®é di chuyÓn cÊp 6 trë lªn<enter>Phï Dung Th¹ch: T¨ng kh¸ng l«i cÊp 5 trë lªn<enter>Nga My PhËt Quang Ch­ëng MËt Tİch
§å phæ Hoµng Kim - V« TrÇn Ngäc N÷ Tè T©m Qu¸n	6	1	279	VËt liªu yªu cÇu<color=yellow><enter>HuyÒn ThiÕt Kho¸ng: T¨ng sinh lùc cÊp trªn 8<enter>Khæng T­íc Th¹ch: thêi gian lµm chËm cÊp trªn 8<enter>Phï Dung Th¹ch: T¨ng kh¸ng b¨ng cÊp trªn 7<enter>Chu Sa Kho¸ng: T¨ng néi lùc cÊp trªn 8<enter>Phï Dung Th¹ch: Thêi gian tróng ®éc cÊp trªn 7<enter>Phæ §é MËt TŞch
§å phæ Hoµng Kim - V« TrÇn Thanh T©m H­íng ThiÖn Ch©u	6	1	280	Nguyªn liÖu yªu cÇu: <color=yellow><enter>HuyÒn ThiÕt Kho¸ng: T¨ng møc sinh lùc cÊp 7 trë lªn<enter>Phæ §é MËt TŞch<enter>Chu Sa Kho¸ng: T¨ng møc néi lùc cÊp 6 trë lªn<enter>Khæng T­íc Th¹ch: T¨ng kh¸ng l«i cÊp 5 trë lªn<enter>Phï Dunh Th¹ch: T¨ng PTVL cÊp 5 trë lªn<enter>Chu Sa Kho¸ng: T¨ng kh¸ng tÊt c¶ cÊp 4 trë lªn
§å phæ Hoµng Kim - V« TrÇn Tõ Bi Ngäc Bµn ChØ 	6	1	281	.
§å phæ Hoµng Kim - V« TrÇn PhËt T©m Tõ H÷u Yªu Phèi	6	1	282	.
§å phæ hoµng kim - V« TrÇn PhËt Quang ChØ Hoµn	6	1	283	VËt liÖu yªu cÇu<color=yellow><enter>HuyÒn ThiÕt Kho¸ng: T¨ng sinh lùc, cÊp 8 trë lªn<enter>Khæng T­íc Th¹ch: T¨ng kh¸ng l«i, cÊp 7 trë lªn<enter>MËt Ng©n Kho¸ng: T¨ng néi lùc, cÊp 8 trë lªn<enter>Nga Mi PhËt Quang Ch­ëng MËt TŞch<enter>Chung Nhò Th¹ch: Thêi gian gi¶m cho¸ng, cÊp 6 trë lªn<enter>Phï Dung Th¹ch: ChuyÓn hãa s¸t th­¬ng thµnh néi lùc (hÖ méc), cÊp 6 trë lªn
§å phæ Hoµng Kim - Tª Hoµng Phông Nghi §ao	6	1	284	Nguyªn liÖu yªu cÇu: <color=yellow><enter>HuyÒn ThiÕt Kho¸ng: T¨ng møc sinh lùc cÊp 7 trë lªn<enter>MËt Ng©n Kho¸ng: T¨ng % STVL ngo¹i c«ng cÊp 6 trë lªn<enter>Chu Sa Kho¸ng: Hót néi lùc cÊp 4 trë lªn<enter>HuyÒn ThiÕt Kho¸ng: T¨ng tèc ®é ®¸nh ngo¹i c«ng cÊp 6 trë lªn<enter>Phï Dung Th¹ch: T¨ng ®iÓm STVL ngo¹i c«ng cÊp 5 trë lªn<enter>Vâ L©m MËt TŞch
§å phæ Hoµng Kim - Tª Hoµng TuÖ T©m Khinh Sa Y	6	1	285	.
§å phæ Hoµng Kim - Tª Hoµng Phong TuyÕt B¹ch V©n Thóc §¸i	6	1	286	VËt liªu yªu cÇu<color=yellow><enter>HuyÒn ThiÕt Kho¸ng: T¨ng sinh lùc cÊp trªn 8<enter>Khæng T­íc Th¹ch: thêi gian lµm chËm cÊp trªn 8<enter>Vâ L©m MËt TŞch<enter>Phï Dung Th¹ch: T¨ng phßng thñ vËt lı cÊp trªn 7<enter>Chu Sa Kho¸ng: T¨ng néi lùc cÊp trªn 8<enter>Thóy Yªn §ao Ph¸p
§å phæ Hoµng Kim - Tª Hoµng B¨ng Tung CÈm UyÓn	6	1	287	VËt liÖu yªu cÇu<color=yellow><enter>HuyÒn ThiÕt Kho¸ng: T¨ng sinh lùc, cÊp 8 trë lªn<enter>Thóy Yªn §ao Ph¸p<enter>Phï Dung Th¹ch: Gi¶m thêi gian lµm chËm, cÊp 7 trë lªn<enter>Phï Dung Th¹ch: T¨ng PTVL, cÊp 7 trë lªn<enter>Chu Sa Kho¸ng: T¨ng néi lùc, cÊp 7 trë lªn<enter>Vâ L©m MËt TŞch
§å phæ Hoµng Kim - Tª Hoµng Thóy Ngäc ChØ Hoµn	6	1	288	.
§å phæ Hoµng Kim - Bİch H¶i Uyªn ¦¬ng Liªn Hoµn ®ao	6	1	289	Nguyªn liÖu yªu cÇu: <color=yellow><enter>HuyÒn ThiÕt Kho¸ng: T¨ng møc sinh lùc cÊp 6 trë lªn<enter>Thóy Yªn Song §ao<enter>Chu Sa Kho¸ng: T¨ng møc néi lùc cÊp 5 trë lªn<enter>Phï Dung Th¹ch: T¨ng b¨ng s¸t néi c«ng cÊp 4 trë lªn
§å phæ Hoµng Kim - Bİch H¶i Hoµn Ch©u Vò Liªn	6	1	290	.
§å phæ Hoµng Kim - Bİch H¶i Hång Linh Kim Ti §¸i	6	1	291	VËt liªu yªu cÇu<color=yellow><enter>HuyÒn ThiÕt Kho¸ng: T¨ng sinh lùc cÊp trªn 8<enter>Khæng T­íc Th¹ch: thêi gian lµm chËm cÊp trªn 8<enter>Vâ L©m MËt TŞch<enter>Phï Dung Th¹ch: T¨ng kh¸ng l«i cÊp trªn 7<enter>Chu Sa Kho¸ng: T¨ng néi lùc cÊp trªn 8<enter>Thóy Yªn Song §ao
§å phæ Hoµng Kim - Bİch H¶i Hång L¨ng Ba	6	1	292	CÇn cã:<color=yellow><enter>HuyÒn ThiÕt Kho¸ng cÊp 6 trë lªn (lo¹i t¨ng Sinh lùc)<enter>MËt Ng©n Kho¸ng cÊp 7 trë lªn (lo¹i t¨ng Néi lùc)<enter>Chung Nhò Th¹ch cÊp 6 trë lªn (lo¹i t¨ng phßng Háa)<enter>HuyÒn ThiÕt Kho¸ng cÊp 7 trë lªn (lo¹i t¨ng kh¶ n¨ng ph¶n ®ßn)<enter>MËt Ng©n Kho¸ng cÊp 7 trë lªn (lo¹i gi¶m thêi gian bŞ th­¬ng )<enter>Thóy Yªn Song §ao
§å phæ Hoµng Kim - Bİch H¶i Khiªn TÕ ChØ Hoµn	6	1	293	.
§å phæ Hoµng Kim - U Lung Kim Xµ Ph¸t §¸i	6	1	294	Nguyªn liÖu yªu cÇu: <color=yellow><enter>HuyÒn ThiÕt Kho¸ng: T¨ng møc sinh lùc cÊp 7 trë lªn<enter>Ngò §éc Ch­ëng Ph¸p<enter>Chu Sa Kho¸ng: T¨ng møc néi lùc cÊp 6 trë lªn<enter>Phï Dung Th¹ch: T¨ng ®éc s¸t néi c«ng cÊp 5 trë lªn
§å phæ Hoµng Kim - U Lung Xİch HiÕt MËt Trang	6	1	295	.
§å phæ Hoµng Kim - U Lung Thanh Ng« TriÒn Yªu	6	1	296	VËt liªu yªu cÇu<color=yellow><enter>HuyÒn ThiÕt Kho¸ng: T¨ng sinh lùc cÊp trªn 8<enter>Khæng T­íc Th¹ch: thêi gian lµm chËm cÊp trªn 8<enter>Phï Dung Th¹ch: T¨ng phßng thñ vËt lı cÊp trªn 7<enter>Chu Sa Kho¸ng: T¨ng néi lùc cÊp trªn 8<enter>Chung Nhò Th¹ch: Gi¶m cho¸ng cÊp trªn 8<enter>Ngò §éc Ch­ëng Ph¸p quyÓn 1
§å phæ Hoµng Kim - U Lung Ng©n ThiÒm Hé UyÓn	6	1	297	.
§å phæ Hoµng Kim - U Lung MÆc Thï NhuyÔn Lı 	6	1	298	Nguyªn liÖu yªu cÇu: <color=yellow><enter>HuyÒn ThiÕt Kho¸ng: T¨ng møc sinh lùc cÊp 7 trë lªn<enter>Phï Dung Th¹ch: T¨ng sinh khİ cÊp 5 trë lªn<enter>Phï Dung Th¹ch: T¨ng kh¸ng l«i cÊp 5 trë lªn<enter>MËt Ng©n Kho¸ng: T¨ng tèc ®é di chuyÓn cÊp 6 trë lªn<enter>Ngò §éc Ch­ëng Ph¸p
§å phæ Hoµng Kim - Minh ¶o Tµ S¸t §éc NhËn	6	1	299	Nguyªn liÖu yªu cÇu: <color=yellow><enter>Vâ L©m MËt TŞch<enter>MËt Ng©n Kho¸ng: Hót néi lùc cÊp 4 trë lªn<enter>Chu Sa Kho¸ng: T¨ng tèc ®é ®¸nh ngo¹i c«ng cÊp 6 trë lªn<enter>Khæng T­íc Th¹ch: T¨ng ®iÓm STVL ngo¹i c«ng cÊp 7 trë lªn<enter>Phï Dung Th¹ch: T¨ng b¨ng s¸t ngo¹i c«ng cÊp 5 trë lªn<enter>Ngò §éc §ao Ph¸p
§å phæ Hoµng Kim - Minh ¶o U Cæ ¸m Y	6	1	300	VËt liÖu yªu cÇu<color=yellow><enter>HuyÒn ThiÕt Kho¸ng: T¨ng sinh lùc, cÊp 8 trë lªn<enter>Ngò §éc §ao Ph¸p - quyÓn 2<enter>MËt Ng©n Kho¸ng: Thêi gian phôc håi, cÊp 7 trë lªn<enter>Phï Dung Th¹ch: T¨ng PTVL, cÊp 6 trë lªn<enter>Chu Sa Kho¸ng: T¨ng néi lùc, cÊp 7 trë lªn<enter>Chung Nhò Th¹ch: Thêi gian gi¶m cho¸ng, cÊp 6 trë lªn
§å phæ Hoµng Kim - Minh ¶o Thanh HiÕt ChØ Hoµn	6	1	301	.
§å phæ Hoµng Kim - Minh ¶o Hñ Cèt Hé UyÓn	6	1	302	VËt liªu yªu cÇu<color=yellow><enter>HuyÒn ThiÕt Kho¸ng: T¨ng sinh lùc cÊp trªn 8<enter>Khæng T­íc Th¹ch: thêi gian lµm chËm cÊp trªn 8<enter>Vâ L©m MËt TŞch<enter>Phï Dung Th¹ch: T¨ng phßng thñ vËt lı cÊp trªn 7<enter>Ngò §éc §ao Ph¸p quyÓn 2
§å phæ Hoµng Kim - Minh ¶o Song Hoµn Xµ Hµi	6	1	303	.
§å phæ Hoµng Kim - Chó Ph­îc Ph¸ Gi¸p §Çu Hoµn	6	1	304	VËt liÖu yªu cÇu<color=yellow><enter>HuyÒn ThiÕt Kho¸ng: T¨ng sinh lùc, cÊp 8 trë lªn<enter>Ngò §éc NhiÕp T©m ThuËt - quyÓn 3<enter>MËt Ng©n Kho¸ng: T¨ng néi lùc, cÊp 7 trë lªn<enter>Phï Dung Th¹ch: T¨ng PTVL, cÊp 6 trë lªn<enter>Vâ L©m MËt TŞch<enter>Chung Nhò Th¹ch: Thêi gian gi¶m cho¸ng, cÊp 6 trë lªn
§å phæ Hoµng Kim - Chó Ph­îc DiÖt L«i C¶nh Phï 	6	1	305	Nguyªn liÖu yªu cÇu: <color=yellow><enter>HuyÒn ThiÕt Kho¸ng: T¨ng trŞ møc sinh lùc cÊp 6 trë lªn<enter>Ngò §éc NhiÕp T©m ThuËt<enter>Chu Sa Kho¸ng: T¨ng møc néi lùc cÊp 5 trë lªn<enter>Khæng T­íc Th¹ch: T¨ng kh¸ng ®éc cÊp 5 trë lªn<enter>Phï Dung Th¹ch: T¨ng PTVL cÊp 5 trë lªn<enter>Chu Sa Kho¸ng: T¨ng kh¸ng tÊt c¶ cÊp 4 trë lªn
§å phæ Hoµng Kim - Chó Ph­îc U ¶o ChØ Hoµn	6	1	306	.
§å phæ Hoµng Kim - Chó Ph­îc Xuyªn T©m §éc UyÓn	6	1	307	VËt liªu yªu cÇu<color=yellow><enter>HuyÒn ThiÕt Kho¸ng: T¨ng sinh lùc cÊp trªn 8<enter>Khæng T­íc Th¹ch: thêi gian lµm chËm cÊp trªn 8<enter>Phï Dung Th¹ch: T¨ng kh¸ng b¨ng cÊp trªn 7<enter>Chu Sa Kho¸ng: T¨ng néi lùc cÊp trªn 8<enter>Chung Nhò Th¹ch: Gi¶m cho¸ng cÊp trªn 7<enter>Ngò §éc NhiÕp T©m ThuËt quyÓn 3
§å phæ Hoµng Kim - Chó Ph­îc B¨ng Háa §éc Cèt Ngoa	6	1	308	.
