index_Name	index_ItemGenre	index_DetailType	index_ParticualrType	index_taskid	index_level	index_content
同伴修炼任务卷轴75	6	1	521	80	15	去唐门外杀马猴150只，同伴等级要求不低于5级
同伴修炼任务卷轴76	6	1	522	81	85	去芙蓉洞迷宫杀飞镰50个，同伴等级要求不低于75级
同伴修炼任务卷轴77	6	1	523	82	85	去芙蓉洞迷宫杀飞镰100个，同伴等级要求不低于75级
同伴修炼任务卷轴78	6	1	524	83	85	去芙蓉洞迷宫杀飞镰150个，同伴等级要求不低于75级
同伴修炼任务卷轴79	6	1	525	84	15	去汴京城外杀刺猬50只，同伴等级要求不低于5级
同伴修炼任务卷轴80	6	1	526	85	15	去汴京城外杀刺猬100只，同伴等级要求不低于5级
同伴修炼任务卷轴81	6	1	527	86	15	去汴京城外杀刺猬150只，同伴等级要求不低于5级
同伴修炼任务卷轴82	6	1	528	87	55	去铁塔迷宫一层杀刀兵50个，同伴等级要求不低于45级
同伴修炼任务卷轴83	6	1	529	88	55	去铁塔迷宫一层杀刀兵100个，同伴等级要求不低于45级
同伴修炼任务卷轴84	6	1	530	89	55	去铁塔迷宫一层杀刀兵150个，同伴等级要求不低于45级
同伴修炼任务卷轴85	6	1	531	90	55	去铁塔迷宫二层杀枪兵50个，同伴等级要求不低于45级
同伴修炼任务卷轴86	6	1	532	91	55	去铁塔迷宫二层杀枪兵50个，同伴等级要求不低于45级
同伴修炼任务卷轴87	6	1	533	92	55	去铁塔迷宫二层杀枪兵50个，同伴等级要求不低于45级
同伴修炼任务卷轴88	6	1	534	93	45	去伏牛山西杀青狼50只，同伴等级要求不低于35级
同伴修炼任务卷轴89	6	1	535	94	45	去伏牛山西杀青狼100只，同伴等级要求不低于35级
同伴修炼任务卷轴90	6	1	536	95	45	去伏牛山西杀青狼150只，同伴等级要求不低于35级
同伴修炼任务卷轴91	6	1	537	96	55	去天心洞迷宫杀断戟50个，同伴等级要求不低于45级
同伴修炼任务卷轴92	6	1	538	97	55	去天心洞迷宫杀断戟100个，同伴等级要求不低于45级
同伴修炼任务卷轴93	6	1	539	98	55	去天心洞迷宫杀断戟150个，同伴等级要求不低于45级
同伴修炼任务卷轴94	6	1	540	99	25	去剑阁中原杀灰狼50只，同伴等级要求不低于15级
同伴修炼任务卷轴95	6	1	541	100	25	去剑阁中原杀灰狼100只，同伴等级要求不低于15级
同伴修炼任务卷轴96	6	1	542	101	25	去剑阁中原杀灰狼150只，同伴等级要求不低于15级
同伴修炼任务卷轴97	6	1	543	102	15	去天忍教室外杀刺猬50只，同伴等级要求不低于5级
同伴修炼任务卷轴98	6	1	544	103	15	去天忍教室外杀刺猬100只，同伴等级要求不低于5级
同伴修炼任务卷轴99	6	1	545	104	15	去天忍教室外杀刺猬150只，同伴等级要求不低于5级
同伴修炼任务卷轴100	6	1	546	105	15	去天忍教室内第一层杀蝙蝠50只，同伴等级要求不低于5级
同伴修炼任务卷轴101	6	1	547	106	15	去天忍教室内第一层杀蝙蝠100只，同伴等级要求不低于5级
同伴修炼任务卷轴102	6	1	548	107	15	去天忍教室内第一层杀蝙蝠150只，同伴等级要求不低于5级
同伴修炼任务卷轴103	6	1	549	108	15	去七杀洞迷宫杀莽汉50个，同伴等级要求不低于5级
同伴修炼任务卷轴104	6	1	550	109	15	去七杀洞迷宫杀莽汉100个，同伴等级要求不低于5级
同伴修炼任务卷轴105	6	1	551	110	15	去七杀洞迷宫杀莽汉150个，同伴等级要求不低于5级
同伴修炼任务卷轴106	6	1	552	111	10	去朱仙镇外杀白猪50只，同伴等级要求不低于1级
同伴修炼任务卷轴107	6	1	553	112	10	去朱仙镇外杀白猪100只，同伴等级要求不低于1级
同伴修炼任务卷轴108	6	1	554	113	10	去朱仙镇外杀白猪150只，同伴等级要求不低于1级
同伴修炼任务卷轴109	6	1	555	114	10	去巴陵县外杀金猫50只，同伴等级要求不低于1级
同伴修炼任务卷轴110	6	1	556	115	10	去巴陵县外杀金猫100只，同伴等级要求不低于1级
同伴修炼任务卷轴111	6	1	557	116	10	去巴陵县外杀金猫150只，同伴等级要求不低于1级
同伴修炼任务卷轴112	6	1	558	117	15	去南岳镇外杀刺猬50只，同伴等级要求不低于5级
同伴修炼任务卷轴113	6	1	559	118	15	去南岳镇外杀刺猬100只，同伴等级要求不低于5级
同伴修炼任务卷轴114	6	1	560	119	15	去南岳镇外杀刺猬150只，同伴等级要求不低于5级
同伴修炼任务卷轴115	6	1	561	120	75	去桃花源杀梅花鹿50只，同伴等级要求不低于65级
同伴修炼任务卷轴116	6	1	562	121	75	去桃花源杀梅花鹿100只，同伴等级要求不低于65级
同伴修炼任务卷轴117	6	1	563	122	75	去桃花源杀梅花鹿150只，同伴等级要求不低于65级
同伴修炼任务卷轴118	6	1	564	123	65	去衡山派外杀金雕50只，同伴等级要求不低于55级
同伴修炼任务卷轴119	6	1	565	124	65	去衡山派外杀金雕100只，同伴等级要求不低于55级
同伴修炼任务卷轴120	6	1	566	125	65	去衡山派外杀金雕150只，同伴等级要求不低于55级
同伴修炼任务卷轴121	6	1	567	126	15	去天王岛山洞杀金猫50只，同伴等级要求不低于5级
同伴修炼任务卷轴122	6	1	568	127	15	去天王岛山洞杀金猫100只，同伴等级要求不低于5级
同伴修炼任务卷轴123	6	1	569	128	15	去天王岛山洞杀金猫150只，同伴等级要求不低于5级
同伴修炼任务卷轴124	6	1	570	129	55	去洞庭湖底山洞一层杀鳄鱼50只，同伴等级要求不低于45级
同伴修炼任务卷轴125	6	1	571	130	55	去洞庭湖底山洞一层杀鳄鱼100只，同伴等级要求不低于45级
同伴修炼任务卷轴126	6	1	572	131	55	去洞庭湖底山洞一层杀鳄鱼150只，同伴等级要求不低于45级
同伴修炼任务卷轴127	6	1	573	132	65	去青螺岛杀蓝巾50个，同伴等级要求不低于55级
同伴修炼任务卷轴128	6	1	574	133	65	去青螺岛杀蓝巾100个，同伴等级要求不低于55级
同伴修炼任务卷轴129	6	1	575	134	65	去青螺岛杀蓝巾150个，同伴等级要求不低于55级
同伴修炼任务卷轴130	6	1	576	135	75	去青螺岛山洞杀铁爪50个，同伴等级要求不低于65级
同伴修炼任务卷轴131	6	1	577	136	75	去青螺岛山洞杀铁爪100个，同伴等级要求不低于65级
同伴修炼任务卷轴132	6	1	578	137	75	去青螺岛山洞杀铁爪150个，同伴等级要求不低于65级
同伴修炼任务卷轴133	6	1	579	138	25	去武陵山杀苍鹰50只，同伴等级要求不低于15级
同伴修炼任务卷轴134	6	1	580	139	25	去武陵山杀苍鹰100只，同伴等级要求不低于15级
同伴修炼任务卷轴135	6	1	581	140	25	去武陵山杀苍鹰150只，同伴等级要求不低于15级
同伴修炼任务卷轴136	6	1	582	141	25	去白水洞迷宫杀铜锤50个，同伴等级要求不低于15级
同伴修炼任务卷轴137	6	1	583	142	25	去白水洞迷宫杀铜锤100个，同伴等级要求不低于15级
同伴修炼任务卷轴138	6	1	584	143	25	去白水洞迷宫杀铜锤150个，同伴等级要求不低于15级
同伴修炼任务卷轴139	6	1	585	144	75	去大酋洞迷宫杀铜锤50个，同伴等级要求不低于65级
同伴修炼任务卷轴140	6	1	586	145	75	去大酋洞迷宫杀铜锤100个，同伴等级要求不低于65级
同伴修炼任务卷轴141	6	1	587	146	75	去大酋洞迷宫杀铜锤150个，同伴等级要求不低于65级
同伴修炼任务卷轴142	6	1	588	147	25	去伏流洞迷宫杀鳄鱼50只，同伴等级要求不低于15级
同伴修炼任务卷轴143	6	1	589	148	25	去伏流洞迷宫杀鳄鱼100只，同伴等级要求不低于15级
同伴修炼任务卷轴144	6	1	590	149	25	去伏流洞迷宫杀鳄鱼150只，同伴等级要求不低于15级
同伴修炼任务卷轴145	6	1	591	150	35	去苗岭杀野牛50只，同伴等级要求不低于25级
同伴修炼任务卷轴146	6	1	592	151	35	去苗岭杀野牛100只，同伴等级要求不低于25级
同伴修炼任务卷轴147	6	1	593	152	35	去苗岭杀野牛150只，同伴等级要求不低于25级
同伴修炼任务卷轴148	6	1	594	153	95	去蚩尤洞迷宫杀狼棒50个，同伴等级要求不低于85级
同伴修炼任务卷轴149	6	1	595	154	95	去蚩尤洞迷宫杀狼棒100个，同伴等级要求不低于85级
同伴修炼任务卷轴150	6	1	596	155	95	去蚩尤洞迷宫杀狼棒150个，同伴等级要求不低于85级
同伴修炼任务卷轴151	6	1	597	156	75	去山宝洞迷宫杀火炎虎50只，同伴等级要求不低于65级
同伴修炼任务卷轴152	6	1	598	157	75	去山宝洞迷宫杀火炎虎100只，同伴等级要求不低于65级
同伴修炼任务卷轴153	6	1	599	158	75	去山宝洞迷宫杀火炎虎150只，同伴等级要求不低于65级
同伴修炼任务卷轴154	6	1	600	159	35	去燕子洞迷宫杀蝙蝠50只，同伴等级要求不低于25级
同伴修炼任务卷轴155	6	1	601	160	35	去燕子洞迷宫杀蝙蝠100只，同伴等级要求不低于25级
同伴修炼任务卷轴156	6	1	602	161	35	去燕子洞迷宫杀蝙蝠150只，同伴等级要求不低于25级
同伴修炼任务卷轴157	6	1	603	162	85	去武陵洞迷宫杀髻匕50个，同伴等级要求不低于75级
同伴修炼任务卷轴158	6	1	604	163	85	去武陵洞迷宫杀髻匕100个，同伴等级要求不低于75级
同伴修炼任务卷轴159	6	1	605	164	85	去武陵洞迷宫杀髻匕150个，同伴等级要求不低于75级
同伴修炼任务卷轴160	6	1	606	165	15	去襄阳城外杀刺猬50只，同伴等级要求不低于5级
同伴修炼任务卷轴161	6	1	607	166	15	去襄阳城外杀刺猬100只，同伴等级要求不低于5级
同伴修炼任务卷轴162	6	1	608	167	15	去襄阳城外杀刺猬150只，同伴等级要求不低于5级
同伴修炼任务卷轴163	6	1	609	168	65	去襄阳城衙门秘道杀刀兵50个，同伴等级要求不低于55级
同伴修炼任务卷轴164	6	1	610	169	65	去襄阳城衙门秘道杀刀兵100个，同伴等级要求不低于55级
同伴修炼任务卷轴165	6	1	611	170	65	去襄阳城衙门秘道杀刀兵150个，同伴等级要求不低于55级
同伴修炼任务卷轴166	6	1	612	171	15	去扬州城外杀刺猬50只，同伴等级要求不低于5级
同伴修炼任务卷轴167	6	1	613	172	15	去扬州城外杀刺猬100只，同伴等级要求不低于5级
同伴修炼任务卷轴168	6	1	614	173	15	去扬州城外杀刺猬150只，同伴等级要求不低于5级
同伴修炼任务卷轴169	6	1	615	174	25	去火狼洞迷宫杀苍狼50只，同伴等级要求不低于15级
同伴修炼任务卷轴170	6	1	616	175	25	去火狼洞迷宫杀苍狼100只，同伴等级要求不低于15级
同伴修炼任务卷轴171	6	1	617	176	25	去火狼洞迷宫杀苍狼150只，同伴等级要求不低于15级
同伴修炼任务卷轴172	6	1	618	177	35	去伏牛山东杀青狼50只，同伴等级要求不低于25级
同伴修炼任务卷轴173	6	1	619	178	35	去伏牛山东杀青狼100只，同伴等级要求不低于25级
同伴修炼任务卷轴174	6	1	620	179	35	去伏牛山东杀青狼150只，同伴等级要求不低于25级
同伴修炼任务卷轴175	6	1	621	180	45	去鸡冠洞迷宫杀火云虎50只，同伴等级要求不低于35级
同伴修炼任务卷轴176	6	1	622	181	45	去鸡冠洞迷宫杀火云虎100只，同伴等级要求不低于35级
同伴修炼任务卷轴177	6	1	623	182	45	去鸡冠洞迷宫杀火云虎150只，同伴等级要求不低于35级
同伴修炼任务卷轴178	6	1	624	183	35	去蜀冈山杀灰猴50只，同伴等级要求不低于25级
同伴修炼任务卷轴179	6	1	625	184	35	去蜀冈山杀灰猴100只，同伴等级要求不低于25级
同伴修炼任务卷轴180	6	1	626	185	35	去蜀冈山杀灰猴150只，同伴等级要求不低于25级
同伴修炼任务卷轴181	6	1	627	186	95	去荐菊洞密宫杀刀客50个，同伴等级要求不低于85级
同伴修炼任务卷轴182	6	1	628	187	95	去荐菊洞密宫杀刀客100个，同伴等级要求不低于85级
同伴修炼任务卷轴183	6	1	629	188	95	去荐菊洞密宫杀刀客150个，同伴等级要求不低于85级
同伴修炼任务卷轴184	6	1	630	189	75	去灵谷洞密宫杀棕熊50只，同伴等级要求不低于65级
同伴修炼任务卷轴185	6	1	631	190	75	去灵谷洞密宫杀棕熊100只，同伴等级要求不低于65级
同伴修炼任务卷轴186	6	1	632	191	75	去灵谷洞密宫杀棕熊150只，同伴等级要求不低于65级
同伴修炼任务卷轴187	6	1	633	192	10	去稻香村外杀白猪50只，同伴等级要求不低于1级
同伴修炼任务卷轴188	6	1	634	193	10	去稻香村外杀白猪100只，同伴等级要求不低于1级
同伴修炼任务卷轴189	6	1	635	194	10	去稻香村外杀白猪150只，同伴等级要求不低于1级
同伴修炼任务卷轴190	6	1	636	195	15	去木人巷杀木人50个，同伴等级要求不低于5级
同伴修炼任务卷轴191	6	1	637	196	15	去木人巷杀木人100个，同伴等级要求不低于5级
同伴修炼任务卷轴192	6	1	638	197	15	去木人巷杀木人150个，同伴等级要求不低于5级
同伴修炼任务卷轴193	6	1	639	198	45	去少林密室杀铜人50个，同伴等级要求不低于35级
同伴修炼任务卷轴194	6	1	640	199	45	去少林密室杀铜人100个，同伴等级要求不低于35级
同伴修炼任务卷轴195	6	1	641	200	45	去少林密室杀铜人150个，同伴等级要求不低于35级
同伴修炼任务卷轴196	6	1	642	201	85	去飞天洞迷宫杀髻匕50个，同伴等级要求不低于75级
同伴修炼任务卷轴197	6	1	643	202	85	去飞天洞迷宫杀髻匕100个，同伴等级要求不低于75级
同伴修炼任务卷轴198	6	1	644	203	85	去飞天洞迷宫杀髻匕150个，同伴等级要求不低于75级
同伴修炼任务卷轴199	6	1	645	204	85	去风陵渡杀神臂50个，同伴等级要求不低于75级
同伴修炼任务卷轴200	6	1	646	205	85	去风陵渡杀神臂100个，同伴等级要求不低于75级
同伴修炼任务卷轴201	6	1	647	206	85	去风陵渡杀神臂150个，同伴等级要求不低于75级
同伴修炼任务卷轴202	6	1	648	207	55	去祥云洞一层杀刀客50个，同伴等级要求不低于45级
同伴修炼任务卷轴203	6	1	649	208	55	去祥云洞一层杀刀客100个，同伴等级要求不低于45级
同伴修炼任务卷轴204	6	1	650	209	55	去祥云洞一层杀刀客150个，同伴等级要求不低于45级
同伴修炼任务卷轴205	6	1	651	210	65	去祥云洞二层杀山贼50个，同伴等级要求不低于55级
同伴修炼任务卷轴206	6	1	652	211	65	去祥云洞二层杀山贼100个，同伴等级要求不低于55级
同伴修炼任务卷轴207	6	1	653	212	65	去祥云洞二层杀山贼150个，同伴等级要求不低于55级
同伴修炼任务卷轴208	6	1	654	213	65	去祥云洞三层杀狼棒50个，同伴等级要求不低于55级
同伴修炼任务卷轴209	6	1	655	214	65	去祥云洞三层杀狼棒100个，同伴等级要求不低于55级
同伴修炼任务卷轴210	6	1	656	215	65	去祥云洞三层杀狼棒150个，同伴等级要求不低于55级
同伴修炼任务卷轴211	6	1	657	216	65	去祥云洞四层杀玉面50个，同伴等级要求不低于55级
同伴修炼任务卷轴212	6	1	658	217	65	去祥云洞四层杀玉面100个，同伴等级要求不低于55级
同伴修炼任务卷轴213	6	1	659	218	65	去祥云洞四层杀玉面150个，同伴等级要求不低于55级
同伴修炼任务卷轴214	6	1	660	219	75	去祥云洞五层杀钝斧50个，同伴等级要求不低于65级
同伴修炼任务卷轴215	6	1	661	220	75	去祥云洞五层杀钝斧100个，同伴等级要求不低于65级
同伴修炼任务卷轴216	6	1	662	221	75	去祥云洞五层杀钝斧150个，同伴等级要求不低于65级
同伴修炼任务卷轴217	6	1	663	222	85	去阳中洞迷宫杀髻匕50个，同伴等级要求不低于75级
同伴修炼任务卷轴218	6	1	664	223	85	去阳中洞迷宫杀髻匕100个，同伴等级要求不低于75级
同伴修炼任务卷轴219	6	1	665	224	85	去阳中洞迷宫杀髻匕150个，同伴等级要求不低于75级
同伴修炼任务卷轴220	6	1	666	225	10	去龙门镇外杀金猫50只，同伴等级要求不低于1级
同伴修炼任务卷轴221	6	1	667	226	10	去龙门镇外杀金猫100只，同伴等级要求不低于1级
同伴修炼任务卷轴222	6	1	668	227	10	去龙门镇外杀金猫150只，同伴等级要求不低于1级
同伴修炼任务卷轴223	6	1	669	228	45	去黄河源头杀白虎50只，同伴等级要求不低于35级
同伴修炼任务卷轴224	6	1	670	229	45	去黄河源头杀白虎100只，同伴等级要求不低于35级
同伴修炼任务卷轴225	6	1	671	230	45	去黄河源头杀白虎150只，同伴等级要求不低于35级
同伴修炼任务卷轴226	6	1	672	231	75	去老虎洞迷宫杀长枪50个，同伴等级要求不低于65级
同伴修炼任务卷轴227	6	1	673	232	75	去老虎洞迷宫杀长枪100个，同伴等级要求不低于65级
同伴修炼任务卷轴228	6	1	674	233	75	去老虎洞迷宫杀长枪150个，同伴等级要求不低于65级
同伴修炼任务卷轴229	6	1	675	234	95	去轩辕洞迷宫杀黄河象50个，同伴等级要求不低于85级
同伴修炼任务卷轴230	6	1	676	235	95	去轩辕洞迷宫杀黄河象100个，同伴等级要求不低于85级
同伴修炼任务卷轴231	6	1	677	236	95	去轩辕洞迷宫杀黄河象150个，同伴等级要求不低于85级
同伴修炼任务卷轴232	6	1	678	237	55	去留仙洞一层杀短戟50个，同伴等级要求不低于45级
同伴修炼任务卷轴233	6	1	679	238	55	去留仙洞一层杀短戟100个，同伴等级要求不低于45级
同伴修炼任务卷轴234	6	1	680	239	55	去留仙洞一层杀短戟150个，同伴等级要求不低于45级
同伴修炼任务卷轴235	6	1	681	240	65	去留仙洞二层杀玉面50个，同伴等级要求不低于55级
同伴修炼任务卷轴236	6	1	682	241	65	去留仙洞二层杀玉面100个，同伴等级要求不低于55级
同伴修炼任务卷轴237	6	1	683	242	65	去留仙洞二层杀玉面150个，同伴等级要求不低于55级
同伴修炼任务卷轴238	6	1	684	243	65	去留仙洞三层杀流浪50个，同伴等级要求不低于55级
同伴修炼任务卷轴239	6	1	685	244	65	去留仙洞三层杀流浪100个，同伴等级要求不低于55级
同伴修炼任务卷轴240	6	1	686	245	65	去留仙洞三层杀流浪150个，同伴等级要求不低于55级
同伴修炼任务卷轴241	6	1	687	246	65	去留仙洞四层杀平枪50个，同伴等级要求不低于55级
同伴修炼任务卷轴242	6	1	688	247	65	去留仙洞四层杀平枪100个，同伴等级要求不低于55级
同伴修炼任务卷轴243	6	1	689	248	65	去留仙洞四层杀平枪150个，同伴等级要求不低于55级
同伴修炼任务卷轴244	6	1	690	249	75	去留仙洞五层杀髻匕50个，同伴等级要求不低于65级
同伴修炼任务卷轴245	6	1	691	250	75	去留仙洞五层杀髻匕100个，同伴等级要求不低于65级
同伴修炼任务卷轴246	6	1	692	251	75	去留仙洞五层杀髻匕150个，同伴等级要求不低于65级
同伴修炼任务卷轴247	6	1	693	252	75	去留仙洞六层杀行者50个，同伴等级要求不低于75级
同伴修炼任务卷轴248	6	1	694	253	75	去留仙洞六层杀行者100个，同伴等级要求不低于75级
同伴修炼任务卷轴249	6	1	695	254	75	去留仙洞六层杀行者150个，同伴等级要求不低于75级
同伴修炼任务卷轴250	6	1	696	255	55	去冰穴迷宫杀雪怪50个，同伴等级要求不低于45级
同伴修炼任务卷轴251	6	1	697	256	55	去冰穴迷宫杀雪怪100个，同伴等级要求不低于45级
同伴修炼任务卷轴252	6	1	698	257	55	去冰穴迷宫杀雪怪150个，同伴等级要求不低于45级
同伴修炼任务卷轴253	6	1	699	258	45	去见性峰山洞杀钝斧50个，同伴等级要求不低于35级
同伴修炼任务卷轴254	6	1	700	259	45	去见性峰山洞杀钝斧100个，同伴等级要求不低于35级
同伴修炼任务卷轴255	6	1	701	260	45	去见性峰山洞杀钝斧150个，同伴等级要求不低于35级
同伴修炼任务卷轴256	6	1	702	261	85	去沙漠地表杀沙蝎50只，同伴等级要求不低于75级
